Word	cs
deflate	deflate
deflation	deflace
deflect	odklonit
deflection	výchylka
defloration	deflorace
deform	deformovat
deformed	deformovaný
deformity	deformita
defraud	podvést
defray	uhradit
defrost	odmrazování
deft	obratný
defunct	zaniklý
defuse	zneškodnit
defy	vzdorovat
degeneracy	degenerace
degenerate	degenerovat
degeneration	degenerace
degradation	degradace
degrade	degradovat
degraded	degradován
degrading	ponižující
degree	stupeň
dehydrated	dehydratovaný
dehydration	dehydratace
dejected	sklíčený
delay	zpoždění
delayed	zpožděné
delectable	utěšený
delegate	delegát
delegation	delegace
delete	vymazat
deleterious	škodlivé
deletion	vymazání
deli	deli
deliberate	záměrný
deliberation	uvažování
deliberative	poradní
delicacy	pochoutka
delicate	jemné
delicatessen	lahůdky
delicious	Lahodné
delight	rozkoš
delighted	potěšen
delightful	nádherné
delineate	vymezit
delineation	vymezení
delinquency	kriminalita
delinquent	delikvent
delirious	deliriózní
delirium	delirium
deliver	dodat
deliverance	vysvobození
delivery	dodávka
dell	dell
delta	delta
delude	podvod
deluge	potopa
delusion	iluzi
delusional	bludný
deluxe	deluxe
delve	ponořit se
demand	poptávka
demanding	náročný
demeaned	demeaned
demeaning	ponižující
demeanor	chování
demented	dementní
dementia	demence
demise	demise
demo	demo
democracy	demokracie
democrat	demokrat
democratic	demokratický
demographic	demografický
demolish	strhnout
demolished	zničen
demolition	demolice
demon	démon
demonic	démonický
demonstrable	prokazatelný
demonstrate	prokázat
demonstrated	prokázáno
demonstrating	demonstrovat
demonstration	demonstrace
demonstrative	demonstrativní
demonstrator	demonstrátor
demoralized	demoralizovaný
demos	demos
demure	upejpavý
den	NO TRANSLATION
deniability	deniability
denial	odmítnutí
denied	popřel
denim	denim
denomination	označení
denominational	denominační
denominator	jmenovatel
denote	označit
denounce	vypovědět
dense	hustý
density	hustota
dent	důlek
dental	zubní
dentist	zubař
dentistry	zubní lékařství
dentists	zubní lékaři
denunciation	vypovězení
deny	odmítnout
denying	popírání
deodorant	deodorant
depart	odjet
departed	odešel
department	oddělení
departmental	resortní
departure	odchod
depend	záviset
dependable	spolehlivý
dependant	závislé
dependence	závislost
dependency	závislost
dependent	závislé
depict	zobrazovat
depicting	zobrazovat
depletion	vyčerpání
deplorable	žalostný
deplore	lituji
deploy	nasazení
deployment	rozvinutí
deport	deportovat
deportation	deportace
depose	sesadit
deposit	vklad
depositary	depozitáře
deposition	depozice
depository	úschovna
depot	sklad
depraved	zkažený
depravity	znechucení
depreciate	znehodnotit
depreciated	znehodnoceno
depreciation	amortizace
depress	stlačte
depressed	deprimovaný
depressing	depresivní
depression	Deprese
depressive	depresivní
depresson	NO TRANSLATION
deprivation	deprivace
deprive	zbavit
deprived	zbaveno
depth	hloubka
deputy	náměstek
derail	vykolejit
deranged	rozrušený
derelict	opuštěný
derision	výsměch
derivation	derivace
derivative	derivát
derive	odvodit
dermal	kožní
dermatologist	dermatolog
dermatology	dermatologie
derogation	odchylky
derogatory	hanlivý
descend	sestoupit
descendant	potomek
descendent	NO TRANSLATION
descending	klesající
descent	klesání
describe	popsat
description	popis
descriptive	popisný
desecrate	znesvětit
desecration	znesvěcení
desert	poušť
deserted	opuštěný
deserter	dezertér
desertion	dezerce
deserve	zasloužit si
deserved	zasloužený
deserving	zaslouží si
design	design
designate	určit
designated	označeno
designation	označení
designed	navrženo
designer	návrhář
designing	navrhování
desirability	žádoucí
desirable	žádoucí
desire	touha
desiring	touží
desirous	touží
desist	přestat
desk	lavice
desolate	pustý
desolation	zpustošení
despair	zoufalství
despairing	zoufalý
despatch	expedice
desperado	zoufalec
desperate	zoufalý
desperation	zoufalství
despicable	opovrženíhodný
despise	opovrhovat
despondent	sklíčený
despotic	despotický
despotism	despotismus
dessert	dezert
destination	destinace
destined	určený
destiny	osud
destitute	opuštěný
destroy	zničit
destroyed	zničeno
destroyer	ničitel
destroying	ničení
destruct	zničit
destruction	zničení
destructive	destruktivní
detach	odpojit
detached	oddělené
detachment	oddělení
detail	detail
detailed	detailní
details	podrobnosti
detain	zadržet
detainee	zadržená osoba
detect	detekovat
detectable	detekovatelné
detection	detekce
detective	detektivní
detector	detektor
detention	zadržení
deter	odradit
detergent	čisticí prostředek
deteriorate	zhoršit
deteriorated	poškozen
deteriorating	zhoršující se
deterioration	zhoršení
determinable	určitelná
determinate	určit
determination	odhodlání
determine	určit
determined	odhodlaný
deterrent	odstrašující
detest	nenávidět
detestation	ošklivost
detonate	vybuchnout
detonation	detonace
detonator	rozbuška
detour	objížďka
detract	znehodnotit
detriment	újma
detrimental	škodlivý
detritus	detritus
deuce	čert
deutschmark	deutschmark
devalued	devalvováno
devastate	zpustošit
devastated	zničený
devastating	zničující
devastation	devastace
develop	rozvíjet
developer	vývojář
developing	rozvíjející se
development	rozvoj
deviant	deviantní
deviate	odchýlit se
deviating	odchylovat
deviation	odchylka
device	přístroj
devil	ďábel
deviled	devil
devilish	ďábelský
devious	křivolaký
devise	vymyslet
devoid	bez
devolution	decentralizace
devolve	přenést
devote	věnovat
devoted	oddaný
devotee	oddaný
devotion	oddanost
devotional	oddanost
devour	pohltit
devout	zbožný
dew	rosa
dexter	dexter
dexterity	šikovnost
dextrose	dextróza
diabetes	diabetes
diabetic	diabetik
diabolical	ďábelský
diagnose	diagnostikovat
diagnosis	diagnóza
diagnostic	diagnostický
diagnostics	diagnostika
diagonal	úhlopříčka
diagram	diagram
dial	vytáčení
dialect	dialekt
dialectic	dialektický
dialogue	dialog
dialysis	dialýza
diameter	průměr
diamond	diamant
diamonds	diamanty
diaper	plena
diaphragm	membrána
diarrhea	průjem
diarrhoea	průjem
diary	deník
diatribe	invektiva
dib	NO TRANSLATION
dibs	syrský sirup
dice	kostky
dicey	riskantní
dichotomous	dichotomický
dichotomy	dichotomie
dick	dick
dickhead	dickhead
dicks	dicks
dictate	diktovat
dictation	diktát
dictator	diktátor
dictatorial	diktátorský
dictatorship	diktatura
diction	dikce
dictionary	slovník
dictum	NO TRANSLATION
didactic	didaktický
diddle	ošidit
die	NO TRANSLATION
died	zemřel
diesel	motorová nafta
diet	strava
dietary	dietní
differ	lišit
difference	rozdíl
differences	rozdíly
different	odlišný
differential	rozdíl
differentiation	diferenciace
differently	jinak
differing	liší se
difficult	obtížný
difficulties	potíže
difficulty	obtížnost
diffuse	šířit
diffusion	difúze
dig	NO TRANSLATION
digest	strávit
digestion	trávení
digestive	zažívací
digit	číslice
digital	digitální
dignified	důstojný
dignify	poctít
dignity	důstojnost
digress	odbočit
digs	podnájem
dike	hráz
dilapidated	zchátralý
dilatation	dilatace
dilation	dilatace
dildo	dildo
dilemma	dilema
diligence	pečlivost
diligent	pilný
dill	kopr
diluent	ředící
dilute	zředit
diluted	zředěný
dilution	ředění
dim	ztlumit
dime	deseticent
dimension	dimenze
dimensional	dimenzionální
diminish	snížit
diminished	snížena
diminution	zmenšení
diminutive	zdrobnělina
dimwit	dimwit
din	NO TRANSLATION
dine	večeřet
diner	večeře
dinghy	malý člun
dingo	dingo
dingy	omšelý
dining	stravování
dinky	hezoučký
dinner	večeře
dinnertime	čas večeře
dinosaur	dinosaurus
dint	dint
diocesan	diecézní
diocese	diecéze
diorama	dioramu
dioxide	dioxidu
dip	ponoření
diploma	diplom
diplomacy	diplomacie
diplomat	diplomat
diplomatic	diplomatický
dipper	lžíce
dippy	namočený
dipstick	měrka
dire	NO TRANSLATION
direct	Přímo
directed	řízené
direction	směr
directive	směrnice
directly	přímo
director	ředitel
directory	adresář
dirt	špína
dirty	špinavý
disability	postižení
disable	zakázat
disabled	zakázáno
disadvantage	nevýhoda
disaffected	nespokojen
disagree	nesouhlasit
disagreeable	nepříjemný
disagreeing	nesouhlasím
disagreement	nesouhlas
disallow	zakázat
disallowed	zakázáno
disapointment	NO TRANSLATION
disappear	zmizet
disappearance	zmizení
disappearing	mizí
disappoint	zklamat
disappointed	zklamaný
disappointing	zklamání
disappointment	zklamání
disapproval	nesouhlas
disapprove	neschválit
disapproved	zamítnuto
disapproving	nesouhlasí
disarm	odzbrojit
disarray	zmatek
disaster	katastrofa
disastrous	katastrofální
disband	rozpustit
disbelief	nevíra
disbelieve	nevěřit
disburse	vyplácet
disbursement	vyplácení
disc	disk
discard	vyřadit
discarded	vyřazeno
discards	výmětů
discern	rozeznat
discernible	rozlišitelné
discerning	náročné
discernment	rozlišování
discharge	vybít
disciple	žák
disciplinary	disciplinární
discipline	disciplína
disciplined	disciplinované
disclaim	odmítnout
disclaimer	odmítnutí odpovědnosti
disclose	zveřejnit
disclosed	zveřejněno
disclosure	zveřejnění
disco	disko
discoloration	odbarvení
discolored	vybledlé
discomfort	nepohodlí
disconcerted	znepokojen
disconcerting	znepokojující
disconnect	odpojit
disconnected	odpojeno
disconnection	odpojení
disconnects	odpojení
discontent	nespokojenost
discontinuance	zastavení
discontinue	přestat
discontinuity	diskontinuita
discontinuous	diskontinuální
discord	svár
discount	sleva
discounted	diskontováno
discourage	odradit
discouraged	odradit
discouragement	odrazování
discouraging	odrazující
discourse	diskursu
discover	objevit
discovery	objev
discredit	diskreditovat
discredited	diskreditován
discreet	NO TRANSLATION
discrepancy	rozpor
discrete	oddělený
discretion	uvážení
discretionary	diskreční
discriminate	diskriminovat
discriminating	diskriminující
discrimination	diskriminace
discus	disk
discuss	diskutovat
discussion	diskuse
disdain	pohrdání
disdainful	pohrdavý
disease	choroba
diseased	nemocný
disembodied	bez vycpávky
disengage	odpojit
disengagement	uvolnění
disfigured	znetvořený
disgrace	ostuda
disgraced	znechucen
disgraceful	hanebný
disgruntled	nespokojený
disguise	přestrojení
disguised	skryté
disgust	hnus
disgusted	znechucený
disgusting	nechutný
dish	jídlo
disheartened	dezertován
disheartening	deprimující
dishonest	nečestný
dishonesty	nepoctivost
dishonor	hanba
dishonorable	nečestný
dishwasher	myčka
disillusionment	rozčarování
disinclination	nechuť
disincline	být neochotný
disinclined	neochotně
disinfect	dezinfikovat
disinfectant	dezinfekční prostředek
disinfection	dezinfekce
disinformation	dezinformace
disingenuous	neústupný
disintegrate	rozpadat
disintegration	rozpad
disinterested	nezaujatý
disjoint	disjoint
disjointed	nesouvislý
disjunctive	disjunktivní
disk	disk
diskette	disketa
dislike	nemít rád
disliked	neměl rád
disliking	nelíbí se
dislocated	dislokováno
dislocation	dislokace
dislodge	vytlačit
disloyal	neloajální
disloyalty	neloajálnost
dismal	tristní
dismantle	demontovat
dismay	zděšení
dismayed	zděšený
dismemberment	rozdělení
dismiss	propustit
dismissal	propuštění
dismissive	odmítavý
dismount	sesednout
disobedience	neposlušnost
disobedient	neposlušný
disobey	neuposlechnout
disorder	porucha
disordered	neuspořádané
disorderly	nepořádně
disorganized	neorganizovaný
disorientation	dezorientace
disoriented	dezorientovaný
disown	popřít
disparage	znevažovat
disparaging	znepokojující
disparate	odlišné
disparity	disparita
dispassionate	nestoudné
dispatch	odeslání
dispatcher	odesílatel
dispel	rozptýlit
dispensary	lékárna
dispensation	dispenzace
dispense	vydávat
dispenser	dávkovač
dispersal	rozptýlení
disperse	rozptýlit
dispersed	rozptýlené
dispersion	disperze
dispirited	deprimovaný
displace	přemístit
displaced	vysídlených
displacement	přemístění
displacency	znepokojení
display	Zobrazit
displease	nelíbí se
displeased	nespokojen
displeasure	nelibost
disposable	jednorázový
disposal	likvidace
dispose	likvidovat
disposed	uspořádány
disposition	dispozice
dispossessed	vyřazen
disprove	vyvrátit
dispute	spor
disqualification	diskvalifikace
disqualified	diskvalifikovaný
disqualify	diskvalifikovat
disquieted	znepokojen
disregard	ignorovat
disregarded	ignorováno
disrelish	nemít rád
disreputable	pochybný
disrepute	špatná pověst
disrespect	neúcta
disrespectful	neuctivý
disrupt	narušit
disrupting	narušení
disruption	narušení
disruptive	rušivý
dissatisfaction	nespokojenost
dissatisfied	nespokojený
dissect	pitvat
dissection	pitva
disseminate	šířit
dissemination	šíření
dissension	neshoda
dissent	nesouhlasit
dissenting	nesouhlasí
dissertation	disertační práce
disservice	slabost
dissident	disident
dissimilar	odlišný
dissipate	rozptýlit
dissipated	rozptýlena
dissociation	disociace
dissociative	disociativní
dissolution	rozpuštění
dissolve	rozpustit
dissonance	disonance
dissuade	odradit
distal	distální
distance	vzdálenost
distant	vzdálený
distaste	nechuť
distasteful	odporný
distillate	destilátu
distillation	destilace
distilled	destilované
distinct	odlišný
distinction	rozdíl
distinctive	rozlišovací
distinguish	rozlišovat
distinguishable	rozlišitelné
distinguished	rozlišoval
distinguishing	rozlišovací
distort	zkreslit
distorted	zkreslené
distortion	zkreslení
distract	rozptýlit
distracted	roztržitý
distracting	rozptýlení
distraction	rozptýlení
distraught	rozrušený
distress	nouze
distressed	v nouzi
distressing	tíživé
distribute	distribuovat
distribution	rozdělení
distributor	distributor
district	okres
distrust	nedůvěra
disturb	rušit
disturbance	rušení
disturbed	narušený
disturbing	rušivý
disuse	nepoužívejte
disused	nepoužívá
ditch	příkop
ditto	totéž
ditty	popěvek
diurnal	denní
diva	diva
divan	NO TRANSLATION
dive	potápět
diver	potápěč
diverge	rozcházejí
divergence	divergence
divergent	divergentní
diverging	odlišné
divers	potápěči
diverse	různorodé
diversified	různorodé
diversify	diverzifikovat
diversion	zneužívání
diversionary	diversionary
diversity	rozmanitost
divert	odklonit
diverting	přesměrování
divest	zbavit
divested	odevzdáno
divestment	prodeje
divide	rozdělit
divided	rozdělený
dividend	dividenda
divination	věštění
divine	božský
divinity	božství
divisible	dělitelný
division	divize
divisor	dělitel
divorce	rozvod
divorcee	rozvodce
divulge	prozradit
divvy	divvy
dizziness	závrať
dizzy	závratě
do	dělat
doable	realizovatelné
doc	doc
docile	poslušný
dock	dok
docked	ukotvená
docket	docket
docking	dokování
doctor	doktor
doctorate	doktorát
doctrinal	doktrinální
doctrine	doktrína
document	dokument
documentary	dokumentární
documentation	dokumentace
documents	dokumenty
dodge	vyhnout se
dodger	Dodger
dodging	vyhýbat se
dodgy	riskantní
dodo	dodo
doe	srna
doer	muž činu
dog	Pes
dogface	psí obličej
dogged	chůze
doggy	psí
doghouse	Bouda pro psa
dogma	dogma
dogmatic	dogmatický
dogsick	NO TRANSLATION
doings	akce
doit	NO TRANSLATION
dojo	dojo
doldrums	doldrums
dole	dole
doll	panenka
dollar	dolar
dollhouse	domeček pro panenky
dolor	NO TRANSLATION
dolphin	delfín
domain	doména
dome	kupole
domestic	domácí
domesticated	domestikovaný
domestication	domestikace
domicile	bydliště
domiciled	bydliště
dominance	dominance
dominant	dominantní
dominate	ovládat
dominating	dominuje
domination	nadvláda
dominatrix	dominatrix
dominion	panství
domino	domino
don	don
donate	darovat
donation	dar
donkey	osel
donor	dárce
dontlikeyou	NO TRANSLATION
dontmess	NO TRANSLATION
dontmesswithme	dontmesswithme
dontpanic	dontpanic
dontunderstand	NO TRANSLATION
doodle	čmáranice
doom	osud
doomed	odsouzený
doomsday	soudný den
door	dveře
doorbell	domovní zvonek
doorknob	klika na kliky
doorman	vrátný
doormat	rohožka
doornail	dveřní hřeb
doorstep	prahu
doorway	vchod
dopamine	dopaminu
dope	drogy
dopey	drogy
dork	dork
dorky	dorky
dorm	kolej
dormant	spící
dormitory	ubytovna
dorsal	hřbetní
dosage	dávkování
dose	dávka
dossier	dokumentaci
dot	tečka
doting	doting
dotted	tečkovaný
dotty	praštěný
double	dvojnásobek
doubled	zdvojnásobil
doublet	dublet
doubling	zdvojnásobení
doubt	pochybovat
doubtful	pochybný
doubting	pochybovat
doubtless	nepochybně
doubts	pochybnosti
douche	sprcha
douchebags	douchebags
dough	těsto
doughboy	doughboy
doughnut	Kobliha
dour	zarputilý
douse	uhasit
dove	holubice
down	dolů
downcast	downcast
downer	sedativum
downfall	pád
downfield	dolů
downhearted	sklíčený
downhill	sjezd
download	stažení
downpour	liják
downright	jasně
downriver	dolů
downside	spodní strana
downtime	prostoje
downward	dolů
downy	peřový
dowry	věno
doze	dávka
dozen	tucet
drab	jednotvárný
draft	návrh
drafty	vystavený průvanu
drag	táhnout
dragon	drak
dragonfly	vážka
drain	vypouštění
drainage	odvodnění
drained	vyčerpaný
draining	vypouštění
drainpipe	okapová roura
drake	kačer
drama	drama
dramaqueen	NO TRANSLATION
dramatic	dramatický
drape	přikrýt
drapery	textil
drastic	drastický
drat	NO TRANSLATION
draught	návrh
draw	kreslit
drawback	nevýhodou
drawbridge	padací most
drawer	šuplík
drawers	šuplíky
drawing	výkres
dread	strach
dreaded	obávaný
dreadful	strašlivý
dreadfully	strašně
dreading	děsivý
dream	sen
dreamboat	dreamboat
dreamer	snílek
dreaming	sní
dreamland	zasněnost
dreams	sny
dreamt	snil
dreamy	zasněný
dreary	hrozné
dredge	hloubit
drenched	vyčerpaný
dress	šaty
dresser	prádelník
dressmaker	švadlena
dressy	elegantní
dribble	NO TRANSLATION
dried	sušené
drier	sušička
drift	drift
drifted	unavený
drifter	tulák
driftwood	naplavené dříví
drill	vrtat
drink	napít se
drinker	pijan
drinking	pití
drinks	nápoje
drip	odkapávat
dripping	kapající
drive	řídit
drivel	blábol
driver	Řidič
driveway	příjezdová cesta
drizzle	mrholení
droll	komický
drone	trubec
drones	drones
drool	slintat
drooping	klesá
droopy	droopy
drop	pokles
droplet	kapička
dropout	odchod
dropper	kapátko
drought	sucho
drove	NO TRANSLATION
drown	utopit
drowsiness	ospalost
drowsy	ospalý
drudgery	dřina
drug	lék
drug dealing	obchod s drogami
drugged	omámený
druggist	lékárník
drugs	drogy
drugstore	lékárna
druid	druid
drum	buben
drummer	bubeník
drumming	bubnování
drunk	opilý
drunk driving	řízení pod vlivem alkoholu
drunkard	opilec
drunken	opilý
drunkenness	opilost
dry	suchý
dryer	sušička
dryness	suchost
dual	dvojí
dualism	dualismus
duality	dualita
dub	dabovat
dubious	pochybný
duchess	vévodkyně
duck	kachna
ducking	kohoutek
duckling	kachňátko
ducky	drahoušek
duct	potrubí
ductile	tvárné
dud	dud
dude	kámo
duds	duds
due	z důvodu
duel	souboj
dues	poplatky
duet	duet
duffel	duffel
dugout	zákop
duh	duh
duke	vévoda
dull	nudný
dullard	tupec
dumb	němý
dumbasses	dumbasses
dumbbell	činka
dumbbitch	NO TRANSLATION
dumfound	dumfound
dumfounder	NO TRANSLATION
dummy	figurína
dump	skládka
dumpling	knedlík
dumps	skládky
dumpster	dumpster
dun	dun
dunce	hlupák
dune	duna
dung	NO TRANSLATION
dungeon	žalář
dunk	dunk
duo	duo
dupe	napálit
duplex	duplex
duplicate	duplikát
duplication	zdvojení
duplicity	duplicitě
durability	trvanlivost
durable	odolný
duration	doba trvání
duress	nátlak
dusk	soumrak
dusky	šerý
dust	prach
duster	prachovka
dustpan	lopatka na smetí
dusty	zaprášený
dutiful	svědomitý
duty	povinnost
dwarf	trpaslík
dwarfed	trpasličí
dweeb	dweeb
dwell	přebývat
dweller	obyvatel
dwelling	obydlí
dye	barvivo
dying	umírající
dyke	hráz
dynamic	dynamický
dynamical	dynamické
dynamics	dynamika
dynamite	dynamit
dynamo	dynamo
dynasty	dynastie
dysentery	úplavice
dysfunction	dysfunkce
dysfunctional	nefunkční
dyspepsia	dyspepsie
eager	dychtivý
eagerness	dychtivost
eagle	orel
ear	ucho
earful	uši
earl	hrabě
earlier	dříve
early	brzy
earn	vydělat
earnest	seriózní
earnestly	vážně
earnestness	vážnost
earnings	zisk
earpiece	sluchátko
earring	náušnice
earrings	náušnice
earshot	doslech
earth	Země
earthenware	kamenina
earthling	pozemní
earthly	pozemský
earthquake	zemětřesení
earthy	zemitý
ease	ulehčit
easel	stojan
easement	ulehčení
easily	snadno
east	východní
eastbound	na východ
eastern	východní
easy	snadný
easygoing	ležérní
eat	jíst
eater	jedlík
eating	jíst
eatingdisorders	NO TRANSLATION
eavesdrop	poslouchat
eavesdropping	odposlouchávání
ebb	odliv
ebony	eben
ebullient	vzrušující
eccentric	výstřední
eccentricity	excentricita
ecclesiastical	církevní
echelon	echelon
echinacea	echinacea
echo	echo
eclectic	eklektický
eclipse	zatmění
ecliptic	ekliptický
ecological	ekologický
economic	hospodářský
economical	hospodárný
economics	ekonomika
economy	ekonomika
ecosystem	ekosystému
ecstasy	extáze
ecstatic	extatický
ecumenical	ekumenický
eddy	vír
edema	otok
edge	okraj
edging	lemování
edgy	podrážděný
edible	jedlý
edict	edict
edification	poučení
edifice	budova
edit	Upravit
editing	editace
edition	edice
editor	editor
editorial	redakční
educate	vzdělávat
educated	vzdělaný
education	vzdělání
educational	vzdělávací
educator	pedagog
eeeek	NO TRANSLATION
eeek	NO TRANSLATION
eek	eek
eel	úhoř
eerie	děsivý
effect	účinek
effective	efektivní
effectiveness	účinnost
effects	účinky
effectual	účinný
effectually	efektivně
effectuate	provádět
effeminate	zženštilý
efficacious	účinný
efficacy	účinnost
efficiency	účinnost
efficient	účinný
effigy	podobizna
effort	snaha
effortless	bez námahy
effusion	výpotku
effyou	NO TRANSLATION
egg	vejce
egghead	vajíčka
eggnog	vaječný koňak
eggplant	lilek
eggshell	vaječné skořápky
ego	ego
egomaniac	egomaniac
egotistical	egoistické
egregious	obrovský
egress	výtok
eight	osm
eighteen	osmnáct
eighth	osmý
eighty	osmdesát
ejaculate	ejakulovat
ejaculation	ejakulace
eject	vysunout
ejection	vysunutí
elaborate	propracovaný
elaboration	zpracování
elan	NO TRANSLATION
elapse	uplynout
elapsed	Uplynulý
elastic	elastický
elasticity	pružnost
elated	vzrušený
elation	euforie
elbow	loket
eld	eld
elder	starší
elderly	starší
elders	starší
eldest	nejstarší
elect	zvolit
election	volby
elective	volitelný
elector	volič
electoral	volební
electorate	voliči
electric	elektrický
electric slide	elektrický snímač
electrical	elektrický
electrician	elektrikář
electricity	elektřina
electrify	elektrifikovat
electrocute	elektrody
electrocution	elektrickým proudem
electromagnetic	elektromagnetické
electron	elektron
electronic	elektronický
electronics	elektronika
elegance	elegance
elegant	elegantní
element	živel
elemental	elementární
elementary	základní
elements	Prvky
elephant	slon
elevate	povýšit
elevated	zvýšené
elevation	nadmořská výška
elevator	výtah
eleven	jedenáct
eleventh	jedenáctý
elf	Elf
elicit	vyvolat
eligible	oprávněný
eliminate	odstranit
elimination	odstranění
elite	elita
elitist	elitista
elixir	elixír
elk	elk
ell	ell
ellipse	elipsa
ellipsis	elipsa
ellipsoid	elipsoid
elliptic	eliptický
elliptical	eliptický
elm	jilm
elongate	prodloužený
elongation	prodloužení
elope	uprchnout
eloquence	výmluvnost
eloquent	výmluvný
elucidate	objasnit
elucidation	objasnění
elude	elude
elusive	nepolapitelný
emaciated	vyzáblý
email	e-mailem
emanate	emanovat
emancipation	emancipace
embankment	nábřeží
embargo	NO TRANSLATION
embark	nastupovat
embarrass	rozpaky
embarrassed	v rozpacích
embarrassing	trapný
embarrassment	rozpaky
embassy	ambasáda
embattled	zapálený
embed	vložit
embellish	ozdobit
embellishment	výzdoba
embers	žhavé uhlíky
embezzlement	zpronevěra
embezzler	defraudant
emblem	symbol
emblematic	emblematická
embodiment	ztělesnění
embolism	embolie
embossed	reliéfní
embrace	objetí
embroidered	vyšívané
embroidery	výšivka
embroiled	zapletené
embryo	embryo
embryonic	embryonální
emcee	konferenciér
emerald	smaragd
emerge	vynořit
emergence	vznik
emergency	nouzový
emeritus	emeritus
emery	smirek
emetophobia	emetofobie
emigrate	emigrovat
emigration	emigrace
eminence	eminence
eminent	přední
eminently	neobyčejně
emir	NO TRANSLATION
emissary	emisar
emission	emise
emit	vysílat
emo	emo
emotion	emoce
emotional	emocionální
emotive	emotivní
empathic	empaticky
empathize	vcítit se
empathy	empatie
emperor	císař
emphasis	důraz
emphasize	zdůraznit
emphatic	důrazný
emphysema	emfyzém
empire	říše
empirical	empirický
empiricism	empirismus
employ	zaměstnat
employee	zaměstnanec
employer	zaměstnavatel
employment	zaměstnanost
emporium	obchodní středisko
empower	zmocnit
empress	císařovna
emptiness	prázdnota
emption	empatie
empty	prázdný
emu	emu
emulate	emulovat
emulsion	emulze
enable	umožnit
enablement	povolení
enact	přijmout
enactment	uzákonění
enamel	smalt
encampment	tábor
enchant	okouzlit
enchanted	okouzlený
enchanting	okouzlující
enchantment	okouzlení
enchantress	kouzelnice
enchilada	enchilada
encircle	obklíčit
encircling	obklíčení
enclave	enklávě
enclose	přiložit
enclosure	Ohrada
encode	zakódovat
encomiastic	NO TRANSLATION
encomium	encomium
encompass	zahrnovat
encore	NO TRANSLATION
encounter	setkání
encourage	podporovat
encouraged	povzbuzení
encouragement	povzbuzení
encouraging	povzbudivý
encroach	zasahovat
encroachment	zásahu
encrypt	šifrování
encryption	šifrování
encumbrance	břemeno
encyclopedia	encyklopedie
end	konec
end table	stolek
endanger	ohrozit
endangered	ohrožena
endangerment	ohrožení
endearing	roztomilé
endeavor	usilovat
ended	skončil
endemic	endemický
endgame	konec hry
ending	konec
endless	nekonečný
endocarditis	endokarditida
endorse	podpořit
endorsement	schválení
endow	vybavit
endowed	obdařen
endowment	nadace
endpapers	endpages
endpoint	koncový bod
endurance	vytrvalost
endure	vydržet
enduring	trvalý
enema	klystýr
enemy	nepřítel
energetic	energický
energize	energizovat
energy	energie
enforce	prosazovat
enforcement	vynucení
enforcer	enforcer
engage	zapojit se
engaged	zapojeno
engagement	zapojení
engaging	zapojení
engender	vydělat
engine	motor
engineer	inženýr
engineering	inženýrství
engrave	vyrýt
engraved	vyryté
engraver	rytec
engraving	rytina
engrossed	zaujatý
engrossing	úchvatné
engulf	pohltit
enhance	zlepšit
enhancement	zvýšení
enigma	hádanka
enigmatic	tajemný
enjoin	objednat
enjoy	užívat si
enjoyable	příjemný
enjoying	těší se
enjoyment	zážitek
enlarge	zvětšit
enlarged	zvětšený
enlargement	rozšíření
enlighten	osvítit
enlightened	osvícený
enlightening	osvícení
enlightenment	osvícení
enlist	získat
enliven	oživit
enmity	nepřátelství
ennui	ennui
enormity	obludnost
enormous	obrovský
enormously	obrovsky
enraged	rozzuřený
enrich	obohatit
enroll	zapsat
enrollment	zápis
ensemble	soubor
ensign	prapor
enslave	zotročit
enslaved	zotročený
enslavement	zotročení
ensue	vyplývat
ensure	zajistit
entail	to znamená
entangled	zamotaný
entanglement	zapletení
enter	zadejte
enterprise	podnik
enterprising	podnikavý
entertain	bavit
entertained	baví
entertainer	konferenciér
entertaining	zábavný
entertainment	zábava
enthralled	nadšený
enthusiasm	nadšení
enthusiast	nadšenec
enthusiastic	nadšený
entice	lákat
entire	celý
entirety	celistvost
entitle	opravit
entity	subjektu
entomology	entomologie
entourage	doprovod
entrails	vnitřnosti
entrance	vchod
entrapment	zachycení
entreat	prosil
entree	entrée
entrepreneur	podnikatel
entrust	svěřit
entry	vstup
enumerate	vyjmenovat
enumeration	výčet
envelope	obálka
envious	závistivý
environ	NO TRANSLATION
environment	životní prostředí
environmental	životního prostředí
environs	okolí
envision	představit
envoy	vyslanec
envy	závist
enzyme	enzym
ephemeral	efemérní
ephemeris	ephemeris
epic	epické
epidemic	epidemie
epidermis	pokožka
epidural	epidurální
epilepsy	epilepsie
epileptic	epileptický
epilogue	epilog
epiphany	epifany
episcopal	episkopální
episode	epizoda
episodic	epizodický
epistle	epištola
epitaph	epitaf
epithet	epiteton
epitome	ztělesnění
epoch	epocha
equal	rovnat se
equality	rovnost
equalization	vyrovnání
equalize	vyrovnat
equalizer	ekvalizéru
equally	stejně
equate	vyrovnat
equation	rovnice
equator	rovník
equatorial	rovníkový
equestrian	jezdecký
equidistant	stejně vzdálený
equilibration	ekvilibrace
equilibrium	rovnováha
equip	vybavit
equipment	zařízení
equitable	spravedlivý
equity	spravedlnost
equivalence	rovnocennost
equivalent	ekvivalent
equivocal	jednoznačné
era	éra
eradicate	vymýtit
eradication	eradikace
erase	vymazat
eraser	guma
erasure	vymazání
ere	NO TRANSLATION
erect	postavit
erectile	erektilní
erection	erekce
ergo	NO TRANSLATION
