Word	el
clavicle	κλείδα
claw	δαγκάνα
claws	νύχια
clay	πηλός
clean	ΚΑΘΑΡΗ
cleaner	καθαριστής
cleaning	καθάρισμα
cleanliness	καθαριότητα
cleanly	καθαρά
cleanse	καθαρίζω
cleanser	καθαριστικό
cleansing	καθαρισμό
cleanup	καθάρισε
clear	Σαφή
clearance	εκτελωνισμός
clearing	ξέφωτο
clearness	καθαρότητα
cleat	στήριγμα
cleavage	σχίσιμο
cleave	σχίζω
cleaver	NO TRANSLATION
clef	κλειδί
cleft	σχισμή
clemency	επιείκεια
clench	σφίγγω
clergy	κλήρος
clergyman	κληρικός
cleric	κληρικός
clerical	κληρικός
clerk	υπάλληλος
clerkship	γραμματεία
clever	έξυπνος
cleverness	εξυπνάδα
click	Κάντε κλικ
clicker	clicker
client	πελάτης
clientele	πελατεία
cliff	γκρεμός
climate	κλίμα
climatology	κλιματολογία
climax	κορύφωση
climb	αναρρίχηση
climber	ορειβάτης
clinch	σφίγγω
cling	συνδέομαι
clingy	προσκολλητώς
clinic	κλινική
clinical	κλινικός
clink	χτυπώ
clip	συνδετήρας
clipboard	πρόχειρο
clipper	ψαλίδι
clipping	απόκομμα
clique	NO TRANSLATION
clitoris	κλειτορίς
cloak	μανδύας
cloaking	cloaking
cloakroom	γκαρνταρόμπα
clobber	κοπανάω
clock	ρολόι
clockwork	μηχανισμός ωρολογιού
clod	μπουμπούνας
clog	βουλώνω
cloister	μοναστήρι
clone	κλώνος
cloning	κλωνοποίηση
close	Κοντά
closed	κλειστό
closeness	εγγύτητα
closet	ΝΤΟΥΛΑΠΑ ΡΟΥΧΩΝ
closure	κλείσιμο
clot	θρόμβος
cloth	πανί
clothe	ντύνω
clothes	ρούχα
clothesline	ρούχα
clothing	είδη ένδυσης
cloud	σύννεφο
clouded	θολός
cloudiness	συννεφιά
clouds	σύννεφα
cloudy	συννεφιασμένος
clout	καρπαζιά
clove	γαρύφαλλο μπαχαρικό
clover	τριφύλλι
cloves	γαρίφαλο
clown	κλόουν
clowns	κλόουν
club	Λέσχη
clubhouse	clubhouse
clubs	κλαμπ
cluck	κακαρίζω
clue	ένδειξη
clueless	ανυπόμονος
clump	συστάδα δέντρων
clumsy	αδέξιος
clunk	clunk
cluster	σύμπλεγμα
clutch	συμπλέκτης
clutches	συμπλέκτες
clutter	σύγχυση
coach	προπονητής
coachman	αμαξάς
coagulation	πήξη
coal	κάρβουνο
coalesce	συναυξάνω
coalition	συνασπισμός
coarse	τραχύς
coast	ακτή
coastal	παραλιακός
coaster	ακτοπλόων
coastline	ακτογραμμή
coat	παλτό
coating	επένδυση
coax	καταφέρνω
cobalt	κοβάλτιο
cobble	κροκάλα
cobbler	φρουτόπιτα
cobra	κόμπρα
cocaine	κοκαΐνη
cock	κόκορας
cockamamie	cockamamie
cockeyed	αλλοίθωρος
cockpit	στίβος κοκκορομαχιών
cockroach	κατσαρίδα
cocksucker	κοροϊδεύοντας
cocktail	κοκτέιλ
cocky	αναιδής
cocoa	κακάο
coconut	καρύδα
cocoon	κουκούλι
cod	γάδος
code	κώδικας
codeine	κωδεΐνη
codex	κώδιξ
codfish	μπακαλάος
codification	κωδικοποίηση
codify	κωδικοποιώ
coding	κωδικοποίηση
coed	coed
coefficient	συντελεστής
coerce	αναγκάζω
coercion	εξαναγκασμός
coercive	καταναγκαστικός
coexist	συνυπάρχω
coexistence	συνύπαρξη
coexisting	συνυπάρχουν
coffee	καφές
coffee table	τραπεζάκι του καφέ
coffeehouse	καφετέρια
coffeepot	μπρίκι
coffin	φέρετρο
cog	δόντι τροχού
cogent	πειστικός
cognac	κονιάκ
cognate	συγγενής
cognition	γνωστική λειτουργία
cognitive	γνωστική
cohabitation	συμβίωση
coherence	συνοχή
coherent	συναφής
cohesion	συνοχή
cohesive	συνεκτικός
cohort	σώμα στρατού
coil	σπείρα
coiled	περιτυλιγμένα
coin	κέρμα
coinage	νομισματοκοπία
coincide	συμπίπτω
coincidence	σύμπτωση
coincident	συμπίπτων
coincidental	συμπτωματικός
coinciding	που συμπίπτει
coke	κοκ
cola	δένδρο των τροπικών
cold	κρύο
coldly	ψυχρά
coldness	ψυχρότητα
coldsweat	NO TRANSLATION
coleslaw	λαχανοσαλάτα
colic	κολικός
coliseum	Κολόσαιο
collaborate	συνεργάζομαι
collaboration	συνεργασία
collaborator	συνεργάτης
collage	κολάζ
collagen	κολλαγόνο
collapse	κατάρρευση
collar	περιλαίμιο
collarbone	κλειδιά
collate	αντιπαραβάλλω
collateral	εγγύηση
collation	αντιπαραβολή
colleague	συνάδελφος
collect	συλλέγω
collected	συγκεντρωμένος
collection	συλλογή
collective	συλλογικός
collectively	συλλογικά
collector	συλλέκτης
college	Κολλέγιο
collegiate	ακαδημαϊκός
collide	συγκρούονται
collie	είδος ποιμενικού σκύλου
collision	σύγκρουση
collocation	συγκατάταξη
colloquial	καθομιλουμένη
collusion	συμπαιγνία
cologne	Κολόνια
colon	άνω κάτω τελεία
colonel	συνταγματάρχης
colonial	αποικιακός
colonic	παχέος εντέρου
colonoscopy	κολονοσκόπηση
colony	αποικία
colophon	σήμα εκδότη βιβλίου
color	χρώμα
coloration	χρωματισμός
colored	έγχρωμος
colorful	πολύχρωμα
coloring	χρωστικός
colorless	άχρωμος
colors	χρωματιστά
colossal	κολοσσιαίος
colt	πουλάρι
columbine	columbine
column	στήλη
columnar	κιονοειδής
columnist	αρθρογράφος
com	NO TRANSLATION
coma	κώμα
comatose	κωματώδης
comb	χτένα
combat	μάχη
combatant	πολεμιστής
combative	μαχητικός
combination	συνδυασμός
combinatorial	συνδυαστική
combine	συνδυασμός
combined	σε συνδυασμό
combo	combo
combustible	καύσιμο
combustion	καύση
come	Έλα
comeback	ελα πισω
comedian	κωμικός
comedy	κωμωδία
comet	κομήτης
comfort	άνεση
comfortable	άνετος
comforter	κασκόλ
comforting	ανακουφίζοντας
comfy	άνετο
comic	κόμικς
comical	κωμικός
comics	ιστορία σε εικόνες
coming	ερχομός
comma	κόμμα
command	εντολή
commandant	διοικητής
commandeer	επιτάσσω
commander	διοικητής
commanding	διοικών
commandment	εντολή
commando	καταδρομέας
commemorate	εορτάζω την μνήμη
commemoration	εορτασμός
commemorative	αναμνηστικός
commence	αρχίζω
commend	συνιστώ
commendable	αξιέπαινος
commendation	έπαινος
commensurate	ανάλογος
comment	σχόλιο
commentary	σχολιασμός
commentator	σχολιαστής
commerce	εμπόριο
commercial	εμπορικός
commie	commie
commissary	επίτροπος
commission	επιτροπή
commissioner	επίτροπος
commit	διαπράττω
commitment	δέσμευση
committal	ανάθεση
committed	δεσμεύεται
committee	επιτροπή
commodity	εμπόρευμα
commodore	ανώτερος αξιωματικός του ναυτικού
common	κοινός
commoner	αστός
commonly	συνήθως
commonplace	κοινός
commons	κοινά
commonwealth	κοινοπολιτεία
commotion	αναταραχή
communal	κοινόχρηστος
commune	κοινότητα
communicable	μεταδόσιμος
communicate	ΕΠΙΚΟΙΝΩΝΩ
communication	επικοινωνία
communicative	ομιλητικός
communicator	μεταδίδων
communion	κοινωνία
communism	κομμουνισμός
communist	κομμουνιστικός
community	κοινότητα
commutation	μετατροπή
commutative	commutative
commute	ανταλάσσω
commuter	επιβάτης
comp	comp
compact	συμπαγής
compaction	συμπύκνωση
compactness	συμπαγές
companion	σύντροφος
companionless	χωρίς σύντροφο
companionship	συντροφιά
company	Εταιρία
comparable	συγκρίσιμος
comparative	συγκριτικός
comparatively	συγκριτικά
compare	συγκρίνω
comparison	σύγκριση
compartment	διαμέρισμα
compass	πυξίδα
compassion	συμπόνια
compassionate	συμπονετικός
compatibility	συμβατότητα
compatible	σύμφωνος
compel	υποχρεώνω
compelled	υποχρεωμένοι
compelling	συναρπαστικό
compendium	επιτομή
compensate	αποζημιώνω
compensation	αποζημίωση
compensatory	αποζημιωτικός
compete	ανταγωνίζονται
competence	επάρκεια
competency	ικανότητας
competent	ικανός
competition	ανταγωνισμός
competitive	ανταγωνιστικός
competitor	ανταγωνιστής
compilation	συλλογή
compile	συντάσσω
complacency	εφησυχασμό
complacent	ικανοποιημένος
complain	κανω παραπονα
complaint	καταγγελία
complement	συμπλήρωμα
complementary	συμπληρωματικός
complete	πλήρης
completed	ολοκληρώθηκε το
completely	εντελώς
completeness	πληρότητα
completing	ολοκληρώνοντας
completion	ολοκλήρωση
complex	συγκρότημα
complexed	συγκροτημένο
complexion	χροιά
complexity	περίπλοκο
compliance	συμμόρφωση
compliant	υποχωρητικός
complicate	περιπλέκω
complicated	περίπλοκος
complication	επιπλοκή
complicity	συνενοχή
compliment	NO TRANSLATION
complimentary	φιλοφρονητικός
comply	συμμορφώνομαι
complying	συμμορφώνεται
compo	compo
component	συστατικό
compose	συνθέτω
composed	απαρτίζεται
composer	συνθέτης
composite	σύνθετος
composition	σύνθεση
compost	κοπρόχωμα
composure	ψυχραιμία
compound	χημική ένωση
comprehend	κατανοώ
comprehension	κατανόηση
comprehensive	περιεκτικός
compress	συμπιέζω
compressed	συμπιεσμένο
compressible	συμπιεστός
compression	συμπίεση
compressor	συμπιεστής
comprise	περιλαμβάνω
compromise	συμβιβασμός
comptroller	ελεγκτής
compulsion	καταναγκασμός
compulsive	καταπιεστικός
compulsory	υποχρεωτικός
computable	υπολογίσιμος
computation	υπολογισμός
compute	υπολογίζω
computer	υπολογιστή
computerized	μηχανογραφημένη
computing	χρήση υπολογιστή
comrade	σύντροφος
con	NO TRANSLATION
concatenation	αληλουχία
concave	κοίλος
conceal	κρύβουν
concealed	απόκρυψη
concealment	απόκρυψη
concede	παραδέχομαι
conceit	έπαρση
conceited	ματαιόδοξος
conceivable	νοητός
conceive	συλλαμβάνω
concentrate	συγκεντρώνομαι
concentration	συγκέντρωση
concentric	ομόκεντρος
concept	έννοια
conception	σύλληψη
concern	ανησυχία
concerned	ενδιαφερόμενος
concert	συναυλία
concerto	συναυλία
concession	παραχώρηση
concessional	ευνοϊκό
conch	βούκινο
concierge	θυρωρός
conciliation	συμβιβασμός
concise	συνοπτικός
conclave	σύσκεψη
conclude	καταλήγω
concluding	Καταλήγοντας
conclusion	συμπέρασμα
conclusive	πειστικός
concoction	αφέψημα
concomitant	συνακόλουθος
concord	ομόνοια
concordance	συμφωνία
concours	NO TRANSLATION
concourse	συνάθροιση
concrete	σκυρόδεμα
concubine	παλλακίδα
concur	συμπίπτω
concurrence	σύμπτωση
concurrent	ταυτόχρονος
concurring	συμφωνούν
concussion	διάσειση
condemn	καταδικάζω
condemnation	καταδίκη
condensation	συμπύκνωση
condensed	συμπυκνωμένο
condescending	καταδεκτικός
condescension	συγκατάβαση
condiment	καρύκευμα
condition	κατάσταση
conditional	υποθετικός
conditionally	υπό όρους
conditioned	κλιματισμό
conditioner	μαλακτικό
conditioning	κλιματισμό
conditions	συνθήκες
condo	condo
condolence	συλλυπητήρια
condolences	συλλυπητήρια
condom	προφυλακτικό
condone	συγχωρώ
condor	κόνδωρ
conducive	συμβάλλων
conduct	συμπεριφορά
conduction	μεταβίβαση
conductivity	αγώγιμο
conductor	αγωγός
conduit	αγωγός
cone	κώνος
confederacy	ομοσπονδία
confederate	συνασπίζομαι
confederation	συνομοσπονδία
confer	συνδιασκέπτομαι
conference	διάσκεψη
confess	ομολογώ
confession	ομολογία
confessional	εξομολογητήριο
confessions	ομολογίες
confetti	κομφετί
confidant	έμπιστος φίλος
confide	εμπιστεύομαι
confidence	αυτοπεποίθηση
confident	βέβαιος
confidential	εμπιστευτικός
confidentiality	εμπιστευτικότητα
confidentially	NO TRANSLATION
configuration	διαμόρφωση
confine	περιορίζω
confined	περιορισμένος
confinement	περιορισμός
confines	όρια
confirm	επιβεβαιώνω
confirmation	επιβεβαίωση
confirmatory	επιβεβαιωτικός
confirmed	επιβεβαιωμένος
confiscate	κατάσχω
confiscation	κατάσχεση
conflagration	πυρκαγιά
conflict	σύγκρουση
conflicting	αντιφατικός
confluence	συμβολή
conform	συμμορφώνομαι
conformance	συμμόρφωση
conformation	NO TRANSLATION
conformity	συμμόρφωση
confound	κατατροπώνω
confounded	καταραμένος
confront	αντιμετωπίζω
confrontation	αντιμετώπιση
confuse	συγχέω
confused	ταραγμένος
confusing	σύγχυση
confusion	σύγχυση
conga	conga
congenial	συμπαθής
congenital	εκ γενετής
congestion	συμφόρηση
conglomerate	συσφαιρώνω
conglomeration	συσσώρευση
congrats	συγχαρητήρια
congratulate	συγχαιρώ
congratulation	συγχαρητήριο
congratulations	Συγχαρητήρια
congratulatory	συγχαρητήριος
congregate	συναθροίζω
congregation	εκκλησίασμα
congress	συνέδριο
congressional	βουλευτικός
congressman	βουλευτής
congruence	μαθηματική αναλογία
conic	κωνικός
conical	κωνικός
conjecture	εικασία
conjugal	συζυγικός
conjugate	κλίνω
conjugation	σύζευξη
conjunction	σύνδεση
conjunctive	συνδετικός
conjure	εξορκίζω
conjuring	εξαναγκάζοντας
conk	conk
connect	συνδέω-συωδεομαι
connected	συνδεδεμένος
connection	σύνδεση
connective	συνδετικός
connoisseur	γνώστης
conquer	κατακτώ
conquering	κατακτώντας
conqueror	κατακτητής
conquest	κατάκτηση
conscience	συνείδηση
conscientious	ευσυνείδητος
conscious	συνειδητός
consciousness	συνείδηση
conscription	στρατολογία
consecrated	αφιερωμένο
consecration	καθαγίαση
consecutive	συνεχής
consensual	ομόφωνος
consensus	ομοφωνία
consent	συγκατάθεση
consenting	συναίνεση
consequence	συνέπεια
consequent	συνεπής
conservation	διατήρηση
conservatism	συντηρητισμός
conservative	συντηρητικός
conservatory	ωδείο
conserve	συντηρώ
consider	σκεφτείτε
considerable	σημαντικός
considerate	διακριτικός
consideration	θεώρηση
consignee	παραλήπτης
consignment	αποστολή
consist	αποτελούμαι
consistency	συνοχή
consistent	σταθερός
consolation	παρηγοριά
console	κονσόλα
consoled	παρηγοριά
consolidate	παγιώνω
consolidated	ενοποιημένος
consolidation	ενοποίηση
consonant	σύμφωνο
consort	σύζυγος
conspicuous	εμφανής
conspiracy	συνωμοσία
conspirator	συνωμότης
conspire	συνωμοτώ
constable	αστυφύλακας
constancy	σταθερότητα
constant	συνεχής
constantly	συνεχώς
constellation	σχηματισμού
consternation	κατάπληξη
constipation	δυσκοιλιότητα
constituency	εκλογική περιφέρεια
constituent	ψηφοφόρος
constituents	συστατικά
constitute	απαρτίζω
constitution	σύνταγμα
constitutional	συνταγματικός
constitutionality	συνταγματικότητα
constrain	περιορίζω
constrained	περιορισμένες
constraint	περιορισμός
construct	κατασκευάσει
construction	κατασκευή
constructive	εποικοδομητικός
construe	ερμηνεύω
consul	πρόξενος
consulate	προξενείο
consult	συμβουλεύομαι
consultant	σύμβουλος
consultation	διαβούλευση
consume	καταναλώνω
consumer	καταναλωτής
consuming	καταναλώνουν
consummate	τέλειος
consummation	ολοκλήρωση
consumption	κατανάλωση
contact	Επικοινωνία
contagion	μετάδοση
contagious	μεταδοτικός
contain	περιέχω
container	δοχείο
containment	περιορισμός
contaminate	μολύνω
contaminated	μολυσμένο
contamination	μόλυνση
contemplate	ατενίζω
contemplation	ενατένιση
contemplative	στοχαστικός
contemporaneous	σύγχρονος
contemporary	σύγχρονος
contempt	περιφρόνηση
contemptible	ποταπός
contemptuous	περιφρονητικός
contend	υποστηρίζω
contender	ανταγωνιστής
contending	υποστηρίζοντας
content	περιεχόμενο
contented	ευχαριστημένος
contention	ισχυρισμός
contentious	φιλόνικος
contentment	ικανοποίηση
contents	περιεχόμενα
contest	διαγωνισμός
contestant	αγωνιζόμενος
context	συμφραζόμενα
contiguous	συναφής
continence	εγκράτεια
continent	Ήπειρος
continental	ευρωπαϊκός
contingency	ενδεχόμενο
contingent	ενδεχόμενος
continual	συνεχής
continually	συνεχώς
continuance	συνέχιση
continuation	συνέχιση
continue	να συνεχίσει
continued	συνεχίζεται
continuing	συνεχίζοντας
continuity	συνέχεια
continuous	συνεχής
continuously	συνεχώς
continuum	συνέχεια
contour	περίγραμμα
contraband	λαθρεμπόριο
contraception	αντισύλληψη
contract	σύμβαση
contracted	συνεσταλμένος
contractile	συσταλτικός
contracting	συμβαλλόμενος
contraction	συστολή
contractor	εργολάβος
contradict	διαψεύδω
contradiction	αντίφαση
contradictory	αντιφατικός
contraption	μαραφέτι
contrary	αντίθετος
contrast	αντίθεση
contrasted	αντίθετα
contravene	εναντιούμαι
contravention	παράβαση
contribute	συμβάλλει
contribution	συνεισφορά
contributor	συνεισφέρων
contrite	μεταμελημένος
contrition	συντριβή
contrived	σκεπτόμενος
control	έλεγχος
controller	ελεγκτής
controlling	έλεγχος
controversial	αμφιλεγόμενος
controversy	αμφισβήτηση
contusion	μώλωπας
conundrum	αίνιγμα
convalescent	αναρρωνύων
convection	μεταγωγή
convene	συγκαλώ
convenience	ευκολία
conveniences	ευκολίες
convenient	βολικός
convent	γυναικεία μονή
convention	σύμβαση
conventional	συμβατικός
converge	συγκλίνω
convergence	σύγκλιση
convergent	συγκεντρούμενος
conversant	εντριβής
conversation	συνομιλία
conversational	ομιλητικός
conversationalist	λογάς
converse	αντίστροφο
conversing	συζητώντας
conversion	μετατροπή
convert	μετατρέπω
converted	έχει μετατραπεί
convertible	μετατρέψιμος
convex	κυρτός
convexity	κυρτότητα
convey	μεταφέρω, εκφράζω
conveyance	μεταφορά
conveyancing	μεταβίβαση
convict	κατάδικος
conviction	καταδίκη
convince	πείθω
convinced	πεπεισμένοι
convincing	πειστικός
convocation	σύγκληση
convoluted	Στροβιλίζεται
convolution	περιελιγμός
convoy	συνοδεία
coo	ερωτολογώ
cook	μάγειρας
cookbook	βιβλίο μαγειρικής
cooker	κουζίνα
cookery	μαγειρική
cookie	κουλουράκι
cookies	μπισκότα
cooking	μαγείρεμα
cookout	cookout
cool	δροσερός
coolant	ψυκτικό
cooler	ψυγείο
cooling	ψύξη
coolness	ψυχρότητα
coon	coon
coop	κοτέτσι
cooperate	συνεργάζονται
cooperating	συνεργασία
cooperation	συνεργασία
cooperative	συνεργατική
coordinate	συντεταγμένη
coordination	συντονισμός
coordinator	συντονιστής
cop	μπάτσος
copacetic	NO TRANSLATION
cope	αντιμετωπίζω
copier	αντιγραφέας
copilot	δεύτερος πιλότος
coping	μαρκίζα
copious	άφθονος
copper	χαλκός
copter	copter
copy	αντίγραφο
copycat	copycat
copying	αντιγραφή
copyright	πνευματική ιδιοκτησία
coral	κοράλλι
coral snake	κοραλλιογενή φίδι
cord	κορδόνι
cordial	εγκάρδιος
cordless	ασύρματο
cordon	κορδόνι
corduroy	βερμούδα
core	πυρήνας
cork	φελλός
corkscrew	τιρμπουσό
corn	καλαμπόκι
cornball	κορνμπολ
cornbread	καλαμποκιού
cornea	κερατοειδής χιτών
corned	corned
corner	γωνία
cornerstone	ακρωγωνιαίος λίθος
cornet	σάλπιγγας
cornfield	καλαμπόκι
cornflakes	NO TRANSLATION
cornice	κορνίζα
cornstarch	άμυλο αραβοσίτου
corny	κακής ποιότητος
corollary	συνέπεια
corona	στέμμα
coronary	στεφανιαίος
coronation	στέψη
coroner	δικαστής ερευνών
corporal	δεκανέας
corporate	εταιρικός
corporation	εταιρεία
corporeal	σωματικός
corps	σώμα
corpse	πτώμα
corpsman	σώμα
corpus	σώμα
corral	μαντρί
correct	σωστός
correction	διόρθωση
correctional	σωφρονιστικός
corrective	διορθωτικός
correctness	ορθότητα
correlation	συσχέτιση
correlative	συσχετικός
correspond	ανταποκρίνομαι
correspondence	αλληλογραφία
correspondent	ανταποκριτής
corresponding	αντίστοιχος
corridor	διάδρομος
corroborate	ενισχύω
corroboration	επιβεβαίωση
corrosion	διάβρωση
corrosive	διαβρωτικός
corrupt	διεφθαρμένος
corrupting	καταστρέφοντας
corruption	διαφθορά
corsage	κορσάζ
corse	NO TRANSLATION
corset	κορσές
cortex	φλοιός
cortical	φλοιώδη
cortisone	κορτιζόνη
corvette	κορβέτα
cosmetic	καλλυντικό
cosmetics	καλλυντικά
cosmic	κοσμικός
cosmology	κοσμολογία
cosmopolitan	κοσμοπολίτικος
cosmos	σύμπαν
cost	κόστος
costly	δαπανηρός
costume	ενδυμασία
cosy	ζεστός
cot	κρεβατάκι
cote	μάνδρα για ζώα
cottage	εξοχικό σπίτι
cotton	βαμβάκι
couch	καναπές
cougar	ορεινός λέων
cough	βήχας
council	συμβούλιο
councilman	Σύμβουλος
counsel	ο ΣΥΝΗΓΟΡΟΣ
counseling	συμβουλευτική
counsellor	σύμβουλος
counselor	σύμβουλος
count	μετρώ
countdown	αντίστροφη μέτρηση
countenance	όψη
counter	μετρητής
counteract	αντενεργώ
counterattack	αντεπίθεση
counterbalance	αντίβαρο
counterclaim	ανταπαίτηση
counterfeit	πλαστός
counterpart	αντίστοιχος
counterpoint	αντίστιξη
countess	κόμισσα
countless	αμέτρητος
country	Χώρα
countryman	συμπατριώτης
countrymusic	NO TRANSLATION
countryside	εξοχή
counts	μετράει
county	κομητεία
coup	πραξικόπημα
coupe	κουπέ
couple	ζευγάρι
coupled	συζευγμένο
coupling	σύζευξη
coupon	κουπόνι
courage	θάρρος
courageous	θαρραλέος
courier	μεταφορέας
courses	ΚΥΚΛΟΣ ΜΑΘΗΜΑΤΩΝ
coursing	coursing
court	δικαστήριο
courteous	ευγενής
courtesy	ευγένεια
courthouse	δικαστήριο
courtroom	αίθουσα δικαστήριου
courts	δικαστήρια
courtship	ερωτοτροπία
courtside	στο γήπεδο
courtyard	αυλή
cousin	ξαδερφος ξαδερφη
cousins	ξαδερφια
cove	λιμανάκι
coven	coven
covenant	σύμφωνο
cover	κάλυμμα
coverage	κάλυψη
covered	σκεπαστός
covering	κάλυμμα
covert	συγκαλυμμένος
covet	επιθυμώ
coveted	πολυπόθητο
cow	αγελάδα
coward	δειλός
cowardice	δειλία
cowardly	δειλά
cowboy	καουμπόη
cowgirl	cowgirl
cowhand	cowhand
cowhide	βακέτα
cowl	κουκούλα
coworker	συνεργάτης
coy	ντροπαλός
coyote	λύκος της Βόρειας Αμερικής
cozy	ζεστός
crab	Κάβουρας
crabby	crabby
crack	ρωγμή
cracked	Ραγισμένο
cracker	παξιμάδι
crackerjack	crackerjack
cracking	ράγισμα
crackle	κροτάλισμα
crackpot	εκκεντρικός
cradle	κούνια
craft	σκάφος
crafts	χειροτεχνία
craftsman	τεχνίτης
craftsmanship	δεξιοτεχνία
crafty	μάγκας
craig	craig
cram	χώνω
crammed	γεμισμένο
cramp	κράμπα
cramped	πυκνός
cranberry	κράνμπερι
cranberry juice	χυμό μούρων
crane	γερανός
cranial	κρανιακός
cranium	κρανίο
crank	μανιβέλα
cranky	εκκεντρικός
cranny	σχισμή
crap	σκατά
crappy	crappy
craps	ζάρια
crash	σύγκρουση
crass	χονδροειδής
crate	σακαράκα
crater	κρατήρας
crave	εκλιπαρώ
craving	λαχτάρα
crawfish	καραβίδα
crawl	αργή πορεία
crayon	παστέλ
crayons	κραγιόνια
craze	τρέλα
crazed	τρελό
craziness	τρέλα
crazy	τρελός
creak	τρίξιμο
creaking	σκασίματα
cream	κρέμα
creamed	κρέμα
creamer	δοχείο κρέμας
creamy	αφρογαλακτώδης
crease	πτυχή
create	δημιουργώ
creation	δημιουργία
creative	δημιουργικός
creativity	δημιουργικότητα
creator	δημιουργός
creature	πλάσμα
credence	πίστη
credential	πιστοποιητικό
credentials	διαπιστευτήρια
credibility	αξιοπιστία
credible	αξιόπιστος
credit	πίστωση
credit card	πιστωτική κάρτα
creditable	αξιόπιστος
credited	πιστώθηκε
crediting	πίστωση
creditor	πιστωτής
creed	θρήσκευμα
creek	ποταμάκι
creep	ανατριχιάζω
creeper	αναρριχητικό φυτό
creeping	σέρνεται
creepy	ανατριχιαστικός
cremation	αποτέφρωση
creole	κρεολός
crepe	κρεπ
crescendo	αυξάνων τόνος
crescent	ημισέληνος
crest	κορυφογραμμή
crestfallen	άθυμος
cretin	δύσμορφος
cretins	κρετίνες
crevice	ρωγμή
crew	πλήρωμα
crewman	πληρώματος
crib	παχνί
cricket	κρίκετ
cried	φώναξε
crime	έγκλημα
criminal	εγκληματίας
criminality	εγκληματικότητα
crimp	τσακίζω
crimson	βυσσινί
cringe	μαζεύομαι
cripple	σακατεύω
crippled	αναστατωμένος
crippling	ανάπηρος
crisis	κρίση
crisp	τραγανός
crispy	αφράτος
criterion	κριτήριο
critic	κριτικός
critical	κρίσιμος
criticise	κριτικάρω
criticism	κριτική
criticize	κριτικάρω
criticized	κριτική
critique	κριτική
critter	critter
croak	γκρινιάζω
croc	croc
crock	σταμνί
crockery	πιάτα
crocodile	κροκόδειλος
croft	αγρόκτημα
croissant	κρουασάν
crook	απατεώνας
crooked	ανέντιμος
crop	καλλιέργεια
croquet	κροκέ
cross	σταυρός
cross country	cross country
crossbow	τόξο
crossed	διέσχισε
crossfire	διασταυρομένα πύρα
crossing	διάβαση
crossover	crossover
crosswalk	διαβάθμιση
crossword	σταυρόλεξο
crotch	καβάλος
crouch	ζαρώνω
crouched	στρογγυλεμένο
crouching	σκύψιμο
croupier	κρουπιέρης
crow	κοράκι
crowbar	λοστός
crowd	πλήθος
crowded	γεματο κοσμο
crowds	πλήθη
crown	στέμμα
crowning	στέμμα
crucial	κρίσιμος
cruciate	ο σταυρός
crucifix	σταυρός
crucifixion	σταύρωση
crucify	σταυρώνω
crud	crud
crude	ακατέργαστος
cruel	σκληρός
cruelly	σκληρά
cruelty	σκληρότητα
cruise	κρουαζιέρα
cruise ship	κρουαζιερόπλοιο
cruiser	καταδρομικό
cruising	κρουαζιέρα
crumb	ψίχα
crumble	θρυμματίζω
crumbling	θρυμματισμός
crummy	νόστιμο
crunch	τραγάνισμα
crunchy	τραγανός
crusade	σταυροφορία
crusader	σταυροφόρος
crush	συντριβή
crushed	συνθλίβονται
crusher	συντρίβων
crushing	συντριπτικός
crust	κρούστα
crusty	κακότροπος
crutch	δεκανίκι
crux	κόμπος
cry	κραυγή
crybaby	κλάψε μωρό
crying	κλαίων
crypt	κρύπτη
cryptic	αινιγματικός
cryptography	κρυπτογράφηση
crystal	κρύσταλλο
crystalline	κρυστάλλινος
crystallization	αποκρυστάλλωση
cub	νεογνό ζώου
cubby	μικρός κλειστός τόπος
cube	κύβος
cubic	κυβικός
cubicle	μικρό δωμάτιο
cuckold	κερατάς
cuckoo	κούκος
cucumber	αγγούρι
cuddle	αγκαλιάζω
cuddled	αγκαλιάζονται
cuddles	σκυλάκια
cuddling	αγκαλιάζοντας
cue	σύνθημα
cuff	σφαλιάρα
cuisine	κουζίνα
culinary	μαγειρικός
cull	εκλογή
culminate	αποκορυφώνομαι
culmination	αποκορύφωμα
culpability	ενοχή
culpable	υπαίτιος
culprit	ένοχος
cult	λατρεία
cultivate	καλλιεργώ
cultivated	καλλιεργημένος
cultivation	καλλιέργεια
cultural	πολιτιστικός
culture	Πολιτισμός
cultured	καλλιεργημένος
culvert	υπόγειος οχετός
cumbersome	δυσκίνητος
cumulus	πυκνό σύννεφο
cunning	πονηριά
cunt	μουνί
cup	φλιτζάνι
cupboard	ντουλάπι
cupcake	κεκάκι
cupping	βεντούζα
cur	κοπρίτης
curable	θεραπεύσιμος
curate	βοηθός ιερέα
curative	θεραπευτικός
curator	έφορος
curb	χαλιναγώγηση
curd	γιαούρτι
cure	θεραπεία
curfew	απαγόρευση της κυκλοφορίας
curiosity	περιέργεια
curious	περίεργος
curl	μπούκλα
curling	curling
currency	νόμισμα
current	ρεύμα
curriculum	διδακτέα ύλη
curry	κάρι
curse	κατάρα
cursed	καταραμένος
cursing	κατάρα
cursory	βιαστικός
curt	απότομος
curtail	περικόπτω
curtailment	περικοπή
curtain	κουρτίνα
curtains	κουρτίνες
curtsy	υπόκλιση
curvature	καμπυλότητα
curve	καμπύλη
curved	κυρτός
curvilinear	καμπυλόγραμμος
cushion	μαξιλάρι
