Word	uk
cornflakes	NO TRANSLATION
cornice	карниз
cornstarch	кукурудзяний крохмаль
corny	крихітний
corollary	наслідок
corona	корона
coronary	коронарний
coronation	коронація
coroner	коронер
corporal	тілесний
corporate	корпоративний
corporation	корпорація
corporeal	тілесне
corps	корпус
corpse	труп
corpsman	корпусник
corpus	корпус
corral	Коррал
correct	правильно
correction	корекція
correctional	виправний
corrective	виправлення
correctness	правильність
correlation	співвідношення
correlative	співвіднесений
correspond	відповідати
correspondence	листування
correspondent	кореспондент
corresponding	відповідний
corridor	коридор
corroborate	підтверджую
corroboration	підтвердження
corrosion	корозія
corrosive	агресивний
corrupt	корумпований
corrupting	розбещення
corruption	корупція
corsage	корсаж
corse	NO TRANSLATION
corset	корсет
cortex	кора
cortical	кортикальний
cortisone	кортизон
corvette	корвет
cosmetic	косметичний
cosmetics	косметика
cosmic	космічний
cosmology	космологія
cosmopolitan	космополіт
cosmos	космос
cost	вартість
costly	дорого
costume	костюм
cosy	затишний
cot	дитяче ліжечко
cote	кот
cottage	котедж
cotton	бавовна
couch	диван
cougar	пума
cough	кашель
council	рада
councilman	радник
counsel	адвокат
counseling	консультування
counsellor	радник
counselor	радник
count	рахувати
countdown	зворотний відлік
countenance	обличчя
counter	лічильник
counteract	протидіяти
counterattack	контратака
counterbalance	противага
counterclaim	зустрічний позов
counterfeit	підроблений
counterpart	колега
counterpoint	контрапункт
countess	графиня
countless	незліченна кількість
country	країна
countryman	земляк
countrymusic	NO TRANSLATION
countryside	сільська місцевість
counts	підраховує
county	графство
coup	переворот
coupe	купе
couple	пара
coupled	пов'язаний
coupling	зчеплення
coupon	купон
courage	мужність
courageous	сміливий
courier	кур'єр
courses	курси
coursing	ходити
court	суд
courteous	ввічливий
courtesy	люб'язно
courthouse	Судовий суд
courtroom	зал суду
courts	суди
courtship	залицяння
courtside	суддя
courtyard	дворик
cousin	двоюрідний брат
cousins	двоюрідні брати
cove	бухта
coven	Ковен
covenant	заповіт
cover	обкладинка
coverage	покриття
covered	покритий
covering	покриття
covert	приховано
covet	жадати
coveted	бажаний
cow	корова
coward	боягуз
cowardice	боягузтво
cowardly	боягузливо
cowboy	ковбой
cowgirl	коровайця
cowhand	пиріг
cowhide	корів'я
cowl	капот
coworker	співробітник
coy	приятель
coyote	койот
cozy	затишний
crab	краб
crabby	крабби
crack	тріщина
cracked	тріснуті
cracker	крекер
crackerjack	зломщик
cracking	розтріскування
crackle	тріск
crackpot	тріщини
cradle	колиска
craft	ремесло
crafts	ремесла
craftsman	майстер
craftsmanship	майстерність
crafty	хитрий
craig	Крейг
cram	кинути
crammed	набитий
cramp	судоми
cramped	стиснута
cranberry	Журавлина
cranberry juice	журавлинний сік
crane	кран
cranial	черепно-мозковий
cranium	черепа
crank	кривошипник
cranky	кричущий
cranny	черепка
crap	лайно
crappy	дерьмово
craps	кістки
crash	крах
crass	тріс
crate	ящик
crater	кратер
crave	жадай
craving	тяга
crawfish	раки
crawl	повзати
crayon	олівець
crayons	кольорові олівці
craze	захоплення
crazed	божевільний
craziness	божевілля
crazy	божевільний
creak	скрипка
creaking	скрип
cream	крем
creamed	сливки
creamer	креммер
creamy	кремовий
crease	складка
create	створити
creation	творіння
creative	креативний
creativity	творчість
creator	творець
creature	створіння
credence	довіра
credential	облікові дані
credentials	повноваження
credibility	авторитет
credible	достовірний
credit	кредит
credit card	кредитна карта
creditable	заслуговує довіри
credited	зараховано
crediting	кредитування
creditor	кредитор
creed	кредо
creek	струмок
creep	повзати
creeper	плазуни
creeping	повзучий
creepy	моторошний
cremation	кремація
creole	креоль
crepe	креп
crescendo	crescendo
crescent	півмісяць
crest	гребінь
crestfallen	обрушився
cretin	кретин
cretins	кретини
crevice	щілина
crew	екіпаж
crewman	екіпаж
crib	дитяче ліжечко
cricket	крикет
cried	плакав
crime	злочин
criminal	кримінальний
criminality	злочинність
crimp	обтиск
crimson	малиновий
cringe	скрипучий
cripple	каліка
crippled	калікою
crippling	руйнуючись
crisis	криза
crisp	чіткий
crispy	хрусткий
criterion	критерій
critic	критик
critical	критичний
criticise	критикувати
criticism	критика
criticize	критикувати
criticized	критикували
critique	критика
critter	критерій
croak	крюк
croc	крокодил
crock	крихітка
crockery	посуд
crocodile	крокодил
croft	крохмаль
croissant	круасан
crook	шахрай
crooked	криві
crop	урожай
croquet	крокет
cross	хрест
cross country	через всю країну
crossbow	арбалет
crossed	перетнули
crossfire	перехресний вогонь
crossing	перетинання
crossover	кроссовер
crosswalk	перехожі
crossword	кросворд
crotch	промежина
crouch	присісти
crouched	гойдається
crouching	присідання
croupier	круп'є
crow	ворона
crowbar	лопата
crowd	натовп
crowded	багатолюдно
crowds	натовп
crown	корона
crowning	вінчає
crucial	вирішальне значення
cruciate	розп'ятий
crucifix	розп'яття
crucifixion	розп'яття
crucify	розіп'яти
crud	crud
crude	сирий
cruel	жорстокий
cruelly	жорстоко
cruelty	жорстокість
cruise	круїз
cruise ship	круїзний корабель
cruiser	крейсер
cruising	круїзний
crumb	крихта
crumble	обсипати
crumbling	руйнується
crummy	крихітний
crunch	хруст
crunchy	хрусткий
crusade	хрестовий похід
crusader	хрестоносця
crush	розчавити
crushed	дроблений
crusher	дробарка
crushing	дроблення
crust	кірка
crusty	хрусткий
crutch	милиця
crux	сутність
cry	плакати
crybaby	Плаксій
crying	плакати
crypt	склеп
cryptic	загадковий
cryptography	криптографія
crystal	кристал
crystalline	кристалічний
crystallization	кристалізація
cub	дитинча
cubby	cubby
cube	куб
cubic	кубічний
cubicle	кабіна
cuckold	цукерка
cuckoo	зозуля
cucumber	огірок
cuddle	обійми
cuddled	обійшов
cuddles	обійми
cuddling	обійми
cue	кий
cuff	манжета
cuisine	кухня
culinary	кулінарія
cull	збити
culminate	кульмінацією
culmination	Кульмінація
culpability	винна причина
culpable	винний
culprit	винуватця
cult	культ
cultivate	культивувати
cultivated	культивується
cultivation	вирощування
cultural	культурний
culture	культура
cultured	культивований
culvert	кульверт
cumbersome	громіздкий
cumulus	купчастини
cunning	хитрість
cunt	пити
cup	чашка
cupboard	шафа
cupcake	кекс
cupping	купання
cur	курс
curable	виліковний
curate	курити
curative	лікувальний
curator	куратор
curb	стригти
curd	сир
cure	вилікувати
curfew	комендантська година
curiosity	цікавість
curious	цікаво
curl	завиток
curling	керлінг
currency	валюта
current	струм
curriculum	навчальний план
curry	каррі
curse	прокляття
cursed	проклятий
cursing	прокляття
cursory	швидкий
curt	крутний
curtail	скоротити
curtailment	скорочення
curtain	завіса
curtains	штори
curtsy	крихітний
curvature	кривизна
curve	крива
curved	вигнуті
curvilinear	криволінійний
cushion	подушка
cushy	милий
cusp	Касп
cuss	кизило
cussed	cussed
custard	заварний крем
custodial	ув'язнення
custodian	зберігач
custody	опіка
custom	звичай
customary	звичний
customer	замовник
customized	індивідуальний
cut	вирізати
cutaneous	шкірна
cute	милий
cuticle	кутикула
cutie	милашка
cutlass	крижаний клас
cutlery	столові прилади
cutoff	відрізати
cutter	різак
cutters	різаки
cutthroat	скрип
cutting	різання
cutting board	дошка для нарізання
cuttings	живці
cwt	КВт
cyanide	ціанід
cyberspace	кіберпростір
cycle	цикл
cyclical	циклічний
cyclist	велосипедист
cyclone	циклон
cylinder	циліндр
cylindrical	циліндричний
cymbal	тарілка
cynic	цинічний
cynical	цинічний
cynicism	цинізм
cyst	кіста
cystic	муковісцидоз
cytomegalovirus	цитомегаловірус
cytoplasm	цитоплазма
czar	царя
dab	кусати
dabble	плескати
dabbling	тріпотіння
dad	Папа
daddy	тато
dado	NO TRANSLATION
daemon	демон
daft	похмурий
dagger	кинджал
daily	щодня
dainty	ласощі
daiquiri	дайкірі
dairy	молочний
daisy	ромашка
dak	NO TRANSLATION
dale	Дейл
dam	дамба
damage	шкода
damaged	пошкоджено
damages	збитки
dame	дама
damn	чертовски
damnation	прокляття
damned	проклятий
damp	вологий
dampened	заспокоюється
damper	демпфер
damsel	дівчина
dance	танцювати
dancer	танцюрист
dancing	танці
dandruff	лупа
dandy	денді
danger	небезпека
dangerous	небезпечний
dangerously	небезпечно
dangit	NO TRANSLATION
dangle	обманювати
dank	NO TRANSLATION
dapper	Дамп
dare	наважитися
daredevil	сміливий
daresay	сміливо
daring	сміливий
dark	темний
darken	темніє
darkened	потемніло
darkly	темно
darkness	темрява
darkroom	темна кімната
darkside	темна сторона
darling	дорога
darn	штопати
dart	дартс
dash	тире
dashboard	панель приладів
dashed	пунктирний
dashing	лихий
dastardly	зненацька
data	дані
database	база даних
date	дата
datenight	NO TRANSLATION
daughter	дочка
dawdle	поспішати
dawn	ранок
dawned	зійшло
day	день
daybreak	зима
daycare	дитячий садок
daydream	мрія
daydreaming	мрійливий
daylight	денне світло
daymade	NO TRANSLATION
dayoff	NO TRANSLATION
daytime	денний час
daze	приголомшений
dazed	приголомшений
dazzle	засліплювати
dazzling	сліпуче
deacon	диякон
deactivate	деактивувати
dead	мертвий
deadbeat	мертва битва
deadline	крайній строк
deadlines	терміни
deadlock	тупик
deadly	смертельно
deaf	глухий
deafening	оглушливого
deafness	глухота
deal	угода
dealer	дилер
dealership	посередництво
dealing	займатися
dealings	операції
dean	декана
dear	дорогий
dearest	дорогий
dearth	недолік
death	смерть
deathbed	смертельний бунт
deathly	смертельно
debacle	дебют
debased	зневажений
debatable	дискусійний
debate	дебати
debauchery	розпуста
debenture	зобов'язання
debilitating	виснажливо
debit	дебет
debrief	розбір
debriefing	розбір інформації
debris	сміття
debt	борг
debtor	боржник
debut	дебют
debutante	дебютант
decade	десятиліття
decadence	занепад
decadent	декадентський
decaf	коктейль
decanter	декантер
decathlon	десятиборство
decay	розпад
decayed	розпалений
decaying	розкладається
deceased	покійний
decedent	мертвий
deceit	обман
deceitful	обманливий
deceive	обманювати
deceived	обдурений
deceiving	обманюючи
december	Грудень
decency	порядність
decent	гідний
deception	обман
deceptive	оманливий
decide	вирішувати
decidedly	рішуче
deciduous	листяний
decimal	десятковий знак
decimeter	дециметр
decipher	розшифрувати
decision	рішення
decisive	вирішальний
deck	колода
declaration	декларація
declaratory	декларативний
declare	декларувати
declination	відхилення
decline	занепаду
declining	спад
deco	деко
decode	декодувати
decoder	декодер
decompose	розкладатися
decomposed	розкладається
decomposition	розкладання
decompress	розпакувати
decompression	декомпресія
decontamination	дезактивація
decor	декор
decorate	прикрасити
decorating	прикраса
decoration	прикраса
decorative	декоративний
decorator	декоратор
decorum	пристойність
decoy	приправляти
decrease	зменшення
decreased	знизився
decreasing	зменшується
decree	указ
decrement	декремент
decrepit	дряхлий
decry	загубити
decryption	дешифрування
dedicate	присвятити
dedication	самовідданість
deduce	вивести
deduct	вирахувати
deductible	франшиза
deduction	вирахування
deed	справа
deejay	діджей
deem	вважають
deep	глибоко
deepen	поглиблювати
deer	оленя
defamation	наклеп
defamatory	наклепницькі
default	за замовчуванням
defeat	поразка
defeated	переміг
defeatist	поразка
defect	дефект
defection	дефект
defective	несправний
defector	дефектор
defend	захищати
defendant	відповідач
defended	захищав
defender	захисник
defending	захищати
defense	захист
defenseless	беззахисний
defensible	захищається
defensive	оборонний
defer	відкласти
deference	повага
deferral	відстрочка
deferring	відкладати
defiance	невдоволення
defiant	виклик
defibrillator	дефібрилятор
deficiency	дефіцит
deficient	дефіцит
deficit	дефіцит
define	визначити
defined	визначений
definite	певний
definition	визначення
definitive	остаточний
deflate	дефляція
deflation	дефляція
deflect	відхилити
deflection	відхилення
defloration	дефлорація
deform	деформується
deformed	деформований
deformity	деформація
defraud	обманювати
defray	покривати
defrost	розморожування
deft	вправний
defunct	неіснуючий
defuse	розряджати
defy	сперечатися
degeneracy	виродження
degenerate	виродження
degeneration	виродження
degradation	деградація
degrade	деградувати
degraded	деградований
degrading	принижує гідність
degree	ступінь
dehydrated	зневоднений
dehydration	зневоднення
dejected	пригнічений
delay	затримка
delayed	затримується
delectable	привабливий
delegate	делегувати
delegation	делегація
delete	видалити
deleterious	шкідливий
deletion	видалення
deli	гастроном
deliberate	навмисний
deliberation	обговорення
deliberative	дорадчий
delicacy	ласощі
delicate	делікатний
delicatessen	делікатеси
delicious	смачно
delight	радість
delighted	в захваті
delightful	чудовий
delineate	окреслити
delineation	розмежування
delinquency	правопорушення
delinquent	правопорушник
delirious	марнославство
delirium	марення
deliver	доставити
deliverance	звільнення
delivery	доставка
dell	dell
delta	дельта
delude	обманювати
deluge	потоп
delusion	омана
delusional	бредовий
deluxe	люкс
delve	заглиблюватися
demand	попит
demanding	вимагає
demeaned	принижений
demeaning	приниження
demeanor	поведінка
demented	дурілий
dementia	слабоумство
demise	смерть
demo	демонстрація
democracy	демократія
democrat	демократ
democratic	демократичний
demographic	демографічний
demolish	знести
demolished	зруйнований
demolition	знесення
demon	демон
demonic	демонічний
demonstrable	продемонстрований
demonstrate	продемонструвати
demonstrated	продемонстрував
demonstrating	демонстрація
demonstration	демонстрація
demonstrative	демонстративний
demonstrator	демонстрант
demoralized	деморалізований
demos	демо-версії
demure	безглузда
den	NO TRANSLATION
deniability	заперечення
denial	заперечення
denied	відмовлено
denim	джинсовий одяг
denomination	деномінація
denominational	деномінаційний
denominator	знаменник
denote	позначте
denounce	заперечувати
dense	щільний
density	щільність
dent	вм'яти
dental	стоматологічний
dentist	стоматолог
dentistry	стоматологія
dentists	стоматологи
denunciation	денонсація
deny	заперечувати
denying	заперечуючи
deodorant	дезодорант
depart	від'їхати
departed	пішов
department	відділ
departmental	відомчий
departure	від'їзд
depend	залежить
dependable	надійний
dependant	залежний
dependence	залежність
dependency	залежність
dependent	залежний
depict	зобразити
depicting	зображуючи
depletion	виснаження
deplorable	жалюгідний
deplore	вибачте
deploy	розгортати
deployment	розгортання
deport	депортувати
deportation	депортація
depose	скиньте
deposit	депозит
depositary	депозитарій
deposition	осадження
depository	депозитарій
depot	депо
depraved	розбещений
depravity	розбещення
depreciate	знецінювати
depreciated	знецінився
depreciation	амортизація
depress	пригнічувати
depressed	пригнічений
depressing	пригнічує
depression	депресія
depressive	депресивний
depresson	NO TRANSLATION
deprivation	позбавлення
deprive	позбавити
deprived	позбавлений
depth	глибина
deputy	заступник
derail	збігайся
deranged	смутний
derelict	занедбаний
derision	зніяковість
derivation	виведення
derivative	похідна
derive	вивести
dermal	шкірний покрив
dermatologist	дерматолог
dermatology	дерматологія
derogation	відступ
derogatory	зневажливий
descend	спускатися
descendant	нащадок
descendent	NO TRANSLATION
descending	спускається
descent	спуск
describe	опишіть
description	опису
descriptive	описовий
desecrate	зневажати
desecration	осквернення
desert	пустеля
deserted	пустельний
deserter	дезертир
desertion	дезертирство
deserve	заслуговуй
deserved	заслужений
deserving	гідний
design	дизайн
designate	призначити
designated	призначений
designation	позначення
designed	розроблений
designer	дизайнер
designing	проектування
desirability	бажаність
desirable	бажано
desire	бажання
desiring	бажаючи
desirous	бажаючи
desist	відмовитися від
desk	стіл
desolate	пустель
desolation	спустошення
despair	відчай
despairing	відчайдушний
despatch	відправка
desperado	відчайдушний
desperate	відчайдушний
desperation	відчайдушність
despicable	мерзкий
despise	зневажай
despondent	розгублений
despotic	деспотичний
despotism	деспотизм
dessert	десерт
destination	призначення
destined	судилося
destiny	доля
destitute	нужденний
destroy	знищити
destroyed	зруйнований
destroyer	руйнівник
destroying	руйнуючи
destruct	знищити
destruction	руйнування
destructive	руйнівний
detach	від'єднати
detached	відокремлений
detachment	загін
detail	детально
detailed	докладно
details	подробиці
detain	затримай
detainee	затриманий
detect	виявити
detectable	виявляється
detection	виявлення
detective	детектив
detector	детектор
detention	затримання
deter	стримувати
detergent	миючий засіб
deteriorate	погіршується
deteriorated	погіршився
deteriorating	погіршується
deterioration	знос
determinable	детермінований
determinate	детермінований
determination	детермінація
determine	визначити
determined	визначений
deterrent	стримування
detest	ненавидіти
detestation	відчуття образи
detonate	детонувати
detonation	детонація
detonator	детонатор
detour	Об’їзд
detract	відволікати
detriment	на шкоду
detrimental	шкідливо
detritus	детрит
deuce	двійка
deutschmark	делюкс
devalued	девальвований
devastate	спустошити
devastated	спустошений
devastating	руйнівні
devastation	спустошення
develop	розвиватися
developer	розробник
developing	розвивається
development	розвиток
deviant	девіантний
deviate	відхилятися
deviating	відхиляється
deviation	відхилення
device	пристрій
devil	диявол
deviled	розлючений
devilish	диявольський
devious	хитрий
devise	придумай
devoid	позбавлений
devolution	деволюція
devolve	передавати
devote	присвятити
devoted	присвячений
devotee	преданный
devotion	відданість
devotional	відданий
devour	пожирай
devout	побожний
dew	роса
dexter	декстер
dexterity	спритність
dextrose	декстроза
diabetes	діабет
diabetic	діабетичний
diabolical	диявольський
diagnose	діагностувати
diagnosis	діагноз
diagnostic	діагностичний
diagnostics	діагностика
diagonal	діагональ
diagram	схема
dial	набрати номер
dialect	діалект
dialectic	діалектика
dialogue	діалог
dialysis	діаліз
diameter	діаметр
diamond	алмаз
diamonds	алмази
diaper	підгузник
diaphragm	діафрагма
diarrhea	діарея
diarrhoea	діарея
diary	щоденник
diatribe	діатрибра
dib	NO TRANSLATION
dibs	dibs
dice	кістки
dicey	косаче
dichotomous	дихотомічний
dichotomy	дихотомія
dick	хуй
dickhead	дікгол
dicks	дітки
dictate	диктувати
dictation	диктант
dictator	диктатор
dictatorial	диктаторський
dictatorship	диктатура
diction	дикція
dictionary	словник
dictum	NO TRANSLATION
didactic	дидактичний
diddle	недле
die	NO TRANSLATION
died	помер
diesel	дизельне паливо
diet	дієта
dietary	дієтичне харчування
differ	відрізняються
difference	різниця
differences	відмінності
different	інший
differential	диференціал
differentiation	диференціація
differently	інакше
differing	відрізняються
difficult	важко
difficulties	ускладнення
difficulty	труднощі
diffuse	дифузний
diffusion	дифузія
dig	NO TRANSLATION
digest	дайджест
digestion	травлення
digestive	травлення
digit	цифра
digital	цифровий
dignified	гідний
dignify	виправдати
dignity	гідність
digress	відступити
digs	NO TRANSLATION
dike	NO TRANSLATION
dilapidated	напівзруйнований
dilatation	розширення
dilation	розширення
dildo	фалоімітатор
dilemma	дилема
diligence	старанність
diligent	старанний
dill	кріп
diluent	розріджувач
dilute	розвести
diluted	розведений
dilution	розведення
dim	тускло
dime	дім
dimension	розмірність
dimensional	розмірний
diminish	зменшувати
diminished	зменшився
diminution	зменшення
diminutive	мініатюрний
dimwit	dimwit
din	NO TRANSLATION
dine	NO TRANSLATION
diner	їдальня
dinghy	човни
dingo	дінго
dingy	нудний
dining	їдальня
dinky	великий
dinner	вечеря
dinnertime	час обідати
dinosaur	динозавр
dint	dint
diocesan	єпархіальний
diocese	єпархія
diorama	діорама
dioxide	діоксид
dip	опускати
diploma	диплом
diplomacy	дипломатія
diplomat	дипломат
diplomatic	дипломатичний
dipper	капелюх
dippy	дурний
dipstick	щуп
dire	NO TRANSLATION
direct	прямий
directed	спрямований
direction	напрямок
directive	директива
directly	безпосередньо
director	режисер
directory	каталог
dirt	бруд
dirty	брудний
disability	інвалідність
disable	відключити
disabled	вимкнено
disadvantage	недолік
disaffected	не подобається
disagree	не погодитися
disagreeable	неприємно
disagreeing	не згоден
disagreement	розбіжності
disallow	заборонити
disallowed	заборонено
disapointment	NO TRANSLATION
disappear	зникати
disappearance	зникнення
disappearing	зникає
disappoint	розчарувати
disappointed	розчарований
disappointing	розчаровує
disappointment	розчарування
disapproval	не схвалення
disapprove	не схвалювати
disapproved	не схвалено
disapproving	не схвалюючи
disarm	роззброєння
disarray	зневажити
disaster	катастрофа
disastrous	катастрофічний
disband	розігнати
disbelief	невір'я
disbelieve	не вірте
disburse	виплачувати
disbursement	виплата
disc	диск
discard	відкинути
discarded	відкинутий
discards	відкидати
discern	розрізнити
discernible	помітний
discerning	розважливий
discernment	розбірливість
discharge	розряд
disciple	учень
disciplinary	дисциплінарний
discipline	дисципліна
disciplined	дисциплінований
disclaim	відмовлятися від
disclaimer	відмова від відповідальності
disclose	розкривай
disclosed	розкрито
disclosure	розкриття інформації
disco	дискотека
discoloration	зміна кольору
discolored	знебарвлений
discomfort	дискомфорт
disconcerted	засмучений
disconcerting	здивування
disconnect	відключити
disconnected	відключений
disconnection	відключення
disconnects	відключається
discontent	невдоволення
discontinuance	припинення діяльності
discontinue	припинити
discontinuity	розрив
discontinuous	розривний
discord	розбрат
discount	знижка
discounted	зі знижкою
discourage	перешкоджати
discouraged	не рекомендується
discouragement	розчарування
discouraging	заважає
discourse	дискурс
discover	відкрити
discovery	відкриття
discredit	дискредитувати
discredited	дискредитований
discreet	NO TRANSLATION
discrepancy	невідповідність
discrete	дискретний
discretion	розсуд
discretionary	дискреційні
discriminate	дискримінувати
discriminating	дискримінації
discrimination	дискримінація
discus	дискус
discuss	обговорюй
discussion	дискусія
disdain	зневажити
disdainful	зневажливий
disease	хвороба
diseased	хворий
disembodied	беззмістовний
disengage	роз'єднати
disengagement	роз'єднання
disfigured	викривлений
disgrace	ганьба
disgraced	опальний
disgraceful	ганебний
disgruntled	невдоволений
disguise	маскувати
disguised	замаскований
disgust	відраза
disgusted	огидно
disgusting	огидно
dish	блюдо
disheartened	розчарований
disheartening	розчарування
dishonest	нечесний
dishonesty	нечесність
dishonor	безглуздя
dishonorable	безглуздо
dishwasher	посудомийна машина
disillusionment	розчарування
disinclination	невпорядкованість
disincline	розчарувати
disinclined	не довірений
disinfect	дезінфікувати
disinfectant	дезінфікуючий засіб
disinfection	дезінфекція
disinformation	дезінформація
disingenuous	нерозумно
disintegrate	розпадатися
disintegration	розпад
disinterested	безкорисливо
disjoint	не переплетені
disjointed	роз'єднаний
disjunctive	диз'юнктивний
disk	диск
diskette	дискета
dislike	не подобається
disliked	не любив
disliking	не люблять
dislocated	вивихований
dislocation	дислокація
dislodge	викинути
disloyal	нелояльний
disloyalty	нелояльність
dismal	похмурий
dismantle	розбирати
dismay	обурення
dismayed	збентежений
dismemberment	розчленування
dismiss	звільнити
dismissal	звільнення
dismissive	звинувачення
dismount	знімати
disobedience	непослух
disobedient	неслухняні
disobey	не підкорятися
disorder	розлад
disordered	невпорядкований
disorderly	безладний
disorganized	дезорганізований
disorientation	дезорієнтація
disoriented	дезорієнтований
disown	відреагувати
disparage	зневажати
disparaging	зневажливо
disparate	розрізнений
disparity	невідповідність
dispassionate	безпристрасний
dispatch	відправка
dispatcher	диспетчер
dispel	розвіяти
dispensary	диспансер
dispensation	диспансування
dispense	видавати
dispenser	дозатор
dispersal	розгін
disperse	розсіювати
dispersed	розсіяний
dispersion	дисперсія
dispirited	пригнічений
displace	витісняти
displaced	зміщений
displacement	зміщення
displacency	зміщення
display	дисплей
displease	невдоволення
displeased	невдоволений
displeasure	невдоволення
disposable	одноразовий
disposal	утилізація
dispose	розпоряджатися
disposed	утилізований
disposition	розпорядження
dispossessed	позбавлений права
disprove	спростовувати
dispute	суперечка
disqualification	дискваліфікація
disqualified	дискваліфікований
disqualify	дискваліфікувати
disquieted	здивований
disregard	ігнорувати
disregarded	ігнорується
disrelish	відкинути
disreputable	зневажливий
disrepute	розбещувати
disrespect	неповага
disrespectful	нешанобливий
disrupt	порушити
disrupting	руйнуючи
disruption	зрив
disruptive	руйнівний
dissatisfaction	невдоволення
dissatisfied	незадоволений
dissect	розібрати
dissection	розсікання
disseminate	поширювати
dissemination	розповсюдження
dissension	розбрат
dissent	інакомислення
dissenting	незгодний
dissertation	дисертація
disservice	неслухняність
dissident	дисидент
dissimilar	несхожий
dissipate	розсіювати
dissipated	розсіюється
dissociation	дисоціація
dissociative	дисоціативний
dissolution	розчинення
dissolve	розчинятися
dissonance	дисонанс
dissuade	відмовлятися
distal	дистальний
distance	відстань
distant	далекий
distaste	відчай
distasteful	неприємно
distillate	дистилят
distillation	перегонка
distilled	дистильований
distinct	чіткий
distinction	відмінність
distinctive	відмінний
distinguish	відрізнити
distinguishable	помітний
distinguished	відрізнявся
distinguishing	відрізняти
distort	спотворювати
distorted	спотворене
distortion	спотворення
distract	відволікати
distracted	відволікся
distracting	відволікає
distraction	відволікання
distraught	розгніваний
distress	страждання
distressed	стурбований
distressing	турботливий
distribute	поширювати
distribution	розповсюдження
distributor	дистриб'ютор
district	районний
distrust	недовіра
disturb	турбувати
disturbance	обурення
disturbed	засмучений
disturbing	тривожна
disuse	утилізувати
disused	звільнений
ditch	ров
ditto	подібне
ditty	капризний
diurnal	добовий
diva	дива
divan	NO TRANSLATION
dive	пірнати
diver	дайвер
diverge	розходитися
divergence	розбіжність
divergent	розходяться
diverging	розходяться
divers	дайвери
diverse	різноманітний
diversified	диверсифікований
diversify	диверсифікувати
diversion	відволікання
diversionary	диверсійний
diversity	різноманітність
divert	переадресація
diverting	переадресація
divest	позбавитись
divested	звільнений
divestment	відчуження
divide	розділити
divided	розділений
dividend	дивіденд
divination	ворожіння
divine	божественний
divinity	божество
divisible	ділиться
division	поділ
divisor	дільник
divorce	розлучення
divorcee	розлучення
divulge	розголошувати
divvy	розвага
dizziness	запаморочення
dizzy	запаморочення
do	робити
doable	допустимий
doc	док
docile	Послушний
dock	док
docked	прикріплений
docket	реєстр
docking	стикування
doctor	лікар
doctorate	докторська ступінь
doctrinal	доктринальний
doctrine	вчення
document	документ
documentary	документальний фільм
documentation	документація
documents	документи
dodge	ухилятися
dodger	ухильник
dodging	ухилення
dodgy	хитрий
dodo	Додо
doe	доу
doer	виконавець
dog	пес
dogface	догмата
dogged	стримано
doggy	собачка
doghouse	будиночок
dogma	догма
dogmatic	догматичний
dogsick	NO TRANSLATION
doings	вчинки
doit	NO TRANSLATION
dojo	додзьо
doldrums	занепад
dole	доле
doll	лялька
dollar	долар
dollhouse	ляльковий будиночок
dolor	NO TRANSLATION
dolphin	дельфін
domain	домен
dome	купол
domestic	вітчизняний
domesticated	одомашнені
domestication	одомашнення
domicile	доміциль
domiciled	доміцильована
dominance	панування
dominant	домінуючий
dominate	домінувати
dominating	домінуючий
domination	панування
dominatrix	dominatrix
dominion	панування
domino	доміно
don	дон
donate	пожертвувати
donation	пожертвування
donkey	осел
donor	донор
dontlikeyou	NO TRANSLATION
dontmess	NO TRANSLATION
dontmesswithme	dontmesswithme
dontpanic	dontpanic
dontunderstand	NO TRANSLATION
doodle	каракули
doom	смерть
doomed	приречений
doomsday	кінець світу
door	двері
doorbell	дверний дзвінок
doorknob	дверна ручка
doorman	швейцар
doormat	дверна коробка
doornail	Дорноліс
doorstep	порозі
doorway	двері
dopamine	допамін
dope	допінг
dopey	дурний
dork	Дорк
dorky	доркі
dorm	гуртожиток
dormant	сплячий
dormitory	гуртожиток
dorsal	спинний
dosage	дозування
dose	доза
dossier	досьє
dot	крапка
doting	крапка
dotted	пунктирний
dotty	точка
double	подвійний
doubled	подвоєно
doublet	дублет
doubling	подвоєння
doubt	сумнів
doubtful	сумнівний
doubting	сумніваюся
doubtless	безсумнівно
doubts	сумніви
douche	душ
douchebags	душечки
dough	тісто
doughboy	дегтя
doughnut	пончик
dour	дурний
douse	обсипати
dove	голубка
down	вниз
downcast	понижений
downer	ловець
downfall	падіння
downfield	внизу
downhearted	занепокоєний
downhill	під гору
download	скачати
downpour	зливи
downright	прямо
downriver	низхідний
downside	недоліки
downtime	час простою
downward	вниз
downy	пухнастий
dowry	придане
doze	доз
dozen	дюжина
drab	драб
draft	чернетка
drafty	суворий
drag	перетягніть
dragon	дракон
dragonfly	стрекоза
drain	стікати
drainage	дренаж
drained	осушена
draining	зливу
drainpipe	дренажна труба
drake	перетягнути
drama	драма
dramaqueen	Королева драми
dramatic	драматичний
drape	драпірувати
drapery	драпірування
drastic	різке
drat	NO TRANSLATION
draught	чернетка
draw	малювати
drawback	недолік
drawbridge	підйомний міст
drawer	ящик
drawers	ящики
drawing	малюнок
dread	страшно
dreaded	страшно
dreadful	страшний
dreadfully	страшно
dreading	боїться
dream	мрія
dreamboat	мрійник
dreamer	мрійник
dreaming	мріяти
dreamland	мрій країни
dreams	мрії
dreamt	мріяв
