Word	nl
divide	verdelen
divided	verdeeld
dividend	dividend
divination	waarzeggerij
divine	goddelijk
divinity	goddelijkheid
divisible	deelbaar
division	afdeling
divisor	deler
divorce	scheiden
divorcee	gescheiden vrouw
divulge	onthullen
divvy	met iemand delen
dizziness	duizeligheid
dizzy	duizelig
do	do
doable	uitvoerbaar
doc	dokter
docile	volgzaam
dock	dok
docked	aangemeerd
docket	borderel
docking	docking
doctor	doctor
doctorate	doctoraat
doctrinal	leerstellig
doctrine	leer
document	document
documentary	documentaire
documentation	documentatie
documents	documenten
dodge	ontwijken
dodger	slimmerik
dodging	ontwijken
dodgy	dodgy
dodo	dodo
doe	hinde
doer	dader
dog	hond
dogface	honden gezicht
dogged	vasthoudend
doggy	doggy
doghouse	hondehok
dogma	dogma
dogmatic	dogmatisch
dogsick	NO TRANSLATION
doings	doen en laten
doit	NO TRANSLATION
dojo	dojo
doldrums	doldrums
dole	uitkering
doll	pop
dollar	dollar
dollhouse	poppenhuis
dolor	NO TRANSLATION
dolphin	dolfijn
domain	domein
dome	koepel
domestic	huiselijk
domesticated	huis-
domestication	temming
domicile	woonplaats
domiciled	woonachtig
dominance	overheersing
dominant	dominant
dominate	heersen
dominating	dominerende
domination	overheersing
dominatrix	dominatrix
dominion	heerschappij
domino	domino
don	don
donate	schenken
donation	schenking
donkey	ezel
donor	schenker
dontlikeyou	NO TRANSLATION
dontmess	NO TRANSLATION
dontmesswithme	dontmesswithme
dontpanic	dontpanic
dontunderstand	NO TRANSLATION
doodle	tekening
doom	noodlot
doomed	verdoemde
doomsday	dag des oordeels
door	deur-
doorbell	deurbel
doorknob	deurknop
doorman	portier
doormat	vloermat
doornail	doornail
doorstep	stoep
doorway	deuropening
dopamine	dopamine
dope	verdovend middel
dopey	lusteloos
dork	dork
dorky	dorky
dorm	slaapzaal
dormant	slapend
dormitory	slaapzaal
dorsal	dorsal
dosage	dosering
dose	dosis
dossier	dossier
dot	punt
doting	verzot
dotted	stippel
dotty	gestippeld
double	dubbele
doubled	verdubbelde
doublet	doublet
doubling	verdubbeling
doubt	twijfel
doubtful	twijfelachtig
doubting	twijfelende
doubtless	ongetwijfeld
doubts	twijfels
douche	douche
douchebags	douchebags
dough	deeg
doughboy	meelballetje
doughnut	donut
dour	streng
douse	uitdoven
dove	duif
down	naar beneden
downcast	neerslachtig
downer	downer
downfall	val
downfield	downfield
downhearted	downhearted
downhill	bergafwaarts
download	downloaden
downpour	stortbui
downright	ronduit
downriver	stroomafwaarts
downside	keerzijde
downtime	uitvaltijd
downward	neerwaartse
downy	donsachtig
dowry	bruidschat
doze	dommelen
dozen	dozijn
drab	saai
draft	droogte
drafty	tochtige
drag	slepen
dragon	draak
dragonfly	libel
drain	draineren
drainage	riolering
drained	gedraineerd
draining	aftappen
drainpipe	regenpijp
drake	mannetjeseend
drama	drama
dramaqueen	NO TRANSLATION
dramatic	dramatisch
drape	draperen
drapery	draperie
drastic	drastisch
drat	NO TRANSLATION
draught	droogte
draw	trek
drawback	nadeel
drawbridge	ophaalbrug
drawer	lade
drawers	onderbroek
drawing	tekening
dread	vrezen
dreaded	gevreesde
dreadful	vreselijk
dreadfully	vreselijk
dreading	bang
dream	droom
dreamboat	dreamboat
dreamer	dromer
dreaming	dromen
dreamland	dromenland
dreams	dromen
dreamt	gedroomd
dreamy	dromerig
dreary	somber
dredge	baggermachine
drenched	doorweekt
dress	jurk
dresser	dressoir
dressmaker	naaister
dressy	chic
dribble	NO TRANSLATION
dried	droog
drier	droogmachine
drift	drift
drifted	dreef
drifter	drifter
driftwood	drijfhout
drill	boren
drink	drinken
drinker	drinker
drinking	drinken
drinks	drankjes
drip	druppelen
dripping	druipen
drive	rijden
drivel	gewauwel
driver	bestuurder
driveway	pad
drizzle	motregen
droll	koddig
drone	dar
drones	drones
drool	kwijlen
drooping	hangende
droopy	hangende
drop	laten vallen
droplet	druppel
dropout	afvaller
dropper	dropper
drought	droogte
drove	NO TRANSLATION
drown	verdrinken
drowsiness	slaperigheid
drowsy	slaperig
drudgery	gezwoeg
drug	drug
drug dealing	drugs handelen
drugged	gedrogeerd
druggist	drogist
drugs	drugs
drugstore	apotheek
druid	druïde
drum	trommel
drummer	trommelaar
drumming	drummen
drunk	dronken
drunk driving	rijden onder invloed
drunkard	dronkaard
drunken	dronken
drunkenness	dronkenschap
dry	droog
dryer	droger
dryness	droogheid
dual	tweevoudig
dualism	dualisme
duality	tweevoudigheid
dub	dub
dubious	twijfelachtig
duchess	hertogin
duck	eend
ducking	ducking
duckling	eendje
ducky	snoes
duct	kanaal
ductile	buigzaam
dud	prul
dude	fat
duds	vodden
due	ten gevolge
duel	duel
dues	contributie
duet	duet
duffel	baai
dugout	uitgegraven
duh	duh
duke	hertog
dull	dof
dullard	sufferd
dumb	stom
dumbasses	dumbasses
dumbbell	halter
dumbbitch	NO TRANSLATION
dumfound	verbluffen
dumfounder	NO TRANSLATION
dummy	pop
dump	stortplaats
dumpling	knoedel
dumps	stortplaatsen
dumpster	dumpster
dun	manen
dunce	domkop
dune	duin
dung	NO TRANSLATION
dungeon	kerker
dunk	dunk
duo	duo
dupe	dupe
duplex	tweezijdig
duplicate	duplicaat
duplication	verdubbeling
duplicity	dubbelhartigheid
durability	duurzaamheid
durable	duurzaam
duration	looptijd
duress	dwang
dusk	schemer
dusky	schemerig
dust	stof
duster	stofdoek
dustpan	stoffer
dusty	stoffig
dutiful	plichtmatig
duty	plicht
dwarf	dwerg
dwarfed	dwarfed
dweeb	dweeb
dwell	wonen
dweller	bewoner
dwelling	woning
dye	verfstof
dying	stervende
dyke	dijk
dynamic	dynamisch
dynamical	dynamische
dynamics	dynamica
dynamite	dynamiet
dynamo	dynamo
dynasty	dynastie
dysentery	dysenterie
dysfunction	dysfunctie
dysfunctional	disfunctionele
dyspepsia	indigestie
eager	gretig
eagerness	gretigheid
eagle	adelaar
ear	oor
earful	earful
earl	graaf
earlier	vroeger
early	vroeg
earn	verdienen
earnest	ernstig
earnestly	ernstig
earnestness	ernst
earnings	verdiensten
earpiece	oortelefoon
earring	oorbel
earrings	oorbellen
earshot	gehoor
earth	aarde
earthenware	aardewerk
earthling	aardbewoner
earthly	aards
earthquake	aardbeving
earthy	aardsgezind
ease	gemak
easel	ezel
easement	servituut
easily	gemakkelijk
east	oosten-
eastbound	oostwaartse
eastern	oostelijk
easy	gemakkelijk
easygoing	makkelijk in de omgang
eat	eten
eater	eter
eating	aan het eten
eatingdisorders	NO TRANSLATION
eavesdrop	afluisteren
eavesdropping	afluisteren
ebb	eb
ebony	ebbehout
ebullient	levendig
eccentric	excentriek
eccentricity	excentriciteit
ecclesiastical	kerkelijk
echelon	echelon
echinacea	echinacea
echo	echo
eclectic	eclectisch
eclipse	verduistering
ecliptic	ecliptica
ecological	ecologisch
economic	economisch
economical	zuinig
economics	economie
economy	economie
ecosystem	ecosysteem
ecstasy	extase
ecstatic	extatisch
ecumenical	oecumenische
eddy	draaikolk
edema	zwelling
edge	rand
edging	rand
edgy	scherp
edible	eetbaar
edict	edict
edification	stichting
edifice	gebouw
edit	Bewerk
editing	editing
edition	editie
editor	editor
editorial	hoofdartikel
educate	onderwijzen
educated	geleerd
education	onderwijs
educational	leerzaam
educator	opvoeder
eeeek	NO TRANSLATION
eeek	NO TRANSLATION
eek	eek
eel	paling
eerie	spookachtig
effect	effect
effective	effectief
effectiveness	effectiviteit
effects	bijwerkingen
effectual	doeltreffend
effectually	krachtdadig
effectuate	bewerkstelligen
effeminate	verwijfd
efficacious	effectief
efficacy	werkzaamheid
efficiency	rendement
efficient	doeltreffend
effigy	beeltenis
effort	inspanning
effortless	zonder inspanning
effusion	uitstorting
effyou	NO TRANSLATION
egg	ei
egghead	egghead
eggnog	Advocaat
eggplant	aubergine
eggshell	eierschaal
ego	ego
egomaniac	egomaniac
egotistical	egoïstische
egregious	flagrante
egress	uitgang
eight	acht
eighteen	achttien
eighth	achtste
eighty	tachtig
ejaculate	ejaculaat
ejaculation	ejaculatie
eject	uitwerpen
ejection	uitwerping
elaborate	uitwerken
elaboration	uitwerking
elan	NO TRANSLATION
elapse	verstrijken
elapsed	verstreken
elastic	elastisch
elasticity	elasticiteit
elated	opgetogen
elation	opgetogenheid
elbow	elleboog
eld	eld
elder	ouderling
elderly	ouderen
elders	oudste
eldest	oudste
elect	kiezen
election	verkiezing
elective	electieve
elector	kiezer
electoral	electorale
electorate	keurvorstendom
electric	elektrisch
electric slide	elektrische glijbaan
electrical	elektrisch
electrician	elektricien
electricity	elektriciteit
electrify	elektrificeren
electrocute	elektrocuteer
electrocution	elektrocutie
electromagnetic	electromagnetisch
electron	elektron
electronic	elektronisch
electronics	elektronica
elegance	elegantie
elegant	elegant
element	element
elemental	elementair
elementary	elementair
elements	elementen
elephant	olifant
elevate	verheffen
elevated	verhoogd
elevation	verhoging
elevator	lift
eleven	elf
eleventh	elfde
elf	elf
elicit	uitlokken
eligible	in aanmerking komende
eliminate	elimineren
elimination	eliminatie
elite	de elite
elitist	elitaire
elixir	elixer
elk	eland
ell	el
ellipse	ellips
ellipsis	ellips
ellipsoid	ellipsoïde
elliptic	elliptisch
elliptical	elliptisch
elm	iep
elongate	verlengen
elongation	verlenging
elope	weglopen
eloquence	welsprekendheid
eloquent	welsprekend
elucidate	ophelderen
elucidation	opheldering
elude	ontwijken
elusive	ontwijkend
emaciated	uitgehongerd
email	e-mail
emanate	voortkomen
emancipation	emancipatie
embankment	dijk
embargo	NO TRANSLATION
embark	inschepen
embarrass	in verlegenheid brengen
embarrassed	in verlegenheid gebracht
embarrassing	gênant
embarrassment	verlegenheid
embassy	ambassade
embattled	strijdende
embed	embed
embellish	verfraaien
embellishment	versiering
embers	sintels
embezzlement	verduistering
embezzler	verduisteraar
emblem	embleem
emblematic	emblematisch
embodiment	belichaming
embolism	embolie
embossed	reliëf
embrace	omhelzing
embroidered	geborduurde
embroidery	borduurwerk
embroiled	verwikkeld
embryo	embryo-
embryonic	embryonale
emcee	emcee
emerald	smaragd
emerge	opduiken
emergence	verschijning
emergency	noodgeval
emeritus	emeritus
emery	Emery
emetophobia	Emetofobie
emigrate	emigreren
emigration	emigratie
eminence	eminentie
eminent	eminent
eminently	uitmuntend
emir	NO TRANSLATION
emissary	afgezant
emission	emissie
emit	uitzenden
emo	emo
emotion	emotie
emotional	emotioneel
emotive	emotieve
empathic	empathische
empathize	inleven
empathy	empathie
emperor	keizer
emphasis	nadruk
emphasize	benadrukken
emphatic	nadrukkelijk
emphysema	emphysema
empire	rijk
empirical	empirisch
empiricism	empirie
employ	dienst
employee	werknemer
employer	werkgever
employment	werk
emporium	stapelplaats
empower	machtigen
empress	keizerin
emptiness	leegte
emption	voorkeursrecht
empty	leeg
emu	emoe
emulate	wedijveren
emulsion	emulsie
enable	in staat stellen
enablement	enablement
enact	opvoeren
enactment	wet
enamel	glazuur
encampment	kampement
enchant	betoveren
enchanted	betoverde
enchanting	betoverend
enchantment	betovering
enchantress	tovenares
enchilada	enchilada
encircle	omsingelen
encircling	omringende
enclave	enclave
enclose	insluiten
enclosure	omsluiting
encode	coderen
encomiastic	NO TRANSLATION
encomium	lofrede
encompass	omgeven
encore	NO TRANSLATION
encounter	stuiten op
encourage	aanmoedigen
encouraged	aangemoedigd
encouragement	aanmoediging
encouraging	bemoedigend
encroach	tasten
encroachment	inbreuk
encrypt	versleutelen
encryption	encryptie
encumbrance	last
encyclopedia	encyclopedie
end	einde
end table	bijzettafeltje
endanger	in gevaar brengen
endangered	bedreigde
endangerment	bedreiging
endearing	innemend
endeavor	streven
ended	beëindigde
endemic	endemisch
endgame	eindspel
ending	einde
endless	eindeloos
endocarditis	endocarditis
endorse	onderschrijven
endorsement	bekrachtiging
endow	begiftigen
endowed	voorzien
endowment	schenking
endpapers	schutbladen
endpoint	eindpunt
endurance	uithoudingsvermogen
endure	verduren
enduring	langdurig
enema	klisteer
enemy	vijand
energetic	energiek
energize	energize
energy	energie
enforce	afdwingen
enforcement	handhaving
enforcer	enforcer
engage	bezighouden
engaged	bezet
engagement	verloving
engaging	innemend
engender	voortbrengen
engine	motor
engineer	ingenieur
engineering	bouwkunde
engrave	graveren
engraved	gegraveerd
engraver	graveur
engraving	gravure
engrossed	verdiept
engrossing	engrossing
engulf	verzwelgen
enhance	verbeteren
enhancement	enhancement
enigma	raadsel
enigmatic	raadselachtig
enjoin	bevelen
enjoy	genieten
enjoyable	aangenaam
enjoying	genieten van
enjoyment	genot
enlarge	vergroten
enlarged	uitgebreide
enlargement	uitbreiding
enlighten	verlichten
enlightened	verlichte
enlightening	verhelderend
enlightenment	verlichting
enlist	aanwerven
enliven	verlevendigen
enmity	vijandschap
ennui	verveling
enormity	afschuwelijkheid
enormous	enorm
enormously	enorm
enraged	verwoed
enrich	verrijken
enroll	inschrijven
enrollment	inschrijving
ensemble	ensemble
ensign	vlag
enslave	tot slaaf maken
enslaved	geknecht
enslavement	knechting
ensue	volgen
ensure	ervoor zorgen
entail	met zich meebrengen
entangled	verward
entanglement	verstrikking
enter	invoeren
enterprise	onderneming
enterprising	ondernemend
entertain	vermaken
entertained	vermaakt
entertainer	entertainer
entertaining	onderhoudend
entertainment	vermaak
enthralled	ban
enthusiasm	enthousiasme
enthusiast	enthousiast
enthusiastic	enthousiast
entice	verleiden
entire	geheel
entirety	geheel
entitle	recht
entity	entiteit
entomology	entomologie
entourage	gevolg
entrails	ingewanden
entrance	Ingang
entrapment	beknelling
entreat	smeken
entree	voorgerecht
entrepreneur	ondernemer
entrust	toevertrouwen
entry	binnenkomst
enumerate	opsommen
enumeration	opsomming
envelope	envelop
envious	jaloers
environ	NO TRANSLATION
environment	milieu
environmental	milieu
environs	omgeving
envision	zich voorstellen
envoy	gezant
envy	afgunst
enzyme	enzym
ephemeral	kortstondig
ephemeris	ephemeris
epic	episch
epidemic	epidemie
epidermis	opperhuid
epidural	epidurale
epilepsy	epilepsie
epileptic	epileptisch
epilogue	epiloog
epiphany	Driekoningen
episcopal	bisschoppelijk
episode	aflevering
episodic	episodische
epistle	brief
epitaph	grafschrift
epithet	epitheton
epitome	samenvatting
epoch	tijdperk
equal	Gelijk
equality	gelijkheid
equalization	gelijkmaking
equalize	vereffenen
equalizer	equalizer
equally	even
equate	gelijkstellen
equation	vergelijking
equator	evenaar
equatorial	equatoriaal
equestrian	ruiter
equidistant	op gelijke afstand
equilibration	evenwicht
equilibrium	evenwicht
equip	uitrusten
equipment	uitrusting
equitable	billijk
equity	eigen vermogen
equivalence	gelijkwaardigheid
equivalent	gelijkwaardig
equivocal	dubbelzinnig
era	tijdperk
eradicate	uitroeien
eradication	uitroeiing
erase	wissen
eraser	gom
erasure	wissen
ere	NO TRANSLATION
erect	rechtop
erectile	erectiele
erection	erectie
ergo	NO TRANSLATION
erode	eroderen
erosion	erosie
erotic	erotisch
erotica	erotiek
err	dwalen
errand	boodschap
errant	dwalend
erratic	grillige
erratum	drukfout
erroneous	foutief
error	fout
erst	NO TRANSLATION
erudite	erudiet
erupt	uitbarsten
eruption	uitbarsting
escalade	beklimming
escalate	uitbreiden
escalating	escalerende
escalation	uitbreiding
escalator	roltrap
escape	ontsnappen
escaped	ontsnapt
escarpment	helling
eschew	schuwen
escort	escorte
escrow	escrow
esophagus	slokdarm
esoteric	esoterisch
especial	NO TRANSLATION
espionage	spionage
espouse	omhelzen
espresso	espresso
esprit	geest
esquire	schildknaap
essay	opstel
essayist	essayist
essence	essence
essential	essentieel
essentially	in wezen
establish	tot stand brengen
established	gevestigd
establishment	etablissement
estate	landgoed
esteem	achting
esteemed	gewaardeerde
esthetic	esthetische
estimable	achtenswaardig
estimate	schatting
estimation	schatting
estoppel	afwijzing
estranged	vervreemd
estrogen	oestrogeen
estuary	riviermonding
etch	etsen
etching	ets
eternal	eeuwig
eternity	eeuwigheid
ethanol	ethanol
ether	ether
ethereal	etherisch
ethic	ethiek
ethical	ethisch
ethics	ethiek
ethnic	etnisch
ethnography	etnografie
etiology	etiologie
etiquette	etiquette
etymology	etymologie
eucalyptus	eucalyptus
euchre	overmeesteren
eugenics	eugenetica
eulogistic	lovend
eulogium	lofrede
eulogize	ophemelen
eulogy	lofrede
euphemism	eufemisme
euphoria	euforie
euphoric	euforisch
euro	euro
euthanasia	euthanasia
evacuate	evacueren
evacuation	evacuatie
evade	ontwijken
evaluate	schatten
evaluation	evaluatie
evanescence	evanescence
evangelical	evangelisch
evangelist	evangelist
evangelistic	evangelisatie
evaporate	verdampen
evaporation	verdamping
evasion	ontduiking
evasive	ontwijkend
eve	vooravond
evening	avond
evens	NO TRANSLATION
event	evenement
eventful	veelbewogen
eventual	eventueel
eventuality	eventualiteit
evergreen	evergreen
everlasting	eeuwigdurend
evermore	altijd
everyday	elke dag
everyman	iedereen
evict	uitzetten
eviction	uitzetting
evidence	bewijsmateriaal
evident	evident
evidentiary	bewijskracht
evil	onheil
evoke	oproepen
evolution	evolutie
evolutionary	evolutionaire
evolve	evolueren
ewe	ooi
ex	ex
exacerbate	verscherpen
exacerbation	exacerbatie
exact	exact
exacting	veeleisend
exaggerate	overdrijven
exaggerated	overdreven
exaggeration	overdrijving
exalt	verheffen
exaltation	verheerlijking
exalted	verheven
exam	tentamen
examination	examen
examine	onderzoeken
examiner	examinator
example	voorbeeld
exasperated	verbitterd
exasperation	ergernis
excavate	uitgraven
excavation	uitgraving
excavator	graafmachine
exceed	overtreffen
exceeding	overschrijding
excel	uitmunten
excellence	uitmuntendheid
excellent	uitstekend
excelsior	houtwol
excepting	bijzonder
exception	uitzondering
exceptional	buitengewoon
excerpt	uittreksel
excess	overmaat
excessive	buitensporig
excessively	buitensporig
exchange	uitwisseling
excise	accijns
excision	uitsnijding
excitability	prikkelbaarheid
excitable	prikkelbaar
excitation	opwinding
excite	prikkelen
excited	opgewonden
excitement	opwinding
exciting	opwindend
exclaim	uitroepen
exclamation	uitroep
exclude	uitsluiten
excluded	uitgesloten
excluding	Exclusief
exclusion	uitsluiting
exclusive	exclusief
excrement	uitwerpsel
excretion	afscheiding
excruciating	ondraaglijk
excursion	excursie
excuse	excuus
exec	exec
execute	uitvoeren
execution	executie
executioner	beul
executive	uitvoerend
executor	uitvoerder
exegesis	uitlegging
exemplar	voorbeeld
exemplary	voorbeeldig
exemplify	toelichten
exempt	vrijgesteld
exemption	vrijstelling
exercise	oefening
exert	aanwenden
exertion	inspanning
exhale	uitademen
exhaust	uitlaat
exhausted	uitgeput
exhaustion	uitputting
exhaustive	grondig
exhibit	tentoonstellen
exhibition	tentoonstelling
exhilarated	opgevrolijkend
exhilarating	opwindende
exhilaration	opvrolijking
exhort	vermanen
exhortation	vermaning
exhumation	opgraving
exhume	opgraven
exigent	NO TRANSLATION
exile	verbanning
exist	bestaan
existence	bestaan
existent	bestaand
existential	existentiële
existing	bestaand
exit	Uitgang
exodus	Exodus
exonerate	zuiveren
exorbitant	buitensporig
exorcism	uitdrijving
exorcist	geestenbezweerder
exotic	exotisch
expand	uitbreiden
expanded	uitgebreid
expanse	uitgestrektheid
expansion	uitbreiding
expansive	expansieve
expatriate	expatriate
expect	verwachten
expectance	verwachting
expectancy	verwachting
expectant	verwachtend
expectation	verwachting
expected	verwacht
expecting	ervan uitgaand
expediency	doelmatigheid
expedient	doelmatig
expedite	bespoedigen
expedition	expeditie
expeditious	snel
expel	verdrijven
expendable	verbruiksartikelen
expenditure	uitgaven
expense	kosten
expenses	uitgaven
expensive	duur
experience	ervaring
experienced	ervaren
experiences	ervaringen
experiment	experiment
experimental	experimenteel
experimentation	proefneming
experimenter	experimenteer
expert	deskundige
expertise	expertise
expiration	vervaltijd
expire	vervallen
expired	niet meer geldig
expiry	verstrijken
explain	leg uit
explanation	uitleg
explanatory	verklarend
expletive	vloek
explication	explication
explicit	uitdrukkelijk
explode	ontploffen
exploit	exploiteren
exploitation	exploitatie
exploration	exploratie
exploratory	verkennende
explore	onderzoeken
explorer	ontdekkingsreiziger
explosion	explosie
explosions	explosies
explosive	ontplofbaar
expo	expo
exponent	exponent
exponential	exponentiële
export	exporteren
exportation	uitvoer
expose	blootstellen
exposed	blootgesteld
exposition	expositie
expository	tentoongesteld
exposure	blootstelling
expound	uitleggen
express	uitdrukken
expression	uitdrukking
expressive	expressief
expressway	autoweg
expropriation	onteigening
expulsion	verdrijving
exquisite	voortreffelijk
exquisitely	fijn
extant	bestaand
extend	uitbreiden
extendable	verlengbaar
extended	verlengd
extension	uitbreiding
extensive	uitgebreid
extent	omvang
exterior	buitenkant
exterminate	uitroeien
extermination	uitroeiing
exterminator	verdelger
external	extern
externally	uitwendig
extinct	uitgestorven
extinction	uitdoving
extinguish	doven
extinguisher	blusapparaat
extol	verheffen
extort	afpersen
extortion	afpersing
extra	extra
extract	extract
extracting	extraheren
extraction	extractie
extractor	afzuigkap
extracurricular	buitenschoolse
extradition	uitlevering
extrajudicial	buitengerechtelijke
extramural	extramurale
extraneous	vreemd
extraordinaire	extraordinaire
extraordinary	buitengewoon
extraterrestrial	buitenaards
extravagance	verkwisting
extravagant	buitensporig
extravaganza	extravaganza
extreme	extreem
extreme anticipation	extreme anticipatie
extreme disgust	extreme afkeer
extreme surprise	extreme verrassing
extreme trust	extreem vertrouwen
extremely	uiterst
extremely negative	extreem negatief
extremely positive	extreem positief
extremity	uiteinde
extricate	losmaken
extrinsic	extrinsieke
extrusion	extrusie
exuberance	uitbundigheid
exude	uitzweten
eye	oog
eyeball	oogappel
eyebrow	wenkbrauw
eyeful	eyeful
eyeglass	monocle
eyeglasses	bril
eyelash	wimper
eyelet	oogje
eyeliner	eyeliner
eyepiece	oculair
eyes	ogen
eyesight	gezichtsvermogen
eyewitness	ooggetuige
fab	fab
fable	fabel
fabled	legendarisch
fabric	kleding stof
fabricate	fabriceren
fabricated	gefabriceerd
fabrication	verzinsel
fabulous	fabelachtig
facade	facade
face	gezicht
faceless	gezichtsloos
facet	facet
facial	gelaats
facile	NO TRANSLATION
facilitate	vergemakkelijken
facility	faciliteit
facing	geconfronteerd
facsimile	facsimile
fact	feit
faction	factie
factor	factor
factory	fabriek
facts	feiten
factual	feitelijk
faculties	faculteiten
faculty	faculteit
fad	dik
fade	vervagen
faded	verschoten
faeces	faeces
fag	flikker
faggot	flikker
fail	mislukken
failing	tekortkoming
failure	mislukking
fain	NO TRANSLATION
faint	flauw
fainting	flauwte
fair	eerlijk
fairly	tamelijk
fairness	eerlijkheid
fairway	vaargeul
fairy	fee
faith	geloof
faithful	getrouw
faithfulness	trouw
faithless	trouweloos
fake	nep
faker	oplichter
falafel	falafel
falcon	valk
fall	vallen
fallacious	misleidend
fallacy	bedrieglijkheid
fallback	terugvallen
fallible	feilbaar
falling	vallend
fallopian	eileiders
fallout	fallout
fallow	braak
false	VALSE
falsehood	leugen
falsely	vals
falsification	vervalsing
falsified	vervalst
falsify	vervalsen
falsity	valsheid
falter	wankelen
fame	roem
famed	beroemd
familiar	vertrouwd
familiarity	vertrouwdheid
familiarize	vertrouwd maken
family	familie
familytime	familie tijd
famine	hongersnood
famished	uitgehongerd
famous	beroemd
famously	beroemd
fan	ventilator
fanatic	fanaticus
fanatical	fanatiek
fanaticism	fanatisme
fanciful	denkbeeldig
fancy	zin in hebben
fandango	fandango
fanfare	fanfare
fang	NO TRANSLATION
fangs	hoektanden
fanning	waaieren
fantasia	fantasie
fantasize	fantaseren
fantastic	fantastisch
fantasy	fantasie
faraway	ver weg
farce	klucht
farcical	kluchtig
fare	tarief
farewell	afscheid
farm	farm
farmer	boer
farmhouse	boerenwoning
farming	landbouw
farmland	bouwland
faro	Faro
fart	scheet
farther	verder
fascia	fascia
fascinate	fascineren
fascinated	gefascineerd
fascinating	fascinerend
fascination	betovering
fascism	fascism
fascist	fascist
fashion	mode
fashionable	in de mode
fastball	fastball
fasten	vastmaken
fastener	bevestiger
fastening	bevestigingsmiddelen
fasting	vastend
fat	dik
fatal	dodelijk
fatalism	fatalisme
fatality	fataliteit
fate	lot
fated	voorbestemd
fateful	noodlottig
fathead	domkop
father	vader
fatherhood	vaderschap
fatherland	vaderland
fatherly	vaderlijk
fathom	doorgronden
fatigue	vermoeidheid
fatigued	vermoeid
fatso	fatso
fatten	mesten
fatty	vet
faucet	kraan
fault	fout
faultless	onberispelijk
faulty	defect
faun	faun
fauna	fauna
faux	faux
favor	gunst
favorable	gunstig
favorite	favoriete
favoriteholiday	NO TRANSLATION
favoritism	favoritisme
fawn	reekalf
fax	fax
faze	NO TRANSLATION
fear	angst
feared	vreesde
fearful	angstig
fearfully	vreselijk
fearing	vrezend
fearless	onbevreesd
fears	angsten
fearsome	vreselijk
feasibility	haalbaarheid
feasible	uitvoerbaar
feast	feest
feat	prestatie
feather	veer
feathered	gevederde
feature	voorzien zijn van
features	Kenmerken
febrile	koortsig
fecal	fecal
feces	ontlasting
fecundity	vruchtbaarheid
fed	gevoed
federal	federaal
federation	federatie
fedup	beu
fee	honorarium
feeble	zwak
feed	eten geven
feedback	terugkoppeling
feeder	voeder
feel	voelen
feelgood	goed voelen
feeling	gevoel
feelingdown	NO TRANSLATION
feelinggood	NO TRANSLATION
feet	voeten
feign	veinzen
feigned	gefingeerd
feisty	pittige
felicity	geluk
feline	katachtig
fell	viel
feller	houthakker
fellow	kameraad
fellowship	gemeenschap
felon	misdadiger
felony	zware misdaad
felt	voelde
female	vrouw
feminine	vrouwelijk
femininity	vrouwelijkheid
feminism	feminisme
feminist	feminist
femme	NO TRANSLATION
femoral	dijbeen
femur	dijbeen
fen	NO TRANSLATION
fence	hek
fenced	omheind
fencing	schermen
fend	afweren
fender	wrijfhout
fennel	venkel
ferment	gisten
fermentation	fermentatie
fern	varen
ferocious	woest
ferocity	wildheid
ferret	fret
ferry	veerboot
ferryboat	NO TRANSLATION
fertile	vruchtbaar
fertility	vruchtbaarheid
fertilize	bevruchten
fertilizer	kunstmest
fervent	vurig
fervor	ijver
fess	fess
fest	fest
festival	festival
festive	feestelijk
fetal	foetus
fetch	halen
fete	NO TRANSLATION
fetish	fetisch
fetus	foetus
feud	vete
feudal	feodaal
feudalism	leenstelsel
fever	koorts
feverish	koortsig
fiancee	NO TRANSLATION
fiasco	fiasco
fiat	fiat
fib	jokken
fiber	vezel
fiberglass	glasvezel
fibrosis	fibrose
fibrous	vezelig
fickle	wispelturig
fiction	fictie
fictional	fictief
fictitious	gefingeerd
fiddle	viool
fiddler	vioolspeler
fidelity	trouw
fidgety	ongedurig
fiduciary	fiduciair
field	veld-
field hockey	veld hockey
fielder	fielder
fiend	duivel
fiendish	duivels
fierce	woest
fiery	vurig
fiesta	feest
fiesty	NO TRANSLATION
fifteen	vijftien
fifty	vijftig
fig	vijg
fight	strijd
fighter	vechter
fighting	vechten
fights	gevechten
figment	verdichtsel
figurative	figuurlijk
figure	figuur
figurine	beeldje
filament	gloeidraad
filamentous	draderige
file	het dossier
filet	filet
filibuster	vrijbuiter
filigree	filigraan
filing	filing
filings	vijlsel
fill	vullen
filler	filler
fillet	filet
filling	vulling
filly	merrieveulen
film	film
filmmaker	filmmaker
filmy	NO TRANSLATION
filter	filter
filth	vuiligheid
filthy	vies
filtration	filtratie
fin	NO TRANSLATION
final	laatste
finale	slotstuk
finalist	finalist
finality	beslistheid
finalize	afronden
finalized	afgerond
finally	Tenslotte
finance	financiën
financial	financieel
financier	financier
finch	vink
find	vind
finder	vinder
finding	bevinding
fine	fijn
finery	opschik
finesse	finesse
finger	vinger
fingernail	vingernagel
fingerprint	vingerafdruk
fingerscrossed	NO TRANSLATION
finish	af hebben
finished	afgewerkt
finite	eindige
fink	verklikker
fir	Spar
fire	brand
firearm	vuurwapen
firearms	vuurwapens
fireball	vuurbol
firecracker	voetzoeker
firefight	vuurgevecht
firefighter	brandweerman
firefly	glimworm
firehouse	brandweerkazerne
