Word	jw
coupe	Coupe
couple	saperangan
coupled	ditambahake
coupling	kopling
coupon	kupon
courage	wani
courageous	wani
courier	kurir
courses	kursus
coursing	ngembangake
court	pengadilan
courteous	sopan
courtesy	kasetyan
courthouse	pengadilan
courtroom	ing kamar sidhang
courts	pengadilan
courtship	pacaran
courtside	ing sisih kiwa
courtyard	jogan
cousin	seduluré
cousins	sepupu
cove	cove
coven	coven
covenant	prajanjian
cover	tutup
coverage	jangkoan
covered	ditutupi
covering	panutup
covert	covert
covet	covet
coveted	coveted
cow	sapi
coward	pengecut
cowardice	kekuwatan
cowardly	pengecut
cowboy	kobong
cowgirl	cowgirl
cowhand	cowhand
cowhide	kulit
cowl	cowl
coworker	kanca
coy	coy
coyote	coyote
cozy	nyaman
crab	kepiting
crabby	crabby
crack	crack
cracked	retak
cracker	cracker
crackerjack	crackerjack
cracking	cracking
crackle	crackle
crackpot	crackpot
cradle	cradle
craft	kerajinan
crafts	Kerajinan
craftsman	tukang
craftsmanship	Craftsmanship
crafty	licik
craig	craig
cram	cram
crammed	crammed
cramp	cramp
cramped	cramped
cranberry	cranberry
cranberry juice	jus cranberry
crane	crane
cranial	cranial
cranium	cranium
crank	engkol
cranky	cranky
cranny	cranny
crap	crap
crappy	crappy
craps	craps
crash	kacilakan
crass	crass
crate	crita
crater	kawah
crave	crave
craving	nesu
crawfish	crawfish
crawl	nyusup
crayon	krayon
crayons	crayons
craze	craze
crazed	crazed
craziness	craziness
crazy	gila
creak	creak
creaking	creaking
cream	krim
creamed	creamed
creamer	creamer
creamy	krim
crease	crease
create	nggawe
creation	nggawe
creative	kreatif
creativity	kreativitas
creator	nitahake
creature	makhluk
credence	kapercayan
credential	kapercayan
credentials	kapercayan
credibility	kredibilitas
credible	kredibel
credit	kredit
credit card	kertu kredit
creditable	dikarepake
credited	dikreditake
crediting	krediting
creditor	kreditor
creed	akidah
creek	creek
creep	creep
creeper	creeper
creeping	creeping
creepy	creepy
cremation	cremation
creole	creole
crepe	crepe
crescendo	crescendo
crescent	Crescent
crest	puncake
crestfallen	crestfallen
cretin	cretin
cretins	cretins
crevice	crevice
crew	kru
crewman	crewman
crib	crib
cricket	jangkrik
cried	nangis
crime	tindak pidana
criminal	pidana
criminality	kriminalitas
crimp	crimp
crimson	layung
cringe	cringe
cripple	cripple
crippled	lumpuh
crippling	lumpuh
crisis	krisis
crisp	asri
crispy	crispy
criterion	ukuran
critic	kritikus
critical	kritis
criticise	ngritik
criticism	kritik
criticize	ngritik
criticized	ngritik
critique	kritik
critter	critter
croak	croak
croc	croc
crock	crock
crockery	crockery
crocodile	buaya
croft	croft
croissant	croissant
crook	crook
crooked	bengkong
crop	potong
croquet	croquet
cross	salib
cross country	salib negara
crossbow	crossbow
crossed	nyabrang
crossfire	crossfire
crossing	nyebrang
crossover	crossover
crosswalk	crosswalk
crossword	crossword
crotch	selakangan
crouch	crouch
crouched	crouched
crouching	crouching
croupier	croupier
crow	manuk gagak
crowbar	linggis
crowd	wong akeh
crowded	crowded
crowds	akeh
crown	makutha
crowning	crowning
crucial	wigati
cruciate	cruciate
crucifix	crucifix
crucifixion	penyaliban
crucify	nyalib
crud	crud
crude	crude
cruel	kejem
cruelly	kejem
cruelty	kekejeman
cruise	cruise
cruise ship	kapal pesiar
cruiser	cruiser
cruising	cruising
crumb	crumb
crumble	crumble
crumbling	crumbling
crummy	crummy
crunch	crunch
crunchy	crunchy
crusade	perang salib
crusader	crusader
crush	tresna
crushed	ulig
crusher	crusher
crushing	crushing
crust	kerak bumi
crusty	crusty
crutch	crutch
crux	crux
cry	nangis
crybaby	crybaby
crying	nangis
crypt	crypt
cryptic	sedhih
cryptography	kriptografi
crystal	kristal
crystalline	kristal
crystallization	kristalisasi
cub	cub
cubby	cubby
cube	cube
cubic	kubik
cubicle	cubicle
cuckold	cuckold
cuckoo	cuckoo
cucumber	timun
cuddle	cuddle
cuddled	cuddled
cuddles	cuddles
cuddling	cuddling
cue	cue
cuff	di iket
cuisine	Masakan
culinary	kuliner
cull	cull
culminate	culminate
culmination	culmination
culpability	culpability
culpable	culpable
culprit	culprit
cult	kultus
cultivate	cultivate
cultivated	lestarekake
cultivation	budidaya
cultural	budaya
culture	budaya
cultured	budayane
culvert	culvert
cumbersome	cumbersome
cumulus	cumulus
cunning	cunning
cunt	cunt
cup	cup
cupboard	cupboard
cupcake	cupcake
cupping	cupping
cur	saiki
curable	kelangan
curate	curate
curative	curative
curator	kurator
curb	curb
curd	curd
cure	ngobati
curfew	curfew
curiosity	penasaran
curious	penasaran
curl	nggulung
curling	curling
currency	dhuwit
current	saiki
curriculum	kurikulum
curry	kari
curse	kutuk
cursed	dikutuk
cursing	cursing
cursory	cursory
curt	singkat
curtail	curtail
curtailment	curtailment
curtain	sandiworo
curtains	langsir
curtsy	langsing
curvature	lengkungan
curve	kurva
curved	melengkung
curvilinear	curvilinear
cushion	bantal
cushy	cushy
cusp	cusp
cuss	cuss
cussed	cussed
custard	custard
custodial	custodial
custodian	custodian
custody	nyegah
custom	adat
customary	adat
customer	pelanggan
customized	kustomisasi
cut	Cut
cutaneous	cutaneous
cute	banget
cuticle	kutikula
cutie	ayu
cutlass	cutlass
cutlery	cutlery
cutoff	Cepet
cutter	pemotong
cutters	cutters
cutthroat	cutthroat
cutting	nglereni
cutting board	papan pemotong
cuttings	cuttings
cwt	cwt
cyanide	sianida
cyberspace	cyberspace
cycle	sepeda; Pit; ontel
cyclical	cyclical
cyclist	cyclist
cyclone	siklon
cylinder	silinder
cylindrical	silinder
cymbal	cymbal
cynic	cynic
cynical	cynical
cynicism	cynicism
cyst	cyst
cystic	cystic
cytomegalovirus	cytomegalovirus
cytoplasm	sitoplasma
czar	czar
dab	dab
dabble	dabble
dabbling	dabbling
dad	dad
daddy	daddy
dado	NO TRANSLATION
daemon	daemon
daft	daft
dagger	dagger
daily	saben dina
dainty	adoh
daiquiri	daiquiri
dairy	susu
daisy	Daisy
dak	NO TRANSLATION
dale	dale
dam	dam
damage	karusakan
damaged	rusak
damages	kerusakan
dame	dame
damn	peduli
damnation	damnation
damned	dikutuk
damp	lembab
dampened	dampened
damper	damper
damsel	Bocah wadon
dance	tari
dancer	penari
dancing	tarian
dandruff	dandruff
dandy	dandy
danger	bebaya
dangerous	mbebayani
dangerously	mbebayani
dangit	NO TRANSLATION
dangle	dangle
dank	NO TRANSLATION
dapper	dapper
dare	wani
daredevil	daredevil
daresay	daresay
daring	daring
dark	peteng
darken	darken
darkened	peteng
darkly	nangis
darkness	peteng
darkroom	darkroom
darkside	sisih peteng
darling	darling
darn	darn
dart	dart
dash	dash
dashboard	dashboard
dashed	mati
dashing	dashing
dastardly	dastardly
data	data
database	basis data
date	tanggal
datenight	NO TRANSLATION
daughter	putri
dawdle	dawdle
dawn	esuk
dawned	dawuh
day	dina
daybreak	awan
daycare	daycare
daydream	daydream
daydreaming	daydreaming
daylight	awan
daymade	NO TRANSLATION
dayoff	NO TRANSLATION
daytime	awan
daze	daze
dazed	kaget
dazzle	dazzle
dazzling	nyenengake
deacon	deacon
deactivate	mateni
dead	mati
deadbeat	mati
deadline	deadline
deadlines	wektu tundha
deadlock	deadlock
deadly	mateni
deaf	budheg
deafening	deafening
deafness	kuping
deal	menehi hasil
dealer	bakul
dealership	dealership
dealing	urusan, setuju
dealings	urusan
dean	dean
dear	dear
dearest	dearest
dearth	dearth
death	mati
deathbed	deathbed
deathly	sedhih
debacle	debacle
debased	debased
debatable	debatable
debate	debat
debauchery	debauchery
debenture	debenture
debilitating	debilitating
debit	debit
debrief	debrief
debriefing	debriefing
debris	lebu
debt	utang
debtor	utang
debut	debut
debutante	debutante
decade	dasawarsa
decadence	decadence
decadent	decadent
decaf	decaf
decanter	decanter
decathlon	decathlon
decay	rusak
decayed	cacat
decaying	decaying
deceased	almarhum
decedent	decedent
deceit	ngapusi
deceitful	ngapusi
deceive	ngapusi
deceived	ngapusi
deceiving	ngapusi
december	Desember
decency	kabecikan
decent	sopan
deception	ngapusi
deceptive	ngapusi
decide	mutusake
decidedly	mesthi
deciduous	deciduous
decimal	desimal
decimeter	decimeter
decipher	decipher
decision	keputusan
decisive	nemtokake
deck	dek
declaration	deklarasi
declaratory	declaratory
declare	ngumumake
declination	declination
decline	Kurangé populasi
declining	nyuda
deco	deco
decode	decode
decoder	decoder
decompose	decompose
decomposed	decomposed
decomposition	dekomposisi
decompress	decompress
decompression	decompression
decontamination	dekontaminasi
decor	dekorasi
decorate	dekorasi
decorating	dekorasi
decoration	dekorasi
decorative	hiasan
decorator	decorator
decorum	decorum
decoy	decoy
decrease	nyuda
decreased	mudhun
decreasing	mundhak
decree	dekrit
decrement	decrement
decrepit	mandhap
decry	decry
decryption	dekripsi
dedicate	dedicate
dedication	dedikasi
deduce	deduce
deduct	deduct
deductible	deductible
deduction	pengurangan
deed	tumindak
deejay	deejay
deem	Deleng
deep	jero
deepen	jero
deer	rusa
defamation	fitnah
defamatory	defamatory
default	standar
defeat	kekalahan
defeated	dikalahake
defeatist	defeatist
defect	cacat
defection	defection
defective	cacat
defector	defector
defend	defend
defendant	didakwa
defended	mbela
defender	defender
defending	mbela
defense	pertahanan
defenseless	defenseless
defensible	defensible
defensive	defensive
defer	nolak
deference	anggepan
deferral	deferral
deferring	deferring
defiance	defiance
defiant	defiant
defibrillator	defibrillator
deficiency	kurang
deficient	kurang
deficit	defisit
define	netepake
defined	ditetepake
definite	mesthi
definition	definisi
definitive	definitif
deflate	deflate
deflation	deflation
deflect	deflect
deflection	deflection
defloration	defloration
deform	cacat
deformed	cacat
deformity	cacat
defraud	defraud
defray	defray
defrost	defrost
deft	deft
defunct	defunct
defuse	defuse
defy	defy
degeneracy	degeneracy
degenerate	degenerate
degeneration	degenerasi
degradation	degradasi
degrade	degrade
degraded	mudhun
degrading	ngilangi
degree	gelar
dehydrated	Dehidrasi
dehydration	dehidrasi
dejected	nesu
delay	tundha
delayed	telat
delectable	seneng banget
delegate	utusan
delegation	delegasi
delete	Mbusak
deleterious	deleterious
deletion	pambusakan
deli	deli
deliberate	disengaja
deliberation	musyawarah
deliberative	deliberative
delicacy	delicacy
delicate	alus
delicatessen	delicatessen
delicious	éca
delight	bungah
delighted	nyenengake
delightful	seneng banget
delineate	delineate
delineation	delineation
delinquency	kenakalan
delinquent	delinquent
delirious	delirious
delirium	kelingan
deliver	ngirim
deliverance	pambebasan
delivery	pangiriman
dell	dell
delta	delta
delude	delude
deluge	banjir
delusion	delusion
delusional	delusional
deluxe	deluxe
delve	delve
demand	dikarepake
demanding	nuntut
demeaned	demeaned
demeaning	nyenyuwun
demeanor	demeanor
demented	demented
dementia	dementia
demise	demise
demo	demo
democracy	demokrasi
democrat	demokrat
democratic	demokratis
demographic	demografi
demolish	ngrusak
demolished	demolisi
demolition	demolition
demon	setan
demonic	demonic
demonstrable	bisa ditemokake
demonstrate	nuduhake
demonstrated	tontonan
demonstrating	nuduhake
demonstration	demo
demonstrative	demonstrative
demonstrator	demonstrator
demoralized	demoralized
demos	demo
demure	demure
den	NO TRANSLATION
deniability	deniability
denial	penolakan
denied	ora ulih
denim	denim
denomination	denominasi
denominational	denominasional
denominator	denominator
denote	tegese
denounce	denounce
dense	kandhel
density	Kapadhetan
dent	dent
dental	dental
dentist	dokter gigi
dentistry	Dentistry
dentists	dokter gigi
denunciation	denunciation
deny	nolak
denying	nolak
deodorant	deodorant
depart	mangkat
departed	mangkat
department	departemen
departmental	departemen
departure	departure
depend	gumantung
dependable	gumantung
dependant	gumantung
dependence	ketergantungan
dependency	ketergantungan
dependent	gumantung
depict	nggambar
depicting	nggambar
depletion	kekurangan
deplorable	deplorable
deplore	deplore
deploy	nyebarke
deployment	penyebaran
deport	deport
deportation	deportasi
depose	depose
deposit	simpenan
depositary	depositary
deposition	deposition
depository	depository
depot	depot
depraved	depraved
depravity	depravity
depreciate	depreciate
depreciated	depreciated
depreciation	panyusutan
depress	depress
depressed	nandhang sungkowo
depressing	depressing
depression	depresi
depressive	depresi
depresson	NO TRANSLATION
deprivation	nyuda
deprive	deprive
deprived	dilarang
depth	ambane
deputy	Wakil
derail	derail
deranged	deranged
derelict	derelict
derision	derision
derivation	derivasi
derivative	turunan
derive	niru
dermal	dermal
dermatologist	dermatologist
dermatology	dermatologi
derogation	derogation
derogatory	derogatory
descend	medhak
descendant	keturunan
descendent	NO TRANSLATION
descending	mudhun
descent	keturunan
describe	njlentrehake
description	deskripsi
descriptive	deskriptif
desecrate	desecrate
desecration	desecration
desert	sepi
deserted	ninggalake
deserter	deserter
desertion	desertion
deserve	pantes
deserved	pantes
deserving	pantes
design	desain
designate	ngrancang
designated	ditetepake
designation	sebutan
designed	dirancang
designer	Desainer
designing	ngrancang
desirability	kepenginan
desirable	sing dikarepake
desire	kepinginan
desiring	desiring
desirous	kepinginan
desist	desist
desk	meja
desolate	sepi
desolation	desolation
despair	mutung
despairing	nuwun
despatch	despatch
desperado	desperado
desperate	nekat
desperation	kepengine
despicable	despicable
despise	nyepelekake
despondent	sedhih banget
despotic	despotik
despotism	despotism
dessert	dessert
destination	panggonan
destined	kepenak
destiny	nasibe
destitute	mlarat
destroy	sirna
destroyed	sirna
destroyer	pemusnahan
destroying	ngancurake
destruct	destruct
destruction	karusakan
destructive	ngrusak
detach	copot
detached	suwek
detachment	detasemen
detail	rinci
detailed	rinci
details	rincian
detain	nahan
detainee	tahanan
detect	ndeteksi
detectable	bisa dideteksi
detection	deteksi
detective	detektif
detector	detektor
detention	tahanan
deter	ngalangi
detergent	deterjen
deteriorate	deteriorate
deteriorated	deteriorated
deteriorating	deteriorating
deterioration	rusak
determinable	bisa ditemtokake
determinate	determinate
determination	tekad
determine	nemtokake
determined	ditemtokake
deterrent	nambani
detest	ngguyu
detestation	nesu
detonate	detonate
detonation	detonasi
detonator	detonator
detour	jalan muter
detract	detract
detriment	detriment
detrimental	ngrusak
detritus	detritus
deuce	deuce
deutschmark	deutschmark
devalued	devalued
devastate	devastate
devastated	rusak
devastating	nyerang
devastation	devastasi
develop	berkembang
developer	pangembang
developing	ngembangake
development	pangembangan
deviant	nyimpang
deviate	nyimpang
deviating	nyimpang
deviation	penyimpangan
device	piranti
devil	setan
deviled	deviled
devilish	setan
devious	nyasar
devise	nyipta
devoid	boten
devolution	devolusi
devolve	devolve
devote	devote
devoted	sing dikarepake
devotee	devotee
devotion	pengabdian
devotional	devotional
devour	mangan
devout	taqwa
dew	embun
dexter	dexter
dexterity	dexterity
dextrose	dextrose
diabetes	diabetes
diabetic	diabetes
diabolical	diabolical
diagnose	diagnosa
diagnosis	diagnosa
diagnostic	diagnostik
diagnostics	diagnostik
diagonal	diagonal
diagram	diagram
dial	nelpon
dialect	dialect
dialectic	dialectic
dialogue	dialog
dialysis	dialisis
diameter	diameteripun
diamond	mirah
diamonds	perhiasan
diaper	diaper
diaphragm	diaphragm
diarrhea	diare
diarrhoea	diare
diary	diary
diatribe	diatribe
dib	NO TRANSLATION
dibs	dibs
dice	dadu
dicey	dicey
dichotomous	dichotomous
dichotomy	dikotomi
dick	kontol
dickhead	dickhead
dicks	dicks
dictate	dictate
dictation	dictation
dictator	diktator
dictatorial	dictatorial
dictatorship	dictatorship
diction	diction
dictionary	kamus
dictum	NO TRANSLATION
didactic	didactic
diddle	diddle
die	NO TRANSLATION
died	seda
diesel	diesel
diet	diet
dietary	dietary
differ	beda-beda
difference	prabédan
differences	beda
different	beda
differential	diferensial
differentiation	diferensiasi
differently	beda
differing	beda-beda
difficult	angel
difficulties	kesulitan
difficulty	angel
diffuse	nyebar
diffusion	difusi
dig	NO TRANSLATION
digest	digest
digestion	pencernaan
digestive	pencernaan
digit	digit
digital	digital
dignified	dignified
dignify	dignify
dignity	kamulyan
digress	digress
digs	NO TRANSLATION
dike	dike
dilapidated	dilapidated
dilatation	dilatation
dilation	dilation
dildo	dildo
dilemma	dilema
diligence	rajin
diligent	diligent
dill	dill
diluent	diluent
dilute	dilute
diluted	diencerke
dilution	dilusi
dim	dim
dime	dime
dimension	ukuran
dimensional	dimensi
diminish	diminish
diminished	cacat
diminution	diminution
diminutive	diminutive
dimwit	dimwit
din	NO TRANSLATION
dine	mangan
diner	diner
dinghy	dinghy
dingo	dingo
dingy	dingy
dining	dining
dinky	dinky
dinner	nedha bengi
dinnertime	dinnertime
dinosaur	dinosaurus
dint	dint
diocesan	diocesan
diocese	keuskupan
diorama	diorama
dioxide	dioxide
dip	dip
diploma	diploma
diplomacy	diplomasi
diplomat	diplomat
diplomatic	diplomatik
dipper	dipper
dippy	dippy
dipstick	dipstick
dire	NO TRANSLATION
direct	langsung
directed	katuntun
direction	arah
directive	langsung
directly	langsung
director	direktur
directory	direktori
dirt	rereget
dirty	reged
disability	cacat
disable	mateni
disabled	dipatèni
disadvantage	cacat
disaffected	disaffected
disagree	ora setuju
disagreeable	disagreeable
disagreeing	disagreeing
disagreement	disagreement
disallow	disallow
disallowed	ora diijini
disapointment	NO TRANSLATION
disappear	ilang
disappearance	ilang
disappearing	ilang
disappoint	nguciwani
disappointed	kuciwa
disappointing	nguciwani
disappointment	kuciwa
disapproval	ora setuju
disapprove	ora setuju
disapproved	ora setuju
disapproving	ora setuju
disarm	disarm
disarray	disarray
disaster	bilai
disastrous	kacilakan
disband	disband
disbelief	kuciwa
disbelieve	ora ngandel
disburse	disburse
disbursement	disbursement
disc	disk
discard	discard
discarded	dibuwang
discards	nyelehake
discern	mbedakake
discernible	katon
discerning	discerning
discernment	pangreten
discharge	discharge
disciple	murid
disciplinary	disiplin
discipline	disiplin
disciplined	disiplin
disclaim	mbantah
disclaimer	disclaimer
disclose	nyampekano informasi
disclosed	dibeberke
disclosure	pambocoran
disco	disko
discoloration	discoloration
discolored	ngilangi
discomfort	rasa ora nyaman
disconcerted	bingung
disconcerting	bingung
disconnect	medhot sambungan
disconnected	dicenthang
disconnection	pamisah
disconnects	dicopot
discontent	ora pantes
discontinuance	discontinuance
discontinue	discontinue
discontinuity	diskontinuitas
discontinuous	discontinuous
discord	prakara
discount	diskon
discounted	diskon
discourage	nyuda
discouraged	pundung
discouragement	keputusane
discouraging	nyemangati
discourse	wacana
discover	nemokake
discovery	panemuan
discredit	discredit
discredited	discredited
discreet	NO TRANSLATION
discrepancy	bedane
discrete	diskrèt
discretion	discretion
discretionary	discretionary
discriminate	diskriminasi
discriminating	discriminating
discrimination	diskriminasi
discus	diskus
discuss	ngrembug
discussion	diskusi
disdain	disdain
disdainful	disdainful
disease	penyakit
diseased	diseased
disembodied	disembodied
disengage	disengage
disengagement	disengagement
disfigured	disfigured
disgrace	disgrace
disgraced	ngremehake
disgraceful	disgraceful
disgruntled	disgruntled
disguise	nyamarake
disguised	disguised
disgust	nesu
disgusted	jinak
disgusting	njijiki
dish	sajian
disheartened	kurang ajar
disheartening	disheartening
dishonest	ora adil
dishonesty	ngapusi
dishonor	ngapusi
dishonorable	ora sopan
dishwasher	dishwasher
disillusionment	kekurangan
disinclination	disinlinasi
disincline	disincline
disinclined	disinclined
disinfect	disinfect
disinfectant	disinfektan
disinfection	disinfeksi
disinformation	disinformasi
disingenuous	disingenuous
disintegrate	disintegrate
disintegration	disintegrasi
disinterested	disinterested
disjoint	disjoint
disjointed	disjointed
disjunctive	disjunctive
disk	disk
diskette	diskette
dislike	ora kaya
disliked	disliked
disliking	disliking
dislocated	dislocated
dislocation	dislokasi
dislodge	dislodge
disloyal	disloyal
disloyalty	disloyalty
dismal	dismal
dismantle	dismantle
dismay	dismay
dismayed	dismayed
dismemberment	dismemberment
dismiss	ngilangi
dismissal	pemecahan
dismissive	mbantah
dismount	dismount
disobedience	disobedience
disobedient	disobedient
disobey	disobey
disorder	kelainan
disordered	disordered
disorderly	pas banget
disorganized	disorganised
disorientation	disorientation
disoriented	disoriented
disown	disown
disparage	disparage
disparaging	disparaging
disparate	disparate
disparity	disparity
dispassionate	dispassionate
dispatch	ngirim
dispatcher	dispatcher
dispel	ngilangi
dispensary	dispensary
dispensation	dispensasi
dispense	dispense
dispenser	dispenser
dispersal	dispersal
disperse	nyebarake
dispersed	buyar
dispersion	dispersi
dispirited	dispirited
displace	ngganggu
displaced	terlantar
displacement	pamindhahan
displacency	pamindhahan
display	tampilan
displease	displease
displeased	displeased
displeasure	displeasure
disposable	Disposable
disposal	pembuangan
dispose	mbuwang
disposed	dibuwang
disposition	panggonan
dispossessed	dicokot
disprove	disprove
dispute	regejegan
disqualification	disqualification
disqualified	disqualified
disqualify	disqualify
disquieted	disquieted
disregard	disregard
disregarded	diabaikan
disrelish	disrelish
disreputable	disreputable
disrepute	disrepute
disrespect	disrespect
disrespectful	disrespectful
disrupt	ngganggu
disrupting	ngganggu
disruption	gangguan
disruptive	disruptive
dissatisfaction	dissatisfaction
dissatisfied	ora puas
dissect	dissect
dissection	dissection
disseminate	nyebarake
dissemination	panyebaran
dissension	panyimpangan
dissent	dissent
dissenting	dissenting
dissertation	disertasi
disservice	disservice
dissident	dissident
dissimilar	beda
dissipate	dissipate
dissipated	dissipated
dissociation	disosiasi
dissociative	dissociative
dissolution	pembubaran
dissolve	dissolve
dissonance	dissonance
dissuade	dissuade
distal	distal
distance	jarak
distant	adoh
distaste	distaste
distasteful	distasteful
distillate	distillate
distillation	distilasi
distilled	disaring
distinct	béda
distinction	distinction
distinctive	khususe
distinguish	mbedakake
distinguishable	mbedakake
distinguished	bentenaken
distinguishing	mbedakake
distort	distorsi
distorted	distorsi
distortion	distorsi
distract	gangguan
distracted	kacau
distracting	distracting
distraction	gangguan
distraught	distraught
distress	kesusu
distressed	sedhih
distressing	kesusahan
distribute	nyebarake
distribution	distribusi
distributor	distributor
district	kabupaten
distrust	ora ngandel
disturb	ngganggu
disturbance	gangguan
disturbed	kaganggu
disturbing	ngganggu
disuse	disuse
disused	disused
ditch	selokan
ditto	ditto
ditty	ditty
diurnal	diurnal
diva	diva
divan	NO TRANSLATION
dive	nyelem
diver	panyimpenan
diverge	diverge
divergence	divergence
divergent	divergent
diverging	diverging
divers	penyelam
diverse	macem-macem
diversified	macem-macem
diversify	diversifikasi
diversion	pangalihan
diversionary	diversionary
diversity	bhinéka
divert	ngalihake
diverting	ngalihake
divest	divest
divested	divested
divestment	divestasi
divide	dibagi
divided	dipérang
dividend	deviden
divination	ramalan
divine	gaib
divinity	ketuhanan
divisible	divisible
division	divisi
divisor	divisi
divorce	perceraian
divorcee	nyolong
divulge	nyebarake
divvy	dival
dizziness	dizziness
dizzy	dizzy
do	aja
doable	doable
doc	doc
docile	docile
dock	dock
docked	docked
docket	dhetik
docking	docking
doctor	dhokter
doctorate	doctorate
doctrinal	doktrinal
doctrine	doktrin
document	dokumen
documentary	dokumen
documentation	dokumentasi
documents	dokumen
dodge	dodge
dodger	dodger
dodging	dodging
dodgy	dodgy
dodo	dodo
doe	doe
doer	doer
dog	asu
dogface	dogface
dogged	asu
doggy	doggy
doghouse	doghouse
dogma	dogma
dogmatic	dogmatis
dogsick	NO TRANSLATION
doings	doings
doit	NO TRANSLATION
dojo	dojo
doldrums	doldrums
dole	dole
doll	boneka
dollar	dollar
dollhouse	dollhouse
dolor	NO TRANSLATION
dolphin	dolphin
domain	domain
dome	kubah
domestic	domestik
domesticated	domesticated
domestication	domestik
domicile	domicile
domiciled	domiciled
dominance	dominasi
dominant	dominan
dominate	dominasi
dominating	dominating
domination	dominasi
dominatrix	dominatrix
dominion	dominasi
domino	domino
don	nganggo
donate	nyumbang
donation	sumbangan
donkey	keledai
donor	donor
dontlikeyou	NO TRANSLATION
dontmess	NO TRANSLATION
dontmesswithme	dontmesswithme
dontpanic	dontpanic
dontunderstand	NO TRANSLATION
doodle	doodle
doom	doom
doomed	ditolak
doomsday	kiamat
door	lawang
doorbell	lawang
doorknob	doorknob
doorman	doorman
doormat	doormat
doornail	doornail
doorstep	lawang
doorway	lawang
dopamine	dopamin
dope	dope
dopey	dopey
dork	dork
dorky	dorky
dorm	asrama
dormant	meneng
dormitory	asrama
dorsal	dorsal
dosage	dosis
dose	dosis
dossier	dossier
dot	dot
doting	doting
dotted	dotted
dotty	dotty
double	kaping pindho
doubled	loro-lorone
doublet	doublet
doubling	dobel
doubt	mangu-mangu
doubtful	gojag-gajeg
doubting	mamang
doubtless	mesthine
doubts	mamang
douche	douche
douchebags	douchebags
dough	adonan
doughboy	doughboy
doughnut	donat
dour	dour
douse	douse
dove	douk
down	mudhun
downcast	mudhun
downer	mudhun
downfall	ambruk
downfield	mudhun
downhearted	mudhun banget
downhill	mudhun
download	download
downpour	mudhun
downright	mudhun
downriver	mudhun
downside	mudhun
downtime	downtime
downward	mudhun
downy	downy
dowry	dowry
doze	doze
dozen	rolas
drab	drab
draft	konsep
drafty	drafty
drag	seret
dragon	naga
dragonfly	dragonfly
drain	saluran
drainage	saluran
drained	lemes
draining	draining
drainpipe	banyu pipa
drake	drake
drama	drama
dramaqueen	NO TRANSLATION
dramatic	dramatis
drape	drape
drapery	drapery
drastic	drastis
drat	NO TRANSLATION
draught	konsep
draw	tarik
drawback	kelemahane
drawbridge	drawbridge
drawer	laci
drawers	laci
drawing	drawing
dread	dread
dreaded	dreaded
dreadful	dreadful
dreadfully	dreadfully
dreading	dreading
dream	ngimpi
dreamboat	dreamboat
dreamer	dreamer
dreaming	ngimpi
dreamland	dreamland
dreams	impen
dreamt	ngimpi
dreamy	ngimpi
dreary	dreary
dredge	ngeruk
drenched	drenched
dress	klambi
dresser	dresser
dressmaker	dressmaker
dressy	dressy
dribble	NO TRANSLATION
dried	pepe
drier	drier
drift	drift
drifted	drifted
drifter	drifter
driftwood	driftwood
drill	pengeboran
drink	ngombe
drinker	drinker
drinking	ngombé
drinks	ngombe
drip	netes
dripping	dripping
drive	drive
drivel	mimpin
driver	driver
driveway	jalan masuk
drizzle	drizzle
droll	droll
drone	drone
drones	drones
drool	drool
drooping	nglumpukake
droopy	droopy
drop	nyelehake
droplet	tetesan
dropout	dropout
dropper	dropper
drought	kahanan garing lan kurang banyu
drove	NO TRANSLATION
drown	drown
drowsiness	ngantuk
drowsy	ngantuk
drudgery	drudgery
drug	tamba
drug dealing	dealing karo tamba
drugged	tamba
druggist	druggist
drugs	obatan
drugstore	toko obat
druid	druid
drum	drum
drummer	drummer
drumming	drumming
drunk	mabuk
drunk driving	nyetir mabuk
drunkard	drunkard
drunken	mabuk
drunkenness	drunkenness
dry	garing
dryer	pengering
dryness	garing
dual	dual
dualism	dualisme
duality	duality
dub	dub
dubious	dubious
duchess	Putri
duck	bebek
ducking	ducking
duckling	bebek
ducky	ducky
duct	pipa
ductile	ductile
dud	dud
dude	wong lanang
duds	duds
due	amarga
duel	tandhingane
dues	dues
duet	Duet
duffel	duffel
dugout	ngguyu
duh	duh
duke	Adipati
dull	kurang
dullard	dullard
dumb	bisu
dumbasses	dumbasses
dumbbell	dumbbell
dumbbitch	NO TRANSLATION
dumfound	dumfound
dumfounder	NO TRANSLATION
dummy	dummy
dump	mbuwang
dumpling	dumpling
dumps	dumps
dumpster	dumpster
dun	dun
dunce	dunce
dune	dune
dung	NO TRANSLATION
dungeon	dungeon
dunk	dunk
duo	duo
dupe	dupe
duplex	duplex
duplicate	duplikat
duplication	duplikat
duplicity	duplikat
durability	daya tahan
durable	awet
duration	duration
duress	duress
dusk	dusk
dusky	dusky
dust	bledug
duster	duster
dustpan	sampah
dusty	blangkon
dutiful	dutiful
duty	tugas
dwarf	dwarf
dwarfed	dwarfed
dweeb	dweeb
dwell	manggon
dweller	dweller
dwelling	omah
dye	pewarna
dying	mati
dyke	dyke
dynamic	dinamis
dynamical	dinamis
dynamics	dinamika
dynamite	dynamite
dynamo	dynamo
dynasty	Dinasti
dysentery	dysentery
dysfunction	Dysfunction
dysfunctional	dysfunctional
dyspepsia	dyspepsia
