Word	te
coincide	ఏకకాలంలో
coincidence	యాధృచ్చికంగా
coincident	ఏక కాల సంఘటన సంభవించిన
coincidental	యాధృచ్ఛికంగా
coinciding	సమయంలోనే
coke	కోక్
cola	కోల
cold	చల్లని
coldly	coldly
coldness	చల్లదనం
coldsweat	NO TRANSLATION
coleslaw	coleslaw
colic	నొప్పికీ
coliseum	కొలిసియం
collaborate	సహకరించడానికి
collaboration	సహకారం
collaborator	సహకారి
collage	కోల్లెజ్
collagen	కొల్లాజెన్
collapse	పతనం
collar	కాలర్
collarbone	collarbone
collate	పోగు
collateral	అనుషంగిక
collation	సమాకలనం
colleague	సహచరుడు
collect	సేకరించడానికి
collected	సేకరించిన
collection	సేకరణ
collective	సామూహిక
collectively	సామూహికంగా
collector	కలెక్టర్
college	కాలేజ్
collegiate	కాలేజియేట్
collide	కొట్టుకొని
collie	కోలి
collision	ఖండించు
collocation	collocation
colloquial	వ్యవహారిక
collusion	కుట్రల
cologne	కొలోన్
colon	పెద్దప్రేగు
colonel	కల్నల్
colonial	వలస
colonic	శోథ
colonoscopy	పెద్దప్రేగు దర్శనం
colony	కాలనీ
colophon	colophon
color	రంగు
coloration	రంగు
colored	రంగు
colorful	రంగుల
coloring	కలరింగ్
colorless	రంగులేని
colors	రంగులు
colossal	భారీ
colt	పిల్ల
columbine	కొలంబైన్
column	కాలమ్
columnar	columnar
columnist	కాలమిస్ట్
com	NO TRANSLATION
coma	కోమా
comatose	అపస్మారక స్థితి
comb	దువ్వెన
combat	పోరాట
combatant	ప్రత్యక్ష పోరులో
combative	పోరాట
combination	కలయిక
combinatorial	సమ్మిళిత
combine	మిళితం
combined	కలిపి
combo	కాంబో
combustible	మండే
combustion	దహన
come	వచ్చి
comeback	తిరిగి రా
comedian	హాస్యనటుడు
comedy	కామెడీ
comet	కామెట్
comfort	సౌకర్యం
comfortable	సౌకర్యవంతమైన
comforter	తీర్చగలిగినవాడు
comforting	మభ్యపెట్టే
comfy	comfy
comic	హాస్య
comical	హాస్య
comics	కామిక్స్
coming	వచ్చే
comma	కామా
command	కమాండ్
commandant	కమాండెంట్
commandeer	తన స్వాధీనం
commander	కమాండర్
commanding	కమాండింగ్
commandment	ఆజ్ఞను
commando	కమాండో
commemorate	జ్ఞాపకార్ధం
commemoration	సంస్మరణ
commemorative	స్మారక
commence	ప్రారంభం
commend	సిఫార్సు
commendable	ఇంతటి
commendation	ప్రశంసా
commensurate	లక్షణములు
comment	వ్యాఖ్య
commentary	వ్యాఖ్యానం
commentator	వ్యాఖ్యాత
commerce	కామర్స్
commercial	వాణిజ్య
commie	Commie
commissary	ఆహారకేంద్రం
commission	కమిషన్
commissioner	కమిషనర్
commit	కమిట్
commitment	నిబద్ధత
committal	ఉదాసీనంగా
committed	ఆత్మహత్య
committee	కమిటీ
commodity	వస్తువు
commodore	దళాధిపతి
common	సాధారణ
commoner	సామాన్య
commonly	సాధారణంగా
commonplace	సర్వసాధారణంగా
commons	కామన్స్
commonwealth	కామన్వెల్త్
commotion	కల్లోలం
communal	మత
commune	కమ్యూన్
communicable	అంటు
communicate	కమ్యూనికేట్
communication	కమ్యూనికేషన్
communicative	ప్రసారక
communicator	ప్రసారకుడి
communion	సమాజంలో
communism	కమ్యూనిజం
communist	కమ్యూనిస్ట్
community	సంఘం
commutation	శిక్షను
commutative	స్వతంత్ర
commute	ప్రయాణానికి
commuter	ప్రయాణికుల
comp	comp
compact	కాంపాక్ట్
compaction	సంపీడన
compactness	నిబిడత
companion	తోడుగా
companionless	companionless
companionship	సాహచర్యం
company	కంపెనీ
comparable	పోల్చదగిన
comparative	తులనాత్మక
comparatively	తులనాత్మకంగా
compare	సరిపోల్చండి
comparison	పోలిక
compartment	కంపార్ట్మెంట్
compass	దిక్సూచి
compassion	కరుణ
compassionate	కారుణ్య
compatibility	అనుకూలత
compatible	అనుకూలంగా
compel	ప్రేరేపిస్తాయి
compelled	ఒత్తిడి
compelling	బలవంతపు
compendium	కంపెన్డియం
compensate	భర్తీ
compensation	పరిహారం
compensatory	పరిహార
compete	పోటీ
competence	స్పర్థ
competency	యోగ్యత
competent	సమర్థ
competition	పోటీ
competitive	పోటీ
competitor	పోటీదారు
compilation	సంగ్రహం
compile	కంపైల్
complacency	నిర్లక్ష్యానికి
complacent	ఆత్మసంతృప్తి
complain	ఫిర్యాదు
complaint	ఫిర్యాదు
complement	పూరక
complementary	పరిపూరకరమైన
complete	పూర్తి
completed	పూర్తి
completely	పూర్తిగా
completeness	పరిపూర్ణతను
completing	పూర్తి
completion	పూర్తి
complex	సంక్లిష్ట
complexed	సంకీర్ణం
complexion	ఛాయతో
complexity	సంక్లిష్టత
compliance	వర్తింపు
compliant	కంప్లైంట్
complicate	క్లిష్టతరం
complicated	సంక్లిష్టమైన
complication	ఉపద్రవం
complicity	క్లిష్టపరిస్థితి
compliment	NO TRANSLATION
complimentary	అభినందన
comply	అనుగుణంగా
complying	పాటించడంలో
compo	compo
component	భాగం
compose	కంపోజ్
composed	కూర్చిన
composer	స్వరకర్త
composite	మిశ్రమ
composition	కూర్పు
compost	కంపోస్ట్
composure	ఏకాగ్రతకు
compound	సమ్మేళనం
comprehend	గ్రహించడానికి
comprehension	గ్రహణ
comprehensive	సమగ్ర
compress	కుదించుము
compressed	కుదించబడిన
compressible	compressible
compression	కుదింపు
compressor	కంప్రెసర్
comprise	వహిస్తాయి
compromise	రాజీ
comptroller	కంప్ట్రోలర్
compulsion	బలవంతం
compulsive	కంపల్సివ్
compulsory	తప్పనిసరిగా
computable	గణించే
computation	గణన
compute	గణన
computer	కంప్యూటర్
computerized	కంప్యూటరీకరణ
computing	కంప్యూటింగ్
comrade	కామ్రేడ్
con	NO TRANSLATION
concatenation	జోడింపు
concave	పుటాకార
conceal	మరుగున
concealed	దాగి
concealment	దాగి
concede	అంగీకరించడానికి
conceit	అతిశయం
conceited	అహంకరించినవాడు
conceivable	గర్వించదగిన
conceive	గర్భం
concentrate	దృష్టి
concentration	ఏకాగ్రత
concentric	కేంద్రక
concept	భావన
conception	భావన
concern	ఆందోళన
concerned	సంబంధిత
concert	కచేరీ
concerto	సంగీత
concession	రాయితీని
concessional	రాయితీని ప్రకటించిన
conch	శంఖం
concierge	ద్వారపాలకుడి
conciliation	రాజీ
concise	సంక్షిప్తమైన
conclave	సమావేశం
conclude	తేల్చాయి
concluding	ముగింపు
conclusion	ముగింపు
conclusive	నిశ్చయాత్మక
concoction	కల్పనతో
concomitant	ఏకకాలిక
concord	ఏక తాళం
concordance	సామరస్య
concours	NO TRANSLATION
concourse	సమూహం
concrete	కాంక్రీటు
concubine	ఉంపుడుగత్తె
concur	ఏకీభవించే
concurrence	సమ్మతించు
concurrent	ఉభయ
concurring	కంకర్రింగ్
concussion	కంకషన్
condemn	ఖండించాయి
condemnation	ఖండించారు
condensation	సంక్షేపణం
condensed	ఘనీకృత
condescending	దిగజారిన
condescension	condescension
condiment	సంభారం
condition	పరిస్థితి
conditional	నియత
conditionally	షరతులతో
conditioned	కండిషన్డ్
conditioner	కండీషనర్
conditioning	కండిషనింగ్
conditions	పరిస్థితులు
condo	కాండో
condolence	సంతాపం
condolences	సంతాపాన్ని
condom	కండోమ్
condone	క్షమించరు
condor	కొండార్
conducive	సహాయకారి
conduct	ప్రవర్తన
conduction	ప్రసరణ
conductivity	వాహకత
conductor	కండక్టర్
conduit	మధ్యవర్తిగా
cone	కోన్
confederacy	మరాఠా సమాఖ్యలో
confederate	సమ్మేళనా
confederation	సమాఖ్య
confer	చర్చించే
conference	సమావేశంలో
confess	అంగీకరిస్తున్నాను
confession	ఒప్పుకోలు
confessional	పశ్చాత్తాప
confessions	కన్ఫెషన్స్
confetti	వెదజల్లే
confidant	ఆంతరంగికుడు
confide	కాన్ఫైడ్
confidence	విశ్వాసం
confident	నమ్మకంగా
confidential	రహస్య
confidentiality	గోప్యత
confidentially	NO TRANSLATION
configuration	ఆకృతీకరణ
confine	నిర్బంధించడానికి
confined	పరిమితమై
confinement	నిర్బంధంలో
confines	పరిమితుల్లో
confirm	నిర్ధారించండి
confirmation	నిర్ధారణ
confirmatory	నిశ్చిత
confirmed	ధ్రువీకరించారు
confiscate	జప్తు
confiscation	జప్తు
conflagration	అగ్ని ప్రమాదం
conflict	సంఘర్షణ
conflicting	విరుద్ధమైన
confluence	సంగమం
conform	అనుగుణంగా
conformance	రూడి
conformation	NO TRANSLATION
conformity	అనుగుణ్యత
confound	అయోమయం
confounded	అయోమయానికి
confront	అదుపుచేయలేని
confrontation	ఘర్షణ
confuse	కంగారు
confused	గందరగోళం
confusing	గందరగోళంగా
confusion	గందరగోళం
conga	కొంగ
congenial	అనుకూలంగా
congenital	పుట్టుకతో వచ్చిన
congestion	రద్దీ
conglomerate	సమ్మేళన
conglomeration	కూడిక
congrats	అభినందనలు
congratulate	అభినందించేందుకు
congratulation	అభినందన
congratulations	అభినందనలు
congratulatory	అభినందిస్తూ
congregate	సమావేశం
congregation	సమాజం
congress	సమావేశం
congressional	కాంగ్రెస్
congressman	కాంగ్రెస్
congruence	అనురూపత
conic	శంఖువుకు
conical	శంఖు ఆకారపు
conjecture	ప్రతిపాదనను
conjugal	దాంపత్య
conjugate	సంయోజక
conjugation	సంయోగం
conjunction	కలిపి
conjunctive	conjunctive
conjure	మాయాజాలం
conjuring	మంత్రవిద్య చేయు
conk	conk
connect	కనెక్ట్
connected	కనెక్ట్
connection	కనెక్షన్
connective	కనెక్టివ్
connoisseur	అన్నీ తెలిసిన
conquer	జయించటానికి
conquering	ఆక్రమించుకోనే
conqueror	విజేత
conquest	ఆక్రమణ
conscience	మనస్సాక్షి
conscientious	మనస్సాక్షికి
conscious	చేతన
consciousness	స్పృహ
conscription	నిర్బంధ సైనిక శిక్షణ
consecrated	పవిత్రులుగా
consecration	ప్రతిష్ఠితమైన
consecutive	వరుసగా
consensual	ఏకాభిప్రాయ
consensus	ఏకాభిప్రాయం
consent	సమ్మతి
consenting	అపటికే
consequence	పర్యవసానంగా
consequent	పర్యవసాన
conservation	పరిరక్షణ
conservatism	సంప్రదాయవాదం
conservative	సంప్రదాయవాద
conservatory	కన్సర్వేటరి
conserve	ఆదా
consider	పరిగణలోకి
considerable	గణనీయమైన
considerate	బుద్ధిపూర్వకంగా
consideration	పరిశీలనలో
consignee	పొందేవాడు
consignment	సరుకు
consist	ఉంటాయి
consistency	నిలకడ
consistent	స్థిరమైన
consolation	ఓదార్పు
console	కన్సోల్
consoled	ఓదార్చారు
consolidate	ఏకీకృతం
consolidated	ఏకీకృత
consolidation	ఏకీకరణ
consonant	హల్లు
consort	దేవేరి
conspicuous	ప్రస్ఫుటమైన
conspiracy	కుట్ర
conspirator	కుట్రదారుగా
conspire	కుట్ర
constable	కానిస్టేబుల్
constancy	నిలకడ
constant	స్థిరమైన
constantly	నిరంతరం
constellation	కూటమి
consternation	దిగ్భ్రాంతి
constipation	మలబద్ధకం
constituency	నియోజకవర్గంలో
constituent	రాజ్యాంగ
constituents	నియోజక వర్గాల
constitute	ఉన్నారు
constitution	రాజ్యాంగం
constitutional	రాజ్యాంగ
constitutionality	రాజ్యాంగపరంగా
constrain	నిర్బంధించటానికి
constrained	పరిమితమయ్యాయి
constraint	నిరోధ
construct	నిర్మించేందుకు
construction	నిర్మాణం
constructive	నిర్మాణాత్మక
construe	ప్రత్యేకార్థమును
consul	కాన్సుల్
consulate	కాన్సులేట్
consult	సంప్రదించండి
consultant	కన్సల్టెంట్
consultation	సంప్రదింపులు
consume	తినే
consumer	వినియోగదారు
consuming	తీసుకుంటుంది
consummate	సంపూర్ణ
consummation	కన్స్యూమేషన్
consumption	వినియోగం
contact	పరిచయం
contagion	అంటువ్యాధి
contagious	అంటు
contain	కలిగి
container	కంటైనర్
containment	అదుపుచేసే
contaminate	కలుషితం
contaminated	కలుషిత
contamination	కాలుష్యం
contemplate	ఆలోచించు
contemplation	చింతన
contemplative	ఆలోచనాత్మక
contemporaneous	సమకాలీనులైన
contemporary	సమకాలీన
contempt	ధిక్కార
contemptible	నీచమైన
contemptuous	ధిక్కరిస్తూ
contend	గట్టిగా
contender	పోటీదారు
contending	పోటీపడిన
content	కంటెంట్
contented	తృప్తిగా
contention	వివాదాస్పద
contentious	వివాదస్పద
contentment	కంటెంట్మెంట్
contents	విషయాల
contest	పోటీ
contestant	పోటీదారుడు
context	సందర్భం
contiguous	పక్కపక్క
continence	నిగ్రహ
continent	ఖండంలోని
continental	ఖండాంతర
contingency	ఆకస్మిక
contingent	ఆగంతుక
continual	నిరంతర
continually	నిరంతరంగా
continuance	కొనసాగడాన్ని
continuation	కొనసాగింపు
continue	కొనసాగించడానికి
continued	కొనసాగింది
continuing	నిరంతర
continuity	కొనసాగింపు
continuous	నిరంతర
continuously	నిరంతరం
continuum	నిరంతర
contour	ఆకృతి
contraband	నిషిద్ధ
contraception	గర్భ
contract	ఒప్పందం
contracted	ఒప్పందం
contractile	సంకోచిత
contracting	కాంట్రాక్టు
contraction	సంకోచం
contractor	కాంట్రాక్టర్
contradict	వ్యతిరేకించదు
contradiction	వైరుధ్యం
contradictory	విరుద్ధ
contraption	వింత
contrary	విరుద్ధంగా
contrast	విరుద్ధంగా
contrasted	విరుద్ధంగా
contravene	అతిక్రమించు
contravention	ప్రతికూలం
contribute	దోహదం
contribution	సహకారం
contributor	కంట్రిబ్యూటర్
contrite	తప్పు
contrition	పశ్చాతాపం
contrived	కంట్రైవ్డ్
control	నియంత్రణ
controller	కంట్రోలర్
controlling	నియంత్రించడంలో
controversial	వివాదాస్పద
controversy	వివాదం
contusion	కాన్ట్యూశన్
conundrum	తికమక పెట్టే
convalescent	స్వస్థత
convection	సంవహనం
convene	సమావేశం
convenience	సౌలభ్యం
conveniences	అనుకూల్యములు
convenient	సౌకర్యవంతంగా
convent	కాన్వెంట్
convention	కన్వెన్షన్
conventional	సంప్రదాయ
converge	కలుస్తాయి
convergence	ఏకీభవించటం
convergent	అభిసార
conversant	పరిచయం
conversation	సంభాషణ
conversational	సంభాషణా
conversationalist	సంభాషణా
converse	విపర్యం
conversing	సంభాషిస్తూ
conversion	మార్పిడి
convert	మార్చేందుకు
converted	కన్వర్టెడ్
convertible	కన్వర్టిబుల్
convex	కుంభాకార
convexity	కన్వెక్సిటీ
convey	అందించటంలో
conveyance	తెలియచేయడం
conveyancing	దస్తావేజులు వ్రాసే
convict	అపరాధి
conviction	దోషిగా
convince	ఒప్పించేందుకు
convinced	ఒప్పించింది
convincing	ఆమోదయోగ్యమైన
convocation	స్నాతకోత్సవంలో
convoluted	మెలికలు
convolution	కాన్వోల్యూషన్
convoy	కాన్వాయ్
coo	COO
cook	కుక్
cookbook	కుక్బుక్
cooker	కుక్కర్
cookery	కుకరీ
cookie	కుకీ
cookies	కుకీలను
cooking	వంట
cookout	cookout
cool	చల్లని
coolant	శీతలకరణి
cooler	చల్లగా
cooling	శీతలీకరణ
coolness	చల్లదనం
coon	కూన్
coop	Coop
cooperate	సహకరించిన
cooperating	సహకరించింది
cooperation	సహకారం
cooperative	సహకార
coordinate	సమన్వయం
coordination	సమన్వయ
coordinator	సమన్వయకర్త
cop	పోలీసు
copacetic	NO TRANSLATION
cope	భరించవలసి
copier	కాపీయర్కు
copilot	కోపైలట్
coping	జీవించగలిగే
copious	విపరీతంగా
copper	రాగి
copter	copter
copy	కాపీని
copycat	copycat
copying	కాపీయింగ్
copyright	కాపీరైట్
coral	పగడపు
coral snake	పగడపు పాము
cord	తాడు
cordial	సుహృద్భావ
cordless	కార్డ్లెస్
cordon	కోర్దన్
corduroy	తెప్ప
core	కోర్
cork	కార్క్
corkscrew	క్రాక్స్స్క్రూ
corn	మొక్కజొన్న
cornball	cornball
cornbread	కార్న్బ్రెడ్
cornea	కార్నియా
corned	గొడ్డు
corner	మూలలో
cornerstone	మూలస్తంభంగా
cornet	కార్నెట్
cornfield	cornfield
cornflakes	NO TRANSLATION
cornice	కర్నిస్
cornstarch	మొక్కజొన్న గంజి
corny	చప్పగా
corollary	పరిణామం
corona	కాంతివలయ
coronary	కరోనరీ
coronation	పట్టాభిషేక
coroner	ఉంటాడని వైద్యాధికారి
corporal	శారీరక
corporate	కార్పొరేట్
corporation	కార్పొరేషన్
corporeal	శారీరిక
corps	కార్ప్స్
corpse	శవం
corpsman	కార్ప్స్మాన్
corpus	కార్పస్
corral	దొడ్డిని
correct	సరైన
correction	దిద్దుబాటు
correctional	దిద్దుబాటు
corrective	దిద్దుబాటు
correctness	సవ్యత
correlation	సహసంబంధం
correlative	పరస్పరాశ్రిత
correspond	అనుగుణ్యమైన
correspondence	సుదూర
correspondent	కరస్పాండెంట్
corresponding	సంబంధిత
corridor	కారిడార్
corroborate	బలపరచడం
corroboration	బలపరచడం
corrosion	తుప్పు
corrosive	తినివేయు
corrupt	అవినీతి
corrupting	చెడగొట్టే
corruption	అవినీతి
corsage	కోర్సేజ్
corse	NO TRANSLATION
corset	కృత్రిమ కీళ్ళ తొడుగు
cortex	కార్టెక్స్
cortical	కంటి
cortisone	కార్టిసోన్
corvette	కొర్వెట్టి
cosmetic	సౌందర్య
cosmetics	సౌందర్య
cosmic	విశ్వ
cosmology	విశ్వోద్భవ
cosmopolitan	కాస్మోపాలిటన్
cosmos	కాస్మోస్
cost	ఖరీదు
costly	ఖరీదైన
costume	దుస్తులు
cosy	హాయిగా
cot	మంచం
cote	కోటె
cottage	కుటీర
cotton	పత్తి
couch	సోఫా
cougar	కౌగర్
cough	దగ్గు
council	కౌన్సిల్
councilman	కౌన్సిల్
counsel	న్యాయవాది
counseling	కౌన్సిలింగ్
counsellor	కౌన్సిలర్
counselor	కౌన్సిలర్
count	కౌంట్
countdown	కౌంట్ డౌన్
countenance	వదనం
counter	కౌంటర్
counteract	ఎదుర్కొనడానికి
counterattack	ఎదురు దాడి
counterbalance	counterbalance
counterclaim	ప్రతివాద
counterfeit	నకిలీ
counterpart	కౌంటర్
counterpoint	కౌంటర్
countess	దొరసాని
countless	లెక్కలేనన్ని
country	దేశంలో
countryman	దేశస్థుడు
countrymusic	NO TRANSLATION
countryside	గ్రామీణ
counts	గణనలు
county	కౌంటీ
coup	తిరుగుబాటు
coupe	కూపే
couple	జంట
coupled	తోడైన
coupling	సంధానం
coupon	కూపన్
courage	ధైర్యం
courageous	సాహసోపేతమైన
courier	కొరియర్
courses	కోర్సులు
coursing	కోర్సింగ్
court	కోర్టు
courteous	మర్యాదపూర్వకమైన
courtesy	మర్యాద
courthouse	కోర్టు హౌస్
courtroom	న్యాయస్థానంలో
courts	కోర్టులు
courtship	ప్రణయ
courtside	కోర్ట్
courtyard	ప్రాంగణంలో
cousin	బంధువు
cousins	దాయాదులు
cove	జాలం
coven	coven
covenant	ఒడంబడిక
cover	కవర్
coverage	కవరేజ్
covered	కవర్
covering	కవరింగ్
covert	కోవర్టు
covet	తీవ్రమైన లైంగిక వాంఛ
coveted	గౌరవనీయమైన
cow	ఆవు
coward	పిరికివాడు
cowardice	పిరికితనం
cowardly	పిరికి
cowboy	కౌబాయ్
cowgirl	కౌగాళ్
cowhand	కౌహ్యాండ్
cowhide	cowhide
cowl	ముసుగును
coworker	సహోద్యోగి
coy	సిగ్గు మొహమాటము
coyote	తోడేలు
cozy	హాయిగా
crab	పీత
crabby	crabby
crack	క్రాక్
cracked	పగుళ్లు
cracker	క్రాకర్
crackerjack	ఇంత
cracking	క్రాకింగ్
crackle	ఒకటే ధ్వని చేయుట
crackpot	విచిత్ర
cradle	ఊయల
craft	క్రాఫ్ట్
crafts	కళలు
craftsman	పనివాడు
craftsmanship	నైపుణ్యానికి
crafty	జిత్తులమారి
craig	క్రైగ్
cram	క్రామ్
crammed	అసత్యంగా
cramp	స్నాయువుల ఈడ్పు
cramped	ఇరుకైన
cranberry	క్రాన్బెర్రీ
cranberry juice	క్రాన్బెర్రీ జ్యూస్
crane	క్రేన్
cranial	కపాల
cranium	భాగము
crank	క్రాంక్
cranky	cranky
cranny	పగులు
crap	చెత్త
crappy	crappy
craps	craps
crash	క్రాష్
crass	క్రాస్
crate	గాజు సీసాలు రవాణా చేసేందుకు ఉపయోగించే పెట్టె
crater	బిలం
crave	యాచించు
craving	కోరిక
crawfish	క్రాఫిష్
crawl	క్రాల్
crayon	క్రేయాన్
crayons	క్రేయాన్స్
craze	వ్యామోహం
crazed	క్రేస్ద్
craziness	craziness
crazy	వెర్రి
creak	కీచుమను ధ్వని
creaking	creaking
cream	క్రీమ్
creamed	మీగడ
creamer	creamer
creamy	సంపన్న
crease	క్రీజ్
create	సృష్టించడానికి
creation	సృష్టి
creative	సృజనాత్మక
creativity	సృజనాత్మకత
creator	సృష్టికర్త
creature	జీవి
credence	విశ్వాసాన్ని
credential	క్రెడెన్షియల్
credentials	ఆధారాలను
credibility	విశ్వసనీయత
credible	విశ్వసనీయ
credit	క్రెడిట్
credit card	క్రెడిట్ కార్డు
creditable	మేలైన
credited	ఘనత
crediting	క్రెడిట్
creditor	రుణదాత
creed	మతం
creek	క్రీక్
creep	క్రీప్
creeper	లత
creeping	చర్మము
creepy	గగుర్పాటు
cremation	దహన
creole	Creole
crepe	ముడతలుగల
crescendo	పతాక సన్నివేశానికి
crescent	నెలవంక
crest	చిహ్నం
crestfallen	crestfallen
cretin	థైరాయిడ్ లోపము వలన మరగుజ్జు తనము
cretins	Crétins
crevice	రాతిలో ఏర్పడే పగులు
crew	సిబ్బంది
crewman	crewman
crib	తొట్టి
cricket	క్రికెట్
cried	క్రైడ్
crime	నేర
criminal	నేర
criminality	నేరప్రవృత్తి
crimp	క్రిమ్ప్
crimson	క్రిమ్సన్
cringe	భయంతో మూల దాగుకొను
cripple	జరిగితే
crippled	వికలాంగులను
crippling	అవిటి
crisis	సంక్షోభం
crisp	స్ఫుటమైన
crispy	మంచిగా పెళుసైన
criterion	ప్రమాణం
critic	విమర్శకుడు
critical	క్లిష్టమైన
criticise	విమర్శించడానికి
criticism	విమర్శ
criticize	విమర్శించడానికి
criticized	విమర్శించారు
critique	విమర్శ
critter	క్రిటెర్
croak	బొంగురు ధ్వని
croc	క్రోక్
crock	మట్టి
crockery	టపాకాయల
crocodile	మొసలి
croft	క్రాఫ్ట్
croissant	croissant
crook	నిజాయతీలేని
crooked	వంకర
crop	పంట
croquet	కర్ర
cross	క్రాస్
cross country	క్రాస్ కంట్రీ
crossbow	క్రాస్బౌ
crossed	దాటింది
crossfire	ఎదురుకాల్పుల్లో
crossing	క్రాసింగ్
crossover	క్రాస్ఓవర్
crosswalk	crosswalk
crossword	క్రాస్వర్డ్
crotch	పంగ
crouch	పొంచి
crouched	వ్యక్తి
crouching	వంగి కూర్చొని
croupier	క్రౌపియర్
crow	కాకి
crowbar	గునపంతో
crowd	ప్రేక్షకులు
crowded	రద్దీ
crowds	సమూహాలు
crown	కిరీటం
crowning	పట్టాభిషేకం
crucial	కీలకమైన
cruciate	క్రూసియేట్
crucifix	క్రుసిఫిక్స్
crucifixion	శిలువ
crucify	అమితంగా
crud	crud
crude	ముడి
cruel	క్రూరమైన
cruelly	దంతాలు
cruelty	క్రూరత్వం
cruise	క్రూయిజ్
cruise ship	ప్రయానికుల ఓడ
cruiser	క్రూయిజర్
cruising	క్రూజింగ్
crumb	చిన్న ముక్క
crumble	కృంగిపోవడం
crumbling	నాసిరకం
crummy	crummy
crunch	క్రంచ్
crunchy	crunchy
crusade	క్రూసేడ్
crusader	క్రూసేడర్
crush	ప్రేమను
crushed	చూర్ణం
crusher	క్రషర్
crushing	అణిచివేయడం
crust	క్రస్ట్
crusty	కరకరలాడే
crutch	ఊతకర్ర
crux	ఆయువుపట్టు
cry	క్రై
crybaby	ఏడుపు గొట్టు
crying	ఏడుపు
crypt	గోరీ
cryptic	నిగూఢ
cryptography	గూఢ లిపి శాస్త్రం
crystal	క్రిస్టల్
crystalline	స్ఫటికాకార
crystallization	క్రిస్టలీకరణ
cub	పిల్ల
cubby	చిన్న గది
cube	క్యూబ్
cubic	క్యూబిక్
cubicle	క్యూబికల్
cuckold	cuckold
cuckoo	కోకిల
cucumber	దోసకాయ
cuddle	గట్టిగా కౌగిలించుకొనుట
cuddled	cuddled
cuddles	cuddles
cuddling	cuddling
cue	క్యూ
cuff	కఫ్
cuisine	వంటకాలు
culinary	పాక
cull	కల్
culminate	చివరి దశకు చేరుకుంటున్న
culmination	ఉన్నతస్థితి
culpability	అపరాధం
culpable	దోషపూరిత
culprit	అపరాధి
cult	కల్ట్
cultivate	పండించడం
cultivated	సాగు
cultivation	సాగు
cultural	సాంస్కృతిక
culture	సంస్కృతి
cultured	సంస్కారవంతంగా
culvert	కల్వర్టులు
cumbersome	గజిబిజిగా
cumulus	మేఘ శకలాలు
cunning	మోసపూరిత
cunt	కంట్
cup	కప్
cupboard	అల్మరా
cupcake	కప్ కేక్
cupping	గిన్నె వంటి గుంట అగుట
cur	ప్రస్తు
curable	ఉపశమనం పొందవచ్చు
curate	పూనుకున్నాడు
curative	నివారణ
curator	క్యూరేటర్
curb	కాలిబాటలు
curd	పెరుగుతో
cure	నివారణ
curfew	కర్ఫ్యూ
curiosity	ఉత్సుకత
curious	ఆసక్తికరమైన
curl	కర్ల్
curling	కర్లింగ్
currency	కరెన్సీ
current	ప్రస్తుత
curriculum	పాఠ్యాంశాలు
curry	కూర
curse	శాపం
cursed	నిందించారు
cursing	cursing
cursory	తొందరలో
curt	కర్ట్
curtail	తగ్గిస్తుంటే
curtailment	కుదించబడటం
curtain	పరదా
curtains	కర్టెన్లు
curtsy	ఆమోదం
curvature	వక్రత
curve	వక్రత
curved	వక్ర
curvilinear	కిందనుంచి
cushion	పరిపుష్టి
cushy	cushy
cusp	దంతాగ్రం
cuss	cuss
cussed	cussed
custard	కస్టర్డ్
custodial	నిర్భంధ
custodian	సంరక్షకుడు
custody	అదుపు
custom	కస్టమ్
customary	ఆచార
customer	కస్టమర్
customized	అనుకూలీకరించిన
cut	కట్
cutaneous	చర్మ సంబంధమైన
cute	అందమైన
cuticle	పైపొర
cutie	అందమైన పడుచుపిల్ల
cutlass	కట్లాస్
cutlery	కత్తులు
cutoff	కత్తిరించిన
cutter	కట్టర్
cutters	కట్టర్లు
cutthroat	కట్ త్రోట్
cutting	కట్టింగ్
cutting board	కటింగ్ బోర్డు
cuttings	కోత
cwt	CWT
cyanide	సైనైడ్
cyberspace	సైబర్స్పేస్
cycle	చక్రం
cyclical	చక్రీయ
cyclist	సైక్లిస్ట్
cyclone	తుఫాను
cylinder	సిలిండర్
cylindrical	స్థూపాకార
cymbal	కంచుతాళం
cynic	మనుష్యద్వేషి
cynical	విరక్త
cynicism	ద్వేషం
cyst	తిత్తి
cystic	సిస్టిక్
cytomegalovirus	సైటోమెగాలోవైరస్కి
cytoplasm	సైటోప్లాజమ్
czar	czar
dab	DAB
dabble	డిబిల్
dabbling	dabbling
dad	తండ్రి
daddy	నాన్న
dado	NO TRANSLATION
daemon	డెమోన్
daft	డఫ్ట్
dagger	బాకు
daily	రోజువారీ
dainty	అందంగా
daiquiri	daiquiri
dairy	పాల
daisy	డైసీ
dak	NO TRANSLATION
dale	డేల్
dam	ఆనకట్ట
damage	నష్టం
damaged	దెబ్బతిన్న
damages	నష్టపరిహారం
dame	డామే
damn	తిట్టు
damnation	దూషణలు
damned	హేయమైన
damp	తడిగా
dampened	dampened
damper	damper
damsel	సుందరి
dance	నృత్య
dancer	నర్తకి
dancing	డ్యాన్స్
dandruff	చుండ్రు
dandy	దండి
danger	ప్రమాదం
dangerous	ప్రమాదకరమైన
dangerously	ప్రమాదకరమైన
dangit	NO TRANSLATION
dangle	కట్టేవారు
dank	NO TRANSLATION
dapper	దుస్తులు ధరించుట
dare	ధైర్యం
daredevil	డేర్డెవిల్
daresay	విశ్వసించుటకు సిద్ధంగానుండు
