Word	fi
cowhide	lehmänvuota
cowl	huppu
coworker	työtoveri
coy	kaino
coyote	kojootti
cozy	kodikas
crab	rapu
crabby	äkäinen
crack	crack
cracked	säröillä
cracker	voileipäkeksi
crackerjack	crackerjack
cracking	halkeilua
crackle	ratista
crackpot	hullu
cradle	kehto
craft	alus
crafts	käsityöt
craftsman	käsityöläinen
craftsmanship	ammattitaito
crafty	ovela
craig	Craig
cram	ahtaa
crammed	täyteen ahdettu
cramp	kramppi
cramped	ahdas
cranberry	karpalo
cranberry juice	Karpalomehu
crane	nosturi
cranial	kallon-
cranium	kallo
crank	kampi
cranky	äkäinen
cranny	kolo
crap	paska
crappy	kehno
craps	noppapeli
crash	romahdus
crass	törkeä
crate	kori
crater	kraatteri
crave	haluta kovasti
craving	himo
crawfish	rapu
crawl	ryömiä
crayon	värikynä
crayons	väriliidut
craze	villitys
crazed	hullu
craziness	hulluutta
crazy	hullu
creak	narina
creaking	narisevien
cream	kerma
creamed	kermamuhennettua
creamer	kermakannu
creamy	kermainen
crease	prässi
create	luoda
creation	luominen
creative	luova
creativity	luovuus
creator	luoja
creature	olento
credence	usko
credential	tilitietojen
credentials	valtakirjojen
credibility	uskottavuus
credible	uskottava
credit	luotto
credit card	luottokortti
creditable	kiitettävä
credited	hyvitetään
crediting	hyvittämiseen
creditor	velkoja
creed	uskontunnustus
creek	puro
creep	hiipiä
creeper	köynnös
creeping	hiipivä
creepy	kammottava
cremation	tuhkaus
creole	kreoli
crepe	ohukainen
crescendo	crescendo
crescent	puolikuu
crest	harja
crestfallen	masentunut
cretin	ääliö
cretins	cretins
crevice	rako
crew	miehistö
crewman	miehistön jäsen
crib	seimi
cricket	kriketti
cried	itkenyt
crime	rikollisuus
criminal	rikollinen
criminality	rikollisuus
crimp	röyheltää
crimson	karmiininpunainen
cringe	kyyristyä
cripple	rampa
crippled	rujo
crippling	lamaannuttavan
crisis	kriisi
crisp	terävä
crispy	rapea
criterion	kriteeri
critic	kriitikko
critical	kriittinen
criticise	arvostella
criticism	kritiikki
criticize	arvostella
criticized	arvosteltu
critique	kritiikki
critter	veijari
croak	kurnuttaa
croc	croc
crock	autonromu
crockery	saviastiat
crocodile	krokotiili
croft	torppa
croissant	croissant
crook	roisto
crooked	kiero
crop	sato
croquet	kroketti
cross	ylittää
cross country	hiihtoalue
crossbow	varsijousi
crossed	ristissä
crossfire	ristituli
crossing	ylitys
crossover	crossover
crosswalk	suojatie
crossword	ristisanatehtävä
crotch	haara
crouch	kyhjöttää
crouched	kyyristyi
crouching	Hiipivä
croupier	krupieeri
crow	varis
crowbar	sorkkarauta
crowd	väkijoukko
crowded	tungosta
crowds	väkijoukkoja
crown	kruunu
crowning	kruunaus
crucial	ratkaiseva
cruciate	cruciate
crucifix	krusifiksi
crucifixion	ristiinnaulitseminen
crucify	ristiinnaulita
crud	lika
crude	raaka
cruel	julma
cruelly	julmasti
cruelty	julmuus
cruise	risteily
cruise ship	risteilijä
cruiser	risteilijä
cruising	cruising
crumb	murunen
crumble	muru
crumbling	murenemassa
crummy	kurja
crunch	räsähdys
crunchy	rapeita
crusade	ristiretki
crusader	crusader
crush	murskata
crushed	murskattu
crusher	murskain
crushing	murskaava
crust	kuori
crusty	kärttyisä
crutch	kainalosauva
crux	ydin
cry	itkeä
crybaby	itkupilli
crying	huutava
crypt	krypta
cryptic	arvoituksellinen
cryptography	kryptografia
crystal	kristalli
crystalline	kiteinen
crystallization	kiteytys
cub	poikanen
cubby	cubby
cube	kuutio
cubic	kuutio-
cubicle	koppi
cuckold	aisankannattaja
cuckoo	käki
cucumber	kurkku
cuddle	halaus
cuddled	cuddled
cuddles	halauksia
cuddling	halailemaan
cue	vihje
cuff	mansetti
cuisine	keittiö
culinary	kulinaarinen
cull	teurastaa
culminate	huipentua
culmination	huippukohta
culpability	syyllisyydestä
culpable	moitittava
culprit	syyllinen
cult	kultti
cultivate	viljellä
cultivated	viljellyt
cultivation	viljely
cultural	kulttuurinen
culture	kulttuuri
cultured	viljelty
culvert	holvirumpu
cumbersome	hankala
cumulus	kumpupilvi
cunning	ovela
cunt	kusipää
cup	kuppi
cupboard	kaappi
cupcake	kuppikakku
cupping	kuppaus
cur	rakki
curable	parannettavissa
curate	kappalainen
curative	parantava
curator	kuraattori
curb	hillitä
curd	rahka
cure	parantaa
curfew	ulkonaliikkumiskielto
curiosity	uteliaisuus
curious	utelias
curl	kiemura
curling	curling
currency	valuutta
current	nykyinen
curriculum	opetussuunnitelma
curry	curry
curse	kirous
cursed	kirottu
cursing	kiroilu
cursory	pintapuolinen
curt	tyly
curtail	supistaa
curtailment	supistaminen
curtain	verho
curtains	verhot
curtsy	niiaus
curvature	kaarevuus
curve	käyrä
curved	kaareva
curvilinear	kaarevia
cushion	tyyny
cushy	helppo
cusp	kärki
cuss	kirota
cussed	itsepäinen
custard	vaniljakastike
custodial	vapausrangaistuksen
custodian	hoitaja
custody	huolto
custom	asiakassuhde
customary	tavanomainen
customer	asiakas
customized	räätälöityjä
cut	leikata
cutaneous	ihon
cute	söpö
cuticle	orvaskesi
cutie	söpöliini
cutlass	miekka
cutlery	ruokailuvälineet
cutoff	katkaista
cutter	leikkuri
cutters	leikkurit
cutthroat	murhamies
cutting	leikkaus
cutting board	leikkuulauta
cuttings	pistokkaat
cwt	CWT
cyanide	syanidi
cyberspace	kyberavaruudessa
cycle	sykli
cyclical	syklinen
cyclist	pyöräilijä
cyclone	sykloni
cylinder	sylinteri
cylindrical	lieriömäinen
cymbal	symbaali
cynic	kyynikko
cynical	kyyninen
cynicism	kyynisyys
cyst	kysta
cystic	kystinen
cytomegalovirus	sytomegalovirus
cytoplasm	sytoplasma
czar	tsaari
dab	hietakampela
dabble	harrastella
dabbling	dabbling
dad	isä
daddy	isä
dado	NO TRANSLATION
daemon	demoni
daft	mieletön
dagger	tikari
daily	päivittäin
dainty	siro
daiquiri	Daiquiri
dairy	meijeri
daisy	päivänkakkara
dak	NO TRANSLATION
dale	laakso
dam	pato
damage	vahingoittaa
damaged	vaurioitunut
damages	vahingonkorvaus
dame	rouva
damn	kirottu
damnation	kadotus
damned	pahuksen
damp	kostea
dampened	vaimentanut
damper	vaimennin
damsel	neito
dance	tanssi
dancer	tanssija
dancing	tanssi
dandruff	hilse
dandy	keikari
danger	vaara
dangerous	vaarallinen
dangerously	vaarallisesti
dangit	NO TRANSLATION
dangle	repsottaa
dank	NO TRANSLATION
dapper	huoliteltu
dare	uskaltaa
daredevil	huimapäinen
daresay	daresay
daring	rohkea
dark	tumma
darken	tummentaa
darkened	pimennetyssä
darkly	darkly
darkness	pimeys
darkroom	pimeä huone
darkside	pimeä puoli
darling	Rakas
darn	parsia
dart	tikka
dash	kojelauta
dashboard	kojelauta
dashed	romutti
dashing	hurtti
dastardly	viheliäinen
data	data
database	tietokanta
date	Treffi
datenight	NO TRANSLATION
daughter	tytär
dawdle	vitkastella
dawn	valjeta
dawned	valkeni
day	päivä
daybreak	aamunkoite
daycare	päivähoito
daydream	unelmoida
daydreaming	haaveilmeinen
daylight	päivänvalo
daymade	NO TRANSLATION
dayoff	NO TRANSLATION
daytime	päivä-
daze	huumata
dazed	huumaantunut
dazzle	häikäistä
dazzling	häikäisevä
deacon	diakoni
deactivate	deaktivoida
dead	kuollut
deadbeat	dEADBEAT
deadline	takaraja
deadlines	määräajat
deadlock	umpikuja
deadly	tappava
deaf	kuuro
deafening	korviahuumaava
deafness	kuurous
deal	sopimus
dealer	jakaja
dealership	jälleenmyyntisopimuksen
dealing	tekemisissä
dealings	kanssakäyminen
dean	dekaani
dear	rakas
dearest	rakkain
dearth	niukkuus
death	kuolema
deathbed	kuolinvuode
deathly	kuoleman-
debacle	romahdus
debased	turmeltunut
debatable	kiistanalainen
debate	keskustelu
debauchery	irstailu
debenture	joukkovelkakirjalainan
debilitating	heikentävä
debit	veloittaa
debrief	pyytää raporttia
debriefing	jälkipuinti
debris	jätteet
debt	velka
debtor	velallinen
debut	debyytti
debutante	debytantti
decade	vuosikymmen
decadence	rappio
decadent	dekadentti
decaf	kofeiiniton kahvi
decanter	viinikarahvi
decathlon	kymmenottelu
decay	rappeutuminen
decayed	rappeutunut
decaying	rapistuvat
deceased	kuollut
decedent	menehtynyt
deceit	petos
deceitful	petollinen
deceive	pettää
deceived	petti
deceiving	pettää
december	joulukuu
decency	säädyllisyys
decent	kunnollinen
deception	petos
deceptive	petollinen
decide	päättää
decidedly	selvästi
deciduous	putoava
decimal	desimaalin
decimeter	desimetri
decipher	tulkita
decision	päätös
decisive	ratkaiseva
deck	kansi
declaration	ilmoitus
declaratory	toteava
declare	julistaa
declination	eranto
decline	aleneminen
declining	laskussa
deco	Deco
decode	tulkita
decoder	dekooderi
decompose	hajota
decomposed	hajoaa
decomposition	hajoaminen
decompress	purkaa
decompression	purku
decontamination	puhdistaminen
decor	sisustus
decorate	koristella
decorating	Sisustus
decoration	koriste
decorative	koriste-
decorator	sisustusarkkitehti
decorum	arvokkuus
decoy	syötti
decrease	pienentää
decreased	vähentynyt
decreasing	laskeva
decree	asetus
decrement	vähenemä
decrepit	raihnainen
decry	halventaa
decryption	salauksen
dedicate	omistaa
dedication	omistautuminen
deduce	päätellä
deduct	vähentää
deductible	vähennyskelpoinen
deduction	vähennys
deed	teko
deejay	tiskijukka
deem	katsomansa
deep	syvä
deepen	syventää
deer	Peura
defamation	kunnianloukkaus
defamatory	häpäisevä
default	oletusarvo
defeat	voittaa
defeated	voitti
defeatist	tappio-
defect	vika
defection	loikkaus
defective	viallinen
defector	loikkari
defend	puolustaa
defendant	vastaaja
defended	puolusti
defender	puolustaja
defending	puolustava
defense	puolustus
defenseless	puolustuskyvytön
defensible	puolustettavissa oleva
defensive	puolustava
defer	lykätä
deference	kunnioitus
deferral	lykkäys
deferring	lykkäämällä
defiance	uhma
defiant	uhmakas
defibrillator	defibrillaattori
deficiency	puute
deficient	puutteellinen
deficit	alijäämä
define	määritellä
defined	määritellyt
definite	selvä
definition	määritelmä
definitive	lopullinen
deflate	tyhjetä
deflation	deflaatio
deflect	kääntää
deflection	taipuminen
defloration	Defloraatio
deform	rumentaa
deformed	epämuodostunut
deformity	epämuodostuma
defraud	huijata
defray	vastata
defrost	sulaa
deft	näppärä
defunct	kuollut
defuse	purkaa
defy	uhmata
degeneracy	rappeutuminen
degenerate	degeneroitunut
degeneration	rappeutuminen
degradation	hajoaminen
degrade	hajota
degraded	huonontunut
degrading	halventava
degree	aste
dehydrated	vedetön
dehydration	nestehukka
dejected	masentunut
delay	viive
delayed	myöhässä
delectable	herkullinen
delegate	delegoida
delegation	valtuuskunta
delete	poistaa
deleterious	vahingollinen
deletion	poisto
deli	herkkukauppa
deliberate	tarkoituksellinen
deliberation	keskustelu
deliberative	neuvotteleva
delicacy	herkku
delicate	herkkä
delicatessen	herkkumyymälä
delicious	herkullinen
delight	ilahduttaa
delighted	iloinen
delightful	ihana
delineate	hahmotella
delineation	rajaaminen
delinquency	laiminlyönti
delinquent	rikollinen
delirious	haltioitunut
delirium	hourailu
deliver	toimittaa
deliverance	pelastus
delivery	toimitus
dell	notko
delta	delta
delude	houkutella
deluge	hukuttaa
delusion	harhaluulo
delusional	harhainen
deluxe	deluxe
delve	kaivaa
demand	kysyntä
demanding	vaativa
demeaned	demeaned
demeaning	alentava
demeanor	käytös
demented	tylsistynyt
dementia	dementia
demise	kuolema
demo	esittely
democracy	demokratia
democrat	demokraatti
democratic	demokraattinen
demographic	demografiset
demolish	purkaa
demolished	purettiin
demolition	purkaminen
demon	demoni
demonic	demoninen
demonstrable	todistettavissa
demonstrate	osoittaa
demonstrated	osoittivat
demonstrating	esittelyssä
demonstration	esittely
demonstrative	havainnollinen
demonstrator	mielenosoittaja
demoralized	masentuneet
demos	demoja
demure	kaino
den	NO TRANSLATION
deniability	kiistanalaisuuden
denial	kieltäminen
denied	evätty
denim	denimi
denomination	nimellisarvo
denominational	tunnustuksellinen
denominator	nimittäjä
denote	tarkoittaa
denounce	tuomita
dense	tiheä
density	tiheys
dent	lommo
dental	hammas-
dentist	hammaslääkäri
dentistry	hammaslääketiede
dentists	hammaslääkärit
denunciation	tuomitseminen
deny	kieltää
denying	kieltää
deodorant	deodorantti
depart	lähteä
departed	lähtenyt
department	osasto
departmental	osasto-
departure	lähtö
depend	riippua
dependable	luotettava
dependant	riippuvainen
dependence	riippuvuus
dependency	riippuvuus
dependent	riippuvainen
depict	kuvata
depicting	kuvaava
depletion	ehtyminen
deplorable	valitettava
deplore	valittaa
deploy	sijoittaa
deployment	käyttöönotto
deport	karkottaa
deportation	karkotus
depose	todistaa
deposit	tallettaa
depositary	Omaisuudenhoitajan
deposition	laskeuma
depository	säilytyspaikka
depot	varikko
depraved	turmeltunut
depravity	turmelus
depreciate	laskea
depreciated	poistot
depreciation	arvonalennus
depress	masentaa
depressed	masentunut
depressing	masentava
depression	masennus
depressive	depressiivinen
depresson	NO TRANSLATION
deprivation	riistäminen
deprive	riistää
deprived	riistää
depth	syvyys
deputy	sijainen
derail	suistua kiskoilta
deranged	häiriintynyt
derelict	ränsistynyt
derision	pilkka
derivation	johtaminen
derivative	johdannainen
derive	saada
dermal	ihon
dermatologist	ihotautilääkäri
dermatology	ihotautioppi
derogation	poikkeus
derogatory	halventava
descend	laskeutua
descendant	jälkeläinen
descendent	NO TRANSLATION
descending	aleneva
descent	laskeutuminen
describe	kuvata
description	kuvaus
descriptive	kuvaileva
desecrate	häpäistä
desecration	häpäiseminen
desert	aavikko
deserted	autio
deserter	karkuri
desertion	hylkääminen
deserve	ansaita
deserved	ansaittu
deserving	ansioitunut
design	design
designate	nimittää
designated	nimetty
designation	nimitys
designed	suunnitellut
designer	suunnittelija
designing	suunnittelu
desirability	toivottavaa
desirable	toivottava
desire	himoita
desiring	haluten
desirous	haluava
desist	pidättyä
desk	vastaanotto
desolate	autio
desolation	hävitys
despair	epätoivo
despairing	epätoivoinen
despatch	lähettäminen
desperado	desperado
desperate	epätoivoinen
desperation	epätoivo
despicable	halveksittava
despise	halveksia
despondent	masentunut
despotic	itsevaltainen
despotism	hirmuvalta
dessert	jälkiruoka
destination	määränpää
destined	tarkoitettu
destiny	kohtalo
destitute	rutiköyhä
destroy	tuhota
destroyed	tuhonnut
destroyer	hävittäjä
destroying	tuhoaa
destruct	destruct
destruction	tuho
destructive	tuhoisa
detach	irrottaa
detached	erillinen
detachment	irrallisuus
detail	yksityiskohta
detailed	yksityiskohtainen
details	yksityiskohdat
detain	pidättää
detainee	poliittinen vanki
detect	havaita
detectable	havaittavissa
detection	havaitseminen
detective	etsivä
detector	ilmaisin
detention	pidättäminen
deter	estää
detergent	pesuaine
deteriorate	heikentyä
deteriorated	heikkeni
deteriorating	heikkenevä
deterioration	heikkeneminen
determinable	määritettävissä
determinate	määrätty
determination	päättäväisyys
determine	määrittää
determined	määritetty
deterrent	varoittava
detest	inhota
detestation	inho jtk kohtaan
detonate	räjäyttää
detonation	räjähdys
detonator	nalli
detour	kiertotie
detract	vähennä
detriment	haitta
detrimental	haitallinen
detritus	sora
deuce	kakkonen
deutschmark	deutschmark
devalued	devalvoitiin
devastate	tuhota
devastated	tuhoutunut
devastating	tuhoisa
devastation	tuho
develop	kehittää
developer	kehittäjä
developing	kehittämällä
development	kehitys
deviant	poikkeava
deviate	poiketa
deviating	poikkeava
deviation	poikkeama
device	laite
devil	paholainen
deviled	deviled
devilish	pirullinen
devious	mutkitteleva
devise	suunnitella
devoid	vailla
devolution	hajautus
devolve	siirtää
devote	omistaa
devoted	omistautunut
devotee	uskovainen
devotion	kiintymys
devotional	hartaus-
devour	niellä
devout	harras
dew	kaste
dexter	Dexter
dexterity	kätevyys
dextrose	dekstroosi
diabetes	diabetes
diabetic	diabeetikko
diabolical	pirullinen
diagnose	diagnoosi
diagnosis	diagnoosi
diagnostic	diagnostinen
diagnostics	diagnostiikka
diagonal	diagonaalinen
diagram	kaavio
dial	valitsin
dialect	murre
dialectic	dialektiikka
dialogue	vuoropuhelu
dialysis	dialyysi
diameter	halkaisija
diamond	timantti-
diamonds	ruutu
diaper	vaippa
diaphragm	himmennin
diarrhea	ripuli
diarrhoea	ripuli
diary	päiväkirja
diatribe	kiivas hyökkäys
dib	NO TRANSLATION
dibs	dibs
dice	noppa
dicey	riskialtis
dichotomous	dikotominen
dichotomy	kahtiajako
dick	kalu
dickhead	kusipää
dicks	Dicks
dictate	sanella
dictation	sanelu
dictator	diktaattori
dictatorial	diktatorinen
dictatorship	diktatuuri
diction	tyyli
dictionary	sanakirja
dictum	NO TRANSLATION
didactic	didaktinen
diddle	jallittaa
die	NO TRANSLATION
died	kuollut
diesel	diesel
diet	ruokavalio
dietary	ruokavalio-
differ	erota
difference	ero
differences	erot
different	eri
differential	ero
differentiation	erilaistuminen
differently	eri tavalla
differing	erilaiset
difficult	vaikea
difficulties	vaikeudet
difficulty	vaikeus
diffuse	hajanainen
diffusion	diffuusio
dig	NO TRANSLATION
digest	sulattaa
digestion	ruoansulatus
digestive	ruoansulatus-
digit	numero
digital	digitaalinen
dignified	arvokas
dignify	kunnioittaa
dignity	arvokkuus
digress	eksyä
digs	NO TRANSLATION
dike	oja
dilapidated	rappeutunut
dilatation	dilatation
dilation	laajeneminen
dildo	dildo
dilemma	dilemma
diligence	ahkeruus
diligent	ahkera
dill	tilli
diluent	ohenne
dilute	laimentaa
diluted	laimennettu
dilution	laimennus
dim	himmeä
dime	sentin kolikko
dimension	ulottuvuus
dimensional	ulotteinen
diminish	vähentää
diminished	vähentynyt
diminution	väheneminen
diminutive	pikkuriikkinen
dimwit	ääliö
din	NO TRANSLATION
dine	ruokailla
diner	ruokailija
dinghy	jolla
dingo	dingo
dingy	likainen
dining	ruokailu
dinky	sievä
dinner	päivällinen
dinnertime	päivällisaika
dinosaur	dinosaurus
dint	jälki
diocesan	hiippakunnan
diocese	hiippakunta
diorama	diorama
dioxide	dioksidi
dip	sukeltaa
diploma	tutkintotodistus
diplomacy	diplomatia
diplomat	diplomaatti
diplomatic	diplomaattinen
dipper	kauha
dippy	dippy
dipstick	mittatikku
dire	NO TRANSLATION
direct	suoraan
directed	suunnattu
direction	suunta
directive	direktiivi
directly	suoraan
director	johtaja
directory	hakemisto
dirt	lika
dirty	likainen
disability	vammaisuus
disable	Poista käytöstä
disabled	liikuntarajoitteinen
disadvantage	haitta
disaffected	tyytymätön
disagree	olla eri mieltä
disagreeable	vastenmielinen
disagreeing	erimielisyys
disagreement	erimielisyys
disallow	evätä
disallowed	sovitella
disapointment	NO TRANSLATION
disappear	kadota
disappearance	katoaminen
disappearing	katoamassa
disappoint	petä
disappointed	pettynyt
disappointing	ikävä
disappointment	pettymys
disapproval	paheksunta
disapprove	hylkää
disapproved	hylätty
disapproving	tuomitseva
disarm	riisua aseista
disarray	epäjärjestys
disaster	katastrofi
disastrous	tuhoisa
disband	lakkauttaa
disbelief	epäusko
disbelieve	uskomatta
disburse	maksaa
disbursement	maksaminen
disc	levy
discard	hylätä
discarded	hävittää
discards	poisheitetyt
discern	erottaa
discernible	havaittava
discerning	arvostelukykyinen
discernment	arvostelukyky
discharge	purkaa
disciple	opetuslapsi
disciplinary	kurinpidollinen
discipline	kuri
disciplined	kurinalainen
disclaim	kiistää
disclaimer	Vastuuvapauslauseke
disclose	paljastaa
disclosed	julkaisussa
disclosure	julkistaminen
disco	disko
discoloration	värjäytyminen
discolored	värjäytyneet
discomfort	vaiva
disconcerted	hämmentynyt
disconcerting	hämmentävä
disconnect	katkaista
disconnected	irrotettu
disconnection	katkaisu
disconnects	katkaisee
discontent	tyytymättömyys
discontinuance	lopettamisesta
discontinue	lopettaa
discontinuity	katkonaisuus
discontinuous	katkonainen
discord	eripuraisuus
discount	alennus
discounted	diskontattu
discourage	lannistaa
discouraged	lannistunut
discouragement	pelotuskeino
discouraging	masentava
discourse	esitelmä
discover	löytää
discovery	löytö
discredit	häpäistä
discredited	huonoon
discreet	NO TRANSLATION
discrepancy	ristiriita
discrete	erillinen
discretion	harkinnan
discretionary	harkinnanvarainen
discriminate	syrjiä
discriminating	erottava
discrimination	syrjintä
discus	kiekko
discuss	keskustella
discussion	keskustelu
disdain	ylenkatse
disdainful	halveksiva
disease	tauti
diseased	sairas
disembodied	aineeton
disengage	irrottaa
disengagement	vetäytymisen
disfigured	häirinneet
disgrace	häpeä
disgraced	nolottaa
disgraceful	häpeällinen
disgruntled	tyytymätön
disguise	peittää
disguised	naamioitu
disgust	inho
disgusted	tympääntynyt
disgusting	ällöttävä
dish	ruokalaji
disheartened	lannistua
disheartening	masentavaa
dishonest	epärehellinen
dishonesty	epärehellisyys
dishonor	häpäistä
dishonorable	kunniaton
dishwasher	astianpesukone
disillusionment	pettymys
disinclination	haluttomuus
disincline	viedä halu jhk
disinclined	haluton
disinfect	desinfioida
disinfectant	desinfiointiaine
disinfection	desinfiointi
disinformation	harhaanjohtavat tiedot
disingenuous	vilpillinen
disintegrate	hajota
disintegration	hajoaminen
disinterested	välinpitämätön
disjoint	hajottaa osiinsa
disjointed	katkonainen
disjunctive	disjunktiivinen
disk	levy
diskette	levyke
dislike	vastenmielisyys
disliked	inhosi
disliking	vastenmielisyyden
dislocated	sijoiltaan
dislocation	sijoiltaanmeno
dislodge	irrottaa
disloyal	uskoton
disloyalty	epälojaalisuus
dismal	synkkä
dismantle	purkaa
dismay	tyrmistys
dismayed	tyrmistynyt
dismemberment	silpominen
dismiss	erottaa
dismissal	hylkääminen
dismissive	vähättelevä
dismount	jalkautua
disobedience	tottelemattomuus
disobedient	tottelematon
disobey	rikkoa
disorder	häiriö
disordered	huonokuntoinen
disorderly	sekainen
disorganized	sekava
disorientation	sekavuus
disoriented	eksyksissä
disown	olla tunnustamatta
disparage	väheksyä
disparaging	väheksyvä
disparate	erilainen
disparity	erilaisuus
dispassionate	kiihkoton
dispatch	lähettää
dispatcher	lähettäjä
dispel	hälventää
dispensary	apteekki
dispensation	erivapaus
dispense	jakaa
dispenser	automaatti
dispersal	hajaantuminen
disperse	hajottaa
dispersed	dispergoituneena
dispersion	hajonta
dispirited	masentunut
displace	syrjäyttää
displaced	joutuneiden
displacement	siirtymä
displacency	displacency
display	näyttö
displease	suututtaa
displeased	ärsyyntynyt
displeasure	mielipaha
disposable	kertakäyttöinen
disposal	hävittäminen
dispose	määrätä
disposed	sijoitettu
disposition	luonteenlaatu
dispossessed	koditon
disprove	kumota
dispute	riita
disqualification	esteellisyys
disqualified	esteellinen
disqualify	diskata
disquieted	häirinnyt
disregard	piittaamattomuus
disregarded	huomiotta
disrelish	disrelish
disreputable	huonomaineinen
disrepute	huono maine
disrespect	epäkunnioitus
disrespectful	epäkunnioittava
disrupt	häiritä
disrupting	häiritseviä
disruption	häiriö
disruptive	häiritsevä
dissatisfaction	tyytymättömyys
dissatisfied	tyytymätön
dissect	leikellä
dissection	leikkely
disseminate	levittää
dissemination	levitys
dissension	eripuraisuus
dissent	erimielisyys
dissenting	eriävä
dissertation	väitöskirja
disservice	karhunpalvelus
dissident	toisinajattelija
dissimilar	erilainen
dissipate	haihduttaa
dissipated	huikenteleva
dissociation	dissosiaatio
dissociative	dissosiaatiohäiriöt
dissolution	liukeneminen
dissolve	liueta
dissonance	eripuraisuus
dissuade	varoittaa
distal	distaalinen
distance	etäisyys
distant	kaukainen
distaste	vastenmielisyys
distasteful	vastenmielinen
distillate	tisle
distillation	tislaus
distilled	tislattu
distinct	selvä
distinction	ero
distinctive	selvästi erottuva
distinguish	erottaa
distinguishable	erottuva
distinguished	hienostunut
distinguishing	erottava
distort	vääristää
distorted	vääristynyt
distortion	vääristymä
distract	häiritä
distracted	suunniltaan
distracting	häiritsevää
distraction	häiriötekijä
distraught	suunniltaan
distress	hätä
distressed	levoton
distressing	ahdistava
distribute	jakaa
distribution	jakelu
distributor	jakelija
district	piiri
distrust	epäluottamus
disturb	häiritä
disturbance	häiriö
disturbed	häiriintynyt
disturbing	järkyttävä
disuse	käyttömättömyys
disused	poistettujen
ditch	oja
ditto	sama
ditty	laulelma
diurnal	päivittäinen
diva	diiva
divan	NO TRANSLATION
dive	sukeltaa
diver	sukeltaja
diverge	erota
divergence	eroavuus
divergent	eriävä
diverging	eriäviä
divers	erilaiset
diverse	monipuolinen
diversified	monipuolinen
diversify	monipuolistaa
diversion	harhautus
diversionary	harhauttavat
diversity	monimuotoisuus
divert	suunnata
diverting	toisaalle
divest	riistää
divested	myydyt
divestment	luopuminen
divide	jakaa
divided	jaettu
dividend	osinko
divination	ennustaminen
divine	jumalallinen
divinity	jumaluus
divisible	jaollinen
division	jako
divisor	jakaja
divorce	avioero
divorcee	eronnut nainen
divulge	paljastaa
divvy	osinko
dizziness	huimaus
dizzy	pyörryksissä
do	tehdä
doable	toteutettavissa
doc	doc
docile	säyseä
dock	telakka
docked	typistetty
docket	etiketti
docking	telakointi
doctor	lääkäri
doctorate	tohtorinarvo
doctrinal	opillinen
doctrine	oppi
document	asiakirja
documentary	dokumenttielokuva
documentation	dokumentointi
documents	asiakirjat
dodge	väistää
dodger	pinnari
dodging	väistelee
dodgy	ovela
dodo	tee Tee
doe	naarasjänis
doer	tekijä
dog	koira
dogface	koira naama
dogged	sitkeä
doggy	koira
doghouse	koirankoppi
dogma	dogmi
dogmatic	dogmaattinen
dogsick	NO TRANSLATION
doings	puuhat
doit	NO TRANSLATION
dojo	dojo
doldrums	lamakausi
dole	työttömyyskorvaus
doll	nukke
dollar	dollari
dollhouse	nukkekoti
dolor	NO TRANSLATION
dolphin	delfiini
domain	verkkotunnuksen
dome	kupoli
domestic	kotimainen
domesticated	kotieläimenä
domestication	kesyttäminen
domicile	kotipaikka
domiciled	vakinaisesti asuva
dominance	valta-asema
dominant	hallitseva
dominate	hallita
dominating	hallitseva
domination	ylivalta
dominatrix	dominatrix
dominion	valta
domino	domino
don	Don
donate	lahjoittaa
donation	lahjoitus
donkey	aasi
donor	luovuttaja
dontlikeyou	NO TRANSLATION
dontmess	NO TRANSLATION
dontmesswithme	dontmesswithme
dontpanic	dontpanic
dontunderstand	NO TRANSLATION
doodle	piirrellä
doom	tuho
doomed	tuhoon tuomittu
doomsday	tuomiopäivä
door	ovi
doorbell	ovikello
doorknob	ovennuppi
doorman	ovenvartija
doormat	kynnysmatto
doornail	doornail
doorstep	kynnyksellä
doorway	oviaukko
dopamine	dopamiini
dope	pölvästi
dopey	typerä
dork	idiootti
dorky	dorky
dorm	ylioppilasasuntola
dormant	uinuva
dormitory	makuusali
dorsal	selkä-
dosage	annostus
dose	annos
dossier	asiakirjat
dot	piste
doting	palvova
dotted	pilkullinen
dotty	hassu
double	kaksinkertainen
doubled	kaksinkertaistunut
doublet	dubletti
doubling	kaksinkertaistaa
doubt	epäillä
doubtful	kyseenalainen
doubting	epäilemättä
doubtless	epäilemättä
doubts	epäilyksiä
douche	suihku
douchebags	douchebags
dough	taikina
doughboy	Doughboy
doughnut	donitsi
dour	juro
douse	valella
dove	kyyhkynen
down	alas
downcast	alakuloinen
downer	masentava juttu
downfall	kaatuminen
downfield	downfield
downhearted	masentunut
downhill	alamäkeä
download	ladata
downpour	kaatosade
downright	suorastaan
downriver	alajuoksulla
downside	alapuoli
downtime	seisokkeja
downward	alaspäin
downy	untuvainen
dowry	myötäjäiset
doze	torkkua
dozen	tusina
drab	ikävä
draft	luonnos
drafty	vetoinen
drag	raahata
dragon	lohikäärme
dragonfly	sudenkorento
drain	valua
drainage	salaojitus
drained	valutettu
draining	tyhjennys
drainpipe	viemäriputki
drake	urossorsa
drama	draama
dramaqueen	NO TRANSLATION
dramatic	dramaattinen
drape	levittää
drapery	kangas
drastic	jyrkkä
drat	NO TRANSLATION
draught	luonnos
draw	piirtää
drawback	haitta
drawbridge	laskusilta
drawer	laatikko
drawers	laatikot
