Word	is
defamation	ærumeiðandi
defamatory	ærumeiðandi
default	sjálfgefið
defeat	ósigur
defeated	ósigur
defeatist	defeatist
defect	galla
defection	defection
defective	gallaður
defector	defector
defend	verja
defendant	stefndi
defended	varið
defender	varnarmaður
defending	verja
defense	vörn
defenseless	varnarlaust
defensible	varnarlaus
defensive	í vörn
defer	fresta
deference	ágreiningur
deferral	frestun
deferring	fresta
defiance	defiance
defiant	þreytandi
defibrillator	defibrillator
deficiency	skortur
deficient	skortur
deficit	halli
define	define
defined	skilgreint
definite	ákveðin
definition	skilgreining
definitive	endanlegt
deflate	deflate
deflation	verðhjöðnun
deflect	sveigja
deflection	sveigjanleiki
defloration	defloration
deform	afmynda
deformed	vansköpuð
deformity	aflögun
defraud	svíkja
defray	defray
defrost	afrennsli
deft	deft
defunct	niðurstaðan
defuse	defuse
defy	defy
degeneracy	degeneracy
degenerate	degenerate
degeneration	hrörnun
degradation	niðurbrot
degrade	niðurbrot
degraded	niðurbrotið
degrading	niðurlægjandi
degree	gráðu
dehydrated	þurrkaðir
dehydration	þurrkun
dejected	dejected
delay	tefja
delayed	seinkað
delectable	yndisleg
delegate	framselja
delegation	sendinefnd
delete	eyða
deleterious	skaðleg
deletion	eyðingu
deli	deli
deliberate	vísvitandi
deliberation	umfjöllun
deliberative	vísvitandi
delicacy	delicacy
delicate	viðkvæmt
delicatessen	delikatesser
delicious	ljúffengur
delight	gleði
delighted	ánægð
delightful	yndisleg
delineate	afmarka
delineation	afmörkun
delinquency	afbrot
delinquent	slæmt
delirious	delirious
delirium	óráð
deliver	afhenda
deliverance	frelsun
delivery	afhendingu
dell	dell
delta	delta
delude	svik
deluge	vellíðan
delusion	blekking
delusional	villuleit
deluxe	lúxus
delve	kafa
demand	eftirspurn
demanding	krefjandi
demeaned	dregið úr
demeaning	niðurlægjandi
demeanor	hegðun
demented	demented
dementia	vitglöp
demise	niðurfall
demo	kynningu
democracy	lýðræði
democrat	lýðræðisríki
democratic	lýðræðislegt
demographic	lýðfræðilegt
demolish	rífa niður
demolished	rifin
demolition	niðurrif
demon	illi andinn
demonic	demonic
demonstrable	sýnilegur
demonstrate	sýna fram á
demonstrated	sýnt fram á
demonstrating	sýna
demonstration	sýning
demonstrative	sýnilegur
demonstrator	sýningarstjóri
demoralized	demoralized
demos	kynningar
demure	hrifningu
den	NO TRANSLATION
deniability	deniability
denial	afneitun
denied	neitað
denim	denim
denomination	nafnorð
denominational	þjóðarbrota
denominator	nefnari
denote	gefa til kynna
denounce	segja upp
dense	þétt
density	þéttleiki
dent	dent
dental	tannlæknaþjónustu
dentist	tannlæknir
dentistry	tannlækningar
dentists	tannlæknar
denunciation	uppsögn
deny	neita
denying	neita
deodorant	deodorant
depart	fara
departed	fór
department	deild
departmental	deildarskrifstofa
departure	brottför
depend	fer eftir
dependable	áreiðanlegur
dependant	háð
dependence	ósjálfstæði
dependency	ósjálfstæði
dependent	háð
depict	lýsa
depicting	lýsa
depletion	niðurbrot
deplorable	þakklátur
deplore	deplore
deploy	dreifa
deployment	dreifing
deport	brottvísun
deportation	brottvísun
depose	afhenda
deposit	innborgun
depositary	vörsluaðili
deposition	afhendingu
depository	vörsluaðili
depot	afhendingu
depraved	depraved
depravity	depravity
depreciate	lækka
depreciated	afskrifuð
depreciation	gengislækkun
depress	þunglyndi
depressed	þunglyndi
depressing	niðurdrepandi
depression	þunglyndi
depressive	þunglyndislyf
depresson	NO TRANSLATION
deprivation	sviptingu
deprive	svipta
deprived	svipt
depth	dýpt
deputy	staðgengill
derail	derail
deranged	afvegaleiddur
derelict	vanelict
derision	hindrun
derivation	afleiðing
derivative	afleiður
derive	öðlast
dermal	húð
dermatologist	húðsjúkdómafræðingur
dermatology	húðsjúkdómafræði
derogation	undanþága
derogatory	derogatory
descend	fara niður
descendant	afkomandi
descendent	NO TRANSLATION
descending	lækkandi
descent	uppruna
describe	lýsa
description	lýsing
descriptive	lýsandi
desecrate	afneita
desecration	afskriftir
desert	eyðimörk
deserted	yfirgefin
deserter	deserter
desertion	desertion
deserve	verðskulda
deserved	skilið
deserving	verðskulda
design	hönnun
designate	tilnefna
designated	tilnefndur
designation	tilnefningu
designed	hönnuð
designer	hönnuður
designing	hanna
desirability	æskilegt
desirable	æskilegt
desire	löngun
desiring	löngun
desirous	óskað
desist	óska
desk	skrifborð
desolate	auðn
desolation	auðn
despair	örvæntingu
despairing	örvænting
despatch	sendingu
desperado	desperado
desperate	örvæntingarfullur
desperation	örvæntingu
despicable	fyrirlitlegur
despise	fyrirlíta
despondent	despondent
despotic	despotic
despotism	despotism
dessert	eftirrétt
destination	áfangastaður
destined	víst
destiny	örlög
destitute	óþægilegur
destroy	eyðileggja
destroyed	eytt
destroyer	Destroyer
destroying	eyðileggja
destruct	eyðileggja
destruction	eyðileggingu
destructive	eyðileggjandi
detach	losna
detached	aðskilinn
detachment	losun
detail	smáatriði
detailed	nákvæmar
details	upplýsingar
detain	haldi
detainee	fangi
detect	uppgötva
detectable	greinanleg
detection	uppgötvun
detective	einkaspæjara
detector	skynjari
detention	Eftirseta
deter	hindra
detergent	þvottaefni
deteriorate	versna
deteriorated	versnað
deteriorating	versna
deterioration	versnun
determinable	ákvarðanatöku
determinate	ákvarða
determination	ákvörðun
determine	ákveða
determined	ákvörðuð
deterrent	fyrirbyggjandi
detest	afneita
detestation	afneitun
detonate	detonate
detonation	detonation
detonator	detonator
detour	umferð
detract	draga úr
detriment	skaða
detrimental	skaðleg
detritus	detritus
deuce	deuce
deutschmark	deutschmark
devalued	gengislækkað
devastate	hrikalegt
devastated	eyðilagt
devastating	hrikalegt
devastation	eyðilegging
develop	þróa
developer	verktaki
developing	þróa
development	þróun
deviant	afbrigði
deviate	víkja frá
deviating	frávikandi
deviation	frávik
device	tæki
devil	djöfullinn
deviled	deviled
devilish	djöfulleg
devious	devious
devise	hugsa
devoid	gjörsamlega
devolution	devolution
devolve	devolve
devote	verja
devoted	hollur
devotee	devotee
devotion	hollustu
devotional	devotional
devour	eyða
devout	hollur
dew	dögg
dexter	dexter
dexterity	handlagni
dextrose	dextrósi
diabetes	sykursýki
diabetic	sykursýki
diabolical	djöfulleg
diagnose	greina
diagnosis	greining
diagnostic	greiningu
diagnostics	greiningartækni
diagonal	ská
diagram	skýringarmynd
dial	hringja
dialect	mállýska
dialectic	dialectic
dialogue	viðræður
dialysis	blóðskilun
diameter	þvermál
diamond	demantur
diamonds	demöntum
diaper	bleiu
diaphragm	þind
diarrhea	niðurgangur
diarrhoea	niðurgangur
diary	dagbók
diatribe	skýringarmynd
dib	NO TRANSLATION
dibs	dibs
dice	teningar
dicey	dicey
dichotomous	dígómatísk
dichotomy	þéttleiki
dick	Dick
dickhead	Dickhead
dicks	dicks
dictate	fyrirmæli
dictation	dictation
dictator	einræðisherra
dictatorial	einræðisherra
dictatorship	einræði
diction	orðabækur
dictionary	orðabók
dictum	NO TRANSLATION
didactic	didactic
diddle	diddle
die	NO TRANSLATION
died	dó
diesel	dísel
diet	mataræði
dietary	mataræði
differ	mismunandi
difference	munur
differences	munur
different	öðruvísi
differential	mismunur
differentiation	aðgreining
differently	á annan hátt
differing	mismunandi
difficult	erfitt
difficulties	erfiðleikar
difficulty	erfiðleikar
diffuse	dreifður
diffusion	dreifingu
dig	NO TRANSLATION
digest	melta
digestion	melting
digestive	meltingarfæri
digit	stafa
digital	stafrænn
dignified	dignified
dignify	dignify
dignity	reisn
digress	sundrast
digs	NO TRANSLATION
dike	dike
dilapidated	fallið niður
dilatation	þenslu
dilation	útvíkkun
dildo	dildó
dilemma	vandamál
diligence	kostgæfni
diligent	duglegir
dill	dill
diluent	þynningarefni
dilute	þynnt
diluted	þynnt
dilution	þynning
dim	dimma
dime	dime
dimension	vídd
dimensional	víddar
diminish	minnka
diminished	minnkað
diminution	minnkun
diminutive	minnkandi
dimwit	dimwit
din	NO TRANSLATION
dine	borða
diner	kvöldverður
dinghy	dinghy
dingo	dingo
dingy	dingy
dining	borðstofa
dinky	dinky
dinner	kvöldmatur
dinnertime	kvöldmatartími
dinosaur	risaeðla
dint	dint
diocesan	biskupsdæmi
diocese	biskupsdæmi
diorama	diorama
dioxide	díoxíð
dip	dýfa
diploma	prófskírteini
diplomacy	diplómacy
diplomat	diplómatar
diplomatic	diplómatískum
dipper	dipper
dippy	dippy
dipstick	peilstrik
dire	NO TRANSLATION
direct	bein
directed	beint
direction	átt
directive	tilskipun
directly	Beint
director	leikstjóri
directory	Skrá
dirt	óhreinindi
dirty	óhreint
disability	fötlun
disable	slökkva
disabled	óvirk
disadvantage	ókostur
disaffected	óæskilegur
disagree	ósammála
disagreeable	ósammála
disagreeing	ósammála
disagreement	ósammála
disallow	hafna
disallowed	óheimilt
disapointment	NO TRANSLATION
disappear	hverfa
disappearance	hvarf
disappearing	hverfa
disappoint	vonbrigði
disappointed	vonsvikinn
disappointing	vonbrigðum
disappointment	vonbrigði
disapproval	ósannindi
disapprove	hafna
disapproved	hafnað
disapproving	afneita
disarm	afvopna
disarray	disarray
disaster	hörmung
disastrous	hörmulegur
disband	upplausn
disbelief	vantrú
disbelieve	disbelieve
disburse	greiða
disbursement	útborgun
disc	diskur
discard	fleygja
discarded	fleygt
discards	fleygja
discern	greina
discernible	merkjanleg
discerning	krefjandi
discernment	skilningur
discharge	útskrift
disciple	lærisveinninn
disciplinary	aga
discipline	aga
disciplined	aga
disclaim	afneita
disclaimer	fyrirvari
disclose	birta
disclosed	birtar
disclosure	upplýsingagjöf
disco	diskó
discoloration	aflitun
discolored	mislitað
discomfort	óþægindi
disconcerted	óánægður
disconcerting	óþægilegt
disconnect	aftengja
disconnected	ótengdur
disconnection	aftengingu
disconnects	aftengir
discontent	óánægju
discontinuance	hætt
discontinue	hætta
discontinuity	afbrot
discontinuous	stöðugt
discord	discord
discount	afsláttur
discounted	afsláttur
discourage	draga úr
discouraged	hugfallast
discouragement	þrælahald
discouraging	draga úr
discourse	umræðu
discover	uppgötva
discovery	uppgötvun
discredit	discredit
discredited	óskað
discreet	NO TRANSLATION
discrepancy	misræmi
discrete	stakur
discretion	ákvörðun
discretionary	valmöguleiki
discriminate	mismuna
discriminating	mismunandi
discrimination	mismunun
discus	diskur
discuss	ræða
discussion	umræðu
disdain	fyrirlitning
disdainful	disdainful
disease	sjúkdómur
diseased	sýktur
disembodied	disembodied
disengage	aftengja
disengagement	disengagement
disfigured	disfigured
disgrace	skömm
disgraced	disgraced
disgraceful	skammarlegt
disgruntled	óánægður
disguise	dylja
disguised	dulbúnir
disgust	disgust
disgusted	disgusted
disgusting	ógeðslegt
dish	fat
disheartened	disheartened
disheartening	niðurlægingu
dishonest	óheiðarlegur
dishonesty	óheiðarleiki
dishonor	svívirðing
dishonorable	óheiðarlegur
dishwasher	Uppþvottavél
disillusionment	disillusionment
disinclination	frávik
disincline	disincline
disinclined	disinclined
disinfect	sótthreinsa
disinfectant	sótthreinsiefni
disinfection	sótthreinsun
disinformation	disinformation
disingenuous	disingenuous
disintegrate	sundrast
disintegration	sundurliðun
disinterested	disinterested
disjoint	ósammála
disjointed	ósamþykkt
disjunctive	disjunctive
disk	diskur
diskette	disklingur
dislike	mislíkar
disliked	mislíkaði það
disliking	mislíkar
dislocated	dislocated
dislocation	dislocation
dislodge	dislodge
disloyal	disloyal
disloyalty	vanþóknun
dismal	dapurlegt
dismantle	taka í sundur
dismay	ótti
dismayed	óttast
dismemberment	dismemberment
dismiss	hafna
dismissal	uppsögn
dismissive	afneitun
dismount	dismount
disobedience	óhlýðni
disobedient	óhlýðnir
disobey	óhlýðnast
disorder	röskun
disordered	disordered
disorderly	disorderly
disorganized	disorganized
disorientation	desorientation
disoriented	disoriented
disown	afneita
disparage	disparage
disparaging	minnkandi
disparate	ólík
disparity	misræmi
dispassionate	dispassionate
dispatch	sendingu
dispatcher	sendanda
dispel	eyða
dispensary	dispensary
dispensation	undanþágu
dispense	afgreiða
dispenser	skammtari
dispersal	dreifingu
disperse	dreifa
dispersed	dreifður
dispersion	dreifingu
dispirited	útrýmt
displace	þola
displaced	fluttur
displacement	tilfærsla
displacency	displacency
display	sýna
displease	óánægja
displeased	óánægður
displeasure	óánægju
disposable	einnota
disposal	förgun
dispose	farga
disposed	ráðstafað
disposition	ráðstöfun
dispossessed	ráðstafað
disprove	afsanna
dispute	ágreiningur
disqualification	vanhæfi
disqualified	vanhæfur
disqualify	vanhæfa
disquieted	óttast
disregard	misskilja
disregarded	hafnað
disrelish	disrelish
disreputable	óviðunandi
disrepute	disrepute
disrespect	vanvirðing
disrespectful	disrespectful
disrupt	trufla
disrupting	trufla
disruption	röskun
disruptive	truflandi
dissatisfaction	óánægju
dissatisfied	óánægður
dissect	dissect
dissection	dissection
disseminate	miðla
dissemination	miðlun
dissension	upplausn
dissent	misræmi
dissenting	misræmi
dissertation	ritgerð
disservice	disservice
dissident	dissident
dissimilar	ólík
dissipate	þola
dissipated	sleppt
dissociation	dissociation
dissociative	dissociative
dissolution	upplausn
dissolve	leysa upp
dissonance	dissonance
dissuade	afnema
distal	distal
distance	fjarlægð
distant	fjarlægur
distaste	afvegaleiða
distasteful	afvegaleiða
distillate	eimi
distillation	eimingu
distilled	eimað
distinct	greinilegur
distinction	greinarmunur
distinctive	einkennandi
distinguish	greina
distinguishable	aðgreindar
distinguished	frægur
distinguishing	greina
distort	raskast
distorted	brenglast
distortion	röskun
distract	afvegaleiða
distracted	afvegaleiddur
distracting	truflandi
distraction	truflun
distraught	distraught
distress	neyð
distressed	í uppnámi
distressing	kvíða
distribute	dreifa
distribution	dreifing
distributor	dreifingaraðili
district	Umdæmi
distrust	vantraust
disturb	trufla
disturbance	truflun
disturbed	truflaður
disturbing	trufla
disuse	ógild
disused	ónotuð
ditch	skurður
ditto	ditto
ditty	ditty
diurnal	daginn
diva	Diva
divan	NO TRANSLATION
dive	dífa
diver	kafari
diverge	diverge
divergence	frávik
divergent	mismunandi
diverging	frávikandi
divers	kafara
diverse	fjölbreytt
diversified	fjölbreytt
diversify	fjölbreytni
diversion	afleiðing
diversionary	diversionary
diversity	fjölbreytni
divert	flytja
diverting	flutningur
divest	selja
divested	afsalað
divestment	afsal
divide	skipta
divided	skipt
dividend	arður
divination	spádómar
divine	guðdómlega
divinity	guðdómleika
divisible	deilanleg
division	deild
divisor	skiptastjóra
divorce	skilnaður
divorcee	skilnaður
divulge	segja frá
divvy	divvy
dizziness	sundl
dizzy	sundl
do	gera
doable	gerlegt
doc	doc
docile	docile
dock	bryggju
docked	bryggju
docket	tengikví
docking	bryggju
doctor	læknir
doctorate	doktorsnámi
doctrinal	kenningarleg
doctrine	kenning
document	skjal
documentary	heimildarmynd
documentation	skjöl
documents	skjöl
dodge	forðast
dodger	dodger
dodging	dodging
dodgy	dodgy
dodo	dodo
doe	doe
doer	doer
dog	hundur
dogface	dogface
dogged	dogged
doggy	hvutti
doghouse	doghouse
dogma	dogma
dogmatic	dogmatic
dogsick	NO TRANSLATION
doings	gerðir
doit	NO TRANSLATION
dojo	Dojo
doldrums	doldrums
dole	dole
doll	dúkka
dollar	dollara
dollhouse	dúkkuna
dolor	NO TRANSLATION
dolphin	höfrungur
domain	lén
dome	hvelfing
domestic	innanlands
domesticated	húsvanur
domestication	domestication
domicile	heimili
domiciled	lögheimili
dominance	yfirráð
dominant	ríkjandi
dominate	ráða yfir
dominating	ríkjandi
domination	yfirráð
dominatrix	dominatrix
dominion	ríki
domino	Domino
don	Don
donate	gefa
donation	framlag
donkey	asna
donor	gjafa
dontlikeyou	NO TRANSLATION
dontmess	NO TRANSLATION
dontmesswithme	dontmesswithme
dontpanic	ekki spænsku
dontunderstand	NO TRANSLATION
doodle	Doodle
doom	Doom
doomed	dæmdur
doomsday	dómsdagur
door	dyrnar
doorbell	dyrahringur
doorknob	Hurðarhúnn
doorman	hurðarmaður
doormat	dyramat
doornail	dögun
doorstep	dyraþrep
doorway	hurð
dopamine	dópamín
dope	Dope
dopey	dopey
dork	lúði
dorky	dorky
dorm	dorm
dormant	sofandi
dormitory	svefnlofti
dorsal	dorsal
dosage	skammtur
dose	skammtur
dossier	málsskjöl
dot	punktur
doting	doting
dotted	dotted
dotty	dotty
double	tvöfalt
doubled	tvöfaldast
doublet	doublet
doubling	tvöföldun
doubt	efa
doubtful	vafasamt
doubting	efast um það
doubtless	eflaust
doubts	efasemdir
douche	douche
douchebags	douchebags
dough	deigið
doughboy	doughboy
doughnut	kleinuhringur
dour	dour
douse	douse
dove	dúfur
down	niður
downcast	niðurstaðan
downer	downer
downfall	fall
downfield	downfield
downhearted	downhearted
downhill	niður á við
download	sækja
downpour	downpour
downright	allt í lagi
downriver	downriver
downside	hæðir
downtime	niður í miðbæ
downward	niður
downy	downy
dowry	dowry
doze	doze
dozen	tugi
drab	drab
draft	drög
drafty	duglegur
drag	draga
dragon	dreki
dragonfly	dragonfly
drain	holræsi
drainage	frárennsli
drained	tæmd
draining	tæmingu
drainpipe	holræsi
drake	drake
drama	leiklist
dramaqueen	NO TRANSLATION
dramatic	stórkostlegar
drape	drape
drapery	gluggatjöld
drastic	róttækar
drat	NO TRANSLATION
draught	drög
draw	teikna
drawback	galli
drawbridge	drawbridge
drawer	skúffa
drawers	skúffur
drawing	teikning
dread	óttast
dreaded	óttast
dreadful	hræðilegt
dreadfully	hræðilegt
dreading	dreading
dream	draumur
dreamboat	Dreamboat
dreamer	draumur
dreaming	dreyma
dreamland	Dreamland
dreams	draumar
dreamt	dreymdi
dreamy	draumkennt
dreary	ömurlegt
dredge	dredge
drenched	drenched
dress	kjóll
dresser	búð
dressmaker	dressmaker
dressy	dressy
dribble	NO TRANSLATION
dried	þurrkað
drier	þurrkari
drift	drif
drifted	rann
drifter	drifter
driftwood	driftwood
drill	bora
drink	Drykkur
drinker	drykkur
drinking	drekka
drinks	drykkir
drip	dreypi
dripping	drýpur
drive	keyra
drivel	drivel
driver	ökumaður
driveway	innkeyrsla
drizzle	Úði
droll	droll
drone	drone
drones	drones
drool	kúla
drooping	hangandi
droopy	droopy
drop	dropi
droplet	dropi
dropout	brottfall
dropper	dropper
drought	þurrkar
drove	NO TRANSLATION
drown	drukkna
drowsiness	syfja
drowsy	syfja
drudgery	drudgery
drug	lyf
drug dealing	eiturlyfjasala
drugged	drugged
druggist	druggist
drugs	lyf
drugstore	apótek
druid	druid
drum	tromma
drummer	trommari
drumming	trommur
drunk	drukkinn
drunk driving	drukkinn akstur
drunkard	drunkard
drunken	drukkinn
drunkenness	drukknaður
dry	þurrt
dryer	þurrkari
dryness	þurrkur
dual	einvígi
dualism	dualism
duality	duality
dub	dub
dubious	vafasöm
duchess	hertoginn
duck	önd
ducking	Ducking
duckling	Duckling
ducky	Ducky
duct	rás
ductile	sveigjanlegt
dud	Dud
dude	náungi
duds	duds
due	vegna
duel	einvígi
dues	gjöld
duet	duet
duffel	duffel
dugout	dugout
duh	Duh
duke	hertogi
dull	sljór
dullard	dullard
dumb	heimsk
dumbasses	dumbasses
dumbbell	dumbbell
dumbbitch	NO TRANSLATION
dumfound	dumfound
dumfounder	NO TRANSLATION
dummy	dummy
dump	sorphaugur
dumpling	dumpling
dumps	hugarangur
dumpster	dumpster
dun	dúnn
dunce	dunce
dune	dune
dung	NO TRANSLATION
dungeon	dýflissu
dunk	dunk
duo	Duo
dupe	dupe
duplex	duplex
duplicate	afrita
duplication	tvíverknað
duplicity	tvíverknað
durability	endingu
durable	varanlegur
duration	lengd
duress	þunglyndi
dusk	kvöld
dusky	skýjað
dust	ryk
duster	duster
dustpan	dustpan
dusty	rykugt
dutiful	skyldsamlega
duty	skylda
dwarf	dvergur
dwarfed	dwarfed
dweeb	dweeb
dwell	búa
dweller	dweller
dwelling	bústaður
dye	litarefni
dying	að deyja
dyke	dyke
dynamic	dynamic
dynamical	virkari
dynamics	virkari
dynamite	dýnamít
dynamo	Dynamo
dynasty	Dynasty
dysentery	dysentery
dysfunction	truflun
dysfunctional	dysfunctional
dyspepsia	meltingartruflanir
eager	ákafur
eagerness	eagerness
eagle	örn
ear	eyra
earful	earful
earl	jarl
earlier	Fyrr
early	snemma
earn	vinna sér inn
earnest	alvöru
earnestly	einlæglega
earnestness	einlægni
earnings	tekjur
earpiece	heyrnartól
earring	eyrnalokkar
earrings	eyrnalokkar
earshot	earshot
earth	jörð
earthenware	leirvörur
earthling	earthling
earthly	jarðneskur
earthquake	jarðskjálfti
earthy	jarðneskur
ease	vellíðan
easel	easel
easement	easement
easily	auðveldlega
east	austur
eastbound	austur
eastern	austur
easy	auðvelt
easygoing	easygoing
eat	borða
eater	eater
eating	borða
eatingdisorders	NO TRANSLATION
eavesdrop	frásog
eavesdropping	aflúsun
ebb	ebb
ebony	Ebony
ebullient	ebullient
eccentric	sérvitringur
eccentricity	excentricity
ecclesiastical	kirkjulegt
echelon	echelon
echinacea	echinacea
echo	echo
eclectic	Eclectic
eclipse	eclipse
ecliptic	myrkvi
ecological	vistfræðileg
economic	efnahagsleg
economical	hagkvæmt
economics	hagfræði
economy	hagkerfi
ecosystem	vistkerfi
ecstasy	óróleika
ecstatic	óstöðugt
ecumenical	jarðvísindaleg
eddy	Eddy
edema	bjúgur
edge	brún
edging	brúnir
edgy	edgy
edible	ætur
edict	Edict
edification	uppbyggingu
edifice	edifice
edit	breyta
editing	útgáfa
edition	útgáfa
editor	ritstjóri
editorial	ritstjórnargreinar
educate	mennta
educated	menntaðir
education	menntun
educational	mennta
educator	kennari
eeeek	NO TRANSLATION
eeek	NO TRANSLATION
eek	eek
eel	ál
eerie	hræðilegt
effect	áhrif
effective	áhrifarík
effectiveness	skilvirkni
effects	áhrif
effectual	effectual
effectually	í raun
effectuate	effectuate
effeminate	myndast
efficacious	virk
efficacy	verkun
efficiency	skilvirkni
efficient	skilvirkur
effigy	effigy
effort	átak
effortless	áreynslulaust
effusion	útferð
effyou	NO TRANSLATION
egg	egg
egghead	egghead
eggnog	eggnog
eggplant	eggaldin
eggshell	eggshell
ego	ego
egomaniac	egomaniac
egotistical	egotistical
egregious	egregious
egress	útgangi
eight	átta
eighteen	átján
eighth	áttunda
eighty	áttatíu
ejaculate	sáðlát
ejaculation	sáðlát
eject	skjóta út
ejection	ejection
elaborate	vandaður
elaboration	útfærsla
elan	NO TRANSLATION
elapse	hætta
elapsed	liðinn
elastic	teygjanlegt
elasticity	mýkt
elated	elated
elation	uppnám
elbow	olnboga
eld	eldur
elder	öldungur
elderly	aldraðir
elders	öldungar
eldest	elsti
elect	útvalin
election	kosningar
elective	valnámskeið
elector	kjósandi
electoral	kosningakerfi
electorate	kjósendur
electric	rafmagns
electric slide	rafmagns renna
electrical	rafmagns
electrician	rafvirki
electricity	rafmagn
electrify	electrify
electrocute	rafrásir
electrocution	rafhreinsun
electromagnetic	rafsegulsviðs
electron	rafeind
electronic	rafrænt
electronics	rafeindatækni
elegance	glæsileika
elegant	glæsilegur
element	þáttur
elemental	frumefni
elementary	grunnatriði
elements	þættir
elephant	fíll
elevate	hækka
elevated	hækkun
elevation	hækkun
elevator	lyftu
eleven	ellefu
eleventh	ellefta
elf	álfur
elicit	framkalla
eligible	hæfur
eliminate	útiloka
elimination	brotthvarf
elite	Elite
elitist	elitist
elixir	elixir
elk	Elk
ell	ell
ellipse	ellipse
ellipsis	ellipsis
ellipsoid	ellipsoid
elliptic	sporöskjulaga
elliptical	sporöskjulaga
elm	Elm
elongate	lengja
elongation	lenging
elope	elope
eloquence	vellíðan
eloquent	vellíðan
elucidate	lýsa
elucidation	ályktun
elude	útrýmingu
elusive	fimmti
emaciated	emaciated
email	tölvupóstur
emanate	emanate
emancipation	frelsun
embankment	embankment
embargo	NO TRANSLATION
embark	fara um borð
embarrass	vandræðalegur
embarrassed	vandræðalegur
embarrassing	vandræðalegur
embarrassment	vandræði
embassy	Sendiráð
embattled	embattled
embed	embed in
embellish	fegra
embellishment	skreytingar
embers	embers
embezzlement	fjársvik
embezzler	embezzler
emblem	merki
emblematic	emblematic
embodiment	útfærslu
embolism	segamyndun
embossed	upphleypt
embrace	faðma
embroidered	útsaumur
embroidery	útsaumur
embroiled	embroiled
embryo	fósturvísa
embryonic	fósturvísir
emcee	emcee
emerald	Emerald
emerge	koma fram
emergence	tilkoma
emergency	neyðarástand
emeritus	emeritus
emery	Emery
emetophobia	vefjasýni
emigrate	flytja út
emigration	brottflutningur
eminence	eminence
eminent	framúrskarandi
eminently	aðallega
emir	NO TRANSLATION
emissary	sendiherra
emission	losun
emit	gefa út
emo	emo
emotion	tilfinning
emotional	tilfinningalegt
emotive	tilfinningalegt
empathic	empathic
empathize	innleiða
empathy	samúð
emperor	keisari
emphasis	áhersla
emphasize	leggja áherslu á
emphatic	áherslu
emphysema	lungnasjúkdómur
empire	Stórveldi
empirical	empirical
empiricism	empiricism
employ	Raða
employee	starfsmaður
employer	vinnuveitandi
employment	atvinnu
emporium	emporium
empower	styrkja
empress	keisari
emptiness	tómleiki
emption	tómstundir
empty	tómur
emu	emu
emulate	líkja eftir
emulsion	fleyti
enable	virkja
enablement	virkjun
enact	enact
enactment	setning
enamel	enamel
encampment	húsnæði
enchant	enchant
enchanted	hreif
enchanting	heillandi
enchantment	enchantment
enchantress	enchantress
enchilada	enchilada
encircle	umkringja
encircling	encircling
enclave	enclave
enclose	fylgja með
enclosure	girðing
encode	umrita
encomiastic	NO TRANSLATION
encomium	encomium
encompass	nær til
encore	NO TRANSLATION
encounter	fundur
encourage	hvetja
encouraged	hvatti til
encouragement	hvatning
encouraging	hvetjandi
encroach	andmæla
encroachment	inndráttur
encrypt	dulkóða
encryption	dulkóðun
encumbrance	kvöl
encyclopedia	alfræðiritið
end	enda
end table	Enda borð
endanger	hætta
endangered	í hættu
endangerment	ógnun
endearing	kærleiksríkur
endeavor	leitast við
ended	lauk
endemic	endemic
endgame	endgame
ending	endir
endless	endalaus
endocarditis	hjartavöðvabólga
endorse	samþykkja
endorsement	áritun
endow	endow
endowed	búinn
endowment	fjárveiting
endpapers	endpapers
endpoint	endapunktur
endurance	þrek
endure	þola
enduring	viðvarandi
enema	bjúgur
enemy	óvinur
energetic	ötull
energize	orku
energy	Orka
enforce	framfylgja
enforcement	fullnustu
enforcer	fulltrúi
engage	taka þátt
engaged	þátttakandi
engagement	þátttöku
engaging	taka þátt
engender	engender
engine	vél
engineer	verkfræðingur
engineering	verkfræði
engrave	grafa
engraved	grafið
engraver	grafar
engraving	leturgröftur
engrossed	engrossed
engrossing	engrossing
engulf	engulf
enhance	auka
enhancement	aukning
enigma	ráðgáta
enigmatic	óljós
enjoin	enjoin
enjoy	njóta
enjoyable	skemmtilegt
enjoying	njóta
enjoyment	ánægju
enlarge	stækka
enlarged	stækkað
enlargement	stækkun
enlighten	upplýsa
enlightened	upplýst
enlightening	upplýsta
enlightenment	uppljómun
enlist	enlist
enliven	upplifað
enmity	fjandskapur
ennui	ennui
enormity	gríðarlega
enormous	gríðarlegt
enormously	gríðarlega
enraged	reiður
enrich	auðga
enroll	skráðu þig inn
enrollment	innritun
ensemble	Ensemble
ensign	ensign
enslave	enslave
enslaved	þjást
enslavement	enslavement
ensue	ensue
ensure	tryggja
entail	fela í sér
entangled	entangled
entanglement	entanglement
enter	koma inn
enterprise	fyrirtæki
enterprising	enterprising
entertain	skemmta
entertained	skemmtikraftur
entertainer	skemmtikraftur
entertaining	skemmtilegt
entertainment	skemmtun
enthralled	enthralled
enthusiasm	áhugi
enthusiast	áhugamaður
enthusiastic	áhugasamir
entice	tæla
entire	allt
entirety	heild
entitle	rétt
entity	eining
entomology	entomology
entourage	Entourage
entrails	entrails
entrance	inngangur
entrapment	entrapment
entreat	biðja
entree	inngangur
entrepreneur	frumkvöðull
entrust	fela
entry	innganga
enumerate	upptala
enumeration	upptalning
envelope	umslag
envious	öfundsjúkur
