Word	ne
criterion	criterion
critic	आलोचना
critical	महत्वपूर्ण
criticise	आलोचना
criticism	आलोचना
criticize	आलोचना
criticized	आलोचना
critique	आलोचना
critter	critter
croak	croak
croc	croc
crock	क्रोक
crockery	चकलेट
crocodile	मकवानपुर
croft	croft
croissant	croissant
crook	क्रोक
crooked	कडा
crop	फसल
croquet	croquet
cross	क्रस
cross country	क्रस देश
crossbow	क्रसbow
crossed	पार भयो
crossfire	क्रसfire
crossing	क्रसिंग
crossover	चक्र
crosswalk	crosswalk
crossword	क्रान्ति
crotch	crotch
crouch	crouch
crouched	crouched
crouching	crouching
croupier	croupier
crow	भीड
crowbar	crowbar
crowd	भीड
crowded	भीड भयो
crowds	भीड
crown	क्राउन
crowning	कुकुर
crucial	महत्वपूर्ण
cruciate	cruciate
crucifix	crucifix
crucifixion	क्रिस्फिक्स
crucify	क्रान्ति गर्नुहोस्
crud	क्रूड
crude	कच्चा
cruel	क्रूर
cruelly	क्रूरता
cruelty	क्रूरता
cruise	क्रूज
cruise ship	क्रूज जहाज
cruiser	cruiser
cruising	cruising
crumb	कुकुर
crumble	टुक्रा
crumbling	कुकुर
crummy	क्रमी
crunch	क्रान्ति
crunchy	crunchy
crusade	क्रसड
crusader	क्रसडर
crush	क्रश
crushed	कुचल
crusher	कोल्हू
crushing	क्रश
crust	क्रस्ट
crusty	crusty
crutch	crutch
crux	crux
cry	रो
crybaby	crybaby
crying	रो
crypt	क्रिप्ट
cryptic	क्रिप्ट
cryptography	क्रिप्टोग्राफी
crystal	क्रिस्टल
crystalline	क्रिस्टलीय
crystallization	क्रिस्टल
cub	cub
cubby	कोबी
cube	घन
cubic	क्यूबिक
cubicle	कब
cuckold	cuckold
cuckoo	cuckoo
cucumber	ककड़ी
cuddle	cuddle
cuddled	cuddled
cuddles	cuddles
cuddling	cuddling
cue	cue
cuff	कफ
cuisine	cuisine
culinary	पाक कला
cull	cull
culminate	घृणा गर्नुहोस्
culmination	उन्मूलन
culpability	अपराधी
culpable	दाजुभाइ
culprit	अपराधी
cult	cult
cultivate	खेती गर्नुहोस्
cultivated	खेती गरियो
cultivation	खेती
cultural	सांस्कृतिक
culture	संस्कृति
cultured	संस्कृत
culvert	उकालो
cumbersome	जटिल
cumulus	cumulus
cunning	चतुर
cunt	cunt
cup	कप
cupboard	अलमारी
cupcake	कपकोक
cupping	कपडा
cur	cur
curable	किने
curate	curate
curative	curative
curator	क्यूरेटर
curb	बन्द
curd	दही
cure	उपचार
curfew	curfew
curiosity	जिज्ञासा
curious	उत्सुक
curl	घुमाउरो
curling	कर्लिंग
currency	मुद्रा
current	वर्तमान
curriculum	पाठ्यक्रम
curry	करी
curse	श्राप
cursed	शापित
cursing	क्रस गर्दै
cursory	कर्सरी
curt	कर्ट
curtail	curtail
curtailment	कछुवा
curtain	पर्दा
curtains	पर्दे
curtsy	curtsy
curvature	वक्र
curve	वक्र
curved	घुमाईयो
curvilinear	curvilinear
cushion	कुशन
cushy	कोष
cusp	cusp
cuss	cuss
cussed	घटेको छ
custard	कस्टर्ड
custodial	आश्रय
custodian	संरक्षक
custody	हिरासतमा
custom	अनुकूलन
customary	चलनअनुसारको
customer	ग्राहक
customized	अनुकूलित
cut	काट्नुहोस्
cutaneous	तरकारी
cute	प्यारा
cuticle	cuticle
cutie	प्यारी
cutlass	cutlass
cutlery	कटाई
cutoff	काट्नु
cutter	कटर
cutters	कटर
cutthroat	cutthroat
cutting	काट्ने
cutting board	काट्ने बोर्ड
cuttings	काट्ने
cwt	cwt
cyanide	साइयनाइड
cyberspace	साइबरस्पेस
cycle	चक्र
cyclical	चक्रीय
cyclist	चक्रवात
cyclone	चक्रवात
cylinder	सिलेंडर
cylindrical	बेलनाकार
cymbal	cymbal
cynic	सिङ्क
cynical	cynical
cynicism	निष्ठा
cyst	सिस्ट
cystic	सिस्टिक
cytomegalovirus	cytomegalovirus
cytoplasm	cytoplasm
czar	czar
dab	dab
dabble	डबबल
dabbling	dabbling
dad	पिताजी
daddy	पिताजी
dado	NO TRANSLATION
daemon	डेमन
daft	डेफ्ट
dagger	डगर
daily	दैनिक
dainty	दैनिकी
daiquiri	daiquiri
dairy	डेयरी
daisy	daisy
dak	NO TRANSLATION
dale	डेल
dam	बांध
damage	क्षति
damaged	क्षतिग्रस्त
damages	हानि
dame	डेम
damn	damn
damnation	विनाश
damned	हानिकारक
damp	नमस्कार
dampened	घट्यो
damper	हानिकारक
damsel	damsel
dance	नृत्य
dancer	नर्तक
dancing	नृत्य
dandruff	dandruff
dandy	dandy
danger	खतरा
dangerous	खतरनाक
dangerously	खतरनाक छ
dangit	NO TRANSLATION
dangle	डगल गर्नुहोस्
dank	NO TRANSLATION
dapper	dapper
dare	हिम्मत
daredevil	डेरिवेलिल
daresay	daresay
daring	साहस
dark	गाढा
darken	गाढा
darkened	गाढा
darkly	गहिराई
darkness	अन्धकार
darkroom	अध्यारो कोठा
darkside	गाढाको छेउमा
darling	प्रिय
darn	डार
dart	डार्ट
dash	ड्यास
dashboard	ड्यासबोर्ड
dashed	ड्यास गरियो
dashing	ड्यासिंग
dastardly	उदास
data	डेटा
database	डाटाबेस
date	मिति
datenight	NO TRANSLATION
daughter	छोरी
dawdle	बिस्तारै
dawn	बिहान
dawned	dawned
day	दिन
daybreak	विघटन
daycare	डेराकेयर
daydream	दिनको सपना
daydreaming	डेभिडिंग
daylight	दिनको प्रकाश
daymade	NO TRANSLATION
dayoff	NO TRANSLATION
daytime	दिवा समय
daze	डेज
dazed	घटेको
dazzle	चकलेट
dazzling	चमकदार
deacon	deacon
deactivate	निष्क्रिय पार्नुहोस्
dead	मृत
deadbeat	मृत बिराटनगर
deadline	समय सीमा
deadlines	समय सीमा
deadlock	deadlock
deadly	घातक
deaf	बहिरा
deafening	बहिष्कार
deafness	बहिष्कार
deal	सम्झौता
dealer	बिक्रेता
dealership	डीलरशिप
dealing	व्यवहार गर्दै
dealings	व्यवहार
dean	डीन
dear	प्रिय
dearest	प्रिय
dearth	दुखाइ
death	मृत्यु
deathbed	मृत्यु
deathly	मृत्यु
debacle	उकालो
debased	बहस भयो
debatable	debatable
debate	बहस
debauchery	डिबच्चर
debenture	डिबेंचर
debilitating	निराश
debit	डेबिट
debrief	debrief
debriefing	debriefing
debris	मलबे
debt	ऋण
debtor	देनदार
debut	पहिलो
debutante	debutante
decade	दशक
decadence	पतन
decadent	decadent
decaf	decaf
decanter	decanter
decathlon	decathlon
decay	क्षय
decayed	घट्यो
decaying	दावी
deceased	मृतक
decedent	निर्णायक
deceit	छल
deceitful	धोखाधडी
deceive	ठग्नु
deceived	धोका दिए
deceiving	धोका दिने
december	december
decency	सभ्यता
decent	सभ्य
deception	धोका
deceptive	भ्रामक
decide	निर्णय गर्नुहोस्
decidedly	निर्णय
deciduous	परिश्रम
decimal	दशमलव
decimeter	decimeter
decipher	decipher
decision	निर्णय
decisive	निर्णायक
deck	डेक
declaration	घोषणा
declaratory	घोषणात्मक
declare	घोषणा गर्नुहोस्
declination	अस्वीकार
decline	गिरावट
declining	घट्दै
deco	deco
decode	डिकोड गर्नुहोस्
decoder	decoder
decompose	विघटन
decomposed	निर्वासित
decomposition	अपघटन
decompress	डिम्प्रेस
decompression	विकृति
decontamination	decontamination
decor	सजावट
decorate	decorate
decorating	सजावट
decoration	सजावट
decorative	सजावटी
decorator	सजावट
decorum	सजावट
decoy	decoy
decrease	घटाउनुहोस्
decreased	घट्यो
decreasing	घट्दै
decree	घोषणा
decrement	कमी
decrepit	कमपिट
decry	decry
decryption	डेक्रिप्शन
dedicate	समर्पण
dedication	समर्पण
deduce	कटौती गर्नुहोस्
deduct	कटौती
deductible	कटौती योग्य
deduction	कटौती
deed	deed
deejay	deejay
deem	डेम
deep	गहिरो
deepen	गहिराइ
deer	हिरण
defamation	विरूपण
defamatory	विनाशकारी
default	पूर्वनिर्धारित
defeat	हार
defeated	हरायो
defeatist	विनाशकारी
defect	दोष
defection	दोष
defective	दोषी
defector	defector
defend	रक्षा गर्नुहोस्
defendant	प्रतिवादी
defended	बचाव
defender	डिफेंडर
defending	रक्षा गर्न
defense	रक्षा
defenseless	बचाव
defensible	बचाव
defensive	रक्षात्मक
defer	defer
deference	विवेक
deferral	डिफरल
deferring	हटाउने
defiance	बेवास्ता गर्नुहोस्
defiant	defiant
defibrillator	defibrillator
deficiency	कमी
deficient	कमी
deficit	घाटा
define	परिभाषित
defined	परिभाषित
definite	निश्चित
definition	परिभाषा
definitive	निश्चित
deflate	भंग गर्न
deflation	भंग
deflect	खानुहोस्
deflection	दोष
defloration	defloration
deform	विकृत
deformed	विकृत
deformity	विकृति
defraud	खराबी
defray	defray
defrost	विकट
deft	झण्डा
defunct	खराबी
defuse	निषेधित
defy	दोषी
degeneracy	degeneracy
degenerate	घटाउने
degeneration	अध्यापन
degradation	गिरावट
degrade	घटाउनुहोस्
degraded	अपमानित
degrading	घट्दै
degree	डिग्री
dehydrated	निर्जलित
dehydration	निर्जलीकरण
dejected	अस्वीकार गरियो
delay	ढिला
delayed	विलम्बित
delectable	ढोका
delegate	प्रतिनिधि
delegation	प्रतिनिधिमन्त्री
delete	मेटाउन
deleterious	विलुप्त
deletion	मेटाउने
deli	डेली
deliberate	जान्दछन्
deliberation	विचार
deliberative	जानकार
delicacy	विनम्रता
delicate	नाजुक
delicatessen	delicatessen
delicious	स्वादिष्ट
delight	रमाइलो
delighted	प्रसन्न भयो
delightful	प्रसन्न
delineate	डेलिनेट
delineation	डेलिभिजन
delinquency	delinquency
delinquent	ढिलाइ
delirious	delirious
delirium	delirium
deliver	डिलिवरी
deliverance	उद्धार
delivery	वितरण
dell	dell
delta	डेल्टा
delude	छुट्याउनुहोस्
deluge	गजल
delusion	भ्रम
delusional	delusional
deluxe	डिलक्स
delve	delve
demand	माग
demanding	माग गर्दै
demeaned	विचलित
demeaning	प्रहार गर्ने
demeanor	विवेक
demented	demented
dementia	dementia
demise	मृत्यु
demo	डेमो
democracy	लोकतान्त्रिक
democrat	लोकतान्त्रिक
democratic	लोकतांत्रिक
demographic	जनसांख्यिकीय
demolish	ध्वस्त
demolished	ध्वस्त भयो
demolition	विध्वंस
demon	राक्षस
demonic	राक्षस
demonstrable	प्रदर्शन योग्य
demonstrate	प्रदर्शन गर्नुहोस्
demonstrated	प्रदर्शन गरियो
demonstrating	प्रदर्शन गर्दै
demonstration	प्रदर्शन
demonstrative	प्रदर्शनकारी
demonstrator	प्रदर्शनकर्ता
demoralized	प्रत्याशित
demos	डेमोहरू
demure	demure
den	NO TRANSLATION
deniability	deniability
denial	अस्वीकार
denied	अस्वीकार गर्यो
denim	डेनिम
denomination	विनाश
denominational	denominational
denominator	denominator
denote	अस्वीकार गर्नुहोस्
denounce	अस्वीकार
dense	घने
density	घनत्व
dent	डेन्ट
dental	दन्त
dentist	दन्त चिकित्सक
dentistry	दन्त चिकित्सा
dentists	दन्त चिकित्सकहरु
denunciation	अस्वीकार
deny	अस्वीकार
denying	अस्वीकार
deodorant	deodorant
depart	प्रस्थान
departed	चले
department	विभाग
departmental	विभागीय
departure	प्रस्थान
depend	निर्भर
dependable	भरोसेमंद
dependant	निर्भर
dependence	निर्भरता
dependency	निर्भरता
dependent	निर्भर
depict	चित्रण गर्दछ
depicting	चित्रण गर्दै
depletion	गिरावट
deplorable	भ्रामक
deplore	डिप्प्ले
deploy	तैनात गर्नुहोस्
deployment	तैनाती
deport	निवेदन
deportation	निर्वासन
depose	जम्मा गर्नुहोस्
deposit	जम्मा गर्नुहोस्
depositary	जमाव
deposition	भण्डार
depository	जम्मा
depot	डिपो
depraved	बिग्रिएको
depravity	अतिक्रमण
depreciate	मूल्यवान
depreciated	मूल्यवर्ग
depreciation	मूल्यह्रास
depress	निराशा
depressed	उदास
depressing	निराशाजनक
depression	अवसाद
depressive	निराशाजनक
depresson	NO TRANSLATION
deprivation	बेरोजगारी
deprive	बेपत्ता
deprived	बेपत्ता
depth	गहिराई
deputy	उप
derail	व्युत्पन्न
deranged	विकर्ण
derelict	व्यर्थ
derision	व्युत्पन्न
derivation	व्युत्पन्न
derivative	व्युत्पन्न
derive	लिनुहोस्
dermal	dermal
dermatologist	दंत चिकित्सक
dermatology	त्वचा विज्ञान
derogation	विकृति
derogatory	व्युत्पन्न
descend	उड्ने
descendant	सन्तान
descendent	NO TRANSLATION
descending	घट्दै
descent	मूल
describe	वर्णन गर्नुहोस्
description	वर्णन
descriptive	वर्णनात्मक
desecrate	बेकार
desecration	अपघटन
desert	desert
deserted	बस्थे
deserter	deserter
desertion	निराशा
deserve	पाउन योग्य
deserved	योग्य छ
deserving	योग्य छ
design	डिजाइन
designate	नामित
designated	नामित
designation	पद
designed	डिजाइन गरिएको
designer	डिजाइनर
designing	डिजाइन गर्दै
desirability	desirability
desirable	वांछनीय
desire	इच्छा
desiring	चाहना
desirous	वांछित
desist	बिचरा
desk	डेस्क
desolate	बेरोजगार
desolation	विस्फोट
despair	निराश
despairing	निराशाजनक
despatch	निराश
desperado	desperado
desperate	हानिकारक
desperation	निराशा
despicable	निराश
despise	घृणा गर्नुहोस्
despondent	अप्रत्याशित
despotic	निराश
despotism	निराशावाद
dessert	मिठाई
destination	गन्तव्य
destined	योग्य
destiny	भाग्य
destitute	गरीबी
destroy	नष्ट
destroyed	नष्ट भयो
destroyer	नष्ट गर्ने
destroying	नष्ट गर्दै
destruct	विनाश
destruction	विनाश
destructive	विनाशकारी
detach	detach
detached	बाट अलग गर्नु
detachment	detachment
detail	विस्तार
detailed	विस्तृत
details	विवरण
detain	detain
detainee	कैदी
detect	पत्ता लगाउनुहोस्
detectable	detectable
detection	पत्ता लगाउने
detective	जासूस
detector	डिटेक्टर
detention	हिरासतमा
deter	deter
detergent	डिटर्जेंट
deteriorate	बिग्रियो
deteriorated	बिग्रियो
deteriorating	बिग्रियो
deterioration	विपरित
determinable	दृश्यात्मक
determinate	निर्धारण गर्नुहोस्
determination	दृष्टान्त
determine	निर्धारण गर्नुहोस्
determined	निर्धारित
deterrent	विघटन
detest	detest
detestation	detestation
detonate	घुमाउनुहोस्
detonation	detonation
detonator	detonator
detour	detour
detract	घटाउनुहोस्
detriment	हानिकारक
detrimental	हानिकारक
detritus	detritus
deuce	deuce
deutschmark	डेट्सचमार्क
devalued	devalued
devastate	विनाश
devastated	विनाश भयो
devastating	विनाशकारी
devastation	विनाश
develop	विकास
developer	विकासकर्ता
developing	विकास गर्दै
development	विकास
deviant	भक्त
deviate	विचलित
deviating	भटक
deviation	बिचलन
device	उपकरण
devil	राक्षस
deviled	भंग भयो
devilish	शैतान
devious	ईमानदार
devise	विभेद
devoid	बेवास्ता गर्नुहोस्
devolution	devolution
devolve	devolve
devote	समर्पित
devoted	समर्पित
devotee	devotee
devotion	भक्ति
devotional	भक्ति
devour	खाजा
devout	भक्ति
dew	शीत
dexter	dexter
dexterity	निर्वाह
dextrose	dextrose
diabetes	मधुमेह
diabetic	मधुमेह
diabolical	डायोलिकल
diagnose	निदान
diagnosis	निदान
diagnostic	नैदानिक
diagnostics	निदान
diagonal	विकर्ण
diagram	रेखाचित्र
dial	डायल गर्नुहोस्
dialect	सम्पादक
dialectic	डायलिकिक
dialogue	कुराकानी
dialysis	डायलिसिस
diameter	व्यास
diamond	हीरा
diamonds	हीरे
diaper	डायपर
diaphragm	डायाफ्राम
diarrhea	दस्तुर
diarrhoea	दस्तुर
diary	डायरी
diatribe	diatribe
dib	NO TRANSLATION
dibs	dibs
dice	पासा
dicey	dicey
dichotomous	dichotomous
dichotomy	डाइटिटोमी
dick	डिक
dickhead	Dickhead
dicks	dicks
dictate	सम्झौता गर्नुहोस्
dictation	बोलचाल
dictator	आचार्य
dictatorial	आकांक्षात्मक
dictatorship	तानाशाह
diction	डिक्शनरी
dictionary	dictionary
dictum	NO TRANSLATION
didactic	अप्रत्यक्ष
diddle	डैडी
die	NO TRANSLATION
died	मरे
diesel	डीजल
diet	आहार
dietary	आहार
differ	फरक
difference	फरक
differences	मतभेदहरू
different	फरक
differential	अंतर
differentiation	भिन्नता
differently	फरक
differing	भिन्न
difficult	कठिनाई
difficulties	कठिनाइहरू
difficulty	कठिनाई
diffuse	फैलिएको छ
diffusion	प्रसार
dig	NO TRANSLATION
digest	पचाउनु
digestion	पाचन
digestive	पाचन
digit	अंक
digital	डिजिटल
dignified	सम्मानित
dignify	सम्मानित हुनुहोस्
dignity	सम्मान
digress	कूकी
digs	NO TRANSLATION
dike	छ
dilapidated	कमजोर छ
dilatation	विलुप्तता
dilation	भोज
dildo	dildo
dilemma	दुविधा
diligence	परिश्रम
diligent	सहनशील
dill	डिल
diluent	सुलभ
dilute	पतला
diluted	पतला
dilution	कमजोर
dim	dim
dime	dime
dimension	आयाम
dimensional	आयाम
diminish	कम
diminished	घट्यो
diminution	कमी
diminutive	कम से कम
dimwit	dimwit
din	NO TRANSLATION
dine	डाइन
diner	डिनर
dinghy	dinghy
dingo	डिंगो
dingy	dingy
dining	भोजन
dinky	dinky
dinner	रात्री
dinnertime	रातिको खाना खाने समय
dinosaur	डायनासोर
dint	dint
diocesan	diocesan
diocese	diocese
diorama	diorama
dioxide	डाइऑक्साइड
dip	डुबाउँछन्
diploma	डिप्लोमा
diplomacy	कूटनीति
diplomat	राजनैतिक
diplomatic	राजनयिक
dipper	डुप्लिकेट
dippy	dippy
dipstick	डुबस्टिक
dire	NO TRANSLATION
direct	प्रत्यक्ष
directed	निर्देशित
direction	दिशा
directive	निर्देशक
directly	सीधा
director	निर्देशक
directory	निर्देशिका
dirt	ग्यास
dirty	गन्दा
disability	असक्षम
disable	असक्षम
disabled	अक्षम
disadvantage	हानि
disaffected	असन्तुष्ट
disagree	असहमत
disagreeable	असहमत
disagreeing	असहमत
disagreement	असहमति
disallow	अस्वीकार गर्नुहोस्
disallowed	अस्वीकार गरियो
disapointment	NO TRANSLATION
disappear	गायब
disappearance	हराएको
disappearing	हराइरहेको छ
disappoint	निराश
disappointed	निराश
disappointing	निराशाजनक
disappointment	निराशा
disapproval	अस्वीकृत
disapprove	अस्वीकृत
disapproved	अस्वीकृत
disapproving	अस्वीकृत
disarm	असार
disarray	विच्छेद गर्नुहोस्
disaster	प्रकोप
disastrous	विनाशकारी
disband	हटाइयो
disbelief	विश्वास
disbelieve	विश्वास गर्छन्
disburse	वितरित
disbursement	खर्च
disc	डिस्क
discard	त्याग्नुहोस्
discarded	खारेज गरियो
discards	त्याग्नुहोस्
discern	बुझ्दछन्
discernible	समझदार
discerning	समझदार
discernment	विवेक
discharge	निर्वहन
disciple	चेला
disciplinary	अनुशासनिक
discipline	अनुशासन
disciplined	अनुशासित
disclaim	अस्वीकार गर्नुहोस्
disclaimer	अस्वीकरण
disclose	खुलासा गर्नुहोस्
disclosed	खुलासा गरियो
disclosure	प्रकटीकरण
disco	डिस्को
discoloration	उदाहरणार्थ
discolored	विचलित
discomfort	असुविधा
disconcerted	विच्छेदन गरियो
disconcerting	विच्छेदन
disconnect	विच्छेद गर्नुहोस्
disconnected	विच्छेदन
disconnection	विच्छेद
disconnects	विच्छेद गर्दछ
discontent	असहमति
discontinuance	असमानता
discontinue	रोक्नुहोस्
discontinuity	असुविधा
discontinuous	असंतोषजनक
discord	असहमत
discount	छूट
discounted	छुट्यो
discourage	हतोत्साहित गर्नुहोस्
discouraged	निराश भयो
discouragement	निराशा
discouraging	निराशाजनक
discourse	बहस
discover	खोज्नुहोस्
discovery	खोज
discredit	असुरक्षित
discredited	अविश्वसनीय
discreet	NO TRANSLATION
discrepancy	विचलन
discrete	विचलित
discretion	विवेक
discretionary	विवेक
discriminate	भेदभाव
discriminating	भेदभाव
discrimination	भेदभाव
discus	डिस्कस
discuss	छलफल गर्नुहोस्
discussion	छलफल
disdain	असहमत
disdainful	विनाशकारी
disease	रोग
diseased	बिरामी
disembodied	डिसेम्बर
disengage	disengage
disengagement	असक्षमता
disfigured	विचलित
disgrace	घृणा गर्नुहोस्
disgraced	घृणित
disgraceful	घृणित
disgruntled	निराश
disguise	लुकाउनुहोस्
disguised	छुटेको छ
disgust	घृणा
disgusted	घृणा गरे
disgusting	घृणित
dish	डिश
disheartened	विच्छेद भयो
disheartening	विच्छेद गर्नुहोस्
dishonest	बेइमानी
dishonesty	बेइमानी
dishonor	बेइमानी
dishonorable	बेइमानी
dishwasher	dishwasher
disillusionment	विलुप्तता
disinclination	विलुप्तता
disincline	निस्कनुहोस्
disinclined	विलुप्त
disinfect	disinfect
disinfectant	disinfectant
disinfection	असुविधा
disinformation	disinformation
disingenuous	विवेक
disintegrate	विच्छेद गर्नुहोस्
disintegration	विघटन
disinterested	डिस्पोजेक्ट
disjoint	disjoint
disjointed	असन्तुष्ट
disjunctive	विनाशकारी
disk	डिस्क
diskette	डिस्केट
dislike	मनन नदिनुहोस्
disliked	मनपर्यो
disliking	मन नपर्ने
dislocated	विच्छेद गरियो
dislocation	विच्छेद
dislodge	भंग गर्न
disloyal	विचलित
disloyalty	विनाशता
dismal	निराश
dismantle	नष्ट गर्नुहोस्
dismay	निराश
dismayed	निराश
dismemberment	विमोचन
dismiss	खारेज गर्नुहोस्
dismissal	खारेज
dismissive	खारेज गर्नुहोस्
dismount	विच्छेद गर्नुहोस्
disobedience	अनाज्ञाकारी
disobedient	अनाज्ञाकारी
disobey	अनाज्ञा
disorder	विकार
disordered	विकृत
disorderly	विकृत
disorganized	अव्यवस्थित
disorientation	अपमानजनक
disoriented	बेपत्ता
disown	अस्वीकार
disparage	असमान
disparaging	असमान
disparate	भिन्न
disparity	असमानता
dispassionate	फैलाउन
dispatch	प्रेषण
dispatcher	प्रेषक
dispel	dispel
dispensary	औषधि
dispensation	वितरण
dispense	dispens
dispenser	dispenser
dispersal	dispersal
disperse	छर्नु
dispersed	फैलियो
dispersion	फैलिएको छ
dispirited	अनुभवी
displace	विस्थापन गर्नुहोस्
displaced	विस्थापित भयो
displacement	विस्थापन
displacency	निर्वासन
display	प्रदर्शन गर्नुहोस्
displease	असन्तुष्ट
displeased	असन्तुष्ट
displeasure	असन्तुष्ट
disposable	डिस्पोजेबल
disposal	निपटान
dispose	निश्चय गर्नुहोस्
disposed	निषेधित
disposition	डिस्पोजेशन
dispossessed	dispossessed
disprove	बेवास्ता गर्नुहोस्
dispute	विवाद
disqualification	अयोग्यता
disqualified	अयोग्य
disqualify	अयोग्य
disquieted	असहमत
disregard	बेवास्ता गर्नुहोस्
disregarded	बेवास्ता गरे
disrelish	घृणा गर्नुहोस्
disreputable	विवेक
disrepute	बिग्रेको छ
disrespect	अनावरण
disrespectful	अनादर
disrupt	अबरोध
disrupting	अवरोध
disruption	अवरोध
disruptive	विघटनकारी
dissatisfaction	असुविधा
dissatisfied	असन्तुष्ट
dissect	फैलाउनुहोस्
dissection	विच्छेदन
disseminate	फैलाउनुहोस्
dissemination	वितरण
dissension	विघटन
dissent	विघटन
dissenting	विघटन
dissertation	dissertation
disservice	घृणा गर्नुहोस्
dissident	विरोधाभास
dissimilar	diff
dissipate	फैलिएको छ
dissipated	फैलियो
dissociation	विघटन
dissociative	विसंगति
dissolution	विघटन
dissolve	भंग गर्नुहोस्
dissonance	विपरित
dissuade	विच्छेद गर्नुहोस्
distal	विचलित
distance	दूरी
distant	टाढा
distaste	विचलित
distasteful	विनाशकारी
distillate	सायद
distillation	आसवन
distilled	बिचरा
distinct	भिन्न
distinction	भेदभाव
distinctive	विशिष्ट
distinguish	भेदभाव
distinguishable	भेदभाव
distinguished	विशिष्ट
distinguishing	भेदभाव
distort	विकृत
distorted	विकृत
distortion	विरूपण
distract	विचलित
distracted	विचलित
distracting	विचलित
distraction	विचलन
distraught	विचलित
distress	संकट
distressed	घृणित
distressing	संकट
distribute	वितरण गर्नुहोस्
distribution	वितरण
distributor	वितरक
district	जिल्ला
distrust	अविश्वास
disturb	अशांति
disturbance	अशांति
disturbed	विचलित
disturbing	संकट
disuse	असक्षम गर्नुहोस्
disused	दुरुपयोग
ditch	डच
ditto	ditto
ditty	ditty
diurnal	diurnal
diva	diva
divan	NO TRANSLATION
dive	गोता
diver	डाइभर
diverge	भिन्नता
divergence	विचलन
divergent	विभेद
diverging	डाइभरिंग
divers	विविध
diverse	विविध
diversified	विविध
diversify	विविधता
diversion	विविधता
diversionary	विविध
diversity	विविधता
divert	उल्टाउनुहोस्
diverting	उल्टाउनुहोस्
divest	ईश्वरीय
divested	विभाजित भयो
divestment	विभाजन
divide	विभाजन गर्नुहोस्
divided	विभाजित
dividend	लाभांश
divination	विभाजन
divine	ईश्वरीय
divinity	देवता
divisible	विभाजित
division	विभाजन
divisor	divisor
divorce	तलाक
divorcee	तलाक
divulge	विभाजन गर्नुहोस्
divvy	विभाजन
dizziness	चकलेट
dizzy	चकलेट
do	गर
doable	योग्य
doc	doc
docile	docile
dock	डक
docked	डक गरिएको छ
docket	गकेट
docking	डक गर्दै
doctor	डाक्टर
doctorate	डाक्टर
doctrinal	सैद्धान्तिक
doctrine	शिक्षा
document	दस्तावेज
documentary	वृत्तचित्र
documentation	कागजातहरू
documents	कागजातहरू
dodge	चकलेट
dodger	डोजर
dodging	dodging
dodgy	dodgy
dodo	डोडो
doe	doe
doer	दियो
dog	कुकुर
dogface	dogface
dogged	कुकुर
doggy	कुत्ता
doghouse	कुकुर
dogma	कुकुर
dogmatic	dogmatic
dogsick	NO TRANSLATION
doings	काम
doit	NO TRANSLATION
dojo	Dojo
doldrums	घडीहरू
dole	डोल
doll	गुडिया
dollar	डलर
dollhouse	गुडहाउस
dolor	NO TRANSLATION
dolphin	डल्फिन
domain	डोमेन
dome	गुमनाम
domestic	घरेलू
domesticated	घरेलू
domestication	घरेलूकरण
domicile	domicile
domiciled	विचलित
dominance	प्रभुत्व
dominant	dominant
dominate	हावी
dominating	हावी
domination	प्रभुत्व
dominatrix	dominatrix
dominion	प्रभुत्व
domino	डोमिनो
don	don
donate	दान गर्नुहोस्
donation	दान
donkey	गधा
donor	donor
dontlikeyou	NO TRANSLATION
dontmess	NO TRANSLATION
dontmesswithme	dontmesswithme
dontpanic	डन्टैपिक
dontunderstand	NO TRANSLATION
doodle	डूडल
doom	कयामत
doomed	विनाश
doomsday	दिनदिनै
door	ढोका
doorbell	ढोका
doorknob	Doorknob
doorman	ढोका
doormat	Doormat
doornail	Doornail
doorstep	ढोका
doorway	ढोका
dopamine	dopamine
dope	डोप
dopey	dopey
dork	डर्क
dorky	dorky
dorm	छाला
dormant	dormant
dormitory	dormitory
dorsal	पृष्ठीय
dosage	खुराक
dose	खुराक
dossier	डिसिएर
dot	डट
doting	doting
dotted	dotted
dotty	dotty
double	डबल
doubled	दुबै
doublet	दोहोर्याउनुहोस्
doubling	दोहोरो
doubt	संदेह
doubtful	संदिग्ध
doubting	संदेह
doubtless	असम्भव
doubts	संदेह
douche	डुङ्गा
douchebags	douchebags
dough	आटा
doughboy	doughboy
doughnut	डोनट
dour	डोर
douse	घाइते
dove	ढोका
down	तल
downcast	downcast
downer	downer
downfall	झण्डा
downfield	downfield
downhearted	बिस्तृत
downhill	downhill
download	डाउनलोड
downpour	downpour
downright	ढोका
downriver	डाउनरिभर
downside	downside
downtime	डाउनटाइम
downward	तलतिर
downy	downy
dowry	दहेज
doze	ढोका
dozen	दर्जन
drab	drab
draft	ड्राफ्ट
drafty	ड्राफ्ट
drag	तान्नुहोस्
dragon	ड्रैगन
dragonfly	dragonfly
drain	नाली
drainage	जल निकासी
drained	घटेको छ
draining	draining
drainpipe	drainpipe
drake	ड्रैक
drama	नाटक
dramaqueen	NO TRANSLATION
dramatic	नाटकीय
drape	drape
drapery	डराएर
drastic	कठोर
drat	NO TRANSLATION
draught	ड्राफ्ट
draw	आकर्षित गर्नुहोस्
drawback	फिर्ता
drawbridge	ड्रग्रिज
drawer	दराज
drawers	दराज
