Word	zh-TW
druggist	藥劑師
drugs	毒品
drugstore	藥店
druid	德魯伊
drum	鼓
drummer	鼓手
drumming	鼓聲
drunk	醉
drunk driving	酒後駕車
drunkard	酒鬼
drunken	醉
drunkenness	酒醉
dry	幹
dryer	烘乾機
dryness	乾燥
dual	雙
dualism	二元論
duality	二元性
dub	配音
dubious	可疑
duchess	公爵夫人
duck	鴨
ducking	迴避
duckling	小鴨
ducky	鴨子
duct	管
ductile	韌性
dud	無用的人
dude	花花公子
duds	服飾
due	應有
duel	決鬥
dues	稅
duet	雙人
duffel	一種粗呢
dugout	獨木舟
duh	咄
duke	公爵
dull	平淡
dullard	笨蛋
dumb	啞
dumbasses	dumbasses
dumbbell	啞鈴
dumbbitch	NO TRANSLATION
dumfound	dumfound
dumfounder	NO TRANSLATION
dummy	假
dump	傾倒
dumpling	餃
dumps	轉儲
dumpster	垃圾箱
dun	逼債
dunce	蠢貨
dune	沙丘
dung	NO TRANSLATION
dungeon	地牢
dunk	泡
duo	二人
dupe	欺騙
duplex	雙工
duplicate	重複
duplication	複製
duplicity	表裡不一
durability	耐久力
durable	耐用
duration	持續時間
duress	脅迫
dusk	黃昏
dusky	昏暗
dust	灰塵
duster	撣
dustpan	簸箕
dusty	塵土飛揚
dutiful	忠實的
duty	義務
dwarf	矮人
dwarfed	所繪
dweeb	呆子
dwell	住
dweller	居住者
dwelling	住宅
dye	染料
dying	垂死
dyke	堤防
dynamic	動態
dynamical	動力
dynamics	動力學
dynamite	炸藥
dynamo	發電機
dynasty	王朝
dysentery	痢
dysfunction	功能障礙
dysfunctional	功能失調
dyspepsia	消化不良
eager	急於
eagerness	熱心
eagle	鷹
ear	耳
earful	大發牢騷
earl	伯爵
earlier	前
early	早
earn	賺
earnest	認真
earnestly	切實
earnestness	語重心長
earnings	收益
earpiece	聽筒
earring	耳環
earrings	耳環
earshot	聽不到
earth	地球
earthenware	陶器
earthling	世人
earthly	俗世的
earthquake	地震
earthy	泥土的
ease	緩解
easel	畫架
easement	緩和
easily	容易
east	東
eastbound	東行
eastern	東
easy	簡單
easygoing	隨和
eat	吃
eater	吃
eating	吃
eatingdisorders	NO TRANSLATION
eavesdrop	竊聽
eavesdropping	竊聽
ebb	落潮
ebony	烏木
ebullient	熱情洋溢
eccentric	偏心
eccentricity	怪癖
ecclesiastical	教會
echelon	梯隊
echinacea	松果
echo	迴聲
eclectic	不拘一格
eclipse	蝕
ecliptic	黃道
ecological	生態
economic	經濟
economical	經濟
economics	經濟學
economy	經濟
ecosystem	生態系統
ecstasy	狂喜
ecstatic	欣喜若狂
ecumenical	大公
eddy	渦流
edema	浮腫
edge	邊緣
edging	邊緣
edgy	前衛
edible	食用
edict	法令
edification	熏陶
edifice	大廈
edit	編輯
editing	編輯
edition	版
editor	編輯
editorial	社論
educate	教育
educated	博學
education	教育
educational	教育性
educator	教育家
eeeek	NO TRANSLATION
eeek	NO TRANSLATION
eek	伊克
eel	鰻魚
eerie	怪異
effect	影響
effective	有效
effectiveness	效用
effects	效果
effectual	有效的
effectually	有效地
effectuate	招致
effeminate	柔弱的
efficacious	有效的
efficacy	功效
efficiency	效率
efficient	高效
effigy	肖像
effort	功夫
effortless	毫不費力
effusion	積液
effyou	NO TRANSLATION
egg	蛋
egghead	理論家
eggnog	蛋酒
eggplant	茄子
eggshell	蛋殼
ego	自我
egomaniac	自大狂
egotistical	自負
egregious	過分的
egress	出口
eight	八
eighteen	十八
eighth	第八
eighty	八十
ejaculate	射出
ejaculation	射精
eject	噴射
ejection	噴出
elaborate	闡述
elaboration	闡述
elan	NO TRANSLATION
elapse	過去
elapsed	過去
elastic	彈
elasticity	彈性
elated	高昂
elation	高昂
elbow	彎頭
eld	高齡
elder	長老
elderly	老年
elders	長老
eldest	最年長
elect	選
election	選舉
elective	選修
elector	選民
electoral	選
electorate	選民
electric	電動
electric slide	電動滑梯
electrical	電動
electrician	電工
electricity	電力
electrify	通電
electrocute	觸電
electrocution	電刑
electromagnetic	電磁
electron	電子
electronic	電子
electronics	電子產品
elegance	優雅
elegant	優雅
element	元件
elemental	元素
elementary	初級
elements	分子
elephant	象
elevate	提升
elevated	提高的
elevation	海拔
elevator	電梯
eleven	十一
eleventh	第十一
elf	小精靈
elicit	引出
eligible	合格
eliminate	消除
elimination	消除
elite	原種
elitist	精英
elixir	酏
elk	麋鹿
ell	埃爾
ellipse	橢圓
ellipsis	省略
ellipsoid	橢球
elliptic	橢圓的
elliptical	橢圓的
elm	榆樹
elongate	拉長
elongation	伸長
elope	私奔
eloquence	口才
eloquent	雄辯
elucidate	闡發
elucidation	澄清
elude	躲避
elusive	難以捉摸
emaciated	瘦弱
email	電子郵件
emanate	發出
emancipation	解放
embankment	堤
embargo	NO TRANSLATION
embark	從事
embarrass	阻礙
embarrassed	尷尬
embarrassing	尷尬
embarrassment	困窘
embassy	大使館
embattled	四面楚歌
embed	嵌
embellish	潤
embellishment	點綴
embers	餘燼
embezzlement	侵占
embezzler	貪污分子
emblem	徽
emblematic	象徵
embodiment	實施例
embolism	栓塞
embossed	壓花
embrace	擁抱
embroidered	繡花
embroidery	刺繡
embroiled	捲入
embryo	胎
embryonic	胚胎
emcee	司儀
emerald	翠
emerge	出現
emergence	緊急情況
emergency	急
emeritus	退休
emery	砂
emetophobia	emetophobia
emigrate	移民
emigration	移民
eminence	隆起
eminent	傑出
eminently	突出地
emir	NO TRANSLATION
emissary	使者
emission	排放
emit	發射
emo	EMO
emotion	情感
emotional	情緒化
emotive	感情的
empathic	感情移入的
empathize	同情
empathy	同情
emperor	皇帝
emphasis	重點
emphasize	注重
emphatic	語調強的
emphysema	氣腫
empire	帝國
empirical	經驗
empiricism	經驗主義
employ	採用
employee	僱員
employer	雇主
employment	僱用
emporium	商場
empower	授權
empress	皇后
emptiness	空虛
emption	優先購買權
empty	空
emu	鴯
emulate	仿真
emulsion	乳膠
enable	啟用
enablement	啟用
enact	制定
enactment	設定
enamel	搪瓷
encampment	紮營
enchant	蠱惑
enchanted	入迷
enchanting	妖嬈
enchantment	魅力
enchantress	女巫
enchilada	安吉拉卷
encircle	包圍
encircling	包圍
enclave	飛地
enclose	括
enclosure	附件
encode	編碼
encomiastic	NO TRANSLATION
encomium	encomium
encompass	環繞
encore	NO TRANSLATION
encounter	遭遇
encourage	鼓勵
encouraged	鼓勵
encouragement	鼓勵
encouraging	鼓舞人心的
encroach	侵犯
encroachment	侵犯
encrypt	加密
encryption	加密
encumbrance	累贅
encyclopedia	百科全書
end	結束
end table	茶几
endanger	危害
endangered	瀕危
endangerment	危害
endearing	優勝
endeavor	努力
ended	結束
endemic	流行
endgame	結束遊戲
ending	結尾
endless	無窮
endocarditis	心內膜炎
endorse	擁護
endorsement	背書
endow	賦予
endowed	天賦
endowment	天賦
endpapers	扉頁
endpoint	端點
endurance	耐力
endure	忍受
enduring	持久
enema	灌腸劑
enemy	敵人
energetic	有活力
energize	通電
energy	能源
enforce	執行
enforcement	強制
enforcer	實施者
engage	從事
engaged	訂婚
engagement	訂婚
engaging	卡
engender	產生
engine	發動機
engineer	工程師
engineering	工程
engrave	雕刻
engraved	刻
engraver	雕刻機
engraving	雕刻
engrossed	全神貫注
engrossing	引人入勝
engulf	吞噬
enhance	提高
enhancement	增強
enigma	謎
enigmatic	神秘
enjoin	責成
enjoy	請享用
enjoyable	其樂融融
enjoying	享受
enjoyment	享受
enlarge	放大
enlarged	放大
enlargement	放大
enlighten	開導
enlightened	開明
enlightening	啟發
enlightenment	啟示
enlist	招募
enliven	活躍
enmity	敵意
ennui	無聊
enormity	艱鉅
enormous	巨大
enormously	巨大
enraged	生氣
enrich	豐富
enroll	註冊
enrollment	註冊
ensemble	合奏
ensign	軍旗
enslave	奴役
enslaved	奴役
enslavement	奴役
ensue	接踵而至
ensure	確保
entail	意味著
entangled	糾纏
entanglement	糾葛
enter	輸入
enterprise	企業
enterprising	進取
entertain	招待
entertained	封盤
entertainer	藝人
entertaining	娛樂
entertainment	娛樂
enthralled	如醉如痴
enthusiasm	熱情
enthusiast	愛好者
enthusiastic	熱情
entice	誘惑
entire	整個
entirety	整體
entitle	有權
entity	實體
entomology	昆蟲學
entourage	隨行人員
entrails	腑臟
entrance	入口
entrapment	滯留
entreat	懇求
entree	主菜
entrepreneur	企業家
entrust	委託
entry	條目
enumerate	枚舉
enumeration	列舉
envelope	信封
envious	羨慕
environ	NO TRANSLATION
environment	環境
environmental	環境的
environs	周圍
envision	預見
envoy	使者
envy	羨慕
enzyme	酶
ephemeral	短暫的
ephemeris	歷書
epic	史詩
epidemic	疫情
epidermis	表皮
epidural	硬膜外
epilepsy	癲癇
epileptic	癲癇
epilogue	結語
epiphany	頓悟
episcopal	主教
episode	插曲
episodic	情節
epistle	書信
epitaph	墓誌銘
epithet	稱號
epitome	縮影
epoch	時代
equal	等於
equality	平等
equalization	均衡
equalize	均衡
equalizer	均衡器
equally	一樣
equate	等同
equation	方程
equator	赤道
equatorial	赤道
equestrian	騎馬的
equidistant	等距離
equilibration	平衡
equilibrium	平衡
equip	裝備
equipment	設備
equitable	公平
equity	公平
equivalence	等價
equivalent	當量
equivocal	曖昧
era	時代
eradicate	根除
eradication	根除
erase	抹去
eraser	橡皮
erasure	擦除
ere	NO TRANSLATION
erect	直立
erectile	勃起
erection	勃起
ergo	NO TRANSLATION
erode	侵蝕
erosion	侵蝕
erotic	好色之徒
erotica	黃色書刊
err	呃
errand	使命
errant	對不按
erratic	不穩定的
erratum	誤排
erroneous	錯誤
error	錯誤
erst	NO TRANSLATION
erudite	博學
erupt	爆發
eruption	噴發
escalade	凱雷德
escalate	升級
escalating	不斷升級
escalation	升級
escalator	自動樓梯
escape	逃逸
escaped	逃脫
escarpment	斷崖
eschew	避
escort	護送
escrow	第三方託管
esophagus	食管
esoteric	深奧
especial	NO TRANSLATION
espionage	間諜
espouse	擁護
espresso	濃咖啡
esprit	ESPRIT
esquire	男性尊稱
essay	文章
essayist	散文家
essence	本質
essential	必要
essentially	實質上
establish	建立
established	既定
establishment	編制
estate	房地產
esteem	尊重
esteemed	尊敬
esthetic	審美的
estimable	難能可貴
estimate	估計
estimation	估計
estoppel	禁止反言
estranged	疏遠
estrogen	雌激素
estuary	河口
etch	蝕刻
etching	蝕刻
eternal	永恆
eternity	永恆
ethanol	乙醇
ether	醚
ethereal	空靈
ethic	倫理
ethical	合乎道德的
ethics	倫理
ethnic	民族
ethnography	民族志
etiology	病因
etiquette	禮儀
etymology	詞源
eucalyptus	桉樹
euchre	尤卡樸克
eugenics	優生學
eulogistic	歌功頌德
eulogium	eulogium
eulogize	謳歌
eulogy	頌
euphemism	婉辭
euphoria	欣快症
euphoric	欣快
euro	歐元
euthanasia	安樂死
evacuate	撤離
evacuation	疏散
evade	逃避
evaluate	評估
evaluation	評測
evanescence	伊凡塞斯
evangelical	福音
evangelist	傳道
evangelistic	福音書作者的
evaporate	蒸發
evaporation	蒸發
evasion	逃避
evasive	逃避的
eve	前夕
evening	晚間
evens	NO TRANSLATION
event	事件
eventful	多事
eventual	最終
eventuality	可能性
evergreen	常綠
everlasting	永恆的
evermore	永
everyday	每天
everyman	每個人
evict	趕出
eviction	趕出
evidence	證據
evident	明顯
evidentiary	證據
evil	邪惡
evoke	喚起
evolution	演化
evolutionary	發展的
evolve	發展
ewe	母羊
ex	前
exacerbate	加劇
exacerbation	惡化
exact	精確
exacting	嚴格
exaggerate	誇大
exaggerated	誇張的
exaggeration	誇張
exalt	捧
exaltation	提高
exalted	崇高的
exam	考試
examination	檢查
examine	檢查
examiner	檢查員
example	例
exasperated	激怒
exasperation	惱怒
excavate	挖掘
excavation	挖掘
excavator	挖掘機
exceed	超過
exceeding	超額
excel	高強
excellence	卓越
excellent	優秀
excelsior	精益求精
excepting	除外
exception	例外
exceptional	優秀
excerpt	摘抄
excess	過量
excessive	過多
excessively	過分地
exchange	交換
excise	摘除
excision	切除
excitability	刺激性
excitable	興奮
excitation	勵磁
excite	激發
excited	興奮
excitement	激動
exciting	扣人心弦
exclaim	喊叫
exclamation	感嘆
exclude	排除
excluded	排除
excluding	排除
exclusion	排除
exclusive	獨家
excrement	糞便
excretion	排泄
excruciating	痛苦
excursion	短途旅行
excuse	藉口
exec	EXEC
execute	執行
execution	執行
executioner	劊子手
executive	行政人員
executor	執行者
exegesis	註釋
exemplar	模範
exemplary	示範
exemplify	例證
exempt	豁免
exemption	豁免
exercise	行使
exert	發揮
exertion	用力
exhale	呼
exhaust	排氣
exhausted	累
exhaustion	衰竭
exhaustive	詳細
exhibit	展示
exhibition	展覽
exhilarated	興奮
exhilarating	令人振奮
exhilaration	不亦樂乎
exhort	勸告
exhortation	講道
exhumation	發掘
exhume	發掘
exigent	NO TRANSLATION
exile	流亡
exist	存在
existence	存在
existent	存在
existential	存在
existing	現有
exit	出口
exodus	出埃及記
exonerate	開脫
exorbitant	高昂
exorcism	驅魔
exorcist	祓魔師
exotic	異國情調
expand	擴大
expanded	擴大
expanse	廣闊
expansion	擴張
expansive	廣闊
expatriate	外籍
expect	期望
expectance	期待
expectancy	期待
expectant	期待
expectation	期望
expected	預期
expecting	期待
expediency	便利
expedient	權宜
expedite	促進
expedition	遠征
expeditious	迅速
expel	驅逐
expendable	消耗
expenditure	支出
expense	費用
expenses	花費
expensive	昂貴
experience	經驗
experienced	有經驗的
experiences	經驗
experiment	實驗
experimental	試驗
experimentation	實驗
experimenter	實驗者
expert	專家
expertise	專門知識
expiration	呼氣
expire	到期
expired	過期
expiry	到期
explain	說明
explanation	說明
explanatory	解釋性
expletive	髒話
explication	解釋
explicit	明確的
explode	爆炸
exploit	利用
exploitation	開發
exploration	勘探
exploratory	探索
explore	探索
explorer	探險者
explosion	爆炸
explosions	爆炸
explosive	爆炸物
expo	博覽會
exponent	指數
exponential	指數
export	出口
exportation	出口
expose	暴露
exposed	裸露
exposition	解釋
expository	說明文
exposure	曝光
expound	闡述
express	表現
expression	表達
expressive	表現的
expressway	高速公路
expropriation	徵用
expulsion	開除
exquisite	精美
exquisitely	玲瓏
extant	現存
extend	延伸
extendable	擴展
extended	擴展
extension	延期
extensive	廣泛
extent	程度
exterior	外觀
exterminate	殄
extermination	滅絕
exterminator	滅蟲
external	外部
externally	外部
extinct	絕種
extinction	滅絕
extinguish	撲滅
extinguisher	滅火器
extol	稱賞
extort	勒索
extortion	敲詐
extra	額外
extract	提取
extracting	提取
extraction	萃取
extractor	抽出器
extracurricular	課外
extradition	引渡
extrajudicial	法外處決
extramural	校外
extraneous	外來
extraordinaire	非凡
extraordinary	非凡
extraterrestrial	外星人
extravagance	揮霍無度
extravagant	靡
extravaganza	大匯演
extreme	極端
extreme anticipation	極端的期待
extreme disgust	極度厭惡
extreme surprise	極度驚喜
extreme trust	極端的信任
extremely	非常
extremely negative	非常消極
extremely positive	非常積極
extremity	末端
extricate	解脫
extrinsic	外在
extrusion	擠壓
exuberance	豐富
exude	散發出
eye	眼
eyeball	眼球
eyebrow	眉
eyeful	滿眼
eyeglass	眼鏡
eyeglasses	眼鏡
eyelash	睫毛
eyelet	孔
eyeliner	眼線
eyepiece	目鏡
eyes	眼睛
eyesight	眼力
eyewitness	目擊者
fab	FAB
fable	寓言
fabled	傳說
fabric	布
fabricate	製造
fabricated	製造
fabrication	製造
fabulous	極好
facade	正面
face	面對
faceless	不露面
facet	面
facial	面部
facile	NO TRANSLATION
facilitate	促進
facility	設施
facing	面對
facsimile	傳真
fact	事實
faction	派
factor	因子
factory	廠
facts	事實
factual	事實
faculties	各系
faculty	學院
fad	時尚
fade	褪色
faded	褪色
faeces	大便
fag	FAG
faggot	柴草
fail	失敗
failing	失敗
failure	失敗
fain	NO TRANSLATION
faint	暈
fainting	昏暈
fair	公平
fairly	相當
fairness	公平
fairway	球道
fairy	仙女
faith	信仰
faithful	可信
faithfulness	忠誠
faithless	移情別戀
fake	假
faker	騙子
falafel	沙拉三明治
falcon	鶻
fall	秋季
fallacious	錯誤的
fallacy	謬論
fallback	倒退
fallible	易錯的
falling	落下
fallopian	輸卵管
fallout	掉出來
fallow	休耕
false	假
falsehood	謬誤
falsely	假
falsification	偽造
falsified	偽造
falsify	偽造
falsity	謊言
falter	衰退
fame	名譽
famed	著名
familiar	熟
familiarity	熟悉
familiarize	熟悉
family	家庭
familytime	家人在一起的時間
famine	飢荒
famished	餒
famous	著名
famously	著名
fan	風扇
fanatic	狂熱的
fanatical	狂熱的
fanaticism	狂熱
fanciful	撒嬌的
fancy	幻想
fandango	凡丹戈
fanfare	大張旗鼓
fang	NO TRANSLATION
fangs	獠牙
fanning	范甯
fantasia	幻想曲
fantasize	夢想
fantastic	奇妙
fantasy	幻想
faraway	遠處
farce	鬧劇
farcical	滑稽的
fare	票價
farewell	告別
farm	農場
farmer	農民
farmhouse	農家
farming	農業
farmland	農田
faro	法魯
fart	屁
farther	更遠
fascia	招牌
fascinate	吸引
fascinated	入迷
fascinating	迷人
fascination	魅力
fascism	法西斯主義
fascist	法西斯
fashion	時尚
fashionable	時髦
fastball	快球
fasten	系
fastener	緊固件
fastening	緊固
fasting	禁食
fat	脂肪
fatal	致命
fatalism	宿命論
fatality	病死率
fate	命運
fated	命運多舛
fateful	決定命運
fathead	黑頭
father	父親
fatherhood	父親
fatherland	祖國
fatherly	父愛
fathom	捉摸
fatigue	疲勞
fatigued	疲勞
fatso	胖子
fatten	催肥
fatty	脂肪
faucet	龍頭
fault	故障
faultless	完美
faulty	不完善的
faun	福恩
fauna	動物區系
faux	人造
favor	偏愛
favorable	有利
favorite	喜愛
favoriteholiday	NO TRANSLATION
favoritism	偏愛
fawn	討好
fax	傳真
faze	NO TRANSLATION
fear	恐懼
feared	害怕
fearful	可怕
fearfully	可怕
fearing	擔心
fearless	不怕
fears	恐懼
fearsome	可怕的
feasibility	可行性
feasible	可行
feast	盛宴
feat	功績
feather	羽毛
feathered	羽毛
feature	特徵
features	特徵
febrile	發熱
fecal	糞便
feces	屎
fecundity	肥沃
fed	美聯儲
federal	聯邦
federation	聯邦
fedup	受夠了
fee	費用
feeble	微弱
feed	飼料
feedback	反饋
feeder	給料機
feel	感覺
feelgood	感覺不錯
feeling	感覺
feelingdown	NO TRANSLATION
feelinggood	NO TRANSLATION
feet	腳
feign	假裝
feigned	假裝
feisty	易怒的
felicity	祺
feline	貓的
fell	下跌
feller	漢子
fellow	同伴
fellowship	獎學金
felon	重犯
felony	重罪
felt	氈
female	女
feminine	女人
femininity	女人味
feminism	女權主義
feminist	女權主義者
femme	NO TRANSLATION
femoral	股
femur	股骨
fen	NO TRANSLATION
fence	籬笆
fenced	圍欄
fencing	擊劍
fend	擋開
fender	擋泥板
fennel	茴香
ferment	發酵
fermentation	發酵
fern	蕨類
ferocious	兇猛
ferocity	惡
ferret	鼬
ferry	渡船
ferryboat	NO TRANSLATION
fertile	沃
fertility	生育能力
fertilize	施肥
fertilizer	肥料
fervent	熱切
fervor	熱情
fess	FESS
fest	巨星
festival	節
festive	歡樂的
fetal	胎
fetch	取
fete	NO TRANSLATION
fetish	物神
fetus	胎兒
feud	世仇
feudal	封建
feudalism	封建
fever	發熱
feverish	發燒的
fiancee	NO TRANSLATION
fiasco	慘敗
fiat	菲亞特
fib	FIB
fiber	纖維
fiberglass	玻璃纖維
fibrosis	纖維化
fibrous	纖維
fickle	薄情
fiction	小說
fictional	虛構
fictitious	虛擬
fiddle	小提琴
fiddler	小提琴手
fidelity	保真度
fidgety	手忙腳亂的
fiduciary	信託的
field	領域
field hockey	曲棍球
fielder	外野手
fiend	惡魔
fiendish	魔王
fierce	激烈
fiery	火熱
fiesta	節日
fiesty	NO TRANSLATION
fifteen	十五
fifty	五十
fig	圖
fight	鬥爭
fighter	戰鬥機
fighting	戰鬥
fights	打架
figment	虛構
figurative	比喻
figure	數字
figurine	塑像
filament	燈絲
filamentous	絲狀
file	文件
filet	內圓角
filibuster	阻撓議事
filigree	掐絲
filing	備案
filings	申請
fill	填
filler	填料
fillet	魚片
filling	填充
filly	菲伊
film	電影
filmmaker	電影製片人
filmy	NO TRANSLATION
filter	過濾
filth	污垢
filthy	污穢
filtration	過濾
fin	NO TRANSLATION
final	最後
finale	壓軸
finalist	決賽
finality	終局
finalize	敲定
finalized	敲定
finally	最後
finance	金融
financial	金融
financier	金融家
finch	雀
find	找
finder	發現者
finding	發現
fine	精細
finery	服飾
finesse	靈巧
finger	手指
fingernail	指甲
fingerprint	指紋
fingerscrossed	NO TRANSLATION
finish	完
finished	完
finite	有限
fink	芬克
fir	冷杉
fire	火
firearm	火器
firearms	槍支
fireball	火球
firecracker	鞭炮
firefight	交火
firefighter	消防隊員
firefly	螢火蟲
firehouse	消防站
firelight	火光
fireman	消防隊員
fireplace	壁爐
firepower	火力
fireproof	防火
fireside	爐邊
firestorm	風暴
firewall	火牆
firewood	柴
firework	焰火
fireworks	煙花
firing	射擊
firm	公司
firmament	蒼穹
firmly	牢牢
firmness	堅固性
first	第一
firstborn	長女
firstworldprobs	NO TRANSLATION
fiscal	財
fish	魚
fisherman	漁
fishery	漁業
fishing	釣魚
fishing boat	漁船
fishy	腥
fissile	裂變
fission	分裂
fissure	裂縫
fist	拳頭
fistfight	拳戰
fistful	一把
fistula	瘺
fit	適合
fitness	身體素質
fits	適合
fitted	裝
fitting	配件
fittings	配件
five	五
fiver	五元美鈔
fix	固定
fixable	可以解決
fixation	固定術
fixed	固定
fixer	定影液
fixture	夾具
fixtures	燈具
fizz	嘶
fjord	峽灣
flabbergast	驚奇
flabbergasted	嚇壞的
flabby	鬆弛
flaccid	鬆弛
flag	旗
flagging	標記
flagpole	旗桿
flagrant	明目張膽
flagship	旗艦
flagstaff	弗拉格斯塔夫
flair	風騷
flak	高射砲
flake	薄片
flaky	片狀
flamboyant	龍飛鳳舞
flame	火焰
flamethrower	噴火器
flaming	熾盛
flamingo	火烈鳥
flammable	易燃的
flan	水果餡餅
flange	輪緣
flank	側翼
flanked	兩側
flanking	側翼
flannel	絨布
flap	拍打
flapping	撲
flare	閃光
flares	喇叭褲
flaring	燃燒
flash	閃
flashback	倒敘
flashing	閃爍
flashlight	手電筒
flashy	華而不實
flask	燒瓶
flat	平面
flatbed	平板
flatfoot	扁平足
flatness	平整度
flatten	弄平
flatter	奉承
flattered	受寵若驚
flattering	諂媚的
flattery	阿諛
flatulence	脹氣
flaunt	標榜
flavor	味道
flaw	缺陷
flawed	有缺陷
flawless	完美無瑕
flea	跳蚤
fleabag	fleabag
fled	逃離
flee	逃跑
fleece	羊毛
fleet	艦隊
fleeting	流年
flesh	肉
fleshy	豐滿
flex	柔性
flexibility	靈活性
flexible	靈活
flexin	flexin
flexion	屈曲
flick	拂去
flicker	閃爍
flickering	閃爍
flier	傳單
flight	飛行
flighty	輕浮
flimsy	單薄
flinch	退縮
fling	一扔
flint	燧石
flip	翻動
flip flop	拖鞋
flipper	腳蹼
flipping	翻轉
flirt	調情
flirtation	調情
flirting	調情
flirty	賣俏的
float	浮動
floater	浮子
flock	群
flog	鞭打
flood	洪水
floor	地板
flooring	地板
floozy	floozy
flop	拍擊聲
floppy	軟盤
flora	植物群
floral	花的
florist	花商
floss	綿
flotation	浮選
flounder	比目魚
flour	麵粉
flourish	繁榮
flow	流
flower	花
flowering	開花
flowers	花卉
flowery	如花
flows	流動
flu	流感
fluctuate	波動
fluctuating	波動
fluctuation	波動
flue	煙道
fluency	流暢
fluent	流利
fluff	起毛
fluffy	蓬鬆
fluid	流體
fluidity	流動性
fluke	吸蟲
flunk	垮台
flunky	奴才
fluorescence	熒光
fluorescent	熒
flurries	飄雪
flurry	慌張
flush	紅暈
flustered	慌
flute	長笛
fluted	凹槽
flutter	撲
fluvial	河流
flux	通量
fly	飛
flyboy	flyboy
flyer	傳單
flying	飛行
flywheel	飛輪
foal	駒
foam	泡沫
foaming	發泡
foamy	泡沫的
fob	FOB
focal	焦
focus	焦點
fodder	飼料
foe	敵人
fog	多霧路段
foggy	有霧
foil	挫敗
foiled	挫敗
fold	折
folded	折疊
folder	夾
foliage	葉子
folio	對開
folk	民間
folklore	民俗學
follicle	毛囊
follicular	濾泡
follow	跟隨
follower	信徒
folly	蠢事
fond	喜歡
fondle	挲
fondling	愛撫
fondness	癖好
fondue	火鍋
font	字形
food	餐飲
foodie	美食家
fool	傻子
fooled	上當
foolhardy	蠻幹
fooling	嘴硬
foolish	傻
foolishness	愚蠢
foolproof	簡單的
foot	腳丫子
foot stool	腳凳
footage	鏡頭
football	足球
footbridge	人行天橋
foothold	立足之地
footing	立足點
footlocker	提箱
footloose	自由自在
footpath	蹊
footprint	腳印
footwear	鞋類
footwork	步法
fop	紈褲子弟
forage	飼料
foray	突襲
forbearance	忍
forbid	禁止
forbidding	森嚴
force	力
forced	被迫
forceful	有力
forceps	鉗子
forces	軍隊
forcibly	強制
ford	涉
fore	前面
forearm	前臂
foreboding	預感
forecast	預測
forecaster	預報
foreclose	取消抵押品贖回權
foreclosure	喪失抵押品贖回權
forefathers	祖先
forefinger	食指
forefront	第一線
forego	放棄
foregoing	前面的
foregone	已成
foreground	前景
forehead	前額
foreign	國外
foreigner	外國人
foreman	領班
foremost	最重要的是
forensic	法庭的
forensics	取證
foreplay	前戲
forerunner	先行者
foresee	預料
foreseen	預見
foresight	先見之明
forest	森林
forestall	壟斷
forethought	深謀遠慮
foreveralone	永遠的孤獨
forevermore	永遠
forewarned	凡事預
foreword	前言
forfeit	喪失
forfeited	沒收
forfeiture	沒收
forge	鍛造
forger	鍛工
forgery	偽造品
forget	忘記
forgetful	健忘
forgetfulness	健忘
forgive	原諒
forgiven	原諒
forgiveness	饒恕
forgiving	寬容
forgotten	忘記了
fork	叉子
forked	岔
forking	分叉
forklift	叉車
forlorn	絕望
form	形成
formal	正式
formaldehyde	甲醛
formalism	形式主義
formality	禮節
format	格式
formation	編隊
formative	形成性
formed	形成
formidable	強大
forming	成型
formless	無形
formula	式
formulary	處方
formulate	制定
fornicate	通姦
fornication	亂倫
forsake	背叛
forsaken	離棄
forsooth	當真
fort	堡
forte	NO TRANSLATION
forthcoming	即將到來
forthright	直率的
forthwith	立刻
fortification	築城
fortify	強化
fortitude	堅忍不拔
fortnight	兩星期
fortnightly	半月刊
fortress	堡壘
fortuitous	偶然
fortunate	幸運
fortune	幸運
fortunes	命運
forty	四十
forum	論壇
forward	前鋒
forwarding	轉發
fossil	化石
fossils	化石
foul	犯規
found	發現
foundation	基礎
founder	創辦人
founding	創建
foundry	鑄造廠
fountain	噴泉
four	四
fourfold	四倍
foursome	四人
fourteen	十四
fourth	第四
fowl	雞
fox	狐狸
foxhole	避彈坑
foxtrot	狐步舞
foxy	狡
foyer	門廳
fraction	分數
fractional	部分的
fracture	斷裂
fragile	脆弱
fragility	脆弱性
fragment	分段
fragmentary	殘缺不全
fragrance	香味
fragrant	香
frail	脆弱
frailty	脆弱
frame	幀
framework	骨架
franc	法郎
franchise	專營權
frank	坦率
frankenstorm	NO TRANSLATION
frankness	坦率
frantic	瘋狂的
frantically	瘋狂
frat	兄弟會
fraternal	兄弟
fraternity	兄弟會
fraud	舞弊
fraudulent	騙人的
fraught	誤人子弟
fray	磨損
frayed	磨損
frazzled	疲憊不堪
freak	怪物
freaked	嚇壞
freakedout	NO TRANSLATION
freakingout	NO TRANSLATION
freakish	滑稽可笑的
freakout	嚇壞了
freaky	辣媽
freckle	雀斑
free	自由
freebie	贈品
freedom	自由
freehold	自由持有
freelance	自由職業者
freelancer	自由職業者
freely	自如
freeman	弗里曼
freestyle	自由泳
freeway	高速公路
freeze	凍結
freezer	冰箱
freezing	冷凍
freight	貨物
freighter	貨輪
french horn	法國號​​角
frenetic	狂熱的
frenzied	喪心病狂
frenzy	發狂
frequency	頻率
frequent	頻繁
frequently	經常
fresco	壁畫
fresh	新鮮
