Word	sk
clavicle	kľúčna kosť
claw	pazúr
claws	pazúry
clay	hlina
clean	čistý
cleaner	čistič
cleaning	čistenie
cleanliness	čistota
cleanly	čisto
cleanse	očistiť
cleanser	čistiace
cleansing	čistiace
cleanup	vyčistiť
clear	jasný
clearance	odbavenie
clearing	clearing
clearness	priezračnosť
cleat	zaklínit
cleavage	štěpnost
cleave	rozštiepiť
cleaver	NO TRANSLATION
clef	kľúč
cleft	rázštep
clemency	zhovievavosť
clench	zovrieť
clergy	duchovenstvo
clergyman	duchovný
cleric	duchovenský
clerical	kňazský
clerk	úradník
clerkship	stáž
clever	šikovný
cleverness	chytrosť
click	cvaknutie
clicker	clicker
client	zákazník
clientele	klientela
cliff	útes
climate	podnebie
climatology	klimatológia
climax	vyvrcholenie
climb	šplhať
climber	horolezec
clinch	skoba
cling	lipnúť
clingy	priľnavý
clinic	POLIKLINIKA
clinical	klinický
clink	kriminál
clip	klip
clipboard	clipboard
clipper	lietadlo
clipping	výstrižok
clique	NO TRANSLATION
clitoris	klitoris
cloak	plášť
cloaking	maskovanie
cloakroom	šatňa
clobber	handry
clock	hodiny
clockwork	strojček
clod	hruda
clog	drevák
cloister	kláštor
clone	clone
cloning	klonovanie
close	Zavrieť
closed	ZATVORENÉ
closeness	blízkosť
closet	skriňa
closure	uzavretie
clot	chuchvalec
cloth	plátno
clothe	obliecť
clothes	oblečenie
clothesline	bielizeň
clothing	odevy
cloud	mrak
clouded	stiahnutý
cloudiness	oblačnosť
clouds	mraky
cloudy	zakalený
clout	pohlavok
clove	klinček
clover	ďatelina
cloves	klinček
clown	klaun
clowns	klauni
club	klub
clubhouse	klubovňa
clubs	kríža
cluck	kotkodákať
clue	vodítko
clueless	bezradný
clump	chumáč
clumsy	ťažkopádny
clunk	člnky
cluster	zhluk
clutch	spojka
clutches	pazúry
clutter	zmätok
coach	tréner
coachman	kočiš
coagulation	koagulácia
coal	uhlie
coalesce	splynúť
coalition	koalície
coarse	hrubý
coast	pobrežie
coastal	pobrežné
coaster	tácka
coastline	pobrežná čiara
coat	kabát
coating	povlak
coax	prehovoriť
cobalt	kobalt
cobble	valoun
cobbler	koktail
cobra	kobra
cocaine	kokaín
cock	kohút
cockamamie	cockamamie
cockeyed	nakrivo
cockpit	pilotná kabína
cockroach	šváb
cocksucker	čurák
cocktail	koktail
cocky	nafúkaný
cocoa	kakao
coconut	kokosový orech
cocoon	kokon
cod	treska
code	kód
codeine	kodeín
codex	kódex
codfish	treska
codification	kodifikácia
codify	kodifikovať
coding	kódovanie
coed	Coed
coefficient	koeficient
coerce	donútiť
coercion	donucovania
coercive	donucovacie
coexist	koexistovať
coexistence	koexistencie
coexisting	koexistujúce
coffee	káva
coffee table	konferenčný stolík
coffeehouse	kaviareň
coffeepot	kávovar
coffin	rakva
cog	zub
cogent	presvedčivý
cognac	koňak
cognate	príbuzný
cognition	poznávanie
cognitive	poznávacie
cohabitation	spolužitie
coherence	súdržnosť
coherent	premyslený
cohesion	súdržnosť
cohesive	súdržný
cohort	kohorta
coil	cievka
coiled	stočený
coin	mince
coinage	razba
coincide	zhodovať sa
coincidence	náhoda
coincident	zhodný
coincidental	náhodné
coinciding	zhodujúce
coke	koks
cola	kolesá
cold	chladný
coldly	chladne
coldness	chlad
coldsweat	NO TRANSLATION
coleslaw	kapustový šalát
colic	koľkých
coliseum	koloseum
collaborate	spolupracovať
collaboration	spolupráca
collaborator	spolupracovník
collage	koláž
collagen	kolagén
collapse	kolaps
collar	golier
collarbone	kľúčna kosť
collate	porovnať
collateral	vedľajšej
collation	nákupný
colleague	kolega
collect	zbierať
collected	pokojný
collection	zbierka
collective	kolektívne
collectively	kolektívne
collector	zberateľ
college	koľaj
collegiate	univerzitnú
collide	kolidovať
collie	kólia
collision	Zrážka
collocation	kolokácie
colloquial	hovorový
collusion	tajná dohoda
cologne	kolínska
colon	hrubé črevo
colonel	plukovník
colonial	koloniálnej
colonic	hrubého čreva
colonoscopy	kolonoskopia
colony	kolónie
colophon	tiráž
color	farba
coloration	farbenie
colored	farebný
colorful	pestrý
coloring	sfarbenie
colorless	bezfarebný
colors	farby
colossal	kolosálny
colt	žriebä
columbine	orlíček
column	stĺp
columnar	stĺpovitý
columnist	fejtonista
com	NO TRANSLATION
coma	kóma
comatose	komatózny
comb	hrebeň
combat	boj
combatant	bojovník
combative	bojovný
combination	kombinácie
combinatorial	kombinačné
combine	kombinovať
combined	kombinovaný
combo	combo
combustible	horľavý
combustion	spaľovacie
come	prísť
comeback	vráť sa
comedian	komik
comedy	komédia
comet	kométa
comfort	pohodlie
comfortable	komfortné
comforter	tešiteľ
comforting	povzbudivý
comfy	pohodlný
comic	komický
comical	komický
comics	komiks
coming	príchod
comma	čiarka
command	príkaz
commandant	veliteľ
commandeer	zabrať
commander	veliteľ
commanding	impozantný
commandment	prikázanie
commando	komando
commemorate	pripomenúť
commemoration	spomienková slávnosť
commemorative	pamätné
commence	začať
commend	chváliť
commendable	záslužný
commendation	vyznamenanie
commensurate	úmerný
comment	komentár
commentary	komentár
commentator	komentátor
commerce	obchod
commercial	komerčný
commie	komouši
commissary	komisár
commission	provízie
commissioner	komisár
commit	spáchať
commitment	záväzok
committal	väzba
committed	angažovaný
committee	výbor
commodity	komodita
commodore	komodor
common	obyčajný
commoner	občan
commonly	obyčajne
commonplace	samozrejmosť
commons	prostý ľud
commonwealth	společenstvi
commotion	nepokoj
communal	komunálne
commune	komúna
communicable	zrozumiteľný
communicate	komunikovať
communication	komunikácia
communicative	hovorné
communicator	komunikátor
communion	spoločenstvo
communism	komunizmus
communist	komunistický
community	spoločenstvo
commutation	zámena
commutative	komutatívne
commute	dochádzať
commuter	dochádzajúci
comp	comp
compact	kompaktné
compaction	zhutnenie
compactness	hutnosť
companion	spoločník
companionless	companionless
companionship	spoločnosť
company	spoločnosť
comparable	porovnateľný
comparative	porovnávacie
comparatively	pomerne
compare	porovnať
comparison	porovnanie
compartment	priehradka
compass	kompas
compassion	súcit
compassionate	súcitný
compatibility	kompatibilita
compatible	kompatibilný
compel	prinútiť
compelled	nútený
compelling	neprekonateľný
compendium	kompendium
compensate	kompenzovať
compensation	odškodnenie
compensatory	vyrovnávacie
compete	súťažiť
competence	kompetencie
competency	kompetenčné
competent	kompetentní
competition	súťaž
competitive	konkurencieschopný
competitor	konkurent
compilation	zostavenie
compile	zostaviť
complacency	uspokojenie
complacent	spokojný
complain	sťažovať si
complaint	sťažnosť
complement	doplnok
complementary	komplementárne
complete	kompletné
completed	dokončený
completely	úplne
completeness	úplnosť
completing	absolvovaní
completion	absolvovaní
complex	komplexné
complexed	do komplexu
complexion	pleť
complexity	zložitosť
compliance	dodržiavanie
compliant	poddajný
complicate	skomplikovať
complicated	komplikovaný
complication	komplikácie
complicity	spoluvina
compliment	NO TRANSLATION
complimentary	bezplatný
comply	vyhovieť
complying	spĺňajúce
compo	Compo
component	komponentov
compose	komponovať
composed	pokojný
composer	skladateľ
composite	zložený
composition	zloženie
compost	kompost
composure	vyrovnanosť
compound	zlúčenina
comprehend	chápať
comprehension	chápanie
comprehensive	obsiahly
compress	komprimovať
compressed	stlačený
compressible	stlačiteľný
compression	kompresia
compressor	kompresor
comprise	obsahovať
compromise	kompromis
comptroller	kontrolór
compulsion	nutkanie
compulsive	nutkavý
compulsory	povinný
computable	vypočítateľný
computation	výpočtovej
compute	vypočítať
computer	počítačový
computerized	počítačový
computing	výpočtovej
comrade	súdruh
con	NO TRANSLATION
concatenation	zreťazenie
concave	konkávne
conceal	skrývať
concealed	skrytá
concealment	zatajenie
concede	pripustiť
conceit	domýšľavosť
conceited	domýšľavý
conceivable	mysliteľný
conceive	otehotnieť
concentrate	koncentrát
concentration	sústredenie
concentric	koncentrický
concept	pojem
conception	koncepcia
concern	znepokojenie
concerned	znepokojený
concert	koncert
concerto	koncert
concession	ústupok
concessional	zvýhodnené
conch	ulita
concierge	vrátnik
conciliation	zmierovacie konanie
concise	stručný
conclave	konkláve
conclude	uzavrieť
concluding	Záverečná
conclusion	záver
conclusive	presvedčivý
concoction	odvar
concomitant	sprievodné
concord	svornosť
concordance	súlad
concours	NO TRANSLATION
concourse	dav
concrete	betón
concubine	konkubína
concur	zhodovať sa
concurrence	zbiehanie
concurrent	súbežný
concurring	súhlasné
concussion	otras mozgu
condemn	odsúdiť
condemnation	odsúdenie
condensation	kondenzácie
condensed	kondenzované
condescending	blahosklonný
condescension	blahosklonnosť
condiment	okoreneniu
condition	podmienka
conditional	podmieňovací
conditionally	podmienečne
conditioned	podmienečný
conditioner	kondicionér
conditioning	klimatizácia
conditions	podmienky
condo	byt
condolence	sústrasť
condolences	prejav sústrasti
condom	kondóm
condone	ospravedlňovať
condor	kondor
conducive	prispievajúce
conduct	správanie
conduction	vedenie
conductivity	vodivosť
conductor	vodič
conduit	potrubie
cone	kužeľ
confederacy	spolčenia
confederate	komplic
confederation	konfederácie
confer	udeliť
conference	konferencie
confess	priznať
confession	vyznanie
confessional	spovedné
confessions	spovede
confetti	konfety
confidant	dôverník
confide	zveriť
confidence	dôvera
confident	istý
confidential	dôverný
confidentiality	diskrétnosť
confidentially	NO TRANSLATION
configuration	konfigurácia
confine	uväzniť
confined	priviazané
confinement	väzenia
confines	hranice
confirm	potvrdiť
confirmation	potvrdenie
confirmatory	potvrdzujúci
confirmed	potvrdená
confiscate	zabaviť
confiscation	konfiškácia
conflagration	vzplanutia
conflict	konflikt
conflicting	protirečivý
confluence	sútok
conform	prispôsobiť
conformance	zhody
conformation	NO TRANSLATION
conformity	zhoda
confound	zmiasť
confounded	prekliaty
confront	konfrontovať
confrontation	konfrontácie
confuse	pliesť
confused	zmätený
confusing	mätúce
confusion	zmätok
conga	Conga
congenial	kongeniálne
congenital	vrodený
congestion	zahlteniu
conglomerate	konglomerát
conglomeration	konglomerát
congrats	Gratulujem
congratulate	blahoželať
congratulation	blahoželanie
congratulations	blahoželanie
congratulatory	blahoprajný
congregate	zhromaždiť
congregation	kongregácie
congress	zjazd
congressional	kongresový
congressman	kongresman
congruence	zhoda
conic	kónický
conical	kužeľovitý
conjecture	dohad
conjugal	manželský
conjugate	konjugovaná
conjugation	časovanie
conjunction	spojka
conjunctive	spojený
conjure	vykúzliť
conjuring	kúzlenia
conk	chcípnout
connect	pripojiť
connected	spojený
connection	prípojka
connective	spojovacie
connoisseur	znalec
conquer	dobyť
conquering	víťaziace
conqueror	dobyvateľ
conquest	dobytie
conscience	svedomie
conscientious	svedomitý
conscious	vedomý
consciousness	vedomie
conscription	odvod
consecrated	zasvätený
consecration	zasvätenie
consecutive	po sebe
consensual	konsenzuálne
consensus	súhlas
consent	súhlas
consenting	súhlasné
consequence	dôsledok
consequent	vyplývajúce
conservation	konzervácia
conservatism	konzervativizmus
conservative	konzervatívny
conservatory	konzervatórium
conserve	zachovať
consider	zvážiť
considerable	značný
considerate	ohľaduplný
consideration	úvaha
consignee	príjemcu
consignment	zásielka
consist	pozostávať
consistency	konzistencia
consistent	dôsledný
consolation	útecha
console	konzola
consoled	utešoval
consolidate	konsolidovať
consolidated	konsolidovaný
consolidation	konsolidácia
consonant	spoluhláska
consort	manželka
conspicuous	nápadný
conspiracy	sprisahania
conspirator	spiklenec
conspire	spiknout
constable	strážnik
constancy	stálosť
constant	konštantný
constantly	nepretržite
constellation	súhvezdí
consternation	zdesenie
constipation	zápcha
constituency	volebný obvod
constituent	zložka
constituents	zložky
constitute	predstavovať
constitution	ústava
constitutional	ústavné
constitutionality	ústavnost
constrain	prinútiť
constrained	obmedzený
constraint	nátlak
construct	konštruovať
construction	výstavba
constructive	konštruktívny
construe	vykladať
consul	konzul
consulate	konzulát
consult	konzultovať
consultant	konzultant
consultation	konzultácia
consume	konzumovať
consumer	spotrebiteľ
consuming	konzumovať
consummate	suverénny
consummation	dovŕšenie
consumption	spotreba
contact	kontakt
contagion	nákaza
contagious	nákazlivý
contain	obsahovať
container	kontajner
containment	reaktora
contaminate	kontaminovať
contaminated	kontaminovaný
contamination	kontaminácia
contemplate	zamýšľať
contemplation	rozjímanie
contemplative	rozjímavý
contemporaneous	súčasný
contemporary	súčasník
contempt	opovrhnutie
contemptible	opovrhnutiahodný
contemptuous	pohŕdavý
contend	zápasiť
contender	uchádzač
contending	súperiace
content	obsah
contented	spokojný
contention	tvrdenie
contentious	diskutabilné
contentment	spokojnosť
contents	obsah
contest	súťaž
contestant	súťažiaci
context	kontext
contiguous	styčný
continence	zdržanlivosť
continent	kontinent
continental	kontinentálne
contingency	náhodnosti
contingent	kontingent
continual	nepretržitý
continually	neustále
continuance	trvanie
continuation	pokračovanie
continue	ďalej
continued	pokračovanie
continuing	pokračovať
continuity	kontinuita
continuous	nepretržitý
continuously	nepretržite
continuum	kontinuum
contour	obrys
contraband	kontraband
contraception	antikoncepcie
contract	zmluva
contracted	zmluvne
contractile	stiahnuteľný
contracting	verejný
contraction	kontrakcie
contractor	dodávateľ
contradict	odporovať
contradiction	rozpor
contradictory	nezlučiteľný
contraption	mašinka
contrary	opak
contrast	kontrastovať
contrasted	kontrastoval
contravene	odporovať
contravention	porušenie
contribute	prispieť
contribution	príspevok
contributor	prispievateľ
contrite	kajúcne
contrition	kajúcnosť
contrived	neprirodzený
control	ovládanie
controller	kontrolór
controlling	ovládanie
controversial	kontroverzné
controversy	kontroverzia
contusion	kontúzia
conundrum	hádanka
convalescent	zotavujúcich sa
convection	prúdenie
convene	zvolať
convenience	pohodlie
conveniences	vymoženosti
convenient	praktický
convent	kláštor
convention	dohovor
conventional	konvenčné
converge	konvergovať
convergence	konvergencie
convergent	zbiehavý
conversant	oboznameny
conversation	konverzácia
conversational	konverzačné
conversationalist	rozprávač
converse	konverzovať
conversing	konverzuje
conversion	premena
convert	premeniť
converted	prevedený
convertible	kabriolet
convex	konvexné
convexity	konvexnost
convey	oznámiť
conveyance	preprava
conveyancing	prevádzanie vlastníckych práv nehnuteľností
convict	odsúdiť
conviction	presvedčenie
convince	presvedčiť
convinced	presvedčený
convincing	presvedčivý
convocation	zvolanie
convoluted	stočený
convolution	konvolúcie
convoy	konvoj
coo	vrkat
cook	kuchár
cookbook	kuchárka
cooker	varič
cookery	kuchařství
cookie	sušienka
cookies	sušienky
cooking	varenie
cookout	cookout
cool	chladný
coolant	chladiaca kvapalina
cooler	chladič
cooling	chladenie
coolness	chlad
coon	mýval
coop	kurník
cooperate	spolupracovať
cooperating	spolupracujúci
cooperation	spolupráca
cooperative	družstevné
coordinate	koordinovať
coordination	koordinácia
coordinator	koordinátor
cop	policajt
copacetic	NO TRANSLATION
cope	zvládnuť
copier	kopírka
copilot	copilot
coping	zvládanie
copious	hojný
copper	meď
copter	vrtuľník
copy	kópie
copycat	imitátor
copying	kopírovanie
copyright	copyright
coral	koralový
coral snake	koralový had
cord	šnúra
cordial	srdečný
cordless	akumulátorový
cordon	kordón
corduroy	menčester
core	jadro
cork	korok
corkscrew	vývrtka
corn	kukurica
cornball	cornball
cornbread	kukuričný chlieb
cornea	rohovka
corned	granulovaný
corner	rohový
cornerstone	základný kameň
cornet	kornet
cornfield	obilné polia
cornflakes	NO TRANSLATION
cornice	rímsa
cornstarch	kukuričný škrob
corny	banálne
corollary	dôsledok
corona	koróna
coronary	koronárnej
coronation	korunovácie
coroner	koroner
corporal	desiatnik
corporate	právnických
corporation	korporácie
corporeal	telesný
corps	zbor
corpse	mŕtvola
corpsman	zdravotník
corpus	telo
corral	dobytčie ohrada
correct	korektné
correction	oprava
correctional	nápravný
corrective	nápravný
correctness	korektnosť
correlation	korelácia
correlative	korelatívny
correspond	korešpondovať
correspondence	korešpondencia
correspondent	korešpondent
corresponding	zodpovedajúce
corridor	chodba
corroborate	podoprieť
corroboration	potvrdenie
corrosion	korózie
corrosive	žieravina
corrupt	skazený
corrupting	kazenie
corruption	korupcia
corsage	živôtik
corse	NO TRANSLATION
corset	korzet
cortex	kôra
cortical	kortikálnej
cortisone	kortizón
corvette	korveta
cosmetic	kozmetický
cosmetics	kozmetika
cosmic	kozmický
cosmology	kozmológie
cosmopolitan	kozmopolitný
cosmos	kozmos
cost	náklady
costly	nákladný
costume	kostým
cosy	útulný
cot	detská postieľka
cote	chlievik
cottage	chata
cotton	bavlna
couch	gauč
cougar	Puma
cough	kašeľ
council	rada
councilman	radkyňa
counsel	právny zástupca
counseling	poradenstvo
counsellor	poradca
counselor	poradca
count	počítať
countdown	odpočítavanie
countenance	výzoru
counter	pult
counteract	neutralizovať
counterattack	protiútok
counterbalance	protiváha
counterclaim	protinárok
counterfeit	falšovaný
counterpart	náprotivok
counterpoint	kontrapunkt
countess	grófka
countless	nespočetný
country	krajina
countryman	krajan
countrymusic	NO TRANSLATION
countryside	vidiek
counts	počty
county	grófstva
coup	úder
coupe	kupé
couple	pár
coupled	spojený
coupling	spájanie
coupon	kupón
courage	odvaha
courageous	statočný
courier	kuriér
courses	kurzy
coursing	coursing
court	súd
courteous	zdvorilý
courtesy	zdvorilosť
courthouse	súd
courtroom	súdna sieň
courts	súdy
courtship	pytačky
courtside	Courtside
courtyard	nádvorí
cousin	bratranec
cousins	príbuzní
cove	zátoka
coven	sabat
covenant	zmluva
cover	veko
coverage	krytie
covered	pokrytý
covering	krytina
covert	húšti
covet	túžiť po
coveted	vyhľadávaný
cow	krava
coward	zbabelec
cowardice	zbabelosť
cowardly	zbabelý
cowboy	kovboj
cowgirl	cowgirl
cowhand	cowhand
cowhide	hovädzia useň
cowl	kutna
coworker	spolupracovník
coy	hanblivý
coyote	kojot
cozy	útulný
crab	krab
crabby	podráždený
crack	crack
cracked	Křaplavý
cracker	sušienka
crackerjack	frajer
cracking	praskanie
crackle	praskanie
crackpot	bláznivý
cradle	kolíska
craft	remeslo
crafts	remeslá
craftsman	remeselník
craftsmanship	remeselná zručnosť
crafty	ľstivý
craig	Craig
cram	natlačiť
crammed	napchaté
cramp	kŕč
cramped	stiesnené
cranberry	brusnica
cranberry juice	brusnicová šťava
crane	žeriav
cranial	lebečnej
cranium	lebka
crank	kľučka
cranky	mrzutý
cranny	škára
crap	blbosť
crappy	mizerný
craps	craps
crash	havárie
crass	zadebnený
crate	debna
crater	kráter
crave	dožadovať sa
craving	túžba
crawfish	rak
crawl	kraul
crayon	pastelka
crayons	pastelky
craze	výstrelok
crazed	pobláznený
craziness	potreštenosti
crazy	bláznivý
creak	vŕzganie
creaking	vŕzganie
cream	krém
creamed	krémový
creamer	smotana
creamy	smotanový
crease	záhyb
create	vytvoriť
creation	stvorenia
creative	tvorivé
creativity	tvorivosť
creator	tvorca
creature	bytosť
credence	viera
credential	poverenia
credentials	poverovacie listiny
credibility	dôveryhodnosť
credible	dôveryhodný
credit	úver
credit card	kreditná karta
creditable	záslužný
credited	pripísaná
crediting	úctyhodnosť
creditor	veriteľ
creed	krédo
creek	zátoka
creep	hajzel
creeper	liana
creeping	postupný
creepy	strašidelné
cremation	kremácia
creole	kreolský
crepe	krep
crescendo	crescendo
crescent	polmesiac
crest	hrebeň
crestfallen	skľúčený
cretin	kretén
cretins	kreténi
crevice	štrbina
crew	posádka
crewman	posádky
crib	betlehem
cricket	kriket
cried	kričal
crime	zločin
criminal	kriminálnej
criminality	kriminalita
crimp	kučeraviť
crimson	karmínová
cringe	krčiť sa
cripple	zmrzačiť
crippled	zmrzačený
crippling	zmrzačenie
crisis	kríza
crisp	chrumkavý
crispy	chrumkavý
criterion	kritérium
critic	kritik
critical	kritický
criticise	kritizovať
criticism	kritika
criticize	kritizovať
criticized	kritizovaná
critique	kritika
critter	tvor
croak	kvákať
croc	croc
crock	hlinený hrniec
crockery	riadu
crocodile	krokodíl
croft	políčko
croissant	rožok
crook	podvodník
crooked	nepoctivý
crop	plodina
croquet	kroket
cross	kríž
cross country	cross country
crossbow	kušu
crossed	skrížené
crossfire	krížová paľba
crossing	prechod
crossover	crossover
crosswalk	prechod pre chodcov
crossword	krížovka
crotch	rozkrok
crouch	krčiť sa
crouched	krčil
crouching	krčiace
croupier	krupiér
crow	vrana
crowbar	Sochor
crowd	dav
crowded	preplnený
crowds	davy
crown	koruna
crowning	vrcholný
crucial	rozhodujúci
cruciate	skrížený
crucifix	kríž
crucifixion	ukrižovanie
crucify	ukrižovať
crud	crude
crude	surový
cruel	krutý
cruelly	kruto
cruelty	krutosť
cruise	plavba
cruise ship	výletná loď
cruiser	krížnik
cruising	cestovné
crumb	drobček
crumble	rozpadať
crumbling	rozpadajúce
crummy	podradný
crunch	chrúmať
crunchy	chrumkavý
crusade	krížová výprava
crusader	križiak
crush	rozdrviť
crushed	drvený
crusher	drvič
crushing	zdrvujúcu
crust	kôra
crusty	chrumkavý
crutch	barle
crux	výkrik
cry	výkrik
crybaby	uplakanec
crying	plač
crypt	krypta
cryptic	záhadný
cryptography	kryptografie
crystal	kryštál
crystalline	kryštalický
crystallization	kryštalizácie
cub	mláďa
cubby	kóje
cube	kocky
cubic	kubický
cubicle	kóje
cuckold	paroháč
cuckoo	kukučka
cucumber	uhorka
cuddle	hýčkať
cuddled	objímať
cuddles	pomaznanie
cuddling	maznanie
cue	tágo
cuff	manžeta
cuisine	kuchyne
culinary	kuchársky
cull	natrhať
culminate	kulminovať
culmination	vyvrcholenie
culpability	trestuhodnost
culpable	trestuhodný
culprit	vinník
cult	kult
cultivate	pestovať
cultivated	kultivovaný
cultivation	pestovanie
cultural	kultúrne
culture	kultúra
cultured	kultivovaný
culvert	priepustiek
cumbersome	ťažkopádny
cumulus	kupa
cunning	mazaný
cunt	piča
cup	pohár
cupboard	skriňa
cupcake	košíček
cupping	bankovanie
cur	Voříšek
curable	vyliečitelný
curate	kaplán
curative	liečebný
curator	kurátor
curb	obrubník
curd	tvaroh
cure	liek
curfew	zákaz vychádzania
curiosity	zvedavosť
curious	zvedavý
curl	curl
curling	metaná
currency	mena
current	prúd
curriculum	osnovy
curry	kari
curse	prekliatie
cursed	prekliaty
cursing	nadávky
cursory	zbežný
curt	odmeraný
curtail	obmedziť
curtailment	skrátenie
curtain	opona
curtains	záclony
curtsy	pukrle
curvature	zakrivenie
curve	krivka
curved	zakrivený
curvilinear	krivočiare
cushion	vankúš
cushy	pohodlný
cusp	vrchol
cuss	zaklení
cussed	zakliaty
custard	puding
custodial	odňatia
custodian	strážca
custody	starostlivosť
custom	zvyk
customary	obvyklý
customer	zákazník
customized	prispôsobili
cut	rez
cutaneous	kožné
cute	roztomilý
cuticle	pokožka
cutie	cutie
cutlass	Palas
cutlery	príbory
cutoff	odrezať
cutter	rezačka
cutters	rezačky
cutthroat	podrezať hrdlo
cutting	výstrižok
cutting board	rezacia doska
cuttings	výstrižky
cwt	cwt
cyanide	kyanid
cyberspace	kyberpriestor
cycle	cyklus
cyclical	cyklický
cyclist	cyklista
cyclone	cyklón
cylinder	valec
cylindrical	cylindrický
cymbal	činel
cynic	cynik
cynical	cynický
cynicism	cynizmus
cyst	cysta
cystic	cystická
cytomegalovirus	cytomegalovírus
cytoplasm	cytoplazma
czar	car
dab	kvapka
dabble	fušovať
dabbling	pustili
dad	ocko
daddy	otecko
dado	NO TRANSLATION
daemon	démon
daft	hlúpy
dagger	dýka
daily	denná
dainty	pamlsok
daiquiri	daiquiri
dairy	mliekareň
daisy	sedmokráska
dak	NO TRANSLATION
dale	údolie
dam	priehrada
damage	poškodenie
damaged	poškodený
damages	odškodné
dame	dáma
damn	sakramentsky
damnation	zatratenie
damned	zatracený
damp	vlhko
dampened	utlmil
damper	tlmič
damsel	slečna
dance	tanec
dancer	tanečník
dancing	tanec
dandruff	lupy
dandy	sveták
danger	nebezpečenstvo
dangerous	nebezpečný
dangerously	nebezpečne
dangit	NO TRANSLATION
dangle	klátit
dank	NO TRANSLATION
dapper	elegantný
dare	odvážiť sa
daredevil	odvážlivec
daresay	Trúfam si tvrdiť,
daring	odvážny
dark	tmavý
darken	zatemniť
darkened	zatemnenej
darkly	temne
darkness	tma
darkroom	tmavá miestnosť
darkside	temná strana
darling	miláčik
darn	zašiť
dart	oštep
dash	pomlčka
dashboard	prístrojová doska
dashed	prerušovaná
dashing	elegantný
dastardly	podlý
data	dáta
database	databázy
date	dátum
datenight	NO TRANSLATION
daughter	dcéra
dawdle	lelkovat
dawn	svitania
dawned	svitlo
day	deň
daybreak	svitania
daycare	starostlivosť o deti
daydream	snívať
daydreaming	snívanie
daylight	denné svetlo
daymade	NO TRANSLATION
dayoff	NO TRANSLATION
daytime	deň
daze	oslniť
dazed	omámený
dazzle	oslniť
dazzling	oslňujúci
deacon	diakon
deactivate	deaktivácia
dead	mŕtvi
deadbeat	povaľač
deadline	Konečný termín
deadlines	termíny
deadlock	zablokovanie
deadly	smrteľný
deaf	hluchý
deafening	ohlušujúci
deafness	hluchota
deal	obchod
dealer	predajca
dealership	obchodné zastúpenie
dealing	rokovania
dealings	rokovania
dean	dekan
dear	drahá
dearest	najdrahší
dearth	drahota
death	úmrtia
deathbed	smrteľnom lôžku
deathly	smrteľný
debacle	debakel
debased	znehodnotená
debatable	sporný
debate	rozprava
debauchery	hýrenie
debenture	dlhopis
debilitating	vysiľujúce
debit	dlh
debrief	rozprava
debriefing	debriefing
debris	trosky
debt	dlh
debtor	dlžník
debut	debut
debutante	debutantka
decade	desaťročia
decadence	dekadencia
decadent	úpadkový
decaf	káva bez kofeínu
decanter	karafa pre víno
decathlon	desaťboj
decay	úpadok
decayed	krivú
decaying	rozpadajúce
deceased	zosnulý
decedent	zosnulý
deceit	zákernosť
deceitful	ľstivý
deceive	klamať
deceived	podviedol
deceiving	klamať
december	December
decency	slušnosť
decent	slušný
deception	klam
deceptive	klamný
decide	rozhodnúť
decidedly	rozhodne
deciduous	opadavý
decimal	desatinný
decimeter	decimeter
decipher	rozlúštiť
decision	rozhodnutie
decisive	rozhodujúci
deck	paluba
declaration	vyhlásenie
declaratory	výslovný
declare	vyhlásiť
declination	deklinácie
decline	pokles
declining	klesajúci
deco	deco
decode	dekódovať
decoder	dekodér
decompose	rozložiť
decomposed	rozložiť
decomposition	rozklad
decompress	rozbaliť
decompression	dekompresie
decontamination	dekontaminácia
decor	výzdoba
decorate	ozdobiť
decorating	zdobenie
decoration	výzdoba
decorative	dekoratívne
decorator	tapetár
decorum	dekórum
decoy	vějička
decrease	znížiť
decreased	poklesla
decreasing	klesajúci
decree	výnos
decrement	úbytku
decrepit	Vetchý
decry	ohovoriť
decryption	dešifrovanie
dedicate	venovať
dedication	venovanie
deduce	odvodiť
deduct	odpočítať
deductible	odpočítateľné
deduction	dedukcie
deed	listina
deejay	deejay
deem	považovať
deep	hlboký
deepen	prehĺbiť
deer	jeleň
defamation	ohováranie
defamatory	hanlivý
default	štandardné
defeat	porážka
defeated	porazený
defeatist	poraženec
defect	defekt
defection	zbehnutie
defective	chybný
defector	odpadlík
defend	brániť
defendant	obžalovaný
defended	bránil
defender	obranca
defending	obrane
defense	obrana
defenseless	bezbranný
defensible	obhájiteľný
defensive	obranný
defer	odložiť
deference	úcta
deferral	odklad
deferring	odkladá
defiance	vzdor
defiant	vzdorný
defibrillator	defibrilátor
deficiency	nedostatok
deficient	nedostatočný
deficit	deficit
define	vymedziť
defined	definovaný
definite	jednoznačný
definition	definícia
definitive	definitívny
deflate	vypustiť
deflation	deflácie
deflect	odkloniť
deflection	výchylka
defloration	defloration
deform	deformovať
deformed	zdeformovaný
deformity	deformita
defraud	podviesť
defray	uhradiť
defrost	odmraziť
deft	obratný
defunct	zaniknutý
defuse	zneškodniť
defy	vzdorovať
degeneracy	degenerovanost
degenerate	zvrhlík
degeneration	degenerácia
degradation	degradácia
degrade	degradovať
degraded	degradovaný
degrading	ponižujúce
degree	stupeň
dehydrated	dehydratovaný
dehydration	dehydratácia
dejected	skľúčený
delay	oneskorenie
delayed	oneskorený
delectable	vyriešené
delegate	delegát
delegation	delegácia
