Word	iw
coursing	צַיִד אַרנָבוֹת
court	בית משפט
courteous	אָדִיב
courtesy	דרך ארץ
courthouse	בית משפט
courtroom	בית המשפט
courts	בית המשפט
courtship	חיזור
courtside	בית המשפט
courtyard	חָצֵר
cousin	בת דודה
cousins	בני דודים
cove	מִפרָץ
coven	coven
covenant	ברית
cover	כיסוי
coverage	כיסוי
covered	מְכוּסֶה
covering	כיסוי
covert	סָמוּי
covet	לַחמוֹד
coveted	נחשק
cow	פָּרָה
coward	פחדן
cowardice	פַּחדָנוּת
cowardly	פַּחדָנִי
cowboy	בּוֹקֵר
cowgirl	בוקרת
cowhand	cawhand
cowhide	פרה
cowl	בַּרדָס
coworker	עמית לעבודה
coy	צָנוּעַ
coyote	זְאֵב עֲרָבוֹת
cozy	נוֹחַ
crab	סרטן
crabby	crabby
crack	סדק
cracked	סדוק
cracker	מַציָה
crackerjack	קרקר
cracking	הִסָדְקוּת
crackle	לְהַשְׁמִיעַ קוֹל פִּצוּחַ
crackpot	תִמהוֹנִי
cradle	עֶרֶשׂ
craft	מְלָאכָה
crafts	מלאכת יד
craftsman	אוּמָן
craftsmanship	אוּמָנוּת
crafty	עַרמוּמִי
craig	קרייג
cram	לִדחוֹס
crammed	דחוס
cramp	לְהַגבִּיל
cramped	מְכוּוָץ
cranberry	חמוצית
cranberry juice	מיץ חמוציות
crane	מנוף
cranial	גוּלגוֹלְתִי
cranium	גוּלגוֹלֶת
crank	כַּנֶנֶת
cranky	עצבני
cranny	סֶדֶק
crap	שְׁטוּיוֹת
crappy	מחורבן
craps	craps
crash	לְהִתְרַסֵק
crass	גס
crate	אַרְגָז
crater	מַכְתֵשׁ
crave	לְהִשְׁתוֹקֵק
craving	השתוקקות
crawfish	סַרטַן הַנַהֲרוֹת
crawl	לִזחוֹל
crayon	פִּיחוֹן
crayons	עפרונות
craze	שיגעון
crazed	מוטרף
craziness	טֵרוּף
crazy	מְטוּרָף
creak	חֲרִיקָה
creaking	חורק
cream	קרם
creamed	קרם
creamer	קרימר
creamy	מוּקרָם
crease	קֶמֶט
create	לִיצוֹר
creation	יצירה
creative	יְצִירָתִי
creativity	יְצִירָתִיוּת
creator	בורא
creature	יְצוּר
credence	אמונה
credential	תְעוּדָה
credentials	אישורים
credibility	אֲמִינוּת
credible	מְהֵימָן
credit	אַשׁרַאי
credit card	כרטיס אשראי
creditable	רָאוּי לְשֶׁבַח
credited	זוכה
crediting	זיכוי
creditor	נוֹשֶׁה
creed	אֲנִי מַאֲמִין
creek	הנחל
creep	זחילה
creeper	מְטַפֵּס
creeping	זְחִילָה
creepy	מְצַמרֵר
cremation	מִשׂרָפָה
creole	קריאול
crepe	קרֶפּ
crescendo	קרשנדו
crescent	חֲצִי סַהַר
crest	סֵמֶל
crestfallen	מְדוּכדָך
cretin	מְפַגֵר
cretins	cretins
crevice	בְּקִיעַ
crew	צוות
crewman	איש צוות
crib	עריסה
cricket	קרִיקֶט
cried	למה? צעק
crime	פֶּשַׁע
criminal	פְּלִילִי
criminality	עבריינות
crimp	קרימפ
crimson	אַרגָמָן
cringe	לִזחוֹל
cripple	נָכֶה
crippled	נָכֶה
crippling	משתק
crisis	מַשׁבֵּר
crisp	פָּרִיך
crispy	פריך
criterion	קרִיטֶרִיוֹן
critic	מְבַקֵר
critical	קריטי
criticise	לְבַקֵר
criticism	ביקורת
criticize	לְבַקֵר
criticized	מותח ביקורת
critique	ביקורת
critter	קריטר
croak	קִרקוּר
croc	כרכום
crock	חֶרֶס
crockery	כְּלֵי חֶרֶס
crocodile	תַנִין
croft	חַוָה קְטָנָה
croissant	קרוֹאָסוֹן
crook	הנוכל
crooked	עָקוֹם
crop	יְבוּל
croquet	קרוֹקֶט
cross	לַחֲצוֹת
cross country	מעבר למדינה
crossbow	קשת
crossed	חצה
crossfire	אֵשׁ צוֹלֶבֶת
crossing	מעבר
crossover	מוצלב
crosswalk	מעבר חצייה
crossword	צְלָבִית
crotch	מִפשָׂעָה
crouch	לִכרוֹעַ
crouched	שָׁפוּף
crouching	שְׁפִיפָה
croupier	קוּפַּאִי
crow	עורב
crowbar	מוט
crowd	קָהָל
crowded	צָפוּף
crowds	קהלים
crown	כֶּתֶר
crowning	גוּלַת הַכּוֹתֶרֶת
crucial	מַכרִיעַ
cruciate	קרובה
crucifix	צְלָב
crucifixion	צְלִיבָה
crucify	לִצְלוֹב
crud	crud
crude	גס
cruel	אַכְזָרִי
cruelly	באכזריות
cruelty	אַכְזָרִיוּת
cruise	לְשַׁיֵט
cruise ship	ספינת תענוגות
cruiser	סַיֶרֶת
cruising	שִׁיוּט
crumb	פֵּרוּר
crumble	לְהִתְפּוֹרֵר
crumbling	הִתפּוֹרְרוּת
crummy	חֲסַר טַעַם
crunch	לִכסוֹס
crunchy	פָּרִיך
crusade	מַסָע צְלָב
crusader	צַלבָּן
crush	לִמְחוֹץ
crushed	כָּתוּשׁ
crusher	מַגרֵסָה
crushing	גְרִיסָה
crust	קרום
crusty	קְרוּמִי
crutch	קַב
crux	עִקָר
cry	בוכה
crybaby	בכיין
crying	בְּכִי
crypt	כּוּך
cryptic	נִסתָר
cryptography	קריפטוגרפיה
crystal	גָבִישׁ
crystalline	גְבִישִׁי
crystallization	הִתגַבְּשׁוּת
cub	גוּר
cubby	שמנמן
cube	קוּבִּיָה
cubic	מְעוּקָב
cubicle	חַדרוֹן
cuckold	קַרנָן
cuckoo	קוּקִיָה
cucumber	מלפפון
cuddle	לְהִתְרַפֵּק
cuddled	מחובקת
cuddles	cuddles
cuddling	מתרפק
cue	רְמִיזָה
cuff	יָדָה
cuisine	מִטְבָּח
culinary	שֶׁל הַמִטבָּח
cull	לִברוֹר
culminate	להגיע לַפִּסגָה
culmination	פִּסגָה
culpability	אשמה
culpable	אָשֵׁם
culprit	עֲבַרְיָן
cult	כת
cultivate	לְטַפֵּחַ
cultivated	מְתוּרבָּת
cultivation	טיפוח
cultural	תַרְבּוּתִי
culture	תַרְבּוּת
cultured	מְתוּרבָּת
culvert	גִשׁרוֹן
cumbersome	מסורבלת
cumulus	תְלוּלִית
cunning	עַרמוּמִי
cunt	כוס
cup	גָבִיעַ
cupboard	אָרוֹן
cupcake	קאפקייק
cupping	הַקָזַת דָם
cur	cur
curable	בַּר רִפוּי
curate	עוֹזֵר לְכּוֹמֶר
curative	מְרַפֵּא
curator	אוֹצֵר
curb	לְרַסֵן
curd	קָרִישׁ
cure	ריפוי
curfew	עוֹצֶר
curiosity	סַקרָנוּת
curious	סקרן
curl	סִלְסוּל
curling	סִלְסוּל
currency	מַטְבֵּעַ
current	נוֹכְחִי
curriculum	תכנית לימודים
curry	קָארִי
curse	קללה
cursed	קילל את
cursing	מקלל
cursory	שִׁטחִי
curt	קָצָר
curtail	לְקַצֵר
curtailment	הִתקַצְרוּת
curtain	וִילוֹן
curtains	וילונות
curtsy	קידה
curvature	עַקמוּמִיוּת
curve	עֲקוּמָה
curved	מְעוּקָל
curvilinear	מתפתל
cushion	כרית
cushy	נוֹחַ
cusp	נִיב
cuss	cuss
cussed	מקומט
custard	רַפרֶפֶת
custodial	משמורת
custodian	אַפּוֹטרוֹפּוֹס
custody	משמורת
custom	המותאם אישית
customary	נָהוּג
customer	צרכן
customized	מותאם אישית
cut	גזירה
cutaneous	עורית
cute	חָמוּד
cuticle	לציפורן
cutie	חמוד
cutlass	-
cutlery	"סכו""ם"
cutoff	לחתוך
cutter	מַחתֵך
cutters	מִספָּרַיִם
cutthroat	רַצחָנִי
cutting	גְזִירָה
cutting board	קרש חיתוך
cuttings	ייחורים
cwt	cwt
cyanide	צִיאָנִיד
cyberspace	הסייברספייס
cycle	מחזור
cyclical	מחזורי
cyclist	רוכב אופניים
cyclone	צִיקלוֹן
cylinder	צִילִינדֶר
cylindrical	גְלִילִי
cymbal	מְצִלָה
cynic	צִינִיקָן
cynical	צִינִי
cynicism	צִינִיוּת
cyst	כִּיס
cystic	סיסטיק
cytomegalovirus	ציטומגלווירוס
cytoplasm	ציטופלזמה
czar	צָאר
dab	טְפִיחָה
dabble	לְהִשְׁתַכְשֵׁך
dabbling	שִׁכשׁוּך
dad	אַבָּא
daddy	אַבָּא
dado	NO TRANSLATION
daemon	דמון
daft	שׁוֹטֶה
dagger	פִּגיוֹן
daily	יום יומי
dainty	מְעַדֵן
daiquiri	דאירי
dairy	מַחלָבָה
daisy	חִנָנִית
dak	NO TRANSLATION
dale	דייל
dam	סֶכֶר
damage	נֵזֶק
damaged	פגום
damages	נְזִיקִין
dame	גְבֶרֶת
damn	לעזאזל
damnation	קְלָלָה
damned	אָרוּר
damp	לח
dampened	דפוקה
damper	מַנחֵת
damsel	עַלמָה
dance	לִרְקוֹד
dancer	רַקדָן
dancing	ריקוד
dandruff	קַשׂקַשִׂים
dandy	גַנדְרָן
danger	סַכָּנָה
dangerous	מְסוּכָּן
dangerously	מסוכן
dangit	NO TRANSLATION
dangle	לִהיוֹת תָלוּי וּמִתנַדנֵד
dank	NO TRANSLATION
dapper	נָאֶה
dare	לְהַעֵז
daredevil	נוֹעָז
daresay	מעז
daring	נועז
dark	אפל
darken	לְהַכּהוֹת
darkened	כהה
darkly	בחושך
darkness	חוֹשֶׁך
darkroom	חדר חשוך
darkside	צד אפל
darling	מוֹתֶק
darn	לְתַקֵן
dart	חץ
dash	לזנק
dashboard	לוּחַ מַחווָנִים
dashed	מקווקו
dashing	נִמרָץ
dastardly	מזוהם
data	נתונים
database	מאגר מידע
date	תַאֲרִיך
datenight	NO TRANSLATION
daughter	בַּת
dawdle	לְהִתְבַּטֵל
dawn	שַׁחַר
dawned	הבנתי
day	יְוֹם
daybreak	השחר
daycare	מעון יום
daydream	חלום בהקיץ
daydreaming	חלומות בהקיץ
daylight	אוֹר
daymade	NO TRANSLATION
dayoff	NO TRANSLATION
daytime	שְׁעוֹת הַיוֹם
daze	מבולבל
dazed	מוּכֶּה תַדְהֵמָה
dazzle	לְסַמֵא
dazzling	הִסתַנוְרוּת
deacon	כּוֹמֶר זוּטָר
deactivate	בטל
dead	מֵת
deadbeat	תפרן
deadline	מועד אחרון
deadlines	מועדים
deadlock	מָבוֹי סָתוּם
deadly	קטלני
deaf	חירש
deafening	מַחרִישׁ
deafness	חֵרשׁוּת
deal	עִסקָה
dealer	סוֹחֵר
dealership	זִכָּיוֹן
dealing	עסק
dealings	עסקאות
dean	דֵיקָן
dear	יָקָר
dearest	יקירתי
dearth	צִמצוּם
death	מוות
deathbed	עֶרֶשׂ דְוַי
deathly	מֵמִית
debacle	debacle
debased	DV
debatable	שָׁנוּי בְּמַחֲלוֹקֶת
debate	עימות
debauchery	הוֹלֵלוּת
debenture	אִגֶרֶת חוֹב
debilitating	DV
debit	חוֹבָה
debrief	לְתַחְקֵר
debriefing	תַחקִיר
debris	מַפּוֹלֶת
debt	חוֹב
debtor	בַּעַל חוֹב
debut	הוֹפָעָה רִאשׁוֹנָה
debutante	מוֹפִיעַ לְרִאשׁוֹנָה
decade	עָשׂוֹר
decadence	שְׁחִיתוּת
decadent	מִתנַוֵן
decaf	קָפֶה נְטוּל קָפֶאִין
decanter	בַּקבּוּק
decathlon	קְרַב עֶשֶׂר
decay	ריקבון
decayed	רָקוּב
decaying	מתפורר
deceased	נפטר
decedent	דקדק
deceit	תַרמִית
deceitful	מְרַמֶה
deceive	להטעות
deceived	מְרוּמֶה
deceiving	מרמה
december	דֵצֶמבֶּר
decency	הֲגִינוּת
decent	הָגוּן
deception	הונאה
deceptive	מטעה
decide	לְהַחלִיט
decidedly	בהחלט
deciduous	נשירים
decimal	עֶשׂרוֹנִי
decimeter	מד גובה
decipher	לְפַעֲנֵחַ
decision	הַחְלָטָה
decisive	מַכרִיעַ
deck	סִיפּוּן
declaration	הַצהָרָה
declaratory	הצהרה
declare	לְהַכרִיז
declination	דחייה
decline	יְרִידָה
declining	יורד
deco	דקו
decode	לְפַעֲנֵחַ
decoder	מפענח
decompose	לְפַרֵק
decomposed	מפורקת
decomposition	הִתפָּרְקוּת
decompress	לְשַׁחְרֵר לָחָץ
decompression	שִׁחרוּר לַחַץ
decontamination	טיהור
decor	תַפאוּרָה
decorate	לְקַשֵׁט
decorating	לקשט
decoration	תַפאוּרָה
decorative	דקורטיבי
decorator	מְעַצֵב
decorum	הֲגִינוּת
decoy	לִפתוֹת
decrease	לְהַקְטִין
decreased	ירד
decreasing	פּוֹחֵת
decree	צו
decrement	צמצום
decrepit	תָשׁוּשׁ
decry	לִזַלזֵל
decryption	פענוח
dedicate	לַחֲנוֹך
dedication	הַקדָשָׁה
deduce	לְהַסִיק
deduct	לְנַכּוֹת
deductible	לניכוי
deduction	- ניכוי
deed	מעשה
deejay	דיג'יי
deem	לִסְבּוֹר
deep	עָמוֹק
deepen	לְהַעֲמִיק
deer	צְבִי
defamation	השמצה
defamatory	מַשׁמִיץ
default	בְּרִירַת מֶחדָל
defeat	לִהַבִיס
defeated	מוּבָס
defeatist	תבוסתני
defect	פְּגָם
defection	עָרִיקָה
defective	פָּגוּם
defector	עָרִיק
defend	לְהַגֵן
defendant	נֶאְשָׁם
defended	מוּגָן
defender	מָגֵן
defending	הגנה
defense	הֲגָנָה
defenseless	חסר הגנה
defensible	ניתן להגן עליו
defensive	הֲגַנָתִי
defer	לִדחוֹת
deference	כָּבוֹד
deferral	דחייה
deferring	דחייה
defiance	הִתנַגְדוּת
defiant	מתריס
defibrillator	דפיברילטור
deficiency	מחסור ב
deficient	חָסֵר
deficit	גֵרָעוֹן
define	לְהַגדִיר
defined	מוּגדָר
definite	מוּגדָר
definition	הַגדָרָה
definitive	סוֹפִי
deflate	לְהוֹצִיא אֲוִיר
deflation	דפלציה
deflect	לְהַסִיט
deflection	הֲטָיָה
defloration	דחייה
deform	לְעַוֵת צוּרָה
deformed	מְעוּוָת
deformity	מוּם
defraud	לְהוֹנוֹת
defray	לִפְרוֹעַ
defrost	לְהַפְשִׁיר
deft	זָרִיז
defunct	נִפטָר
defuse	לנטרל
defy	לְהַתְרִיס
degeneracy	ניוון
degenerate	דֵגֵנֵרָט
degeneration	נִווּן
degradation	הַשׁפָּלָה
degrade	לְהַשְׁפִּיל
degraded	מוּשׁפָל
degrading	מַשׁפִּיל
degree	תוֹאַר
dehydrated	מְיוֹבָּשׁ
dehydration	התייבשות
dejected	מְדוּכָּא
delay	לְעַכֵּב
delayed	מוּשׁהֶה
delectable	טָעִים
delegate	נָצִיג
delegation	מִשׁלַחַת
delete	לִמְחוֹק
deleterious	מזיק
deletion	מְחִיקָה
deli	מעדניה
deliberate	מְכוּוָן
deliberation	דִיוּן
deliberative	שקול
delicacy	מַעֲדָן
delicate	עָדִין
delicatessen	מַעֲדָנִים
delicious	טָעִים מְאוֹד
delight	תַעֲנוּג
delighted	שַׂמֵחַ
delightful	מְהַנֶה
delineate	לְהַתווֹת
delineation	תיחום
delinquency	עבריינות
delinquent	עבריין
delirious	מזויף
delirium	הֲזָיָה
deliver	לִמְסוֹר
deliverance	יְשׁוּעָה
delivery	מְסִירָה
dell	Dell
delta	דֶלתָא
delude	לְהַשְׁלוֹת
deluge	מַבּוּל
delusion	אשליה
delusional	הוזה
deluxe	דלוקס
delve	לְהִתְעַמֵק
demand	לִדרוֹשׁ
demanding	תוֹבְעָנִי
demeaned	מוּשׁפָל
demeaning	מזעזע
demeanor	הִתְנַהֲגוּת
demented	מְטוּרָף
dementia	דמנציה
demise	פְּטִירָה
demo	הַדגָמָה
democracy	דֵמוֹקרָטִיָה
democrat	דֵמוֹקרָט
democratic	דֵמוֹקרָטִי
demographic	דמוגרפי
demolish	לַהֲרוֹס
demolished	נהרסו
demolition	הֲרִיסָה
demon	שֵׁד
demonic	שֵׁדִי
demonstrable	נִתַן לְהוֹכָחָה
demonstrate	לְהַפְגִין
demonstrated	הפגינו
demonstrating	הפגנה
demonstration	הפגנה
demonstrative	הַפגָנָתִי
demonstrator	מַפגִין
demoralized	דמורליזציה
demos	הדגמות
demure	מִצטַנֵעַ
den	NO TRANSLATION
deniability	הכחשה
denial	הַכחָשָׁה
denied	נדחתה
denim	דֵנִים
denomination	כַּת
denominational	דתי
denominator	מְכַנֶה
denote	לציין
denounce	לְהוֹקִיעַ
dense	צָפוּף
density	צְפִיפוּת
dent	שֶׁקַע
dental	שיניים
dentist	רופא שיניים
dentistry	רפואת שיניים
dentists	רופאי שיניים
denunciation	הוֹקָעָה
deny	לְהַכּחִישׁ
denying	מכחישה
deodorant	דֶאוֹדוֹרַנט
depart	לַעֲזוֹב
departed	עזב
department	מַחלָקָה
departmental	מַחלַקתִי
departure	יְצִיאָה
depend	לִסְמוֹך
dependable	מְהֵימָן
dependant	תלוי
dependence	תלות
dependency	תלות
dependent	תלוי
depict	לתאר
depicting	המתאר
depletion	דִלדוּל
deplorable	מְצַעֵר
deplore	לִבכּוֹת
deploy	לפרוס
deployment	פְּרִיסָה
deport	לְגַרֵשׁ
deportation	גֵרוּשׁ
depose	לְהַדִיחַ
deposit	לְהַפְקִיד
depositary	- פיקדון
deposition	תַצהִיר
depository	מחסן
depot	מַחסָן
depraved	מושחת
depravity	שְׁחִיתוּת
depreciate	לָרֶדֶת בְּעֵרכּוֹ
depreciated	פוחת
depreciation	פְּחָת
depress	לְדַכֵּא
depressed	מְדוּכָּא
depressing	מְדַכֵּא
depression	דִכָּאוֹן
depressive	דיכאוני
depresson	NO TRANSLATION
deprivation	מַחְסוֹר
deprive	לִשְׁלוֹל
deprived	מְקוּפָּח
depth	עוֹמֶק
deputy	סְגָן
derail	לְהוֹרִיד מֵהַפָּסִים
deranged	נחרד
derelict	נָטוּשׁ
derision	לַעַג
derivation	גִזרָה
derivative	נגזר
derive	לְהָפִיק
dermal	עוֹרִי
dermatologist	דֶרמָטוֹלוֹג
dermatology	דֶרמָטוֹלוֹגִיָה
derogation	גניבה
derogatory	פּוֹגֵעַ
descend	לָרֶדֶת
descendant	צאֱצא
descendent	NO TRANSLATION
descending	יורד
descent	מוֹצָא
describe	לְתַאֵר
description	תיאור
descriptive	תיאור
desecrate	לְחַלֵל
desecration	חילול
desert	מִדבָּר
deserted	נָטוּשׁ
deserter	עָרִיק
desertion	עריקה
deserve	מגיע
deserved	מגיע
deserving	רָאוּי
design	לְעַצֵב
designate	לייעד
designated	יָעוּדִי
designation	יִעוּד
designed	מְעוּצָב
designer	מְעַצֵב
designing	תִכנוּן
desirability	כְּדָאִיוּת
desirable	רצוי
desire	רצון עז
desiring	הִתאַוּוּת
desirous	צָמֵא
desist	לַחְדוֹל
desk	שׁוּלְחָן כְּתִיבָה
desolate	שׁוֹמֵם
desolation	שְׁמָמָה
despair	יאוש
despairing	נואש
despatch	לְשַׁגֵר
desperado	desperado
desperate	נוֹאָשׁ
desperation	יֵאוּשׁ
despicable	בזוי
despise	לָבוּז
despondent	מְדוּכדָך
despotic	רוֹדָנִי
despotism	עָרִיצוּת
dessert	קינוח
destination	יַעַד
destined	מְיוּעָד
destiny	גוֹרָל
destitute	חֲסַר כֹּל
destroy	להרוס
destroyed	נהרס
destroyer	מַשׁחֶתֶת
destroying	להרוס
destruct	להרוס
destruction	הֶרֶס
destructive	הַרסָנִי
detach	לנתק
detached	מְנוּתָק
detachment	תְלִישׁוּת
detail	פרט
detailed	מְפוֹרָט
details	פרטים
detain	לְעַכֵּב
detainee	עָצִיר
detect	לזהות
detectable	לגילוי
detection	איתור
detective	בַּלָשׁ
detector	גַלַאִי
detention	ריתוק
deter	להרתיע
detergent	חומר ניקוי
deteriorate	לְהִתְדַרְדֵר
deteriorated	התדרדר
deteriorating	מתדרדר
deterioration	הְתדַרדְרוּת
determinable	ניתן לקבוע
determinate	קבעו
determination	נחישות
determine	לקבוע
determined	נחוש בדעתו
deterrent	מַרתִיעַ
detest	לְתַעֵב
detestation	תיעוב
detonate	לְפוֹצֵץ
detonation	הִתְפּוֹצְצוּת
detonator	נַפָּץ
detour	מַעֲקָף
detract	לִגרוֹעַ
detriment	פְּגִיעָה
detrimental	מזיק
detritus	בְּלִית
deuce	שְׁתַיִם
deutschmark	דוטשמרק
devalued	פוחת
devastate	לְהַחרִיב
devastated	הרוס
devastating	הרסנית
devastation	חוּרבָּן
develop	לְפַתֵחַ
developer	מפתח
developing	מתפתח
development	התפתחות
deviant	סוֹטֶה
deviate	לִסְטוֹת
deviating	סוטה
deviation	חֲרִיגָה
device	התקן
devil	שָׂטָן
deviled	דוויל
devilish	שְׂטָנִי
devious	עַרמוּמִי
devise	לִהַמצִיא
devoid	נָטוּל
devolution	אֲצִילָה
devolve	להתמוסס
devote	להקדיש
devoted	מסור
devotee	חָסִיד
devotion	מְסִירוּת
devotional	דבקות
devour	לטרוף
devout	אָדוּק
dew	טַל
dexter	דקסטר
dexterity	מְיוּמָנוּת
dextrose	דקסטרוז
diabetes	סוכרת
diabetic	סוכרת
diabolical	שטני
diagnose	לְאַבחֵן
diagnosis	אִבחוּן
diagnostic	אבחון
diagnostics	אבחון
diagonal	אֲלַכסוֹנִי
diagram	תרשים
dial	חוּגָה
dialect	נִיב
dialectic	דיאלקטית
dialogue	דו שיח
dialysis	דיאליזה
diameter	קוֹטֶר
diamond	יהלום
diamonds	יהלומים
diaper	לְחַתֵל
diaphragm	דִיאָפרַגמָה
diarrhea	שִׁלשׁוּל
diarrhoea	שִׁלשׁוּל
diary	יְוֹמָן
diatribe	הַתקָפָה חֲרִיפָה
dib	NO TRANSLATION
dibs	dibs
dice	קוביות
dicey	קובייה
dichotomous	דיכוטומי
dichotomy	דיכוטומיה
dick	זַיִן
dickhead	זין
dicks	זין
dictate	לְהַכתִיב
dictation	הַכתָבָה
dictator	דִיקטָטוֹר
dictatorial	רוֹדָנִי
dictatorship	רוֹדָנוּת
diction	דִיקצִיָה
dictionary	מילון
dictum	NO TRANSLATION
didactic	דִידַקטִי
diddle	דידל
die	NO TRANSLATION
died	מת
diesel	דִיזֶל
diet	דִיאֵטָה
dietary	שֶׁל דִיאֵטָה
differ	לִהיוֹת שׁוֹנֶה
difference	הֶבדֵל
differences	הבדלים
different	שונה
differential	דִיפֵרֶנציִאָלִי
differentiation	בידול
differently	באופן שונה
differing	שונה
difficult	קָשֶׁה
difficulties	קשיים
difficulty	קושי
diffuse	מְפוּזָר
diffusion	פִּעַפּוּעַ
dig	NO TRANSLATION
digest	לְעַכֵּל
digestion	אִכּוּל
digestive	עיכול
digit	סִפְרָה
digital	דִיגִיטָלי
dignified	מְכוּבָּד
dignify	לְכַבֵּד
dignity	כָּבוֹד
digress	לִסְטוֹת
digs	NO TRANSLATION
dike	סוֹלְלָה
dilapidated	רָעוּעַ
dilatation	הִתרַחֲבוּת
dilation	הַרחָבָה
dildo	דִילדוֹ
dilemma	דִילֶמָה
diligence	חָרִיצוּת
diligent	חָרוּץ
dill	שָׁמִיר
diluent	diluent
dilute	לְדַלֵל
diluted	דָלִיל
dilution	מְהִילָה
dim	עָמוּם
dime	דַיִם
dimension	מֵמַד
dimensional	מְמַדִי
diminish	לְהַפחִית
diminished	מְמוּעָט
diminution	הַפחָתָה
diminutive	צוּרַת הַקטָנָה
dimwit	דימוויט
din	NO TRANSLATION
dine	לִסעוֹד
diner	מסעדה
dinghy	דוּגִית
dingo	דינגו
dingy	מְלוּכלָך וְאַפֵל
dining	האוכל
dinky	דינקי
dinner	אֲרוּחַת עֶרֶב
dinnertime	ארוחת ערב
dinosaur	דינוזאור
dint	Dint
diocesan	מבושל
diocese	מָחוֹז הַבִּשׁוֹף
diorama	דיורמה
dioxide	דוּ תַחמוֹצֶת
dip	לִטבּוֹל
diploma	דיפלומה
diplomacy	דִיפּלוֹמָטִיָה
diplomat	דִיפּלוֹמָט
diplomatic	דִיפּלוֹמָטִי
dipper	עַיִשׁ
dippy	מטומטם
dipstick	דיפסטיק
dire	NO TRANSLATION
direct	ישיר
directed	מְכוּוָן
direction	כיוון
directive	הוֹרָאָה
directly	באופן ישיר
director	מְנַהֵל
directory	מַדרִיך
dirt	עפר
dirty	מְלוּכלָך
disability	נָכוּת
disable	להשבית
disabled	נָכֶה
disadvantage	חִסָרוֹן
disaffected	לא מרוצה
disagree	לא מסכים
disagreeable	לֹא נָעִים
disagreeing	מחלוקת
disagreement	מחלוקת
disallow	איסור
disallowed	אסור
disapointment	NO TRANSLATION
disappear	לְהֵעָלֵם
disappearance	הֵעָלְמוּת
disappearing	נעלם
disappoint	לְאַכזֵב
disappointed	מְאוּכזָב
disappointing	מְאַכזֵב
disappointment	אַכזָבָה
disapproval	מורת רוח
disapprove	לא לאשר
disapproved	לא אושרה
disapproving	שביעות רצון
disarm	להתפרק מנשקו
disarray	אִי סֶדֵר
disaster	אסון
disastrous	אסון
disband	לְפַרֵק
disbelief	חוֹסֶר אֵמוּן
disbelieve	לֹא לְהֶאֱמִין
disburse	לתשלום
disbursement	תַשְׁלוּם
disc	דיסק
discard	להשליך
discarded	מוּשׁלָך
discards	מתעלם
discern	לְהַבחִין
discernible	מורגש
discerning	נָבוֹן
discernment	הַבחָנָה
discharge	פְּרִיקָה
disciple	תַלמִיד
disciplinary	מִשְׁמַעתִי
discipline	משמעת
disciplined	מְמוּשׁמָע
disclaim	להתכחש
disclaimer	כתב ויתור
disclose	לחשוף
disclosed	גילה
disclosure	גילוי
disco	דִיסקוֹ
discoloration	דִהוּי
discolored	דהוי
discomfort	אִי נוֹחוּת
disconcerted	מבולבל
disconcerting	מביך
disconnect	לְנַתֵק
disconnected	מְנוּתָק
disconnection	ניתוק
disconnects	מתנתק
discontent	אִי שְׂבִיעוּת רָצוֹן
discontinuance	הפסקה
discontinue	לְהַפְסִיק
discontinuity	אִי רְצִיפוּת
discontinuous	רציף
discord	מַחֲלוֹקֶת
discount	הנחה
discounted	בהנחה
discourage	לדכא
discouraged	מיואש
discouragement	רִפיוֹן רוּחַ
discouraging	מייאש
discourse	שִׂיחַ
discover	לְגַלוֹת
discovery	תַגלִית
discredit	לִפְגוֹעַ בְּאֲמִינוּת
discredited	לא ייאמן
discreet	NO TRANSLATION
discrepancy	אִי הַתְאָמָה
discrete	נִבדָל
discretion	שיקול דעת
discretionary	שיקול דעת
discriminate	לְהָפלוֹת
discriminating	מפלה
discrimination	אַפלָיָה
discus	דִיסקוּס
discuss	לָדוּן
discussion	דִיוּן
disdain	בּוּז
disdainful	בַּז
disease	מַחֲלָה
diseased	נָגוּעַ
disembodied	חֲסַר גוּף
disengage	לְנַתֵק
disengagement	ההתנתקות
disfigured	מעוות
disgrace	חרפה
disgraced	חרפה
disgraceful	מַחְפִּיר
disgruntled	מְמוּרמָר
disguise	לְהַסווֹת
disguised	מְחוּפָּשׂ
disgust	גועל
disgusted	נגעל
disgusting	מגעיל
dish	צַלַחַת
disheartened	מדוכדך
disheartening	מייאש
dishonest	לֹא יָשָׁר
dishonesty	אִי יִוֹשֶׁר
dishonor	חֶרפָּה
dishonorable	חסר כבוד
dishwasher	מדיח כלים
disillusionment	הִתפַּכְּחוּת
disinclination	אי-רצון
disincline	disincline
disinclined	לא נכונות
disinfect	לְחַטֵא
disinfectant	מְחַטֵא
disinfection	חיטוי
disinformation	מֵידָע מַטעֶה
disingenuous	מזויף
disintegrate	לְהִתְפּוֹרֵר
disintegration	הִתפּוֹרְרוּת
disinterested	חֲסַר עִניָן
disjoint	פרוק
disjointed	קָטוּעַ
disjunctive	מַפרִיד
disk	דִיסק
diskette	תַקלִיטוֹן
dislike	לִשְׂנוֹא
disliked	לא אהב
disliking	לא אוהב
dislocated	נקע
dislocation	נקע
dislodge	לְנַשֵׁל
disloyal	לֹא נֶאֱמָן
disloyalty	בְּגִידָה
dismal	עָגוּם
dismantle	לְפַרֵק
dismay	תַדְהֵמָה
dismayed	מבוהל
dismemberment	פירוק
dismiss	לשחרר
dismissal	הֲדָחָה
dismissive	דוחה
dismount	לָרֶדֶת
