Word	fa
boxcar	جعبه نقاله
boxer	بوکسور
boxers	بوکسورها
boxing	بوکس
boy	پسر
boycott	تحریم کردن
boyfriend	دوست پسر
boyhood	پسرانه
boyish	پسرانه
boysenberry	boysenberry
bozo	bozo
bra	سینه بند
brace	بند شلوار
bracelet	دستبند
braces	پرانتز
brachial	پرچین
bracket	براکت
brackets	براکت
brackish	سیب زمینی
brad	براد
brag	تسلیم شدن
braid	بهم تابیدن و بافتن
brain	مغز
brainless	بی فکری
brains	مغز
brainstorm	طوفان مغزی
brainwash	شستشوی مغزی
brainy	مغرور
brake	ترمز
bran	سبوس
branch	شاخه
branching	شاخه
brand	نام تجاری
brandy	براندی
brash	سرگردان
brass	برنج
brass knuckle	همسر برنجی
brassiere	دست بند
brat	برات
bratwurst	bratwurst
bravado	bravado
brave	شجاع
bravery	شجاعت
brawl	نزاع
brawn	سوزش
brazen	سرگردان
breach	رخنه
bread	نان
breadth	وسعت
break	زنگ تفريح
breakable	شکستن
breakaway	جدایی
breakdown	درهم شکستن
breaker	شکن
breakers	قطع کننده ها
breakfast	صبحانه
breaking and entering	شکستن و وارد شدن
breakingnews	خبر فوری
breakneck	لعنتی
breakthrough	دستیابی به موفقیت
breakup	شکسته شدن
breast	پستان
breath	نفس کشیدن
breathe	تنفس کنید
breather	نفس کشیدن
breathless	نفس نفس بکش
breathtaking	مهیج
breech	شکم
breeches	شلوار
breed	نژاد
breeder	پرورش دهنده
breeding	پرورش
breeze	نسیم
breezy	درخشان
brethren	برادران
breve	NO TRANSLATION
brevity	اختصار
brew	دم کردن
brewery	آبجوسازی
brewing	دمیدن
briar	بریان
bribe	رشوه
bribery	رشوه خواری
brick	آجر
bridal	عروسی
bride	عروس
bridegroom	عروسک
bridesmaid	ساقدوش عروس
bridge	پل
bridle	قورباغه
brief	مختصر
briefcase	کیف
briefing	خلاصه سازی
briefly	به طور خلاصه
brig	بریج
brigade	تیپ
bright	روشن است
brighten	روشن شدن
brightens	روشن می شود
brighter	روشن تر
brightness	روشنایی
brilliance	درخشان
brilliant	درخشان
brim	لبه
brimming	پریدن
brimstone	سنگ قبر
brine	آبنمک
bring	آوردن
brink	آستانه
brisk	سریع
brisket	گردن
bristle	سوزش
brittle	شکننده
bro	برادر
broach	باز کردن
broad	وسیع
broadcast	پخش
broadcasting	صدا و سیما
broaden	گسترش می یابد
broadside	مسطح
broadsword	کلمه عبور
brocade	براش
broccoli	کلم بروکلی
brochure	بروشور
broil	مرغ
broke	شکست
broken	شکسته شده
brokenheart	NO TRANSLATION
brokenhearted	دل شکسته
broker	دلال
brokerage	کارگزاری
bromide	برومید
bronco	برنکو
bronze	برنز
brooch	گل سینه
brood	برادرزاده
brooding	مرده
brook	نهر
broom	جاروبرقی
broomstick	جاروبرقی
broth	ابگوشت
brothel	روسپی خانه
brother	برادر
brotherhood	برادری
brotherly	برادرانه
brow	سوزش
brown	رنگ قهوه ای
brownstone	brownstone
browse	مرور کردن
brrr	brrr
bruise	کبودی
bruising	کبودی
brunch	صبحانه
brunette	سبزه
brunt	بزرگی
brush	قلم مو
brutal	وحشیانه
brutality	وحشیگری
brute	خشن
brutish	خشونت آمیز
bubble	حباب
bubbling	حباب
bubbly	شامپانی
bubonic	بوبونیک
buck	بک
buckaroo	bucaroo
bucket	سطل
buckle	دست و پنجه نرم
buckled	بامزه
bucko	بوکو
buckshot	دستمال کاغذی
buckwheat	گندم سیاه
bud	جوانه
buddha	بودا
buddhism	بوداییسم
buddhist	بودایی
budding	جوانه زدن
buddy	دوست داری
budge	راه رفتن
budget	بودجه
buff	بفرمایید
buffalo	بوفالو
buffer	بافر
buffering	بافر
buffet	بوفه
buffoon	بوقلمون
bug	حشره
bugaboo	بوگابو
bugged	bugged شد
bugger	bugger
buggy	حشره دار
bugle	خرگوش
bugler	bugler
build	ساختن
builder	سازنده
building	ساختمان
buildings	ساختمان ها
buildup	ساختن
bulb	لامپ
bulbous	بابونه
bulge	بجای
bulimic	بیولوژیک
bulk	فله
bulkhead	جداسازی
bulky	بزرگ
bull	گاو نر
bulldog	بولداگ
bulldozer	بولدوزر
bullet	گلوله
bulletin	بولتن
bulletproof	ضد گلوله
bullfighter	توت فرنگی
bullfrog	گاو نر
bullheaded	گاو نر
bullhorn	بوقلمون
bullion	شمش
bullock	بوقلمون
bullpen	کپنهاگ
bullshit	مزخرف
bully	گردن کلفت
bulwark	دروازه بان
bum	بدم
bumblebee	خرگوش
bummed	بمب گذاری شده
bummer	آزاردهنده
bump	دست انداز
bumper	سپر
bumpy	پر از دست انداز
bun	NO TRANSLATION
bunch	دسته ای
bundle	بسته نرم افزاری
bungalow	ییلاقی
bungee	bungee
bunghole	فندق
bunion	بونون
bunk	حیاط خلوت
bunker	پناهگاه
bunkhouse	bunkhouse
bunny	اسم حیوان دست اموز
bunt	بت
buoy	شناگر
buoyancy	شناوری
buoyant	شناور
bur	bur
burden	بارگیری
burdened	بار سنگین
burdensome	سنگین
bureau	دفتر
bureaucracy	بوروکراسی
bureaucrat	بوروکرات
bureaucratic	بوروکراتیک
burger	برگر
burglar	سرقت
burglary	سرقت
burial	خاکسپاری
buried	دفن شده
burke	برک
burlap	مرغ
burlesque	بورلز
burly	سرگردان
burn	سوزاندن
burned	سوخته
burner	مشعل
burning	سوزش
burnished	جوشانده
burnout	سوختن
burnt	سوخته
burp	اروغ زدن
burr	خم شدن
burrito	burrito
burro	NO TRANSLATION
burrow	دره
bursary	دوره کارشناسی
burst	پشت سر هم
bury	دفن کردن
bus	اتوبوس
busboy	کاردستی
bush	بوته
bushel	بوشل
bushy	شلوغی
business	کسب و کار
business man	NO TRANSLATION
businessman	تاجر
businesswoman	کسب و کار
busload	اتوبوس
buss	اتوبوس
bust	سینه بند
busted	بطری
buster	کارگر
bustle	شلوغی
bustling	شلوغ
busy	مشغول
busybody	ببخشید
butane	بوتان
butcher	قصاب
butler	خدمتکار
butt	لب به لب
butter	کره
buttercup	اماکن
butterfly	پروانه
buttermilk	اب دوغ
butterscotch	Butterscotch
buttery	کره ای
buttock	باسن
buttocks	باسن
button	دکمه
buttress	بستر
buxom	خم شدن
buy	خرید
buyer	خریدار
buying	خریداری کردن
buzz	وزوز
buzzard	وزوز
buzzed	وزوز
buzzer	زنگ زدن
buzzing	وزوز
bye	خدا حافظ
bygone	گذشت
bylaw	مجازات
byline	خط خطی
bypass	میان بر
bystander	تماشاچی
byte	بایت
byzantine	بیزانس
cab	تاکسی
cabal	کابال
cabana	کابینا
cabaret	کاباره
cabbage	کلم
cabbie	کابین
cabernet	کابینت
cabin	کابین
cabinet	کابینه
cable	کابلی
caboodle	کابودل
caboose	کابوس
cabriolet	کابریولت
cache	کش
cacophony	جادوگری
cactus	کاکتوس
cad	کاد
cadaver	جسد
caddie	NO TRANSLATION
caddy	کاددی
cadence	ضربان قلب
cadet	کاردان
cafe	کافه
cafeteria	کافه تریا
caffeine	کافئین
cage	قفس
cagey	کج
cahoots	کله پاچه
cairn	اره
cake	کیک
cakewalk	cakewalk
calamari	کالماری
calamitous	ترسناک
calamity	فاجعه
calcareous	آهکی
calcium	کلسیم
calculate	محاسبه
calculated	محاسبه شد
calculating	محاسبه
calculation	محاسبه
calculator	ماشین حساب
calculus	حسابداری
calendar	تقویم
calender	NO TRANSLATION
calf	گوساله
caliber	کالیبر
calibrate	کالیبره کردن
calico	پارچه کتان
calipers	کلاپر
calisthenics	سلامت
call	زنگ زدن
callback	فراخوان
caller	تماس گیرنده
calligraphy	خوشنویسی
calling	صدا زدن
callous	خوبه
calls	تماس می گیرد
calm	آرام
calming	آرامش
calmness	آرامش
caloric	کالری
calorie	کالری
calorimeter	کالریمتر
cam	طب مکمل و جایگزین
camaraderie	عاشقانه
camber	کمربند
camcorder	دوربین فیلمبرداری
camel	شتر
cameo	کیمیا
camera	دوربین
cameraman	فیلمبردار
camisole	کلاسیک
camouflage	استتار
camouflaged	NO TRANSLATION
camp	اردوگاه
campaign	کمپین
campaigner	مبارزات انتخاباتی
campaigning	مبارزات انتخاباتی
camper	کیمر
campfire	آتش سوزی
camping	چادر زدن
campsite	اردوگاه
campus	محوطه دانشگاه
can	می توان
can opener	در بازکن
canal	کانال
canary	قناری
cancel	لغو
canceling	لغو
cancellation	لغو
cancer	سرطان
candid	پرده
candidacy	نامزدی
candidate	نامزد
candied	آب نبات
candle	شمع
candlelight	شمع روشن
candles	شمع ها
candlestick	شمعدان
candor	محبت
candy	آب نبات
cane	نیشکر
canine	سگ
canister	کانتور
canker	شکنجه
cannabis	شاهدانه
canned	کنسرو شده
cannibal	کینیبال
cannibalism	ادم خواری
canning	کنسرو
cannon	توپ
cannonball	گلوله توپ
canoe	قایق رانی
canon	کانن
canonical	کانونیک
canons	کانن ها
canopy	سایبان
cantaloupe	طالبی
cantbreathe	NO TRANSLATION
canteen	سالن غذاخوری
canterbury	Canterbury
canthandleit	NO TRANSLATION
cantilever	کانستر
cantina	cantina
canto	NO TRANSLATION
canton	کانتون
cantstandit	NO TRANSLATION
cantwin	cantwin
canvas	بوم
canvass	NO TRANSLATION
canyon	کانیون
cap	کلاه لبه دار
capability	توانایی
capable	قادر به
capacity	ظرفیت
cape	کلبه
caper	قاپیدن
capillary	مویرگی
capital	سرمایه، پایتخت
capitalism	نظام سرمایه داری
capitalist	سرمایه داری
capitalize	سرمایه گذاری کنید
capitals	پایتخت ها
capitation	سرقت
capitol	capitol
capitulation	سرقت
cappuccino	کاپوچینو
caprice	کسر
capricious	فریبنده
caps	کلاه
capslock	کلید Caps Lock
capsule	کپسول
captain	کاپیتان
caption	عنوان
captivate	فریب دادن
captivating	فریبنده
captive	اسیر
captivity	اسارت
captor	سرقت
capture	گرفتن
car	ماشین
caramel	کارامل
carat	کاراته
caravan	کاروان
carbon	کربن
carburetor	کاربراتور
carcass	لاشه
carcinoma	کارسینوما
card	کارت
cardboard	مقوا
cardiac	قلب
cardigan	ژاکت کش باف پشمی
cardinal	کاردینال
cardiologist	متخصص قلب
cardiology	قلب و عروق
cardiomyopathy	كارديوميوپاتي
cards	کارت ها
care	اهميت دادن
career	حرفه
carefree	بی رحم
careful	مراقب باشید
carefully	با دقت
careless	بی توجه
carelessness	سهل انگاری
caress	نوازش
caret	مراقب باشید
caretaker	سرپرست
cargo	محموله
caribou	کاربیو
caricature	کاریکاتور
caries	پوسیدگی
caring	مراقبت
carjack	کاراجک
carnage	قتل عام
carnal	بدنی
carnation	هویج
carnival	کارناوال
carnivorous	گوشت خوار
carol	کارول
carols	کلاه قرمزی
carousel	چرخ فلک
carp	کپور
carpal	مپال
carpenter	نجار
carpentry	نجاری
carpet	فرش
carpeting	موکت
carpool	کارپول
carriage	حمل و نقل
carried	انجام
carrier	حامل
carrot	هویج
carry	حمل
carrying	حمل کردن
carsick	اتومبیل
cart	سبد خرید
carte	NO TRANSLATION
cartel	کارتل
carter	کارتر
cartilage	غضروف
cartographic	کارتوگرافی
cartography	کارتوگرافی
carton	کارتن
cartoon	کارتون
cartouche	NO TRANSLATION
cartridge	کارتریج
carve	حك كردن
carver	کارور
carving	حکاکی کردن
cascade	آبشار
case	مورد
casein	کازئین
cash	پول نقد
cashier	صندوقدار
cashmere	قهوه خانه
casing	پوشش
casino	کازینو
cask	بشکه
casket	جعبه
casserole	کلم بروکلی
cassette	کاست
cast	قالب
castaway	سقوط
caste	کست
caster	کاستور
castle	قلعه
castor	کاستور
castrate	کاسه زدن
castration	اختگی
casual	گاه به گاه
casually	به طور تصادفی
casualty	سانحه، کشته
cat	گربه
catabolism	کاتابولیسم
catalog	کاتالوگ
catalogue	کاتالوگ
catalysis	کاتالیزوری
catalyst	کاتالیزور
catalytic	کاتالیزوری
catamaran	کاتامان
catapult	منجنیق
cataract	آب مروارید
catastrophe	فاجعه
catastrophic	مصیبت بار
catatonic	کاتاتونیک
catch	گرفتن
catcher	گیرنده
catching	گرفتگی
catchphrase	فریب کلمات
catchy	جذاب
catechism	کتک زدن
categorical	قطعی
category	دسته بندی
cater	تهیه کنید
caterer	غذاخوری
caterpillar	کاترپیلار
cates	کیتس
catfish	گربه ماهی
cathartic	cathartic
cathedral	کلیسای جامع
catheter	کاتتر
catholic	کاتولیک
cathouse	کثافت
catnip	گره خورده
cattle	گاو
catwalk	تپه
caucus	کنگره
caudal	کادو
cauldron	دیگ
cauliflower	گل كلم
caulk	کلفت کردن
causal	علت
causality	علیت
causation	علیت
cause	علت
caused	باعث
causeway	جاده
caution	احتیاط
cautionary	احتیاط
cautious	محتاط
cautiously	بااحتیاط، محتاطانه
cavalier	سرگردان
cavalry	سواره نظام
cave	غار
caveat	هشدار
caveman	غارنشین
cavern	غار
cavernous	cavernous
caviar	خاویار
caving	غرق شدن
cavity	حفره
cayenne	فلفل قرمز
cease	بس
ceasefire	آتش بس
ceaseless	بی وقفه
cedar	سدر
cede	رد شدن
ceiling	سقف
celebrant	جشن تولد
celebrate	جشن گرفتن
celebrated	جشن گرفت
celebrating	جشن گرفتن
celebration	جشن
celebrations	جشن ها
celebratory	جشن عروسی
celebrity	فرد مشهور
celery	کرفس
celestial	آسمانی
celibacy	بی تفاوتی
celibate	سلتیک
cell	سلول
cellar	انبار
cellblock	cellblock
cellist	سلول انفرادی
cellmate	همکلاسی
cello	سلولز
cellophane	سلفون
cellular	سلولی
cellulite	سلولیت
celluloid	سلولوئید
cement	سیمان
cemented	سیمان
cemetery	قبرستان
censor	سانسور
censorship	سانسور
censure	محکومیت
census	سرشماری
cent	سنت
centenary	صد سالگی
centennial	صد سالگی
center	مرکز
centerfold	centerfold
centerpiece	مرکزی
centimeter	سانتیمتر
centipede	هزار پا
central	مرکزی
centrality	مرکزیت
centralization	تمرکز
centralize	متمرکز کردن
centrally	مرکزی
centrifugal	گریز از مرکز
centrifuge	سانتریفیوژ
centurion	صدرنشین
century	قرن
ceramic	سرامیک
ceramics	سرامیک
cereal	غلات
cereals	غلات
cerebral	مغزی
ceremonial	مراسم
ceremony	مراسم
certain	مسلم - قطعی
certainty	یقین
certifiable	گواهینامه
certificate	گواهینامه
certified	گواهی شده
certify	گواهینامه
cervical	گردن
cervix	گردن رحم
cess	پایان دادن
cessation	پایان دادن
cesspool	سسپول
cha cha	NO TRANSLATION
chaff	چاقو
chafing	خرد کردن
chagrin	چاقی
chagrined	برگردان
chai	چای
chain	زنجیر
chainsaw	اره برقی
chair	صندلی
chairman	رئيس
chairperson	رئیس
chairwoman	رئیس
chaise	چای
chalet	چمدان
chalice	چای
chalk	گچ
challenge	چالش
challenger	رقیب
chamber	محفظه
chambermaid	اتاق نشیمن
chambers	اتاق ها
chameleon	کلاه قرمزی
champ	قهرمان
champagne	شامپاین
champion	قهرمان
championship	قهرمانی
chance	شانس
chancellor	صدراعظم
chandelier	لوستر
chandler	چاندلر
change	تغییر دادن
changeable	تغییر پذیر
changed	تغییر کرد
changer	تعویض
changing	تغییر دادن
channel	کانال
chant	آواز خواندن
chaos	آشوب
chaotic	بی نظم
chap	چپ
chapel	کلیسا
chaperon	شاپرن
chaplain	سرپرست
chapman	چپمن
chaps	فاحشه ها
chapter	فصل
char	کاراکتر
character	شخصیت
characteristic	مشخصه
characterize	مشخصه
charade	چیدمان
charcoal	زغال چوبی
chardonnay	chardonnay
charge	شارژ
chargeable	قابل پرداخت است
charger	شارژر
chariot	ارابه
charisma	جذابیت
charismatic	کاریزماتیک
charitable	خیریه
charity	خیریه
charlatan	شارلاتان
charm	افسون
charmed	جذاب
charmer	جذاب
charming	جذاب
charred	غلیظ شده
chart	چارت سازمانی
charter	منشور
chartered	منشور
chase	تعقیب
chased	تعقیب شد
chaser	چسر
chasm	شکاف عظیم
chassis	شاسی
chaste	خالی
chastened	ضرب و شتم
chastisement	مجازات
chastity	عفت
chat	چت
chateau	چابهار
chatter	پچ پچ
chatterbox	chatterbox
chattering	چرت زدن
chatty	چت روم
chauffeur	راننده
chauvinist	شوونیست
cheap	ارزان
cheapened	cheapened
cheapskate	cheapskate
cheat	تقلب کردن
cheater	تقلب
check	بررسی
checkbook	دسته چك
checker	چک کن
checkered	چکرز
checkers	چکرز
checklist	چک لیست
checkmate	چکمه
checkout	وارسی
checkpoint	ایست بازرسی
checkup	بازرسی
cheek	گونه
cheeks	گونه ها
cheeky	پر رو
cheep	چیپس
cheer	تشویق کردن
cheered	تشویق شد
cheerful	بشاش
cheerfulness	شادابی
cheering	تشویق
cheerleader	cheerleader
cheerleading	cheerleading
cheerless	شاد
cheers	به سلامتی
cheery	شاد
cheese	پنیر
cheeseburger	چيزبورگ
cheesecake	پنیر کیک
cheesy	پنیری
cheetah	یوزپلنگ
chef	سرآشپز
chemical	شیمیایی
chemise	NO TRANSLATION
chemist	شیمیدان
chemistry	علم شیمی
chemo	شیمیدان
chemotherapy	شیمیدرمانی
cheque	بررسی
cherish	گرامی داشتن
cherishing	گرامی داشتن
cherry	گیلاس
cherub	کربلای
chess	شطرنج
chest	قفسه سینه
chestnut	فندق
chevron	شروون
chew	جویدن
chewy	جویدن
chic	شیک
chicane	چیکن
chick	جوجه
chicken	جوجه
chicken pox	ابله مرغان
chickenpox	ابله مرغان
chief	رئیس
chiefly	عمدتا
chieftain	رهبر
chiffon	تیفوسی
child	کودک
childbirth	زایمان
childhood	دوران کودکی
childish	کودکانه
childless	بدون فرزند
childlike	کودکانه
childloss	NO TRANSLATION
children	فرزندان
chili	فلفل
chill	سرد شدن
chilled	سرد
chilling	سرد
chilly	خنک
chime	زنگ زدن
chimera	کیمر
chimes	زنگ ها
chimney	دودکش
chimp	شامپاین
chimpanzee	شامپانزه
chin	چانه
china	چین
chinchilla	چينيشل
chine	NO TRANSLATION
chinook	چینیوک
chip	تراشه
chipmunk	توت فرنگی
chipper	چاقو
chipping	تراشه
chiropractor	کیهان شناسی
chirp	صدای جیر جیر
chirping	خنده دار
chisel	اسکناس
chiseler	فریبنده
chit	چت
chitchat	چرت زدن
chivalry	دوستی
chloride	کلرید
chlorine	کلر
chloroform	کلروفرم
chocolate	شکلات
choice	انتخابی
choir	گروه کر
choke	خفه کردن
cholera	وبا
cholesterol	کلسترول
choose	انتخاب کنید
choosing	انتخاب کردن
choosy	انتخابی
chop	تکه کردن
chopper	هلی کوپتر
choppers	هلی کوپترها
chopping	خرد کردن
chops	چپ
choral	choral
chord	وتر
chords	آکورد
chore	کارهای عادی و روزمره
choreographer	رقصنده
choreography	رقص بادی
chorus	گروه کر
chosen	انتخاب شده
chow	چو
chowder	کلوچه
christ	مسیح
christen	NO TRANSLATION
christening	تعمید
christian	مسیحی
christmas	کریسمس
christmasbreak	NO TRANSLATION
christmaseve	NO TRANSLATION
christmasspirit	NO TRANSLATION
christmassy	کریسمس
christmastime	کریسمس
chromatic	کروماتیک
chromatography	کروماتوگرافی
chrome	کروم
chromium	کروم
chromosome	کروموزوم
chronic	مزمن
chronicle	ضبط
chronograph	زمان سنج
chronological	زمان سنجی
chubby	چاق و چله
chuck	چاک
chuckle	خندیدن
chug	چنگ زدن
chum	چوم
chummy	چمنی
chump	چپ
chunk	تکه
chunky	چاک دار
church	کلیسا
churchyard	کلیسا
churn	تعویض
chute	چتر
chutney	یک نوع ترشی با ادویه
ciao	ciao
cider	شراب سیب
cigar	سیگار برگ
cigarette	سیگار
cilantro	سینه
cinch	سینچ
cinder	سیب زمینی
cinema	سینما
cinematic	سینمایی
cinematographer	فیلمبردار
cinematography	سینماگر
cinnamon	دارچین
cipher	رمز
circle	دایره
circling	چرخاندن
circuit	جریان
circuitry	مدار
circular	دایره ای
circulate	گردش
circulation	جریان
circulatory	گردش خون
circumcision	ختنه
circumference	محدوده
circumferential	محدوده
circumscribed	محدود است
circumstance	چگونگی، امر، تفصیل، شرایط محیط، پیش امد، شرح
circumstances	موقعیت
circumstantial	موقت
circumvent	دور زدن
circumvention	دور زدن
circus	سیرک
cirque	سیرک
cirrhosis	سیروز
cirrus	سیورس
cistern	مخزن
citadel	ارابه
citation	استناد
cite	بگو
citizen	شهروند
citizenship	شهروندی
citrine	citrine
citrus	مرکبات
city	شهر
citywide	در سراسر کشور
civic	مدنی
civics	مدنی
civil	مدنی
civilian	غیر نظامی
civilians	غیرنظامیان
civility	شهامت
civilization	تمدن
civilized	متمدن
clad	پوشیده شده
claim	ادعا
claimant	ادعا کننده
clairvoyant	دائمی
clam	کلم
clambake	clambake
clammy	کثیف
clamor	سر و صدا
clamp	گیره
clan	قبیله
clandestine	مخفیانه
clang	چنگال
clap	کف زدن
clapper	کف زدن
clapping	کف زدن
clarification	شفاف سازی
clarify	روشن کردن
clarinet	کلارینت
clarion	روشنایی
clarity	وضوح
clash	برخورد
clashing	درگیر شدن
clasp	بستن
class	کلاس
classic	کلاسیک
classic rock	سنگ کلاسیک
classical	کلاسیک
classics	کلاسیک
classification	طبقه بندی
classified	طبقه بندی شده
classify	طبقه بندی کردن
classmate	همکلاسی
classroom	کلاس درس
classy	درجه یک
clatter	کلوچه
clause	بند
clauses	مقررات
claustrophobia	مشکوک
claustrophobic	انفجاری
clavicle	کلوچه
claw	پنجه
claws	پنجه
clay	خاک رس
clean	تمیز
cleaner	پاک کننده
cleaning	تمیز کردن
cleanliness	پاکیزگی
cleanly	پاک کن
cleanse	تمیز کردن
cleanser	پاک کننده
cleansing	پاکسازی
cleanup	پاک کردن
clear	روشن است
clearance	ترخیص کالا از گمرک
clearing	پاکسازی
clearness	روشنایی
cleat	پاک کردن
cleavage	تکه تکه شدن
cleave	جدا شدن
cleaver	NO TRANSLATION
clef	کلید
cleft	شکاف
clemency	مهربانی
clench	گیر کردن
clergy	روحانیت
clergyman	روحانیت
cleric	روحانیت
clerical	روحانی
clerk	منشی
clerkship	دفتر کار
clever	باهوش
cleverness	هوشمندانه
click	کلیک
clicker	کلیک کنید
client	مشتری
clientele	ارباب رجوع
cliff	صخره
climate	آب و هوا
climatology	اقلیم شناسی
climax	اوج
climb	بالا رفتن
climber	کوهنورد
clinch	کلانچ
cling	چسبیده
clingy	چسبیده
clinic	درمانگاه
clinical	بالینی
clink	کلینیک
clip	کلیپ
clipboard	کلیپ بورد
clipper	کلیپر
clipping	قطع کردن
clique	NO TRANSLATION
clitoris	دلقک
cloak	ملافه
cloaking	مخفی کردن
cloakroom	رختکن
clobber	جادوگر
clock	ساعت
clockwork	ساعت کار
clod	کلوچه
clog	مسدود کردن
cloister	پرستشگاه
clone	شبیه
cloning	کلونینگ
close	بستن
closed	بسته شد
closeness	نزدیکی
closet	کمد لباس
closure	بسته
clot	لخته خون
cloth	پارچه
clothe	لباس
clothes	لباس ها
clothesline	خط مشی
clothing	تن پوش
cloud	ابر
clouded	ابرها
cloudiness	ابری
clouds	ابرها
cloudy	ابری
clout	نفوذ
clove	میخک
clover	شبدر
cloves	میخک ها
clown	دلقک
clowns	دلقک ها
club	باشگاه
clubhouse	باشگاه
clubs	باشگاه ها
cluck	گیر دادن
clue	سرنخ
clueless	بی ادبی
clump	توده
clumsy	دست و پا چلفتی
clunk	دلقک
cluster	خوشه
clutch	کلاچ
clutches	چنگال
clutter	کلفت
coach	مربی
coachman	مربی
coagulation	انعقاد
coal	زغال سنگ
coalesce	تلفیق
coalition	ائتلاف
coarse	درشت
coast	ساحل
coastal	ساحلی
coaster	coaster
coastline	خط ساحلی
coat	کت
coating	پوشش
coax	زنگ زدن
cobalt	کبالت
cobble	کوبیده شدن
cobbler	جادوگر
cobra	کبرا
cocaine	کوکائین
cock	خروس
cockamamie	cockamamie
cockeyed	کوکی
cockpit	کابین خلبان
cockroach	سوسک
cocksucker	cocksucker
cocktail	کوکتل
cocky	از خود راضی
cocoa	کاکائو
coconut	نارگیل
cocoon	نارون
cod	COD
code	کد
codeine	کدئین
codex	کدکس
codfish	codfish
codification	کدگذاری
codify	کدگذاری
coding	برنامه نویسی
coed	مختلط
coefficient	ضریب
coerce	مجازات
coercion	اجبار
coercive	اجباری
coexist	همزیستی
coexistence	همزیستی
coexisting	همزیستی
coffee	قهوه
coffee table	میز قهوه
coffeehouse	قهوه خانه
coffeepot	قهوه جوش
coffin	تابوت
cog	دنده
cogent	محتاطانه
cognac	کنیاک
cognate	شناخته شده
cognition	شناختن
cognitive	شناختی
cohabitation	زندگی مشترک
coherence	انسجام
coherent	منسجم
cohesion	انسجام
cohesive	انسجام
cohort	کوهورت
coil	سیم پیچ
coiled	پیچ خورده
coin	سکه
coinage	سکه
coincide	مصادف شدن
coincidence	اتفاقی
coincident	همزمان است
coincidental	تصادفی
coinciding	همزمان است
coke	کک
cola	کولا
cold	سرماخوردگی
coldly	سردم
coldness	سردی
coldsweat	NO TRANSLATION
coleslaw	کولوسول
colic	کولیک
coliseum	coliseum
collaborate	همکاری
collaboration	همکاری
collaborator	مشارکت کننده
collage	کولاژ
collagen	کلاژن
collapse	سقوط - فروپاشی
collar	یقه
collarbone	کلسترول
collate	جمع کن
collateral	وثیقه
collation	مقابله
colleague	همکار
collect	جمع کن
collected	جمع آوری شده
collection	مجموعه
collective	جمعی
collectively	مجموعا
collector	جمع کننده
college	دانشکده
collegiate	کالج
collide	برخورد کنید
collie	کالی
collision	برخورد
collocation	جابجایی
colloquial	گفتگو
collusion	تبانی
cologne	کلن
colon	کولون
colonel	سرهنگ
colonial	استعماری
colonic	کولون
colonoscopy	کولونوسکوپی
colony	مستعمره
colophon	کولونوفون
color	رنگ
coloration	رنگ آمیزی
colored	رنگی
colorful	رنگارنگ
coloring	رنگ آمیزی
colorless	بی رنگ
colors	رنگ ها
colossal	عظیم
colt	کولت
columbine	کلمباین
column	ستون
columnar	ستون
columnist	مقالهنویس
com	NO TRANSLATION
coma	کاما
comatose	comatose
comb	شانه
combat	مبارزه کن
combatant	رزمندگان
combative	مبارز
combination	ترکیبی
combinatorial	ترکیبی
combine	ترکیب کردن
combined	ترکیب شده
combo	دسته کوچک موسیقی جاز
combustible	قابل احتراق
combustion	احتراق
come	بیا
comeback	باز گشت
comedian	کمدین
comedy	کمدی
comet	دنباله دار
comfort	راحتی
comfortable	راحت
comforter	ترقه
comforting	آرامش
comfy	راحت
comic	داستان مصور
comical	خنده دار
comics	کمیک ها
coming	آینده
comma	کاما
command	فرمان
commandant	فرمانده
commandeer	فرمانده
commander	فرمانده
commanding	فرمانده
commandment	فرمان
commando	کماندو
commemorate	یادبود
commemoration	یادبود
commemorative	یادبود
commence	شروع کن
commend	commend
commendable	قابل ستایش
commendation	تشویق
commensurate	متناسب
comment	اظهار نظر
commentary	تفسیر
commentator	مفسر
commerce	تجارت
commercial	تجاری
commie	کمدی
commissary	commissary
commission	کمیسیون
commissioner	کمیساریای
commit	مرتکب شدن
commitment	تعهد
committal	تحقیر
committed	مرتکب شده
committee	کمیته
commodity	کالا
commodore	کومورور
common	مشترک
commoner	عادی
commonly	معمولا
commonplace	عادی
commons	رایج
commonwealth	کشور مشترک
commotion	تعجب
communal	جمعی
commune	کمون
communicable	قابل حمل است
communicate	برقراری ارتباط
communication	ارتباطات
communicative	ارتباطی
communicator	ارتباط دهنده
communion	همبستگی
communism	کمونیسم
communist	کمونیست
community	جامعه
commutation	تعویض
commutative	جایگزین
commute	رفت و آمد
commuter	رفت و آمد
comp	کامپوننت
compact	فشرده
compaction	تراکم
compactness	فشرده سازی
companion	همراه و همدم
companionless	همراهی
companionship	همراهی
company	شرکت
comparable	قابل مقایسه است
comparative	مقایسه ای
comparatively	نسبتا
compare	مقایسه کنید
comparison	مقایسه
compartment	محفظه
compass	قطب نما
compassion	رحم و شفقت - دلسوزی
compassionate	دلسوز
compatibility	سازگاری
compatible	سازگار
compel	مجبور
compelled	مجبور
compelling	متقاعد کننده
compendium	مجله
compensate	جبران کردن
compensation	جبران خسارت
compensatory	جبران کننده
compete	رقابت کن
competence	صلاحیت
competency	شایستگی
competent	صالح
competition	رقابت
competitive	رقابتی
competitor	رقیب
