Word	lv
countryman	kaimiņš
countrymusic	NO TRANSLATION
countryside	laukos
counts	skaits
county	apgabals
coup	apvērsums
coupe	kupeja
couple	pāris
coupled	savienots
coupling	sakabe
coupon	kupons
courage	drosme
courageous	drosmīgs
courier	kurjers
courses	kursi
coursing	pavirzot
court	tiesa
courteous	pieklājīgs
courtesy	pieklājīgi
courthouse	tiesas ēka
courtroom	tiesas zāle
courts	tiesas
courtship	aizraušanās
courtside	tiesa
courtyard	pagalms
cousin	brālēns
cousins	brālēni
cove	kārta
coven	coven
covenant	derība
cover	piesegt
coverage	pārklājums
covered	uz ko attiecas
covering	aptverot
covert	slēpta
covet	kaķis
coveted	kāroto
cow	govs
coward	gļēvulis
cowardice	gļēvulība
cowardly	gļēvi
cowboy	kovboju
cowgirl	cowgirl
cowhand	cowhand
cowhide	govs āda
cowl	pārsegs
coworker	kolēģis
coy	coy
coyote	coyote
cozy	mājīgs
crab	krabis
crabby	crabby
crack	kreka
cracked	ieplaisājis
cracker	krekotājs
crackerjack	krekinga uzbrukums
cracking	plaisāšana
crackle	krekls
crackpot	raustīšanās
cradle	šūpulis
craft	kuģis
crafts	amatniecība
craftsman	amatnieks
craftsmanship	meistarība
crafty	gudrs
craig	craig
cram	cram
crammed	pieblīvēts
cramp	krampji
cramped	tukša
cranberry	dzērvene
cranberry juice	dzērveņu sula
crane	celtnis
cranial	galvaskauss
cranium	galvaskauss
crank	šarnīrs
cranky	cranky
cranny	klēpjdators
crap	crap
crappy	crappy
craps	craps
crash	crash
crass	crass
crate	kauss
crater	krāteris
crave	alkst
craving	tieksme
crawfish	līst
crawl	pārmeklēt
crayon	krīts
crayons	krītiņi
craze	padarīt traku
crazed	traks
craziness	trakums
crazy	traks
creak	čīkstēt
creaking	sīksts
cream	krējums
creamed	krēms
creamer	krēmers
creamy	krēmveida
crease	krējums
create	izveidot
creation	radīšana
creative	radošs
creativity	radošums
creator	radītājs
creature	būtne
credence	ticība
credential	credential
credentials	akreditācijas dati
credibility	uzticamība
credible	ticami
credit	kredīts
credit card	kredītkarte
creditable	uzticams
credited	kredīts
crediting	kreditēšana
creditor	kreditors
creed	ticība
creek	Grīva
creep	slīdēt
creeper	creeper
creeping	slīdošs
creepy	rāpojošs
cremation	kremācija
creole	kreolī
crepe	kreps
crescendo	crescendo
crescent	pusmēness
crest	kūka
crestfallen	kritušies
cretin	kretins
cretins	kretiņi
crevice	plaisa
crew	ekipāža
crewman	apkalpes loceklis
crib	bērnu gultiņa
cricket	krikets
cried	kliedza
crime	noziegums
criminal	noziedznieks
criminality	noziedzība
crimp	saspiežot
crimson	sārtināt
cringe	cringe
cripple	kropls
crippled	kropls
crippling	graujoša
crisis	krīze
crisp	kraukšķīga
crispy	kraukšķīgs
criterion	kritērijs
critic	kritiķis
critical	kritisks
criticise	kritizēt
criticism	kritika
criticize	kritizēt
criticized	kritizēts
critique	kritika
critter	Critter
croak	kraukšķēt
croc	croc
crock	krokot
crockery	traukus
crocodile	krokodils
croft	vainags
croissant	kruasāns
crook	krāpnieks
crooked	greizsirdīgs
crop	kultūraugu
croquet	krokete
cross	šķērsot
cross country	pāri zemei
crossbow	krustojums
crossed	šķērsoti
crossfire	crossfire
crossing	šķērsošana
crossover	crossover
crosswalk	pāreja
crossword	krustvārdu
crotch	kājstarpes
crouch	kratīties
crouched	piekabinusi
crouching	kratīties
croupier	krupjē
crow	vārna
crowbar	lēciens
crowd	pūlis
crowded	pārpildīts
crowds	pūļus
crown	vainags
crowning	vainags
crucial	izšķiroša
cruciate	krustojums
crucifix	krucifikss
crucifixion	krustā sišana
crucify	krustā sišana
crud	crud
crude	neapstrādāts
cruel	nežēlīgs
cruelly	nežēlīgi
cruelty	nežēlība
cruise	kruīzs
cruise ship	kruīza kuģis
cruiser	kreiseris
cruising	kreisēšanas
crumb	drupatas
crumble	drupināt
crumbling	graujošs
crummy	kraukšķīgs
crunch	krīze
crunchy	kraukšķīgs
crusade	krusta karš
crusader	krustnešs
crush	simpātiju
crushed	sasmalcināts
crusher	drupinātājs
crushing	saspiešana
crust	garozs
crusty	garozi
crutch	kruķis
crux	krāpšana
cry	raudāt
crybaby	crybaby
crying	raudāja
crypt	kripts
cryptic	noslēpumains
cryptography	kriptogrāfija
crystal	kristāls
crystalline	kristālisks
crystallization	kristalizācija
cub	kub
cubby	cubby
cube	kubs
cubic	kubiskais
cubicle	kabīne
cuckold	cūkas
cuckoo	govs
cucumber	gurķi
cuddle	cuddle
cuddled	cuddled
cuddles	cuddles
cuddling	cuddling
cue	cue
cuff	aproces
cuisine	virtuve
culinary	kulinārijas
cull	iztukšots
culminate	beidzas
culmination	kulminācija
culpability	vainīgums
culpable	vainīgs
culprit	vaininieks
cult	kulta
cultivate	audzēt
cultivated	audzē
cultivation	audzēšana
cultural	kultūras
culture	kultūra
cultured	kultivēta
culvert	caurule
cumbersome	apgrūtinoša
cumulus	kuprītis
cunning	viltīgs
cunt	cunt
cup	kauss
cupboard	skapis
cupcake	kēksiņš
cupping	kafija
cur	cur
curable	izārstējams
curate	pasniedzējs
curative	ārstniecisks
curator	kurators
curb	apgriezties
curd	biezputra
cure	dziedēt
curfew	vakara zvans
curiosity	zinātkāre
curious	ziņkārīgs
curl	čokurošanās
curling	curling
currency	valūta
current	strāva
curriculum	mācību programma
curry	karijs
curse	lāstu
cursed	nolādēts
cursing	lāsts
cursory	īsi
curt	curt
curtail	samazināt
curtailment	samazinājums
curtain	aizkaru
curtains	aizkari
curtsy	dīvains
curvature	izliekums
curve	līkne
curved	izliekta
curvilinear	izliekts
cushion	spilvens
cushy	maiga
cusp	cusp
cuss	kiss
cussed	cussed
custard	sinepes
custodial	brīvības atņemšana
custodian	turētājbanka
custody	aizbildnība
custom	pēc pasūtījuma
customary	ierasts
customer	klients
customized	pielāgota
cut	griezt
cutaneous	ādas
cute	gudrs
cuticle	kutikulas
cutie	mīļumiņš
cutlass	krūzīti
cutlery	galda piederumi
cutoff	nogriezt
cutter	kuteris
cutters	griezēji
cutthroat	glāstīt
cutting	griešana
cutting board	virtuves dēlis
cuttings	spraudeņi
cwt	cwt
cyanide	cianīds
cyberspace	kibertelpā
cycle	ciklu
cyclical	ciklisks
cyclist	riteņbraucējs
cyclone	ciklons
cylinder	cilindrs
cylindrical	cilindrisks
cymbal	cimbols
cynic	cinisks
cynical	cinisks
cynicism	cinisms
cyst	cista
cystic	cistiskā
cytomegalovirus	citomegalovīruss
cytoplasm	citoplazma
czar	karalis
dab	dab
dabble	dabble
dabbling	dabbling
dad	tētis
daddy	tētis
dado	NO TRANSLATION
daemon	dēmons
daft	smags
dagger	duncis
daily	katru dienu
dainty	garšīgs
daiquiri	daiquiri
dairy	piena produkti
daisy	margrietiņa
dak	NO TRANSLATION
dale	dale
dam	aizsprosts
damage	bojājums
damaged	bojāts
damages	zaudējumi
dame	dame
damn	nopelt
damnation	nolādēšana
damned	nolādēts
damp	mitrs
dampened	mitrina
damper	aizbīdnis
damsel	jauna meitene
dance	dejot
dancer	dejotājs
dancing	dejot
dandruff	blaugznas
dandy	dandy
danger	briesmas
dangerous	bīstama
dangerously	bīstami
dangit	NO TRANSLATION
dangle	vilināt
dank	NO TRANSLATION
dapper	dapper
dare	uzdrošināsies
daredevil	dusmīgs
daresay	daresay
daring	drosmīgs
dark	tumšs
darken	tumšs
darkened	tumšs
darkly	tumšs
darkness	tumsa
darkroom	tumša istaba
darkside	tumšā puse
darling	dārgais
darn	darn
dart	dart
dash	domuzīme
dashboard	mērinstrumentu panelis
dashed	bojāts
dashing	brašs
dastardly	dusmīgs
data	datus
database	datu bāze
date	datums
datenight	NO TRANSLATION
daughter	meita
dawdle	pazudināt
dawn	rītausma
dawned	sasniedza
day	diena
daybreak	saulriets
daycare	dienas aprūpe
daydream	sapnis
daydreaming	sapņo
daylight	dienasgaismas
daymade	NO TRANSLATION
dayoff	NO TRANSLATION
daytime	dienas laikā
daze	daze
dazed	dazed
dazzle	apžilbināt
dazzling	žilbinošs
deacon	diakonu
deactivate	deaktivizēt
dead	miris
deadbeat	deadbeat
deadline	nodošanas laiks
deadlines	termiņi
deadlock	strupceļš
deadly	nāvējošs
deaf	kurls
deafening	aizraujošs
deafness	kurlums
deal	darījumu
dealer	tirgotājs
dealership	izplatīšana
dealing	nodarbojas
dealings	darījumi
dean	dekāns
dear	dārgs
dearest	mīļākais
dearth	atlaist
death	nāve
deathbed	nāves gulta
deathly	nāvi
debacle	negadījums
debased	pasliktinājies
debatable	apstrīdams
debate	debates
debauchery	atriebība
debenture	debitoru parāds
debilitating	novājinoša
debit	debets
debrief	īss apraksts
debriefing	pārrunas
debris	gruveši
debt	parāds
debtor	parādnieks
debut	debija
debutante	debutante
decade	desmit gadu laikā
decadence	dekadence
decadent	dekadents
decaf	dekabs
decanter	karbonāts
decathlon	decathlon
decay	sabrukums
decayed	izpostīts
decaying	bojājas
deceased	miris
decedent	mirstīgais
deceit	krāpšana
deceitful	viltus
deceive	maldināt
deceived	maldināts
deceiving	maldināt
december	decembris
decency	pieklājība
decent	pienācīgas
deception	krāpšana
deceptive	maldinošs
decide	izlemt
decidedly	noteikti
deciduous	lapu koku
decimal	decimālskaitlis
decimeter	decimeter
decipher	atšifrēt
decision	lēmums
decisive	izšķiroša
deck	klājs
declaration	deklarācija
declaratory	deklaratīvs
declare	deklarēt
declination	slāpēšana
decline	samazināsies
declining	samazināsies
deco	deco
decode	atšifrēt
decoder	dekodētājs
decompose	sadalīties
decomposed	sadalīts
decomposition	sadalīšanās
decompress	atspiest
decompression	dekompresija
decontamination	dekontaminācija
decor	dekori
decorate	dekorēt
decorating	dekorēšana
decoration	dekorēšana
decorative	dekoratīvs
decorator	dekorators
decorum	dekorācija
decoy	sautēt
decrease	samazināt
decreased	samazinājās
decreasing	samazinās
decree	dekrēts
decrement	samazinājums
decrepit	dusmīgs
decry	noliegt
decryption	atšifrēšana
dedicate	veltīt
dedication	veltījums
deduce	secināt
deduct	atskaitīt
deductible	atskaitāms
deduction	atskaitīšana
deed	akts
deejay	dejaja
deem	domāju
deep	dziļi
deepen	padziļināt
deer	brieži
defamation	neslavas celšana
defamatory	apmelojoša
default	noklusējums
defeat	sakāvi
defeated	uzvarēts
defeatist	uzvarētājs
defect	defekts
defection	defection
defective	defekts
defector	defector
defend	aizstāvēt
defendant	apsūdzētais
defended	aizstāvēts
defender	aizstāvis
defending	aizstāvēt
defense	aizsardzība
defenseless	neaizsargāts
defensible	attaisnojams
defensive	aizsardzības
defer	atlikt
deference	cieņu
deferral	atlikšana
deferring	atlikšana
defiance	izaicinājums
defiant	izaicinošs
defibrillator	defibrilators
deficiency	trūkums
deficient	nepietiekams
deficit	deficīts
define	definēt
defined	definēts
definite	skaidrs
definition	definīcija
definitive	galīgs
deflate	deflēt
deflation	deflācija
deflect	novirzīt
deflection	novirze
defloration	deflorācija
deform	deformēties
deformed	deformēts
deformity	deformācija
defraud	apslāpēt
defray	aizsegt
defrost	atsaldēt
deft	gudrs
defunct	nesegt
defuse	iztukšot
defy	nepareizs
degeneracy	deģenerācija
degenerate	deģenerēt
degeneration	deģenerācija
degradation	degradācija
degrade	pazemināt
degraded	degradēta
degrading	pazemojošs
degree	grāds
dehydrated	dehidrēts
dehydration	dehidratācija
dejected	nomākts
delay	kavēšanās
delayed	aizkavēta
delectable	aizraujošs
delegate	deleģēt
delegation	delegācija
delete	dzēst
deleterious	kaitīgs
deletion	dzēšana
deli	deli
deliberate	apzināta
deliberation	apspriede
deliberative	apspriedes
delicacy	delikatese
delicate	delikāts
delicatessen	delikateses
delicious	garšīgi
delight	prieks
delighted	priecīgs
delightful	apburošs
delineate	apzīmēt
delineation	robežu noteikšana
delinquency	likumpārkāpums
delinquent	likumpārkāpējs
delirious	delirious
delirium	delīrijs
deliver	piegādāt
deliverance	atbrīvošana
delivery	Piegāde
dell	dell
delta	delta
delude	maldināt
deluge	nolaišanās
delusion	maldi
delusional	mānīgs
deluxe	deluxe
delve	iedurties
demand	pieprasījums
demanding	prasīga
demeaned	pazemojies
demeaning	pazemojoša
demeanor	izturēšanās
demented	demīgs
dementia	demence
demise	likvidēt
demo	demo
democracy	demokrātija
democrat	demokrāts
democratic	demokrātisks
demographic	demogrāfisks
demolish	nojaukt
demolished	nojaukts
demolition	nojaukšana
demon	dēmons
demonic	dēmonisks
demonstrable	pierādāms
demonstrate	demonstrēt
demonstrated	pierādīts
demonstrating	demonstrējot
demonstration	demonstrēšana
demonstrative	demonstratīvs
demonstrator	demonstrators
demoralized	demoralizēts
demos	demos
demure	nedrošs
den	NO TRANSLATION
deniability	deniability
denial	noliegšana
denied	noraidīts
denim	džinsa
denomination	nominālvērtība
denominational	denominācijas
denominator	saucējs
denote	apzīmē
denounce	denonsēt
dense	blīvs
density	blīvums
dent	dent
dental	zobu
dentist	zobārsts
dentistry	zobārstniecība
dentists	zobārsti
denunciation	denonsēšana
deny	noliegt
denying	noliedz
deodorant	dezodorants
depart	izlidot
departed	aizgājis
department	nodaļa
departmental	departamentu
departure	izlidošana
depend	atkarīgs
dependable	uzticams
dependant	atkarīgs
dependence	atkarība
dependency	atkarība
dependent	atkarīgs
depict	attēlot
depicting	attēlojot
depletion	noplicināšana
deplorable	nožēlojams
deplore	nožēlu
deploy	izvietot
deployment	izvietošana
deport	deportēt
deportation	deportācija
depose	nomest
deposit	depozīts
depositary	depozitārijs
deposition	nogulsnēšana
depository	depozitārijs
depot	depo
depraved	izpostīts
depravity	izvarīgums
depreciate	nolietot
depreciated	nolietojums
depreciation	nolietojums
depress	nospiediet
depressed	nomākts
depressing	nomācošs
depression	depresija
depressive	depresija
depresson	NO TRANSLATION
deprivation	atņemšana
deprive	atņemt
deprived	atņemts
depth	dziļums
deputy	vietnieks
derail	atkāpties no sliedēm
deranged	nepareizs
derelict	pamesti
derision	izmainīšana
derivation	atvasinājums
derivative	atvasinājums
derive	atvasināt
dermal	Ādas
dermatologist	dermatologs
dermatology	dermatoloģija
derogation	atkāpe
derogatory	izmisīgs
descend	nolaisties
descendant	pēctecis
descendent	NO TRANSLATION
descending	dilstošā secībā
descent	nolaišanās
describe	aprakstīt
description	apraksts
descriptive	aprakstošs
desecrate	desecrate
desecration	apvainojums
desert	tuksnesis
deserted	pamests
deserter	deserter
desertion	iznīcināšana
deserve	pelnījuši
deserved	pelnījis
deserving	pelnījusi
design	dizains
designate	izraudzīties
designated	izraudzīta
designation	apzīmējums
designed	izstrādāts
designer	dizainers
designing	projektēšana
desirability	vēlamība
desirable	vēlams
desire	vēlme
desiring	vēloties
desirous	vēlas
desist	noraidīt
desk	rakstāmgalds
desolate	tukšs
desolation	aplaupīšana
despair	izmisums
despairing	izmisums
despatch	izsūtīšana
desperado	desperado
desperate	izmisuma
desperation	izmisums
despicable	nicināms
despise	nicināt
despondent	trūcīgs
despotic	despotiski
despotism	despotisms
dessert	deserts
destination	galamērķis
destined	paredzēts
destiny	liktenis
destitute	nabadzīgs
destroy	iznīcināt
destroyed	iznīcina
destroyer	iznīcinātājs
destroying	iznīcināt
destruct	iznīcināt
destruction	iznīcināšana
destructive	destruktīvs
detach	noņemt
detached	atdalīts
detachment	atdalīšana
detail	detaļa
detailed	detalizēts
details	detaļas
detain	aizturēt
detainee	aizturēts
detect	atklāt
detectable	nosakāms
detection	atklāšana
detective	detektīvs
detector	detektors
detention	aizturēšana
deter	atturēt
detergent	mazgāšanas līdzeklis
deteriorate	pasliktināties
deteriorated	pasliktinājusies
deteriorating	pasliktinoties
deterioration	pasliktināšanās
determinable	nosakāms
determinate	noteicošais
determination	noteikšana
determine	noteikt
determined	noteikts
deterrent	preventīvs līdzeklis
detest	kaitē
detestation	mierinājums
detonate	detonēt
detonation	detonācija
detonator	detonators
detour	apvedceļš
detract	mazināt
detriment	kaitē
detrimental	kaitīga
detritus	detritus
deuce	dievs
deutschmark	deutschmark
devalued	devalvēts
devastate	iznīcināt
devastated	izpostīti
devastating	postošu
devastation	izpostīšana
develop	attīstīties
developer	izstrādātājs
developing	attīstot
development	attīstība
deviant	deviants
deviate	novirzīt
deviating	novirzās
deviation	novirze
device	ierīce
devil	velns
deviled	deviled
devilish	velnišķīgs
devious	nikns
devise	izstrādāt
devoid	nav
devolution	decentralizācija
devolve	nodot
devote	veltīt
devoted	veltīts
devotee	bhakta
devotion	svētība
devotional	garīgā kalpošana
devour	apēst
devout	dievbijīgs
dew	rasa
dexter	deksteris
dexterity	veiklība
dextrose	dekstroze
diabetes	diabēts
diabetic	cukura diabēts
diabolical	velnišķīgs
diagnose	diagnosticēt
diagnosis	diagnoze
diagnostic	diagnostikas
diagnostics	diagnostika
diagonal	diagonāli
diagram	diagramma
dial	zvani
dialect	dialekts
dialectic	dialektika
dialogue	dialogs
dialysis	dialīze
diameter	diametrs
diamond	dimants
diamonds	dimanti
diaper	autiņš
diaphragm	diafragma
diarrhea	caureja
diarrhoea	caureja
diary	dienasgrāmata
diatribe	diatribe
dib	NO TRANSLATION
dibs	dibs
dice	kauliņi
dicey	dicey
dichotomous	divtūrisks
dichotomy	divtomija
dick	penis
dickhead	dickhead
dicks	Dikki
dictate	diktēt
dictation	diktācija
dictator	diktators
dictatorial	diktatorisks
dictatorship	diktatūra
diction	dikcija
dictionary	vārdnīca
dictum	NO TRANSLATION
didactic	didaktiskā
diddle	izlikties
die	NO TRANSLATION
died	nomira
diesel	dīzeļa
diet	diēta
dietary	diēta
differ	atšķiras
difference	starpība
differences	atšķirības
different	atšķirīgs
differential	diferenciālis
differentiation	diferenciācija
differently	atšķirīgi
differing	atšķiras
difficult	grūti
difficulties	grūtības
difficulty	grūtības
diffuse	difūzs
diffusion	izplatīšana
dig	NO TRANSLATION
digest	sagremot
digestion	gremošana
digestive	gremošanas trauksme
digit	cipars
digital	digitāls
dignified	cienīgs
dignify	cieniet
dignity	cieņu
digress	novirzīt
digs	NO TRANSLATION
dike	dike
dilapidated	novecojis
dilatation	dilatācija
dilation	dilatācija
dildo	dildo
dilemma	dilemma
diligence	rūpīgums
diligent	cītīgs
dill	dilles
diluent	atšķaidītājs
dilute	atšķaidīt
diluted	atšķaidīts
dilution	atšķaidīšana
dim	mazs
dime	izmērs
dimension	dimensija
dimensional	dimensiju
diminish	samazināsies
diminished	samazināts
diminution	samazinājums
diminutive	diminutive
dimwit	dimwit
din	NO TRANSLATION
dine	vakariņot
diner	ēdnīca
dinghy	dinghy
dingo	dingo
dingy	dingy
dining	pusdienas
dinky	dinky
dinner	vakariņas
dinnertime	vakariņas
dinosaur	dinozaurs
dint	zobs
diocesan	diecēzes
diocese	diecēze
diorama	diorāma
dioxide	dioksīds
dip	iegremdēt
diploma	diploms
diplomacy	diplomātija
diplomat	diplomāts
diplomatic	diplomātiskais
dipper	dipper
dippy	dipīgs
dipstick	mērstieņa
dire	NO TRANSLATION
direct	tieši
directed	vērsta
direction	virziens
directive	direktīva
directly	tieši
director	režisors
directory	katalogs
dirt	netīrumi
dirty	netīrs
disability	invaliditāte
disable	atspējot
disabled	invalīds
disadvantage	trūkums
disaffected	neapmierināts
disagree	nepiekrītu
disagreeable	nepatīkams
disagreeing	nepiekrītu
disagreement	nesaskaņas
disallow	aizliegt
disallowed	aizliegts
disapointment	NO TRANSLATION
disappear	izzūd
disappearance	izzušana
disappearing	pazūd
disappoint	izbrīns
disappointed	vīlušies
disappointing	vilties
disappointment	vilšanās
disapproval	noraidīšana
disapprove	noraidīt
disapproved	noraidīts
disapproving	neapmierinoša
disarm	atbruņot
disarray	izkropļojums
disaster	katastrofa
disastrous	katastrofāls
disband	izlaist
disbelief	neticība
disbelieve	netic
disburse	izmaksāt
disbursement	izmaksa
disc	disks
discard	izmest
discarded	izmet
discards	izmešanu
discern	uzzināt
discernible	atpazīstams
discerning	zinošs
discernment	izpratne
discharge	iztukšošanos
disciple	māceklis
disciplinary	disciplinārsods
discipline	disciplīna
disciplined	disciplinēts
disclaim	atteikties
disclaimer	atruna
disclose	atklāt
disclosed	atklāt
disclosure	atklāšana
disco	diskotēka
discoloration	krāsas maiņa
discolored	mainījis krāsu
discomfort	diskomforts
disconcerted	sašutums
disconcerting	apkaunojošs
disconnect	atvienojiet
disconnected	atvienots
disconnection	atvienošana
disconnects	atvieno
discontent	neapmierinātība
discontinuance	pārtraukšana
discontinue	pārtraukt
discontinuity	pārtraukums
discontinuous	pārtraukts
discord	nesaskaņas
discount	atlaide
discounted	diskontēts
discourage	atturēt
discouraged	drosmi
discouragement	atturība
discouraging	atturot
discourse	diskurss
discover	atklāt
discovery	atklāšana
discredit	diskreditēt
discredited	diskreditēts
discreet	NO TRANSLATION
discrepancy	neatbilstība
discrete	diskrēts
discretion	rīcības brīvība
discretionary	pēc izvēles
discriminate	diskriminēt
discriminating	diskriminējoša
discrimination	diskriminācija
discus	disks
discuss	apspriest
discussion	diskusija
disdain	padevība
disdainful	nicinošs
disease	slimība
diseased	slimība
disembodied	nemirstīgs
disengage	atslēgt
disengagement	atdalīšana
disfigured	izkropļots
disgrace	apkaunojums
disgraced	apkaunojošs
disgraceful	apkaunojošs
disgruntled	neapmierināts
disguise	noslēpt
disguised	slēpts
disgust	riebums
disgusted	niknums
disgusting	pretīgi
dish	ēdiens
disheartened	disheartened
disheartening	disheartening
dishonest	negodīgi
dishonesty	negodīgums
dishonor	negods
dishonorable	negodīgi
dishwasher	trauku mazgājamā mašīna
disillusionment	izmisums
disinclination	sajukums
disincline	noraidīt
disinclined	nesaprātīgs
disinfect	dezinficē
disinfectant	dezinfekcijas līdzeklis
disinfection	dezinfekcija
disinformation	dezinformācija
disingenuous	nepieklājīgs
disintegrate	saplīst
disintegration	disintegrācija
disinterested	bezintervēlēts
disjoint	nesaistīts
disjointed	sadalīts
disjunctive	disjunctive
disk	disks
diskette	disketi
dislike	nepatīk
disliked	nepatika
disliking	nepatika
dislocated	novirzīts
dislocation	dislokācija
dislodge	izlikt
disloyal	neobligāts
disloyalty	neobligātība
dismal	nelaimīgs
dismantle	demontēt
dismay	izbailes
dismayed	satraukts
dismemberment	sadalīšana
dismiss	atlaist
dismissal	atlaišana
dismissive	noraidošs
dismount	demontēt
disobedience	nepaklausība
disobedient	nepaklausīgs
disobey	nepaklausīt
disorder	traucējumi
disordered	traucēta
disorderly	nekārtīgs
disorganized	neorganizēts
disorientation	dezorientācija
disoriented	dezorientēts
disown	atsaukt
disparage	nolaidība
disparaging	negodīgi
disparate	atšķirīgs
disparity	atšķirība
dispassionate	bezpalīdzīgs
dispatch	nosūtīšana
dispatcher	dispečers
dispel	izkliedēt
dispensary	ambulance
dispensation	atlaide
dispense	izdalīt
dispenser	izsmidzinātājs
dispersal	izkliedēšana
disperse	izkliedēt
dispersed	izkliedēta
dispersion	dispersija
dispirited	izaicinājums
displace	aizvietot
displaced	pārvietots
displacement	pārvietošana
displacency	miglājība
display	displejs
displease	nepatīk
displeased	nepatīkami
displeasure	neapmierinātība
disposable	vienreizējai lietošanai
disposal	iznīcināšana
dispose	iznīcināt
disposed	apglabāts
disposition	izvietojums
dispossessed	atsavināts
disprove	noraidīt
dispute	strīds
disqualification	diskvalifikācija
disqualified	diskvalificēts
disqualify	diskvalificēt
disquieted	disquieted
disregard	ignorēt
disregarded	neņemts vērā
disrelish	noraidīt
disreputable	neapstrīdams
disrepute	nepareizs
disrespect	necieņu
disrespectful	necienīgs
disrupt	pārtraukt
disrupting	izjaucot
disruption	traucējumi
disruptive	graujošs
dissatisfaction	neapmierinātība
dissatisfied	neapmierināts
dissect	saplīst
dissection	šķelšanās
disseminate	izplatīt
dissemination	izplatīšana
dissension	domstarpības
dissent	domstarpības
dissenting	nepiekrītu
dissertation	disertācija
disservice	kalpošana
dissident	disidents
dissimilar	atšķirīgs
dissipate	izkliedēt
dissipated	izkliedēta
dissociation	disociācija
dissociative	disociatīvs
dissolution	izšķīšana
dissolve	izšķīst
dissonance	disonanss
dissuade	atsacīties
distal	distāls
distance	attālums
distant	tālu
distaste	izmisums
distasteful	nepatīkams
distillate	destilāts
distillation	destilācija
distilled	destilēts
distinct	atšķirīgs
distinction	atšķirība
distinctive	īpatnējs
distinguish	atšķirt
distinguishable	atšķirīgs
distinguished	atšķirt
distinguishing	atšķirt
distort	izkropļot
distorted	izkropļota
distortion	traucējumi
distract	novirzīt
distracted	izklaidīgs
distracting	novērš uzmanību
distraction	uzmanības novēršana
distraught	izkropļots
distress	ciešanas
distressed	apbēdināts
distressing	satraucošs
distribute	izplatīt
distribution	izplatīšana
distributor	izplatītājs
district	apgabals
distrust	neuzticēšanās
disturb	traucēt
disturbance	traucējumi
disturbed	traucēta
disturbing	satraucošs
disuse	neizmantot
disused	neizmantots
ditch	grāvis
ditto	tāpat
ditty	ditty
diurnal	diennaktī
diva	diva
divan	NO TRANSLATION
dive	nirt
diver	ūdenslīdējs
diverge	atšķirties
divergence	atšķirība
divergent	atšķirīgs
diverging	atšķiras
divers	nirēji
diverse	daudzveidīgs
diversified	daudzveidīga
diversify	diversificēt
diversion	novirzīšanās
diversionary	diversionārs
diversity	daudzveidība
divert	pāradresēt
diverting	novirzot
divest	atlaist
divested	atsavināts
divestment	nodošana
divide	sadalīt
divided	sadalīts
dividend	dividende
divination	zīlēšana
divine	dievišķa
divinity	dievišķība
divisible	dalāms
division	sadalīšana
divisor	dalītājs
divorce	laulības šķiršana
divorcee	šķiršanās
divulge	izpaust
divvy	divvy
dizziness	reibonis
dizzy	reibonis
do	dari
doable	izpildāms
doc	doc
docile	paklausīgs
dock	piestātne
docked	sakrauts
docket	dokuments
docking	piestātne
doctor	ārsts
doctorate	doktora grāds
doctrinal	doktrināls
doctrine	doktrīna
document	dokuments
documentary	dokumentālā filma
documentation	dokumentācija
documents	dokumentiem
dodge	dodge
dodger	viltnieks
dodging	dodging
dodgy	izmisīgs
dodo	dodo
doe	doe
doer	izpildītājs
dog	suns
dogface	dogface
dogged	zēns
doggy	sunītis
doghouse	suņu būda
dogma	dogma
dogmatic	dogmatisks
dogsick	NO TRANSLATION
doings	darījumi
doit	NO TRANSLATION
dojo	dojo
doldrums	slikta dūša
dole	dole
doll	lelle
dollar	dolārs
dollhouse	leļļu namiņš
dolor	NO TRANSLATION
dolphin	delfīns
domain	domēns
dome	dome
domestic	iekšzemes
domesticated	pieradināts
domestication	apreibināšanās
domicile	dzīvesvieta
domiciled	domicils
dominance	dominance
dominant	dominējošais
dominate	dominē
dominating	dominē
domination	dominance
dominatrix	dominatrix
dominion	valdīšana
domino	domino
don	don
donate	ziedot
donation	ziedojums
donkey	ēzeļa
donor	donoru
dontlikeyou	NO TRANSLATION
dontmess	NO TRANSLATION
dontmesswithme	dontmesswithme
dontpanic	Dontpanic
dontunderstand	NO TRANSLATION
doodle	doodle
doom	liktenis
doomed	nolemts
doomsday	pasludināšanas diena
door	durvis
doorbell	durvju zvans
doorknob	durvju rokturis
doorman	sargs
doormat	durvju aksesuārs
doornail	doornail
doorstep	sliekšņa
doorway	ieeja
dopamine	dopamīns
dope	dopings
dopey	dopey
dork	dork
dorky	dorki
dorm	kopmītnes
dormant	paliekošs
dormitory	kopmītne
dorsal	muguras
dosage	devu
dose	devu
dossier	dokumentācija
dot	punkts
doting	doting
dotted	punktēts
dotty	dotty
double	dubultā
doubled	divkāršojies
doublet	doublet
doubling	divkāršoties
doubt	šaubas
doubtful	apšaubāms
doubting	šauboties
doubtless	neapšaubāmi
doubts	šaubas
douche	duša
douchebags	douchebags
dough	mīklas
doughboy	smadzenes
doughnut	virtulis
dour	mītisks
douse	douse
dove	balodis
down	uz leju
downcast	lejupslīde
downer	pazemotājs
downfall	kritums
downfield	zemfilma
downhearted	pazemināta
downhill	lejup
download	lejupielādēt
downpour	lietusgāze
downright	godīgi
downriver	lejup
downside	negatīvie
downtime	dīkstāves
downward	uz leju
