Word	cy
complex	cymhleth
complexed	cymhleth
complexion	cymhleth
complexity	cymhlethdod
compliance	cydymffurfiaeth
compliant	cydymffurfio
complicate	cymhlethu
complicated	cymhleth
complication	cymhlethdod
complicity	cymhlethdod
compliment	NO TRANSLATION
complimentary	canmoliaethol
comply	cydymffurfio
complying	cydymffurfio
compo	compo
component	cydran
compose	cyfansoddi
composed	cyfansoddi
composer	cyfansoddwr
composite	cyfansawdd
composition	cyfansoddiad
compost	compost
composure	cyfansawdd
compound	cyfansawdd
comprehend	deall
comprehension	deall
comprehensive	cynhwysfawr
compress	cywasgu
compressed	cywasgedig
compressible	cywasgedig
compression	cywasgu
compressor	cywasgydd
comprise	yn cynnwys
compromise	cyfaddawd
comptroller	cyfrifyddwr
compulsion	gorfodaeth
compulsive	yn orfodol
compulsory	gorfodol
computable	computable
computation	cyfrifiad
compute	cyfrifo
computer	cyfrifiadur
computerized	cyfrifiadurol
computing	cyfrifiadurol
comrade	comrade
con	NO TRANSLATION
concatenation	concatenation
concave	eithaf
conceal	cuddio
concealed	cuddiedig
concealment	cuddio
concede	cydsynio
conceit	cuddio
conceited	cuddiog
conceivable	yn amlwg
conceive	beichiogi
concentrate	canolbwyntio
concentration	canolbwyntio
concentric	canolog
concept	cysyniad
conception	cenhedlu
concern	pryder
concerned	yn bryderus
concert	cyngerdd
concerto	concerto
concession	consesiwn
concessional	consesiynol
conch	conch
concierge	concierge
conciliation	cymodi
concise	cryno
conclave	conclave
conclude	dod i ben
concluding	gan gloi
conclusion	casgliad
conclusive	yn bendant
concoction	concoction
concomitant	concomitant
concord	concord
concordance	concordance
concours	NO TRANSLATION
concourse	cyffordd
concrete	concrid
concubine	concubin
concur	Cytuno
concurrence	cydsyniad
concurrent	cydamserol
concurring	yn cyd-fynd
concussion	concussion
condemn	condemnio
condemnation	condemniad
condensation	cyddwysiad
condensed	cywasgedig
condescending	condescending
condescension	cywasgu
condiment	condiment
condition	cyflwr
conditional	amodol
conditionally	yn amodol
conditioned	cyflyru
conditioner	cyflyrydd
conditioning	cyflyru
conditions	amodau
condo	condo
condolence	cydymdeimlad
condolences	cydymdeimlad
condom	condom
condone	cymeradwyo
condor	condor
conducive	ffafriol
conduct	arwain
conduction	dargludiad
conductivity	dargludedd
conductor	arweinydd
conduit	cylchdro
cone	côn
confederacy	cydffederasiwn
confederate	cydffederasiwn
confederation	cydffederasiwn
confer	rhoi
conference	cynhadledd
confess	cyfaddef
confession	cyffes
confessional	cyffesiynol
confessions	confesiynau
confetti	confetti
confidant	yn gyfrinachol
confide	cyfrinachwch
confidence	hyder
confident	hyderus
confidential	cyfrinachol
confidentiality	cyfrinachedd
confidentially	NO TRANSLATION
configuration	ffurfweddiad
confine	cyfyngu
confined	cyfyngedig
confinement	cyfyngu
confines	cyfyngiadau
confirm	cadarnhau
confirmation	cadarnhad
confirmatory	cadarnhaol
confirmed	cadarnhau
confiscate	atafaelu
confiscation	atafaelu
conflagration	conflagration
conflict	gwrthdaro
conflicting	gwrthdaro
confluence	confluence
conform	cydymffurfio
conformance	cydymffurfiaeth
conformation	NO TRANSLATION
conformity	cydymffurfiaeth
confound	yn ddryslyd
confounded	yn ddryslyd
confront	wynebu
confrontation	gwrthdaro
confuse	yn drysu
confused	yn ddryslyd
confusing	yn ddryslyd
confusion	dryswch
conga	conga
congenial	congenial
congenital	cynhenid
congestion	tagfeydd
conglomerate	crynhoi
conglomeration	crynhoad
congrats	congrats
congratulate	llongyfarch
congratulation	llongyfarchiadau
congratulations	Llongyfarchiadau
congratulatory	llongyfarchiad
congregate	ymgynnull
congregation	cynulleidfa
congress	cyngres
congressional	cyngresol
congressman	cyngreswr
congruence	cydymdeimlad
conic	conic
conical	conical
conjecture	cyfieithiad
conjugal	cyfunol
conjugate	cyfuniad
conjugation	cydlyniad
conjunction	cydweithrediad
conjunctive	cydgyfunol
conjure	cywiro
conjuring	cyfuno
conk	conk
connect	cysylltu
connected	cysylltiedig
connection	cysylltiad
connective	cysylltiol
connoisseur	connoisseur
conquer	goncro
conquering	yn ymgynnull
conqueror	conqueror
conquest	conquest
conscience	cydwybod
conscientious	cydwybodol
conscious	ymwybodol
consciousness	ymwybyddiaeth
conscription	consesiwn
consecrated	cysegredig
consecration	cysegru
consecutive	yn olynol
consensual	yn gydsyniol
consensus	consensws
consent	caniatâd
consenting	cydsynio
consequence	Canlyniad
consequent	o ganlyniad
conservation	cadwraeth
conservatism	gwydadwriaeth
conservative	ceidwadol
conservatory	ystafell wydr
conserve	cadw
consider	ystyriwch
considerable	sylweddol
considerate	yn ystyriol
consideration	ystyried
consignee	traddodai
consignment	llwyth
consist	yn cynnwys
consistency	cysondeb
consistent	yn gyson
consolation	cysur
console	consol
consoled	consoled
consolidate	cyfuno
consolidated	cyfunol
consolidation	cyfuno
consonant	consonant
consort	consort
conspicuous	amlwg
conspiracy	conspiracy
conspirator	conspiradwr
conspire	cydweddu
constable	cwnstabl
constancy	cysondeb
constant	cyson
constantly	yn gyson
constellation	cyfansoddiad
consternation	gormod
constipation	rhwymedd
constituency	etholaeth
constituent	etholwr
constituents	etholwyr
constitute	yn gyfystyr
constitution	cyfansoddiad
constitutional	cyfansoddiadol
constitutionality	cyfansoddiadol
constrain	cyfyngu
constrained	wedi'i gyfyngu
constraint	cyfyngiad
construct	adeiladu
construction	adeiladu
constructive	adeiladol
construe	dehongli
consul	conswl
consulate	consalau
consult	ymgynghori
consultant	ymgynghorydd
consultation	ymgynghoriad
consume	bwyta
consumer	defnyddwyr
consuming	yn bwyta
consummate	consummate
consummation	consummation
consumption	bwyta
contact	cysylltwch â
contagion	ymagwedd
contagious	yn heintus
contain	cynnwys
container	cynhwysydd
containment	cynhwysiad
contaminate	halogi
contaminated	halogedig
contamination	halogiad
contemplate	ystyried
contemplation	myfyrdod
contemplative	ystyriol
contemporaneous	cyfoes
contemporary	cyfoes
contempt	dirmyg
contemptible	yn ddirmyg
contemptuous	myfyrgar
contend	cystadlu
contender	cystadleuydd
contending	yn cystadlu
content	cynnwys
contented	yn fodlon
contention	gwrandawiad
contentious	dadleuol
contentment	yn fodlon
contents	cynnwys
contest	cystadleuaeth
contestant	cystadleuydd
context	cyd-destun
contiguous	cyfochrog
continence	cyfandiriaeth
continent	cyfandir
continental	cyfandirol
contingency	wrth gefn
contingent	amodol
continual	yn barhaus
continually	yn barhaus
continuance	parhad
continuation	parhad
continue	parhau
continued	parhad
continuing	yn parhau
continuity	parhad
continuous	parhaus
continuously	yn barhaus
continuum	continwwm
contour	cyfuchlin
contraband	contraband
contraception	atal cenhedlu
contract	contract
contracted	dan gontract
contractile	contractile
contracting	contractio
contraction	cyfyngiad
contractor	contractwr
contradict	gwrthddweud
contradiction	gwrthddweud
contradictory	gwrthddweud
contraption	contraption
contrary	groes
contrast	cyferbyniad
contrasted	cyferbynnu
contravene	yn groesi
contravention	tramgwydd
contribute	cyfrannu
contribution	cyfraniad
contributor	cyfrannwr
contrite	brwd
contrition	cywilydd
contrived	yn ôl
control	rheolaeth
controller	rheolwr
controlling	rheoli
controversial	dadleuol
controversy	dadl
contusion	contusion
conundrum	dryslyd
convalescent	galw
convection	convection
convene	cynnull
convenience	cyfleustra
conveniences	cyfleusterau
convenient	cyfleus
convent	gonfensiwn
convention	confensiwn
conventional	confensiynol
converge	cydgyfeirio
convergence	cydgyfeirio
convergent	cydgyfeiriol
conversant	yn gyfarwydd
conversation	sgwrs
conversational	sgwrsio
conversationalist	siaradwr
converse	sgwrsio
conversing	siarad
conversion	trosi
convert	trosi
converted	wedi'i drawsnewid
convertible	trawsnewidiol
convex	convex
convexity	dwyswch
convey	cyfleu
conveyance	trawsgludiad
conveyancing	trawsgludo
convict	yn euog
conviction	euogfarn
convince	argyhoeddi
convinced	yn argyhoeddedig
convincing	argyhoeddiadol
convocation	convocation
convoluted	cyffrous
convolution	convolution
convoy	convoi
coo	coo
cook	coginio
cookbook	llyfr coginio
cooker	popty
cookery	coginio
cookie	cwci
cookies	cwcis
cooking	coginio
cookout	coginio
cool	cwl
coolant	oerydd
cooler	yn oerach
cooling	oeri
coolness	cywilydd
coon	coon
coop	coop
cooperate	cydweithredu
cooperating	cydweithio
cooperation	cydweithrediad
cooperative	cydweithredol
coordinate	cydlynu
coordination	cydlynu
coordinator	cydlynydd
cop	cop
copacetic	NO TRANSLATION
cope	ymdopi
copier	copïwr
copilot	copilot
coping	ymdopi
copious	copious
copper	copr
copter	copter
copy	copi
copycat	copi o'r golwg
copying	copïo
copyright	hawlfraint
coral	coral
coral snake	neidr coral
cord	llinyn
cordial	cordial
cordless	diwifr
cordon	cordon
corduroy	corduroy
core	craidd
cork	corc
corkscrew	corkscrew
corn	corn
cornball	pêl corn
cornbread	cornbread
cornea	gornbilen
corned	corned
corner	cornel
cornerstone	gonglfaen
cornet	cornet
cornfield	cornfield
cornflakes	NO TRANSLATION
cornice	cornis
cornstarch	corn corn
corny	corny
corollary	corollari
corona	corona
coronary	coronaidd
coronation	coroni
coroner	crwner
corporal	gorfforol
corporate	corfforaethol
corporation	gorfforaeth
corporeal	corfforol
corps	corfflu
corpse	corff
corpsman	corffwr
corpus	corpus
corral	corral
correct	cywir
correction	cywiro
correctional	cywirol
corrective	cywiro
correctness	cywirdeb
correlation	cydberthynas
correlative	yn gywir
correspond	cyfateb
correspondence	gohebiaeth
correspondent	gohebydd
corresponding	cyfatebol
corridor	coridor
corroborate	cadarnhau
corroboration	cadarnhau
corrosion	cyrydiad
corrosive	cyrydol
corrupt	llygredig
corrupting	llygru
corruption	llygredd
corsage	corsage
corse	NO TRANSLATION
corset	corset
cortex	cortex
cortical	cortical
cortisone	cortisone
corvette	corvette
cosmetic	cosmetig
cosmetics	colur
cosmic	cosmig
cosmology	cosmoleg
cosmopolitan	cosmopolitan
cosmos	cosmos
cost	cost
costly	yn gostus
costume	gwisgoedd
cosy	clyd
cot	cot
cote	cote
cottage	bwthyn
cotton	cotwm
couch	soffa
cougar	cougar
cough	peswch
council	cyngor
councilman	cynghorydd
counsel	cwnsel
counseling	cwnsela
counsellor	cynghorydd
counselor	cynghorydd
count	cyfrif
countdown	countdown
countenance	wyneb
counter	cownter
counteract	gwrthweithio
counterattack	gwrth-ddrwg
counterbalance	gwrthbwysedd
counterclaim	gwrth-hawliad
counterfeit	ffug
counterpart	cymheiriaid
counterpoint	gwrthbwynt
countess	sirw
countless	di-rif
country	gwlad
countryman	gwladwr
countrymusic	NO TRANSLATION
countryside	cefn gwlad
counts	cyfrif
county	Sir
coup	coup
coupe	coupe
couple	cwpl
coupled	ynghyd
coupling	cyplysu
coupon	cwpon
courage	dewrder
courageous	yn ddewr
courier	negesydd
courses	cyrsiau
coursing	coursing
court	llys
courteous	cwrtais
courtesy	cwrteisi
courthouse	llys
courtroom	ystafell y llys
courts	llysoedd
courtship	llysiogaeth
courtside	gorllewinol
courtyard	cwrt
cousin	cefnder
cousins	cefndrydau
cove	cudd
coven	coven
covenant	cyfamod
cover	gorchuddio
coverage	sylw
covered	gorchuddio
covering	yn cwmpasu
covert	cudd
covet	cudd
coveted	diddorol
cow	buwch
coward	ysgogwr
cowardice	gwartheg
cowardly	yn ysgubol
cowboy	cowboi
cowgirl	cowgirl
cowhand	cowhand
cowhide	cowhide
cowl	buch
coworker	coworker
coy	coy
coyote	coyote
cozy	clyd
crab	cranc
crabby	crabby
crack	crac
cracked	cracio
cracker	craciwr
crackerjack	crackerjack
cracking	cracio
crackle	cracio
crackpot	crackpot
cradle	crud
craft	crefft
crafts	crefftau
craftsman	crefftwr
craftsmanship	crefftwaith
crafty	crafty
craig	craig
cram	cram
crammed	crammed
cramp	cramp
cramped	yn gyfyngedig
cranberry	llugaeronen
cranberry juice	sudd llugaeron
crane	craen
cranial	cranial
cranium	craniwm
crank	crank
cranky	cranky
cranny	cranny
crap	crap
crappy	crappy
craps	craps
crash	damwain
crass	crass
crate	crate
crater	crater
crave	anffodus
craving	awydd
crawfish	crancod
crawl	cracio
crayon	creon
crayons	creonau
craze	craze
crazed	wedi'i bori
craziness	craziness
crazy	yn wallgof
creak	creak
creaking	creaking
cream	hufen
creamed	hufenog
creamer	creamer
creamy	hufennog
crease	criw
create	creu
creation	creu
creative	creadigol
creativity	creadigrwydd
creator	crewrwr
creature	creadur
credence	credyd
credential	credential
credentials	credentials
credibility	hygrededd
credible	yn gredadwy
credit	credyd
credit card	cerdyn credyd
creditable	credadwy
credited	wedi'i gredydu
crediting	credydu
creditor	credydwr
creed	credo
creek	creek
creep	creep
creeper	creeper
creeping	yn ymledu
creepy	creepy
cremation	amlosgi
creole	creole
crepe	crepe
crescendo	crescendo
crescent	crescent
crest	crest
crestfallen	crestfallen
cretin	cretin
cretins	cretins
crevice	criw
crew	criw
crewman	criwman
crib	crib
cricket	criced
cried	gweddïo
crime	trosedd
criminal	troseddol
criminality	troseddoldeb
crimp	crimp
crimson	carreg garw
cringe	cringe
cripple	cripple
crippled	crippled
crippling	yn sarhaus
crisis	argyfwng
crisp	crisp
crispy	crispy
criterion	maen prawf
critic	beirniad
critical	beirniadol
criticise	beirniadu
criticism	beirniadaeth
criticize	beirniadu
criticized	feirniadwyd
critique	beirniadaeth
critter	critter
croak	croak
croc	croc
crock	croc
crockery	llestri
crocodile	crocodeil
croft	croes
croissant	croissant
crook	crook
crooked	cam
crop	cnwd
croquet	croquet
cross	croesi
cross country	traws gwlad
crossbow	croesfysgl
crossed	croesi
crossfire	crossfire
crossing	croesi
crossover	crossover
crosswalk	croesffordd
crossword	croesair
crotch	crotch
crouch	crouch
crouched	crouched
crouching	crouching
croupier	crwpwr
crow	crow
crowbar	crowbar
crowd	dorf
crowded	llawn
crowds	torfeydd
crown	coron
crowning	coroni
crucial	hanfodol
cruciate	crociate
crucifix	croeshoelio
crucifixion	croeshoelio
crucify	croeshoelio
crud	crud
crude	crai
cruel	yn greulon
cruelly	yn greulon
cruelty	creulondeb
cruise	mordeithio
cruise ship	llong mordaith
cruiser	croeser
cruising	mordeithio
crumb	mochyn
crumble	crumblel
crumbling	cwympo
crummy	crummy
crunch	crwydro
crunchy	crunchy
crusade	ymladd
crusader	crudwr
crush	gwasgu
crushed	wedi'i falu
crusher	crwdur
crushing	trwsio
crust	crib
crusty	carthion
crutch	crutch
crux	crux
cry	crio
crybaby	crybaby
crying	yn crio
crypt	crip
cryptic	cryptig
cryptography	cryptograffeg
crystal	grisial
crystalline	crisialog
crystallization	crisialu
cub	ciwb
cubby	cwbwl
cube	ciwb
cubic	ciwbig
cubicle	ciwbicl
cuckold	cuckold
cuckoo	cawg
cucumber	ciwcymbr
cuddle	cuddle
cuddled	cuddled
cuddles	cuddles
cuddling	cuddio
cue	ciw
cuff	cuff
cuisine	bwyd
culinary	coginio
cull	difa
culminate	yn gorffen
culmination	pen draw
culpability	cywirdeb
culpable	yn blino
culprit	culprit
cult	diwyll
cultivate	tyfu
cultivated	wedi'i drin
cultivation	tyfu
cultural	diwylliannol
culture	diwylliant
cultured	ddiwylliannol
culvert	cylfat
cumbersome	yn anodd
cumulus	cwblwl
cunning	cunning
cunt	cunt
cup	cwpan
cupboard	cwpwrdd
cupcake	cwpanen
cupping	cwpanu
cur	cur
curable	curable
curate	curad
curative	gofalus
curator	curadur
curb	rhwystr
curd	curd
cure	gwella
curfew	cyrffyw
curiosity	chwilfrydedd
curious	chwilfrydig
curl	curl
curling	curling
currency	arian cyfred
current	ar hyn o bryd
curriculum	cwricwlwm
curry	cyri
curse	curse
cursed	melltith
cursing	melltithio
cursory	braidd
curt	curt
curtail	cwtogi
curtailment	cwtogi
curtain	llen
curtains	llenni
curtsy	curtsy
curvature	curvature
curve	cromlin
curved	crwm
curvilinear	cyrfflinol
cushion	clustog
cushy	cushy
cusp	gwedd
cuss	cuss
cussed	cussed
custard	cwstard
custodial	gwarchodaeth
custodian	gwarcheidwad
custody	ddalfa
custom	arfer
customary	arferol
customer	cwsmer
customized	wedi'i addasu
cut	torri
cutaneous	cwenog
cute	ciwt
cuticle	cwtigl
cutie	Cutie
cutlass	cutlass
cutlery	cyllyll cyllyll
cutoff	torri i ffwrdd
cutter	torrwr
cutters	torwyr
cutthroat	toriad coch
cutting	torri
cutting board	bwrdd torri
cuttings	toriadau
cwt	cwt
cyanide	sianid
cyberspace	seiberofod
cycle	beicio
cyclical	cylchol
cyclist	seiclwyr
cyclone	seiclon
cylinder	silindr
cylindrical	silindrog
cymbal	cymbal
cynic	cynig
cynical	cynigaidd
cynicism	sinigiaeth
cyst	cyst
cystic	cystic
cytomegalovirus	cytomegalovirws
cytoplasm	cytoplasm
czar	carc
dab	dab
dabble	dabbl
dabbling	dabbling
dad	dad
daddy	dad
dado	NO TRANSLATION
daemon	daemon
daft	daft
dagger	dagger
daily	bob dydd
dainty	diddorol
daiquiri	daiquiri
dairy	llaeth
daisy	daisy
dak	NO TRANSLATION
dale	dale
dam	argae
damage	difrod
damaged	wedi'i ddifrodi
damages	iawndal
dame	ddameg
damn	damn
damnation	damniad
damned	damned
damp	llaith
dampened	gwanhau
damper	llaith
damsel	merch
dance	dawnsio
dancer	dawnsiwr
dancing	dawnsio
dandruff	dandruff
dandy	dandy
danger	perygl
dangerous	peryglus
dangerously	yn beryglus
dangit	NO TRANSLATION
dangle	dangle
dank	NO TRANSLATION
dapper	dapper
dare	dare
daredevil	daredevil
daresay	dawel
daring	yn ddrwg
dark	tywyll
darken	tywyllwch
darkened	tywyllwch
darkly	yn ddwfn
darkness	tywyllwch
darkroom	ystafell dywyll
darkside	ochr tywyll
darling	darling
darn	darn
dart	dart
dash	dash
dashboard	tablfwrdd
dashed	dashed
dashing	dashing
dastardly	yn ddistardig
data	data
database	cronfa ddata
date	dyddiad
datenight	NO TRANSLATION
daughter	merch
dawdle	dawdle
dawn	dawn
dawned	Dawned
day	diwrnod
daybreak	clwy'r dydd
daycare	gofal dydd
daydream	daydream
daydreaming	daydreamio
daylight	golau dydd
daymade	NO TRANSLATION
dayoff	NO TRANSLATION
daytime	yn ystod y dydd
daze	daze
dazed	dazed
dazzle	dazzle
dazzling	disglair
deacon	diacon
deactivate	diweithdra
dead	marw
deadbeat	marwolaeth
deadline	dyddiad cau
deadlines	dyddiadau cau
deadlock	clawr marw
deadly	yn farwol
deaf	byddar
deafening	yn fyddar
deafness	byddardod
deal	delio
dealer	deliwr
dealership	dealership
dealing	delio
dealings	delio â nhw
dean	dean
dear	annwyl
dearest	dearest
dearth	ddarth
death	marwolaeth
deathbed	gwely marwolaeth
deathly	yn marwol
debacle	dadl
debased	wedi diflannu
debatable	dadleuol
debate	dadl
debauchery	dylanwad
debenture	debenture
debilitating	gwanhau
debit	debyd
debrief	dadansoddiad
debriefing	dadfyfyrio
debris	malurion
debt	dyled
debtor	dyledwr
debut	cyntaf
debutante	debutante
decade	degawd
decadence	dirywiad
decadent	decadent
decaf	decaf
decanter	decanter
decathlon	decathlon
decay	pydredd
decayed	wedi pydru
decaying	pydru
deceased	ymadawedig
decedent	gwrthod
deceit	twyll
deceitful	twyllodrus
deceive	twyllo
deceived	twyllo
deceiving	twyllo
december	ym mis Rhagfyr
decency	gwedduster
decent	gweddus
deception	dwyll
deceptive	yn ddrwg
decide	penderfynu
decidedly	yn benderfynol
deciduous	collddail
decimal	degol
decimeter	decimedr
decipher	disgrifio
decision	penderfyniad
decisive	yn benderfynol
deck	dec
declaration	datganiad
declaratory	datganol
declare	datgan
declination	dirywiad
decline	dirywiad
declining	yn dirywio
deco	addurn
decode	dadgodio
decoder	decoder
decompose	dadelfennu
decomposed	wedi ei ddadbennu
decomposition	dadelfennu
decompress	decompress
decompression	diheintio
decontamination	dadheintio
decor	addurniad
decorate	addurno
decorating	addurno
decoration	addurno
decorative	addurniadol
decorator	addurnwr
decorum	decorum
decoy	addurn
decrease	gostyngiad
decreased	wedi gostwng
decreasing	yn gostwng
decree	dyfarniad
decrement	gostyngiad
decrepit	gostyngiad
decry	datgan
decryption	dadgryptio
dedicate	neilltuo
dedication	ymroddiad
deduce	deduce
deduct	didynnwch
deductible	didynnu
deduction	didyniad
deed	gweithred
deejay	deejay
deem	cred
deep	dwfn
deepen	dyfnhau
deer	ceirw
defamation	difenwi
defamatory	difenwol
default	diofyn
defeat	trechu
defeated	wedi ei drechu
defeatist	drechladwr
defect	diffyg
defection	drechu
defective	diffygiol
defector	gorchuddiwr
defend	amddiffyn
defendant	diffynnydd
defended	amddiffynedig
defender	amddiffynwr
defending	amddiffyn
defense	amddiffyniad
defenseless	yn ddi-amddiffyn
defensible	amddiffynadwy
defensive	amddiffynnol
defer	gohirio
deference	deference
deferral	gohiriad
deferring	gohirio
defiance	ddiffygiol
defiant	yn amddiffyn
defibrillator	diffibriliwr
deficiency	diffyg
deficient	diffygiol
deficit	diffyg
define	diffinio
defined	wedi'i ddiffinio
definite	yn bendant
definition	diffiniad
definitive	diffiniol
deflate	gwahanu
deflation	diffoddiad
deflect	diffodd
deflection	amhariad
defloration	difloration
deform	deform
deformed	diflannu
deformity	deformity
defraud	twyllo
defray	yn talu
defrost	dadmer
deft	deft
defunct	anghyflawn
defuse	defuse
defy	defy
degeneracy	dirywiad
degenerate	dirywio
degeneration	dirywiad
degradation	diraddio
degrade	diraddio
degraded	diraddio
degrading	diraddiol
degree	gradd
dehydrated	dadhydradu
dehydration	dadhydradu
dejected	wedi'i chwistrellu
delay	oedi
delayed	oedi
delectable	delectable
delegate	dirprwyo
delegation	dirprwyo
delete	dileu
deleterious	yn niweidiol
deletion	dileu
deli	deli
deliberate	yn fwriadol
deliberation	trafodaethau
deliberative	trafodaethau
delicacy	diddorol
delicate	cain
delicatessen	delicatessen
delicious	blasus
delight	hyfrydwch
delighted	wrth fy modd
delightful	yn hyfryd
delineate	delineate
delineation	delineation
delinquency	trosedd
delinquent	yn anghyfiawn
delirious	delirious
delirium	deliriwm
deliver	cyflwyno
deliverance	rhyddhad
delivery	cyflwyno
dell	dell
delta	delta
delude	delude
deluge	llithro
delusion	trallod
delusional	delusional
deluxe	moethus
delve	diflannu
demand	galw
demanding	yn anodd
demeaned	ddiffygiol
demeaning	cywilyddus
demeanor	ymddwyn
demented	meddyliol
dementia	dementia
demise	dirywiad
demo	demo
democracy	democratiaeth
democrat	democratiaid
democratic	democrataidd
demographic	demograffig
demolish	chwalu
demolished	wedi'i ddymchwel
demolition	dymchwel
demon	demon
demonic	demonic
demonstrable	yn amlwg
demonstrate	dangos
demonstrated	dangoswyd
demonstrating	yn dangos
demonstration	arddangosfa
demonstrative	arddangosiol
demonstrator	dangosydd
demoralized	yn ddigalon
demos	demos
demure	demure
den	NO TRANSLATION
deniability	deniability
denial	gwadu
denied	gwadu
denim	denim
denomination	enwad
denominational	enwadol
denominator	enwadur
denote	dynodi
denounce	denounce
dense	dwys
density	dwysedd
dent	deint
dental	deintyddol
dentist	deintydd
dentistry	deintyddiaeth
dentists	deintyddion
denunciation	denunciation
deny	gwadu
denying	gwadu
deodorant	diffoddwr
depart	gadewch
departed	ymadawodd
department	adran
departmental	adrannol
departure	ymadawiad
depend	yn dibynnu
dependable	yn ddibynadwy
dependant	dibynnol
dependence	dibyniaeth
dependency	dibyniaeth
dependent	dibynnol
depict	darlun
depicting	yn darlunio
depletion	gostyngiad
deplorable	anhygoel
deplore	dadlwch
deploy	defnyddio
deployment	lleoli
deport	chwaraeon
deportation	alltudio
depose	deposio
deposit	adneuo
depositary	adneuol
deposition	dyddodiad
depository	adneuo
depot	depo
depraved	cywilydd
depravity	depravity
depreciate	dibrisio
depreciated	dibrisio
depreciation	dibrisiant
depress	iselder
depressed	yn isel
depressing	iselder
depression	iselder ysbryd
depressive	iselder
depresson	NO TRANSLATION
deprivation	amddifadedd
deprive	amddifadu
deprived	difreintiedig
depth	dyfnder
deputy	dirprwy
derail	derail
deranged	wedi'i ddirwyn
derelict	diffaith
derision	derision
derivation	deillio
derivative	deilliadol
derive	deillio
dermal	difrifol
dermatologist	dermatolegydd
dermatology	dermatoleg
derogation	rhanddirymiad
derogatory	gwaharddiad
descend	disgyn
descendant	disgynydd
descendent	NO TRANSLATION
descending	yn disgyn
descent	deiliad
describe	disgrifiwch
description	disgrifiad
descriptive	disgrifiadol
desecrate	diflannu
desecration	cywiro
desert	anialwch
deserted	wedi diflannu
deserter	ymadawwr
desertion	anialwch
deserve	yn haeddu
deserved	haeddiannol
deserving	yn haeddiannol
design	dylunio
designate	dynodi
designated	dynodedig
designation	dynodiad
designed	wedi'i gynllunio
designer	dylunydd
designing	dylunio
desirability	dymunoldeb
desirable	dymunol
desire	dymuniad
desiring	yn dymuno
desirous	yn ddymunol
desist	desist
desk	desg
desolate	anhwylder
desolation	desolation
despair	anobaith
despairing	anobeithiol
despatch	anfon
desperado	desperado
desperate	yn anobeithiol
desperation	anobaith
despicable	anhygoel
despise	gwaredu
despondent	aflonyddwch
despotic	despotic
despotism	despotism
dessert	pwdin
destination	cyrchfan
destined	dynodedig
destiny	dinistrio
destitute	yn ddiflas
destroy	dinistrio
destroyed	wedi'i ddinistrio
destroyer	dinistriwr
destroying	dinistrio
destruct	destruct
destruction	dinistrio
destructive	dinistriol
detach	datgysylltu
detached	ar wahân
detachment	gwaharddiad
detail	manylion
detailed	manwl
details	manylion
detain	cadw
detainee	carcharorion
detect	canfod
detectable	canfodadwy
detection	canfod
detective	ditectif
detector	synhwyrydd
detention	cadw
deter	atal
detergent	glanedydd
deteriorate	dirywio
deteriorated	wedi dirywio
deteriorating	yn dirywio
deterioration	dirywiad
determinable	penderfynadwy
determinate	penderfynu
determination	penderfyniad
determine	penderfynu
determined	benderfynol
deterrent	rhwystro
detest	detest
detestation	detestation
detonate	gwahanu
detonation	ataliad
detonator	detonator
detour	arllwys
detract	gwahardd
detriment	anfantais
detrimental	yn niweidiol
detritus	detritus
deuce	deuce
deutschmark	deutschmark
devalued	wedi dibrisio
devastate	yn diflasu
devastated	yn ddiflas
devastating	yn ddinistriol
devastation	difrod
develop	datblygu
developer	datblygwr
developing	datblygu
development	datblygu
deviant	gweddus
deviate	ymadael
deviating	diflannu
deviation	gwyriad
device	ddyfais
devil	diafol
deviled	wedi ymosod
devilish	diafol
devious	devious
devise	dyfeisiwch
devoid	di-osgoi
devolution	datganoli
devolve	datganoli
devote	neilltuo
devoted	neilltuo
devotee	devotee
devotion	ymroddiad
devotional	devotiynol
devour	defaid
devout	beiddgar
dew	dew
dexter	dexter
dexterity	deheurwydd
dextrose	dextros
diabetes	diabetes
diabetic	diabetig
diabolical	diabolical
diagnose	diagnosis
diagnosis	diagnosis
diagnostic	diagnostig
diagnostics	diagnosteg
diagonal	croeslin
diagram	diagram
dial	deialu
dialect	tafodiaith
dialectic	tafodieitheg
dialogue	deialog
dialysis	dialysis
diameter	diamedr
diamond	diemwnt
diamonds	diamonds
diaper	diaper
diaphragm	diaffram
diarrhea	dolur rhydd
diarrhoea	dolur rhydd
diary	Dyddiadur
diatribe	diatribe
dib	NO TRANSLATION
dibs	dibs
dice	dis
dicey	disgrifio
dichotomous	dichotomous
dichotomy	dicotomi
dick	dick
dickhead	dickhead
dicks	dicks
dictate	pennu
dictation	dyfarniad
dictator	unbenwr
dictatorial	dictatorial
dictatorship	unbennaeth
diction	geiriad
dictionary	geiriadur
dictum	NO TRANSLATION
didactic	didactig
diddle	diddle
die	NO TRANSLATION
died	farw
diesel	diesel
diet	diet
dietary	dietegol
differ	yn wahanol
difference	gwahaniaeth
differences	gwahaniaethau
different	yn wahanol
differential	gwahaniaethol
differentiation	gwahaniaethu
differently	yn wahanol
differing	yn wahanol
difficult	anodd
difficulties	anawsterau
difficulty	anhawster
diffuse	gwasgaredig
diffusion	trylediad
dig	NO TRANSLATION
digest	treulio
digestion	treulio
digestive	treulio
digit	digid
digital	digidol
dignified	urddasol
dignify	urddas
