Word	sw
cyclical	mzunguko
cyclist	baiskeli
cyclone	kimbunga
cylinder	silinda
cylindrical	cylindrical
cymbal	ngoma
cynic	cynic
cynical	kijinga
cynicism	kiburi
cyst	cyst
cystic	cystic
cytomegalovirus	cytomegalovirus
cytoplasm	cytoplasm
czar	mfalme
dab	dab
dabble	dabble
dabbling	kucheza
dad	baba
daddy	baba
dado	NO TRANSLATION
daemon	daemon
daft	daft
dagger	dagger
daily	kila siku
dainty	dainty
daiquiri	daiquiri
dairy	Maziwa
daisy	daisy
dak	NO TRANSLATION
dale	dale
dam	bwawa
damage	uharibifu
damaged	kuharibiwa
damages	uharibifu
dame	dame
damn	damn
damnation	uharibifu
damned	imeharibiwa
damp	uchafu
dampened	imeshuka
damper	damper
damsel	msichana
dance	ngoma
dancer	mchezaji
dancing	kucheza
dandruff	kukimbia
dandy	dandy
danger	hatari
dangerous	hatari
dangerously	hatari
dangit	NO TRANSLATION
dangle	dangle
dank	NO TRANSLATION
dapper	dapper
dare	kuthubutu
daredevil	daredevil
daresay	daresay
daring	wenye ujasiri
dark	giza
darken	giza
darkened	giza
darkly	giza
darkness	giza
darkroom	chumba cheusi
darkside	darkside
darling	mpenzi
darn	darn
dart	dart
dash	dash
dashboard	dashibodi
dashed	alipoteza
dashing	dashing
dastardly	dastardly
data	data
database	database
date	tarehe
datenight	NO TRANSLATION
daughter	binti
dawdle	dawdle
dawn	alfajiri
dawned	ilianza
day	siku
daybreak	mchana
daycare	huduma ya siku
daydream	siku
daydreaming	kutembea
daylight	mchana
daymade	NO TRANSLATION
dayoff	NO TRANSLATION
daytime	mchana
daze	tamaa
dazed	alishangaa
dazzle	onyesha
dazzling	kuvutia
deacon	dikoni
deactivate	onya
dead	wamekufa
deadbeat	mauti
deadline	tarehe ya mwisho
deadlines	muda wa mwisho
deadlock	tamaa
deadly	mauti
deaf	viziwi
deafening	kujisikia
deafness	usiwi
deal	toa
dealer	muuzaji
dealership	uuzaji
dealing	kushughulika
dealings	shughuli
dean	mwamini
dear	wapenzi
dearest	mpendwa
dearth	njaa
death	kifo
deathbed	kitanda cha kifo
deathly	kifo
debacle	tamaa
debased	ulipoteza
debatable	yanaweza kutendewa
debate	mjadala
debauchery	unyanyasaji
debenture	deni
debilitating	kudhoofisha
debit	debit
debrief	mjadala
debriefing	kutoa majadiliano
debris	uchafu
debt	deni
debtor	mdaiwa
debut	kwanza
debutante	debutante
decade	miaka kumi
decadence	uovu
decadent	uharibifu
decaf	kupungua
decanter	decanter
decathlon	decathlon
decay	kuoza
decayed	imeshuka
decaying	kuoza
deceased	amekufa
decedent	imekamilika
deceit	uongo
deceitful	udanganyifu
deceive	kudanganya
deceived	alidanganywa
deceiving	kudanganya
december	desemba
decency	ustadi
decent	heshima
deception	udanganyifu
deceptive	udanganyifu
decide	kuamua
decidedly	kwa uamuzi
deciduous	kuacha
decimal	Nukta
decimeter	decimeter
decipher	tambua
decision	uamuzi
decisive	maamuzi
deck	staha
declaration	tamko
declaratory	kutangaza
declare	tangaza
declination	kupungua
decline	kupungua
declining	kupungua
deco	deco
decode	onyesha
decoder	decoder
decompose	tamaa
decomposed	ilivunjika
decomposition	uharibifu
decompress	decompress
decompression	decompression
decontamination	kupasuka
decor	mapambo
decorate	kupamba
decorating	mapambo
decoration	mapambo
decorative	mapambo
decorator	decorator
decorum	kupamba
decoy	decoy
decrease	kupungua
decreased	ilipungua
decreasing	kupungua
decree	amri
decrement	mapendekezo
decrepit	kupunguzwa
decry	kuacha
decryption	decryption
dedicate	kujitolea
dedication	kujitolea
deduce	fanya
deduct	kuteka
deductible	hutolewa
deduction	punguzo
deed	tendo
deejay	deejay
deem	tazama
deep	kina
deepen	kuimarisha
deer	kulungu
defamation	kufutwa
defamatory	kufutwa
default	default
defeat	kushindwa
defeated	kushindwa
defeatist	mshindi
defect	kasoro
defection	kupinga
defective	halali
defector	defector
defend	kulinda
defendant	mshtakiwa
defended	alitetea
defender	mlinzi
defending	kutetea
defense	ulinzi
defenseless	kutetea
defensible	imetekelezwa
defensive	kujihami
defer	fungua
deference	kupinga
deferral	uhamisho
deferring	inarudi
defiance	upinzani
defiant	kibaya
defibrillator	defibrillator
deficiency	upungufu
deficient	haitoshi
deficit	upungufu
define	kufafanua
defined	inafafanuliwa
definite	kufafanua
definition	ufafanuzi
definitive	dhahiri
deflate	deflate
deflation	deflation
deflect	kufuta
deflection	kufuta
defloration	uchafuzi
deform	deform
deformed	wameharibika
deformity	ulemavu
defraud	kudanganya
defray	kupoteza
defrost	defrost
deft	deft
defunct	dhaahiri
defuse	defuse
defy	kataa
degeneracy	kupungua
degenerate	kupungua
degeneration	kuzorota
degradation	uharibifu
degrade	onyesha
degraded	iliyoharibika
degrading	kupoteza
degree	shahada
dehydrated	imechoka
dehydration	kuhama maji
dejected	kufadhaika
delay	kuchelewa
delayed	kuchelewa
delectable	rahisi
delegate	mjumbe
delegation	ujumbe
delete	kufuta
deleterious	kupoteza
deletion	kufutwa
deli	deli
deliberate	makusudi
deliberation	mazungumzo
deliberative	makusudi
delicacy	kupendeza
delicate	maridadi
delicatessen	kikabila
delicious	ladha
delight	furaha
delighted	furaha
delightful	furaha
delineate	delineate
delineation	ufafanuzi
delinquency	uharibifu
delinquent	wahalifu
delirious	delirious
delirium	delirium
deliver	kutoa
deliverance	ukombozi
delivery	utoaji
dell	dell
delta	delta
delude	tamaa
deluge	gharika
delusion	udanganyifu
delusional	udanganyifu
deluxe	deluxe
delve	jenga
demand	mahitaji
demanding	wanadai
demeaned	imesababishwa
demeaning	kudharau
demeanor	mwenendo
demented	imefungwa
dementia	ugonjwa wa shida ya akili
demise	kufariki
demo	demo
democracy	demokrasia
democrat	demokrasia
democratic	kidemokrasia
demographic	idadi ya watu
demolish	kubomoa
demolished	iliharibiwa
demolition	uharibifu
demon	pepo
demonic	pepo
demonstrable	inaonekana
demonstrate	kuonyesha
demonstrated	imeonyeshwa
demonstrating	kuonyesha
demonstration	maonyesho
demonstrative	kuonyesha
demonstrator	mtangazaji
demoralized	kuharibiwa
demos	demos
demure	kudumu
den	NO TRANSLATION
deniability	kukataa
denial	kukataa
denied	alikanusha
denim	denim
denomination	dhehebu
denominational	madhehebu
denominator	denominator
denote	onanisha
denounce	kukataa
dense	nzito
density	wiani
dent	dent
dental	meno
dentist	Daktari wa meno
dentistry	daktari wa meno
dentists	Madaktari wa meno
denunciation	hukumu
deny	kukana
denying	kukataa
deodorant	uchafuzi
depart	shika
departed	aliondoka
department	idara
departmental	idara
departure	kuondoka
depend	tegemee
dependable	hutegemea
dependant	tegemezi
dependence	utegemezi
dependency	utegemezi
dependent	tegemezi
depict	kuonyesha
depicting	kuonyesha
depletion	kupungua
deplorable	huzuni
deplore	tamaa
deploy	tumia
deployment	kupelekwa
deport	kuhamisha
deportation	kuhamishwa
depose	tamaa
deposit	amana
depositary	kuhifadhi
deposition	uhifadhi
depository	depository
depot	depot
depraved	kupoteza
depravity	uharibifu
depreciate	kupungua
depreciated	imeshuka
depreciation	kushuka kwa thamani
depress	tamaa
depressed	wamesimama
depressing	huzuni
depression	huzuni
depressive	huzuni
depresson	NO TRANSLATION
deprivation	kunyimwa
deprive	shika
deprived	imekwishwa
depth	kina
deputy	naibu
derail	kupungua
deranged	deranged
derelict	kupotoka
derision	dharau
derivation	kupatikana
derivative	derivative
derive	hupata
dermal	dermal
dermatologist	dermatologist
dermatology	dermatology
derogation	kudharau
derogatory	kudharau
descend	teremka
descendant	mjukuu
descendent	NO TRANSLATION
descending	kushuka
descent	asili
describe	kuelezea
description	maelezo
descriptive	maelezo
desecrate	tamaa
desecration	uharibifu
desert	jangwa
deserted	kuachwa
deserter	deerter
desertion	kukata tamaa
deserve	unastahili
deserved	unastahili
deserving	anastahili
design	kubuni
designate	onyesha
designated	mteule
designation	sifa
designed	iliyoundwa
designer	designer
designing	kubuni
desirability	unataka
desirable	kuhitajika
desire	hamu
desiring	unataka
desirous	unataka
desist	kuacha
desk	dawati
desolate	ukiwa
desolation	ukiwa
despair	tamaa
despairing	kukata tamaa
despatch	kudharau
desperado	desperado
desperate	tamaa
desperation	kukata tamaa
despicable	kudharauliwa
despise	kudharau
despondent	wanaogopa
despotic	despotic
despotism	despotism
dessert	dessert
destination	marudio
destined	iliyopelekwa
destiny	hatimaye
destitute	ni maskini
destroy	kuharibu
destroyed	kuharibiwa
destroyer	mharibifu
destroying	kuharibu
destruct	kuharibu
destruction	uharibifu
destructive	uharibifu
detach	tambua
detached	imetengwa
detachment	kikosi
detail	maelezo zaidi
detailed	kina
details	maelezo
detain	shika
detainee	kizuizini
detect	kuchunguza
detectable	inayoonekana
detection	kutambua
detective	upelelezi
detector	detector
detention	kizuizini
deter	kuzuia
detergent	sabuni
deteriorate	huharibika
deteriorated	imeshuka
deteriorating	kuzorota
deterioration	Kuzorota
determinable	kuamua
determinate	kuamua
determination	uamuzi
determine	kuamua
determined	kuamua
deterrent	kuzuia
detest	chukia
detestation	chuki
detonate	tamaa
detonation	uharibifu
detonator	detonator
detour	detour
detract	kumzuia
detriment	uharibifu
detrimental	kuharibu
detritus	detritus
deuce	deuce
deutschmark	deutschmark
devalued	ilipoteza
devastate	kuharibu
devastated	iliyoharibiwa
devastating	uharibifu
devastation	uharibifu
develop	kuendeleza
developer	msanidi programu
developing	kuendeleza
development	maendeleo
deviant	kupoteza
deviate	kupoteza
deviating	kupotoka
deviation	kupotoka
device	kifaa
devil	shetani
deviled	imetolewa
devilish	shetani
devious	waaminifu
devise	panga
devoid	bila
devolution	devolution
devolve	tamaa
devote	kujitolea
devoted	kujitoa
devotee	kujitolea
devotion	ibada
devotional	ibada
devour	kula
devout	mwaminifu
dew	umande
dexter	dexter
dexterity	uharibifu
dextrose	dextrose
diabetes	kisukari
diabetic	kisukari
diabolical	diabolical
diagnose	tambua
diagnosis	utambuzi
diagnostic	uchunguzi
diagnostics	uchunguzi
diagonal	diagonal
diagram	mchoro
dial	piga
dialect	lugha
dialectic	dialectic
dialogue	majadiliano
dialysis	dialysis
diameter	kipenyo
diamond	Almasi
diamonds	almasi
diaper	diaper
diaphragm	kipigo
diarrhea	kuhara
diarrhoea	kuhara
diary	diary
diatribe	diatribe
dib	NO TRANSLATION
dibs	dibs
dice	kete
dicey	dicey
dichotomous	dichotomous
dichotomy	dichotomy
dick	dick
dickhead	dickhead
dicks	dicks
dictate	kulazimisha
dictation	kulazimisha
dictator	dictator
dictatorial	udikteta
dictatorship	udikteta
diction	diction
dictionary	kamusi
dictum	NO TRANSLATION
didactic	didactic
diddle	alifanya
die	NO TRANSLATION
died	alikufa
diesel	dizeli
diet	mlo
dietary	chakula
differ	tofauti
difference	tofauti
differences	tofauti
different	tofauti
differential	tofauti
differentiation	tofauti
differently	tofauti
differing	tofauti
difficult	vigumu
difficulties	shida
difficulty	shida
diffuse	kueneza
diffusion	usambazaji
dig	NO TRANSLATION
digest	kuponda
digestion	digestion
digestive	utumbo
digit	tarakimu
digital	digital
dignified	wenye heshima
dignify	heshima
dignity	heshima
digress	digress
digs	NO TRANSLATION
dike	dike
dilapidated	imeshuka
dilatation	kupanua
dilation	kupanua
dildo	dildo
dilemma	shida
diligence	bidii
diligent	bidii
dill	bizari
diluent	diluent
dilute	punguza
diluted	imepuuzwa
dilution	dilution
dim	dim
dime	dime
dimension	mwelekeo
dimensional	dimensional
diminish	kupungua
diminished	imepungua
diminution	kupungua
diminutive	kupungua
dimwit	dimwit
din	NO TRANSLATION
dine	NO TRANSLATION
diner	diner
dinghy	dinghy
dingo	dingo
dingy	dingy
dining	kula
dinky	dinky
dinner	chajio
dinnertime	chakula cha jioni
dinosaur	dinosaur
dint	tamaa
diocesan	diocesan
diocese	diosisi
diorama	diorama
dioxide	dioksidi
dip	piga
diploma	diploma
diplomacy	diplomasia
diplomat	mwanadiplomasia
diplomatic	kidiplomasia
dipper	piga
dippy	dippy
dipstick	kupandikiza
dire	NO TRANSLATION
direct	moja kwa moja
directed	iliyoongozwa
direction	mwelekeo
directive	maelekezo
directly	moja kwa moja
director	mkurugenzi
directory	saraka
dirt	uchafu
dirty	chafu
disability	ulemavu
disable	afya
disabled	walemavu
disadvantage	hasara
disaffected	imesababishwa
disagree	hawakubaliani
disagreeable	haikubaliki
disagreeing	hawakubaliani
disagreement	kutokubaliana
disallow	haukubali
disallowed	haukubaliwa
disapointment	NO TRANSLATION
disappear	kutoweka
disappearance	kutoweka
disappearing	kutoweka
disappoint	tamaa
disappointed	tamaa
disappointing	tamaa
disappointment	tamaa
disapproval	kukataa
disapprove	hawakubali
disapproved	haukubali
disapproving	kukataa
disarm	silaha
disarray	kupoteza
disaster	janga
disastrous	maafa
disband	piga
disbelief	kutoamini
disbelieve	wasiamini
disburse	kulipa
disbursement	utoaji wa malipo
disc	disc
discard	kuacha
discarded	imekataliwa
discards	inakata
discern	tambua
discernible	kutambua
discerning	kufahamu
discernment	utambuzi
discharge	kutolewa
disciple	mwanafunzi
disciplinary	tahadhari
discipline	nidhamu
disciplined	nidhamu
disclaim	disclaim
disclaimer	kizuizi
disclose	wazi
disclosed	yalifunuliwa
disclosure	kutoa taarifa
disco	disco
discoloration	kupasuka
discolored	rangi
discomfort	usumbufu
disconcerted	kufadhaika
disconcerting	kushangaza
disconnect	kukata
disconnected	imekataliwa
disconnection	kukatwa
disconnects	kukataza
discontent	kukata tamaa
discontinuance	kuacha
discontinue	kuacha
discontinuity	kuacha
discontinuous	kuacha
discord	kupingana
discount	discount
discounted	ilipunguzwa
discourage	tamaa
discouraged	tamaa
discouragement	kukata tamaa
discouraging	kukata tamaa
discourse	majadiliano
discover	gundua
discovery	ugunduzi
discredit	kudharau
discredited	imekataliwa
discreet	NO TRANSLATION
discrepancy	tofauti
discrete	wazi
discretion	busara
discretionary	busara
discriminate	kubagua
discriminating	kuchagua
discrimination	ubaguzi
discus	discus
discuss	kujadili
discussion	majadiliano
disdain	tamaa
disdainful	aibu
disease	ugonjwa
diseased	wagonjwa
disembodied	imefungwa
disengage	tamaa
disengagement	kutenganishwa
disfigured	imefutwa
disgrace	aibu
disgraced	aibu
disgraceful	aibu
disgruntled	walivunjika moyo
disguise	kujificha
disguised	kujificha
disgust	chuki
disgusted	wamevunjika moyo
disgusting	machukizo
dish	sahani
disheartened	wamevunjika moyo
disheartening	kuharibu
dishonest	waaminifu
dishonesty	uaminifu
dishonor	aibu
dishonorable	aibu
dishwasher	Dishwasher
disillusionment	upungufu
disinclination	upungufu
disincline	kushindwa
disinclined	imekataa
disinfect	disinfect
disinfectant	disinfectant
disinfection	disinfection
disinformation	kutofahamu
disingenuous	disingenuous
disintegrate	kuangamiza
disintegration	kugawanyika
disinterested	wasiwasi
disjoint	disjoint
disjointed	wamejitokeza
disjunctive	kujishughulisha
disk	diski
diskette	diskette
dislike	usipende
disliked	haipendi
disliking	kupinga
dislocated	waliondolewa
dislocation	kuacha
dislodge	tamaa
disloyal	wasioamini
disloyalty	uhalifu
dismal	mbaya
dismantle	kuvunjwa
dismay	kufadhaika
dismayed	alifadhaika
dismemberment	uharibifu
dismiss	kumfukuza
dismissal	kufukuzwa
dismissive	kuacha
dismount	dismount
disobedience	kutotii
disobedient	wasio na utii
disobey	msiiasi
disorder	shida
disordered	wasiwasi
disorderly	kwa upungufu
disorganized	haijapangwa
disorientation	kuchanganyikiwa
disoriented	kuchanganyikiwa
disown	kupinga
disparage	kupuuza
disparaging	kupuuza
disparate	tofauti
disparity	usawa
dispassionate	wasiwasi
dispatch	tuma
dispatcher	dispatcher
dispel	shipa
dispensary	zawadi
dispensation	nyakati
dispense	kugawa
dispenser	distenser
dispersal	kugawa
disperse	kugawa
dispersed	waliotawanyika
dispersion	utawanyiko
dispirited	walipigana
displace	shirikisha
displaced	walihamishwa
displacement	makazi yao
displacency	kuhama
display	kuonyesha
displease	haifai
displeased	hasira
displeasure	hasira
disposable	hupatikana
disposal	ovyo
dispose	tumia
disposed	zilizowekwa
disposition	tabia
dispossessed	kuondolewa
disprove	kupinga
dispute	mgogoro
disqualification	kufutwa
disqualified	halali
disqualify	haifai
disquieted	shida
disregard	usijali
disregarded	kupuuzwa
disrelish	kupoteza
disreputable	haijulikani
disrepute	kupuuza
disrespect	kutoheshimu
disrespectful	kutoheshimu
disrupt	kuharibu
disrupting	kuharibu
disruption	usumbufu
disruptive	kuharibu
dissatisfaction	kutoridhika
dissatisfied	hajastahili
dissect	kusambaza
dissection	dissection
disseminate	kusambaza
dissemination	usambazaji
dissension	ugomvi
dissent	upinzani
dissenting	kupinga
dissertation	kutafakari
disservice	kufuta
dissident	wapinzani
dissimilar	tofauti
dissipate	tamaa
dissipated	imeshuka
dissociation	kuacha
dissociative	dissociative
dissolution	kufutwa
dissolve	kufuta
dissonance	dissonance
dissuade	tamaa
distal	distal
distance	umbali
distant	mbali
distaste	vurugu
distasteful	husababishwa
distillate	distillate
distillation	kunereka
distilled	distilled
distinct	tofauti
distinction	tofauti
distinctive	tofauti
distinguish	kutofautisha
distinguishable	kutofautisha
distinguished	wanajulikana
distinguishing	kutofautisha
distort	kupotosha
distorted	kupotosha
distortion	kuvuruga
distract	turua
distracted	aliwasihi
distracting	kuvuruga
distraction	kuvuruga
distraught	huzuni
distress	dhiki
distressed	shida
distressing	huzuni
distribute	kusambaza
distribution	usambazaji
distributor	msambazaji
district	wilaya
distrust	kutokuamini
disturb	turua
disturbance	usumbufu
disturbed	alifadhaika
disturbing	kutisha
disuse	tumia
disused	hakutumiwa
ditch	shimoni
ditto	ditto
ditty	tete
diurnal	diurnal
diva	diva
divan	NO TRANSLATION
dive	kupiga mbizi
diver	diver
diverge	toa
divergence	kutofautiana
divergent	tofauti
diverging	kupungua
divers	mbalimbali
diverse	tofauti
diversified	tofauti
diversify	tofauti
diversion	kupungua
diversionary	diversionary
diversity	utofauti
divert	kugeuza
diverting	kuruhusu
divest	kuacha
divested	imetolewa
divestment	upungufu
divide	kugawa
divided	imegawanyika
dividend	mgawanyiko
divination	uchawi
divine	Mungu
divinity	uungu
divisible	kuonekana
division	mgawanyiko
divisor	mshauri
divorce	talaka
divorcee	talaka
divulge	tangaza
divvy	tamaa
dizziness	kizunguzungu
dizzy	kizunguzungu
do	fanya
doable	haiwezekani
doc	doc
docile	tamaa
dock	dock
docked	imefungwa
docket	docket
docking	kufanya
doctor	daktari
doctorate	daktari
doctrinal	mafundisho
doctrine	mafundisho
document	hati
documentary	maandishi
documentation	nyaraka
documents	nyaraka
dodge	dodge
dodger	dodger
dodging	kutembea
dodgy	dodgy
dodo	dodo
doe	doe
doer	mfanyaji
dog	mbwa
dogface	mbwa
dogged	imesababishwa
doggy	mbwa
doghouse	mbwa
dogma	mbinu
dogmatic	mbinu
dogsick	NO TRANSLATION
doings	matendo
doit	NO TRANSLATION
dojo	dojo
doldrums	viboko
dole	dola
doll	dola
dollar	dola
dollhouse	dollhouse
dolor	NO TRANSLATION
dolphin	dolphin
domain	kikoa
dome	dome
domestic	ndani
domesticated	zimefungwa
domestication	urithi
domicile	domicile
domiciled	imetekelezwa
dominance	utawala
dominant	kubwa
dominate	kutawala
dominating	kutawala
domination	utawala
dominatrix	dominatrix
dominion	utawala
domino	domino
don	don
donate	kuchangia
donation	mchango
donkey	punda
donor	wafadhili
dontlikeyou	NO TRANSLATION
dontmess	NO TRANSLATION
dontmesswithme	dontmesswithme
dontpanic	dontpanic
dontunderstand	NO TRANSLATION
doodle	doodle
doom	adhabu
doomed	kuteswa
doomsday	doomsday
door	mlango
doorbell	mlango
doorknob	nguzo
doorman	mlango
doormat	doormat
doornail	mlango
doorstep	mlango
doorway	mlango
dopamine	dopamine
dope	dope
dopey	dopey
dork	dork
dorky	dorky
dorm	dorm
dormant	kulala
dormitory	mabweni
dorsal	kupuuza
dosage	kipimo
dose	kipimo
dossier	dossier
dot	dot
doting	kupiga kura
dotted	zilizopangwa
dotty	dotty
double	mara mbili
doubled	mara mbili
doublet	doublet
doubling	mara mbili
doubt	shaka
doubtful	mashaka
doubting	mashaka
doubtless	bila shaka
doubts	mashaka
douche	douche
douchebags	douchebags
dough	unga
doughboy	mboga
doughnut	donut
dour	dour
douse	piga
dove	njiwa
down	chini
downcast	kushuka
downer	downer
downfall	kushuka
downfield	chini
downhearted	wamevunjika moyo
downhill	kuteremka
download	kupakua
downpour	kushuka
downright	sawa
downriver	kushuka
downside	upande wa chini
downtime	kupungua
downward	chini
downy	downy
dowry	dowry
doze	toa
dozen	kadhaa
drab	drabe
draft	rasimu
drafty	rafu
drag	Drag
dragon	joka
dragonfly	kivuli
drain	kukimbia
drainage	mifereji ya maji
drained	imefungwa
draining	kukimbia
drainpipe	drainpipe
drake	ngoma
drama	mchezo
dramaqueen	NO TRANSLATION
dramatic	kubwa
drape	drape
drapery	drapery
drastic	kikubwa
drat	NO TRANSLATION
draught	rasimu
draw	kuteka
drawback	drawback
drawbridge	daraja la kuteka
drawer	drawer
drawers	watunga
drawing	kuchora
dread	hofu
dreaded	hofu
dreadful	hofu
dreadfully	dreadfully
dreading	kuogopa
dream	ndoto
dreamboat	dreamboat
dreamer	ndoto
dreaming	inaelekea
dreamland	dreamland
dreams	ndoto
dreamt	nimeota
dreamy	ndoto
dreary	dreary
dredge	dredge
drenched	imechomwa
dress	nguo
dresser	mfanyakazi
dressmaker	dressmaker
dressy	dressy
dribble	NO TRANSLATION
dried	kavu
drier	kavu
drift	drift
drifted	imeshuka
drifter	drifter
driftwood	driftwood
drill	kuchimba
drink	kunywa
drinker	mnywaji
drinking	kunywa
drinks	Vinywaji
drip	kupungua
dripping	kupungua
drive	kuendesha
drivel	drivel
driver	dereva
driveway	gari
drizzle	kupiga
droll	droll
drone	drone
drones	drones
drool	drool
drooping	kushuka
droopy	droopy
drop	tone
droplet	droplet
dropout	kuacha
dropper	dropper
drought	ukame
drove	NO TRANSLATION
drown	kuacha
drowsiness	usingizi
drowsy	drowsy
drudgery	ngumu
drug	dawa
drug dealing	kushughulika madawa ya kulevya
drugged	dawa
druggist	daktari
drugs	madawa
drugstore	duka la madawa ya kulevya
druid	Daudi
drum	ngoma
drummer	drummer
drumming	ngoma
drunk	mlevi
drunk driving	kuendesha gari
drunkard	mlevi
drunken	kunywa
drunkenness	ulevi
dry	kavu
dryer	dryer
dryness	kavu
dual	mbili
dualism	dualism
duality	duality
dub	dub
dubious	ya kushangaza
duchess	duchess
duck	bata
ducking	ducking
duckling	duckling
ducky	ducky
duct	duct
ductile	ductile
dud	dud
dude	dude
duds	duds
due	kutokana
duel	dua
dues	unadai
duet	duet
duffel	duffel
dugout	kuchimba
duh	duh
duke	duke
dull	wepesi
dullard	dullard
dumb	mjinga
dumbasses	dumbasses
dumbbell	dumbbell
dumbbitch	NO TRANSLATION
dumfound	tamaa
dumfounder	NO TRANSLATION
dummy	dummy
dump	kutupa
dumpling	kupiga mbizi
dumps	kuruka
dumpster	dumpster
dun	dun
dunce	dunce
dune	dune
dung	NO TRANSLATION
dungeon	gereza
dunk	dunk
duo	duo
dupe	dupe
duplex	duplex
duplicate	duplicate
duplication	kurudia
duplicity	duplicity
durability	kudumu
durable	muda mrefu
duration	muda
duress	shika
dusk	jioni
dusky	dusky
dust	vumbi
duster	jioni
dustpan	dustpan
dusty	vumbi
dutiful	unastahili
duty	wajibu
dwarf	dwarf
dwarfed	dwarfed
dweeb	dweeb
dwell	kaa
dweller	mwenyeji
dwelling	kuishi
dye	rangi
dying	kufa
dyke	dyke
dynamic	nguvu
dynamical	nguvu
dynamics	mienendo
dynamite	nguvu
dynamo	dynamo
dynasty	nasaba
dysentery	kifua kikuu
dysfunction	dysfunction
dysfunctional	haiwezekani
dyspepsia	dyspepsia
eager	hamu
eagerness	shauku
eagle	tai
ear	sikio
earful	nzuri
earl	sikio
earlier	mapema
early	mapema
earn	kulipwa
earnest	bidii
earnestly	kwa bidii
earnestness	bidii
earnings	mapato
earpiece	kipande cha pua
earring	kijiko
earrings	pete
earshot	masikio
earth	dunia
earthenware	udongo
earthling	udongo
earthly	duniani
earthquake	tetemeko la ardhi
earthy	earthy
ease	urahisi
easel	easel
easement	easement
easily	kwa urahisi
east	mashariki
eastbound	mashariki
eastern	mashariki
easy	rahisi
easygoing	rahisi
eat	kula
eater	kula
eating	kula
eatingdisorders	NO TRANSLATION
eavesdrop	evesdrop
eavesdropping	yavingdropping
ebb	eti
ebony	ebony
ebullient	kinyume
eccentric	eccentric
eccentricity	uwazi
ecclesiastical	kanisa
echelon	echelon
echinacea	echinacea
echo	echo
eclectic	eclectic
eclipse	kupatwa
ecliptic	ecliptic
ecological	mazingira
economic	kiuchumi
economical	kiuchumi
economics	uchumi
economy	uchumi
ecosystem	mazingira
ecstasy	furaha
ecstatic	furaha
ecumenical	kiumini
eddy	eddy
edema	edema
edge	makali
edging	kugeuka
edgy	edgy
edible	chakula
edict	amri
edification	kujenga
edifice	jengo
edit	hariri
editing	uhariri
edition	toleo
editor	mhariri
editorial	wahariri
educate	kuelimisha
educated	elimu
education	elimu
educational	elimu
educator	mwalimu
eeeek	NO TRANSLATION
eeek	NO TRANSLATION
eek	eek
eel	eel
eerie	eerie
effect	athari
effective	ufanisi
effectiveness	ufanisi
effects	athari
effectual	ufanisi
effectually	effectually
effectuate	fanya
effeminate	kutekeleza
efficacious	ufanisi
efficacy	ufanisi
efficiency	ufanisi
efficient	ufanisi
effigy	effigy
effort	juhudi
effortless	bila kujitahidi
effusion	uharibifu
effyou	NO TRANSLATION
egg	yai
egghead	yaihead
eggnog	yainog
eggplant	mbilingani
eggshell	shayiri
ego	ego
egomaniac	egomaniac
egotistical	mfano
egregious	mbaya
egress	fanya
eight	nane
eighteen	kumi na nane
eighth	nane
eighty	mashirini
ejaculate	ejaculate
ejaculation	kumwagika
eject	jaribu
ejection	ejection
elaborate	kufafanua
elaboration	ufafanuzi
elan	NO TRANSLATION
elapse	kufaa
elapsed	ilipita
elastic	elastic
elasticity	elasticity
elated	walifurahi
elation	msichana
elbow	kijiko
eld	kwanza
elder	mzee
elderly	wazee
elders	wazee
eldest	mzee
elect	wateule
election	uchaguzi
elective	kuchagua
elector	wapiga kura
electoral	uchaguzi
electorate	wapiga kura
electric	umeme
electric slide	slide ya umeme
electrical	umeme
electrician	umeme
electricity	umeme
electrify	futa
electrocute	electrocute
electrocution	electrocution
electromagnetic	umeme
electron	elektroni
electronic	umeme
electronics	umeme
elegance	ustadi
elegant	kifahari
element	kipengele
elemental	msingi
elementary	msingi
elements	vipengele
elephant	tembo
elevate	kuinua
elevated	iliinua
elevation	mwinuko
elevator	lifti
eleven	kumi na moja
eleventh	kumi na moja
elf	elf
elicit	kuomba
eligible	wanaostahiki
eliminate	kuondoa
elimination	kuondoa
elite	wasomi
elitist	mtaalamu
elixir	elixir
elk	elk
ell	ell
ellipse	kupunguka
ellipsis	ellipsis
ellipsoid	ellipsoid
elliptic	elliptic
elliptical	elliptical
elm	elm
elongate	kuenea
elongation	upungufu
elope	elope
eloquence	kielelezo
eloquent	wenye ujuzi
elucidate	tambua
elucidation	uelewaji
elude	sio
elusive	haifai
emaciated	emaciated
email	barua pepe
emanate	inatoka
emancipation	ukombozi
embankment	pigo
embargo	NO TRANSLATION
embark	panga
embarrass	aibu
embarrassed	aibu
embarrassing	aibu
embarrassment	aibu
embassy	ubalozi
embattled	imbattled
embed	embed
embellish	embellish
embellishment	urembo
embers	hufanya
embezzlement	udanganyifu
embezzler	embezzler
emblem	alama
emblematic	alama
embodiment	mfano
embolism	embolism
embossed	embossed
embrace	kukumbatia
embroidered	iliyopambwa
embroidery	embroidery
embroiled	ilipigwa
embryo	kijana
embryonic	embryonic
emcee	emcee
emerald	emerald
emerge	kujitokeza
emergence	kuibuka
emergency	dharura
emeritus	dharura
emery	emery
emetophobia	uthabiti
