Word	sl
drunken	pijani
drunkenness	pijanstvo
dry	suha
dryer	sušilnik
dryness	suhost
dual	dvojno
dualism	dualizem
duality	dvojnost
dub	dub
dubious	dvomljivo
duchess	vojvodinja
duck	raca
ducking	ducking
duckling	pač
ducky	ducky
duct	kanal
ductile	duktilni
dud	Dud
dude	stari
duds	duds
due	dolžan
duel	dvoboj
dues	pristojbine
duet	duet
duffel	duffel
dugout	Dugout
duh	duh
duke	vojvoda
dull	dolgočasno
dullard	Dullard
dumb	neumna
dumbasses	dumbasses
dumbbell	dumbbell
dumbbitch	NO TRANSLATION
dumfound	Odkrito
dumfounder	NO TRANSLATION
dummy	lutka
dump	smetišče
dumpling	cmok
dumps	odlagališča
dumpster	dumpster
dun	dun
dunce	dunce
dune	dune
dung	NO TRANSLATION
dungeon	tamnica
dunk	dunk
duo	duo
dupe	bedak
duplex	duplex
duplicate	dvojnik
duplication	podvajanje
duplicity	dvojnost
durability	vzdržljivost
durable	vzdržljiv
duration	trajanje
duress	prisilo
dusk	mrak
dusky	dusky
dust	prah
duster	piščanec
dustpan	prah
dusty	prašno
dutiful	Dutiful
duty	dolžnost
dwarf	škrat
dwarfed	dwarfed
dweeb	dweeb
dwell	stanovati
dweller	stanovalec
dwelling	stanovanje
dye	barva
dying	umiranje
dyke	dyke
dynamic	dinamično
dynamical	dinamično
dynamics	dinamika
dynamite	dinamit
dynamo	dinamo
dynasty	dinastija
dysentery	dysentery
dysfunction	disfunkcija
dysfunctional	disfunkcionalen
dyspepsia	dispepsija
eager	željni
eagerness	veselje
eagle	orel
ear	uho
earful	uroga
earl	Earl
earlier	prej
early	zgodaj
earn	zaslužiti
earnest	resno
earnestly	resno
earnestness	resnost
earnings	zaslužki
earpiece	slušalka
earring	uhan
earrings	uhani
earshot	Earshot
earth	Zemlja
earthenware	zemlja
earthling	zemeljski
earthly	Zemeljsko
earthquake	potres
earthy	Zemeljski
ease	enostavno
easel	stojalo
easement	služnost
easily	enostavno
east	vzhodno
eastbound	vzhodno
eastern	vzhodno
easy	enostavno
easygoing	enostavno
eat	jesti
eater	eater
eating	jedo
eatingdisorders	NO TRANSLATION
eavesdrop	prisluškovanje
eavesdropping	prisluškovanje
ebb	drobovje
ebony	ebony
ebullient	ebullient
eccentric	ekscentrična
eccentricity	ekscentričnost
ecclesiastical	cerkveni
echelon	echelon
echinacea	ehinacea
echo	odmev
eclectic	eklektično
eclipse	Eclipse
ecliptic	Ekliptik
ecological	ekološko
economic	gospodarsko
economical	ekonomično
economics	ekonomija
economy	gospodarstvo
ecosystem	ekosistem
ecstasy	ekstazi
ecstatic	ekstatično
ecumenical	ekumensko
eddy	Eddy
edema	edem
edge	rob
edging	robovi
edgy	Očarljivo
edible	užitna
edict	edict
edification	urejanje
edifice	zgradba
edit	Uredi
editing	urejanje
edition	izdaja
editor	urednik
editorial	uredništvo
educate	izobraževati
educated	izobraženi
education	izobraževanje
educational	izobraževanje
educator	vzgojitelj
eeeek	NO TRANSLATION
eeek	NO TRANSLATION
eek	eek
eel	jegulje
eerie	eerie
effect	učinek
effective	učinkovito
effectiveness	učinkovitost
effects	učinke
effectual	učinkovito
effectually	učinkovito
effectuate	učinek
effeminate	feminiziran
efficacious	učinkovit
efficacy	učinkovitost
efficiency	učinkovitost
efficient	učinkovito
effigy	sliko
effort	trud
effortless	brez napora
effusion	izliv
effyou	NO TRANSLATION
egg	jajce
egghead	jajčevec
eggnog	eggnog
eggplant	jajčevec
eggshell	jajčni listič
ego	ego
egomaniac	egomaniak
egotistical	egotistični
egregious	izjemno
egress	Izhod
eight	osem
eighteen	osemnajst
eighth	osmi
eighty	osemdeset
ejaculate	ejakulat
ejaculation	ejakulacija
eject	izmet
ejection	izmet
elaborate	izdelati
elaboration	izdelava
elan	NO TRANSLATION
elapse	preteče
elapsed	minilo
elastic	elastična
elasticity	elastičnost
elated	vznemirjen
elation	Pozdravljeni
elbow	komolec
eld	eld
elder	starejši
elderly	starejši
elders	starešine
eldest	najstarejši
elect	izvoli
election	volitve
elective	izbirni
elector	volivec
electoral	volilno telo
electorate	volilno telo
electric	električni
electric slide	električni drsnik
electrical	električni
electrician	električar
electricity	elektrika
electrify	elektrifikacija
electrocute	elektro strup
electrocution	električni udar
electromagnetic	elektromagnetna
electron	elektron
electronic	elektronsko
electronics	elektronika
elegance	eleganco
elegant	elegantno
element	element
elemental	elementarno
elementary	osnovno
elements	elementi
elephant	slon
elevate	dvigni
elevated	povišano
elevation	višina
elevator	dvigalo
eleven	enajst
eleventh	enajstega
elf	elf
elicit	Izzvati
eligible	upravičeni
eliminate	odpraviti
elimination	odprava
elite	elita
elitist	elitist
elixir	eliksir
elk	elk
ell	ell
ellipse	elipse
ellipsis	elipsa
ellipsoid	elipsoid
elliptic	eliptični
elliptical	eliptična
elm	Brest
elongate	podolgovate
elongation	raztezek
elope	pobegniti
eloquence	elokventnost
eloquent	zgovoren
elucidate	razjasni
elucidation	razjasnitev
elude	Izogibaj se
elusive	nedosegljiv
emaciated	izčrpan
email	E-naslov
emanate	izzvati
emancipation	emancipacija
embankment	nasip
embargo	NO TRANSLATION
embark	vkrcati
embarrass	nesramen
embarrassed	nerodno
embarrassing	neugodno
embarrassment	zadrega
embassy	veleposlaništvo
embattled	vpetih
embed	vdelati
embellish	okrasite
embellishment	okrasitev
embers	Žerjav
embezzlement	poneverbe
embezzler	odkrili
emblem	emblem
emblematic	simbolično
embodiment	utelešenje
embolism	embolizem
embossed	reliefno
embrace	Objemi
embroidered	vezene
embroidery	vezenje
embroiled	Vpleten
embryo	zarodek
embryonic	embrionalni
emcee	emcee
emerald	smaragdna
emerge	Pojavi se
emergence	pojav
emergency	nujno
emeritus	emeritus
emery	smrčanje
emetophobia	emetofobija
emigrate	izseliti
emigration	izseljevanje
eminence	eminence
eminent	ugledna
eminently	eminently
emir	NO TRANSLATION
emissary	odposlanec
emission	emisije
emit	oddajajo
emo	emo
emotion	čustva
emotional	čustveno
emotive	emotive
empathic	empatično
empathize	empatizirati
empathy	sočutje
emperor	cesar
emphasis	poudarek
emphasize	poudariti
emphatic	odločno
emphysema	emfizem
empire	imperij
empirical	empirično
empiricism	empirizma
employ	zaposliti
employee	zaposlenega
employer	delodajalec
employment	zaposlovanje
emporium	emporium
empower	pooblastiti
empress	cesarka
emptiness	praznino
emption	emption
empty	prazno
emu	emu
emulate	posnemati
emulsion	emulzija
enable	omogoči
enablement	omogočanje
enact	sprejmejo
enactment	sprejetje
enamel	emajl
encampment	taborišče
enchant	očarljiv
enchanted	očaral
enchanting	očarljivo
enchantment	očarljivost
enchantress	očarala
enchilada	enchilada
encircle	obkrožite
encircling	obkrožati
enclave	enklava
enclose	priložite
enclosure	ohišje
encode	kodiranje
encomiastic	NO TRANSLATION
encomium	enkomij
encompass	vključujejo
encore	NO TRANSLATION
encounter	srečanje
encourage	spodbujati
encouraged	spodbujali
encouragement	spodbujanje
encouraging	spodbujanje
encroach	posegati
encroachment	poseganje
encrypt	šifriranje
encryption	šifriranje
encumbrance	breme
encyclopedia	enciklopedija
end	konec
end table	konec mize
endanger	ogrožati
endangered	ogroženo
endangerment	ogroženost
endearing	oboževalec
endeavor	si prizadevaš
ended	končal
endemic	endemično
endgame	endgame
ending	konec
endless	neskončno
endocarditis	endokarditis
endorse	potrdi
endorsement	potrditev
endow	Podarim
endowed	obdarjen
endowment	obdarjanje
endpapers	končnice
endpoint	končna točka
endurance	vzdržljivost
endure	trpeti
enduring	vzdržljiv
enema	klistir
enemy	sovražnik
energetic	energičen
energize	energijo
energy	energija
enforce	uveljaviti
enforcement	izvrševanje
enforcer	izvršitelj
engage	sodelovati
engaged	angažiran
engagement	sodelovanje
engaging	privlačen
engender	spodbuditi
engine	motor
engineer	inženir
engineering	inženiring
engrave	grbi
engraved	vgravirano
engraver	graverja
engraving	graviranje
engrossed	zmeden
engrossing	zanimivo
engulf	Zgrabite
enhance	izboljšati
enhancement	izboljšave
enigma	enigma
enigmatic	enigmatično
enjoin	naloži
enjoy	uživajte
enjoyable	prijetno
enjoying	uživa
enjoyment	užitek
enlarge	povečaj
enlarged	razširjeno
enlargement	širitev
enlighten	razsvetli
enlightened	razsvetljen
enlightening	razsvetljujoče
enlightenment	razsvetljenje
enlist	prijavite se
enliven	enliven
enmity	sovraštvo
ennui	Ennui
enormity	enormnost
enormous	ogromno
enormously	izjemno
enraged	jezen
enrich	obogatiti
enroll	vpisati
enrollment	vpis
ensemble	ansambel
ensign	zastave
enslave	zasvojenost
enslaved	zasužnjen
enslavement	zasužnjevanje
ensue	sledi
ensure	zagotovite
entail	zahtevajo
entangled	zapletena
entanglement	zapletanje
enter	vnesite
enterprise	podjetje
enterprising	podjetniško
entertain	zabavati
entertained	zabavali
entertainer	zabavljač
entertaining	zabavno
entertainment	zabava
enthralled	navdušeni
enthusiasm	navdušenje
enthusiast	navdušenec
enthusiastic	navdušeni
entice	privabiti
entire	celotno
entirety	celota
entitle	pravico
entity	entiteta
entomology	entomologija
entourage	spremstvo
entrails	notranjost
entrance	vstop
entrapment	ujetništvo
entreat	ljubezen
entree	vstop
entrepreneur	podjetnik
entrust	zaupati
entry	vstop
enumerate	navedite
enumeration	štetje
envelope	ovojnico
envious	zavidan
environ	NO TRANSLATION
environment	okolje
environmental	okolje
environs	okolice
envision	predvideva
envoy	odposlanec
envy	zavist
enzyme	encim
ephemeral	Efemerno
ephemeris	ephemeris
epic	epski
epidemic	epidemija
epidermis	epidermis
epidural	epiduralni
epilepsy	epilepsija
epileptic	epileptični
epilogue	epilog
epiphany	Razodetje
episcopal	episcopal
episode	Epizoda
episodic	epizodično
epistle	pismo
epitaph	epitaf
epithet	epithet
epitome	epitome
epoch	epoha
equal	enako
equality	enakost
equalization	izenačitev
equalize	izenačiti
equalizer	izenačevalnik
equally	enako
equate	enačiti
equation	enačba
equator	ekvator
equatorial	Ekvatorialni
equestrian	konjenik
equidistant	enakomerno
equilibration	uravnavanje
equilibrium	ravnotežje
equip	opremiti
equipment	opremo
equitable	pravičen
equity	pravičnost
equivalence	enakovrednost
equivalent	enakovredno
equivocal	dvoumno
era	era
eradicate	izkoreniniti
eradication	izkoreninjenje
erase	izbrisati
eraser	eraser
erasure	izbris
ere	NO TRANSLATION
erect	pokončno
erectile	erektilna
erection	erekcija
ergo	NO TRANSLATION
erode	erode
erosion	erozija
erotic	erotično
erotica	erotika
err	err
errand	napaka
errant	napačno
erratic	neredno
erratum	erratum
erroneous	napačna
error	napaka
erst	NO TRANSLATION
erudite	erudite
erupt	erupt
eruption	izbruh
escalade	escalade
escalate	stopnjevati
escalating	stopnjeval
escalation	stopnjevanje
escalator	tekoče stopnice
escape	pobegniti
escaped	pobegnil
escarpment	escarpment
eschew	izogibati se
escort	spremstvo
escrow	escrow
esophagus	požiralnik
esoteric	ezoterično
especial	NO TRANSLATION
espionage	špijunaža
espouse	pazite
espresso	espresso
esprit	esprit
esquire	esquire
essay	esej
essayist	esejist
essence	bistvo
essential	bistveno
essentially	v bistvu
establish	vzpostaviti
established	ustanovljen
establishment	ustanovitev
estate	nepremičnine
esteem	ceniti
esteemed	cenjen
esthetic	estetsko
estimable	ocenljivo
estimate	oceniti
estimation	ocena
estoppel	estoppel
estranged	odtujen
estrogen	estrogen
estuary	estuary
etch	etch
etching	jedkanje
eternal	večno
eternity	večnost
ethanol	etanol
ether	eter
ethereal	ethereal
ethic	etika
ethical	etično
ethics	etika
ethnic	etničen
ethnography	etnografija
etiology	etiologija
etiquette	etiketa
etymology	etimologija
eucalyptus	evkaliptus
euchre	euhre
eugenics	eugenics
eulogistic	Eulogistično
eulogium	Eulogij
eulogize	Odkrijte
eulogy	Eulogija
euphemism	eufemizem
euphoria	evforija
euphoric	euforično
euro	evro
euthanasia	evtanazija
evacuate	evakuirati
evacuation	evakuacija
evade	izogniti se
evaluate	oceniti
evaluation	vrednotenje
evanescence	evanescence
evangelical	evangeličan
evangelist	evangelist
evangelistic	evangeličan
evaporate	izhlapi
evaporation	izhlapevanje
evasion	utaje
evasive	izogibanje
eve	predvečer
evening	zvečer
evens	NO TRANSLATION
event	dogodek
eventful	dogodek
eventual	eventualno
eventuality	možnost
evergreen	zimzelena
everlasting	večno
evermore	vedno več
everyday	vsak dan
everyman	vsak moški
evict	izseliti
eviction	izselitev
evidence	dokazov
evident	očitno
evidentiary	dokazni list
evil	zlo
evoke	evoke
evolution	evolucijo
evolutionary	evolucijski
evolve	evoluirati
ewe	ovca
ex	ex
exacerbate	poslabša
exacerbation	poslabšanje
exact	točno
exacting	zahtevno
exaggerate	Pretiravajte
exaggerated	pretirano
exaggeration	pretiravanje
exalt	exalt
exaltation	exaltation
exalted	vzvišeno
exam	izpit
examination	pregled
examine	preučiti
examiner	izpraševalec
example	primer
exasperated	razburjen
exasperation	razburjenje
excavate	izkopati
excavation	izkopavanje
excavator	bager
exceed	presega
exceeding	presega
excel	excel
excellence	odličnost
excellent	odlično
excelsior	Excelsior
excepting	razen
exception	izjema
exceptional	izjemno
excerpt	izvleček
excess	presežek
excessive	pretirano
excessively	pretirano
exchange	izmenjavo
excise	trošarine
excision	izrezek
excitability	razburljivost
excitable	razburljivo
excitation	vzburjenje
excite	vznemirjaj
excited	navdušen
excitement	vznemirjenje
exciting	vznemirljivo
exclaim	izvleček
exclamation	vzklik
exclude	izključite
excluded	izključeni
excluding	brez
exclusion	izključitev
exclusive	izključno
excrement	iztrebki
excretion	izločanje
excruciating	moteče
excursion	ekskurzija
excuse	izgovor
exec	exec
execute	Izvedi
execution	izvedba
executioner	izvršitelj
executive	izvršni
executor	izvršitelj
exegesis	eksegeza
exemplar	Primer
exemplary	zgledno
exemplify	ponazoriti
exempt	oproščeni
exemption	oprostitev
exercise	vadba
exert	izvaja
exertion	napor
exhale	izdihni
exhaust	izpušni sistem
exhausted	izčrpan
exhaustion	izčrpanost
exhaustive	izčrpen
exhibit	razstavi
exhibition	razstava
exhilarated	vznemirjen
exhilarating	vznemirljivo
exhilaration	razburjenje
exhort	opozarjajo
exhortation	spodbuda
exhumation	ekshumacija
exhume	ekshumiraj
exigent	NO TRANSLATION
exile	izgnanstvo
exist	obstajajo
existence	obstoj
existent	obstaja
existential	eksistencialni
existing	obstoječe
exit	izhod
exodus	exodus
exonerate	oprostite
exorbitant	pretirano
exorcism	eksorcizem
exorcist	eksorcist
exotic	eksotična
expand	razširiti
expanded	razširil
expanse	prostranstvo
expansion	širitev
expansive	ekspanzivno
expatriate	izseljenec
expect	pričakovati
expectance	pričakovanje
expectancy	pričakovanja
expectant	pričakovano
expectation	pričakovanja
expected	pričakovano
expecting	pričakujejo
expediency	primernost
expedient	primeren
expedite	pospešiti
expedition	ekspedicija
expeditious	hitra
expel	Izginiti
expendable	poraba
expenditure	izdatkov
expense	stroške
expenses	stroški
expensive	draga
experience	izkušnje
experienced	izkušeni
experiences	izkušnje
experiment	poskus
experimental	eksperimentalni
experimentation	eksperimentiranje
experimenter	eksperimentator
expert	strokovnjak
expertise	strokovno znanje
expiration	potekel
expire	poteče
expired	potekel
expiry	prenehanje veljavnosti
explain	pojasnite
explanation	razlago
explanatory	pojasnila
expletive	Izgovoren
explication	eksplikacija
explicit	eksplicitno
explode	eksplodira
exploit	izkoriščati
exploitation	izkoriščanje
exploration	raziskovanje
exploratory	raziskovalno
explore	raziskati
explorer	raziskovalec
explosion	eksplozija
explosions	eksplozije
explosive	eksplozivno
expo	expo
exponent	eksponent
exponential	eksponentni
export	izvoz
exportation	izvoz
expose	izpostaviti
exposed	izpostavljeni
exposition	ekspozicija
expository	razlaga
exposure	izpostavljenost
expound	razložiti
express	izrazite
expression	izraz
expressive	izrazno
expressway	hitre ceste
expropriation	razlastitev
expulsion	izgon
exquisite	izvrstno
exquisitely	Odlično
extant	obstoječe
extend	razširiti
extendable	podaljša
extended	podaljšan
extension	razširitev
extensive	obsežen
extent	obseg
exterior	zunanjost
exterminate	iztrebiti
extermination	iztrebljanje
exterminator	exterminator
external	zunanji
externally	zunaj
extinct	izumrla
extinction	izumrtje
extinguish	ugasnejo
extinguisher	gasilni aparat
extol	extol
extort	izsiljevanje
extortion	izsiljevanje
extra	ekstra
extract	izvleček
extracting	ekstrahiranje
extraction	ekstrakcija
extractor	ekstraktor
extracurricular	izvenšolski
extradition	izročitev
extrajudicial	izvensodno
extramural	zunanjost
extraneous	tuja
extraordinaire	ekstraordinaire
extraordinary	izredno
extraterrestrial	zunajzemeljsko
extravagance	ekstravaganca
extravagant	ekstravagantno
extravaganza	ekstravaganca
extreme	ekstremno
extreme anticipation	ekstremno pričakovanje
extreme disgust	skrajno gnusoba
extreme surprise	ekstremno presenečenje
extreme trust	ekstremno zaupanje
extremely	izredno
extremely negative	zelo negativno
extremely positive	izredno pozitiven
extremity	konec
extricate	izstreliti
extrinsic	zunaj
extrusion	iztiskanje
exuberance	izobilje
exude	Izlučiti
eye	oči
eyeball	Eyeball
eyebrow	obrvi
eyeful	Eyeful
eyeglass	očal
eyeglasses	očala
eyelash	trepalnica
eyelet	očesca
eyeliner	Eyeliner
eyepiece	okular
eyes	oči
eyesight	vid
eyewitness	očividec
fab	fab
fable	fable
fabled	fabled
fabric	tkanine
fabricate	izdelati
fabricated	izdelani
fabrication	izdelava
fabulous	čudovito
facade	fasada
face	obraz
faceless	brez obraza
facet	facet
facial	obraza
facile	NO TRANSLATION
facilitate	olajšati
facility	objekt
facing	sooča
facsimile	faksimile
fact	dejstvo
faction	frakcija
factor	faktor
factory	tovarne
facts	dejstva
factual	dejansko
faculties	fakultete
faculty	fakulteta
fad	mada
fade	zbledi
faded	bledi
faeces	blato
fag	fag
faggot	peder
fail	neuspeh
failing	neuspeh
failure	neuspeh
fain	NO TRANSLATION
faint	Slabo
fainting	omedlevica
fair	pošteno
fairly	pošteno
fairness	poštenost
fairway	plovne poti
fairy	vila
faith	vera
faithful	zvest
faithfulness	zvestoba
faithless	brez vere
fake	ponaredek
faker	faker
falafel	falafel
falcon	sokol
fall	padec
fallacious	napačno
fallacy	zmota
fallback	pasti nazaj
fallible	zmožen
falling	padec
fallopian	jajcevod
fallout	padec
fallow	prah
false	FALSE
falsehood	laž
falsely	lažno
falsification	ponarejanje
falsified	ponarejena
falsify	ponarejeni
falsity	lažno
falter	drek
fame	slavo
famed	slaven
familiar	znano
familiarity	poznavanje
familiarize	Seznanite se
family	družina
familytime	čas za družino
famine	lakoto
famished	famished
famous	slavni
famously	znano
fan	ventilator
fanatic	fanatik
fanatical	fanatično
fanaticism	fanatizem
fanciful	domišljija
fancy	fancy
fandango	fandango
fanfare	fanfare
fang	NO TRANSLATION
fangs	fangs
fanning	fanning
fantasia	fantazija
fantasize	fantazirati
fantastic	fantastično
fantasy	fantazija
faraway	daleč stran
farce	farsa
farcical	farsi
fare	prevoznina
farewell	slovo
farm	kmetija
farmer	kmet
farmhouse	kmetija
farming	kmetovanje
farmland	kmetijska zemljišča
faro	faro
fart	prdec
farther	dlje
fascia	fascija
fascinate	fascinantno
fascinated	fasciniran
fascinating	fascinantno
fascination	fascinacija
fascism	fašizem
fascist	fašista
fashion	moda
fashionable	modno
fastball	fastball
fasten	pritrdite
fastener	sponko
fastening	pritrditev
fasting	post
fat	maščobe
fatal	smrtno
fatalism	fatalizem
fatality	smrtnost
fate	usoda
fated	soroden
fateful	usodno
fathead	debelost
father	Oče
fatherhood	očetovstvo
fatherland	domovina
fatherly	očetov
fathom	fathom
fatigue	utrujenost
fatigued	utrujenost
fatso	fatso
fatten	fatten
fatty	maščobo
faucet	pipa
fault	napaka
faultless	brezhibno
faulty	napačno
faun	faun
fauna	favna
faux	faux
favor	uslugo
favorable	ugodno
favorite	najljubši
favoriteholiday	NO TRANSLATION
favoritism	favoritizem
fawn	rjava
fax	faks
faze	NO TRANSLATION
fear	strah
feared	strah
fearful	strah
fearfully	strašno
fearing	strah
fearless	neustrašen
fears	strahove
fearsome	strahovito
feasibility	izvedljivost
feasible	izvedljivo
feast	praznik
feat	feat
feather	pero
feathered	pernate
feature	funkcija
features	Lastnosti
febrile	febrilno
fecal	fekal
feces	iztrebki
fecundity	plodnost
fed	hranjenje
federal	zvezno
federation	zveze
fedup	NO TRANSLATION
fee	pristojbina
feeble	slaboten
feed	krmo
feedback	povratne informacije
feeder	dovodnik
feel	počutim
feelgood	počutiti se dobro
feeling	občutek
feelingdown	NO TRANSLATION
feelinggood	NO TRANSLATION
feet	stopala
feign	feign
feigned	krivda
feisty	Pohoten
felicity	sreča
feline	mačk
fell	padla
feller	feller
fellow	kolega
fellowship	štipendija
felon	zločinec
felony	zločin
felt	čutil
female	žensko
feminine	žensko
femininity	ženskost
feminism	feminizem
feminist	feministka
femme	NO TRANSLATION
femoral	stegnenice
femur	femur
fen	NO TRANSLATION
fence	ograjo
fenced	ograjen
fencing	ograje
fend	odbiti
fender	blatnik
fennel	komarček
ferment	fermentiranje
fermentation	fermentacija
fern	praproti
ferocious	svoboden
ferocity	ferocity
ferret	belega dihurja
ferry	trajekt
ferryboat	NO TRANSLATION
fertile	plodno
fertility	plodnost
fertilize	gnojiti
fertilizer	gnojilo
fervent	goreč
fervor	strah
fess	fess
fest	fest
festival	festival
festive	praznično
fetal	plod
fetch	prinesi
fete	NO TRANSLATION
fetish	fetiš
fetus	plod
feud	spopad
feudal	fevdalno
feudalism	fevdalizem
fever	povišana telesna temperatura
feverish	grozljivo
fiancee	NO TRANSLATION
fiasco	fiasco
fiat	fiat
fib	fib
fiber	vlakno
fiberglass	steklena vlakna
fibrosis	fibroza
fibrous	vlaknat
fickle	prekleto
fiction	fikcija
fictional	izmišljen
fictitious	fiktivno
fiddle	grdo
fiddler	fiddler
fidelity	zvestoba
fidgety	neumni
fiduciary	fiduciar
field	polje
field hockey	hokej
fielder	fielder
fiend	fiend
fiendish	neumnost
fierce	ostro
fiery	ognjeno
fiesta	fiesta
fiesty	NO TRANSLATION
fifteen	petnajst
fifty	petdeset
fig	sl
fight	boj
fighter	borec
fighting	boj
fights	bori
figment	figment
figurative	figurativno
figure	številka
figurine	figurica
filament	filament
filamentous	filamentno
file	mapa
filet	filet
filibuster	filibuster
filigree	filigransko
filing	vložitev
filings	vložki
fill	izpolnite
filler	polnilo
fillet	filet
filling	polnjenje
filly	Fila
film	film
filmmaker	filmski ustvarjalec
filmy	NO TRANSLATION
filter	filter
filth	prst
filthy	prljavo
filtration	filtracija
fin	NO TRANSLATION
final	končno
finale	finale
finalist	finalist
finality	dokončnost
finalize	dokončati
finalized	končano
finally	končno
finance	finance
financial	finančno
financier	financerja
finch	finch
find	najti
finder	iskalec
finding	ugotovitev
fine	V redu
finery	lepila
finesse	finesse
finger	prst
fingernail	noht
fingerprint	prstni odtis
fingerscrossed	NO TRANSLATION
finish	konča
finished	končal
finite	končno
fink	fink
fir	jelka
fire	ogenj
firearm	strelno orožje
firearms	strelno orožje
fireball	ognjena krogla
firecracker	petarda
firefight	požar
firefighter	gasilec
firefly	svetilka
firehouse	gasilska hiša
firelight	svetilka
fireman	gasilec
fireplace	kamin
firepower	ognjeno moč
fireproof	ognjevarno
fireside	ognjišče
firestorm	ogenj
firewall	požarni zid
firewood	drva
firework	ognjemet
fireworks	ognjemet
firing	streljanje
firm	trdno
firmament	neumen
firmly	trdno
firmness	trdnost
first	najprej
firstborn	prvorojenec
firstworldprobs	NO TRANSLATION
fiscal	fiskalni
fish	ribe
fisherman	ribič
fishery	ribištvo
fishing	ribolov
fishing boat	ribiški čoln
fishy	riba
fissile	cepljive
fission	cepitev
fissure	razpok
fist	pest
fistfight	fistfight
fistful	fistful
fistula	fistula
fit	fit
fitness	fitnes
fits	Ujema
fitted	opremljena
fitting	opremljanje
fittings	pribor
five	pet
fiver	fiver
fix	popravi
fixable	popravljiv
fixation	fiksacija
fixed	določen
fixer	fiksir
fixture	napeljava
fixtures	napeljave
fizz	fizz
fjord	fjord
flabbergast	flabbergast
flabbergasted	vdihnjen
flabby	mrzlo
flaccid	Flaccid
flag	zastava
flagging	označevanje
flagpole	flagpole
flagrant	flagrant
flagship	vodilni
flagstaff	flagstaff
flair	Užitek
flak	flak
flake	kosmiči
flaky	luskav
flamboyant	čudovito
flame	plamen
flamethrower	flamethrower
flaming	plamen
flamingo	flamingo
flammable	vnetljivo
flan	flan
flange	prirobnica
flank	bok
flanked	obdan
flanking	flanking
flannel	flanel
flap	poklopec
flapping	flapping
flare	bleščanje
flares	rakete
flaring	bruhanje
flash	bliskavica
flashback	vrnitev nazaj
flashing	utripa
flashlight	svetilka
flashy	Bliskovito
flask	bučko
flat	stanovanje
flatbed	ploščat
flatfoot	ravna nogica
flatness	ravnost
flatten	poravnati
flatter	laskati
flattered	laskati
flattering	laskavi
flattery	laskanje
flatulence	napenjanje
flaunt	šopek
flavor	okus
flaw	pomanjkljivost
flawed	pomanjkljivo
flawless	brezhibno
flea	bolha
fleabag	Slabo
fled	pobegnil
flee	bežijo
fleece	flis
fleet	flote
fleeting	minljivost
flesh	meso
fleshy	mesnate
flex	flex
flexibility	fleksibilnost
flexible	prilagodljiv
flexin	flexin
flexion	upogibanje
flick	pik
flicker	fliker
flickering	utripa
flier	letalo
flight	let
flighty	poln
flimsy	skrito
flinch	flinch
fling	občutek
flint	kremena
flip	flip
flip flop	Japonke
flipper	fliper
flipping	flipping
flirt	flirt
flirtation	flirtanje
flirting	spogledovanje
flirty	spogledljivo
float	float
floater	plovec
flock	jata
flog	flog
flood	poplave
floor	nadstropje
flooring	tla
floozy	floozy
flop	flop
floppy	disketno
flora	flora
floral	cvetlični
florist	cvetličar
floss	nitko
flotation	flotacija
flounder	flounder
flour	moka
flourish	razcvetati
flow	tok
flower	cvet
flowering	cvetenje
flowers	cvetje
flowery	cvetno
flows	tokove
flu	gripa
fluctuate	nihajo
fluctuating	nihajo
fluctuation	nihanje
flue	dim
fluency	tekoče
fluent	tekoče
fluff	puhalo
fluffy	puhasto
fluid	tekočina
fluidity	tekočina
fluke	fluke
flunk	lahka
flunky	Flunky
fluorescence	fluorescenca
fluorescent	fluorescenten
flurries	flurries
flurry	Vnetje
flush	izpljune
flustered	Grozljivo
flute	flavta
fluted	fluted
flutter	trepetanje
fluvial	fluvialno
flux	fluks
fly	letenje
flyboy	flyboy
flyer	letak
flying	letenje
flywheel	vztrajnik
foal	žrebec
foam	pena
foaming	penjenje
foamy	penasta
fob	fob
focal	osrednji
focus	osredotočiti
fodder	krma
foe	sovražnik
fog	megla
foggy	megleno
foil	folija
foiled	preganjana
fold	krat
folded	zložen
folder	mapo
foliage	listje
folio	folio
folk	ljudje
folklore	folklor
follicle	folikel
follicular	folikularna
follow	sledite
follower	privrženec
folly	neumnost
fond	fond
fondle	ljubi
fondling	ljubezen
fondness	ljubezni
fondue	fondue
font	pisava
food	hrano
foodie	hrana
fool	bedak
fooled	preslepil
foolhardy	neumni
fooling	bedati
foolish	neumno
foolishness	neumnost
foolproof	brezskrbno
foot	stopalo
foot stool	stopala
footage	posnetki
football	nogomet
footbridge	brv
foothold	oporo
footing	stopala
footlocker	brivnik
footloose	podnožje
footpath	pešpot
footprint	odtis
footwear	obutev
footwork	footwork
fop	fop
forage	krma
foray	plen
forbearance	Izpadanje
forbid	prepovedati
forbidding	prepovedati
force	sila
forced	prisiljeni
forceful	prisilno
forceps	klešče
forces	sile
forcibly	prisilno
ford	Ford
fore	spredaj
forearm	podlaket
foreboding	predsodka
forecast	napoved
forecaster	prediktor
foreclose	zaprite
foreclosure	zaprtje
forefathers	predniki
forefinger	kazalec
forefront	prvi korak
forego	odpustite
foregoing	zgoraj navedeno
foregone	izpadli
foreground	novo znanje
forehead	čelo
foreign	tuji
foreigner	tujec
foreman	delovodja
foremost	predvsem
forensic	forenzik
forensics	forenzike
foreplay	predigra
forerunner	predhodnik
foresee	predvidi
