Word	st
crush	e sithabetse
crushed	e sithabetseng
crusher	crusher
crushing	ho senya
crust	mokokotlo
crusty	ho khabisa
crutch	hook
crux	crux
cry	ho lla
crybaby	khalala
crying	ho lla
crypt	crypt
cryptic	kherehloa
cryptography	ho ngola litšoantšo
crystal	kristale
crystalline	kristalline
crystallization	crystallization
cub	konyana
cubby	cubby
cube	cube
cubic	k'hemik'hale
cubicle	cubicle
cuckold	cuckold
cuckoo	cuckoo
cucumber	komokomore
cuddle	ho kopa
cuddled	ho pota-potiloe
cuddles	marotholi
cuddling	ho lla
cue	cue
cuff	khafu
cuisine	kitchen
culinary	ho hlahisa lijo
cull	khale
culminate	qetellong
culmination	qetellong
culpability	tlōlo ea molao
culpable	e le molato
culprit	litlokotsi
cult	kereke
cultivate	hlaolela
cultivated	ho lengoa
cultivation	ho lema
cultural	setso
culture	setso
cultured	e hlahisitsoeng
culvert	culvert
cumbersome	e thata
cumulus	cumulus
cunning	bolotsana
cunt	motlatsi
cup	senoelo
cupboard	lebokose
cupcake	senoelo
cupping	khapping
cur	khutso
curable	phekolo
curate	khaba
curative	ho folisa
curator	mohlokomeli
curb	ho khaola
curd	khaotsa
cure	phekolo
curfew	nako ea ho fihla lapeng
curiosity	thahasello
curious	ho labalabela ho tseba
curl	sekonopo
curling	ho otloloha
currency	chelete
current	hona joale
curriculum	thuto
curry	curry
curse	thohako
cursed	e rohakiloe
cursing	ho rohaka
cursory	curseory
curt	khaola
curtail	khaotsa
curtailment	ho fokotsa
curtain	lesira
curtains	likharetene
curtsy	curtsy
curvature	ho phunyeha
curve	sekhahla
curved	e khabisitsoeng
curvilinear	curvilinear
cushion	mokokotlo
cushy	ho joalo
cusp	cusp
cuss	cuss
cussed	ho tsekisitsoe
custard	custard
custodial	ho itšireletsa
custodian	mohlokomeli
custody	litlamong
custom	tloaelo
customary	tloaelo
customer	bareki
customized	e ikhethang
cut	khaola
cutaneous	ho fokotseha
cute	e ntle
cuticle	cuticle
cutie	cutie
cutlass	khalase ea silevera
cutlery	ho khaola
cutoff	khaola
cutter	khaola
cutters	li-cutters
cutthroat	khaola
cutting	ho khaola
cutting board	boto ea ho pata
cuttings	cuttings
cwt	cwt
cyanide	cyanide
cyberspace	marang-rang
cycle	potoloho
cyclical	mokoloko
cyclist	motlakase
cyclone	leholiotsoana
cylinder	cylinder
cylindrical	cylindrical
cymbal	cymbala
cynic	cynic
cynical	ho ba leeme
cynicism	ho tsitlella
cyst	cyst
cystic	cystic
cytomegalovirus	cytomegalovirus
cytoplasm	cytoplasm
czar	morena
dab	dab
dabble	dabble
dabbling	ho qabana
dad	ntate
daddy	ntate
dado	NO TRANSLATION
daemon	daemon
daft	daft
dagger	sekoti
daily	letsatsi le letsatsi
dainty	e tsitsitseng
daiquiri	daiquiri
dairy	lebese
daisy	khanya
dak	NO TRANSLATION
dale	dale
dam	letamo
damage	tšenyo
damaged	e senyehile
damages	kotsi
dame	Dame
damn	Yerrrrrrr
damnation	damnation
damned	e senyehile
damp	e mongobo
dampened	e fokotsehile
damper	mocheso
damsel	ngoananyana
dance	tantši
dancer	dancer
dancing	ho tantša
dandruff	ho kheloha
dandy	dandy
danger	Kotsi
dangerous	kotsi
dangerously	ka kotsi
dangit	NO TRANSLATION
dangle	ho teteka
dank	NO TRANSLATION
dapper	dapper
dare	itete
daredevil	daredevil
daresay	e tsoetseng pele lapeng tshireletso
daring	ho ba sebete
dark	lefifi
darken	ho fifala
darkened	lefifi
darkly	lefifi
darkness	lefifi
darkroom	sebaka sa lefifi
darkside	lefifi
darling	moratuoa
darn	khaola
dart	dart
dash	dash
dashboard	dashboard
dashed	e qalile
dashing	ho lahla
dastardly	ho senya
data	data
database	database
date	letsatsi
datenight	NO TRANSLATION
daughter	morali
dawdle	dawdle
dawn	mafube
dawned	e ile ea hlaha
day	letsatsi
daybreak	hoseng
daycare	tlhokomelo ea litšebeletso
daydream	ho feta
daydreaming	ho lla
daylight	motšehare
daymade	NO TRANSLATION
dayoff	NO TRANSLATION
daytime	motšehare
daze	khale
dazed	e tsoetseng pele
dazzle	khanyetsa
dazzling	e phatsimang
deacon	modikoni
deactivate	thibela
dead	e shoele
deadbeat	sefuba
deadline	letsatsi la pheletso
deadlines	linako tsa nako
deadlock	thiba
deadly	e bolaeang
deaf	litsebe
deafening	ho utloahala
deafness	ho se utloe
deal	sebetsana
dealer	morekisi
dealership	morekisi
dealing	ho sebetsa
dealings	litšebelisano
dean	ho joalo
dear	rata
dearest	ea ratehang haholo
dearth	leshano
death	lefu
deathbed	bethe ea lefu
deathly	lefu
debacle	ho kheloha
debased	ho senyeha
debatable	ho khoneha
debate	phehisano
debauchery	ho itlosa bolutu
debenture	ho hloka chelete
debilitating	ho fokolisa
debit	debit
debrief	litlhaloso
debriefing	litlaleho tse ling
debris	litšila
debt	molato
debtor	ea molato
debut	qalong
debutante	boqhetseke
decade	lilemo tse leshome
decadence	ho senya
decadent	e senyehileng
decaf	phofo
decanter	decanter
decathlon	decathlon
decay	ho bola
decayed	e senyehile
decaying	ho senya
deceased	ea shoeleng
decedent	e tsitsitseng
deceit	leshano
deceitful	e thetsang
deceive	thetsa
deceived	ba thetsitsoe
deceiving	ho thetsa
december	december
decency	boitlhompho
decent	e hlomphehang
deception	thetso
deceptive	e thetsang
decide	etsa qeto
decidedly	ka qeto ea qeto
deciduous	ho hlaphoheloa
decimal	decimal
decimeter	decimeter
decipher	hlakola
decision	qeto
decisive	qeto ea bohlokoa
deck	mokotlana
declaration	phatlalatso
declaratory	ho phatlalatsa
declare	bolela
declination	ho fokotseha
decline	fokotseha
declining	ho fokotseha
deco	deco
decode	khetholla
decoder	seboholi
decompose	ho senya
decomposed	e senyehile
decomposition	ho senyeha
decompress	decompress
decompression	ho tepella maikutlo
decontamination	ho qhibiliha
decor	mekhabiso
decorate	khabisa
decorating	ho khabisa
decoration	mokhabiso
decorative	ho khabisa
decorator	mohlophisi
decorum	ho khabisoa
decoy	ho bola
decrease	fokotseha
decreased	e fokotsehile
decreasing	ho fokotseha
decree	taelo
decrement	tekanyetso
decrepit	ho fokotseha
decry	ho senyeha
decryption	ho tsuba
dedicate	inehela
dedication	boinehelo
deduce	fokotsa
deduct	khaotsa
deductible	ho tlosoa
deduction	ho fokotsa
deed	ketso
deejay	deejay
deem	sheba
deep	tebileng
deepen	tebisa
deer	likhama
defamation	silafatsi
defamatory	ho silafatsa
default	ka ho feletseng
defeat	ho hlōloa
defeated	e hlōtsoe
defeatist	ho hlōla
defect	sekoli
defection	ho senya
defective	e fosahetseng
defector	mofetoheli
defend	sireletsa
defendant	moqosuoa
defended	e sirelelitsoe
defender	mosireletsi
defending	ho sireletsa
defense	sireletsa
defenseless	ho se sireletsehe
defensible	e sireletsehileng
defensive	ho itšireletsa
defer	fokola
deference	tlhompho
deferral	sekhetho
deferring	ho senya
defiance	ho nyelisa
defiant	ho nyatsa
defibrillator	defibrillator
deficiency	ho haella
deficient	ha e na thuso
deficit	phoso
define	hlalosa
defined	e hlalositsoeng
definite	e totobetseng
definition	tlhaloso
definitive	e tiileng
deflate	deflate
deflation	deflation
deflect	senya
deflection	ho senya
defloration	ho senya
deform	ho fokola
deformed	ba holofetseng
deformity	ho fokola
defraud	ho qhekella
defray	e nyelisa
defrost	defrost
deft	ho theoha
defunct	e hlokang thuso
defuse	khaotsa
defy	ho nyefola
degeneracy	ho fokola
degenerate	fokotseha
degeneration	ho fokola
degradation	ho silafala
degrade	nyenyefatsa
degraded	e silafetseng
degrading	ho nyenyefatsa
degree	tekanyo
dehydrated	e silafalitsoe
dehydration	ho tsoa metsing
dejected	e nyahame
delay	lieha
delayed	lieha
delectable	e ikhethang
delegate	moemeli
delegation	baemeli
delete	senya
deleterious	ho sa tsotellehe
deletion	ho tlosoa
deli	deli
deliberate	ka boomo
deliberation	ho itlhahloba
deliberative	ka boomo
delicacy	monate
delicate	e tsitsitseng
delicatessen	delicatessen
delicious	e monate
delight	thabo
delighted	Nyakalletse
delightful	e thabisang
delineate	delineate
delineation	delineation
delinquency	tlōlo ea molao
delinquent	tlōlo ea molao
delirious	e thabisang
delirium	delirium
deliver	hlahisa
deliverance	ho lopolloa
delivery	ho romela
dell	dell
delta	delta
delude	hlakola
deluge	moroallo
delusion	leshano
delusional	ho thetsa
deluxe	deluxe
delve	ela hloko
demand	tlhokahalo
demanding	e hlokang
demeaned	e amohelehile
demeaning	ho nyenyefatsa
demeanor	boit soaro
demented	e koetsoe
dementia	'dementia'
demise	shoa
demo	demo
democracy	demokrasi
democrat	demokrasi
democratic	demokrasi
demographic	batho ba bangata
demolish	felisa
demolished	e senyehile
demolition	ho timetsoa
demon	bademona
demonic	bademona
demonstrable	e hlahelletseng
demonstrate	bonts'a maikutlo
demonstrated	e bontšitsoe
demonstrating	ho bontša
demonstration	pontšo
demonstrative	e bontšang pontšo
demonstrator	mohlala oa pontšo
demoralized	ho senyeha
demos	demos
demure	ho felloa ke matla
den	NO TRANSLATION
deniability	ho hana
denial	ho hana
denied	e hanne
denim	denim
denomination	bolumeli
denominational	a bolumeli
denominator	moemeli
denote	bolela
denounce	nyatsa
dense	e boima
density	bongata ba tsona
dent	teba
dental	meno
dentist	ngaka ea meno
dentistry	mafu a meno
dentists	lingaka tsa meno
denunciation	nyatso
deny	hana
denying	ho latola
deodorant	tse nyonyehang
depart	tloha
departed	o ile a tsamaea
department	lefapha
departmental	lefapha
departure	ho tloha
depend	itšetlehile
dependable	e ka tšeptjoang
dependant	ea itšetlehileng ka eona
dependence	ho itšetleha
dependency	ho itšetleha
dependent	ea itšetlehileng ka eona
depict	e bontša
depicting	e bontšang
depletion	ho senyeha
deplorable	e utloisang bohloko
deplore	nyenyefatsa
deploy	ntša
deployment	ho tsamaisoa
deport	ho leleka
deportation	ho lelekoa naheng
depose	khaola
deposit	ho kenya
depositary	ho ipolokela
deposition	tefiso
depository	depository
depot	depot
depraved	e silafetseng
depravity	boitšoaro bo hlephileng
depreciate	e fokotseha
depreciated	e theohile
depreciation	ho fokotseha
depress	tepella maikutlo
depressed	tepelletseng
depressing	ho nyahamisa
depression	ho tepella maikutlong
depressive	ho tepella maikutlo
depresson	NO TRANSLATION
deprivation	ho hloka
deprive	khaotsa
deprived	e lahliloe
depth	botebo
deputy	motsamaisi
derail	ho senya
deranged	ho ferekana
derelict	ho senyeha
derision	ho songoa
derivation	derivation
derivative	e nkiloeng
derive	e fumanoa
dermal	letlalo
dermatologist	dermatologist
dermatology	dermatology
derogation	ho nyatsuoa
derogatory	ho nyelisa
descend	theoha
descendant	descendant
descendent	NO TRANSLATION
descending	theoha
descent	tsoalo
describe	hlalosa
description	tlhaloso
descriptive	e hlalosang
desecrate	tsamaea
desecration	ho tsuba
desert	lehoatata
deserted	e lahliloe
deserter	ho senya
desertion	ho lahla
deserve	tšoaneloa
deserved	e tšoaneloa
deserving	ea tšoanelehang
design	moqapi
designate	khetha
designated	e khethiloeng
designation	lebitso
designed	e etselitsoeng
designer	moqapi
designing	ho theha
desirability	ho lakatsa
desirable	e lakatsehang
desire	takatso
desiring	ho lakatsa
desirous	lakatsa
desist	tlohela
desk	desk
desolate	lesupi
desolation	lesupi
despair	ho nyahama
despairing	ho nyahama
despatch	despatch
desperado	ho tsieleha
desperate	ho tsieleha
desperation	ho tsieleha
despicable	e nyonyehang
despise	nyelisa
despondent	ba nyahame
despotic	ho lahla
despotism	ho hloka toka
dessert	lijo tse tsoekere
destination	moo u eang teng
destined	e reriloeng
destiny	qetello
destitute	ho hloka thuso
destroy	felisa
destroyed	felisoa
destroyer	mohatelli
destroying	ho senya
destruct	ho timetsoa
destruction	timetso
destructive	tse senyang
detach	qoba
detached	e thibetsoe
detachment	detachement
detail	tlhahisoleseding
detailed	e qaqileng
details	lintlha
detain	thibela
detainee	ho koalloa
detect	hlokomela
detectable	e fumaneha
detection	ho lemoha
detective	mofuputsi
detector	detector
detention	ho koalloa
deter	thibela
detergent	thibela
deteriorate	ho senyeha
deteriorated	e senyehile
deteriorating	ho senyeha
deterioration	ho senyeha
determinable	e ikhethang
determinate	etsa qeto
determination	boikemisetso
determine	etsa qeto
determined	e ikemiselitse
deterrent	thibela
detest	e nyonya
detestation	lehloeo
detonate	hlakola
detonation	detonation
detonator	detonator
detour	taelo
detract	thibela
detriment	kotsi
detrimental	kotsi
detritus	detritus
deuce	deuce
deutschmark	deutschmark
devalued	e thehiloe
devastate	senyeha
devastated	e senyehileng
devastating	e senyang
devastation	ho senya
develop	ntshetsa pele
developer	moqapi
developing	nts'etsopele
development	nts'etsopele
deviant	e fapaneng
deviate	furalla
deviating	ho furalla
deviation	ho kheloha
device	sesebelisoa
devil	Diabolose
deviled	e khelohile
devilish	diabolose
devious	e le bolotsana
devise	nahana
devoid	ha ho joalo
devolution	ho fetoha
devolve	ikemisetse
devote	iketsetse
devoted	e inehetseng
devotee	e inehela
devotion	boinehelo
devotional	ho rapela
devour	ho timetsa
devout	ba inehetseng
dew	phoka
dexter	dexter
dexterity	ho felloa ke nako
dextrose	dextrose
diabetes	lefu la tsoekere
diabetic	lefu la tsoekere
diabolical	diabolical
diagnose	hlahloba
diagnosis	ho hlahlojoa
diagnostic	ho hlahloba
diagnostics	li-diagnostics
diagonal	diagonal
diagram	setšoantšo
dial	tsitsa
dialect	puo
dialectic	dialectic
dialogue	puisano
dialysis	dialysis
diameter	bophara
diamond	daemane
diamonds	litaemane
diaper	senepa
diaphragm	sefahleho
diarrhea	letšollo
diarrhoea	letšollo
diary	diary
diatribe	diatribe
dib	NO TRANSLATION
dibs	dibs
dice	dice
dicey	ho feta
dichotomous	e tsotehang
dichotomy	dichotomy
dick	dick
dickhead	dickhead
dicks	dicks
dictate	e laela
dictation	taelo
dictator	mohatelli
dictatorial	taolo
dictatorship	ho busa
diction	diction
dictionary	dikishinari
dictum	NO TRANSLATION
didactic	moruti
diddle	diddle
die	NO TRANSLATION
died	shoa
diesel	di-diesel
diet	lijo
dietary	lijo
differ	e fapane
difference	phapang
differences	phapang
different	fapaneng
differential	khethollo
differentiation	phapang
differently	ka tsela e fapaneng
differing	e fapane
difficult	ho thata
difficulties	mathata
difficulty	bothata
diffuse	e fapane
diffusion	ho fapana
dig	NO TRANSLATION
digest	khaola
digestion	ho tsuba
digestive	khaello ea lijo
digit	nomoro
digital	digital
dignified	e hlompheha
dignify	hlompha
dignity	seriti
digress	digress
digs	NO TRANSLATION
dike	dike
dilapidated	e senyehile
dilatation	ho nchafatsa
dilation	ho theola
dildo	dildo
dilemma	bothata
diligence	ka mafolofolo
diligent	ka mafolofolo
dill	dill
diluent	diluent
dilute	hlakola
diluted	e hlatsoitsoe
dilution	dilution
dim	dim
dime	dime
dimension	dimension
dimensional	mokokotlo
diminish	fokotsa
diminished	e fokotsehile
diminution	ho fokotseha
diminutive	ho fokotseha
dimwit	dimwit
din	NO TRANSLATION
dine	ja
diner	ja lijo
dinghy	ho etsa joalo
dingo	dingo
dingy	ho tsuba
dining	ho ja
dinky	dinky
dinner	lijo tsa mantsiboea
dinnertime	nako ea lijo tsa motšehare
dinosaur	dinosaur
dint	ema
diocesan	diocesan
diocese	diocese
diorama	diorama
dioxide	dioxide
dip	tsuba
diploma	diploma
diplomacy	dipuisano
diplomat	diplomate
diplomatic	diplomatiki
dipper	ho pata
dippy	dippy
dipstick	dipstick
dire	NO TRANSLATION
direct	e tobileng
directed	e laoloang
direction	tataiso
directive	taelo
directly	ka ho toba
director	motsamaisi
directory	sengoliloeng
dirt	litšila
dirty	litšila
disability	bokooa
disable	thiba
disabled	ba holofetse
disadvantage	ho se na thuso
disaffected	ha e nahane
disagree	ha ba lumellane
disagreeable	e sa amoheleheng
disagreeing	ha ba lumellane
disagreement	ho se lumellane
disallow	hanela
disallowed	e hanetsoe
disapointment	NO TRANSLATION
disappear	nyamela
disappearance	ho nyamela
disappearing	ho nyamela
disappoint	ho nyahama
disappointed	ferekane
disappointing	ho soabisa
disappointment	ho nyahama
disapproval	ho se amohelehe
disapprove	hana
disapproved	e sa amohelehe
disapproving	ho hana
disarm	senya
disarray	e fapane
disaster	tlokotsi
disastrous	tlokotsi
disband	khaotsa
disbelief	ho se lumele
disbelieve	le se ke la lumela
disburse	hlakola
disbursement	puseletso
disc	disc
discard	lahla
discarded	e lahliloe
discards	e lahla
discern	lemoha
discernible	ho lemoha
discerning	ho lemoha
discernment	temoho
discharge	hlakola
disciple	morutuoa
disciplinary	khalemelo
discipline	taeo
disciplined	a laea
disclaim	hana
disclaimer	ho hloka boikemelo
disclose	hlahisa
disclosed	e senotsoe
disclosure	ho senola
disco	disco
discoloration	ho fetoha ha lintho
discolored	ho khabisoa
discomfort	sa phutholoha
disconcerted	ho tsieleha
disconcerting	ho senya
disconnect	tlohela
disconnected	e hanngoe
disconnection	ho khaoloa
disconnects	ho khetholla
discontent	ho se khotsofale
discontinuance	ho khaotsa
discontinue	tlohela
discontinuity	ho khaotsa
discontinuous	e khaotse
discord	ho hloka kutloano
discount	thekolelo
discounted	theoleloa
discourage	nyahamisa
discouraged	ba nyahame
discouragement	ho nyahama
discouraging	ho nyahamisa
discourse	puo
discover	fumana
discovery	ho sibolla
discredit	ho nyenyefatsa
discredited	e amohelehileng
discreet	NO TRANSLATION
discrepancy	khethollo
discrete	e senyehileng
discretion	bohlale
discretionary	tsebong
discriminate	khetholla
discriminating	ho khetholla
discrimination	khethollo
discus	discus
discuss	buisana
discussion	puisano
disdain	nyelisa
disdainful	ho nyelisa
disease	maloetse
diseased	ho kula
disembodied	e koahetsoeng
disengage	qoba
disengagement	disengagement
disfigured	e senyehileng
disgrace	lihlong
disgraced	lihlong
disgraceful	lihlong
disgruntled	ho se tsotellehe
disguise	pata
disguised	e khabisitsoe
disgust	nyeliso
disgusted	ba nyelisehile
disgusting	e nyonyehang
dish	sejana
disheartened	ba nyahame
disheartening	ho nyahamisa
dishonest	ho se tšepahale
dishonesty	ho se tšepahale
dishonor	ho hlompholloa
dishonorable	ho hlompheha
dishwasher	mochini o hlatsoang lijana
disillusionment	ho nyahama
disinclination	ho tsieleha
disincline	ho nyenyefatsa
disinclined	e sa amohelehe
disinfect	hlakola likokoana-hloko
disinfectant	ho se hloekise likokoana-hloko
disinfection	ho se sireletsehe ha sesea
disinformation	ho se tsebe
disingenuous	ba hlokomolohe
disintegrate	fapana
disintegration	ho arohana
disinterested	ba sa thahaselle
disjoint	molekane
disjointed	ha ba kopane
disjunctive	ho ikemela
disk	disk
diskette	diskette
dislike	ha ba rate
disliked	ha a rate
disliking	ho senya
dislocated	ba senyehile
dislocation	dislocation
dislodge	tlohela
disloyal	ho se tšepahale
disloyalty	ho se tšepahale
dismal	e sithabetse
dismantle	hlakola
dismay	ho tsieleha
dismayed	tšohile
dismemberment	khethollo
dismiss	tlosa
dismissal	ho lelekoa
dismissive	ho nyelisa
dismount	dismount
disobedience	ho se mamele
disobedient	ba sa mameleng
disobey	ho se mamele
disorder	boloetse
disordered	e ferekane
disorderly	e sa laoleheng
disorganized	ho hlophiseha
disorientation	ho senya
disoriented	ferekane
disown	hana
disparage	ho senyeha
disparaging	ho senya
disparate	e fapane
disparity	ho se tšoane
dispassionate	ho hloka kutloelo-bohloko
dispatch	ho romela
dispatcher	dispatcher
dispel	hlakola
dispensary	kemiso
dispensation	nako
dispense	arola
dispenser	dispenser
dispersal	ho qhalakanya
disperse	hasanya
dispersed	ba qhalakane
dispersion	ho hasana
dispirited	e fapane
displace	tlohella
displaced	ba balehileng mahaeng
displacement	ho falla
displacency	ho tlohela maemo
display	bonts'a
displease	sa thabise
displeased	ha a thabe
displeasure	ho se thabise
disposable	e laoloang
disposal	e lahlehetsoe
dispose	lahla
disposed	e laoloang
disposition	boikutlo ba bona
dispossessed	ho lelekoa
disprove	hanyetsa
dispute	phehisano
disqualification	ho se amohelehe
disqualified	ba sa tšoanelehe
disqualify	ho se amohelehe
disquieted	ho khathatseha
disregard	hlokomoloha
disregarded	ho hlokomolohuoa
disrelish	ho nyenyefatsa
disreputable	e sa tsejoeng
disrepute	nyatsa
disrespect	ho hloka tlhompho
disrespectful	ho hloka tlhompho
disrupt	ferekanya
disrupting	ho senya
disruption	ho senya
disruptive	ho sitisa
dissatisfaction	ho se khotsofale
dissatisfied	ha a khotsofale
dissect	senya
dissection	dissection
disseminate	ho phatlalatsa
dissemination	ho hasa
dissension	ho hloka kutloano
dissent	ho hanyetsa
dissenting	ho hanyetsa
dissertation	phaliso
disservice	hanela
dissident	ba hanyetsane
dissimilar	e fapane
dissipate	hlakola
dissipated	ba fokolloa
dissociation	ho arohana
dissociative	dissociative
dissolution	ho qhibiliha
dissolve	qhibiliha
dissonance	dissonance
dissuade	thibela
distal	hole
distance	sebaka
distant	hole
distaste	khethollo
distasteful	e sa tsotelleng
distillate	distillate
distillation	distillation
distilled	e silafalitsoe
distinct	e fapaneng
distinction	khethollo
distinctive	e ikhethang
distinguish	khetholla
distinguishable	ho khetholla
distinguished	tse khethollang
distinguishing	ho khetholla
distort	ho sotha
distorted	e sothehileng
distortion	phetolo
distract	senya
distracted	e sitisoe
distracting	ho sitisa
distraction	tšitiso
distraught	a sithabetse
distress	mahlomola
distressed	ba sithabetse
distressing	e sithabetsang
distribute	abela
distribution	ho abeloa
distributor	mohoeletsi
district	setereke
distrust	ho se tšepane
disturb	khathatsa
disturbance	khathatso
disturbed	khathatsoa
disturbing	e tšoenyang
disuse	se sebelise
disused	ha e sebelisoe
ditch	lerako
ditto	ditto
ditty	ditty
diurnal	diurnal
diva	diva
divan	NO TRANSLATION
dive	senya
diver	diver
diverge	fapana
divergence	ho fapana
divergent	ho fapana
diverging	ho fapana
divers	mefuta-futa
diverse	tse sa tšoaneng
diversified	tse fapaneng
diversify	ho fapana
diversion	ho fetoha
diversionary	ho fetoloa
diversity	ho fapana
divert	fetola
diverting	ho khelosa
divest	ho arohana
divested	e arohane
divestment	ho arohana
divide	arola
divided	arotsoe
dividend	phaello
divination	bonohe
divine	Molimo
divinity	bomolimo
divisible	ho se nahane
division	ho arohana
divisor	moeletsi
divorce	tlhalo
divorcee	tlhalo
divulge	hlakola
divvy	divvy
dizziness	botsoa
dizzy	e tsitsitseng
do	etsa joalo
doable	ho khoneha
doc	doc
docile	ho etsa joalo
dock	tekete
docked	e koahetsoe
docket	docket
docking	ho etsa joalo
doctor	ngaka
doctorate	doctorate
doctrinal	lithuto
doctrine	thuto
document	Tokomane
documentary	documentary
documentation	litokomane
documents	litokomane
dodge	khaotsa
dodger	dodger
dodging	ho kopa
dodgy	dodgy
dodo	dodo
doe	doe
doer	moetsi
dog	ntja
dogface	botumo
dogged	e kentse letsoho
doggy	litsebi
doghouse	ntlo ea ntlo
dogma	lithuto
dogmatic	ho tsitlella
dogsick	NO TRANSLATION
doings	liketso
doit	NO TRANSLATION
dojo	dojo
doldrums	likotlolo
dole	dole
doll	popi
dollar	dollar
dollhouse	mokotla
dolor	NO TRANSLATION
dolphin	dolphin
domain	domain
dome	dome
domestic	malapeng
domesticated	ho khabisoa
domestication	ho rua malapa
domicile	domicile
domiciled	domiciled
dominance	puso
dominant	e laolang
dominate	laola
dominating	ho laola
domination	taolo
dominatrix	puso
dominion	puso
domino	domino
don	fana ka
donate	fana ka letsoho
donation	monehelo
donkey	esele
donor	mofani
dontlikeyou	NO TRANSLATION
dontmess	NO TRANSLATION
dontmesswithme	dontmesswithme
dontpanic	dontpanic
dontunderstand	NO TRANSLATION
doodle	toodle
doom	kotlo
doomed	ho timetsoa
doomsday	doomsday
door	monyako
doorbell	doorbell
doorknob	setloholo sa likoloto
doorman	doorman
doormat	doormat
doornail	doornail
doorstep	hannah
doorway	monyako oa ntlo
dopamine	dopamine
dope	dope
dopey	dopey
dork	dork
dorky	dorky
dorm	dorm
dormant	e senyehile
dormitory	dormitory
dorsal	ho senya
dosage	tekanyo
dose	dose
dossier	tlaleho
dot	dot
doting	ho tlōla
dotted	e nang le mabitso
dotty	dotty
double	tse peli
doubled	e imenne habeli
doublet	doublet
doubling	ho kopanya habeli
doubt	ho belaela
doubtful	ho belaella
doubting	ho belaela
doubtless	ha ho pelaelo hore
doubts	lipelaelo
douche	shower
douchebags	li-douchebags
dough	hlama
doughboy	hlama
doughnut	lekoenya le nang le lesoba
dour	ho ja
douse	tsuba
dove	leeba
down	fatše
downcast	tlaase
downer	ho fokotseha
downfall	ho oa
downfield	fatše
downhearted	ba nyahame
downhill	ho theola
download	download
downpour	pula ea litloebelele
downright	ho nepahetse
downriver	ho theosa le tlase
downside	fatše
downtime	nako ea ho theoha
downward	ka tlaase
downy	fatše
dowry	dowry
doze	doze
dozen	tse 12
drab	drab
draft	ho ngola
drafty	letlalo
drag	hula
dragon	dragon
dragonfly	dragonfly
drain	khaotsa
drainage	metsi
drained	e tšolotsoe
draining	ho kha metsi
drainpipe	drainpipe
drake	drake
drama	drama
dramaqueen	NO TRANSLATION
dramatic	e tsotehang
drape	drape
drapery	ho tsuba
drastic	e matla haholo
drat	NO TRANSLATION
draught	ho ngola
draw	atamela
drawback	tšitiso
drawbridge	sethara sa lithaba
drawer	drawer
drawers	barata
drawing	ho hula
dread	tšabo
dreaded	e tšohile
dreadful	e tšabehang
dreadfully	ka tšabo
dreading	ho tšoha
dream	toro
dreamboat	dreamboat
dreamer	ea lorang
dreaming	ho lora
dreamland	dreamland
dreams	litoro
dreamt	a lora
dreamy	dreamy
dreary	dreary
dredge	ho senya
drenched	e tebile
dress	apara
dresser	moaparo oa liaparo
dressmaker	moaparo
dressy	apara
dribble	NO TRANSLATION
dried	omisitsoe
drier	e tsitsitseng
drift	ho kheloha
drifted	e khelohile
drifter	ts'oaea
driftwood	driftwood
drill	ho betla
drink	seno
drinker	ea noang
drinking	ho noa
drinks	seno
drip	ho kheloha
dripping	ho khaotsa
drive	khanna
drivel	mochini oa koloi
driver	mokhanni
driveway	tsela ea likoloi
drizzle	e boreleli
droll	marotholi
drone	drone
drones	drones
drool	drool
drooping	drooping
droopy	droopy
drop	theohela
droplet	droplet
dropout	o tlohetse
dropper	mosi
drought	komello
drove	NO TRANSLATION
drown	e khangoe ke metsi
drowsiness	ho otsela
drowsy	ho otsela
drudgery	ho tsuba
drug	lithethefatsi
drug dealing	lithethefatsi
drugged	lithethefatsi
druggist	sithethefatsi
drugs	lithethefatsi
drugstore	lithethefatsi tsa lithethefatsi
druid	druid
drum	drum
drummer	drummer
drumming	drumming
drunk	tahiloe
drunk driving	ho khanna e tahiloeng
drunkard	letahoa
drunken	tahiloe
drunkenness	botahoa
dry	e omme
dryer	omisi
dryness	ho omella
dual	tse peli
dualism	ho hloka botsitso
duality	bobeli
dub	dub
dubious	e belaetsang
duchess	mochine o monyenyane
duck	letata
ducking	ducking
duckling	duckling
ducky	ducky
duct	seporo
ductile	ductile
dud	dud
dude	ho feta
duds	duds
due	e loketseng
duel	duel
dues	litlhōlisano
duet	lipuo tse peli
duffel	duffel
dugout	ho cheka
duh	duh
duke	mofumahali
dull	e nyenyane
dullard	ho senyeha
dumb	semumu
dumbasses	matšoafo
dumbbell	dumbbell
dumbbitch	NO TRANSLATION
dumfound	ho fokotseha
dumfounder	NO TRANSLATION
dummy	dummy
dump	ho lahla
dumpling	dumpling
dumps	ho qhalana
dumpster	mokokotlo
dun	dun
dunce	dunce
dune	dune
dung	NO TRANSLATION
dungeon	chankana
dunk	dunk
duo	bobeli
dupe	ho betoa
duplex	duplex
duplicate	phetolelo
duplication	ho pheta-pheta
duplicity	ho pheta-pheta
durability	botsitso
durable	e tšoarellang
duration	nako
duress	khathatseha
dusk	shoalane
dusky	dusky
dust	lerōle
duster	shoalane
dustpan	seretse
dusty	lerōle
dutiful	e na le mekhoa e metle
duty	mosebetsi
dwarf	e nyenyane
dwarfed	e nyenyane
