Word	haw
demoralized	ia
demos	nā hāmeʻa
demure	hōʻike
den	NO TRANSLATION
deniability	ka hōʻole
denial	hōʻole
denied	hoole
denim	denim
denomination	inoa
denominational	hoʻoponopono
denominator	mahele
denote	hōʻike
denounce	hōʻole
dense	nui
density	nui
dent	ka lolo
dental	niho
dentist	ka mea lapaʻau
dentistry	ke kauka
dentists	lapaʻau
denunciation	ka hō'āhewa
deny	e hōʻole
denying	e hoole ana
deodorant	deodorant
depart	haalele
departed	hele
department	Oihana
departmental	oihana
departure	haʻalele
depend	e hilinaʻi
dependable	mahaloʻia
dependant	kūlana
dependence	ke kāohi
dependency	ka hilinaʻi
dependent	kūlana
depict	e hōʻike ana
depicting	hōʻike
depletion	hoʻopau
deplorable	nā meaʻino
deplore	kūlana
deploy	hoʻolālā
deployment	hoʻolālā
deport	lawe
deportation	laweʻia
depose	wehe
deposit	hoʻoponopono
depositary	ka pūnaewele
deposition	ka waihoʻana
depository	kāpena waihona
depot	wahi pani
depraved	pōʻino
depravity	hewa
depreciate	hōʻinoʻole
depreciated	hoʻopauʻia
depreciation	ka hōʻiliʻili
depress	pōʻino
depressed	ua kaumaha
depressing	ke kaumaha
depression	pilikia
depressive	ke kaumaha
depresson	NO TRANSLATION
deprivation	nele
deprive	e hoʻonele
deprived	nele
depth	hohonu
deputy	ka hope
derail	hoʻopau
deranged	hoʻokuʻu
derelict	i kākauʻia
derision	ka hoʻohenehene
derivation	ka hopena
derivative	nā mea hoʻohenehene
derive	loaʻa
dermal	dermal
dermatologist	ka mea dermatologist
dermatology	dermatology
derogation	kūkā
derogatory	haʻalulu
descend	e iho i lalo
descendant	mamo
descendent	NO TRANSLATION
descending	iho iho
descent	hāʻule
describe	wehewehe
description	hōʻike
descriptive	ʻikeʻia
desecrate	hoʻopailua
desecration	hewa
desert	waonahele
deserted	ua haʻalele
deserter	haʻalele
desertion	haʻalele
deserve	pono
deserved	pono
deserving	pono
design	hoahoa
designate	e koho
designated	kohoʻia
designation	koho inoa
designed	hana
designer	mea hoʻolālā
designing	hoʻoponopono
desirability	makemake
desirable	makemakeʻia
desire	makemake
desiring	makemake
desirous	makemake
desist	haʻalele
desk	keke
desolate	neoneo
desolation	neoneo
despair	pōʻino
despairing	despairing
despatch	hoʻokuʻu
desperado	desperado
desperate	makemake
desperation	kūlanalana
despicable	hoʻopailua
despise	hoʻowahāwahā
despondent	ka mea kanalua
despotic	hauʻoli
despotism	ka manaʻo hoʻohālike
dessert	hoaʻai
destination	hopena
destined	e hoʻopaʻiʻia
destiny	Ka hopena
destitute	nele
destroy	e luku
destroyed	ua wāwahiʻia
destroyer	ka mea luku
destroying	e luku ana
destruct	luku
destruction	ʻo ka luku
destructive	e luku ana
detach	e hoʻokaʻawale
detached	kaohi
detachment	ke kāohi
detail	hōʻike
detailed	hōʻike
details	nā kiko'ī
detain	paʻa
detainee	ka mea hoʻopaʻa
detect	ʻike
detectable	ʻikeʻia
detection	ʻike
detective	lunaʻike
detector	ʻike
detention	ka paʻa
deter	make
detergent	ka mea maʻa
deteriorate	hele
deteriorated	ua paʻakikī
deteriorating	piʻi
deterioration	ka hopena
determinable	ʻikeʻia
determinate	wehewehe
determination	manaʻo paʻa
determine	hoʻoholo
determined	i hoʻoholo
deterrent	pale
detest	hoʻopailua
detestation	hoʻopiʻi
detonate	wehe
detonation	hoʻopunipuni
detonator	wehewehe
detour	wehe
detract	hoʻopau
detriment	pilikia
detrimental	maikaʻi
detritus	hoʻoponopono
deuce	hoʻopau
deutschmark	deutschmark
devalued	ua hoʻolālāʻia
devastate	e wāwahiʻia
devastated	ua pōʻino
devastating	nā pōʻino
devastation	ka pōʻino
develop	e ulu
developer	developer
developing	e ulu ana
development	hoʻoponopono
deviant	e kuhi
deviate	e hoʻololi
deviating	e haʻalele ana
deviation	ka hoʻololi
device	polokalamu
devil	diabolo
deviled	hoʻopauʻia
devilish	diabolo
devious	kuhihewa
devise	Hua'ōlelo
devoid	ʻaʻole
devolution	e hoʻololi
devolve	kūpono
devote	e hāʻawi
devoted	kūleʻa
devotee	aloha
devotion	hoʻomana
devotional	pule
devour	eʻai
devout	haipule
dew	hau
dexter	dexter
dexterity	dexterity
dextrose	dextrose
diabetes	maʻi diabet
diabetic	maʻi diabetic
diabolical	diabolical
diagnose	ke diagnost
diagnosis	ʻike hōʻoia
diagnostic	ʻike diagnost
diagnostics	nā diagnostics
diagonal	ka diagonal
diagram	ke kiʻi
dial	kaomi
dialect	kelepona
dialectic	dialectic
dialogue	ke kūkā
dialysis	ka dialysis
diameter	ka wela
diamond	ka diamond
diamonds	nā pōhaku
diaper	ka diaper
diaphragm	ka diaphragm
diarrhea	ka wele
diarrhoea	ka wele
diary	diary
diatribe	diatribe
dib	NO TRANSLATION
dibs	nā lālā
dice	ʻOi
dicey	dicey
dichotomous	dichotomous
dichotomy	ʻO ka dichotomy
dick	dick
dickhead	dickhead
dicks	nā dicks
dictate	e kuhikuhi
dictation	palapala
dictator	ka mea kaua
dictatorial	ke kākā'ōlelo
dictatorship	ka hoʻomalu aupuni
diction	'ōlelo wehewehe
dictionary	puke wehewehe
dictum	NO TRANSLATION
didactic	ke kūkā
diddle	ka pale keiki
die	NO TRANSLATION
died	ua make
diesel	diesel
diet	ʻai
dietary	nā meaʻai
differ	ʻokoʻa
difference	ʻokoʻa
differences	nāʻokoʻa
different	ʻokoʻa
differential	kaʻokoʻa
differentiation	kaʻokoʻa
differently	ʻanoʻokoʻa
differing	ʻanoʻokoʻa
difficult	pilikia
difficulties	nā pilikia
difficulty	pilikia
diffuse	e hele
diffusion	ka hoʻolaha
dig	NO TRANSLATION
digest	hoʻopuka
digestion	'ōpīpī
digestive	hoʻopunipuni
digit	helu
digital	polokalamu
dignified	hanohano
dignify	hanohano
dignity	ka hanohano
digress	hoʻopau
digs	NO TRANSLATION
dike	koa
dilapidated	i hoʻopiliʻia
dilatation	ka weheʻana
dilation	ka hopena
dildo	dildo
dilemma	pilikia
diligence	ikaika
diligent	ikaika
dill	ka pahu
diluent	e hoʻonā
dilute	e hoʻoholo
diluted	ua hoʻonāʻia
dilution	ka pale
dim	pō
dime	dime
dimension	ka nui
dimensional	nui
diminish	e emi iho
diminished	ua emi iho
diminution	ka ho'ēmi
diminutive	ka liʻiliʻi
dimwit	uaʻike
din	NO TRANSLATION
dine	ʻai
diner	kaʻaina
dinghy	ʻOi
dingo	ʻO dingo
dingy	ʻOi
dining	eʻai ana
dinky	dinky
dinner	kaʻaina
dinnertime	kaʻaina ahiahi
dinosaur	dinosaur
dint	dint
diocesan	diocesan
diocese	diocese
diorama	diorama
dioxide	dioxide
dip	kau
diploma	ka diploma
diplomacy	ka diplomacy
diplomat	ka diploma
diplomatic	ke aupuni
dipper	hoʻopili
dippy	make
dipstick	ke kākoʻo
dire	NO TRANSLATION
direct	pololei
directed	i kuhikuhiʻia
direction	kuhikuhi
directive	ka leka
directly	pololei
director	ka luna
directory	papa kuhikuhi
dirt	lepo
dirty	he lepo
disability	ke kīnā
disable	hoʻopau
disabled	pilikia
disadvantage	pilikia
disaffected	pilikia
disagree	ʻaʻohe like
disagreeable	ʻaʻole kūpono
disagreeing	kūkāʻole
disagreement	ke kūkākūkā
disallow	hōʻole
disallowed	hōʻoleʻia
disapointment	NO TRANSLATION
disappear	nālowale
disappearance	nālowale
disappearing	ua hala
disappoint	pilikia
disappointed	pōʻino
disappointing	pilikia
disappointment	hōʻino
disapproval	hōʻole
disapprove	hōʻole
disapproved	hōʻoleʻia
disapproving	hōʻoleʻole
disarm	hōʻole
disarray	hōʻole
disaster	ka pōʻino
disastrous	pilikia
disband	hoʻokaʻawale
disbelief	ka hoʻomaloka
disbelieve	hōʻole
disburse	hoʻokuʻu
disbursement	hoʻokaʻa kālā
disc	'ōpae
discard	hoʻolei
discarded	ua hoʻokuʻuʻia
discards	nā wehewehe
discern	ʻike
discernible	ʻikeʻia
discerning	ʻike
discernment	ʻike
discharge	ka hoʻokuʻu
disciple	haumana
disciplinary	hoʻoponopono
discipline	aʻo
disciplined	hoʻoponopono
disclaim	wehewehe
disclaimer	ka hōʻole
disclose	hōʻike
disclosed	hōʻikeʻia
disclosure	ʻike
disco	ʻike
discoloration	ʻike wehewehe
discolored	ʻikeʻia
discomfort	pilikia
disconcerted	wehewehe
disconcerting	wehewehe
disconnect	e wehe
disconnected	weheʻia
disconnection	kahi hoʻokuʻu
disconnects	hoʻokaʻawale
discontent	kūleʻa
discontinuance	e hoʻokuʻu
discontinue	oki
discontinuity	kūmau
discontinuous	pauʻole
discord	ke kū'ē
discount	kapeke
discounted	ʻoluʻolu
discourage	e hoʻohaʻahaʻa
discouraged	ua hōʻeha
discouragement	ke kaumaha
discouraging	e hoʻonāwaliwali
discourse	aʻo
discover	ʻike
discovery	ʻike
discredit	e hōʻole
discredited	ua hōʻinoʻia
discreet	NO TRANSLATION
discrepancy	ke kū'ē
discrete	ʻike
discretion	ʻike
discretionary	ʻikeʻia
discriminate	ka hoʻokae
discriminating	ka hoʻokae
discrimination	hoʻokae
discus	ke kumu
discuss	e kūkā
discussion	kūkā
disdain	hoʻowahāwahā
disdainful	hoʻowahāwahā
disease	maʻi
diseased	maʻi
disembodied	hoʻokuʻuʻia
disengage	hoʻohemo
disengagement	hoʻokuʻu
disfigured	hōʻole
disgrace	hilahila
disgraced	hōʻinoʻia
disgraceful	hilahila
disgruntled	hoʻopiʻi
disguise	hoʻopau
disguised	hoʻopauʻia
disgust	hoʻowahāwahā
disgusted	hoʻowahāwahā
disgusting	hoʻowahāwahā
dish	ipu
disheartened	ʻehaʻeha
disheartening	e kaumaha
dishonest	halaʻole
dishonesty	halaʻole
dishonor	hōʻinoʻia
dishonorable	hōʻole
dishwasher	ka mea holoi
disillusionment	ka hōʻeha
disinclination	ke kū'ēʻole
disincline	hōʻole
disinclined	hōʻole
disinfect	hale hōʻoki
disinfectant	ka mea hoʻokele
disinfection	ia hoʻokaʻawale
disinformation	ka wehewehe
disingenuous	ʻikeʻole
disintegrate	hoʻokaʻawaleʻia
disintegration	nā wāwahi
disinterested	makeʻole
disjoint	hoʻohui
disjointed	hoʻohui
disjunctive	ʻikeʻole
disk	kōpae
diskette	kōpae
dislike	makemakeʻole
disliked	makemakeʻole
disliking	makemakeʻole
dislocated	hemo
dislocation	wehewehe
dislodge	wehewehe
disloyal	hōʻoleʻole
disloyalty	ka hōʻole
dismal	pilikia
dismantle	e hoʻopau
dismay	hāhā
dismayed	ua makaʻu
dismemberment	kaʻawale
dismiss	hoʻokuʻu
dismissal	hoʻokuʻu
dismissive	hoʻokuʻu
dismount	nā hāhā
disobedience	ka hoʻoloheʻole
disobedient	hoʻoloheʻole
disobey	ʻo ke kipi
disorder	maʻi
disordered	pilikia
disorderly	haunaele
disorganized	hoʻopauʻia
disorientation	ka disorientation
disoriented	wehewehe
disown	hōʻole
disparage	disparage
disparaging	hoʻopau
disparate	hoʻokaʻawale
disparity	ka hala
dispassionate	ke hele wale
dispatch	hoʻouna
dispatcher	ka mea hoʻouna
dispel	haʻalele
dispensary	ke kikowaena
dispensation	ka manawa
dispense	hoʻokuʻu
dispenser	hāʻawi
dispersal	ka hoʻopuehu
disperse	hoʻolaha
dispersed	ua hoʻoʻauheʻeʻia
dispersion	ka hoʻopau
dispirited	ua hala
displace	hoʻokuʻu
displaced	ua haʻaleleʻia
displacement	ka haʻalele
displacency	ka pilikia
display	hōʻike
displease	hewa
displeased	ʻoluʻoluʻole
displeasure	hōʻoluʻolu
disposable	make
disposal	make
dispose	waiho
disposed	makemake
disposition	ka manaʻo
dispossessed	Ua hoʻokuʻuʻia
disprove	wehewehe
dispute	hihia
disqualification	ka hōʻole
disqualified	hōʻoleʻia
disqualify	kūponoʻole
disquieted	pilikia
disregard	mālamaʻole
disregarded	hōʻoleʻole
disrelish	wehewehe
disreputable	ʻaʻohe kūlana
disrepute	hōʻinoʻia
disrespect	hōʻole
disrespectful	hōʻole
disrupt	hoʻopau
disrupting	e uhaʻi
disruption	haunaele
disruptive	haunaele
dissatisfaction	hōʻehaʻeha
dissatisfied	hōʻoluʻoluʻole
dissect	hoʻolaha
dissection	wehewehe
disseminate	hoʻolaha
dissemination	ka hoʻolaha
dissension	ke ku e
dissent	ua kū'ē
dissenting	ke kū'ē
dissertation	ka hoʻopuka
disservice	ka pani
dissident	ke kuā
dissimilar	ʻano likeʻole
dissipate	make
dissipated	ua pale
dissociation	ka hoʻokaʻawale
dissociative	pilikia
dissolution	make
dissolve	make
dissonance	dissonance
dissuade	hōʻole
distal	pilikia
distance	mamao
distant	mamao
distaste	hoʻopiʻi
distasteful	haʻalulu
distillate	e hoʻopili
distillation	ka hoʻopunipuni
distilled	hoʻopauʻia
distinct	ʻokoʻa
distinction	ʻike
distinctive	kūlana
distinguish	e hoʻomaopopo
distinguishable	ʻikeʻokoʻa
distinguished	kaulana
distinguishing	ʻikeʻokoʻa
distort	hoʻopunipuni
distorted	hoʻopunipuniʻia
distortion	ka haunaele
distract	hoʻopilikia
distracted	pilikia
distracting	e hoʻopilikia ana
distraction	pilikia
distraught	pilikia
distress	pilikia
distressed	pilikia
distressing	pilikia
distribute	e hāʻawi
distribution	ka hāʻawi
distributor	ka mea hāʻawi
district	ka apana
distrust	hilinaʻi
disturb	hoʻoluhi
disturbance	haunaele
disturbed	pilikia
disturbing	hoʻopilikia
disuse	wehe
disused	hoʻopauʻia
ditch	wahi
ditto	wahi
ditty	ʻoiaʻiʻo
diurnal	diurnal
diva	diva
divan	NO TRANSLATION
dive	e luʻu
diver	hoʻopau
diverge	e hoʻololi
divergence	ke kūlike
divergent	ʻanoʻokoʻa
diverging	e hoʻololi ana
divers	ʻokoʻa
diverse	ʻokoʻa
diversified	e hoʻonui ana
diversify	e hoʻololi
diversion	pio
diversionary	ia
diversity	kaʻokoʻa
divert	hele
diverting	e hoʻololi ana
divest	pakele
divested	pakele
divestment	ke kīʻaha
divide	e māhele
divided	ua māheleʻia
dividend	mahele
divination	kilokilo
divine	ke akua
divinity	kapu akua
divisible	wehewehe
division	mahele
divisor	māhele
divorce	hemo
divorcee	ka hemo
divulge	haʻi
divvy	mahele
dizziness	nā kauā
dizzy	nui
do	hana
doable	hiki
doc	doc
docile	ke kuʻi
dock	kāpae
docked	hanaʻia
docket	hana
docking	mālama
doctor	Kauka
doctorate	doctorate
doctrinal	kumu aʻo
doctrine	ke aʻo
document	palapala
documentary	palapala hōʻike
documentation	nā palapala
documents	palapala
dodge	hoʻoholo
dodger	ʻo dodger
dodging	kāleka
dodgy	ke kauka
dodo	dodo
doe	hana
doer	hana
dog	ka'īlio
dogface	makūpō
dogged	ua kuʻi
doggy	ka'īlio
doghouse	ka hale
dogma	ke kuhi
dogmatic	ke kūkā
dogsick	NO TRANSLATION
doings	hana
doit	NO TRANSLATION
dojo	hana
doldrums	pumehana
dole	pono
doll	puolo
dollar	ke dala
dollhouse	hale pani
dolor	NO TRANSLATION
dolphin	dolphin
domain	kahua
dome	pulu
domestic	home
domesticated	hoʻoponoponoʻia
domestication	homework
domicile	home
domiciled	noho aupuni
dominance	ka mana
dominant	ke poʻokela
dominate	ke aliʻi
dominating	ke hoʻomalu nei
domination	ka mana
dominatrix	ke kumuhana
dominion	ka mana
domino	domino
don	no
donate	hāʻawi
donation	makana
donkey	ka hoki
donor	ka mea hāʻawi
dontlikeyou	NO TRANSLATION
dontmess	NO TRANSLATION
dontmesswithme	hihihihihihihihi
dontpanic	'ouanapanic
dontunderstand	NO TRANSLATION
doodle	hana doodle
doom	e hoʻopaʻi
doomed	e hoʻopaʻi
doomsday	halaʻole
door	puka
doorbell	puka puka
doorknob	kekena
doorman	doorman
doormat	hana
doornail	ke awakea
doorstep	puka
doorway	puka puka
dopamine	dopamine
dope	dope
dopey	dopey
dork	dork
dorky	'Oke
dorm	hoʻomaha
dormant	e moe
dormitory	hale noho
dorsal	kūlana
dosage	ʻike
dose	ka hopena
dossier	pūnaewele
dot	i ke kiko
doting	ia
dotted	hoʻokumu
dotty	ke kiko
double	e palua
doubled	ua pāpālua
doublet	e pāpālua
doubling	kānalua
doubt	kānalua
doubtful	kānalua
doubting	kānalua
doubtless	ʻAʻohe mea
doubts	kānalua
douche	douche
douchebags	douchebags
dough	ka paila
doughboy	keiki hānai
doughnut	ia
dour	ka'ō
douse	hana
dove	ka manu nūnū
down	iho
downcast	hāʻule
downer	iho
downfall	hāʻule
downfield	iho
downhearted	haʻahaʻa
downhill	haʻahaʻa
download	LIKE LIKE LIKE
downpour	kahe
downright	ke kuhi
downriver	iho haʻahaʻa
downside	i lalo
downtime	manawa wāwae
downward	iho i lalo
downy	iho
dowry	ka uku
doze	e hana
dozen	he kanalima
drab	hoʻoponopono
draft	palapala
drafty	nui
drag	kau
dragon	ka dragon
dragonfly	ka dragonfly
drain	kahe
drainage	ka māmā
drained	ua hoʻokuʻu
draining	e hoʻoulu
drainpipe	ka drainpipe
drake	drake
drama	ka pāʻani
dramaqueen	NO TRANSLATION
dramatic	hōʻikeʻike
drape	ʻo ka drape
drapery	pāʻani
drastic	nui
drat	NO TRANSLATION
draught	palapala
draw	huki
drawback	ka uku huki
drawbridge	e huki i ke alahaka huki
drawer	ka pakuhi
drawers	mea huki
drawing	kiʻi
dread	hopohopo
dreaded	hopohopo
dreadful	weliweli
dreadfully	weliweli
dreading	weliweli
dream	moeʻuhane
dreamboat	moe moe
dreamer	moe moe
dreaming	moeʻuhane
dreamland	moe moe
dreams	nā moe
dreamt	moeʻuhane
dreamy	dreamy
dreary	ana
dredge	hele
drenched	pupuhi
dress	ʻaʻahu
dresser	kahu pā
dressmaker	kahu lole
dressy	ʻaʻahu
dribble	NO TRANSLATION
dried	maloʻo
drier	hoʻopuka
drift	hoʻopiʻi
drifted	hoʻopau
drifter	hoʻopiʻi
driftwood	nā driftwood
drill	pila
drink	inu
drinker	mea inu
drinking	inu
drinks	mea inu
drip	pupule
dripping	kahe
drive	kāpena
drivel	drivel
driver	polokalamu kaʻa
driveway	ka holo
drizzle	ka makani
droll	kele
drone	ʻo ia
drones	drones
drool	iho
drooping	hāʻule
droopy	hāʻule
drop	iho
droplet	kūmā
dropout	haʻalele holoʻokoʻa i ke kula
dropper	ka lolo
drought	lālā
drove	NO TRANSLATION
drown	make
drowsiness	hiamoe
drowsy	hiamoe
drudgery	hana hoʻolālā
drug	ke lāʻau lapaʻau
drug dealing	ke kālai lāʻau
drugged	'ōlelo hōʻailona
druggist	hoao laau
drugs	nā lāʻau lapaʻau
drugstore	ke kumukūʻai
druid	druid
drum	ka pahu
drummer	paila
drumming	e puhi
drunk	ʻona
drunk driving	mea inu inu
drunkard	ka meaʻona
drunken	Inu
drunkenness	i ka ona
dry	maloʻo
dryer	ka mea maloʻo
dryness	maloʻo
dual	elua
dualism	lua
duality	lua
dub	ku
dubious	makamae
duchess	kele
duck	ke kēpau
ducking	kūleʻa
duckling	ka waiū
ducky	leʻaleʻa
duct	ole
ductile	laula
dud	dud
dude	ka wahine
duds	duds
due	ke kumu
duel	duel
dues	nā lei
duet	Duet
duffel	duffel
dugout	dugout
duh	duh
duke	duke
dull	kūmūmū
dullard	Kani
dumb	ʻaʻohe leo
dumbasses	dumbasses
dumbbell	dumbbell
dumbbitch	NO TRANSLATION
dumfound	ka hoʻopili
dumfounder	NO TRANSLATION
dummy	paukū
dump	waiho
dumpling	ka hoʻonui
dumps	pau
dumpster	dumpster
dun	aloha
dunce	ʻoliʻoli
dune	lā
dung	NO TRANSLATION
dungeon	hale paʻahao
dunk	dunk
duo	duo
dupe	lawai
duplex	Hoʻololi
duplicate	lua
duplication	e hana hou
duplicity	kūlike
durability	ka lōʻihi
durable	manawa lōʻihi
duration	lōʻihi
duress	ke aliʻi
dusk	pulu
dusky	pī
dust	lepo
duster	pā
dustpan	ka lepo
dusty	lepo
dutiful	ma keʻano
duty	kuleana
dwarf	i
dwarfed	Pākī
dweeb	dweeb
dwell	noho
dweller	ka mea kūʻai
dwelling	noho
dye	make
dying	make
dyke	dyke
dynamic	ikaika
dynamical	ikaika
dynamics	nā hanana
dynamite	ʻo dynamite
dynamo	dynamo
dynasty	nā mō'ī
dysentery	ka maʻiʻona
dysfunction	kūleʻa
dysfunctional	ke kūlike
dyspepsia	dyspepsia
eager	makemake
eagerness	makemake
eagle	eagle
ear	pepeiao
earful	lohe
earl	i
earlier	mamua
early	i ke kakahiaka
earn	loaʻa
earnest	ʻoiaʻiʻo
earnestly	ʻoiaʻiʻo
earnestness	ʻo ka ikaika
earnings	loaʻa nā uku
earpiece	pepeiao pepeiao
earring	i nā pepeiao
earrings	pepeiao
earshot	pepeiao
earth	honua
earthenware	ka lepo
earthling	ka honua
earthly	honua
earthquake	ka honua
earthy	honuay
ease	oluolu
easel	māmā
easement	hāpai
easily	hiki ke maʻalahi
east	ka hikina
eastbound	hikina
eastern	hikina
easy	maʻalahi
easygoing	Oluʻolu
eat	eʻai
eater	ʻai
eating	ʻai
eatingdisorders	NO TRANSLATION
eavesdrop	eavesdrop
eavesdropping	kekuhi
ebb	ebb
ebony	'Obona
ebullient	ehuehu
eccentric	eccentric
eccentricity	ke kūlike
ecclesiastical	ekalesia
echelon	olona
echinacea	echinacea
echo	hoʻopiʻi
eclectic	hoʻoponopono
eclipse	eclipse
ecliptic	ecliptic
ecological	ke kaiapuni
economic	ke kūlana waiwai
economical	kūpono
economics	nāʻoihana waiwai
economy	ke hoʻokele waiwai
ecosystem	kaiaolaola
ecstasy	pōpō
ecstatic	ke ola
ecumenical	ecumenical
eddy	eddy
edema	edema
edge	ka maka
edging	hoʻoponopono
edgy	nui
edible	hiki keʻai
edict	ke kānāwai
edification	hoʻoponoponoʻana
edifice	hale kūkulu
edit	hoʻoponopono
editing	hoʻoponopono
edition	hoʻopuka
editor	hoʻoponopono hoʻoponopono
editorial	hoʻoponopono hoʻoponopono
educate	aʻo
educated	ua aʻoʻia
education	hoʻonaʻauao
educational	hoʻonaʻauao
educator	kumu aʻo
eeeek	NO TRANSLATION
eeek	NO TRANSLATION
eek	eek
eel	eel
eerie	eerie
effect	ka hopena
effective	maikaʻi
effectiveness	maikaʻi
effects	nā hopena
effectual	pono
effectually	pono
effectuate	hana
effeminate	hoʻopau
efficacious	maikaʻi
efficacy	ka mana
efficiency	ka maikaʻi
efficient	maikaʻi
effigy	ka pīhoihoi
effort	hana
effortless	makemakeʻole
effusion	ka hopena
effyou	NO TRANSLATION
egg	hua
egghead	eghead
eggnog	eggnog
eggplant	eggplant
eggshell	huahua
ego	ke kālā
egomaniac	egomaniac
egotistical	egotistical
egregious	e like me ka inoa
egress	anuhea
eight	ʻewalu
eighteen	ʻumikumāwalu
eighth	ka walu
eighty	kanawalu
ejaculate	ejaculate
ejaculation	ejaculation
eject	e hoʻoiho
ejection	ka holoholo
elaborate	e wehewehe
elaboration	hoʻoponopono
elan	NO TRANSLATION
elapse	elapse
elapsed	hāʻule
elastic	hoʻopili
elasticity	elasticity
elated	hauʻoli
elation	elation
elbow	ka wāwae
eld	eld
elder	makua
elderly	nā kūpuna
elders	nā lunakahiko
eldest	ke poʻokela
elect	koho
election	ke koho
elective	koho
elector	koho
electoral	ke koho balota
electorate	ke koho koho
electric	elele
electric slide	ke kukui uila
electrical	kelepona
electrician	ele ele ele ele
electricity	ka lewa
electrify	koho
electrocute	electrocute
electrocution	hana koho
electromagnetic	electromagnetic
electron	ke koho
electronic	elele
electronics	nā meaʻenehana
elegance	eleheo
elegant	nā mea nani
element	wae
elemental	kelemu
elementary	ke kula haʻahaʻa
elements	nā kumu
elephant	ʻeleʻele
elevate	piʻi
elevated	kiʻekiʻe
elevation	kiʻekiʻe
elevator	elevator
eleven	ʻumikumākahi
eleventh	ka ʻumikumākahi
elf	elf
elicit	haʻi
eligible	pono
eliminate	hoʻoholo
elimination	hoʻokalakala
elite	ʻOi
elitist	ke kūkā
elixir	elixir
elk	elk
ell	e
ellipse	ellipse
ellipsis	ellipsis
ellipsoid	ellipsoid
elliptic	elliptic
elliptical	elliptical
elm	elm
elongate	elongate
elongation	elongation
elope	paupe
eloquence	maikaʻi
eloquent	maikaʻi
elucidate	kiʻekiʻecidate
elucidation	kiʻekiʻecidation
elude	hele
elusive	ʻaʻohe
emaciated	emaciated
email	email
emanate	emanate
emancipation	emancipation
embankment	ke kūʻai
embargo	NO TRANSLATION
embark	ke holo
embarrass	hilahila
embarrassed	hilahila
embarrassing	hilahila
embarrassment	hilahila
embassy	ka hoʻolaha
embattled	hoʻonohoʻia
embed	kauʻia
embellish	hōʻoluʻolu
embellishment	hilahila
embers	ke komo
embezzlement	ʻaihue
embezzler	embezzler
emblem	hōʻailona
emblematic	Hōʻike
embodiment	hana
embolism	ka hōʻailona
embossed	hoʻopiliʻia
embrace	e hopu
embroidered	i kālaiʻia
embroidery	mea hana akamai
embroiled	kauʻia
embryo	'ōpili
embryonic	ʻo ka'ōpona
emcee	emcee
emerald	emerald
emerge	puka i waho
emergence	ʻikeʻia
emergency	kūleka
emeritus	ua hoʻomahaʻia
emery	emery
emetophobia	emetophobia
emigrate	hele
emigration	ke hele
eminence	eminence
eminent	nui
eminently	ma keʻano nui
emir	NO TRANSLATION
emissary	hele
emission	ke kauʻia
emit	emit
emo	emo
emotion	manaʻo
emotional	manaʻo
emotive	emotive
empathic	hoʻopau
empathize	hoʻolālā
empathy	ke aloha
emperor	ka mō'ī
emphasis	hōʻoia
emphasize	e hoʻonui
emphatic	kauā
emphysema	emphysema
empire	aupuni
empirical	ke kaulike
empiricism	ke kākoʻo
employ	hoʻohana
employee	kanakahana
employer	hakuhana
employment	hana
emporium	paʻa
empower	hoʻokūpaʻa
empress	paʻa
emptiness	makehewa
emption	ka mana
empty	nele
emu	emu
emulate	like
emulsion	emulsion
enable	kōkua
enablement	hiki ke hoʻohana
enact	hoʻopau
enactment	hoʻopuka
enamel	enamel
encampment	hale paʻa
enchant	makemake
enchanted	makemake
enchanting	makemake
enchantment	'ōlelo kilokilo
enchantress	ka mea kākau
enchilada	enchilada
encircle	hoʻopuni
encircling	around
enclave	hoʻopiʻi
enclose	pākuʻi
enclosure	ka pā
encode	hoʻopā'ālua
encomiastic	NO TRANSLATION
encomium	encomium
encompass	hoʻopuniʻia
encore	NO TRANSLATION
encounter	hālāwai pū
encourage	e paipai
encouraged	koiʻia
encouragement	kākoʻo
encouraging	kākoʻo
encroach	hoʻopiʻi
encroachment	hoʻopiʻi
encrypt	hoʻopunipuni
encryption	hoʻopunipona
encumbrance	pilikia
encyclopedia	hale wehewehe
end	hopena
end table	hopena pāʻani
endanger	e pōʻino
endangered	ua pōʻino
endangerment	pilikia
endearing	aloha
endeavor	maikaʻi
ended	ua pau
endemic	hope
endgame	hopena
ending	pau
endless	pauʻole
endocarditis	endocarditis
endorse	hōʻoia
endorsement	ʻike
endow	ʻike
endowed	hoʻolakoʻia
endowment	haʻawina
endpapers	nā nūpepa
endpoint	ka hopena
endurance	ke ahonui
endure	e hoʻomau
enduring	hoʻomanawanui
enema	enema
enemy	ʻenemi
energetic	ikaika
energize	ikaika
energy	ike
enforce	hoʻokō
enforcement	hoʻoponopono
enforcer	enforcer
engage	komo
engaged	hana
engagement	ke komo
engaging	e komo ana
engender	hana
engine	ʻenekini
engineer	mea hoʻohana
engineering	ʻenehana
engrave	kiʻi kaha
engraved	kiʻiʻia
engraver	ka mea kahakaha
engraving	kiʻi kaha
engrossed	hanaʻia
engrossing	hoʻoponopono
engulf	hoʻopiha
enhance	hoʻonui
enhancement	ka hoʻonuiʻana
enigma	enigma
enigmatic	enigmatic
enjoin	kauoha
enjoy	e hauʻoli
enjoyable	maikaʻi
enjoying	maikaʻi
enjoyment	ʻoliʻoli
enlarge	e hoʻonui
enlarged	ua hoʻonuiʻia
