Word	af
downfall	instorting
downfield	downfield
downhearted	neerslagtig
downhill	afdraande
download	Aflaai
downpour	reënbui
downright	ronduit
downriver	stroomaf
downside	nadeel
downtime	af tyd
downward	afwaartse
downy	donsige
dowry	bruidskat
doze	sluimering
dozen	dosyn
drab	vaal
draft	konsep
drafty	drafty
drag	sleep
dragon	draak
dragonfly	libel
drain	dreineer
drainage	dreinering
drained	gedreineer
draining	dreineer
drainpipe	drainpipe
drake	Drake
drama	drama
dramaqueen	NO TRANSLATION
dramatic	dramatiese
drape	drapeer
drapery	laken
drastic	drastiese
drat	NO TRANSLATION
draught	konsep
draw	trek
drawback	nadeel
drawbridge	valbrug
drawer	laai
drawers	laaie
drawing	tekening
dread	vrees
dreaded	gevreesde
dreadful	vreeslike
dreadfully	vreeslik
dreading	erg
dream	droom
dreamboat	dreamboat
dreamer	dromer
dreaming	drome
dreamland	droomland
dreams	drome
dreamt	gedroom
dreamy	dromerige
dreary	somber
dredge	bagger
drenched	deurdrenk
dress	aantrek
dresser	dresser
dressmaker	kleremaker
dressy	chic
dribble	NO TRANSLATION
dried	gedroogde
drier	droër
drift	drif
drifted	gedryf
drifter	Drifter
driftwood	dryfhout
drill	boor
drink	drink
drinker	drinker
drinking	drink
drinks	drankies
drip	drip
dripping	drup
drive	ry
drivel	snert
driver	bestuurder
driveway	oprit
drizzle	motreën
droll	snaaks
drone	dreun
drones	darren
drool	kwyl
drooping	hangende
droopy	droopy
drop	drop
droplet	druppel
dropout	uitsak
dropper	dropper
drought	droogte
drove	NO TRANSLATION
drown	verdrink
drowsiness	lomerigheid
drowsy	lomerig
drudgery	sleurwerk
drug	dwelm
drug dealing	dwelmhandel
drugged	bedwelm
druggist	apteker
drugs	dwelms
drugstore	drogisterij
druid	druid
drum	drom
drummer	tromspeler
drumming	dromme
drunk	dronk
drunk driving	dronk bestuur
drunkard	dronkaard
drunken	dronk
drunkenness	dronkenskap
dry	droë
dryer	droër
dryness	droogheid
dual	dubbele
dualism	dualisme
duality	dualiteit
dub	dub
dubious	twyfelagtige
duchess	hertogin
duck	eend
ducking	koes
duckling	eendjie
ducky	snoes
duct	duct
ductile	rekbaar
dud	prul
dude	dude
duds	lompen
due	weens
duel	tweestryd
dues	mer
duet	duet
duffel	duffel
dugout	dugout
duh	duh
duke	Hertog
dull	Dowwe
dullard	sufferd
dumb	stom
dumbasses	dumbasses
dumbbell	Halter
dumbbitch	NO TRANSLATION
dumfound	verbluffen
dumfounder	NO TRANSLATION
dummy	dummy
dump	stortingsterrein
dumpling	pasta
dumps	stortingsterreine
dumpster	Dump
dun	vaal
dunce	esel
dune	duin
dung	NO TRANSLATION
dungeon	put
dunk	dunk
duo	duo
dupe	bedrieg
duplex	duplex
duplicate	dupliseer
duplication	duplisering
duplicity	valsheid
durability	duursaamheid
durable	duursaam
duration	duur
duress	dwang
dusk	skemer
dusky	donker
dust	stof
duster	stoffer
dustpan	skoppie
dusty	stowwerige
dutiful	pligsgetrou
duty	plig
dwarf	dwerg
dwarfed	verdwerg
dweeb	dweeb
dwell	woon
dweller	bewoner
dwelling	woning
dye	kleurstof
dying	sterf
dyke	Dyke
dynamic	dinamies
dynamical	dinamiese
dynamics	dinamika
dynamite	dinamiet
dynamo	dinamo
dynasty	dinastie
dysentery	disenterie
dysfunction	disfunksie
dysfunctional	disfunksionele
dyspepsia	dispepsie
eager	gretig
eagerness	gretigheid
eagle	arend
ear	oor
earful	earful
earl	Earl
earlier	vroeër
early	vroeg
earn	verdien
earnest	erns
earnestly	ernstig
earnestness	erns
earnings	verdienste
earpiece	gehoorstuk
earring	oorbel
earrings	oorbelle
earshot	hoorafstand
earth	aarde
earthenware	erdewerk
earthling	aardse
earthly	aardse
earthquake	aardbewing
earthy	aardse
ease	verlig
easel	esel
easement	easement
easily	maklik
east	oos
eastbound	oostwaarts
eastern	Oos
easy	maklik
easygoing	rustige
eat	eet
eater	eter
eating	eet
eatingdisorders	NO TRANSLATION
eavesdrop	afluister
eavesdropping	afluister
ebb	eb
ebony	ebbehout
ebullient	levendig
eccentric	eksentrieke
eccentricity	eksentrisiteit
ecclesiastical	kerklike
echelon	echelon
echinacea	echinacea
echo	eggo
eclectic	eklektiese
eclipse	verduistering
ecliptic	sonnebaan
ecological	ekologiese
economic	ekonomiese
economical	ekonomiese
economics	ekonomie
economy	ekonomie
ecosystem	ekosisteem
ecstasy	ekstase
ecstatic	ekstase
ecumenical	ekumeniese
eddy	eddy
edema	edeem
edge	rand
edging	rand
edgy	edgy
edible	eetbare
edict	edik
edification	stigting
edifice	gebou
edit	wysig
editing	redigering
edition	uitgawe
editor	redakteur
editorial	redaksionele
educate	op te voed
educated	opgevoede
education	onderwys
educational	opvoedkundige
educator	opvoeder
eeeek	NO TRANSLATION
eeek	NO TRANSLATION
eek	eek
eel	eel
eerie	onheilspellend
effect	effek
effective	effektiewe
effectiveness	effektiwiteit
effects	effekte
effectual	doeltreffende
effectually	effektief
effectuate	bewerkstellig
effeminate	wellustelinge
efficacious	doeltreffend
efficacy	doeltreffendheid
efficiency	doeltreffendheid
efficient	doeltreffende
effigy	effigy
effort	poging
effortless	moeiteloos
effusion	effusie
effyou	NO TRANSLATION
egg	eier
egghead	Egghead
eggnog	eggnog
eggplant	eiervrug
eggshell	eierdop
ego	ego
egomaniac	egomaniac
egotistical	selfsugtig
egregious	uitmuntend
egress	uitgang
eight	agt
eighteen	agtien
eighth	agtste
eighty	tagtig
ejaculate	ejakuleer
ejaculation	ejakulasie
eject	verwyder
ejection	uitwerping
elaborate	uit te brei
elaboration	uitbreiding
elan	NO TRANSLATION
elapse	verloop
elapsed	verloop
elastic	elastiese
elasticity	elastisiteit
elated	opgewonde
elation	vreugde
elbow	elmboog
eld	dd
elder	ouderling
elderly	bejaardes
elders	ouderlinge
eldest	oudste
elect	verkies
election	verkiesing
elective	elektiewe
elector	keurvors
electoral	verkiesings
electorate	kiesers
electric	elektriese
electric slide	elektriese skyfie
electrical	elektriese
electrician	elektrisiën
electricity	elektrisiteit
electrify	elektrifiseer
electrocute	deur elektrisiteit
electrocution	elektriese skok
electromagnetic	elektromagnetiese
electron	elektron
electronic	elektroniese
electronics	elektronika
elegance	elegansie
elegant	elegante
element	element
elemental	elementele
elementary	elementêre
elements	elemente
elephant	olifant
elevate	verhef
elevated	verhoogde
elevation	opstand
elevator	hysbak
eleven	elf
eleventh	elfde
elf	elf
elicit	ontlok
eligible	in aanmerking kom
eliminate	uit te skakel
elimination	uitskakeling
elite	elite
elitist	elitistiese
elixir	Elixir
elk	elk
ell	ell
ellipse	ellips
ellipsis	beletselteken
ellipsoid	ellipsoïde
elliptic	elliptiese
elliptical	elliptiese
elm	ELM
elongate	verleng
elongation	verlenging
elope	wegloop
eloquence	welsprekendheid
eloquent	welsprekende
elucidate	toe te lig
elucidation	toeligting
elude	ontwyk
elusive	ontwykende
emaciated	uitgeteer
email	e-pos
emanate	afkomstig
emancipation	bevryding
embankment	wal
embargo	NO TRANSLATION
embark	begin
embarrass	in die verleentheid
embarrassed	skaam
embarrassing	verleentheid
embarrassment	verleentheid
embassy	ambassade
embattled	beleërde
embed	embed
embellish	versier
embellishment	versiering
embers	kole
embezzlement	verduistering
embezzler	verduisteraar
emblem	embleem
emblematic	tekenend
embodiment	verpersoonliking
embolism	embolisme
embossed	gebosseleer
embrace	omhels
embroidered	geborduurde
embroidery	borduurwerk
embroiled	gewikkel
embryo	embrio
embryonic	embrioniese
emcee	emcee
emerald	smaraggroen
emerge	na vore
emergence	opkoms
emergency	nood
emeritus	emeritus
emery	amaril
emetophobia	emetophobia
emigrate	emigreer
emigration	emigrasie
eminence	voorrang
eminent	vooraanstaande
eminently	by uitstek
emir	NO TRANSLATION
emissary	gesant
emission	emissie
emit	uitstraal
emo	emo
emotion	emosie
emotional	emosionele
emotive	emosionele
empathic	empatiese
empathize	empatie
empathy	empatie
emperor	keiser
emphasis	klem
emphasize	beklemtoon
emphatic	empaties
emphysema	emfiseem
empire	ryk
empirical	empiriese
empiricism	empirisme
employ	diens
employee	werknemer
employer	werkgewer
employment	indiensneming
emporium	emporium
empower	bemagtig
empress	Keiserin
emptiness	leegheid
emption	aandeelhouers
empty	leë
emu	EMU
emulate	navolg
emulsion	emulsie
enable	in staat te stel
enablement	enable
enact	implementeer
enactment	enactment
enamel	emalje
encampment	kamp
enchant	betower
enchanted	betower
enchanting	betowerende
enchantment	betowering
enchantress	bekoorster
enchilada	self maak
encircle	omkring
encircling	rondom
enclave	enklawe
enclose	omsluit
enclosure	hok
encode	enkodeer
encomiastic	NO TRANSLATION
encomium	encomium
encompass	sluit
encore	NO TRANSLATION
encounter	ontmoeting
encourage	moedig
encouraged	aangemoedig
encouragement	aanmoediging
encouraging	bemoedigend
encroach	inbreuk maak
encroachment	indringing
encrypt	enkripteer
encryption	enkripsie
encumbrance	beswaring
encyclopedia	ensiklopedie
end	einde
end table	einde tafel
endanger	in gevaar stel
endangered	bedreigde
endangerment	bedreiging
endearing	innemende
endeavor	poog
ended	geëindig
endemic	endemiese
endgame	eindspel
ending	eindig
endless	eindelose
endocarditis	endokarditis
endorse	onderskryf
endorsement	endossement
endow	doteren
endowed	bedeeld
endowment	skenking
endpapers	endpapers
endpoint	eindpunt
endurance	uithouvermoë
endure	verduur
enduring	blywende
enema	enema
enemy	vyand
energetic	energieke
energize	energieke
energy	energie
enforce	af te dwing
enforcement	handhawing
enforcer	ricardo
engage	betrek
engaged	besig
engagement	betrokkenheid
engaging	innemende
engender	voortbring
engine	enjin
engineer	ingenieur
engineering	ingenieurswese
engrave	graveer
engraved	gegraveer
engraver	graveur
engraving	gravure
engrossed	verdiep
engrossing	boeiend
engulf	verswelg
enhance	verbeter
enhancement	verbetering
enigma	raaisel
enigmatic	raaiselagtige
enjoin	beveel
enjoy	geniet
enjoyable	genotvolle
enjoying	geniet
enjoyment	genot
enlarge	vergroot
enlarged	vergrote
enlargement	vergroting
enlighten	verlig
enlightened	verligte
enlightening	verhelderend
enlightenment	verligting
enlist	inroep
enliven	vinkel
enmity	vyandskap
ennui	verveling
enormity	omvang
enormous	enorme
enormously	reusagtig
enraged	woedend
enrich	verryk
enroll	inskryf
enrollment	inskrywings
ensemble	ensemble
ensign	banier
enslave	verslaaf
enslaved	verslaaf
enslavement	verslawing
ensue	faal
ensure	verseker
entail	behels
entangled	gekoek
entanglement	verstrengeling
enter	betree
enterprise	onderneming
enterprising	ondernemende
entertain	vermaak
entertained	vermaak
entertainer	verhoogkunstenaar
entertaining	vermaaklike
entertainment	vermaak
enthralled	bekoor
enthusiasm	entoesiasme
enthusiast	entoesias
enthusiastic	entoesiastiese
entice	lok
entire	hele
entirety	geheel
entitle	geregtig
entity	entiteit
entomology	entomologie
entourage	gevolg
entrails	binnegoed
entrance	ingang
entrapment	verstrikking
entreat	smeek
entree	entree
entrepreneur	entrepreneur
entrust	toevertrou
entry	inskrywing
enumerate	opnoemen
enumeration	opsomming
envelope	koevert
envious	jaloers
environ	NO TRANSLATION
environment	omgewing
environmental	omgewing
environs	omgewing
envision	Envision
envoy	gesant
envy	afguns
enzyme	ensiem
ephemeral	efemere
ephemeris	Ephemeris
epic	epiese
epidemic	epidemie
epidermis	epidermis
epidural	epidurale
epilepsy	epilepsie
epileptic	epileptiese
epilogue	epiloog
epiphany	epifanie
episcopal	biskoplike
episode	episode
episodic	episodiese
epistle	brief
epitaph	grafskrif
epithet	bynaam
epitome	toonbeeld
epoch	epog
equal	gelyk
equality	gelykheid
equalization	gelykmaking
equalize	gelyk
equalizer	gelykmaker
equally	ewe
equate	gelyk
equation	vergelyking
equator	ewenaar
equatorial	ekwatoriale
equestrian	ruiter
equidistant	ewe ver
equilibration	ewewig
equilibrium	ewewig
equip	toerus
equipment	toerusting
equitable	billike
equity	billikheid
equivalence	ekwivalensie
equivalent	ekwivalent
equivocal	dubbelsinnige
era	era
eradicate	uit te wis
eradication	uitwissing
erase	vee
eraser	uitveër
erasure	uitwissing
ere	NO TRANSLATION
erect	rig
erectile	erektiele
erection	oprigting
ergo	NO TRANSLATION
erode	erodeer
erosion	erosie
erotic	erotiese
erotica	erotica
err	dwaal
errand	taak
errant	dwalend
erratic	wisselvallige
erratum	erratum
erroneous	foutiewe
error	fout
erst	NO TRANSLATION
erudite	geleerde
erupt	uitbars
eruption	uitbarsting
escalade	Escalade
escalate	eskaleer
escalating	stygende
escalation	eskalasie
escalator	roltrap
escape	ontsnapping
escaped	ontsnap
escarpment	platorand
eschew	vermy
escort	escort
escrow	borg
esophagus	slukderm
esoteric	esoteriese
especial	NO TRANSLATION
espionage	spioenasie
espouse	voorstaan
espresso	espresso
esprit	esprit
esquire	Esquire
essay	opstel
essayist	essayis
essence	wese
essential	noodsaaklik
essentially	wese
establish	vestig
established	gestig
establishment	vestiging
estate	boedel
esteem	agting
esteemed	gewaardeerde
esthetic	estetiese
estimable	lofwaardige
estimate	skatting
estimation	skatting
estoppel	estoppel
estranged	vervreemde
estrogen	estrogeen
estuary	monding
etch	ets
etching	ets
eternal	ewige
eternity	ewigheid
ethanol	etanol
ether	eter
ethereal	eteriese
ethic	etiek
ethical	etiese
ethics	etiek
ethnic	etniese
ethnography	etnografie
etiology	etiologie
etiquette	etiket
etymology	etimologie
eucalyptus	bloekombome
euchre	Euchre
eugenics	eugenetika
eulogistic	lovend
eulogium	eulogium
eulogize	ophemelen
eulogy	huldeblyk
euphemism	eufemisme
euphoria	euforie
euphoric	euforiese
euro	euro
euthanasia	genadedood
evacuate	ontruim
evacuation	ontruiming
evade	ontduik
evaluate	evalueer
evaluation	evaluering
evanescence	Evanescence
evangelical	evangeliese
evangelist	evangelis
evangelistic	evangelisasie
evaporate	verdamp
evaporation	verdamping
evasion	ontduiking
evasive	ontwykende
eve	vooraand
evening	aand
evens	NO TRANSLATION
event	gebeurtenis
eventful	gevoel
eventual	uiteindelike
eventuality	gebeurlikheid
evergreen	immergroen
everlasting	ewige
evermore	ewig
everyday	elke dag
everyman	Elke man
evict	uitsit
eviction	uitsetting
evidence	bewyse
evident	duidelik
evidentiary	bewysregtelike
evil	kwaad
evoke	roep
evolution	evolusie
evolutionary	evolusionêre
evolve	ontwikkel
ewe	ooi
ex	ex
exacerbate	vererger
exacerbation	verergering
exact	presiese
exacting	veeleisende
exaggerate	oordryf
exaggerated	oordrewe
exaggeration	oordrywing
exalt	verhef
exaltation	verheffing
exalted	verhewe
exam	eksamen
examination	ondersoek
examine	ondersoek
examiner	eksaminator
example	byvoorbeeld
exasperated	bitter
exasperation	wanhoop
excavate	uitgrawe
excavation	uitgrawing
excavator	graaf
exceed	oorskry
exceeding	oorskry
excel	excel
excellence	uitnemendheid
excellent	uitstekende
excelsior	excelsior
excepting	Uitgezonderd
exception	uitsondering
exceptional	uitsonderlike
excerpt	uittreksel
excess	meer
excessive	oormatige
excessively	oormatig
exchange	ruil
excise	aksyns
excision	eksisie
excitability	opgewondenheid
excitable	prikkelbare
excitation	opwekking
excite	opgewonde
excited	opgewonde
excitement	opwinding
exciting	opwindend
exclaim	uitroep
exclamation	uitroep
exclude	uitsluit
excluded	uitgesluit
excluding	uitgesluit
exclusion	uitsluiting
exclusive	eksklusiewe
excrement	ontlasting
excretion	uitskeiding
excruciating	helse
excursion	uitstappie
excuse	verskoning
exec	exec
execute	uit te voer
execution	uitvoering
executioner	laksman
executive	uitvoerende
executor	eksekuteur
exegesis	eksegese
exemplar	Model
exemplary	voorbeeldige
exemplify	voorbeeld
exempt	vrygestel
exemption	vrystelling
exercise	oefening
exert	uit te oefen
exertion	inspanning
exhale	uitasem
exhaust	uitlaat
exhausted	uitgeput
exhaustion	uitputting
exhaustive	uitputtende
exhibit	uitstalling
exhibition	uitstalling
exhilarated	opgevrolijkend
exhilarating	opwindende
exhilaration	opwinding
exhort	vermaan
exhortation	vermaning
exhumation	opgrawing
exhume	opgrawe
exigent	NO TRANSLATION
exile	ballingskap
exist	bestaan
existence	bestaan
existent	bestaan ​​nie
existential	eksistensiële
existing	bestaande
exit	uitgang
exodus	uittog
exonerate	skoonmaak
exorbitant	buitensporige
exorcism	duiweluitdrywing
exorcist	exorcist
exotic	eksotiese
expand	uit te brei
expanded	uitgebrei
expanse	uitspansel
expansion	uitbreiding
expansive	uitgestrekte
expatriate	uitgewekene
expect	verwag
expectance	expectance
expectancy	verwagting
expectant	verwagtende
expectation	verwagting
expected	verwag
expecting	verwag
expediency	opportunisme
expedient	raadsaam
expedite	bespoedig
expedition	ekspedisie
expeditious	spoedige
expel	skors
expendable	besteebare
expenditure	uitgawes
expense	koste
expenses	uitgawes
expensive	duur
experience	ervaring
experienced	ervaar
experiences	ervarings
experiment	eksperiment
experimental	eksperimentele
experimentation	eksperimentering
experimenter	eksperimenteerder
expert	kenner
expertise	kundigheid
expiration	verstryking
expire	verval
expired	verval
expiry	verval
explain	verduidelik
explanation	verduideliking
explanatory	verklarende
expletive	vloek
explication	uiteensetting
explicit	eksplisiete
explode	ontplof
exploit	ontgin
exploitation	uitbuiting
exploration	eksplorasie
exploratory	verkennende
explore	verken
explorer	ontdekkingsreisiger
explosion	ontploffing
explosions	ontploffings
explosive	plofbare
expo	expo
exponent	eksponent
exponential	eksponensiële
export	uitvoer
exportation	uitvoer
expose	bloot te stel
exposed	blootgestel
exposition	uiteensetting
expository	verklarende
exposure	blootstelling
expound	uiteen te sit
express	uit te druk
expression	uitdrukking
expressive	ekspressiewe
expressway	snelweg
expropriation	onteiening
expulsion	uitsetting
exquisite	pragtige
exquisitely	pragtig
extant	bestaande
extend	uit te brei
extendable	uit te brei
extended	uitgebrei
extension	uitbreiding
extensive	uitgebreide
extent	mate
exterior	buite
exterminate	uit te wis
extermination	uitwissing
exterminator	Exterminator
external	eksterne
externally	ekstern
extinct	uitgesterf
extinction	uitwissing
extinguish	blus
extinguisher	brandblusser
extol	vul
extort	ontwringen
extortion	afpersing
extra	ekstra
extract	uittreksel
extracting	onttrek
extraction	onttrekking
extractor	extractor
extracurricular	buitemuurse
extradition	uitlewering
extrajudicial	buitegeregtelike
extramural	buitemuurse
extraneous	vreemde
extraordinaire	extraordinaire
extraordinary	buitengewone
extraterrestrial	buiteaardse
extravagance	spandabelrigheid
extravagant	buitensporig
extravaganza	extravaganza
extreme	uiterste
extreme anticipation	uiterste afwagting
extreme disgust	uiterste afkeer
extreme surprise	uiterste verrassing
extreme trust	uiterste vertroue
extremely	uiters
extremely negative	uiters negatief
extremely positive	uiters positief
extremity	uiteinde
extricate	bevry
extrinsic	ekstrinsieke
extrusion	extrusie
exuberance	uitbundig
exude	straal
eye	oog
eyeball	oogbal
eyebrow	wenkbrou
eyeful	eyeful
eyeglass	Brill
eyeglasses	bril
eyelash	ooghaar
eyelet	ogies
eyeliner	eyeliner
eyepiece	oogstuk
eyes	oë
eyesight	sig
eyewitness	ooggetuie
fab	fab
fable	fabel
fabled	fabelagtige
fabric	stof
fabricate	vervaardig
fabricated	opgemaak
fabrication	vervaardiging
fabulous	fantastiese
facade	fasade
face	gesig
faceless	gesiglose
facet	faset
facial	gesig
facile	NO TRANSLATION
facilitate	fasiliteer
facility	fasiliteit
facing	die gesig staar
facsimile	faks
fact	feit
faction	faksie
factor	faktor
factory	fabriek
facts	feite
factual	feitelike
faculties	fakulteite
faculty	Fakulteit
fad	gier
fade	vervaag
faded	verbleikte
faeces	ontlasting
fag	fag
faggot	faggot
fail	misluk
failing	versuim
failure	mislukking
fain	NO TRANSLATION
faint	moeg
fainting	floute
fair	billike
fairly	redelik
fairness	regverdigheid
fairway	skoonveld
fairy	feetjie
faith	geloof
faithful	getrou
faithfulness	getrouheid
faithless	Ongelowige
fake	vals
faker	vervalser
falafel	falafel
falcon	Falcon
fall	val
fallacious	valse
fallacy	dwaling
fallback	terugval
fallible	feilbare
falling	val
fallopian	fallopiese
fallout	neerslag
fallow	braak
false	ONWAAR
falsehood	leuens
falsely	valslik
falsification	vervalsing
falsified	vervals
falsify	vervals
falsity	valsheid
falter	wankel
fame	roem
famed	bekend
familiar	bekend
familiarity	bekendheid
familiarize	vertroud te maak
family	gesin
familytime	familie tyd
famine	hongersnood
famished	honger
famous	beroemde
famously	beroemde
fan	fan
fanatic	fanatiese
fanatical	fanatiese
fanaticism	fanatisme
fanciful	denkbeeldig
fancy	fancy
fandango	Fandango
fanfare	fanfare
fang	NO TRANSLATION
fangs	slagtande
fanning	Fanning
fantasia	Fantasia
fantasize	fantaseer
fantastic	fantastiese
fantasy	fantasie
faraway	ver
farce	klug
farcical	klug
fare	tarief
farewell	afskeid
farm	plaas
farmer	boer
farmhouse	plaashuis
farming	boer
farmland	plaasgrond
faro	Faro
fart	poep
farther	verder
fascia	fascia
fascinate	bekoor
fascinated	gefassineer
fascinating	fassinerende
fascination	bekoring
fascism	fascisme
fascist	fascistiese
fashion	mode
fashionable	modieus
fastball	Fast Ball
fasten	vas
fastener	sluiting
fastening	bevestiging
fasting	vas
fat	vet
fatal	noodlottige
fatalism	fatalisme
fatality	doodmaak
fate	lot
fated	noodlottig
fateful	noodlottige
fathead	domkop
father	pa
fatherhood	vaderskap
fatherland	vaderland
fatherly	vaderlike
fathom	peil
fatigue	moegheid
fatigued	moeg
fatso	fatso
fatten	vet
fatty	vetterige
faucet	kraan
fault	fout
faultless	foutlose
faulty	foutiewe
faun	Faun
fauna	fauna
faux	faux
favor	ten gunste van
favorable	gunstige
favorite	gunsteling
favoriteholiday	NO TRANSLATION
favoritism	begunstiging
fawn	ligbruin
fax	faks
faze	NO TRANSLATION
fear	vrees
feared	gevrees
fearful	bang
fearfully	vreeslik
fearing	vrees
fearless	vreeslose
fears	vrese
fearsome	vreesaanjaende
feasibility	lewensvatbaarheid
feasible	haalbaar
feast	fees
feat	feat
feather	veer
feathered	geveer
feature	funksie
features	kenmerke
febrile	koors
fecal	fecale
feces	ontlasting
fecundity	vrugbaarheid
fed	gevoed
federal	federale
federation	federasie
fedup	siek en sat
fee	fooi
feeble	slap
feed	voer
feedback	terugvoer
feeder	voerder
feel	voel
feelgood	voel goed
feeling	gevoel
feelingdown	NO TRANSLATION
feelinggood	NO TRANSLATION
feet	voete
feign	Stel
feigned	geveinsde
feisty	vurige
felicity	Felicity
feline	kat
fell	val
feller	Feller
fellow	mede
fellowship	gemeenskap
felon	misdadiger
felony	misdaad
felt	gevoel
female	vroulike
feminine	vroulike
femininity	vroulikheid
feminism	feminisme
feminist	feministiese
femme	NO TRANSLATION
femoral	femorale
femur	femur
fen	NO TRANSLATION
fence	heining
fenced	omhein
fencing	omheining
fend	lot
fender	modderskerm
fennel	vinkel
ferment	fermenteer
fermentation	fermentasie
fern	varing
ferocious	kwaai
ferocity	wild
ferret	krimpvarkie
ferry	pont
ferryboat	NO TRANSLATION
fertile	vrugbare
fertility	vrugbaarheid
fertilize	bemes
fertilizer	kunsmis
fervent	vurige
fervor	ywer
fess	gesny
fest	fest
festival	fees
festive	feestelike
fetal	fetale
fetch	haal
fete	NO TRANSLATION
fetish	fetish
fetus	fetus
feud	vete
feudal	feodale
feudalism	feodalisme
fever	koors
feverish	koorsig
fiancee	NO TRANSLATION
fiasco	fiasko
fiat	Fiat
fib	fib
fiber	vesel
fiberglass	veselglas
fibrosis	fibrose
fibrous	veselagtige
fickle	wisselvallige
fiction	fiksie
fictional	fiktiewe
fictitious	fiktiewe
fiddle	viool
fiddler	Fiddler
fidelity	getrouheid
fidgety	kriewelrig
fiduciary	fidusiêre
field	veld
field hockey	Veldhokkie
fielder	veldwerker
fiend	monster
fiendish	duiwel
fierce	kwaai
fiery	vurige
fiesta	Fiesta
fiesty	NO TRANSLATION
fifteen	vyftien
fifty	vyftig
fig	Fig
fight	stryd
fighter	fighter
fighting	veg
fights	gevegte
figment	verdichtsel
figurative	figuurlike
figure	figuur
figurine	beeldjie
filament	filament
filamentous	filamentagtige
file	lêer
filet	filet
filibuster	roof
filigree	filigrein
filing	indiening
filings	vylsels
fill	vul
filler	toevoeg
fillet	fillet
filling	vul
filly	merrie
film	film
filmmaker	filmmaker
filmy	NO TRANSLATION
filter	filter
filth	vullis
filthy	vuil
filtration	filtrasie
fin	NO TRANSLATION
final	finale
finale	finale
finalist	finalis
finality	finaliteit
finalize	finaliseer
finalized	gefinaliseer
finally	uiteindelik
finance	finansies
financial	finansiële
financier	finansier
finch	Finch
find	vind
finder	Well
finding	bevinding
fine	fyn
finery	tooi
finesse	finesse
finger	vinger
fingernail	vingernael
fingerprint	vingerafdruk
fingerscrossed	NO TRANSLATION
finish	afwerking
finished	klaar
finite	eindige
fink	Fink
fir	fir
fire	vuur
firearm	vuurwapen
firearms	vuurwapens
fireball	vuurbal
firecracker	klapper
firefight	brande blust
firefighter	brandweerman
firefly	vuurvliegie
firehouse	vuurtoren
firelight	vuurlig
fireman	brandweerman
fireplace	kaggel
firepower	skietgoed
fireproof	vuurvaste
fireside	haard
firestorm	Fire Storm
firewall	firewall
firewood	vuurmaakhout
firework	vuurwerk
fireworks	vuurwerke
firing	afvuur
firm	firma
firmament	uitspansel
firmly	stewig
firmness	fermheid
first	eerste
firstborn	eersgeborene
firstworldprobs	NO TRANSLATION
fiscal	fiskale
fish	vis
fisherman	visserman
fishery	vissery
fishing	visvang
fishing boat	visvang boot
fishy	fishy
fissile	splijtstoffen
fission	fisie
fissure	groef
fist	vuis
fistfight	vuisgeveg
fistful	handvol
fistula	fistel
fit	pas
fitness	fiksheid
fits	pas
fitted	toegerus
fitting	pas
fittings	toebehore
five	vyf
fiver	fiver
fix	los
fixable	fixable
fixation	fiksasie
fixed	vaste
fixer	fixeerbad
fixture	Opname
fixtures	wedstryde
fizz	gesis
fjord	fjord
flabbergast	sy stuk
flabbergasted	die veld geslaan
flabby	pap
flaccid	slap
flag	vlag
flagging	verligting
flagpole	vlagpaal
flagrant	flagrante
flagship	vlagskip
flagstaff	Flagstaff
flair	flair
flak	kritiek
flake	flake
flaky	afskilfer
flamboyant	flambojante
flame	vlam
flamethrower	vlammenwerper
flaming	vlam
flamingo	flaminke
flammable	vlambare
flan	flan
flange	flens
flank	flank
flanked	omring
flanking	weerskante
flannel	flanel
flap	flap
flapping	wapper
flare	flare
flares	fakkels
flaring	opvlam
flash	flits
flashback	terugflits
flashing	flikker
flashlight	flitslig
flashy	flitsende
flask	fles
flat	plat
flatbed	flatbed
flatfoot	platvoet
flatness	vlakheid
flatten	plat
flatter	platter
flattered	gevlei
flattering	vleiende
flattery	gevlei
flatulence	winderigheid
flaunt	wapperen
flavor	geur
flaw	fout
flawed	gebrekkig
flawless	foutloos
flea	vlooi
fleabag	ou rommel
fled	gevlug
flee	vlug
fleece	fleece
fleet	vloot
fleeting	vlugtige
flesh	vlees
fleshy	vlesige
flex	flex
flexibility	buigsaamheid
flexible	buigsaam
flexin	flexin
flexion	fleksie
flick	fliek
flicker	flikker
flickering	flikkerende
flier	vlieg
flight	vlug
flighty	loskop
flimsy	swak
flinch	wankel
fling	fling
flint	flint
flip	flip
flip flop	plakkie
flipper	vin
flipping	daarby
flirt	flankeer
flirtation	flirtasie
flirting	flirt
flirty	flirty
float	float
floater	drijver
flock	kudde
flog	slaan
flood	vloed
floor	vloer
flooring	vloer
floozy	hoer
flop	flop
floppy	floppy
flora	flora
floral	blomme
florist	bloemiste
floss	vlos
flotation	flottasie
flounder	gespartel
flour	meel
flourish	floreer
flow	vloei
flower	blom
flowering	blom
flowers	blomme
flowery	blomme
flows	vloei
flu	griep
fluctuate	skommel
fluctuating	wisselende
fluctuation	skommeling
flue	flue
fluency	vlotheid
fluent	vlot
fluff	pluis
fluffy	donsig
fluid	vloeistof
fluidity	vloeibaarheid
fluke	gelukskoot
flunk	flunk
flunky	flunky
fluorescence	fluoressensie
fluorescent	fluoresserende
flurries	wind stoot
flurry	vlaag
flush	spoel
