Word	mg
chime	chime
chimera	chimera
chimes	chimes
chimney	fivoahan-tsetroka
chimp	chimp
chimpanzee	rajako
chin	saoka
china	Shina
chinchilla	Chinchilla
chine	NO TRANSLATION
chinook	chinook
chip	Chip
chipmunk	chipmunk
chipper	chipper
chipping	chipping
chiropractor	chiropractor
chirp	chirp
chirping	chirping
chisel	fandraka
chiseler	chiseler
chit	chit
chitchat	chitchat
chivalry	herim-po
chloride	klôro
chlorine	chlore
chloroform	chloroform
chocolate	sôkôla
choice	safidy
choir	amboarampeo
choke	mangeja
cholera	Kôlera
cholesterol	kolesterola
choose	mifidy
choosing	mifidy
choosy	mifidifidy
chop	mitetika
chopper	chopper
choppers	choppers
chopping	chopping
chops	chops
choral	mpihira
chord	chord
chords	Chords
chore	handreraka
choreographer	choreographer
choreography	choreography
chorus	Averina isan'andininy
chosen	voafidy
chow	Chow
chowder	Chaudrée
christ	Kristy
christen	NO TRANSLATION
christening	christening
christian	kristiana
christmas	Noely
christmasbreak	NO TRANSLATION
christmaseve	NO TRANSLATION
christmasspirit	NO TRANSLATION
christmassy	christmassy
christmastime	Krismasy
chromatic	chromatic
chromatography	chromatography
chrome	Chrome
chromium	chrome
chromosome	krômôzôma
chronic	mitaiza
chronicle	tantara
chronograph	chronograph
chronological	fandehan'ny fotoana
chubby	Chubby
chuck	Chuck
chuckle	nihomehy
chug	alefa miadana
chum	chum
chummy	chummy
chump	chump
chunk	chunk
chunky	chunky
church	fiangonana
churchyard	churchyard
churn	churn
chute	chute
chutney	chutney
ciao	Ciao
cider	cider
cigar	sigara
cigarette	sigara
cilantro	cilantro
cinch	cinch
cinder	cinder
cinema	sarimihetsika
cinematic	cinematic
cinematographer	cinematographer
cinematography	cinematography
cinnamon	kanelina
cipher	cipher
circle	faribolana
circling	circling
circuit	faritra
circuitry	circuitry
circular	boribory
circulate	mivezivezy
circulation	fikorianan'ny
circulatory	ra
circumcision	famorana
circumference	circumference
circumferential	circumferential
circumscribed	circumscribed
circumstance	toe-javatra
circumstances	toe-javatra
circumstantial	toe-java-
circumvent	hihodidinana
circumvention	fandinganana
circus	Circus
cirque	cirque
cirrhosis	simba anefa
cirrus	cirrus
cistern	lavaka fanangonan-drano
citadel	Citadel
citation	ambadika
cite	manonona
citizen	olom-pirenena
citizenship	zom-pirenena
citrine	citrine
citrus	Citrus
city	tanàna
citywide	Eran'ny tanàna
civic	olom-pirenena
civics	civics
civil	sivily
civilian	sivily
civilians	olon-tsotra
civility	fahalalam-pomba
civilization	fandrosoana
civilized	mandroso
clad	mitafy
claim	Fitarainana
claimant	mpitory
clairvoyant	clairvoyant
clam	Mpihady Lavaka
clambake	clambake
clammy	clammy
clamor	fitabatabana
clamp	clamp
clan	fianakaviambe
clandestine	tsokosoko
clang	clang
clap	Miteha
clapper	clapper
clapping	fitehafana
clarification	fanazavana
clarify	hanazava
clarinet	Mpitsoka mozika
clarion	clarion
clarity	mazava
clash	fifandonana
clashing	nifanandrina
clasp	clasp
class	kilasy
classic	mahazatra
classic rock	rock rock
classical	kilasika
classics	Classics
classification	fisokajiana
classified	voasokajy
classify	manasokajy
classmate	mpiara-mianatra
classroom	efitrano fianarana
classy	classy
clatter	clatter
clause	fepetra
clauses	fepetra
claustrophobia	claustrophobia
claustrophobic	claustrophobic
clavicle	clavicle
claw	claw
claws	hoho
clay	tanimanga
clean	madio
cleaner	madio
cleaning	fanadiovana
cleanliness	fahadiovana
cleanly	cleanly
cleanse	manadio
cleanser	mpanadio
cleansing	fanadiovana
cleanup	manadio
clear	mazava
clearance	fahazoan-dalana
clearing	fanadiovana
clearness	famirapirany
cleat	cleat
cleavage	fisarahambazana
cleave	hifikitra
cleaver	NO TRANSLATION
clef	clef
cleft	tsefatsefaky
clemency	famindrampo
clench	clench
clergy	mpitondra fivavahana
clergyman	mpitondra fivavahana
cleric	mpitondra fivavahana
clerical	mpitondra fivavahana
clerk	mpiasa
clerkship	clerkship
clever	nahira-tsaina
cleverness	mitombo
click	Click
clicker	clicker
client	mpanjifa
clientele	clientele
cliff	hantsam-bato
climate	toetr'andro
climatology	climatology
climax	fara tampony
climb	climb
climber	mpianika
clinch	clinch
cling	hifikitra
clingy	misisika be
clinic	toeram-pitsaboana
clinical	pitsaboana
clink	clink
clip	Clip
clipboard	hela-tsilaka
clipper	clipper
clipping	clipping
clique	NO TRANSLATION
clitoris	clitoris
cloak	lamba
cloaking	cloaking
cloakroom	cloakroom
clobber	clobber
clock	famantaranandro
clockwork	clockwork
clod	clod
clog	clog
cloister	cloister
clone	Clone
cloning	fanamboarana
close	akaiky
closed	mihidy
closeness	akaiky
closet	efi-tranonao
closure	fanakatonana
clot	fanafody mampandry
cloth	lamba
clothe	mitafy
clothes	fitafiana
clothesline	clothesline
clothing	akanjo
cloud	rahona
clouded	nanakorontana
cloudiness	cloudiness
clouds	rahona
cloudy	clouds
clout	clout
clove	jirofo
clover	clover
cloves	jirofo
clown	mpanao hatsikana
clowns	hatsikana
club	Club
clubhouse	clubhouse
clubs	fikambanana
cluck	cluck
clue	Vakio ny
clueless	clueless
clump	clump
clumsy	mikaviavia
clunk	clunk
cluster	sampahom-boaloboka
clutch	clutch
clutches	tanan'ny
clutter	manangona
coach	mpanazatra
coachman	coachman
coagulation	coagulation
coal	arintany
coalesce	coalesce
coalition	fiaraha-mitantana
coarse	marokoroko
coast	morontsiraka
coastal	amorontsiraka
coaster	coaster
coastline	morontsiraka
coat	akanjo
coating	coating
coax	mampirisika
cobalt	kobalta
cobble	cobble
cobbler	Mpanao kiraro
cobra	vipera
cocaine	kôkainina
cock	akoho
cockamamie	cockamamie
cockeyed	cockeyed
cockpit	cockpit
cockroach	cockroach
cocksucker	cocksucker
cocktail	molotov
cocky	cocky
cocoa	kakaô
coconut	voanio
cocoon	cocoon
cod	lamoria
code	fehezan-dalàna
codeine	levitra
codex	Kôdeksa
codfish	codfish
codification	codification
codify	codify
coding	Coding
coed	coed
coefficient	coefficient
coerce	manery
coercion	faneriterena
coercive	faneriterena
coexist	hiara-hitoetra
coexistence	fiaraha-miaina
coexisting	coexisting
coffee	kafe
coffee table	latabatra kafe
coffeehouse	coffeehouse
coffeepot	coffeepot
coffin	vatam-paty
cog	Làlam-by tohan
cogent	cogent
cognac	cognac
cognate	Anarana iombonana
cognition	cognition
cognitive	fandroson'ny ara-pahalalana
cohabitation	tokantrano maso
coherence	coherence
coherent	maharesy lahatra
cohesion	cohesion
cohesive	mampivondrona
cohort	andiana miaramila
coil	coil
coiled	mihorongorona
coin	vola madinika
coinage	coinage
coincide	hifanitsy
coincidence	kisendrasendra
coincident	coincident
coincidental	kisendrasendra
coinciding	nifanindry
coke	Coke
cola	Cola
cold	hatsiaka
coldly	hentitra loatra koa anefa
coldness	coldness
coldsweat	NO TRANSLATION
coleslaw	coleslaw
colic	colic
coliseum	Coliseum
collaborate	miara-miasa
collaboration	fiaraha-miasa
collaborator	mpiara-miasa
collage	namboariny
collagen	collagen
collapse	firodanan'ny
collar	vozon'akanjoko
collarbone	collarbone
collate	collate
collateral	niantoka
collation	collation
colleague	mpiara-miasa
collect	manangona
collected	nanangona
collection	famoriam-bola
collective	iombonana
collectively	miaraka
collector	hetra
college	oniversite
collegiate	Collegiate
collide	collide
collie	collie
collision	fifandonan'ny planeta
collocation	collocation
colloquial	: colloquial
collusion	tsikombakomba
cologne	Cologne
colon	Colon
colonel	Kolonely
colonial	fanjanahana
colonic	colonic
colonoscopy	colonoscopy
colony	zanatany
colophon	colophon
color	loko
coloration	coloration
colored	midorehitra
colorful	maro loko
coloring	fandokoana
colorless	colorless
colors	loko
colossal	goavam
colt	zana-boriky
columbine	Columbine
column	tsanganana
columnar	columnar
columnist	mpanoratra an-gazety
com	NO TRANSLATION
coma	nahatsiaro tena
comatose	comatose
comb	comb
combat	ady
combatant	mpiady
combative	combative
combination	mitambatra
combinatorial	combinatorial
combine	manambatra ny
combined	atambatra
combo	combo
combustible	combustible
combustion	setroka
come	ho avy
comeback	Miverena
comedian	mpanao hatsikana
comedy	hatsikana
comet	comet
comfort	fampiononana
comfortable	aina
comforter	Mpampionona
comforting	mampahery
comfy	comfy
comic	tantara an-tsary
comical	mampihomehy
comics	Comics
coming	ho avy
comma	faingo
command	didy
commandant	komandà,
commandeer	commandeer
commander	mpitari-tafika
commanding	nandidy
commandment	didy
commando	commando
commemorate	fahatsiarovana
commemoration	fankalazana
commemorative	fahatsiarovana
commence	manomboka
commend	teny fiderana
commendable	-piderana
commendation	fiderana
commensurate	commensurate
comment	fanehoan-kevitra
commentary	fanehoan-kevitra
commentator	mpaneho hevitra
commerce	varotra
commercial	ara-barotra
commie	commie
commissary	commissary
commission	asa nanirahana
commissioner	Kaomisera
commit	manao
commitment	fanoloran-tena
committal	committal
committed	nanao
committee	komity
commodity	entam-barotra
commodore	Commodore
common	iombonana
commoner	commoner
commonly	mahazatra
commonplace	mahazatra
commons	Commons
commonwealth	Commonwealth
commotion	tabataba
communal	kaominina
commune	commune
communicable	communicable
communicate	mampita
communication	fifandraisana
communicative	fifandraisana
communicator	Hifampiresaka
communion	fiombonana
communism	kominisma
communist	kaomionista
community	fiaraha-monina
commutation	commutation
commutative	commutative
commute	niraharaha
commuter	commuter
comp	Comp
compact	mitambatra
compaction	compaction
compactness	compactness
companion	mpiara-mitory
companionless	companionless
companionship	namana
company	orinasa
comparable	mitovy
comparative	fampitahana
comparatively	azo lazaina
compare	mampitaha
comparison	fampitahana
compartment	mampitohy
compass	manodidina
compassion	fangoraham-po
compassionate	fangorahana
compatibility	mifanentana
compatible	mifanaraka
compel	hanery
compelled	noterena
compelling	maharesy lahatra
compendium	famintinana
compensate	hanonitra
compensation	onitra
compensatory	fanonerana izany
compete	hifaninana
competence	fahaizana
competency	fahaiza-
competent	mahefa
competition	fifaninanana
competitive	mifaninana
competitor	mpifaninana
compilation	fanangonana
compile	manangona
complacency	niraika
complacent	afa-po
complain	hitaraina
complaint	fitarainana
complement	famenon'ny
complementary	mifameno
complete	feno
completed	vita ny
completely	tanteraka
completeness	feno
completing	nahavita
completion	vita
complex	sarotra
complexed	complexed
complexion	endrika
complexity	pitsiny
compliance	fanajana
compliant	mifanaraka tsara
complicate	manasarotra
complicated	sarotra
complication	olana anefa
complicity	firaisana tsikombakomba
compliment	NO TRANSLATION
complimentary	fiderana
comply	hanaraka
complying	mifanaraka
compo	compo
component	singa fototra
compose	compose
composed	ahitana
composer	mpamoron-kira
composite	ankapobeny
composition	fifehezan
compost	zezika
composure	tony
compound	iombonana amin'ny
comprehend	mahatakatra
comprehension	fahazavan-
comprehensive	feno
compress	hamintinana ireo
compressed	Compressed
compressible	compressible
compression	famatrarana
compressor	compressor
comprise	ahitana
compromise	marimaritra iraisana
comptroller	comptroller
compulsion	tery
compulsive	compulsive
compulsory	maintsy
computable	computable
computation	computation
compute	compute
computer	solosaina
computerized	ordinatera
computing	computing
comrade	comrade
con	NO TRANSLATION
concatenation	concatenation
concave	concave
conceal	hanafina
concealed	miafina
concealment	fanafenana
concede	miaiky
conceit	ho hendry
conceited	mieboebo
conceivable	heritreretina koa
conceive	Torontoronina
concentrate	mifantoka
concentration	fitanana
concentric	concentric
concept	foto-kevitra
conception	torontoronina
concern	olana
concerned	voakasik'izany
concert	fampisehoana
concerto	concerto
concession	namelan'i
concessional	concessional
conch	anjombony
concierge	concierge
conciliation	conciliation
concise	fohy
conclave	conclave
conclude	milaza
concluding	famaranana
conclusion	famaranana
conclusive	kevitra
concoction	concoction
concomitant	concomitant
concord	ifanarahan'i
concordance	fizahan-teny
concours	NO TRANSLATION
concourse	concourse
concrete	simenitra
concubine	vaditsindranon'i
concur	concur
concurrence	mifanaiky
concurrent	concurrent
concurring	concurring
concussion	concussion
condemn	manameloka
condemnation	fanamelohana
condensation	condensation
condensed	Voafintina
condescending	Miondrika
condescension	fiambanian
condiment	condiment
condition	toe-javatra
conditional	fepetra
conditionally	fepetra
conditioned	miankina
conditioner	-javatra mampahalefaka
conditioning	pana
conditions	toe-javatra
condo	condo
condolence	fampiononana
condolences	fiaraha-miory
condom	fimailo
condone	Nanala Tsiny
condor	Condor
conducive	sahaza
conduct	fitondran-tena
conduction	conduction
conductivity	conductivity
conductor	mpitarika
conduit	lakan-drano
cone	cone
confederacy	tetika fikomiana
confederate	mpihavana
confederation	Confederation
confer	manome
conference	amin 'ny Conference
confess	manaiky
confession	fiaiken-keloka
confessional	confessional
confessions	fitanisan-keloka
confetti	confetti
confidant	tsiambaratelony
confide	hamboraka
confidence	fahatokiana
confident	antoka
confidential	tsiambaratelo
confidentiality	tsiambaratelo
confidentially	NO TRANSLATION
configuration	fanahafana
confine	velively
confined	afa-miala
confinement	monina
confines	voatsapa
confirm	manamafy
confirmation	ny fandraisana ho mpikambana
confirmatory	confirmatory
confirmed	noraisina ho mpikambana
confiscate	haka
confiscation	keriny
conflagration	adin'ny
conflict	fifandirana
conflicting	mifanohitra
confluence	confluence
conform	mifanaraka
conformance	conformance
conformation	NO TRANSLATION
conformity	fanarahana
confound	hampahamenatra
confounded	mangaihay
confront	miatrika
confrontation	fifandonana
confuse	afangaro
confused	sahiran-tsaina
confusing	mampisafotofoto
confusion	fifanjevoana
conga	conga
congenial	nifanaraka
congenital	hatrany am-bohoka
congestion	fitohanana
conglomerate	fitambaran'ny
conglomeration	conglomeration
congrats	Arahabaina
congratulate	hiarahaba
congratulation	congratulation
congratulations	Arahabaina
congratulatory	fiarahabana
congregate	hivory
congregation	fiangonana
congress	Kongresy
congressional	Kongresy
congressman	kaongresy
congruence	congruence
conic	conic
conical	bongo
conjecture	ampianarin'ny
conjugal	panambadiana
conjugate	conjugate
conjugation	Conjugation
conjunction	mpampitohy
conjunctive	mpampitohy
conjure	amin'ny famakafakana lahatsoratra
conjuring	mba hiantsoana
conk	conk
connect	mifandray
connected	mifandray
connection	fifandraisana
connective	connective
connoisseur	connoisseur
conquer	mandresy
conquering	mandresy
conqueror	mpandresy
conquest	handresy
conscience	feon'ny fieritreretana
conscientious	feon'ny fieritreretany
conscious	mahatsiaro tena
consciousness	fahatsiarovan-tena
conscription	voantso ho
consecrated	voatokana
consecration	fanokanana
consecutive	misesy
consensual	ankilany
consensus	fifanarahana
consent	manaiky
consenting	nanaiky
consequence	vokatr'izany
consequent	vokatry
conservation	fiarovana ny tontolo iainana
conservatism	conservatism
conservative	mpandala ny mahazatra
conservatory	conservatory
conserve	hitahiry
consider	Diniho
considerable	be
considerate	fiheverana
consideration	fandinihana
consignee	olona andefasana entana
consignment	zato tany
consist	mifototra
consistency	tapaka
consistent	miovaova
consolation	fampiononana
console	hampionona
consoled	nampionona
consolidate	manamafy orina
consolidated	mivaingana
consolidation	fanamafisana
consonant	consonant
consort	vadin'ny
conspicuous	miharihary
conspiracy	niray tetika
conspirator	conspirator
conspire	tetika
constable	Constable
constancy	tapaka
constant	foana
constantly	foana
constellation	atonton-kintan'i
consternation	consternation
constipation	fitohanana
constituency	Faripiadidiam-
constituent	Panorenana
constituents	mpifidy azy
constitute	dia maneho
constitution	lalam-panorenana
constitutional	lalàm-panorenana
constitutionality	constitutionnalité
constrain	no manery
constrained	tery
constraint	-tery
construct	hanorina
construction	construction
constructive	mahasoa
construe	construe
consul	Kaonsily
consulate	masoivoho
consult	maka hevitra
consultant	mpanolo-tsaina
consultation	fakan-kevitra
consume	lanin'ny
consumer	mpanjifa
consuming	mandevona
consummate	tanterak'i
consummation	consummation
consumption	fihinanana
contact	fifandraisana
contagion	areti-mifindra
contagious	areti-mifindra
contain	misy
container	fitoeran-javatra
containment	containment
contaminate	ho nitera-pahavoazana
contaminated	voaloto
contamination	fandotoana
contemplate	mieritreritra
contemplation	fibanjinana
contemplative	Manjary
contemporaneous	contemporaneous
contemporary	maoderina
contempt	fanamavoana
contemptible	tsinontsinona
contemptuous	contemptuous
contend	miady
contender	ka hiady
contending	niady
content	afa-po
contented	afa-po
contention	fifandirana
contentious	tia ady
contentment	afa-po
contents	Hevitra ato Anatiny
contest	fifaninanana
contestant	mpifaninana
context	teny manodidina
contiguous	contiguous
continence	continence
continent	kaontinanta
continental	Continental
contingency	ho foana
contingent	hiankina
continual	mandrakariva
continually	mandrakariva
continuance	fanohizana
continuation	fitohizan'ny
continue	hanohy
continued	foana
continuing	mitohy
continuity	fitohizan'ny
continuous	mitohy
continuously	hatrany
continuum	fitohi-
contour	contour
contraband	Contraband
contraception	fanabeazana aizana
contract	fifanarahana
contracted	fifanarahana
contractile	contractile
contracting	Arakaraka
contraction	Contraction
contractor	mpiantoka
contradict	mifanohitra
contradiction	mifanohitra
contradictory	mifanohitra
contraption	contraption
contrary	mifanohitra
contrast	mifanohitra
contrasted	mifanohitra
contravene	mandika ny
contravention	izany tsy
contribute	mandray anjara
contribution	fandraisana anjara
contributor	mpiara-miasa
contrite	manenina
contrition	fanenenana
contrived	sarintsariny
control	fanaraha-maso
controller	-maso
controlling	mifehy
controversial	mahabe resaka
controversy	adihevitra
contusion	contusion
conundrum	conundrum
convalescent	convalescent
convection	convection
convene	nivory
convenience	tsy hanahirana
conveniences	mampiadana
convenient	mety
convent	drelijiozy
convention	fivoriambe
conventional	mahazatra
converge	converge
convergence	convergence
convergent	convergent
conversant	conversant
conversation	resaka
conversational	miresaka
conversationalist	conversationalist
converse	miresaka
conversing	niresaka
conversion	fiovam-po
convert	niova fo
converted	niova fo
convertible	convertible
convex	convex
convexity	convexity
convey	mampita
conveyance	pitaterana
conveyancing	conveyancing
convict	voaheloka
conviction	faharesen-dahatra
convince	handresy lahatra
convinced	resy lahatra
convincing	mandresy lahatra
convocation	fivoriana
convoluted	convoluted
convolution	convolution
convoy	fiara
coo	nitoloko
cook	mahandro
cookbook	Cookbook
cooker	cooker
cookery	cookery
cookie	mofomamy
cookies	mofomamy
cooking	mahandro sakafo
cookout	cookout
cool	mangatsiatsiaka
coolant	coolant
cooler	mangatsiaka kokoa
cooling	hihena
coolness	coolness
coon	Coon
coop	tranon'akoho
cooperate	miara-miasa
cooperating	miara-miasa
cooperation	fiaraha-miasa
cooperative	fiaraha-miasa
coordinate	mandrindra
coordination	fandrindrana
coordinator	mpandrindra
cop	polisy
copacetic	NO TRANSLATION
cope	hiatrika
copier	copier
copilot	copilot
coping	miatrika
copious	copious
copper	varahina
copter	copter
copy	dika mitovy
copycat	copycat
copying	kopia
copyright	Copyright
coral	haran-dranomasina
coral snake	karaoke snake
cord	tady
cordial	sariaka
cordless	cordless
cordon	Cordon
corduroy	corduroy
core	fototra
cork	bosoa
corkscrew	corkscrew
corn	katsaka
cornball	cornball
cornbread	cornbread
cornea	cornea
corned	corned
corner	zoro
cornerstone	vato fehizoro
cornet	anjomara
cornfield	katsaka
cornflakes	NO TRANSLATION
cornice	cornice
cornstarch	cornstarch
corny	corny
corollary	corollary
corona	Corona
coronary	mpanelira
coronation	nanosotra
coroner	coroner
corporal	Corporal
corporate	orinasa
corporation	orinasa
corporeal	batana
corps	Corps
corpse	faty
corpsman	corpsman
corpus	Corpus
corral	corral
correct	marina
correction	fanitsiana
correctional	correctional
corrective	manitsy
correctness	correct
correlation	fifandraisany
correlative	correlative
correspond	mifanitsy
correspondence	taratasy avy amin '
correspondent	iraky
corresponding	mifandraika
corridor	lalantsara
corroborate	Manamarina an'izay
corroboration	fanamarinan'ny
corrosion	harafesiny
corrosive	manimba tsikelikely
corrupt	ratsy
corrupting	dratsy
corruption	kolikoly
corsage	corsage
corse	NO TRANSLATION
corset	corset
cortex	cortex
cortical	mpanentana cortico
cortisone	cortisone
corvette	corvette
cosmetic	tarehy
cosmetics	makiazy
cosmic	cosmic
cosmology	mpandinika
cosmopolitan	cosmopolitan
cosmos	tontolo izao voarindra
cost	vidin'ny
costly	lafo vidy
costume	akanjo
cosy	Cozy
cot	fandriana
cote	Cote
cottage	trano rantsan-kazo
cotton	landihazo
couch	fandriana
cougar	cougar
cough	mikohaka
council	filan-kevitra
councilman	mpanorotsaina monisipaly
counsel	torohevitra
counseling	torohevitra
counsellor	mpanolo-tsaina
counselor	mpanolo-tsaina
count	manisa
countdown	Countdown
countenance	tarehy
counter	by MediaWiki
counteract	manohitra
counterattack	setrin'izany
counterbalance	hanonerana
counterclaim	counterclaim
counterfeit	sandoka
counterpart	mifanitsy
counterpoint	counterpoint
countess	countess
countless	maro
country	firenena
countryman	any ambanivohitra
countrymusic	NO TRANSLATION
countryside	ambanivohitra
counts	fanisana
county	County
coup	fanonganam-panjakana
coupe	Coupe
couple	mpivady
coupled	navitrany
coupling	efa voavitrana
coupon	tapakila
courage	herim-po
courageous	be herim-po
courier	iraka
courses	antokony
coursing	coursing
court	fitsarana
courteous	nahalala fomba
courtesy	fahalalam-pomba
courthouse	fitsarana
courtroom	fitsarana
courts	fitsarana
courtship	fiarahana
courtside	courtside
courtyard	kianja
cousin	mpiray tam-po
cousins	havany
cove	Cove
coven	coven
covenant	fanekempihavanana
cover	fonony
coverage	fandrakofana
covered	nandrakotra
covering	mandrakotra
covert	fierena
covet	mitsiriritra
coveted	notsiriritiny fatratra
cow	ombivavy
coward	kanosa
cowardice	kanosa
cowardly	kanosa
cowboy	Cowboy
cowgirl	cowgirl
cowhand	cowhand
cowhide	cowhide
cowl	cowl
coworker	mpiara-miasa
coy	mody saro-kenatra
coyote	coyote
cozy	Cozy
crab	drakaka
crabby	crabby
crack	mitresaka
cracked	vaky
cracker	cracker
crackerjack	crackerjack
cracking	famoretana
crackle	crackle
crackpot	crackpot
cradle	fandrian-jaza
craft	asa tanana
crafts	asa-tanana
craftsman	mpanao asa tanana
craftsmanship	asa tanana
crafty	fetsy
craig	Craig
cram	nifanizina
crammed	nifanizina
cramp	cramp
cramped	ety
cranberry	canneberge
cranberry juice	cranberry juice
crane	vanobe koa samy
cranial	cranial
cranium	cranium
crank	crank
cranky	cranky
cranny	cranny
crap	misy dikany izany
crappy	crappy
craps	craps
crash	fianjerana
crass	crass
crate	entana feno
crater	vava volkano
crave	mitady mafy
craving	faniriany
crawfish	crawfish
crawl	mandady
crayon	crayon
crayons	pensilihazo
craze	firohotana
crazed	adalana
craziness	craziness
crazy	adala
creak	creak
creaking	creaking
cream	fanosotra
creamed	creamed
creamer	creamer
creamy	creamy
crease	crease
create	mamorona
creation	zavaboary
creative	famoronana
creativity	famoronana
creator	mpamorona
creature	zavaboary
credence	hino
credential	fanomezan-dalana
credentials	Syndicate
credibility	fitokisana
credible	azo itokisana
credit	bola
credit card	carte de crédit
creditable	creditable
credited	voalaza
crediting	noderainy i
creditor	Ny tompon-trosa
creed	fanekem-pinoana
creek	Creek
creep	mikisaka
creeper	creeper
creeping	mandady
creepy	hafahafa
cremation	fandoroana faty
creole	Creole
crepe	crepe
crescendo	crescendo
crescent	Crescent
crest	crest
crestfallen	crestfallen
cretin	cretin
cretins	cretins
crevice	crevice
crew	tantsambo
crewman	crewman
crib	fihinanam-bilon'ny
cricket	lalao cricket
cried	niantso
crime	heloka bevava
criminal	mpanao heloka bevava
criminality	heloka bevava
crimp	crimp
crimson	jaky
cringe	Nandresy ny tahotra
cripple	takaitra
crippled	mandringa
crippling	halemen'ny
crisis	krizy
crisp	miavaka
crispy	crispy
criterion	fepetra
critic	mpanao tsikera
critical	manakiana
criticise	manakiana
criticism	tsikera
criticize	manakiana
criticized	nanakiana
critique	fanakianana
critter	critter
croak	croak
croc	Croc
crock	crock
crockery	vilia
crocodile	voay
croft	Croft
croissant	Croissant
crook	Crook
crooked	mahitsy
crop	crop
croquet	croquet
cross	hiampita
cross country	mitety ny lafivalon'ny firenena
crossbow	fandefasana
crossed	niampita
crossfire	fifampitifirana
crossing	niampita
crossover	crossover
crosswalk	crosswalk
crossword	Fantatrao
crotch	crotch
crouch	Crouch
crouched	nitampify
crouching	mamitsaka eo
croupier	croupier
crow	crow
crowbar	fitaovana izy
crowd	vahoaka
crowded	feno
crowds	vahoaka
crown	satro-boninahitra
crowning	avo indrindra amin'ny
crucial	zava-dehibe
cruciate	cruciate
crucifix	hazo fijaliana
crucifixion	fanomboana
crucify	homboy amin'ny hazo fijaliana
crud	crud
crude	hiteny ratsy
cruel	lozabe
cruelly	nanaovany
cruelty	habibiana
cruise	Cruise
cruise ship	sambo lakile
cruiser	Cruiser
cruising	cruising
crumb	Crumb
crumble	hirodana
crumbling	korontam
crummy	crummy
crunch	crunch
crunchy	manopy
crusade	Kroazada
crusader	crusader
crush	hanorotoro
crushed	nanorotoro
crusher	crusher
crushing	nanorotoro
crust	Mizarazara ho sosona nofon
crusty	crusty
crutch	tehina
crux	crux
cry	antso
crybaby	crybaby
crying	mitomany
crypt	Crypt
cryptic	pantarina ny dikan'ireo
cryptography	Fifidianana Akama
crystal	ny vato krystaly
crystalline	manjelanjelatra.Mangatsakatsaka
crystallization	crystallization
cub	Cub
cubby	cubby
cube	goba
cubic	toratelo
cubicle	cubicle
cuckold	cuckold
cuckoo	cuckoo
cucumber	kaokaombira
cuddle	hamihina
cuddled	cuddled
cuddles	cuddles
cuddling	cuddling
cue	cue
cuff	Cuff
cuisine	nahandro
culinary	culinary
cull	cull
culminate	hifarana
culmination	faratampony
culpability	-meloka
culpable	Meloka
culprit	meloka
cult	sekta
cultivate	mamboly
cultivated	ambolena
cultivation	fambolena
cultural	ara-kolontsaina
culture	kolontsaina
cultured	cultured
culvert	culvert
cumbersome	cumbersome
cumulus	cumulus
cunning	fetsy
cunt	cunt
cup	kapoaka
cupboard	cupboard
cupcake	mofomamy kely
cupping	cupping
cur	ank
curable	afaka manasitrana azy
curate	curate
curative	mahasalama
curator	mpiandraikitra
curb	hampihenana
curd	curd
cure	fanafodiny
curfew	fahazoana mivezivezy amin'ny alina
curiosity	te hahafanta-javatra
curious	liana
curl	Curl
curling	Curling
currency	Sandam-bola
current	amin'izao fotoana izao
curriculum	fandaharam-pianarana
curry	Curry
curse	ozona
cursed	voaozona
cursing	ozona
cursory	cursory
curt	Curt
curtail	satria irin'izy
curtailment	famefena
curtain	lamba
curtains	ambainy
curtsy	curtsy
curvature	curvature
curve	curve
curved	curved
curvilinear	curvilinear
cushion	lafika
cushy	Kosita
cusp	cusp
cuss	cuss
cussed	cussed
custard	custard
custodial	ponja
custodian	mpitahiry
custody	am-ponja
custom	fanao
customary	fomba nentim-paharazana
customer	mpanjifa
customized	namboarina
cut	Hetezo
cutaneous	cutaneous
cute	mahafatifaty
cuticle	cuticle
cutie	cutie
cutlass	cutlass
cutlery	cutlery
cutoff	hanapaka
cutter	cutter
cutters	mpikapa
cutthroat	maty eritreritra
cutting	fanapahana
cutting board	peta-drindrina
cuttings	hitetika
cwt	cwt
cyanide	cyanide
cyberspace	amin'ny Internet
cycle	tsingerin'ny
cyclical	Averimberina
cyclist	hazakazaka am-bisikileta
cyclone	rivo-doza
cylinder	Varingarin'i
cylindrical	cylindrical
cymbal	sy kipantsona
cynic	cynic
cynical	tsy matoky
cynicism	cynicism
cyst	kista
cystic	cystic
cytomegalovirus	cytomegalovirus
cytoplasm	cytoplasm
czar	tsar
dab	dab
dabble	dabble
dabbling	ve ny Mitsabaka
dad	Dada
daddy	Daddy
dado	NO TRANSLATION
daemon	daemon
daft	Daft
dagger	sabatra
daily	isan'andro
dainty	hanim
daiquiri	daiquiri
dairy	ronono
daisy	Daisy
dak	NO TRANSLATION
dale	Dale
dam	tohodrano
damage	fahavoazana
damaged	simba
damages	fahavoazana
dame	Dame
damn	Tss
damnation	fanamelohana
damned	voaozona
damp	mando
dampened	nampihena
damper	damper
damsel	zazavavy
dance	dihy
dancer	mpandihy
dancing	dihy
dandruff	dandruff
dandy	Dandy
danger	Loza
dangerous	mampidi-doza
dangerously	doza
dangit	NO TRANSLATION
dangle	dangle
dank	NO TRANSLATION
dapper	dapper
dare	sahy
daredevil	daredevil
daresay	daresay
daring	sahisahy
