Word	ca
classmate	company de classe
classroom	aula
classy	amb classe
clatter	clatter
clause	clàusula
clauses	clàusules
claustrophobia	claustrofòbia
claustrophobic	claustrofòbic
clavicle	clavícula
claw	urpa
claws	arpes
clay	argila
clean	net
cleaner	netejador
cleaning	neteja
cleanliness	neteja
cleanly	net
cleanse	netejar
cleanser	netejador
cleansing	neteja
cleanup	netejar
clear	clar
clearance	aclariment
clearing	aclariment
clearness	claredat
cleat	mordassa
cleavage	escot
cleave	adherir-se
cleaver	cleaver
clef	clef
cleft	fissura
clemency	clemència
clench	clench
clergy	clergat
clergyman	clergue
cleric	clergue
clerical	clerical
clerk	empleat
clerkship	secretari
clever	intel·ligent
cleverness	intel·ligència
click	feu clic a
clicker	clic
client	client
clientele	clientela
cliff	penya-segat
climate	clima
climatology	climatologia
climax	clímax
climb	escalar
climber	escalador
clinch	aconseguir
cling	enganxar
clingy	clingy
clinic	clínica
clinical	clínic
clink	clink
clip	clip
clipboard	portapapers
clipper	Clipper
clipping	retallada
clique	NO TRANSLATION
clitoris	clitoris
cloak	capa
cloaking	encobriment
cloakroom	guarda-roba
clobber	clobber
clock	rellotge
clockwork	rellotgeria
clod	clod
clog	obstruir
cloister	claustre
clone	clon
cloning	clonació
close	a prop
closed	tancat
closeness	proximitat
closet	armari
closure	tancament
clot	coàgul
cloth	tela
clothe	vestir
clothes	roba
clothesline	estenedor
clothing	roba
cloud	núvol
clouded	ennuvolat
cloudiness	núvols
clouds	núvols
cloudy	ennuvolat
clout	influència
clove	clau
clover	trèvol
cloves	claus
clown	pallasso
clowns	pallassos
club	club
clubhouse	casa club
clubs	clubs
cluck	cluck
clue	pista
clueless	despistada
clump	grup
clumsy	torpe
clunk	clunk
cluster	clúster
clutch	embragatge
clutches	embragatges
clutter	desordre
coach	entrenador
coachman	cochero
coagulation	coagulació
coal	carbó
coalesce	coalesce
coalition	coalició
coarse	tosca
coast	Costa
coastal	litoral
coaster	muntanya russa
coastline	litoral
coat	abric
coating	revestiment
coax	coaxial
cobalt	cobalt
cobble	cobble
cobbler	sabater
cobra	cobra
cocaine	cocaïna
cock	polla
cockamamie	cockamamie
cockeyed	cockeyed
cockpit	cabina
cockroach	panerola
cocksucker	cocksucker
cocktail	còctel
cocky	engreixat
cocoa	cacau
coconut	coco
cocoon	capoll
cod	bacallà
code	codi
codeine	codeïna
codex	codex
codfish	bacallà
codification	codificació
codify	codificar
coding	codificació
coed	coed
coefficient	coeficient
coerce	coaccionar
coercion	coerció
coercive	coercitiu
coexist	coexistir
coexistence	coexistència
coexisting	coexistint
coffee	cafè
coffee table	taula de cafè
coffeehouse	cafeteria
coffeepot	cafetera
coffin	sarcòfag
cog	enginy
cogent	còmode
cognac	conyac
cognate	Cognat
cognition	cognició
cognitive	cognitiu
cohabitation	cohabitació
coherence	coherència
coherent	coherent
cohesion	cohesió
cohesive	cohesiu
cohort	cohort
coil	bobina
coiled	enrotllat
coin	moneda
coinage	monedes
coincide	coincideix
coincidence	coincidència
coincident	coincident
coincidental	coincidental
coinciding	coincidint
coke	coque
cola	cola
cold	fred
coldly	fredament
coldness	fredor
coldsweat	NO TRANSLATION
coleslaw	col
colic	còlic
coliseum	coliseu
collaborate	col·laborar
collaboration	col·laboració
collaborator	col·laborador
collage	collage
collagen	col.lagen
collapse	col.lapse
collar	collaret
collarbone	clavícula
collate	cotitzar
collateral	col · lateral
collation	col · lació
colleague	col.lega
collect	recollir
collected	recollit
collection	col · lecció
collective	col·lectiu
collectively	col·lectivament
collector	col·lector
college	universitat
collegiate	col·legiada
collide	xocar
collie	collie
collision	col.lisió
collocation	col·locació
colloquial	col·loquial
collusion	col · lusió
cologne	colònia
colon	còlon
colonel	coronel
colonial	colonial
colonic	colònic
colonoscopy	colonoscòpia
colony	colònia
colophon	colofó
color	color
coloration	coloració
colored	de colors
colorful	colorit
coloring	colorant
colorless	incolor
colors	colors
colossal	colossal
colt	colt
columbine	columbine
column	columna
columnar	columnar
columnist	columnista
com	NO TRANSLATION
coma	coma
comatose	comatose
comb	pentinat
combat	combat
combatant	combatent
combative	combativa
combination	combinació
combinatorial	combinatòria
combine	combinar
combined	combinat
combo	combo
combustible	combustible
combustion	combustió
come	veniu
comeback	Torna
comedian	comediant
comedy	comèdia
comet	cometa
comfort	confort
comfortable	còmode
comforter	consolador
comforting	reconfortant
comfy	còmode
comic	còmic
comical	còmic
comics	comics
coming	arribant
comma	coma
command	comandament
commandant	comandant
commandeer	commandeer
commander	comandant
commanding	comandant
commandment	manament
commando	comando
commemorate	commemorar
commemoration	commemoració
commemorative	commemoratiu
commence	comença
commend	felicitar
commendable	encomiable
commendation	comanda
commensurate	proporcional
comment	comentar
commentary	comentari
commentator	comentarista
commerce	comerç
commercial	comercial
commie	commie
commissary	comissari
commission	comissió
commissioner	comissari
commit	cometre
commitment	compromís
committal	comprometre
committed	compromès
committee	comitè
commodity	mercaderia
commodore	commodore
common	comú
commoner	plebeu
commonly	comunament
commonplace	lloc comú
commons	commons
commonwealth	commonwealth
commotion	commoció
communal	comunal
commune	comuna
communicable	comunicable
communicate	comunicar-se
communication	comunicació
communicative	comunicatiu
communicator	comunicador
communion	comunió
communism	comunisme
communist	comunista
community	comunitat
commutation	commutació
commutative	commutatiu
commute	commutar
commuter	de Rodalies
comp	comp
compact	compacte
compaction	compactació
compactness	compacitat
companion	company
companionless	sense acompanyants
companionship	companyonia
company	empresa
comparable	comparable
comparative	comparatiu
comparatively	comparativament
compare	comparar
comparison	comparació
compartment	compartiment
compass	brúixola
compassion	compassió
compassionate	compassiu
compatibility	compatibilitat
compatible	compatible
compel	obligar
compelled	obligat
compelling	convincent
compendium	compendio
compensate	compensar
compensation	compensació
compensatory	compensatori
compete	competir
competence	competència
competency	competència
competent	competent
competition	competició
competitive	competitiu
competitor	competidor
compilation	compilació
compile	compilar
complacency	complaença
complacent	complaent
complain	queixar-se
complaint	queixa
complement	complement
complementary	complementari
complete	complet
completed	completat
completely	completament
completeness	integritat
completing	completant
completion	finalització
complex	complex
complexed	complex
complexion	pell
complexity	complexitat
compliance	compliment
compliant	compatible
complicate	complicar
complicated	complicat
complication	complicació
complicity	complicitat
compliment	NO TRANSLATION
complimentary	gratuït
comply	complir
complying	complint
compo	comp
component	component
compose	compondre
composed	compost
composer	compositor
composite	composite
composition	composició
compost	compost
composure	compost
compound	compost
comprehend	comprendre
comprehension	comprensió
comprehensive	complet
compress	comprimir
compressed	comprimit
compressible	compressible
compression	compressió
compressor	compressor
comprise	formen part
compromise	compromís
comptroller	contralor
compulsion	compulsió
compulsive	compulsiu
compulsory	obligatori
computable	computable
computation	computació
compute	calcular
computer	ordinador
computerized	informatitzat
computing	informàtica
comrade	camarada
con	NO TRANSLATION
concatenation	concatenació
concave	còncava
conceal	ocultar
concealed	amagat
concealment	ocultació
concede	concedir
conceit	presumitiva
conceited	presumit
conceivable	imaginable
conceive	concebre
concentrate	concentrat
concentration	concentració
concentric	concèntric
concept	concepte
conception	concepció
concern	inquietud
concerned	preocupat
concert	concert
concerto	concert
concession	concessió
concessional	concessional
conch	cargol
concierge	conserge
conciliation	conciliació
concise	concisa
conclave	conclave
conclude	concloure
concluding	concloent
conclusion	conclusió
conclusive	concloent
concoction	recobriment
concomitant	concomitant
concord	concòrdia
concordance	concordança
concours	NO TRANSLATION
concourse	concurs
concrete	concret
concubine	concubina
concur	coincideix
concurrence	concurrència
concurrent	concurrent
concurring	concurrent
concussion	concussió
condemn	condemnar
condemnation	condemna
condensation	condensació
condensed	condensat
condescending	condescendent
condescension	condescension
condiment	condiment
condition	condició
conditional	condicional
conditionally	condicionalment
conditioned	condicionat
conditioner	condicionador
conditioning	condicionament
conditions	condicions
condo	condo
condolence	condol
condolences	condolences
condom	condó
condone	condonar
condor	condor
conducive	conducta
conduct	conducta
conduction	conducció
conductivity	conductivitat
conductor	conductor
conduit	conducte
cone	con
confederacy	Confederació
confederate	Confederat
confederation	confederació
confer	conferir
conference	conferència
confess	confessar
confession	confessió
confessional	confessional
confessions	confessions
confetti	confeti
confidant	confident
confide	Confieu
confidence	confiança
confident	confiat
confidential	confidencial
confidentiality	confidencialitat
confidentially	NO TRANSLATION
configuration	configuració
confine	confine
confined	confinat
confinement	confinament
confines	límits
confirm	confirma
confirmation	confirmació
confirmatory	confirmatori
confirmed	confirmat
confiscate	confiscar
confiscation	confiscació
conflagration	conflagració
conflict	conflicte
conflicting	conflictiu
confluence	confluència
conform	conformar
conformance	conformitat
conformation	NO TRANSLATION
conformity	conformitat
confound	confondre
confounded	confosos
confront	confrontar
confrontation	confrontació
confuse	confondre
confused	confós
confusing	confús
confusion	confusió
conga	conga
congenial	agradable
congenital	congènit
congestion	congestió
conglomerate	conglomerat
conglomeration	conglomeració
congrats	Felicitats
congratulate	felicito
congratulation	felicitació
congratulations	felicitacions
congratulatory	felicitacions
congregate	congregar
congregation	congregació
congress	congrés
congressional	congressional
congressman	congressista
congruence	congruència
conic	cònica
conical	cònica
conjecture	conjectura
conjugal	conjugal
conjugate	conjugar
conjugation	conjugació
conjunction	conjunció
conjunctive	conjuntiva
conjure	conjurar
conjuring	conjurant
conk	Conk
connect	connectar
connected	connectat
connection	connexió
connective	connectiu
connoisseur	coneixedor
conquer	conquerir
conquering	conquesta
conqueror	conqueridor
conquest	conquesta
conscience	consciència
conscientious	conscient
conscious	conscient
consciousness	consciència
conscription	conscripció
consecrated	consagrat
consecration	consagració
consecutive	consecutiu
consensual	consensual
consensus	consens
consent	consentiment
consenting	consentint
consequence	conseqüència
consequent	conseqüent
conservation	conservació
conservatism	conservadorisme
conservative	conservador
conservatory	conservatori
conserve	conservar
consider	considereu
considerable	considerable
considerate	considerat
consideration	consideració
consignee	destinatari
consignment	enviament
consist	consisteixen
consistency	consistència
consistent	consistent
consolation	consol
console	consola
consoled	consolada
consolidate	consolidar
consolidated	consolidat
consolidation	consolidació
consonant	consonant
consort	consort
conspicuous	conspicua
conspiracy	conspiració
conspirator	conspirador
conspire	conspié
constable	constable
constancy	constància
constant	constant
constantly	constantment
constellation	constel · lació
consternation	consternació
constipation	constipació
constituency	circumscripció electoral
constituent	constituent
constituents	constituents
constitute	constituir
constitution	constitució
constitutional	constitucional
constitutionality	constitucionalitat
constrain	restringir
constrained	restringit
constraint	restricció
construct	construir
construction	construcció
constructive	constructiu
construe	interpretar
consul	cònsol
consulate	Consolat
consult	consultar
consultant	consultor
consultation	consulta
consume	consumir
consumer	consumidor
consuming	consumint
consummate	consumat
consummation	consumació
consumption	consum
contact	contacte
contagion	contagi
contagious	contagiosa
contain	contenir
container	contenidor
containment	contenció
contaminate	contaminar
contaminated	contaminat
contamination	contaminació
contemplate	contemplar
contemplation	contemplació
contemplative	contemplatiu
contemporaneous	contemporani
contemporary	contemporani
contempt	menyspreu
contemptible	despreciable
contemptuous	despectiu
contend	contestar
contender	contendent
contending	contendent
content	contingut
contented	content
contention	contenció
contentious	controvertit
contentment	alegria
contents	continguts
contest	concurs
contestant	concursant
context	context
contiguous	contigus
continence	continència
continent	continent
continental	continental
contingency	contingència
contingent	contingent
continual	continu
continually	contínuament
continuance	continuïtat
continuation	continuació
continue	continueu
continued	va continuar
continuing	continuant
continuity	continuïtat
continuous	contínua
continuously	contínuament
continuum	continuum
contour	contorn
contraband	contraban
contraception	contracepció
contract	contracte
contracted	contractat
contractile	contràctil
contracting	contractació
contraction	contracció
contractor	contractista
contradict	contradiu
contradiction	contradicció
contradictory	contradictori
contraption	contracepció
contrary	al contrari
contrast	contrast
contrasted	contrastada
contravene	contravenen
contravention	contravenció
contribute	contribueix
contribution	aportació
contributor	col·laborador
contrite	Contrite
contrition	contrició
contrived	ideat
control	control
controller	controlador
controlling	controlant
controversial	controvertit
controversy	controvèrsia
contusion	contusió
conundrum	enigma
convalescent	Convalescents
convection	convecció
convene	convocar
convenience	comoditat
conveniences	comoditats
convenient	convenient
convent	convent
convention	Convenció
conventional	convencional
converge	convergir
convergence	convergència
convergent	convergent
conversant	conversant
conversation	conversa
conversational	conversacional
conversationalist	conversador
converse	conversar
conversing	conversant
conversion	conversió
convert	convertir
converted	convertit
convertible	convertible
convex	convex
convexity	convexitat
convey	transmetre
conveyance	transport
conveyancing	transferència de material
convict	condemnat
conviction	convicció
convince	convencer
convinced	convençut
convincing	convincent
convocation	convocatòria
convoluted	complicat
convolution	convolució
convoy	comboi
coo	coo
cook	cuinar
cookbook	llibre de cuina
cooker	cuina
cookery	cuina
cookie	galeta
cookies	galetes
cooking	cuinar
cookout	cookout
cool	guai
coolant	refrigerant
cooler	més fresc
cooling	refredament
coolness	frescor
coon	coon
coop	coop
cooperate	cooperar
cooperating	cooperant
cooperation	cooperació
cooperative	cooperativa
coordinate	coordinar
coordination	coordinació
coordinator	coordinador
cop	policia
copacetic	NO TRANSLATION
cope	fer front
copier	fotocopiadora
copilot	copilot
coping	fer front
copious	abundant
copper	coure
copter	helicòpter
copy	copiar
copycat	copycat
copying	copiar
copyright	copyright
coral	coral
coral snake	serp de corall
cord	cable
cordial	cordial
cordless	sense cable
cordon	Cordon
corduroy	pana
core	nucli central
cork	suro
corkscrew	llevataps
corn	blat de moro
cornball	Cornball
cornbread	pa de motlle
cornea	còrnia
corned	corned
corner	cantonada
cornerstone	pedra angular
cornet	Cornet
cornfield	camp de blat de moro
cornflakes	flocs de blat de moro
cornice	cornisa
cornstarch	midó de blat de moro
corny	còlic
corollary	corol·lari
corona	corona
coronary	coronària
coronation	coronació
coroner	coroner
corporal	corporal
corporate	corporatiu
corporation	corporació
corporeal	corpori
corps	corps
corpse	cadàver
corpsman	corpsman
corpus	corpus
corral	corral
correct	correcte
correction	correcció
correctional	correccional
corrective	corrector
correctness	correcció
correlation	correlació
correlative	correlatiu
correspond	correspondre
correspondence	correspondència
correspondent	corresponsal
corresponding	corresponent
corridor	passadís
corroborate	corroborar
corroboration	corroboració
corrosion	corrosió
corrosive	corrosiu
corrupt	corrupte
corrupting	corrompido
corruption	corrupció
corsage	corsage
corse	NO TRANSLATION
corset	corset
cortex	córtex
cortical	cortical
cortisone	cortisona
corvette	Corbeta
cosmetic	cosmètic
cosmetics	cosmètica
cosmic	còsmic
cosmology	cosmologia
cosmopolitan	cosmopolita
cosmos	cosmos
cost	cost
costly	costós
costume	disfressa
cosy	acollidor
cot	bressol
cote	cote
cottage	casa de camp
cotton	cotó
couch	sofà
cougar	puma
cough	tos
council	consell
councilman	regidor
counsel	Consell
counseling	assessorament
counsellor	conseller
counselor	conseller
count	comptar
countdown	compte enrere
countenance	rostre
counter	comptador
counteract	contrarrestar
counterattack	contraatac
counterbalance	contrapès
counterclaim	reconvenció
counterfeit	falsificació
counterpart	contrapart
counterpoint	contrapunt
countess	comtessa
countless	innombrables
country	país
countryman	paisà
countrymusic	NO TRANSLATION
countryside	camp
counts	compte
county	comtat
coup	cop d'estat
coupe	coupe
couple	parella
coupled	acoblat
coupling	acoblament
coupon	cupó
courage	valentia
courageous	valent
courier	missatger
courses	cursos
coursing	corrent
court	tribunal
courteous	cortès
courtesy	cortesia
courthouse	jutjat
courtroom	sala d'audiències
courts	tribunals
courtship	festeig
courtside	courtside
courtyard	pati
cousin	cosí
cousins	cosins
cove	Cala
coven	coven
covenant	pacte
cover	portada
coverage	cobertura
covered	cobert
covering	cobrint
covert	encoberta
covet	cobert
coveted	cobejat
cow	vaca
coward	covard
cowardice	covardia
cowardly	covard
cowboy	vaquer
cowgirl	cowgirl
cowhand	cowhand
cowhide	cowhide
cowl	capota
coworker	company de feina
coy	boig
coyote	coiot
cozy	acollidor
crab	cranc
crabby	crabby
crack	crack
cracked	esquerdat
cracker	cracker
crackerjack	crackerjack
cracking	esquerdes
crackle	cruixit
crackpot	crackpot
cradle	bressol
craft	artesania
crafts	artesanies
craftsman	artesà
craftsmanship	artesania
crafty	astut
craig	craig
cram	cram
crammed	amuntegats
cramp	rampa
cramped	estret
cranberry	nabiu de grua
cranberry juice	suc de nabiu
crane	grua
cranial	cranial
cranium	crani
crank	maneta
cranky	cruixent
cranny	cranny
crap	merda
crappy	boig
craps	dits
crash	falla
crass	crass
crate	calaix
crater	cràter
crave	anhela
craving	anhel
crawfish	llagosta
crawl	gatejar
crayon	llapis de color
crayons	llapis de colors
craze	maniobra
crazed	embogit
craziness	bogeria
crazy	boig
creak	crek
creaking	cruixit
cream	crema
creamed	crema
creamer	crema
creamy	cremós
crease	plec
create	crear
creation	creació
creative	creatiu
creativity	creativitat
creator	creador
creature	criatura
credence	credibilitat
credential	credencials
credentials	credencials
credibility	credibilitat
credible	creïble
credit	crèdit
credit card	targeta de crèdit
creditable	NO TRANSLATION
credited	acreditat
crediting	acreditació
creditor	creditor
creed	credo
creek	rierol
creep	arrossegar-se
creeper	enredadera
creeping	rastrero
creepy	horripilant
cremation	cremació
creole	crioll
crepe	crepe
crescendo	crescendo
crescent	creixent
crest	cresta
crestfallen	crescut
cretin	cretin
cretins	cretins
crevice	gespa
crew	tripulació
crewman	tripulant
crib	bressol
cricket	cricket
cried	va plorar
crime	crim
criminal	criminal
criminality	criminalitat
crimp	crimp
crimson	carmesí
cringe	encongir-se
cripple	parapleja
crippled	paralitzat
crippling	trencant
crisis	crisi
crisp	cruixent
crispy	cruixent
criterion	criteri
critic	crític
critical	crític
criticise	criticar
criticism	crítica
criticize	criticar
criticized	criticat
critique	crítica
critter	Critter
croak	croak
croc	Croc
crock	crock
crockery	vaixella
crocodile	cocodril
croft	Croft
croissant	croissant
crook	lladre
crooked	tortuós
crop	cultiu
croquet	croquet
cross	creu
cross country	camps a través
crossbow	ballesta
crossed	creuat
crossfire	foc creuat
crossing	creuant
crossover	crossover
crosswalk	cruce de vianants
crossword	mots encreuats
crotch	entrepierna
crouch	agachar
crouched	ajupit
crouching	ajupit
croupier	croupier
crow	Corb
crowbar	palanca
crowd	multitud
crowded	ple de gent
crowds	multituds
crown	corona
crowning	coronació
crucial	crucial
cruciate	creuat
crucifix	crucifix
crucifixion	crucifixió
crucify	crucificar
crud	cru
crude	cru
cruel	cruel
cruelly	cruelmente
cruelty	crueltat
cruise	creuer
cruise ship	creuer
cruiser	creuer
cruising	creuer
crumb	molla
crumble	desmoronar
crumbling	esmicolant
crummy	cruel
crunch	cruixit
crunchy	cruixent
crusade	croada
crusader	creuat
crush	aixafar
crushed	aixafat
crusher	trituradora
crushing	aixafament
crust	escorça
crusty	cruixent
crutch	muleta
crux	crux
cry	plorar
crybaby	cribaby
crying	plorant
crypt	cripta
cryptic	críptic
cryptography	criptografia
crystal	vidre
crystalline	cristal·lí
crystallization	cristal·lització
cub	cachorro
cubby	cubby
cube	cub
cubic	cúbic
cubicle	cubicle
cuckold	corbates
cuckoo	cucut
cucumber	cogombre
cuddle	abraçar
cuddled	abraçat
cuddles	abraçades
cuddling	abraçant
cue	cue
cuff	puny
cuisine	cuina
culinary	culinari
cull	recolliment
culminate	culminar
culmination	culminació
culpability	culpabilitat
culpable	culpable
culprit	culpable
cult	culte
cultivate	conrear
cultivated	cultivat
cultivation	cultiu
cultural	cultural
culture	cultura
cultured	culte
culvert	culvert
cumbersome	engorrosa
cumulus	cúmuls
cunning	astúcia
cunt	boig
cup	tassa
cupboard	armari
cupcake	magdalena
cupping	cupping
cur	cur
curable	curable
curate	cura
curative	curatiu
curator	comissària
curb	frenar
curd	curd
cure	cura
curfew	toc de queda
curiosity	curiositat
curious	curiós
curl	curl
curling	curling
currency	moneda
current	actual
curriculum	currículum
curry	curri
curse	maledicció
cursed	Maleït
cursing	maleït
cursory	cursiva
curt	curt
curtail	reduir
curtailment	reducció
curtain	cortina
curtains	cortines
curtsy	curtsy
curvature	curvatura
curve	corba
curved	corb
curvilinear	curvilínia
cushion	coixí
cushy	Cushy
cusp	cúspide
cuss	cuss
cussed	cussed
custard	natilla
custodial	custodiada
custodian	custodio
custody	custòdia
custom	personalitzat
customary	consuetudinari
customer	client
customized	personalitzat
cut	tallar
cutaneous	cutani
cute	bonic
cuticle	cutícula
cutie	Cutie
cutlass	cutlass
cutlery	coberts
cutoff	tallar
cutter	tallador
cutters	maduixes
cutthroat	cutthroat
cutting	tall
cutting board	taula de tallar
cuttings	esqueixos
cwt	cwt
cyanide	cianur
cyberspace	ciberespai
cycle	cicle
cyclical	cíclic
cyclist	ciclista
cyclone	cicló
cylinder	cilindre
cylindrical	cilíndric
cymbal	címbalo
cynic	cínic
cynical	cínic
cynicism	cinisme
cyst	quist
cystic	quístic
cytomegalovirus	citomegalovirus
cytoplasm	citoplasma
czar	tsar
dab	dab
dabble	dabble
dabbling	dabbling
dad	pare
daddy	pare
dado	NO TRANSLATION
daemon	dimoni
daft	daft
dagger	daga
daily	diàriament
dainty	dolça
daiquiri	daiquiri
dairy	làctics
daisy	margarida
dak	NO TRANSLATION
dale	Dale
dam	presa
damage	dany
damaged	espatllat
damages	danys
dame	Dame
damn	maleïda
damnation	condemnació
damned	maleït
damp	humida
dampened	humitejat
damper	amortidor
damsel	donzella
dance	dansa
dancer	ballarina
dancing	ballar
dandruff	caspa
dandy	dandy
danger	perill
dangerous	perillós
dangerously	perillosament
dangit	NO TRANSLATION
dangle	penjar-se
dank	NO TRANSLATION
dapper	dapper
dare	s'atreveix
daredevil	temerari
daresay	s'atreveix
daring	atrevit
dark	fosc
darken	fosc
darkened	enfosquit
darkly	foscament
darkness	foscor
darkroom	habitació fosca
darkside	costat fosc
darling	estimat
darn	darn
dart	dard
dash	guion
dashboard	panell
dashed	va trencar
dashing	corrent
dastardly	dastardly
data	dades
database	base de dades
date	data
datenight	NO TRANSLATION
daughter	filla
dawdle	dawdle
dawn	alba
dawned	amenaça
day	dia
daybreak	alba
daycare	guarderia
daydream	somiar despert
daydreaming	somiar despert
daylight	llum del dia
daymade	NO TRANSLATION
dayoff	NO TRANSLATION
daytime	dia
daze	atordit
dazed	atordit
dazzle	enlluernar
dazzling	deslumbrante
deacon	diaca
deactivate	desactivar
dead	mort
deadbeat	mortalitat
deadline	data límit
deadlines	terminis
deadlock	estancament
deadly	mortal
deaf	sord
deafening	ensordidor
deafness	sordesa
deal	acord
dealer	distribuïdor
dealership	concessionari
dealing	tractar
dealings	tractes
dean	degà
dear	estimat
dearest	estimat
dearth	dearth
death	mort
deathbed	llit de mort
deathly	mortalitat
debacle	debacle
debased	degradat
debatable	discutible
debate	debat
debauchery	desertatge
debenture	obligació
debilitating	debilitat
debit	dèbit
debrief	debat
debriefing	presentació de preguntes
debris	escombraries
debt	deute
debtor	deutor
debut	debut
debutante	debutante
decade	dècada
decadence	decadència
decadent	decadent
decaf	decaf
decanter	decantador
decathlon	decatló
decay	decaïment
decayed	decadent
decaying	decadència
deceased	mort
decedent	decedent
deceit	engany
deceitful	enganyós
deceive	enganyar
deceived	enganyat
deceiving	enganyant
december	desembre
decency	decència
decent	decent
deception	engany
deceptive	enganyós
decide	decideixi
decidedly	decididament
deciduous	caducifoli
decimal	decimal
decimeter	decímetre
decipher	desxifrar
decision	decisió
decisive	decisiu
deck	coberta
declaration	declaració
declaratory	declaratiu
declare	declarar
declination	declinació
decline	disminució
declining	disminuint
deco	deco
decode	decodificar
decoder	descodificador
decompose	descompondre
decomposed	descompost
decomposition	descomposició
decompress	descomprimir
decompression	descompressió
decontamination	descontaminació
decor	decoració
decorate	decorar
decorating	decoració
decoration	decoració
decorative	decoratiu
decorator	decorador
decorum	decorum
decoy	senyu
decrease	disminuir
decreased	disminució
decreasing	disminuint
decree	decret
decrement	disminució
decrepit	decrepit
decry	decry
decryption	desencriptació
dedicate	dedicar
dedication	dedicació
deduce	deduir
deduct	deduir
deductible	deduïble
deduction	deducció
deed	escriptura
deejay	deejay
deem	considerem
deep	profund
deepen	aprofundir
deer	cérvol
defamation	difamació
defamatory	difamatori
default	per defecte
defeat	derrota
defeated	vençut
defeatist	derrotista
defect	defecte
defection	defecció
defective	defectuós
defector	defector
defend	defensar
defendant	acusat
defended	defensat
defender	defensor
defending	defensant
defense	defensa
defenseless	indefens
defensible	defensable
defensive	defensiu
defer	ajornar
deference	deferència
deferral	ajornament
deferring	aplanant
defiance	desafiament
defiant	desafiant
defibrillator	desfibril·lador
deficiency	deficiència
deficient	deficient
deficit	dèficit
define	definir
defined	definit
definite	definit
definition	definició
definitive	definitiva
deflate	desinflar
deflation	deflació
deflect	desviar
deflection	deflexió
defloration	desloración
deform	deformar
deformed	deformat
deformity	deformitat
defraud	defraudar
defray	pagar
defrost	descongelació
deft	bo
defunct	desaparegut
defuse	defuig
defy	desafiar
degeneracy	degeneració
degenerate	degenerar
degeneration	degeneració
degradation	degradació
degrade	degradar
degraded	degradat
degrading	degradant
degree	grau
dehydrated	deshidratat
dehydration	deshidratació
dejected	expulsat
delay	retard
delayed	retardat
delectable	delectable
delegate	delegat
delegation	delegació
delete	esborrar
deleterious	perjudicial
deletion	eliminació
deli	deli
deliberate	deliberada
deliberation	deliberació
deliberative	deliberatiu
delicacy	delicadesa
delicate	delicat
delicatessen	delicatessen
delicious	deliciós
delight	delícia
delighted	encantat
delightful	deliciós
delineate	delimitar
delineation	delimitació
delinquency	delinqüència
delinquent	delinqüent
delirious	delirant
delirium	deliri
deliver	lliurar
deliverance	alliberament
delivery	lliurament
dell	dell
delta	delta
delude	delude
deluge	diluvi
delusion	engany
delusional	delirant
deluxe	de luxe
delve	aprofitar
demand	demanda
demanding	exigent
demeaned	degradat
demeaning	demeanant
demeanor	comportament
demented	dementat
dementia	demència
demise	desaparició
demo	demo
democracy	democràcia
democrat	demòcrata
democratic	democràtic
demographic	demogràfic
demolish	demolir
demolished	demolit
demolition	demolició
demon	dimoni
demonic	demoníac
demonstrable	demostrable
demonstrate	demostrar
demonstrated	demostrat
demonstrating	demostrant
demonstration	demostració
demonstrative	demostratiu
demonstrator	manifestant
demoralized	desmoralitzat
demos	demostracions
demure	demure
den	NO TRANSLATION
deniability	negació
denial	negació
denied	negat
denim	denim
denomination	denominació
denominational	confessional
denominator	denominador
denote	denotar
denounce	denunciar
dense	dens
density	densitat
dent	dent
dental	dental
dentist	dentista
dentistry	Odontologia
dentists	dentistes
denunciation	denúncia
deny	negar
denying	negant
deodorant	desodorant
depart	sortir
departed	sortit
department	departament
departmental	departamental
departure	sortida
depend	depenen
dependable	confiable
dependant	depenent
dependence	dependència
dependency	dependència
dependent	depenent
depict	representar
depicting	representant
depletion	esgotament
deplorable	deplorable
deplore	deplorar
deploy	desplegar
deployment	desplegament
deport	deportar
deportation	deportació
depose	depós
deposit	dipòsit
depositary	dipositari
deposition	deposició
depository	dipòsit
depot	dipòsit
depraved	depravat
depravity	depravació
depreciate	depreciar
depreciated	depreciat
depreciation	depreciació
depress	deprimir
depressed	deprimit
depressing	depriment
depression	depressió
depressive	depressiu
depresson	NO TRANSLATION
deprivation	privació
deprive	privar
deprived	privat
depth	profunditat
deputy	diputat
derail	descarrilar
deranged	deranged
derelict	abandonat
derision	burla
derivation	derivació
derivative	derivat
derive	derive
dermal	dérmica
dermatologist	dermatòleg
dermatology	dermatologia
derogation	excepció
derogatory	derogatori
descend	baixar
descendant	descendent
descendent	NO TRANSLATION
descending	descendent
descent	descendència
describe	descriure
description	descripció
descriptive	descriptiu
desecrate	profanar
desecration	profanació
desert	desert
deserted	abandonat
deserter	desertor
desertion	desertió
deserve	mereixen
deserved	merescut
deserving	mereixedor
design	disseny
designate	designar
designated	designat
designation	designació
designed	dissenyat
designer	dissenyador
designing	disseny
desirability	conveniència
desirable	desitjable
desire	desig
desiring	desitjant
desirous	desitjós
desist	desistir
desk	escriptori
desolate	desolat
desolation	desolació
despair	desesperació
despairing	desesperació
despatch	enviament
desperado	desesperat
desperate	desesperat
desperation	desesperació
despicable	despreciable
despise	menysprear
despondent	desanimat
despotic	despòtic
despotism	despotisme
dessert	postres
destination	destinació
destined	destinat
