Word	ht
cowhand	cowhand
cowhide	kowid
cowl	chwèt
coworker	kòlèg travay
coy	koy
coyote	koyote
cozy	brikabrak
crab	Crab
crabby	crabby
crack	krak
cracked	fann
cracker	fou
crackerjack	krake
cracking	fann
crackle	krake
crackpot	krak
cradle	bèso
craft	navèt
crafts	atizana
craftsman	atizan
craftsmanship	atizana
crafty	rize
craig	fou
cram	cram
crammed	anpile
cramp	kranp
cramped	restrenn
cranberry	seriz
cranberry juice	ji seriz
crane	teknik
cranial	cranial
cranium	kranyom
crank	manivèl
cranky	fri
cranny	Cranny
crap	krap
crappy	mal
craps	krap
crash	aksidan
crass	zèb
crate	kès
crater	kratè
crave	anvi
craving	anvi
crawfish	Kraze
crawl	rale
crayon	kreyon
crayons	kreyon koulè
craze	Angoman
crazed	fou
craziness	fou
crazy	fou
creak	krake
creaking	krak
cream	krèm
creamed	krèm
creamer	krèm
creamy	krèm
crease	pli
create	kreye
creation	kreyasyon
creative	kreyatif
creativity	kreyativite
creator	kreyatè
creature	bèt
credence	kwayans
credential	kalifye
credentials	kalifikasyon
credibility	kredibilite
credible	kredib
credit	kredi
credit card	kat kredi
creditable	kredi
credited	kredite
crediting	kredi
creditor	kreyansye
creed	kwayans
creek	Creek
creep	ranpe
creeper	creeper
creeping	trennen sou vant
creepy	grenpe
cremation	krèmasyon
creole	kreol
crepe	krèt
crescendo	crescendo
crescent	Kwasan
crest	krèt
crestfallen	crestfallen
cretin	kretyen
cretins	krèt
crevice	fant
crew	ekipaj
crewman	ekipman
crib	bèso
cricket	krikèt
cried	t'ap rele byen fò
crime	krim
criminal	kriminèl
criminality	kriminalite
crimp	fwote
crimson	wouj
cringe	a
cripple	ale
crippled	enfim
crippling	krippling
crisis	kriz
crisp	sèk
crispy	kroustiyan
criterion	kritè
critic	kritik
critical	kritik
criticise	kritike
criticism	kritik
criticize	kritike
criticized	kritike
critique	kritike
critter	critter
croak	kroak
croc	kro
crock	crock
crockery	diven
crocodile	kwokodil
croft	croft
croissant	kroissant
crook	vòlè
crooked	kwochi
crop	rekòt
croquet	krokèt
cross	kwa
cross country	kwa peyi
crossbow	bonbe
crossed	janbe lòt
crossfire	feu
crossing	travèse
crossover	kwazman
crosswalk	crosswalk
crossword	kwaze
crotch	bò
crouch	Crouch
crouched	kouche
crouching	kouche
croupier	croupier
crow	Crow
crowbar	crowbar
crowd	foul moun
crowded	ki gen anpil moun
crowds	foul moun
crown	kouwòn
crowning	kourone
crucial	enpòtan
cruciate	kwaze
crucifix	kwa
crucifixion	krisifiksyon
crucify	kloure sou kwa
crud	crud
crude	brit
cruel	mechan
cruelly	mechan
cruelty	mechanste
cruise	kwazyè
cruise ship	kwazyè bato
cruiser	kwazyè
cruising	kwazyè
crumb	Tonbe
crumble	konfizyon
crumbling	Tonben
crummy	krèm
crunch	crunch
crunchy	kroustiyan
crusade	Kwazad
crusader	krwaze
crush	kraze
crushed	kraze
crusher	ékrazan
crushing	kraze
crust	kwout
crusty	kroustiyan
crutch	anbreyaj
crux	crux
cry	kriye
crybaby	rechiya
crying	kriye
crypt	kripte
cryptic	kripte
cryptography	kriptografik
crystal	kristal
crystalline	cristalline
crystallization	kristalizasyon
cub	jib
cubby	cubby
cube	kib
cubic	kib
cubicle	kabin
cuckold	cuckold
cuckoo	Kakawo
cucumber	konkonb
cuddle	karese
cuddled	kale
cuddles	kale
cuddling	cuddling
cue	Replik
cuff	manchèt
cuisine	cuisine
culinary	gastronomik
cull	kale
culminate	akimile
culmination	akimilasyon
culpability	kilpabilite
culpable	koupab
culprit	koupab
cult	kil
cultivate	kiltive
cultivated	kiltive
cultivation	kiltivasyon
cultural	kiltirèl
culture	kilti
cultured	kiltive
culvert	culvert
cumbersome	ankonbran
cumulus	cumulus
cunning	atizan konn fè
cunt	vajen
cup	tas
cupboard	kofr
cupcake	kupkèyk
cupping	koup
cur	koulye a
curable	maladi
curate	fèy
curative	guérison
curator	Konsèvate
curb	twotwa
curd	lètkaye
cure	geri
curfew	kouvrefe
curiosity	kiryozite
curious	kirye
curl	pli
curling	Curling
currency	lajan
current	aktyèl
curriculum	kourikoulòm lan
curry	Curry
curse	madichon
cursed	madichon
cursing	madichon
cursory	kourtwazi
curt	curt
curtail	lenmi
curtailment	restriksyon
curtain	rido
curtains	rido
curtsy	kurtsy
curvature	koub
curve	koub
curved	koube
curvilinear	curvilinear
cushion	kousen
cushy	kousen
cusp	kisa
cuss	kabrit
cussed	goumen
custard	flè
custodial	gad
custodian	gadyen
custody	gad
custom	koutim
customary	òdinè
customer	kliyan
customized	Customized
cut	koupe
cutaneous	kutane
cute	bèl
cuticle	kutikul
cutie	kuti
cutlass	kouto
cutlery	koule
cutoff	koupe
cutter	kouto
cutters	zouti pou koupe
cutthroat	cutthroat
cutting	koupe
cutting board	koupe tablo
cuttings	koupe
cwt	cwt
cyanide	Cyanide
cyberspace	cyberspace
cycle	sik
cyclical	konjesyon serebral
cyclist	siklis
cyclone	siklòn
cylinder	silenn
cylindrical	silendrik
cymbal	zanj
cynic	sinik
cynical	sinik
cynicism	sinism
cyst	sist
cystic	sistik
cytomegalovirus	Cytomegalovirus
cytoplasm	sitoplasm
czar	Czar
dab	dab
dabble	dabble
dabbling	dabbling
dad	papa
daddy	papa
dado	NO TRANSLATION
daemon	dyaman
daft	Daft
dagger	ponyèt
daily	chak jou
dainty	Nati
daiquiri	daiquiri
dairy	letye
daisy	Daisy
dak	NO TRANSLATION
dale	Dale
dam	baraj
damage	domaj
damaged	domaje
damages	domaj
dame	dame
damn	modi
damnation	kondanasyon
damned	dane
damp	mouye
dampened	febli
damper	bouchon
damsel	ti fi
dance	danse
dancer	dansè
dancing	danse
dandruff	pelikul
dandy	Dandy
danger	danje
dangerous	danjere
dangerously	danjerezman
dangit	NO TRANSLATION
dangle	balanse
dank	NO TRANSLATION
dapper	dapper
dare	oze
daredevil	dedevil
daresay	dizèl
daring	nana
dark	fè nwa
darken	fè nwa
darkened	fè nwa
darkly	fènwa
darkness	fènwa
darkroom	darkroom
darkside	kote sonb
darling	cheri
darn	reprize
dart	flèch
dash	priz
dashboard	tablodbò
dashed	tirè
dashing	superbly
dastardly	dastardly
data	done
database	baz done
date	dat
datenight	NO TRANSLATION
daughter	pitit fi
dawdle	dawdle
dawn	dimanch maten
dawned	dawned
day	jou
daybreak	jounal
daycare	gadri
daydream	rèy
daydreaming	daydreaming
daylight	lajounen
daymade	NO TRANSLATION
dayoff	NO TRANSLATION
daytime	lajounen
daze	labirent
dazed	dazed
dazzle	avegle je
dazzling	klere tou
deacon	dyak
deactivate	disoud
dead	mouri
deadbeat	mouribeat
deadline	dat limit
deadlines	dat limit
deadlock	enpas
deadly	ki ka touye moun
deaf	soud
deafening	asanblaj
deafness	soud
deal	kontra
dealer	machann
dealership	konsesyonè
dealing	fè fas
dealings	fè fas
dean	Dwayen
dear	mwen renmen anpil
dearest	mwen renmen anpil
dearth	grangou
death	lanmò
deathbed	lanmò
deathly	lanmò
debacle	debacle
debased	debased
debatable	kontwole
debate	deba
debauchery	debòch
debenture	debenture
debilitating	feblès
debit	debi
debrief	debrief
debriefing	debriefing
debris	debri
debt	dèt
debtor	debiteur
debut	premye
debutante	debutante
decade	deseni
decadence	dekadans
decadent	dekadans
decaf	dekaf
decanter	Dekantatè
decathlon	desatlon
decay	pouri
decayed	pouri
decaying	pouri
deceased	mouri
decedent	desedan
deceit	twonpe
deceitful	twonpe moun
deceive	twonpe
deceived	twonpe tèt nou
deceiving	twonpe
december	desanm
decency	desans
decent	desan
deception	desepsyon
deceptive	mansonjè
decide	deside
decidedly	deside
deciduous	kaduk
decimal	desimal
decimeter	desimèt
decipher	Decipher
decision	desizyon
decisive	desizif
deck	pil
declaration	deklarasyon
declaratory	deklarasyon
declare	deklare
declination	Deklarasyon
decline	n bès
declining	dekline
deco	deko
decode	dekode
decoder	dekodè
decompose	dekonpoze
decomposed	dekonpoze
decomposition	dekonpozisyon
decompress	dekonprese
decompression	depresyon
decontamination	dekontamasyon
decor	dekorasyon
decorate	dekore
decorating	dekorasyon
decoration	decoration
decorative	dekoratif
decorator	dekoratè
decorum	dekorasyon
decoy	dekouvèt
decrease	diminye
decreased	diminye
decreasing	diminye
decree	dekrè
decrement	rediksyon
decrepit	dekade
decry	Dekri
decryption	dekripsyon
dedicate	dedye
dedication	devouman
deduce	enferyè
deduct	dedwi
deductible	franchiz
deduction	dediksyon
deed	papye kay
deejay	deejay
deem	jije
deep	fon
deepen	apwofondi
deer	sèf
defamation	difamasyon
defamatory	difamatwa
default	default
defeat	defèt
defeated	bat
defeatist	defètist
defect	defo
defection	defèksyon
defective	defektye
defector	defèktè
defend	defann
defendant	akize
defended	defann
defender	defandè
defending	defann
defense	defans
defenseless	defans
defensible	defansab
defensive	defansiv
defer	ranvwaye
deference	Deferans
deferral	pwolongasyon
deferring	Deferring
defiance	defi
defiant	defiant
defibrillator	defibrilateur
deficiency	Defisi
deficient	defisyan
deficit	defisi
define	defini
defined	defini
definite	defini
definition	definisyon
definitive	definitif
deflate	deflate
deflation	deflasyon
deflect	detounen
deflection	defleksyon
defloration	deflorasyon
deform	deform
deformed	defòme
deformity	defo
defraud	defraud
defray	defèt
defrost	dekonjle
deft	ajil
defunct	defini
defuse	difize
defy	defi
degeneracy	dejeneresans
degenerate	dejenere
degeneration	koripsyon
degradation	degradasyon
degrade	degrade
degraded	degrade
degrading	degrade
degree	degre
dehydrated	dezidrate
dehydration	dezidratasyon
dejected	dejene
delay	reta
delayed	reta
delectable	délisyeu
delegate	delege
delegation	delegasyon
delete	efase
deleterious	negatif
deletion	efase li
deli	deli
deliberate	ekspre
deliberation	deliberasyon
deliberative	deliberatif
delicacy	délikatès
delicate	delika
delicatessen	Delika
delicious	bon gou
delight	plezi
delighted	kontan
delightful	délisyeu
delineate	delimiter
delineation	delimantasyon
delinquency	delenkans
delinquent	delenkan
delirious	delirious
delirium	delirium
deliver	delivre
deliverance	delivrans
delivery	livrezon
dell	dell
delta	delta
delude	deli
deluge	delij
delusion	delizyon
delusional	Deliram
deluxe	Deluxe
delve	fouye
demand	demann
demanding	mande
demeaned	demonte
demeaning	anpeche
demeanor	abitye
demented	demented
dementia	demansi
demise	kraze
demo	Demo
democracy	demokrasi
democrat	demokrat
democratic	demokratik
demographic	demografik
demolish	demoli
demolished	demoli
demolition	demolisyon
demon	move lespri
demonic	dyabolik
demonstrable	demontre
demonstrate	demontre
demonstrated	demontre
demonstrating	demontre
demonstration	demonstrasyon
demonstrative	demonstratif
demonstrator	manifestan
demoralized	demoralize
demos	Demo
demure	demann
den	NO TRANSLATION
deniability	deniability
denial	refi
denied	refize
denim	abako
denomination	denominasyon
denominational	denominasyon
denominator	denominatè
denote	endike
denounce	denonse
dense	dans
density	dansite
dent	dant
dental	dantè
dentist	dantis
dentistry	Dantis
dentists	dantis
denunciation	denonsyasyon
deny	refize
denying	refize
deodorant	deyodoran
depart	ale
departed	ale
department	depatman
departmental	depatmantal
departure	depa
depend	depann de
dependable	sérieux
dependant	depandan
dependence	depandans
dependency	depandans
dependent	depandan
depict	dekri
depicting	ki dekri
depletion	rediksyon
deplorable	dekale
deplore	deplore
deploy	deplwaye
deployment	deplwaman
deport	depòte
deportation	depòtasyon
depose	depoze
deposit	depo
depositary	depitè
deposition	depo
depository	depo
depot	depo
depraved	peche
depravity	koripsyon
depreciate	depresyasyon
depreciated	depresyasyon
depreciation	depresyasyon
depress	depresyon
depressed	deprime
depressing	dépressions
depression	depresyon
depressive	depresyon
depresson	NO TRANSLATION
deprivation	privasyon
deprive	anpeche
deprived	prive
depth	pwofondè
deputy	depite
derail	dérailler
deranged	deranje
derelict	derelict
derision	derision
derivation	derivasyon
derivative	derive
derive	dériver
dermal	dousman
dermatologist	dèrmatolog
dermatology	dèrmatoloji
derogation	derogasyon
derogatory	imilyan
descend	desann
descendant	desandan
descendent	NO TRANSLATION
descending	desann
descent	desandan
describe	dekri
description	deskripsyon
descriptive	deskriptif
desecrate	dezè
desecration	desecration
desert	dezè
deserted	dezè
deserter	deserter
desertion	dezòd
deserve	merite
deserved	merite
deserving	merite
design	konsepsyon
designate	deziyen
designated	deziyen
designation	deziyasyon
designed	fèt
designer	designer
designing	desine
desirability	desirabilite
desirable	dezirab
desire	dezi
desiring	vle
desirous	desirous
desist	desist
desk	biwo
desolate	dezolasyon
desolation	dezolasyon
despair	dezespwa
despairing	dezespwa
despatch	Devwa
desperado	dezespere
desperate	dezespere
desperation	dezespwa
despicable	embesil
despise	meprize
despondent	dekouraje
despotic	despotik
despotism	despotism
dessert	desè
destination	destinasyon
destined	destine
destiny	desten
destitute	endijan
destroy	detwi
destroyed	detwi
destroyer	touye
destroying	detwi
destruct	destriksyon
destruction	destriksyon
destructive	destriktif
detach	detache
detached	detache
detachment	detachman
detail	detay
detailed	detaye
details	detay
detain	kenbe
detainee	prizonye
detect	detekte
detectable	detekte
detection	deteksyon
detective	detektif
detector	detektè
detention	detansyon
deter	dekouraje
detergent	savon
deteriorate	deteryore
deteriorated	deteryore
deteriorating	deteryorasyon
deterioration	deteryorasyon
determinable	detèmine
determinate	detèmine
determination	detèminasyon
determine	detèmine
determined	detèmine
deterrent	prevantif
detest	detest
detestation	detestasyon
detonate	eklate
detonation	detonasyon
detonator	detonateur
detour	detou
detract	Detract
detriment	detriman
detrimental	prejidis
detritus	detritus
deuce	deuce
deutschmark	germanmark
devalued	devalorize
devastate	devaste
devastated	devaste
devastating	devastatè
devastation	devastasyon
develop	devlope
developer	pwomotè
developing	devlope
development	devlopman
deviant	devantman
deviate	devye
deviating	deviant
deviation	devyasyon
device	aparèy
devil	move lespri
deviled	deviled
devilish	devilish
devious	devious
devise	devise
devoid	dépourvu
devolution	devolisyon
devolve	devolve
devote	konsakre
devoted	konsakre
devotee	konseye
devotion	devosyon
devotional	devosyonèl
devour	devore
devout	devout
dew	lawouze
dexter	Dexter
dexterity	dèksterite
dextrose	Dextrose
diabetes	dyabèt
diabetic	dyabetik
diabolical	diabolik
diagnose	fè dyagnostik
diagnosis	dyagnostik
diagnostic	dyagnostik
diagnostics	dyagnostik
diagonal	dyagonal
diagram	dyagram
dial	rele
dialect	dyalèk
dialectic	dyalektik
dialogue	dyalòg
dialysis	dyaliz
diameter	dyamèt
diamond	dyaman
diamonds	Diamonds
diaper	kouchèt
diaphragm	dyafram
diarrhea	dyare
diarrhoea	dyare
diary	jounal pèsonèl
diatribe	diatribe
dib	NO TRANSLATION
dibs	dibs
dice	zo
dicey	dicey
dichotomous	dichotomous
dichotomy	dichotomi
dick	Dick
dickhead	Dickhead
dicks	dik
dictate	dikte
dictation	dikte
dictator	diktatè
dictatorial	diktatoryal
dictatorship	diktati
diction	diksyon
dictionary	diksyonè
dictum	NO TRANSLATION
didactic	pedagojik
diddle	Jwe sou entènèt
die	NO TRANSLATION
died	mouri
diesel	dyezèl
diet	rejim alimantè
dietary	dyetetik
differ	diferan
difference	diferans
differences	diferans
different	diferan
differential	diferans
differentiation	diferansyasyon
differently	diferan
differing	diferan
difficult	difisil
difficulties	difikilte
difficulty	difikilte
diffuse	difize
diffusion	difizyon
dig	NO TRANSLATION
digest	dijere
digestion	dijesyon
digestive	dijestif
digit	chif
digital	dijital
dignified	diyite
dignify	diyite
dignity	diyite
digress	dijere
digs	NO TRANSLATION
dike	Dike
dilapidated	Delambre
dilatation	dilatasyon
dilation	dilatasyon
dildo	godmiche
dilemma	dilèm
diligence	dilijans
diligent	dilijan
dill	Dill
diluent	dilijans
dilute	delye
diluted	dilye
dilution	dilution
dim	dim
dime	santim
dimension	dimansyon
dimensional	dimansyon
diminish	diminye
diminished	diminye
diminution	diminisyon
diminutive	diminutiv
dimwit	dimwit
din	NO TRANSLATION
dine	manje
diner	dineur
dinghy	dinghy
dingo	Dingo
dingy	dingy
dining	manje
dinky	dinky
dinner	dine
dinnertime	dine
dinosaur	dinozò
dint	dint
diocesan	dyosèz
diocese	dyosèz
diorama	diorama
dioxide	dyoksid
dip	tranpe
diploma	diplòm
diplomacy	diplomasi
diplomat	diplomat
diplomatic	diplomatik
dipper	gode
dippy	dippy
dipstick	plonje
dire	NO TRANSLATION
direct	dirèk
directed	dirije
direction	direksyon
directive	direktiv
directly	dirèkteman
director	direktè
directory	anyè
dirt	pousyè tè
dirty	sal
disability	andikap
disable	enfim
disabled	enfim
disadvantage	dezavantaj
disaffected	dezafwaf
disagree	pa dakò
disagreeable	dezagreyab
disagreeing	pa dakò
disagreement	dezakò
disallow	neglijans
disallowed	non
disapointment	NO TRANSLATION
disappear	disparèt
disappearance	disparisyon
disappearing	disparèt
disappoint	desevwa
disappointed	desi
disappointing	enèvan
disappointment	desepsyon
disapproval	disapproval
disapprove	pa dakò
disapproved	dezapwouve
disapproving	disapproving
disarm	dezame
disarray	enfimite
disaster	dezas
disastrous	dezas
disband	kraze
disbelief	enkredilite
disbelieve	disbelieve
disburse	retire li
disbursement	debousman
disc	disk
discard	jete
discarded	abandone
discards	dekad
discern	dekouvri
discernible	dekouvri
discerning	lespri
discernment	disènman
discharge	egzeyat
disciple	disip
disciplinary	disiplinè
discipline	disiplin
disciplined	disipline
disclaim	repete
disclaimer	Avètisman
disclose	divilge
disclosed	divilge
disclosure	divilgasyon
disco	disko
discoloration	dekolorasyon
discolored	dekolore
discomfort	malèz
disconcerted	dekonèt
disconcerting	dekouraje
disconnect	dekonekte
disconnected	dekonekte
disconnection	séparation
disconnects	dekonekte
discontent	mekontantman
discontinuance	diskontinuans
discontinue	sispann
discontinuity	diskontinwite
discontinuous	diskontinu
discord	dezòd
discount	rabè
discounted	rabè
discourage	dekouraje
discouraged	dekouraje
discouragement	dekourajman
discouraging	dekouraje
discourse	diskou
discover	dekouvri
discovery	dekouvèt
discredit	diskredite
discredited	diskredite
discreet	NO TRANSLATION
discrepancy	Diferans
discrete	disrè
discretion	diskresyon
discretionary	diskresyonè
discriminate	fè diskriminasyon
discriminating	diskriminasyon
discrimination	diskriminasyon
discus	diskisyon
discuss	diskite
discussion	diskisyon
disdain	deden
disdainful	disdainful
disease	maladi
diseased	malad
disembodied	disembodied
disengage	retire
disengagement	dejesyon
disfigured	defini
disgrace	wont
disgraced	wont
disgraceful	dezagreyab
disgruntled	disgruntled
disguise	degize
disguised	degize
disgust	degou
disgusted	degoutan
disgusting	degoutan
dish	plat
disheartened	dekouraje
disheartening	dekouraje
dishonest	malonèt
dishonesty	malonèt
dishonor	dezòd
dishonorable	dezamoni
dishwasher	dishwasher
disillusionment	desepsyon
disinclination	dezinonskripsyon
disincline	dezin
disinclined	dezin
disinfect	dezenfekte
disinfectant	dezenfektan
disinfection	dezenfeksyon
disinformation	dezenfòmasyon
disingenuous	detounman
disintegrate	dezentegre
disintegration	dezentegrasyon
disinterested	disinterested
disjoint	disjoint
disjointed	dezoryante
disjunctive	disjonktif
disk	disk
diskette	diskèt
dislike	grip
disliked	nèm
disliking	disliking
dislocated	deplase
dislocation	debwatman
dislodge	dislodge
disloyal	disloyal
disloyalty	enfidelite
dismal	patisipasyon
dismantle	kraze
dismay	pè
dismayed	pè
dismemberment	demantelman
dismiss	ranvwaye
dismissal	lekòl lage
dismissive	ranvwaye
dismount	detonasyon
disobedience	dezobeyisans
disobedient	dezobeyi
disobey	dezobeyi
disorder	maladi
disordered	dezord
disorderly	dezòdone
disorganized	dezorganize
disorientation	disorientasyon
disoriented	dezoryante
disown	abandone
disparage	disparage
disparaging	disparaging
disparate	disparate
disparity	disparite
dispassionate	dispassionate
dispatch	voye
dispatcher	dispatchè
dispel	disparèt
dispensary	dispansè
dispensation	dispansasyon
dispense	dispanse
dispenser	dispenser
dispersal	dispersal
disperse	dispèse
dispersed	dispèse
dispersion	dispèsyon
dispirited	dezespere
displace	deplase
displaced	deplase
displacement	deplasman
displacency	deplasans
display	ekspozisyon
displease	displease
displeased	fache
displeasure	dezagreman
disposable	jete
disposal	jete
dispose	jete
disposed	dispoze
disposition	dispozisyon
dispossessed	depoze
disprove	enfimite
dispute	diskisyon
disqualification	disqualification
disqualified	diskalifye
disqualify	disqualify
disquieted	tris
disregard	inegalite
disregarded	neglijans
disrelish	disèl
disreputable	danjere
disrepute	disrepute
disrespect	mank respè
disrespectful	derespektan
disrupt	deranje
disrupting	entewonp
disruption	dezòd
disruptive	deranje
dissatisfaction	mekontantman
dissatisfied	satisfè
dissect	ensèk
dissection	diseksyon
disseminate	distribiye
dissemination	difizyon
dissension	diskisyon
dissent	disip
dissenting	disiplin
dissertation	disètasyon
disservice	disservice
dissident	disidan
dissimilar	disparèt
dissipate	disparèt
dissipated	disip
dissociation	izolman
dissociative	disosyativ
dissolution	yap divòse
dissolve	fonn
dissonance	disonans
dissuade	disparèt
distal	distal
distance	distans
distant	byen lwen
distaste	distaste
distasteful	désagréable
distillate	distilye
distillation	distilasyon
distilled	distile
distinct	distenk
distinction	distenksyon
distinctive	diferan
distinguish	distenge
distinguishable	distenge
distinguished	distenge
distinguishing	distenge
distort	defòme
distorted	defòme
distortion	distòsyon
distract	distrè
distracted	distrè
distracting	distrè
distraction	distraksyon
distraught	detrès
distress	detrès
distressed	detrès
distressing	detrès
distribute	distribye
distribution	distribisyon
distributor	distribitè
district	distri
distrust	defye
disturb	deranje
disturbance	twoub
disturbed	detounen
disturbing	twoublan
disuse	dezòd
disused	dezòd
ditch	twou
ditto	sa a
ditty	ditty
diurnal	dyurnal
diva	diva
divan	NO TRANSLATION
dive	plonje
diver	dayiva
diverge	diverge
divergence	diferans
divergent	divèjan
diverging	divèti
divers	divès
diverse	divès
diversified	divèsifye
diversify	divèsifye
diversion	reyabilitasyon
diversionary	divèsifye
diversity	divèsite
divert	devye
diverting	devye
divest	divize
divested	divize
divestment	divèsman
divide	divize
divided	divize
dividend	dividann
divination	divinasyon
divine	diven
divinity	divinite
divisible	divizib
division	divizyon
divisor	divizè
divorce	divòs
divorcee	divòs
divulge	divilge
divvy	divwi
dizziness	vètij
dizzy	tèt vire
do	fè
doable	fè posib
doc	doc
docile	docile
dock	waf
docked	docked
docket	DOS
docking	Docking
doctor	doktè
doctorate	doktora
doctrinal	doktrinal
doctrine	doktrin
document	dokiman
documentary	dokimantè
documentation	dokiman
documents	dokiman yo
dodge	Dodge
dodger	eskive
dodging	eskive
dodgy	dodgy
dodo	dodo
doe	fè
doer	pratik
dog	chen
dogface	dogface
dogged	dogged
doggy	chyen
doghouse	chnil
dogma	dogmatik
dogmatic	dogmatik
dogsick	NO TRANSLATION
doings	fè
doit	NO TRANSLATION
dojo	Dojo
doldrums	Doldrums
dole	Dole
doll	poupe
dollar	dola
dollhouse	kay poupe
dolor	NO TRANSLATION
dolphin	Dolphin
domain	domèn
dome	bòl
domestic	domestik
domesticated	domestik
domestication	domestikasyon
domicile	domisil
domiciled	domisilye
dominance	dominasyon
dominant	dominan
dominate	domine
dominating	domine
domination	dominasyon
dominatrix	dominatrix
dominion	dominasyon
domino	domino
don	Don
donate	fè don
donation	don
donkey	bourik
donor	donatè
dontlikeyou	NO TRANSLATION
dontmess	NO TRANSLATION
dontmesswithme	dontmesswithme
dontpanic	dontpanic
dontunderstand	NO TRANSLATION
doodle	ti fi
doom	fayit
doomed	fini
doomsday	doomsday
door	pòt
doorbell	sonèt
doorknob	Doorknob
doorman	pòt
doormat	fèy
doornail	doornail
doorstep	pòt
doorway	pòt
dopamine	dopamine
dope	Dop
dopey	dopey
dork	dork
dorky	dorky
dorm	dòtwa
dormant	dormant
dormitory	dòtwa
dorsal	dorsal
dosage	dòz
dose	dòz
dossier	Dossier
dot	dot
doting	doting
dotted	pwent
dotty	dotty
double	doub
doubled	double
doublet	doublet
doubling	double
doubt	dout
doubtful	endesi
doubting	doute
doubtless	san dout
doubts	dout
douche	douche
douchebags	douchebags
dough	pat
doughboy	doughboy
doughnut	beye
dour	Dour
douse	douse
dove	pijon
down	desann
downcast	downcast
downer	Downer
downfall	tonbe
downfield	anba tè
downhearted	dousman
downhill	desann
download	download
downpour	lapli
downright	kareman
downriver	downriver
downside	enkonvenyans
downtime	D '
downward	anba
downy	malè
dowry	dòt
doze	doze
dozen	douzèn
drab	drab
draft	bouyon
drafty	bouyon
drag	trennen
dragon	dragon
dragonfly	dragonfly
drain	drenaj
drainage	drenaj
drained	vide
draining	vide
drainpipe	drenaj
drake	Drake
drama	dram
dramaqueen	NO TRANSLATION
dramatic	dramatik
drape	pliye
drapery	drapery
drastic	radikal
drat	NO TRANSLATION
draught	bouyon
draw	trase
drawback	dezavantaj
drawbridge	trase
drawer	tiwa
drawers	tiwa
drawing	desen
dread	pè
dreaded	redoutable
dreadful	grangou
dreadfully	dreadfully
dreading	dreading
dream	rèv
dreamboat	dreamboat
dreamer	rèv
dreaming	rèv
dreamland	rèv
dreams	rèv
dreamt	rèv
dreamy	rèv
dreary	tris
dredge	dredge
drenched	tranpe
dress	abiye
dresser	Dresser
dressmaker	dressmaker
dressy	abiye
dribble	NO TRANSLATION
dried	cheche
drier	pi sèk
drift	flote
drifted	drifted
drifter	drifter
driftwood	driftwood
drill	fè egzèsis
drink	bwè
drinker	tafyatè
drinking	bwè
drinks	bwason
drip	degoute
dripping	koule
drive	kondwi
drivel	drivel
driver	chofè
driveway	antre kay la
drizzle	fri
droll	wòl
drone	abèy
drones	dron
drool	drool
drooping	Tonben
droopy	droopy
drop	gout
droplet	gout
dropout	kite sa a
dropper	gout
drought	sechrès
drove	NO TRANSLATION
drown	nwaye
drowsiness	somnolans
drowsy	drowsy
drudgery	drudgery
drug	dwòg
drug dealing	dwòg fè fas
drugged	dwòg
druggist	drogist
drugs	dwòg
drugstore	famasi
druid	drwid
drum	tanbou
drummer	drummer
drumming	tanbou
drunk	bwè
drunk driving	bwè kondwi
drunkard	bwè
drunken	tafyatè
drunkenness	bwè
dry	sèk
dryer	seche rad
dryness	seche
dual	doub
dualism	dualism
duality	duality
dub	dub
dubious	ézitan
duchess	duchess
duck	kanna
ducking	Ducking
duckling	kanèt
ducky	ducky
duct	koule
ductile	duktil
dud	dud
dude	dude
duds	duds
due	akòz
duel	lut
dues	Kantite lajan
duet	duet
duffel	dofel
dugout	dugout
duh	duh
duke	chèf
dull	mat
dullard	dullard
dumb	bèbè
dumbasses	dumbasses
dumbbell	altèr
dumbbitch	NO TRANSLATION
dumfound	dumfound
dumfounder	NO TRANSLATION
dummy	egare
dump	pil fatra
dumpling	boulèt
dumps	depo yo
dumpster	pil fatra
dun	dun
dunce	dunce
dune	Dune
dung	NO TRANSLATION
dungeon	kacho
dunk	dunk
duo	Duo
dupe	jupe
duplex	duplex
duplicate	kopi
duplication	repete
duplicity	duplicity
durability	durability
durable	dirab
duration	dire
duress	duress
dusk	solèy kouche
dusky	dusky
dust	pousyè
duster	dust
dustpan	dustpan
dusty	pousyè
dutiful	obligatwa
duty	devwa
dwarf	tinen
dwarfed	dwarfed
dweeb	dweeb
dwell	rete
dweller	Dweller
dwelling	rete
dye	lank
dying	mouri
dyke	dyke
dynamic	dinamik
dynamical	dinamik
dynamics	dinamik
dynamite	dinamit
dynamo	dinamik
dynasty	dinasti
dysentery	disantri
dysfunction	malfonksyònman
dysfunctional	disfonksyonèl
dyspepsia	dyspepsia
eager	anvi
eagerness	anprèsman
eagle	malfini
ear	zòrèy
earful	zòrèy
earl	Earl
earlier	pi bonè
early	byen bonè
earn	touche
earnest	seryezman
earnestly	rèd
earnestness	seryezman
earnings	salè
earpiece	kask
earring	zanno
earrings	zanno
earshot	zòrèy
earth	latè
earthenware	fayans
earthling	earthling
earthly	sou latè
earthquake	tranbleman tè
earthy	tè
ease	fasilite
easel	chnil
easement	fasilite
easily	fasil
east	bò solèy leve
eastbound	bò solèy kouche
eastern	lès
easy	fasil
easygoing	kontwole
eat	manje
eater	Manjè
eating	manje
