Word	sm
dangle	siva
dank	NO TRANSLATION
dapper	faʻatau
dare	fefe
daredevil	maredevil
daresay	laresay
daring	fefe
dark	pogisa
darken	pogisa
darkened	pogisa
darkly	pogisa
darkness	pogisa
darkroom	pogisa
darkside	pogisa
darling	alofagia
darn	darn
dart	toso
dash	faasee
dashboard	laupapa
dashed	faʻanoanoa
dashing	faʻanofo
dastardly	vave
data	faʻamaumauga
database	database
date	aso
datenight	NO TRANSLATION
daughter	afa'fine
dawdle	taʻavale
dawn	taeao
dawned	vaveao
day	aso
daybreak	le vaveao
daycare	aso tausi tausiga
daydream	aso
daydreaming	tafaoga faamasani
daylight	aso malamalama
daymade	NO TRANSLATION
dayoff	NO TRANSLATION
daytime	aso
daze	tagi
dazed	osooso
dazzle	taofi
dazzling	mataʻutia
deacon	tiakono
deactivate	taofiofia
dead	oti
deadbeat	oti
deadline	aso faʻamuta
deadlines	taimi tapunia
deadlock	siaki
deadly	oti
deaf	tutuli
deafening	faʻalogo
deafness	tutuli
deal	taulimaina
dealer	faʻatau
dealership	fefaʻatauaʻiga
dealing	taulimaina
dealings	fefaʻatauaiga
dean	taʻavale
dear	pele
dearest	pele
dearth	oge
death	maliu
deathbed	oti
deathly	maliu
debacle	paʻu
debased	leaga
debatable	faʻafefe
debate	finauga
debauchery	faʻatafuna
debenture	aitalafu
debilitating	faʻavaivaia
debit	aitalafu
debrief	toesea
debriefing	otootoga
debris	otaota
debt	aitalafu
debtor	tagata nofo aitalafu
debut	amataga
debutante	amataga
decade	sefulu tausaga
decadence	leaga
decadent	faʻaleagaina
decaf	decaf
decanter	pala
decathlon	decathlon
decay	pala
decayed	faaleagaina
decaying	pala
deceased	ua maliu
decedent	taimi
deceit	taufaasese
deceitful	taufaasese
deceive	faasese
deceived	faaseseina
deceiving	faaseseina
december	Tesema
decency	amiolelei
decent	lelei
deception	taufaasese
deceptive	taufaasese
decide	filifili
decidedly	filifili
deciduous	toso
decimal	fua faʻatau
decimeter	decimeter
decipher	filifili
decision	filifiliga
decisive	filifili
deck	toso
declaration	tautinoga
declaratory	taʻutaʻu
declare	taʻutaʻu
declination	faʻaitiitia
decline	faʻaitiitia
declining	faʻaitiitia
deco	teuteu
decode	faʻaitiitia
decoder	faʻaiʻuga
decompose	lafoaʻi
decomposed	faʻavae
decomposition	faʻavae
decompress	tosoina
decompression	faʻalavelave
decontamination	faʻaleagaina
decor	meaʻai
decorate	teuteu
decorating	teuteu
decoration	teuteuga
decorative	teuteu
decorator	teuteu
decorum	amio leaga
decoy	teuteu
decrease	faaitiitia
decreased	faaitiitia
decreasing	faʻaititia
decree	tusi
decrement	palaʻai
decrepit	faʻaleagaina
decry	decry
decryption	decryption
dedicate	faapaia
dedication	faapaiaga
deduce	toso
deduct	toso
deductible	toesea
deduction	toesega
deed	feagaiga
deejay	tusijay
deem	manatu
deep	loloto
deepen	faʻaloloto
deer	tia
defamation	taufaaleaga
defamatory	taufaaleaga
default	leai se totogi
defeat	toilalo
defeated	faʻailoga
defeatist	toilalo
defect	faaletonu
defection	teteʻe
defective	le lelei
defector	tagata maʻi
defend	puipui
defendant	ua molia
defended	puipuia
defender	tagata puipui
defending	puipuia
defense	puipuiga
defenseless	leai se puipuiga
defensible	lē mafai
defensive	puipuiga
defer	tolopo
deference	manatu
deferral	tolopoina
deferring	tolopoina
defiance	teteʻe
defiant	lē fiafia
defibrillator	defibrillator
deficiency	le atoatoa
deficient	le lava
deficit	faaletonu
define	faʻamalamalama
defined	faʻamatalaina
definite	manino
definition	faʻamatalaga
definitive	mautinoa
deflate	faʻatau
deflation	taufaaleaga
deflect	faʻafefete
deflection	feteʻenaʻi
defloration	faʻatauvaʻa
deform	pala
deformed	leaga
deformity	leaga
defraud	taufaasese
defray	faʻaleagaina
defrost	faʻaleagaina
deft	au
defunct	taʻutaʻu
defuse	faʻatau
defy	faʻatau
degeneracy	degeneracy
degenerate	agavaʻa
degeneration	faʻaleagaina
degradation	faʻaleagaina
degrade	faʻaleagaina
degraded	faʻaleagaina
degrading	faʻaleagaina
degree	tikeri
dehydrated	faamalolo
dehydration	vai inu
dejected	faanoanoa
delay	tuai
delayed	tuai
delectable	faʻamalosi
delegate	sui
delegation	tuuina atu malosiaga
delete	tape
deleterious	solo
deletion	solo
deli	au
deliberate	mafaufau
deliberation	feutagaiga
deliberative	filifiliga
delicacy	meaʻai
delicate	faʻamalosi
delicatessen	faʻamalosi
delicious	suamalie
delight	fiafia
delighted	fiafia
delightful	fiafia
delineate	faʻamanatu
delineation	faʻataʻitaʻiga
delinquency	sese
delinquent	lē faʻaaoga
delirious	fiafia
delirium	faʻasalaga
deliver	laveaʻi
deliverance	laveaʻi
delivery	tuʻuina atu
dell	faʻalelei
delta	Delta
delude	valea
deluge	lologa
delusion	taufaasese
delusional	taufaasese
deluxe	fiafiaga
delve	delve
demand	manaʻoga
demanding	faʻamalosia
demeaned	faalumaina
demeaning	faalumaina
demeanor	uiga masani
demented	faʻanoanoa
dementia	teteʻe
demise	oti
demo	demo
democracy	faatemokarasi
democrat	faatemokalasi
democratic	faatemokalasi
demographic	numera
demolish	talepe
demolished	faʻaumatia
demolition	talepe
demon	temoni
demonic	temoni
demonstrable	faʻaalia
demonstrate	faʻaali
demonstrated	faaalia
demonstrating	faʻaalia
demonstration	faatinoga
demonstrative	faʻataʻitaʻiga
demonstrator	faʻataʻitaʻiga
demoralized	vaivai
demos	demas
demure	mea leaga
den	NO TRANSLATION
deniability	faʻaleagaina
denial	faafitia
denied	faafitia
denim	denim
denomination	igoa
denominational	lotu
denominator	faʻasologa
denote	faʻaalia
denounce	faʻasalaga
dense	mea manogi
density	tele
dent	tootoo
dental	nifo
dentist	fomai nifo
dentistry	fomai nifo
dentists	fomai nifo
denunciation	faʻasalaga
deny	faafitia
denying	faafitia
deodorant	deodorant
depart	alu ese
departed	alu ese
department	matagaluega
departmental	matagaluega
departure	aluese
depend	faalagolago
dependable	faʻatuatuaina
dependant	faalagolago
dependence	faalagolago
dependency	faalagolago
dependent	faalagolago
depict	faʻaalia
depicting	faʻaali
depletion	toʻaga
deplorable	mea leaga
deplore	atuatuvale
deploy	faʻapipiʻi
deployment	faʻapipiʻiina
deport	aveese
deportation	ave ese
depose	lafo
deposit	teuina
depositary	tagata faʻamau
deposition	lafoina
depository	fale teu
depot	nofoaga
depraved	leaga
depravity	leaga
depreciate	faaitiitia
depreciated	faʻanoanoa
depreciation	toesega
depress	faanoanoa
depressed	faanoanoa
depressing	faanoanoaga
depression	faanoanoaga
depressive	faanoanoaga
depresson	NO TRANSLATION
deprivation	faoa
deprive	aveese
deprived	leai
depth	loloto
deputy	sui
derail	toso
deranged	vavae ese
derelict	tusi
derision	taufaalili
derivation	faʻamatalaga
derivative	faʻavae
derive	maua mai
dermal	afua
dermatologist	o le dermatologist
dermatology	dermatology
derogation	faʻasalaga
derogatory	faʻaleagaina
descend	alu ifo i lalo
descendant	fanau
descendent	NO TRANSLATION
descending	alu ifo
descent	tupuaga
describe	faamatala
description	faʻamatalaga
descriptive	faamatalaina
desecrate	leaga
desecration	leaga
desert	toafa
deserted	faʻanoanoa
deserter	faʻanoanoa
desertion	faʻaumatiaga
deserve	talafeagai
deserved	tatau
deserving	talafeagai
design	mamanu
designate	filifilia
designated	atofaina
designation	igoa
designed	mamanu
designer	mamanu
designing	mamanu
desirability	manaʻomia
desirable	manaomia
desire	naunau
desiring	manaʻo
desirous	naunau
desist	aloese
desk	kesi
desolate	nofofua
desolation	faatafunaga
despair	faanoanoa
despairing	faanoanoa
despatch	faʻailoga
desperado	desperado
desperate	atuatuvale
desperation	atuatuvale
despicable	inoino
despise	inoino
despondent	lotovaivai
despotic	inoino
despotism	inoino
dessert	suamalie
destination	malaga
destined	faamoemoeina
destiny	taunuuga
destitute	matitiva
destroy	faʻaumatia
destroyed	faʻaumatia
destroyer	faʻaumatia
destroying	faʻaumatia
destruct	faʻaumatia
destruction	faʻaumatia
destructive	faʻaumatia
detach	vavae ese
detached	tataʻese
detachment	vavae ese
detail	auiliiliga
detailed	auiliiliga
details	auiliiliga
detain	taofia
detainee	tagata taofia
detect	iloa
detectable	iloagofie
detection	siaki
detective	leoleo
detector	tagata suʻesuʻe
detention	taofiga
deter	toso
detergent	tagata maʻi
deteriorate	faasolosolo
deteriorated	faasolosolo malie
deteriorating	faasolosolo malie
deterioration	faʻaleagaina
determinable	fuafua
determinate	fuafua
determination	naunautaiga
determine	fuafuaina
determined	fuafuaina
deterrent	taofia
detest	inoino
detestation	faʻaleagaina
detonate	faʻamaonia
detonation	faʻasalaga
detonator	detonator
detour	taʻavale
detract	faʻalavelave
detriment	faʻaleagaina
detrimental	leaga
detritus	detritus
deuce	lafoaʻi
deutschmark	deutschmark
devalued	faʻatauvaʻa
devastate	faʻaleagaina
devastated	faʻanoanoa
devastating	faʻalavelave
devastation	faʻaleagaga
develop	atiina ae
developer	le atinaʻe
developing	atinae
development	atinae
deviant	vavao
deviate	sola ese
deviating	vavae ese
deviation	feeseeseaiga
device	masini
devil	tiapolo
deviled	faʻasalaga
devilish	tiapolo
devious	taufaasese
devise	fuafua
devoid	leai
devolution	faʻavae
devolve	tuʻua
devote	tuuto
devoted	tuuto
devotee	tagata faʻafetai
devotion	tuuto
devotional	faigalotu
devour	'ai
devout	faamaoni
dew	sau
dexter	toso
dexterity	feeseeseaiga
dextrose	dextrose
diabetes	maʻisuka
diabetic	maʻisuka
diabolical	tiapolo
diagnose	faʻamaʻi
diagnosis	faʻamaʻi
diagnostic	faʻamaʻi
diagnostics	faʻamaʻi
diagonal	faʻasolosolo
diagram	ata
dial	telefoni
dialect	gagana
dialectic	gagana
dialogue	talatalanoaga
dialysis	faʻamaʻi
diameter	lautele
diamond	taimane
diamonds	taimane
diaper	faʻamaʻi
diaphragm	diaphragm
diarrhea	manava manava
diarrhoea	manava manava
diary	tusi tala
diatribe	diatribe
dib	NO TRANSLATION
dibs	toso
dice	togi
dicey	dicey
dichotomous	faʻamatalaga
dichotomy	dichotomy
dick	togitogi
dickhead	toso
dicks	faʻavaʻa
dictate	fai mai
dictation	faʻauʻuga
dictator	pule
dictatorial	faʻaupu
dictatorship	pule faʻamalosi
diction	faʻamatalaga
dictionary	lomifefiloi
dictum	NO TRANSLATION
didactic	aʻoaʻoga
diddle	faʻailoga
die	NO TRANSLATION
died	maliu
diesel	diesel
diet	taumafa
dietary	taumafa
differ	eseese
difference	eseesega
differences	eseesega
different	eseese
differential	eseese
differentiation	eseesega
differently	eseese
differing	eseese
difficult	faigata
difficulties	faigata
difficulty	faigata
diffuse	faasalalauina
diffusion	feeseeseaiga
dig	NO TRANSLATION
digest	eli
digestion	otaota
digestive	mamanu
digit	numera
digital	numera
dignified	mamalu
dignify	mamalu
dignity	mamalu
digress	digress
digs	NO TRANSLATION
dike	toa
dilapidated	faʻaleagaina
dilatation	faʻaolaina
dilation	uila
dildo	dildo
dilemma	faafitauli
diligence	maelega
diligent	maelega
dill	meaʻai
diluent	faʻaalu
dilute	faʻaitiitia
diluted	faʻaitiitia
dilution	faʻasalaga
dim	lanu
dime	tului
dimension	tele
dimensional	tele
diminish	faaitiitia
diminished	faaitiitia
diminution	faaitiitia
diminutive	itiiti
dimwit	laititi
din	NO TRANSLATION
dine	taumafa
diner	taumafataga
dinghy	faʻasologa
dingo	dingo
dingy	faʻauʻu
dining	'ai
dinky	dinky
dinner	taumafataga
dinnertime	taumafataga o le afiafi
dinosaur	dinosaur
dint	toso
diocesan	diocesan
diocese	diocese
diorama	diorama
dioxide	dioxide
dip	togi
diploma	tipiloma
diplomacy	diplomacy
diplomat	diplomat
diplomatic	malo
dipper	toso
dippy	le fiafia
dipstick	faila
dire	NO TRANSLATION
direct	tuusao
directed	taitaia
direction	taʻiala
directive	faatonuga
directly	saʻo
director	faatonu
directory	lisi
dirt	palapala
dirty	eleelea
disability	le atoatoa
disable	faʻamalo
disabled	vaivaiga
disadvantage	mea le lelei
disaffected	le fiafia
disagree	le malie
disagreeable	le malie
disagreeing	feeseeseai
disagreement	feeseeseaiga
disallow	faʻalēaoga
disallowed	le faʻatagaina
disapointment	NO TRANSLATION
disappear	mou ese
disappearance	le mou atu
disappearing	toesea
disappoint	le fiafia
disappointed	le fiafia
disappointing	faanoanoa
disappointment	le fiafia
disapproval	le taliaina
disapprove	le taliaina
disapproved	le taliaina
disapproving	le taliaina
disarm	faʻaumatia
disarray	leai se mea
disaster	mala
disastrous	leaga
disband	solo
disbelief	le talitonu
disbelieve	le talitonu
disburse	tufatufaina
disbursement	tupe faʻaalu
disc	CD
discard	lafo ese
discarded	lafoai
discards	toesega
discern	iloa
discernible	iloagofie
discerning	iloatino
discernment	iloatino
discharge	lafoaia
disciple	soo
disciplinary	faʻasalaga
discipline	amio pulea
disciplined	amio pulea
disclaim	faʻasaʻo
disclaimer	le faʻatagaina
disclose	faʻaaliga
disclosed	faʻaalia
disclosure	faʻaaliga
disco	iloa
discoloration	suʻesuʻega
discolored	faʻanoanoa
discomfort	popolega
disconcerted	faʻanoanoa
disconcerting	faʻaseseina
disconnect	vavae ese
disconnected	motusia
disconnection	vavae ese
disconnects	vavae ese
discontent	le fiafia
discontinuance	tolopoina
discontinue	tolopoina
discontinuity	faʻalogo
discontinuous	le tumau
discord	feeseeseaiga
discount	togi
discounted	tuusaunoa
discourage	lotovaivai
discouraged	lotovaivai
discouragement	lotovaivai
discouraging	lotovaivai
discourse	lauga
discover	iloa
discovery	mauaina
discredit	faʻaleagaina
discredited	faʻaleagaina
discreet	NO TRANSLATION
discrepancy	feeseeseaiga
discrete	manino
discretion	faitalia
discretionary	faitalia
discriminate	faʻamaonia
discriminating	faʻamaonia
discrimination	faʻailoga
discus	tala
discuss	talanoa
discussion	talanoaga
disdain	le amanaiaina
disdainful	inoino
disease	faamaʻi
diseased	maʻi
disembodied	faʻapipiʻi
disengage	aluese
disengagement	toesea
disfigured	faʻaleagaina
disgrace	faʻalumaina
disgraced	faalumaina
disgraceful	faʻalumaina
disgruntled	le fiafia
disguise	fesuiaʻi
disguised	faʻanofo
disgust	inoino
disgusted	inoino
disgusting	inosia
dish	ipu
disheartened	lotovaivai
disheartening	lotovaivai
dishonest	le faamaoni
dishonesty	le faamaoni
dishonor	faʻalumaina
dishonorable	faʻaleagaina
dishwasher	fafie
disillusionment	le mautonu
disinclination	fouvalega
disincline	le mautonu
disinclined	le mautonu
disinfect	faʻamaʻi
disinfectant	faʻamaʻi pipisi
disinfection	faʻaumatia
disinformation	faʻaleagaina
disingenuous	leai se uiga
disintegrate	faʻaumatia
disintegration	faʻamavaega
disinterested	le lelei
disjoint	faʻapipiʻi
disjointed	faʻasalaga
disjunctive	le faʻaaloalo
disk	vaʻa
diskette	lapisi
dislike	le fiafia
disliked	le fiafia
disliking	le fiafia
dislocated	solo
dislocation	faʻavae
dislodge	faʻaumatia
disloyal	le faamaoni
disloyalty	le faʻamaoni
dismal	leaga
dismantle	solo
dismay	faanoanoa
dismayed	faanoanoa
dismemberment	le mautonu
dismiss	faatea
dismissal	faateʻaina
dismissive	faatea
dismount	osofaʻiga
disobedience	le usiusitai
disobedient	lē usiusitaʻi
disobey	le usitai
disorder	maʻi
disordered	le mautonu
disorderly	le lelei
disorganized	le faʻatulagaina
disorientation	le mautonu
disoriented	lē faʻafefe
disown	faʻatau
disparage	faʻaleagaina
disparaging	faʻaleagaina
disparate	faʻavae
disparity	feeseeseaiga
dispassionate	leai se tasi
dispatch	lafo
dispatcher	avefeʻau
dispel	aveese
dispensary	faʻasalaga
dispensation	tisipenisione
dispense	tufatufaina atu
dispenser	tufatufa
dispersal	faataapeapeina
disperse	faasalalauina
dispersed	faataapeapeina
dispersion	faataapeapeina
dispirited	sui
displace	sui
displaced	ua vavae ese
displacement	sui
displacency	feeseeseaiga
display	faʻaali
displease	le fiafia
displeased	le fiafia
displeasure	le fiafia
disposable	lafoai
disposal	lafoaia
dispose	lafo
disposed	lafoaʻi
disposition	lafoaʻiga
dispossessed	lafoaia
disprove	faʻamaonia
dispute	feeseeseaiga
disqualification	faʻatauvaʻa
disqualified	faʻatauvaʻa
disqualify	le agavaa
disquieted	atuatuvale
disregard	le amanaiaina
disregarded	le amanaiaina
disrelish	faʻanofo
disreputable	leai se mea
disrepute	faʻaleagaina
disrespect	le faʻaaloalo
disrespectful	le faaaloalo
disrupt	faʻalavelave
disrupting	faʻalavelave
disruption	faʻalavelave
disruptive	faʻalavelave
dissatisfaction	le le fiafia
dissatisfied	lē faamalieina
dissect	faʻasalalau
dissection	faʻasesega
disseminate	faʻasalalau
dissemination	faʻasalalauga
dissension	fevaevaeaiga
dissent	teteʻe
dissenting	teteʻe
dissertation	faʻasalalauga
disservice	faʻasalaga
dissident	le o se mea e le mafai
dissimilar	e le tutusa
dissipate	solo
dissipated	solo
dissociation	vavaeese
dissociative	faʻafitauli
dissolution	faataapeina
dissolve	faataapeina
dissonance	dissonance
dissuade	taofi
distal	faʻalavelave
distance	mamao
distant	mamao
distaste	faʻaleagaina
distasteful	faʻaleagaina
distillate	faʻamaʻi
distillation	faʻasalaga
distilled	faʻamaʻi
distinct	manino
distinction	tulaga ese
distinctive	iloga
distinguish	iloga
distinguishable	iloga
distinguished	iloga
distinguishing	iloagofie
distort	faʻasese
distorted	faʻasoesa
distortion	faʻalavelave
distract	faʻalavelave
distracted	tosina
distracting	faʻalavelave
distraction	faʻalavelave
distraught	faʻalavelave
distress	mafatia
distressed	faanoanoa
distressing	mafatiaga
distribute	tufatufaina
distribution	tufatufaga
distributor	tufatufa
district	itumalo
distrust	le talitonu
disturb	faʻalavelave
disturbance	faʻalavelave
disturbed	faʻalavelave
disturbing	faʻalavelave
disuse	faʻasalalau
disused	faʻalavelave
ditch	alavai
ditto	fai mai
ditty	tala
diurnal	diurnal
diva	diva
divan	NO TRANSLATION
dive	sasao
diver	paʻu
diverge	feeseeseaʻi
divergence	eseesega
divergent	eseese
diverging	vavave
divers	eseese
diverse	eseese
diversified	eseese
diversify	eseese
diversion	feeseeseaiga
diversionary	feeseeseaiga
diversity	eseese
divert	faʻanofo
diverting	fesuiaʻi
divest	faʻasolosolo
divested	faʻasolosolo
divestment	faʻasologa
divide	fevaevaeaʻi
divided	vaevaeina
dividend	tufatufaga
divination	vavalo
divine	paia
divinity	paia
divisible	vaeluaina
division	vaevaega
divisor	vaevaega
divorce	teteʻa
divorcee	teteʻa
divulge	faʻamatala
divvy	vavalo
dizziness	vavao
dizzy	uila
do	fai
doable	mafai
doc	doc
docile	tosole
dock	faʻailoga
docked	faʻailoa
docket	taga
docking	faʻailoga
doctor	fomai
doctorate	doctorate
doctrinal	aoaoga faavae
doctrine	aoaoga faavae
document	pepa aloaia
documentary	pepa faʻailoga
documentation	faʻamaumauga
documents	pepa
dodge	alo ese
dodger	tagata faʻatau
dodging	alo ese
dodgy	toso
dodo	dodo
doe	fai
doer	tagata fai
dog	taifau
dogface	dog dog
dogged	taifau
doggy	taifau
doghouse	taifau
dogma	dogma
dogmatic	taʻutino
dogsick	NO TRANSLATION
doings	faia galuega
doit	NO TRANSLATION
dojo	faijo
doldrums	faanatinati
dole	leai
doll	pepe taalo
dollar	tālā
dollhouse	pepe taalo
dolor	NO TRANSLATION
dolphin	dolphin
domain	fanua
dome	au
domestic	aiga
domesticated	fale
domestication	domestication
domicile	fale
domiciled	nofomau
dominance	puleʻaga
dominant	puleʻaga
dominate	puleʻaga
dominating	puleʻaga
domination	puleʻaga
dominatrix	taʻutaʻua
dominion	malo
domino	domino
don	foai
donate	foai
donation	foai
donkey	asini
donor	tagata foai
dontlikeyou	NO TRANSLATION
dontmess	NO TRANSLATION
dontmesswithme	e le o ia
dontpanic	dontpanic
dontunderstand	NO TRANSLATION
doodle	toodle
doom	malaia
doomed	faʻaumatia
doomsday	aso ole aso
door	faitotoa
doorbell	faitotoa o le faitotoa
doorknob	tootoo
doorman	mea mataʻutia
doormat	fai mea mataʻutia
doornail	faʻailoga
doorstep	faitotoa
doorway	faitotoa
dopamine	dopamine
dope	toso
dopey	toso
dork	toso
dorky	toso
dorm	moe
dormant	moe
dormitory	fale nofo
dorsal	toso
dosage	fua
dose	fualaau
dossier	faila
dot	togi
doting	faʻailoga
dotted	togi
dotty	togi
double	faalua
doubled	faaluaina
doublet	faaluaina
doubling	masalosalo
doubt	masalosalo
doubtful	masalosalo
doubting	masalosalo
doubtless	leai se masalosalo
doubts	masalosaloga
douche	douche
douchebags	douchebags
dough	paluga
doughboy	tama tama tama
doughnut	donut
dour	u
douse	fai
dove	lupe
down	lalo
downcast	faanoanoa
downer	toso
downfall	pa'ū
downfield	lalo
downhearted	loto vaivai
downhill	togi
download	download
downpour	timuga
downright	leaga
downriver	lalo ifo
downside	pito i lalo
downtime	toso
downward	agai i lalo
downy	lalo ifo
dowry	totogi
doze	taofi
dozen	toaselau
drab	tala
draft	ata tusi
drafty	maualuluga
drag	toso
dragon	tarako
dragonfly	dragonfly
drain	suavai
drainage	alavai
drained	sasaa
draining	suavai
drainpipe	drainpipe
drake	drake
drama	tala faatino
dramaqueen	NO TRANSLATION
dramatic	mataʻutia
drape	drape
drapery	faʻamatalaga
drastic	malosi tele
drat	NO TRANSLATION
draught	ata tusi
draw	tusi
drawback	toe faafoi
drawbridge	tusia le ala laupapa
drawer	tootoo
drawers	toso
drawing	tusi ata
dread	fefe
dreaded	mataʻutia
dreadful	mataʻutia
dreadfully	mataʻutia
dreading	fefe
dream	miti
dreamboat	miti
dreamer	tagata moemiti
dreaming	miti
dreamland	miti
dreams	miti
dreamt	miti
dreamy	miti
dreary	vaivai
dredge	toso
drenched	toso
dress	ofu
dresser	ofu
dressmaker	ofu talaloa
dressy	laei
dribble	NO TRANSLATION
dried	mago
drier	pupu
drift	vaʻavaʻa
drifted	feoaʻi
drifter	feoaʻi
driftwood	faʻailoga
drill	fofo
drink	vaiinu
drinker	meainu
drinking	inu
drinks	mea inu
drip	malolo
dripping	afaina
drive	ave taavale
drivel	drivel
driver	avetaʻavale
driveway	ala taavale
drizzle	avetaʻavale
droll	drolu
drone	mativa
drones	drones
drool	pa'ū
drooping	pa'ū
droopy	paʻu
drop	pa'ū
droplet	otaota
dropout	le au
dropper	tolo
drought	lamala
drove	NO TRANSLATION
drown	malemo
drowsiness	moe
drowsy	moe
drudgery	faʻalavelave
drug	fualaau faasaina
drug dealing	fualaau faasaina
drugged	fualaau faasaina
druggist	fomaʻi
drugs	fualaau faasaina
drugstore	fale talimalo
druid	faʻamalosi
drum	taofi
drummer	tagata taalili
drumming	talatala
drunk	onā
drunk driving	onā inu
drunkard	onā
drunken	onā
drunkenness	onā
dry	mago
dryer	vailaau
dryness	malogo
dual	lua
dualism	faalua
duality	lua
dub	dub
dubious	faʻailoga
duchess	lechess
duck	pato
ducking	leai
duckling	tamaʻi pepe
ducky	lapoʻa
duct	pule
ductile	ductile
dud	dud
dude	teine
duds	tifaga
due	tatau
duel	Duel
dues	leai
duet	Duet
duffel	au
dugout	dugout
duh	Duh
duke	taupulega
dull	faʻanoanoa
dullard	Totogi
dumb	gūgū
dumbasses	fagu
dumbbell	dumbbell
dumbbitch	NO TRANSLATION
dumfound	faʻailoga
dumfounder	NO TRANSLATION
dummy	paʻu
dump	lafoai
dumpling	faʻatasi
dumps	faʻaumatia
dumpster	faasee
dun	fiafia
dunce	tanu
dune	lapo
dung	NO TRANSLATION
dungeon	falepuipui
dunk	faʻailoa
duo	Duo
dupe	paʻu
duplex	faʻailoga
duplicate	lua
duplication	faia faʻalua
duplicity	faʻaogalua
durability	le tumau
durable	umi
duration	umi
duress	leai
dusk	afiafi
dusky	aoauli
dust	pefu
duster	solo
dustpan	pefu
dusty	pefu
dutiful	faaaloalo
duty	tiute
dwarf	faʻailoga
dwarfed	faʻanoanoa
dweeb	dweeb
dwell	mau
dweller	tagata faatau
dwelling	nofo
dye	vali
dying	oti
dyke	dyke
dynamic	malosi
dynamical	malosi
dynamics	malosi
dynamite	malosi
dynamo	dynamo
dynasty	malo
dysentery	vailaʻau
dysfunction	faʻaleagaina
dysfunctional	faʻaleagaina
dyspepsia	dyspepsia
eager	naunau
eagerness	naunau
eagle	aeto
ear	taliga
earful	taliga
earl	taliga
earlier	muamua
early	vave
earn	maua
earnest	faamaoni
earnestly	faamaoni
earnestness	faamaoni
earnings	tupe maua
earpiece	talipupuni
earring	taliga
earrings	tautaliga
earshot	taliga
earth	lalolagi
earthenware	otaota
earthling	lalolagiling
earthly	lalolagi
earthquake	mafuie
earthy	eleele
ease	faigofie
easel	faʻailoga
easement	aia tatau
easily	faigofie
east	sase
eastbound	sasaʻe
eastern	sasaʻe
easy	faigofie
easygoing	faifailemu
eat	'ai
eater	'ai
eating	'ai
eatingdisorders	NO TRANSLATION
eavesdrop	vaʻavaʻa
eavesdropping	eavesdropping
ebb	ebb
ebony	eboni
ebullient	faʻamalieina
eccentric	afaina
eccentricity	mafatiaga
ecclesiastical	lotu
echelon	echelon
echinacea	echinacea
echo	faʻalogo
eclectic	faʻaleleia
eclipse	faʻapouliuli
ecliptic	ecliptic
ecological	faʻaleleia
economic	tamaoaiga
economical	tamaoaiga
economics	tamaoaiga
economy	tamaoaiga
ecosystem	meaola faanatura
ecstasy	fiafia
ecstatic	fiafia
ecumenical	ekaleni
eddy	eddy
edema	edema
edge	mata
edging	faʻasologa
edgy	edgy
edible	taumafa
edict	tulafono
edification	faʻamalosia
edifice	fausiaina
edit	faʻafeiloaʻi
editing	teuteu
edition	lomiga
editor	faatonu
editorial	faatonu
educate	aʻoaʻo
educated	aʻoaʻoina
education	aʻoga
educational	aʻoaʻoga
educator	faiaoga
eeeek	NO TRANSLATION
eeek	NO TRANSLATION
eek	eek
eel	uila
eerie	eerie
effect	aʻafiaga
effective	mataalia
effectiveness	aoga
effects	aafiaga
effectual	aoga
effectually	i lona uiga
effectuate	aoga
effeminate	faʻafeminate
efficacious	aoga
efficacy	aoga
efficiency	lelei
efficient	lelei
effigy	mataʻu
effort	taumafaiga
effortless	leai se aoga
effusion	mataʻu
effyou	NO TRANSLATION
egg	fuamoa
egghead	egghead
eggnog	eggnog
eggplant	eggplant
eggshell	fuamoa
ego	tupe
egomaniac	egomaniac
egotistical	maualuga
egregious	egregious
egress	faʻafeiloaʻi
eight	valu
eighteen	sefulu ma le valu
eighth	tulaga valu
eighty	valu sefulu
ejaculate	ejaculate
ejaculation	ejaculation
eject	lafo ese
ejection	taʻusalaga
elaborate	faʻamatala manino
elaboration	faʻamatalaina
elan	NO TRANSLATION
elapse	sosolo
elapsed	ua mavae
elastic	lafoaʻi
elasticity	elasticity
elated	fiafia
elation	faʻaaliga
elbow	tulivae
eld	eld
elder	toeaina
elderly	matua
elders	toeaina
eldest	ulumatua
elect	filifilia
election	faiga palota
elective	filifilia
elector	tagata palota
electoral	faiga palota
electorate	faiga palota
electric	eletise
electric slide	eletise eletise
electrical	eletise
electrician	eletise
electricity	eletise
electrify	filifili
electrocute	electrocute
electrocution	faʻaipoipo
electromagnetic	eletise
electron	eletise
electronic	eletoroni
electronics	eletise
elegance	eleeʻa
elegant	matagofie
element	elemene
elemental	elemene
elementary	laʻititi
elements	elemene
elephant	elefane
elevate	siitia
elevated	maualuga
elevation	maualuga
elevator	eletise
eleven	sefulu ma le tasi
eleventh	tulaga sefulu ma le tasi
elf	elf
elicit	faʻaalia
eligible	agavaa
eliminate	faʻaitiitia
elimination	faʻasalaga
elite	tagata matutua
elitist	elitist
elixir	elixir
elk	elk
ell	alu
ellipse	elilo
ellipsis	ellipsis
ellipsoid	ellipsoid
elliptic	elliptic
elliptical	elliptical
elm	elm
elongate	elongate
elongation	elongation
elope	mamanu
eloquence	manuia
eloquent	faʻamalosi
elucidate	lugalidate
elucidation	maualuga
elude	aloese
