Word	uz
crutch	tayoq
crux	crux
cry	yig'lash
crybaby	ayyorlik
crying	yig'lar
crypt	crypt
cryptic	sirli
cryptography	kriptografiya
crystal	kristalli
crystalline	kristalli
crystallization	kristallanish
cub	kubik
cubby	kubbasi
cube	kub
cubic	kub
cubicle	hujayra
cuckold	yolg'on
cuckoo	keksa
cucumber	bodring
cuddle	jodugarlik
cuddled	qochib ketgan
cuddles	kukunlar
cuddling	qichqirish
cue	belgisi
cuff	qo'ltiq
cuisine	oshxonalar
culinary	oshxonadan
cull	tortishish
culminate	oxiriga yetadi
culmination	avj nuqtasi
culpability	aybdorlik
culpable	aybdor
culprit	aybdor
cult	tavba qilish
cultivate	o'stirish
cultivated	o'stiriladi
cultivation	o'stirish
cultural	madaniy
culture	madaniyat
cultured	madaniyatga ega
culvert	Culvert
cumbersome	noqulay
cumulus	jamulus
cunning	ayyorlik
cunt	jingalak
cup	chashka
cupboard	Javon
cupcake	cupcake
cupping	oshqozon
cur	O'chirish
curable	davolash mumkin
curate	urate qilish
curative	shifobaxsh
curator	kurator
curb	siqila
curd	chiriyotgan
cure	davolash
curfew	komendantlik soati
curiosity	qiziqish
curious	qiziq
curl	kıvrım
curling	kıvırma
currency	valyuta
current	joriy
curriculum	o'quv dasturi
curry	kori
curse	la'natlash
cursed	la'natlangan
cursing	la'natlash
cursory	jonsiz
curt	Curt
curtail	cheklash
curtailment	qisqartirish
curtain	parda
curtains	pardalar
curtsy	kursiv
curvature	egrilik
curve	egri
curved	kavisli
curvilinear	egri chiziq
cushion	yostiq
cushy	yumshoq
cusp	kassa
cuss	cuss
cussed	qotib qolgan
custard	muhallabi
custodial	qamoqqa olish
custodian	nazoratchi
custody	qamoqda saqlash
custom	odatiy
customary	odatiy
customer	mijozlar
customized	tayyorlangan
cut	kesish
cutaneous	teri
cute	yoqimli
cuticle	kaktikulyar
cutie	kostyum
cutlass	tarozi tortilgan
cutlery	vilkalar vilkasi
cutoff	qirqib tashlash
cutter	to'sar
cutters	to'xtatuvchidir
cutthroat	yoqilg'i
cutting	kesish
cutting board	chiqib ketish kartasi
cuttings	so'qmoqlar
cwt	cwt
cyanide	siyanür
cyberspace	kiber maydon
cycle	pastadir
cyclical	davriy
cyclist	velosipedchi
cyclone	siklon
cylinder	silindir
cylindrical	silindrsimon
cymbal	yaltiroq
cynic	kineti
cynical	kinoyali
cynicism	kynikizm
cyst	kist
cystic	sezuvchanlik
cytomegalovirus	sitomegalovirus
cytoplasm	sitoplazma
czar	qirollik
dab	dab
dabble	dabble
dabbling	dabbling
dad	otam
daddy	otam
dado	NO TRANSLATION
daemon	daemon
daft	daft
dagger	xanjar
daily	har kuni
dainty	xushbichim
daiquiri	daiquiri
dairy	sut mahsulotlari
daisy	Daisy
dak	NO TRANSLATION
dale	Dale
dam	to'g'on
damage	zarar
damaged	zarar etkazilgan
damages	zarar etkazilishi mumkin
dame	dame
damn	Jin ursin
damnation	la'natlash
damned	lanet
damp	namlik
dampened	namlangan
damper	damper
damsel	qizim
dance	raqs
dancer	raqqosa
dancing	raqs qilish
dandruff	kepek
dandy	chiroyli
danger	Xavf
dangerous	xavfli
dangerously	xavfli
dangit	NO TRANSLATION
dangle	dangalak
dank	NO TRANSLATION
dapper	dapper
dare	jasorat
daredevil	daredevil
daresay	daresay
daring	jasur
dark	qorong'i
darken	qorong'i
darkened	qorong'i
darkly	qorong'i
darkness	zulmat
darkroom	qorong'i xonada
darkside	mavhum tomoni
darling	sevgilim
darn	shubhasiz
dart	tortish
dash	chiziq
dashboard	asboblar paneli
dashed	chigallashdi
dashing	chaqqonlik
dastardly	dastavval
data	ma'lumotlar
database	ma'lumotlar bazasi
date	tarix
datenight	NO TRANSLATION
daughter	qizim
dawdle	dawdle
dawn	tong
dawned	shoshib qoldi
day	kun
daybreak	tong yorilishi
daycare	kundalik parvarishlash
daydream	kunduzgi oqim
daydreaming	tushkunlikka tushish
daylight	kunduzi
daymade	NO TRANSLATION
dayoff	NO TRANSLATION
daytime	kunduzi
daze	shodlik
dazed	dazed
dazzle	hayratda qoldiring
dazzling	ko'zni qamashtiradigan
deacon	deacon
deactivate	o'chiring
dead	o'lik
deadbeat	o'lik
deadline	topshirish muddati; tugatish muddati
deadlines	muddati
deadlock	halokat
deadly	o'lik holda
deaf	kar
deafening	quloq solar
deafness	karlik
deal	shartnoma
dealer	sotuvchi
dealership	dilerlik
dealing	harakat qilish
dealings	munosabatlar
dean	Dekan
dear	azizim
dearest	azizim
dearth	ozor
death	o'lim
deathbed	o'lim to'shagi
deathly	o'lim bilan
debacle	xato
debased	qarzga botgan
debatable	munozarali
debate	munozarasi
debauchery	buzuqlik
debenture	qarzdorlik
debilitating	zaiflashtirmoqda
debit	debet
debrief	debrief
debriefing	debriefing
debris	qoldiqlari
debt	qarz
debtor	qarzdor
debut	debyut
debutante	debyutant
decade	o'n yil
decadence	chuqurlik
decadent	buzilgan
decaf	dekaf
decanter	dekanter
decathlon	dekatlon
decay	parchalanadi
decayed	parchalanadi
decaying	parchalanish
deceased	o'lgan
decedent	meros
deceit	yolg'on
deceitful	yolg'onchi
deceive	aldash
deceived	aldatildi
deceiving	aldamchi
december	dekabr
decency	adolatsizlik
decent	yaxshi
deception	yolg'on
deceptive	yolg'onchi
decide	qaror qabul qilish
decidedly	albatta
deciduous	bargli
decimal	o'nlik kasr
decimeter	dekimetri
decipher	dehqon
decision	qaror
decisive	hal qiluvchi
deck	pastki
declaration	deklaratsiya
declaratory	deklaratsiya
declare	e'lon qilish
declination	mayl
decline	pasayish
declining	qisqarishi
deco	deko
decode	dekode qilish
decoder	dekoder
decompose	tarqaladi
decomposed	tarqalgan
decomposition	parchalanish
decompress	ochish
decompression	dekompressiya
decontamination	dekontaminatsiya
decor	dekor
decorate	bezab turing
decorating	bezatish
decoration	bezatish
decorative	dekorativ
decorator	dekorativ
decorum	decorum
decoy	chirigan
decrease	kamayishi
decreased	kamaydi
decreasing	kamaymoqda
decree	farmon
decrement	kamaytirish
decrepit	pasayish
decry	decry
decryption	shifrlarni ochish
dedicate	bag'ishlash
dedication	bag'ishlanish
deduce	tushuntirish
deduct	tushirish
deductible	chegirib tashlangan
deduction	chegirma
deed	amal
deejay	deejay
deem	deb o'ylayman
deep	chuqur
deepen	chuqurlashtirish
deer	kiyik
defamation	tuhmat qilish
defamatory	sharmanda qilish
default	sukut
defeat	mag'lubiyat
defeated	mag'lub bo'ldi
defeatist	mag'lubiyatga uchragan
defect	xato
defection	nomukammallik
defective	nomukammal
defector	defektor
defend	himoya qilish
defendant	ayblanuvchi
defended	himoyalangan
defender	himoyachi
defending	himoya qilish
defense	himoya qilish
defenseless	himoyasiz
defensible	himoyasiz
defensive	himoyachi
defer	kechiktirish
deference	hurmat
deferral	kechiktirish
deferring	kechiktirilishi
defiance	bo'ysunmaslik
defiant	qarshi
defibrillator	defibrilator
deficiency	etishmasligi
deficient	kam
deficit	kamomad
define	belgilang
defined	belgilangan
definite	aniq
definition	ta'rifi
definitive	aniq
deflate	deflate qilish
deflation	deflyatsiya
deflect	buzish
deflection	burilish
defloration	defloration
deform	deformatsiyalanadi
deformed	deformatsiyalangan
deformity	deformitivlik
defraud	yolg'on gapirish
defray	defray
defrost	defrost
deft	jasorat
defunct	noto'g'ri
defuse	nafas olish
defy	yolg'on gapirish
degeneracy	nasli
degenerate	vayron qilish
degeneration	dejenerasyon
degradation	degradatsiyaga uchragan
degrade	tushirish
degraded	degradatsiyaga uchradi
degrading	tahqirlash
degree	daraja
dehydrated	suvsizlangan
dehydration	suvsizlanish
dejected	g'azablangan
delay	kechikish
delayed	kechiktirildi
delectable	yoqimli
delegate	vakil
delegation	delegatsiya
delete	o'chirish
deleterious	zararli
deletion	o'chirish
deli	gastronom
deliberate	qasddan
deliberation	munozarasi
deliberative	munozarali
delicacy	nozikligi
delicate	nozik
delicatessen	tansiq ovqat
delicious	mazali
delight	quvonch
delighted	Men maftunman
delightful	yoqimli
delineate	belgilang
delineation	chegaralash
delinquency	jinoyatchilik
delinquent	sukut
delirious	jozibali
delirium	deliryum
deliver	etkazib berish
deliverance	najot
delivery	etkazib berish
dell	dell
delta	delta
delude	jirkanch
deluge	to'fon
delusion	yolg'on
delusional	aqldan ozgan
deluxe	hashamatli
delve	delve
demand	talab
demanding	talab qilmoqda
demeaned	tahqirlangan
demeaning	kamsitish
demeanor	xatti-harakat
demented	dement qilinmoqda
dementia	dementia
demise	o'lim
demo	demo
democracy	demokratiya
democrat	demokrat
democratic	demokratik
demographic	demografik
demolish	vayron qilmoq
demolished	buzib tashlangan
demolition	buzish
demon	iblis
demonic	iblisdir
demonstrable	ko'rsatish mumkin
demonstrate	namoyish qilish
demonstrated	namoyish etildi
demonstrating	namoyish qilmoqda
demonstration	namoyish qilish
demonstrative	namoyishlar
demonstrator	namoyishchi
demoralized	demoralize bo'ldi
demos	demolar
demure	demure
den	NO TRANSLATION
deniability	e'tirof etishmaydi
denial	rad etish
denied	rad etildi
denim	Daniy
denomination	nomlanishi
denominational	denominatsion
denominator	denominator
denote	belgilang
denounce	ayblash
dense	zich
density	zichligi
dent	dent
dental	dental
dentist	tish shifokori
dentistry	stomatologiya
dentists	dişhekimleri
denunciation	denonsatsiya
deny	inkor qilish
denying	inkor qilish
deodorant	deodorant
depart	ketish
departed	ketgan
department	Bo'lim
departmental	idoraviy
departure	ketish
depend	bog'liq
dependable	ishonchli
dependant	qaram
dependence	qaramlik
dependency	qaramlik
dependent	qaram
depict	tasvirlangan
depicting	tasvirlangan
depletion	yo'qotish
deplorable	achinarli
deplore	tuhmat qilish
deploy	tarqatish
deployment	tarqatish
deport	deportatsiya qilish
deportation	deportatsiya
depose	chiqaring
deposit	depozit
depositary	depozitariy
deposition	cho'kma
depository	depozitariy
depot	depo
depraved	buzilgan
depravity	axloqsizlik
depreciate	amortizatsiya qilish
depreciated	amortizatsiya qilingan
depreciation	amortizatsiya
depress	tushkunlik
depressed	tushkunlikka tushgan
depressing	g'amgin
depression	depressiya
depressive	depressiv
depresson	NO TRANSLATION
deprivation	deprivatsiya
deprive	mahrum bo'lish
deprived	mahrum
depth	chuqurlik
deputy	deputat
derail	shovqin
deranged	buzilgan
derelict	yo'qolgan
derision	sharmanda qilish
derivation	derivatsiya
derivative	lotin
derive	chiqaring
dermal	dermal
dermatologist	dermatolog
dermatology	dermatologiya
derogation	derogatsiya
derogatory	haqoratli
descend	pastga tushing
descendant	avlod
descendent	NO TRANSLATION
descending	kamayib boradi
descent	hodisa
describe	tasvirlab bering
description	tushuntirish
descriptive	tavsiflovchi
desecrate	haqorat qil
desecration	haqorat qilish
desert	cho'l
deserted	ketgan
deserter	qochib ketish
desertion	voz kechish
deserve	haq
deserved	haqli
deserving	loyiq
design	dizayni
designate	belgilang
designated	belgilangan
designation	belgilash
designed	mo'ljallangan
designer	dizayner
designing	loyihalash
desirability	istak
desirable	kerakli
desire	istak
desiring	istagan
desirous	istagan
desist	to'xtat
desk	stol
desolate	xarob
desolation	isrofgarchilik
despair	umidsizlik
despairing	umidsizlik
despatch	jo'natish
desperado	desperado
desperate	umidsiz
desperation	umidsizlik
despicable	haqoratli
despise	nafratlanish
despondent	umidsizlik
despotic	despotik
despotism	despotizm
dessert	shirin
destination	boradigan joy
destined	tayinlangan
destiny	taqdiri
destitute	qashshoqlik
destroy	yo'q qilish
destroyed	yo'q qilindi
destroyer	buzuvchi
destroying	yo'q qilish
destruct	yo'q qilish
destruction	yo'q qilish
destructive	halokatli
detach	ajrating
detached	ajratilgan
detachment	otishma
detail	batafsil
detailed	batafsil
details	tafsilotlar
detain	ushlab turish
detainee	ushlangan
detect	aniqlash
detectable	aniqlash mumkin
detection	aniqlash
detective	tergovchi
detector	detektor
detention	Axloq tuzatish
deter	to'xtatish
detergent	detarjan
deteriorate	yomonlashadi
deteriorated	yomonlashdi
deteriorating	yomonlashmoqda
deterioration	buzilish
determinable	aniqlash mumkin
determinate	aniqlanadi
determination	aniqlash
determine	aniqlash
determined	aniqlandi
deterrent	to'xtatuvchi
detest	noqulaylik
detestation	nopoklik
detonate	patlatmak
detonation	portlash
detonator	detonator
detour	aylanish
detract	kamsitish
detriment	zararli
detrimental	zararli
detritus	detritus
deuce	huquqbuzarlik
deutschmark	deutschmark
devalued	devalvatsiya qilingan
devastate	vayronagarchilik
devastated	vayron qilingan
devastating	halokatli
devastation	vayronagarchilik
develop	rivojlantirish
developer	Ishlab chiquvchi
developing	rivojlanmoqda
development	rivojlanish
deviant	deviant
deviate	chetga olish
deviating	qochish
deviation	og'ish
device	qurilma
devil	shayton
deviled	shilingan
devilish	iblis
devious	soxta
devise	devays
devoid	yo'q
devolution	devrim
devolve	devolve
devote	bag'ishlangan
devoted	bag'ishlangan
devotee	dindor
devotion	sadoqat
devotional	bag'rikenglik
devour	yutmoq
devout	dindor
dew	shudring
dexter	dexter
dexterity	mahorat
dextrose	dekstroz
diabetes	diabet
diabetic	diabetik
diabolical	shaytoniy
diagnose	tashxislash
diagnosis	tashxis
diagnostic	diagnostika
diagnostics	diagnostika
diagonal	diagonal
diagram	diagramma
dial	terish
dialect	dialekt
dialectic	dialektik
dialogue	suhbat
dialysis	diyaliz
diameter	diametri
diamond	olmos
diamonds	olmos
diaper	bezi bezi
diaphragm	diafragma
diarrhea	diareya
diarrhoea	diareya
diary	kunlik
diatribe	diatribe
dib	NO TRANSLATION
dibs	diblar
dice	zar
dicey	noto'g'ri
dichotomous	ikkilamchi
dichotomy	dichotomiya
dick	dik
dickhead	sikxayol
dicks	dicks
dictate	diktator
dictation	dictatsiya
dictator	diktator
dictatorial	diktatorlik
dictatorship	diktatorlik
diction	tushuntirish
dictionary	lug'at
dictum	NO TRANSLATION
didactic	didaktik
diddle	diddle
die	NO TRANSLATION
died	vafot etdi
diesel	dizel
diet	xun
dietary	parhez
differ	farq qiladi
difference	farq
differences	farqlar
different	turli xil
differential	farqlovchi
differentiation	farqlash
differently	boshqacha
differing	farq qiladi
difficult	qiyin
difficulties	qiyinchiliklar
difficulty	qiyinchilik
diffuse	tarqaladi
diffusion	diffuziya
dig	NO TRANSLATION
digest	hazm qilish
digestion	hazm qilish
digestive	oshqozon
digit	raqam
digital	raqamli
dignified	qadrli
dignify	qadrlash
dignity	qadr-qimmati
digress	yo'qotish
digs	NO TRANSLATION
dike	NO TRANSLATION
dilapidated	xiralashgan
dilatation	dilatatsiya
dilation	kengayish
dildo	dildo
dilemma	dilemma
diligence	mehnatsevarlik
diligent	mehnatsevar
dill	dereotu
diluent	diluent
dilute	suyuqlik
diluted	suyultiriladi
dilution	suyuqlik
dim	lol
dime	dima
dimension	hajmi
dimensional	o'lchamli
diminish	kamaytirish
diminished	kamaydi
diminution	kamayishi
diminutive	kichkina
dimwit	dimvit
din	NO TRANSLATION
dine	NO TRANSLATION
diner	ovqat
dinghy	botiq
dingo	dingo
dingy	iflos
dining	ovqatlanish
dinky	Dinky
dinner	kechki ovqat
dinnertime	dinnertime
dinosaur	dinozavr
dint	dint
diocesan	diocesan
diocese	peshvolar
diorama	diorama
dioxide	dioksid
dip	dip
diploma	diplom
diplomacy	diplomatiya
diplomat	diplomat
diplomatic	diplomatik
dipper	dipper
dippy	dippy
dipstick	chirog'i
dire	NO TRANSLATION
direct	to'g'ridan-to'g'ri
directed	yo'naltirilgan
direction	yo'nalish
directive	direktiv
directly	to'g'ridan-to'g'ri
director	rejissyor
directory	katalogi
dirt	axloqsizlik
dirty	iflos
disability	nogironlik
disable	o'chirib qo'ying
disabled	o'chirilgan
disadvantage	ahvolga tushgan
disaffected	norozi bo'lgan
disagree	rozi emasman
disagreeable	noqulay
disagreeing	kelishmovchiliklar
disagreement	kelishmovchilik
disallow	taqiqlang
disallowed	ruxsat berilmagan
disapointment	NO TRANSLATION
disappear	yo'qoladi
disappearance	yo'qolishi
disappearing	yo'qoladi
disappoint	umidsizlik
disappointed	hafsalasi pir bo'ldi
disappointing	umidsizlik
disappointment	umidsizlik
disapproval	ma'qullamaslik
disapprove	ma'qullamaydi
disapproved	ma'qullanmadi
disapproving	ma'qullamaydi
disarm	qurolsizlanish
disarray	tartibsizlik
disaster	falokat
disastrous	falokat
disband	tarqatish
disbelief	kufr
disbelieve	kufr keltirsinlar
disburse	tarqatish
disbursement	to'lov
disc	Disk
discard	bekor qiling
discarded	bekor qilindi
discards	yo'qotadi
discern	farqlash
discernible	farq qilishi mumkin
discerning	aql-idrok
discernment	aql-idrok
discharge	tushirish
disciple	shogird
disciplinary	intizomiy
discipline	intizom
disciplined	intizomli
disclaim	rad etish
disclaimer	voz kechish
disclose	oshkor qildi
disclosed	oshkor qildi
disclosure	oshkor qilish
disco	diskoteka
discoloration	rangsizlanish
discolored	rangsiz
discomfort	noqulaylik
disconcerted	tasodifiy
disconcerting	tashvishlantirmoqda
disconnect	ajratish
disconnected	ajratildi
disconnection	ajratish
disconnects	ajratadi
discontent	norozilik
discontinuance	to'xtatib turish
discontinue	to'xtatiladi
discontinuity	nomutanosiblik
discontinuous	to'xtovsiz
discord	kelishmovchilik
discount	chegirma
discounted	diskontlangan
discourage	tushkunlikka tushmang
discouraged	tushkunlikka tushgan
discouragement	tushkunlik
discouraging	umidsizlik
discourse	suhbat
discover	kashf qiling
discovery	kashfiyot
discredit	tahqirlash
discredited	voz kechildi
discreet	NO TRANSLATION
discrepancy	farqlanish
discrete	diskret
discretion	ixtiyoriy
discretionary	ixtiyoriy
discriminate	kamsitish
discriminating	ajratish
discrimination	kamsitish
discus	diskogramma
discuss	muhokama qiling
discussion	munozarasi
disdain	xor qilish
disdainful	noqulay
disease	kasallik
diseased	kasal
disembodied	tarqaldi
disengage	ajratish
disengagement	o'chirish
disfigured	shikastlangan
disgrace	sharmandalik
disgraced	sharmandalarcha
disgraceful	sharmandalarcha
disgruntled	norozi
disguise	masxara qilish
disguised	yashiringan
disgust	jirkanch
disgusted	noqulay edi
disgusting	jirkanch
dish	ovqat
disheartened	tushkunlikka tushgan
disheartening	tushkunlik
dishonest	nohaqlik
dishonesty	nohaqlik
dishonor	sharmandalik
dishonorable	sharmandali
dishwasher	idish yuvish mashinasi
disillusionment	hafsalasi pir bo'ldi
disinclination	yolg'on
disincline	taslim bo'lish
disinclined	e'tiroz bildirilmagan
disinfect	dezinfeksiyalash
disinfectant	dezinfektsiyalovchi
disinfection	dezinfeksiya
disinformation	dezinformatsiya
disingenuous	nomusli
disintegrate	parchalanish
disintegration	parchalanishi
disinterested	befarq
disjoint	ajratish
disjointed	ajralgan
disjunctive	disjunctive
disk	disk
diskette	Diskret
dislike	yoqtirmaslik
disliked	yoqtirmaslik
disliking	yoqtirmaslik
dislocated	chiqarilgan
dislocation	dislokatsiya
dislodge	chiqaring
disloyal	xiyonatkor
disloyalty	sadoqatsizlik
dismal	moyillik
dismantle	olib tashlash
dismay	dahshatdan
dismayed	hayajonlangan
dismemberment	ajratish
dismiss	ishdan bo'shatilgan
dismissal	ishdan bo'shatish
dismissive	rad etish
dismount	o'chirish
disobedience	itoatsizlik
disobedient	itoatsiz
disobey	itoatsizlik
disorder	buzuqlik
disordered	tartibsizlik
disorderly	tartibsizlik
disorganized	tartibsiz
disorientation	disorientatsiya
disoriented	disoriented
disown	ajrim qilish
disparage	buzuqlik
disparaging	sharmanda qilish
disparate	turli xil
disparity	tengsizlik
dispassionate	noqulay
dispatch	jo'natish
dispatcher	dispetcher
dispel	yo'q qilish
dispensary	dispanser
dispensation	tarqatish
dispense	tarqatish
dispenser	dispenser
dispersal	tarqalishi
disperse	tarqatib yubormoq
dispersed	tarqaldi
dispersion	tarqalishi
dispirited	shikastlangan
displace	joyini almashtirish
displaced	joyidan ko'chirilgan
displacement	joy o'zgartirish
displacency	joy egallash
display	ko'rsatiladi
displease	xafa bo'lmang
displeased	norozi
displeasure	norozilik
disposable	bir martalik
disposal	yo'q qilish
dispose	qo'ldan chiqaring
disposed	joylashtirilgan
disposition	joylashish
dispossessed	yo'qolgan
disprove	e'tirof etish
dispute	nizo
disqualification	diskvalifikatsiya
disqualified	diskvalifikatsiya qilindi
disqualify	diskvalifikatsiya qilish
disquieted	xavotirlangan
disregard	e'tibor bermaslik
disregarded	e'tiborsiz qoldirildi
disrelish	bezovta qilish
disreputable	noqulay
disrepute	noqulaylik
disrespect	hurmatsizlik
disrespectful	hurmatsizlik
disrupt	buzish
disrupting	buzish
disruption	uzilish
disruptive	buzish
dissatisfaction	norozilik
dissatisfied	norozi
dissect	dissektsiya qilish
dissection	disektsiya
disseminate	tarqatish
dissemination	tarqatish
dissension	tortishuvlar
dissent	muxolifat
dissenting	muxolifat
dissertation	dissertatsiyasi
disservice	tarqatish
dissident	dissident
dissimilar	xilma-xildir
dissipate	tarqatish
dissipated	tarqalgan
dissociation	ajratish
dissociative	dissosiyativ
dissolution	tarqalishi
dissolve	eritma
dissonance	dissonans
dissuade	voz keching
distal	distal
distance	masofa
distant	uzoq
distaste	bezovta qilmang
distasteful	shafqatsiz
distillate	distillat
distillation	distillash
distilled	distillangan
distinct	farq qiladi
distinction	ajratish
distinctive	farq qiladi
distinguish	ajratish
distinguishable	farq qiladi
distinguished	ajratilgan
distinguishing	farq qiladi
distort	buzish
distorted	buzilgan
distortion	buzilish; xato ko'rsatish
distract	chalg'itadi
distracted	chalg'itadi
distracting	chalg'itadi
distraction	tarqatish
distraught	xafa
distress	qiyinchilik
distressed	shikastlangan
distressing	xafagarchilik
distribute	tarqatish
distribution	tarqatish
distributor	distributor
district	tuman
distrust	ishonchsizlik
disturb	bezovta qilmang
disturbance	buzilish
disturbed	buzilgan
disturbing	bezovta qilmoqda
disuse	ulardan foydalanish
disused	foydalanilmagan
ditch	xandaq
ditto	ditto
ditty	yo'q
diurnal	kunlik
diva	diva
divan	NO TRANSLATION
dive	sho'ng'in
diver	diver
diverge	ajralish
divergence	kelishmovchilik
divergent	ajralib turadi
diverging	ajralish
divers	dalgıçlar
diverse	turli xil
diversified	xilma-xildir
diversify	diversifikatsiya qilish
diversion	shovqin
diversionary	diversifikatsiya qilish
diversity	xilma-xillik
divert	yo'naltirish
diverting	yo'naltirish
divest	yo'qotish
divested	ajratilgan
divestment	ajratish
divide	bo'lmoq
divided	bo'lingan
dividend	dividendlar
divination	bashorat qilish
divine	ilohiy
divinity	ilohiylik
divisible	bo'linadi
division	bo'linish
divisor	divizor
divorce	ajralish
divorcee	ajralish
divulge	oshkor qilish
divvy	divvy
dizziness	bosh aylanishi
dizzy	Bosh aylanishi
do	qilish
doable	mumkin
doc	doc
docile	qiziqarli
dock	dock
docked	joylashtirildi
docket	dukkaklilar
docking	joylashtirish
doctor	shifokor
doctorate	doktorlik
doctrinal	doctrinal
doctrine	ta'limot
document	hujjat
documentary	hujjatli film
documentation	hujjatlar
documents	hujjatlar
dodge	dodge
dodger	dodger
dodging	dodging
dodgy	xavfli
dodo	dodo
doe	doe
doer	bajaruvchi
dog	it
dogface	dogface
dogged	doggy
doggy	doggy
doghouse	doghouse
dogma	dogma
dogmatic	dogmatik
dogsick	NO TRANSLATION
doings	ishlari
doit	NO TRANSLATION
dojo	dojo
doldrums	bo'rilar
dole	dole
doll	chaqaloq
dollar	dollar
dollhouse	to'y xonasi
dolor	NO TRANSLATION
dolphin	Yunus
domain	domen
dome	gumbaz
domestic	ichki
domesticated	uylangan
domestication	uylanish
domicile	domicile
domiciled	domiciled
dominance	hukmronlik
dominant	dominant
dominate	ustunlik qiladi
dominating	hukmron
domination	hukmronlik
dominatrix	dominatrix
dominion	hokimiyat
domino	domino
don	don
donate	ehson qiling
donation	ehson
donkey	eshak
donor	donor
dontlikeyou	NO TRANSLATION
dontmess	NO TRANSLATION
dontmesswithme	dontmesswithme
dontpanic	dontpanik
dontunderstand	NO TRANSLATION
doodle	doodle
doom	azob
doomed	umidsizlik
doomsday	Qiyomat kuni
door	eshik
doorbell	eshik qo'ng'irog'i
doorknob	doorknob
doorman	darvozabon
doormat	qamoqxona
doornail	doornail
doorstep	eshik oldida
doorway	darvoza
dopamine	dopamin
dope	doping
dopey	dopey
dork	dork
dorky	dorky
dorm	chet elda
dormant	harakatsiz
dormitory	yotoqxona
dorsal	dorsal
dosage	dozasi
dose	dozasi
dossier	fayl
dot	nuqta
doting	doting
dotted	nuqta
dotty	nuqta
double	er-xotin
doubled	ikki baravar oshdi
doublet	juftlik
doubling	ikki baravar
doubt	shubha
doubtful	shubhali
doubting	shubha qilish
doubtless	Shubhasiz
doubts	shubhalar
douche	douche
douchebags	douchebags
dough	xamir
doughboy	xamir
doughnut	Ponchik
dour	dor
douse	uyg'otadi
dove	qo'ziqorin
down	pastga
downcast	pastga tushish
downer	pastga tushadi
downfall	tushishi
downfield	pastga tushadi
downhearted	tushkunlikka tushgan
downhill	pastga tushish
download	yuklab olish
downpour	yomg'ir yog'ishi
downright	ochiq-oydin
downriver	pastga tushiruvchi
downside	salbiy
downtime	ishlamasligi
downward	pastga qarab
downy	jirkanch
dowry	zaytun moyi
doze	doze
dozen	o'nlab
drab	tortishish
draft	qoralama
drafty	loyiha
drag	harakatlantiring
dragon	ajdaho
dragonfly	yigirma uchi
drain	drenajlash
drainage	drenaj
drained	drenajlangan
draining	drenajlash
drainpipe	drenaj trubkasi
drake	Drake
drama	drama
dramaqueen	dramaqueen
dramatic	dramatik
drape	paxta teriladi
drapery	pardoz
drastic	qattiq
drat	NO TRANSLATION
draught	qoralama
draw	chizish
drawback	kamchilik
drawbridge	chizilgan
drawer	tortmasin
drawers	tortma mashinalari
drawing	rasm
dread	qo'rqish
dreaded	qo'rqinchli
dreadful	qo'rqinchli
dreadfully	dahshatli
dreading	qo'rqinchli
dream	tush
dreamboat	tush kemasi
dreamer	xayolparast
dreaming	tush ko'rish
dreamland	dreamland
dreams	orzular
dreamt	tush ko'rdi
dreamy	hayoliy
dreary	xavfli
dredge	otishni o'rganish
drenched	ho'llangan
dress	kiyim
dresser	shkafi
dressmaker	kiyim tikuvchisi
dressy	jozibali
dribble	NO TRANSLATION
dried	quritilgan
drier	qurituvchi
drift	drift
drifted	suzib ketdi
drifter	daryo
driftwood	driftwood
drill	burg'ulash
drink	ichimlik
drinker	ichadigan kishi
drinking	ichish
drinks	ichimliklar
drip	tomizish
dripping	terlaganda
drive	haydovchi
drivel	haydovchi
driver	haydovchi
driveway	transport vositasi
drizzle	shlang
droll	droll
drone	uchuvchisiz
drones	dronlar
drool	drool
drooping	drooping
droopy	droopy
drop	tomchi
droplet	tomchi
dropout	o'qishni tashlab ketmoq
dropper	dropper
drought	qurg'oqchilik
drove	NO TRANSLATION
drown	cho'ktirish
drowsiness	uyquchanlik
drowsy	uyqusiz
drudgery	zo'ravonlik
drug	giyohvandlik
drug dealing	giyohvand moddalarni sotish
drugged	giyohvandlik
druggist	dori sotuvchisi
drugs	dorilar
drugstore	dorixona
druid	druid
drum	drum
drummer	barabanchi
drumming	drumming
drunk	mast
drunk driving	mast haydash
drunkard	ichkilikboz
drunken	mast
drunkenness	mastlik
dry	quruq
dryer	quritgich
dryness	quruqlik
dual	ikkilangan
dualism	dualizm
duality	ikkiyuzlama
dub	dub
dubious	shubhali
duchess	dukkak
duck	o'rdak
ducking	suyuqlik
duckling	o'rdak
ducky	shukur
duct	kanal
ductile	yumshoq
dud	dud
dude	do'stim
duds	dudalar
due	tegishli
duel	duel
dues	to'lovlar
duet	duet
duffel	duffel
dugout	ko'chirish
duh	duh
duke	Duke
dull	zerikarli
dullard	dullard
dumb	soqov
dumbasses	dumbalar
dumbbell	dumbbell
dumbbitch	NO TRANSLATION
dumfound	dumfound
dumfounder	NO TRANSLATION
dummy	qo'g'irchoq
dump	qoldiq
dumpling	qaynatish
dumps	dumps
dumpster	axlat qutisi
dun	Dun
dunce	dunce
dune	dune
dung	NO TRANSLATION
