Word	ms
cytoplasm	sitoplasma
czar	czar
dab	dab
dabble	dabble
dabbling	dabbling
dad	ayah
daddy	ayah
dado	NO TRANSLATION
daemon	daemon
daft	daft
dagger	pisau
daily	setiap hari
dainty	cantik
daiquiri	daiquiri
dairy	tenusu
daisy	daisy
dak	NO TRANSLATION
dale	dale
dam	empangan
damage	kerosakan
damaged	rosak
damages	ganti rugi
dame	kemasyhuran
damn	sialan
damnation	kutukan
damned	terkutuk
damp	lembap
dampened	lembap
damper	peredam
damsel	damsel
dance	tarian
dancer	penari
dancing	menari
dandruff	kelemumur
dandy	sangat bagus
danger	bahaya
dangerous	berbahaya
dangerously	berbahaya
dangit	NO TRANSLATION
dangle	menggegarkan
dank	NO TRANSLATION
dapper	penipu
dare	berani
daredevil	daredevil
daresay	daresay
daring	berani
dark	gelap
darken	gelap
darkened	gelap
darkly	gelap
darkness	kegelapan
darkroom	bilik gelap
darkside	gelap
darling	sayang
darn	darn
dart	dart
dash	dash
dashboard	papan pemuka
dashed	putus asa
dashing	dashing
dastardly	sangat buruk
data	data
database	pangkalan data
date	Tarikh
datenight	NO TRANSLATION
daughter	anak perempuan
dawdle	dawdle
dawn	subuh
dawned	terbit
day	hari
daybreak	petang hari
daycare	penjagaan anak
daydream	daydream
daydreaming	melamun
daylight	siang hari
daymade	NO TRANSLATION
dayoff	NO TRANSLATION
daytime	siang hari
daze	hampa
dazed	tercengang
dazzle	dazzle
dazzling	mempesonakan
deacon	deacon
deactivate	menyahaktifkan
dead	mati
deadbeat	deadbeat
deadline	tarikh akhir
deadlines	tarikh akhir
deadlock	kebuntuan
deadly	maut
deaf	pekak
deafening	memekakkan
deafness	pekak
deal	berurusan
dealer	peniaga
dealership	pengedar
dealing	berurusan
dealings	urusan
dean	dekan
dear	sayang
dearest	sayang
dearth	kekurangan
death	kematian
deathbed	kematian
deathly	maut
debacle	kebingungan
debased	terdesak
debatable	boleh dibahaskan
debate	perbahasan
debauchery	perbuatan jahat
debenture	debentur
debilitating	melemahkan
debit	debit
debrief	debat
debriefing	tanya jawab
debris	serpihan
debt	hutang
debtor	penghutang
debut	debutnya
debutante	debutante
decade	dekad
decadence	dekaden
decadent	dekaden
decaf	decaf
decanter	decanter
decathlon	decathlon
decay	kerosakan
decayed	busuk
decaying	merosot
deceased	mati
decedent	dendam
deceit	penipuan
deceitful	penipu
deceive	memperdaya
deceived	tertipu
deceiving	menipu
december	Disember
decency	kesopanan
decent	baik
deception	penipuan
deceptive	menipu
decide	membuat keputusan
decidedly	dengan jelas
deciduous	daun luruh
decimal	perpuluhan
decimeter	decimeter
decipher	mentafsirkan
decision	keputusan
decisive	tegas
deck	dek
declaration	pengisytiharan
declaratory	pengisytiharan
declare	mengisytiharkan
declination	deklinasi
decline	penurunan
declining	menurun
deco	deco
decode	menyahkod
decoder	penyahkod
decompose	terurai
decomposed	terurai
decomposition	penguraian
decompress	dekompresi
decompression	penyahmampatan
decontamination	dekontaminasi
decor	hiasan
decorate	menghiasi
decorating	menghias
decoration	hiasan
decorative	hiasan
decorator	penghias
decorum	kesopanan
decoy	menipu
decrease	pengurangan
decreased	menurun
decreasing	berkurangan
decree	dekri
decrement	pengurangan
decrepit	kejang
decry	decry
decryption	penyahsulitan
dedicate	mendedikasikan
dedication	dedikasi
deduce	deduce
deduct	memotong
deductible	boleh ditolak
deduction	potongan
deed	surat ikatan
deejay	deejay
deem	anggap
deep	mendalam
deepen	mendalam
deer	rusa
defamation	fitnah
defamatory	memfitnah
default	lalai
defeat	kekalahan
defeated	dikalahkan
defeatist	kekalahan
defect	kecacatan
defection	pembelotan
defective	cacat
defector	defector
defend	bertahan
defendant	defendan
defended	bertahan
defender	pertahanan
defending	mempertahankan diri
defense	pertahanan
defenseless	tanpa pertahanan
defensible	boleh dipertahankan
defensive	pertahanan
defer	menunda
deference	penghormatan
deferral	penangguhan
deferring	menunda
defiance	bantahan
defiant	bertentangan
defibrillator	defibrillator
deficiency	kekurangan
deficient	kekurangan
deficit	defisit
define	mentakrifkan
defined	ditakrifkan
definite	pasti
definition	definisi
definitive	muktamad
deflate	mengempiskan
deflation	deflasi
deflect	memesongkan
deflection	pesongan
defloration	pemetikan
deform	ubah bentuk
deformed	cacat
deformity	kecacatan
defraud	menipu
defray	bayaran
defrost	defrost
deft	deft
defunct	tidak berfungsi lagi
defuse	merosakkan
defy	menentang
degeneracy	degenerasi
degenerate	merosot
degeneration	degenerasi
degradation	degradasi
degrade	merosot
degraded	terdegradasi
degrading	merendahkan diri
degree	ijazah
dehydrated	dehidrasi
dehydration	dehidrasi
dejected	dendam
delay	kelewatan
delayed	ditangguhkan
delectable	lazat
delegate	mewakilkan
delegation	delegasi
delete	padam
deleterious	merosakkan
deletion	penghapusan
deli	deli
deliberate	sengaja
deliberation	perbincangan
deliberative	sengaja
delicacy	makanan istimewa
delicate	halus
delicatessen	delicatessen
delicious	lazat
delight	gembira
delighted	gembira
delightful	menarik
delineate	nyatakan
delineation	penerangan
delinquency	kenakalan
delinquent	bertentangan
delirious	gila
delirium	kecelaruan
deliver	menyampaikan
deliverance	pembebasan
delivery	penghantaran
dell	dell
delta	delta
delude	delude
deluge	banjir
delusion	khayalan
delusional	delusi
deluxe	mewah
delve	menyelidiki
demand	permintaan
demanding	menuntut
demeaned	demean
demeaning	merendahkan diri
demeanor	sikap
demented	demented
dementia	demensia
demise	mati
demo	demo
democracy	demokrasi
democrat	demokrat
democratic	demokratik
demographic	demografik
demolish	merobohkan
demolished	dirobohkan
demolition	perobohan
demon	setan
demonic	syaitan
demonstrable	boleh dibuktikan
demonstrate	tunjukkan
demonstrated	ditunjukkan
demonstrating	menunjukkan
demonstration	demonstrasi
demonstrative	demonstrasi
demonstrator	penunjuk perasaan
demoralized	demoralisasi
demos	demo
demure	demure
den	NO TRANSLATION
deniability	kebolehpercayaan
denial	penafian
denied	ditolak
denim	denim
denomination	denominasi
denominational	denominasi
denominator	penyebut
denote	menunjukkan
denounce	nyatakan
dense	padat
density	ketumpatan
dent	penyok
dental	pergigian
dentist	doktor gigi
dentistry	pergigian
dentists	doktor gigi
denunciation	pengucupan
deny	menafikan
denying	menyangkal
deodorant	deodoran
depart	berlepas
departed	berlepas
department	jabatan
departmental	jabatan
departure	berlepas
depend	bergantung
dependable	boleh dipercayai
dependant	bergantung
dependence	pergantungan
dependency	pergantungan
dependent	bergantung
depict	menggambarkan
depicting	menggambarkan
depletion	kekurangan
deplorable	menyedihkan
deplore	deplore
deploy	menyebarkan
deployment	penyebaran
deport	deport
deportation	pengusiran
depose	depose
deposit	deposit
depositary	depositori
deposition	pemendapan
depository	depositori
depot	depot
depraved	kejam
depravity	kejahatan
depreciate	menyusut
depreciated	disusut nilai
depreciation	susut nilai
depress	tertekan
depressed	tertekan
depressing	menyedihkan
depression	kemurungan
depressive	kemurungan
depresson	NO TRANSLATION
deprivation	kekurangan
deprive	menafikan
deprived	dilucutkan
depth	kedalaman
deputy	timbalan
derail	derail
deranged	gila
derelict	ketinggalan
derision	derision
derivation	derivasi
derivative	derivatif
derive	dapatkan
dermal	kulitnya
dermatologist	pakar dermatologi
dermatology	dermatologi
derogation	pengurangan
derogatory	menghina
descend	turun
descendant	keturunan
descendent	NO TRANSLATION
descending	turun
descent	keturunan
describe	terangkan
description	keterangan
descriptive	penjelasan
desecrate	desecrate
desecration	penodaan
desert	padang pasir
deserted	ditinggalkan
deserter	deserter
desertion	desertion
deserve	pantas
deserved	sepatutnya
deserving	layak
design	reka bentuk
designate	menetapkan
designated	ditetapkan
designation	jawatan
designed	direka bentuk
designer	pereka
designing	merancang
desirability	keinginan
desirable	wajar
desire	keinginan
desiring	berhasrat
desirous	berhasrat
desist	berhenti
desk	meja
desolate	sepi
desolation	ketandusan
despair	putus asa
despairing	berputus asa
despatch	hantar
desperado	desperado
desperate	terdesak
desperation	terdesak
despicable	hina
despise	membenci
despondent	senang hati
despotic	despotik
despotism	despotisme
dessert	pencuci mulut
destination	destinasi
destined	ditakdirkan
destiny	takdir
destitute	miskin
destroy	memusnahkan
destroyed	dimusnahkan
destroyer	pemusnah
destroying	memusnahkan
destruct	merosakkan
destruction	kemusnahan
destructive	merosakkan
detach	lepaskan
detached	berkembar
detachment	detasmen
detail	terperinci
detailed	terperinci
details	butiran
detain	menahan diri
detainee	tahanan
detect	mengesan
detectable	boleh dikesan
detection	pengesanan
detective	detektif
detector	pengesan
detention	penahanan
deter	menghalang
detergent	bahan pencuci
deteriorate	merosot
deteriorated	merosot
deteriorating	semakin merosot
deterioration	kemerosotan
determinable	boleh ditentukan
determinate	menentukan
determination	keazaman
determine	tentukan
determined	ditentukan
deterrent	menghalang
detest	dendam
detestation	penindasan
detonate	meletup
detonation	letupan
detonator	detonator
detour	jalan memutar
detract	mengurangkan
detriment	menjejaskan
detrimental	merosakkan
detritus	detritus
deuce	deuce
deutschmark	deutschmark
devalued	menurunkan nilai
devastate	merosakkan
devastated	hancur
devastating	menghancurkan
devastation	kemusnahan
develop	membangunkan
developer	pemaju
developing	membangunkan
development	pembangunan
deviant	menyimpang
deviate	menyimpang
deviating	menyimpang
deviation	sisihan
device	peranti
devil	syaitan
deviled	dibakar
devilish	syaitan
devious	licik
devise	perancang
devoid	tiada
devolution	devolusi
devolve	berpindah
devote	menumpukan
devoted	Setia
devotee	penyembah
devotion	pengabdian
devotional	kebaktian
devour	makan
devout	taat
dew	embun
dexter	dexter
dexterity	ketangkasan
dextrose	dextrose
diabetes	diabetes
diabetic	kencing manis
diabolical	jahat
diagnose	mendiagnosis
diagnosis	diagnosis
diagnostic	diagnostik
diagnostics	diagnostik
diagonal	pepenjuru
diagram	rajah
dial	dail
dialect	dialek
dialectic	dialektik
dialogue	dialog
dialysis	dialisis
diameter	diameter
diamond	berlian
diamonds	berlian
diaper	lampin
diaphragm	diafragma
diarrhea	cirit-birit
diarrhoea	cirit-birit
diary	buku harian
diatribe	diatribe
dib	NO TRANSLATION
dibs	dibs
dice	dadu
dicey	dicey
dichotomous	dikotot
dichotomy	dikotomi
dick	batang
dickhead	dickhead
dicks	ayam sabung
dictate	mendikte
dictation	dikte
dictator	diktator
dictatorial	diktator
dictatorship	kediktatoran
diction	artikulasi
dictionary	kamus
dictum	NO TRANSLATION
didactic	didaktik
diddle	diddle
die	NO TRANSLATION
died	meninggal dunia
diesel	diesel
diet	diet
dietary	diet
differ	berbeza
difference	beza
differences	perbezaan
different	berbeza
differential	perbezaannya
differentiation	pembezaan
differently	berbeza
differing	berbeza
difficult	sukar
difficulties	kesukaran
difficulty	kesukaran
diffuse	meresap
diffusion	penyebaran
dig	NO TRANSLATION
digest	mencerna
digestion	pencernaan
digestive	pencernaan
digit	digit
digital	digital
dignified	bermaruah
dignify	bermaruah
dignity	martabat
digress	menggegarkan
digs	NO TRANSLATION
dike	dikejutkan
dilapidated	usang
dilatation	dilatasi
dilation	pengembangan
dildo	dildo
dilemma	dilema
diligence	ketekunan
diligent	rajin
dill	Dill
diluent	pengotor
dilute	cairkan
diluted	dicairkan
dilution	pencairan
dim	red
dime	dime
dimension	dimensi
dimensional	dimensi
diminish	berkurangan
diminished	berkurangan
diminution	pengurangan
diminutive	kecil
dimwit	dimwit
din	NO TRANSLATION
dine	makan malam
diner	restoran
dinghy	dinghy
dingo	dingo
dingy	kotor
dining	makan
dinky	dinky
dinner	makan malam
dinnertime	masa makan malam
dinosaur	dinosaur
dint	dint
diocesan	diocesan
diocese	keuskupan
diorama	diorama
dioxide	dioksida
dip	dip
diploma	Diploma
diplomacy	diplomasi
diplomat	diplomat
diplomatic	diplomatik
dipper	dipper
dippy	dippy
dipstick	dipstick
dire	NO TRANSLATION
direct	langsung
directed	diarahkan
direction	arah
directive	arahan
directly	secara langsung
director	pengarah
directory	direktori
dirt	kotoran
dirty	kotor
disability	kecacatan
disable	melumpuhkan
disabled	kurang upaya
disadvantage	kelemahan
disaffected	tidak disukai
disagree	tidak bersetuju
disagreeable	tidak menyenangkan
disagreeing	tidak bersetuju
disagreement	ketidaksepakatan
disallow	tidak membenarkan
disallowed	tidak dibenarkan
disapointment	NO TRANSLATION
disappear	hilang
disappearance	kehilangan
disappearing	hilang
disappoint	mengecewakan
disappointed	kecewa
disappointing	mengecewakan
disappointment	kekecewaan
disapproval	penolakan
disapprove	tidak setuju
disapproved	tidak diluluskan
disapproving	tidak setuju
disarm	melucutkan senjata
disarray	kekecewaan
disaster	bencana
disastrous	malapetaka
disband	membubarkan
disbelief	kekafiran
disbelieve	tidak percaya
disburse	membebankan
disbursement	pembayaran
disc	cakera
discard	buang
discarded	dibuang
discards	membuangnya
discern	perhatikan
discernible	boleh dilihat
discerning	bijak
discernment	pengertian
discharge	pelepasan
disciple	murid
disciplinary	disiplin
discipline	disiplin
disciplined	disiplin
disclaim	penafian
disclaimer	penafian
disclose	mendedahkan
disclosed	didedahkan
disclosure	pendedahan
disco	disko
discoloration	perubahan warna
discolored	berubah warna
discomfort	ketidakselesaan
disconcerted	terkejut
disconcerting	membingungkan
disconnect	putuskan sambungan
disconnected	terputus
disconnection	pemotongan
disconnects	putuskan sambungan
discontent	ketidakpuasan
discontinuance	penundaan
discontinue	hentikan
discontinuity	pemotongan
discontinuous	tidak berterusan
discord	percanggahan
discount	diskaun
discounted	diskaun
discourage	tidak menggalakkan
discouraged	tidak digalakkan
discouragement	kekecewaan
discouraging	tidak menggalakkan
discourse	wacana
discover	temui
discovery	penemuan
discredit	mendiskreditkan
discredited	didiskreditkan
discreet	NO TRANSLATION
discrepancy	percanggahan
discrete	diskret
discretion	kebijaksanaan
discretionary	budi bicara
discriminate	diskriminasi
discriminating	membezakan
discrimination	diskriminasi
discus	cakera
discuss	berbincang
discussion	perbincangan
disdain	penghinaan
disdainful	menghina
disease	penyakit
diseased	berpenyakit
disembodied	tidak tersembunyi
disengage	melepaskan diri
disengagement	pengunduran
disfigured	cacat
disgrace	memalukan
disgraced	malu
disgraceful	memalukan
disgruntled	tidak puas hati
disguise	menyamar
disguised	menyamar
disgust	jijik
disgusted	jijik
disgusting	menjijikkan
dish	hidangan
disheartened	terkejut
disheartening	menyakitkan hati
dishonest	tidak jujur
dishonesty	ketidakjujuran
dishonor	kehinaan
dishonorable	tidak dapat dihina
dishwasher	mesin basuh pinggan mangkuk
disillusionment	kekecewaan
disinclination	disinclinasi
disincline	disincline
disinclined	tidak disengajakan
disinfect	membasmi kuman
disinfectant	disinfektan
disinfection	pembasmian kuman
disinformation	disinformation
disingenuous	tidak jujur
disintegrate	hancur
disintegration	perpecahan
disinterested	tidak berminat
disjoint	menyisih
disjointed	terputus-putus
disjunctive	kecurangan
disk	cakera
diskette	disket
dislike	tidak suka
disliked	tidak suka
disliking	tidak menyukai
dislocated	tersisih
dislocation	dislokasi
dislodge	mengusir
disloyal	tidak setia
disloyalty	ketidaksetiaan
dismal	suram
dismantle	hapus
dismay	kecewa
dismayed	kecewa
dismemberment	pemecahan
dismiss	tolak
dismissal	pemecatan
dismissive	meremehkan
dismount	turun
disobedience	ketidakpatuhan
disobedient	tidak taat
disobey	tidak patuh
disorder	gangguan
disordered	bercelaru
disorderly	tidak senonoh
disorganized	tidak teratur
disorientation	disorientasi
disoriented	tidak disengajakan
disown	menyangkal
disparage	merendahkan
disparaging	merosot
disparate	berbeza
disparity	ketaksamaan
dispassionate	kecewa
dispatch	penghantaran
dispatcher	pengirim
dispel	hapuskan
dispensary	dispensari
dispensation	dispensasi
dispense	mengetepikan
dispenser	dispenser
dispersal	penyebaran
disperse	menyebarkan
dispersed	tersebar
dispersion	penyebaran
dispirited	suram
displace	menggantikan
displaced	pelarian
displacement	anjakan
displacency	pergantungan
display	paparan
displease	mohon maaf
displeased	tidak senang
displeasure	tidak berpuas hati
disposable	pakai buang
disposal	pelupusan
dispose	buang
disposed	dilupuskan
disposition	pelupusan
dispossessed	hilang
disprove	membantah
dispute	pertikaian
disqualification	hilang kelayakan
disqualified	hilang kelayakan
disqualify	membatalkan kelayakan
disquieted	kecewa
disregard	tidak mengendahkan
disregarded	tidak diendahkan
disrelish	tidak berkaitan
disreputable	disegani
disrepute	haram
disrespect	tidak menghormati
disrespectful	tidak sopan
disrupt	mengganggu
disrupting	mengganggu
disruption	gangguan
disruptive	mengganggu
dissatisfaction	rasa tidak puas hati
dissatisfied	tidak berpuas hati
dissect	dissect
dissection	pembedahan
disseminate	menyebarkan
dissemination	penyebaran
dissension	perselisihan
dissent	perbezaan pendapat
dissenting	dissenting
dissertation	disertasi
disservice	merugikan
dissident	pembangkang
dissimilar	tidak sama
dissipate	hilang
dissipated	hilang
dissociation	penceraian
dissociative	dissociative
dissolution	pembubaran
dissolve	membubarkan
dissonance	kekecohan
dissuade	menghalang
distal	distal
distance	jarak
distant	jauh
distaste	sengsara
distasteful	tidak menyenangkan
distillate	sulingan
distillation	penyulingan
distilled	sulingan
distinct	berbeza
distinction	perbezaan
distinctive	tersendiri
distinguish	membezakan
distinguishable	dibezakan
distinguished	dibezakan
distinguishing	membezakan
distort	mengganggu
distorted	terdistorsi
distortion	herotan
distract	mengganggu
distracted	terganggu
distracting	mengganggu
distraction	gangguan
distraught	terganggu
distress	kesusahan
distressed	bermasalah
distressing	menyedihkan
distribute	mengedarkan
distribution	pengedaran
distributor	pengedar
district	daerah
distrust	kesangsian
disturb	mengganggu
disturbance	gangguan
disturbed	terganggu
disturbing	mengganggu
disuse	tidak digunakan
disused	tidak digunakan
ditch	Parit
ditto	ditto
ditty	ditty
diurnal	diurnal
diva	diva
divan	NO TRANSLATION
dive	menyelam
diver	penyelam
diverge	menyimpang
divergence	penyelewengan
divergent	berbeza
diverging	menyimpang
divers	penyelam
diverse	pelbagai
diversified	kepelbagaian
diversify	mempelbagaikan
diversion	lencongan
diversionary	pengalihan
diversity	kepelbagaian
divert	alihkan
diverting	pengalihan
divest	divestasi
divested	divestasi
divestment	divestasi
divide	membahagi
divided	dibahagikan
dividend	dividen
divination	ramalan
divine	ilahi
divinity	ketuhanan
divisible	boleh dibahagikan
division	bahagian
divisor	pembahagi
divorce	perceraian
divorcee	perceraian
divulge	nyatakan
divvy	divvy
dizziness	pening
dizzy	pening
do	lakukan
doable	boleh dilakukan
doc	doc
docile	jinak
dock	dok
docked	berlabuh
docket	docket
docking	dok
doctor	doktor
doctorate	doktor
doctrinal	doktrin
doctrine	doktrin
document	dokumen
documentary	dokumentari
documentation	dokumentasi
documents	dokumen
dodge	mengelak
dodger	pengelak
dodging	mengelakkan
dodgy	ceria
dodo	dodo
doe	doe
doer	doer
dog	anjing
dogface	muka anjing
dogged	anjing
doggy	anjing
doghouse	rumah anjing
dogma	dogma
dogmatic	dogmatik
dogsick	NO TRANSLATION
doings	kerja-kerja
doit	NO TRANSLATION
dojo	dojo
doldrums	malapetaka
dole	dole
doll	anak patung
dollar	dolar
dollhouse	rumah boneka
dolor	NO TRANSLATION
dolphin	lumba-lumba
domain	domain
dome	kubah
domestic	domestik
domesticated	diperdaya
domestication	pembesaran
domicile	domicile
domiciled	berdomisili
dominance	dominasi
dominant	dominan
dominate	menguasai
dominating	mendominasi
domination	penguasaan
dominatrix	dominatrix
dominion	kekuasaan
domino	domino
don	tidak
donate	menderma
donation	derma
donkey	keldai
donor	penderma
dontlikeyou	NO TRANSLATION
dontmess	NO TRANSLATION
dontmesswithme	dontmesswithme
dontpanic	dontpanic
dontunderstand	NO TRANSLATION
doodle	doodle
doom	azab
doomed	ditakdirkan
doomsday	hari kiamat
door	pintu
doorbell	bel pintu
doorknob	tombol pintu
doorman	penjaga gol
doormat	alas kaki
doornail	doornail
doorstep	pintu depan
doorway	pintu
dopamine	dopamin
dope	dadah
dopey	dopey
dork	dork
dorky	dorky
dorm	bilik asrama
dormant	tidak aktif
dormitory	asrama
dorsal	dorsal
dosage	dos
dose	dos
dossier	dossier
dot	titik
doting	doting
dotted	bertitik
dotty	dotty
double	double
doubled	dua kali ganda
doublet	doublet
doubling	dua kali ganda
doubt	keraguan
doubtful	ragu
doubting	meragui
doubtless	tidak pasti
doubts	keraguan
douche	douche
douchebags	douchebags
dough	doh
doughboy	doughboy
doughnut	donat
dour	dour
douse	penyihir
dove	merpati
down	turun
downcast	downcast
downer	turun
downfall	kejatuhan
downfield	downfield
downhearted	lemah hati
downhill	menuruni bukit
download	muat turun
downpour	hujan lebat
downright	betul
downriver	downriver
downside	kelemahan
downtime	downtime
downward	ke bawah
downy	lemah
dowry	mas kahwin
doze	doze
dozen	sedozen
drab	menjemukan
draft	draf
drafty	draf
drag	seret
dragon	naga
dragonfly	capung
drain	longkang
drainage	saliran
drained	dikeringkan
draining	penyaliran
drainpipe	paip air
drake	drake
drama	drama
dramaqueen	NO TRANSLATION
dramatic	dramatik
drape	kening
drapery	langsir
drastic	drastik
drat	NO TRANSLATION
draught	draf
draw	lukis
drawback	kelemahan
drawbridge	jambatan lekapan
drawer	laci
drawers	laci
drawing	lukisan
dread	ketakutan
dreaded	ditakuti
dreadful	mengerikan
dreadfully	sangat teruk
dreading	dreading
dream	mimpi
dreamboat	dreamboat
dreamer	pemimpi
dreaming	bermimpi
dreamland	dreamland
dreams	impian
dreamt	bermimpi
dreamy	bermimpi
dreary	suram
dredge	pengorekan
drenched	basah
dress	pakaian
dresser	pemakainya
dressmaker	penjual pakaian
dressy	berpakaian bergaya
dribble	NO TRANSLATION
dried	kering
drier	kering
drift	hanyut
drifted	hanyut
drifter	drifter
driftwood	driftwood
drill	gerudi
drink	minum
drinker	peminum
drinking	minum
drinks	minuman
drip	titisan
dripping	menetes
drive	memandu
drivel	pemacu
driver	pemandu
driveway	jalan masuk
drizzle	gerimis
droll	droll
drone	drone
drones	drone
drool	drool
drooping	melabuh
droopy	droopy
drop	jatuh
droplet	titisan
dropout	tercicir
dropper	penitis
drought	kemarau
drove	NO TRANSLATION
drown	lemas
drowsiness	mengantuk
drowsy	mengantuk
drudgery	kejam
drug	dadah
drug dealing	mengedar dadah
drugged	dadah
druggist	druggist
drugs	dadah
drugstore	kedai ubat
druid	druid
drum	dram
drummer	pemain drum
drumming	gendang
drunk	mabuk
drunk driving	memandu dalam keadaan mabuk
drunkard	pemabuk
drunken	mabuk
drunkenness	mabuk
dry	kering
dryer	pengering
dryness	kekeringan
dual	dwi
dualism	dualisme
duality	duality
dub	dub
dubious	diragui
duchess	duchess
duck	itik
ducking	ducking
duckling	itik
ducky	ducky
duct	saluran
ductile	mulur
dud	tidak
dude	dude
duds	duds
due	kerana
duel	duel
dues	dues
duet	duet
duffel	duffel
dugout	mengganggu
duh	duh
duke	duke
dull	membosankan
dullard	dullard
dumb	bodoh
dumbasses	dumbasses
dumbbell	dumbbell
dumbbitch	NO TRANSLATION
dumfound	dumfound
dumfounder	NO TRANSLATION
dummy	dummy
dump	pembuangan
dumpling	dumpling
dumps	tempat sampah
dumpster	tempat sampah
dun	dun
dunce	duncan
dune	dune
dung	NO TRANSLATION
dungeon	penjara
dunk	dunk
duo	duo
dupe	dupe
duplex	dupleks
duplicate	pendua
duplication	penduaan
duplicity	penipuan
durability	ketahanan
durable	tahan lama
duration	tempoh
duress	duress
dusk	senja
dusky	malas
dust	debu
duster	duster
dustpan	dustpan
dusty	berdebu
dutiful	bersungguh-sungguh
duty	bertugas
dwarf	kerdil
dwarfed	kurang kerdil
dweeb	dweeb
dwell	tinggal
dweller	penghuni
dwelling	kediaman
dye	pewarna
dying	mati
dyke	dyke
dynamic	dinamik
dynamical	dinamik
dynamics	dinamik
dynamite	dinamit
dynamo	dynamo
dynasty	dinasti
dysentery	disentri
dysfunction	disfungsi
dysfunctional	tidak berfungsi
dyspepsia	dispepsia
eager	bersemangat
eagerness	kesungguhan
eagle	helang
ear	telinga
earful	lebih awal
earl	earl
earlier	lebih awal
early	awal
earn	dapatkan
earnest	bersungguh-sungguh
earnestly	bersungguh-sungguh
earnestness	kesungguhan
earnings	pendapatan
earpiece	alat dengar telinga
earring	Subang
earrings	anting-anting
earshot	pendengaran
earth	bumi
earthenware	tembikar
earthling	earthling
earthly	duniawi
earthquake	gempa bumi
earthy	bersahaja
ease	mudah
easel	anak kuda
easement	easement
easily	dengan mudah
east	timur
eastbound	ke arah timur
eastern	timur
easy	mudah
easygoing	mudah bergaul
eat	makan
eater	pemakan
eating	makan
eatingdisorders	NO TRANSLATION
eavesdrop	pendengaran
eavesdropping	menguping
ebb	ebb
ebony	kayu hitam
ebullient	lemah lembut
eccentric	eksentrik
eccentricity	sifat eksentrik
ecclesiastical	gereja
echelon	eselon
echinacea	echinacea
echo	echo
eclectic	eklektik
eclipse	gerhana
ecliptic	ekliptik
ecological	ekologi
economic	ekonomi
economical	ekonomi
economics	ekonomi
economy	ekonomi
ecosystem	ekosistem
ecstasy	ecstasy
ecstatic	gembira
ecumenical	ekumenikal
eddy	eddy
edema	edema
edge	hujung
edging	tepi
edgy	tegang
edible	boleh dimakan
edict	edict
edification	pembaharuan
edifice	bangunan
edit	edit
editing	penyuntingan
edition	edisi
editor	editor
editorial	editorial
educate	mendidik
educated	berpendidikan
education	pendidikan
educational	pendidikan
educator	pendidik
eeeek	NO TRANSLATION
eeek	NO TRANSLATION
eek	eek
eel	belut
eerie	menakutkan
effect	kesan
effective	berkesan
effectiveness	keberkesanan
effects	kesan
effectual	berkesan
effectually	berkesan
effectuate	memberi kesan
effeminate	berbakat
efficacious	berkhasiat
efficacy	keberkesanannya
efficiency	kecekapan
efficient	cekap
effigy	effigy
effort	usaha
effortless	tanpa usaha
effusion	efusi
effyou	NO TRANSLATION
egg	telur
egghead	egghead
eggnog	eggnog
eggplant	terung
eggshell	kulit telur
ego	ego
egomaniac	egomaniak
egotistical	egotistik
egregious	mengerikan
egress	egress
eight	lapan
eighteen	lapan belas
eighth	kelapan
eighty	lapan puluh tahun
ejaculate	ejakulasi
ejaculation	ejakulasi
eject	mengeluarkan
ejection	ejekan
elaborate	terperinci
elaboration	penjelasan
elan	NO TRANSLATION
elapse	berlalu
elapsed	berlalu
elastic	elastik
elasticity	keanjalan
elated	gembira
elation	elasi
elbow	siku
eld	eld
elder	penatua
elderly	warga tua
elders	penatua
eldest	tertua
elect	memilih
election	pilihan raya
elective	elektif
elector	pengundi
electoral	pilihan raya
electorate	pengundi
electric	elektrik
electric slide	slaid elektrik
electrical	elektrik
electrician	juruelektrik
electricity	elektrik
electrify	electrify
electrocute	elektrik
electrocution	elektrik
electromagnetic	elektromagnet
electron	elektron
electronic	elektronik
electronics	elektronik
elegance	keanggunan
elegant	elegan
element	elemen
elemental	elemen
elementary	elementary
elements	unsur-unsur
elephant	gajah
elevate	naikkan
elevated	tinggi
elevation	ketinggian
elevator	lif
eleven	sebelas
eleventh	kesebelas
elf	elf
elicit	elicit
eligible	layak
eliminate	menghapuskan
elimination	penghapusan
elite	elit
elitist	elitis
elixir	elixir
elk	rusa
ell	ell
ellipse	ellipse
ellipsis	ellipsis
ellipsoid	ellipsoid
elliptic	elips
elliptical	elips
elm	elm
elongate	memanjangkan
elongation	pemanjangan
elope	elope
eloquence	kefasihan
eloquent	fasih
elucidate	elucidate
elucidation	penjelasan
elude	elude
elusive	sukar difahami
emaciated	kurus
email	e-mel
emanate	emanate
emancipation	pembebasan
embankment	tambak
embargo	NO TRANSLATION
embark	menaiki
embarrass	memalukan
embarrassed	malu
embarrassing	memalukan
embarrassment	malu
embassy	kedutaan
embattled	diperkosa
embed	membenamkan
embellish	menghiasi
embellishment	perhiasan
embers	embers
embezzlement	penggelapan
embezzler	penggoda
emblem	lambang
emblematic	lambang
embodiment	penjelmaan
embolism	embolisme
embossed	timbul
embrace	peluk
embroidered	bersulam
embroidery	sulaman
embroiled	terlibat
embryo	embrio
embryonic	embrio
emcee	emcee
emerald	zamrud
emerge	muncul
emergence	kemunculan
emergency	kecemasan
emeritus	emeritus
