Word	sr
collage	колаж
collagen	колаген
collapse	колапс
collar	овратник
collarbone	кости
collate	сравнити
collateral	колатерална
collation	сравнение
colleague	колега
collect	сакупити
collected	прикупљени
collection	колекција
collective	колектив
collectively	колективно
collector	колектор
college	колеџ
collegiate	колегијат
collide	судари
collie	цоллие
collision	судар
collocation	колокација
colloquial	колоквијално
collusion	договарање
cologne	колоњска вода
colon	дебело црево
colonel	пуковниче
colonial	колонијални
colonic	колоније
colonoscopy	колоноскопија
colony	колонија
colophon	колофон
color	боја
coloration	бојење
colored	обојено
colorful	разнобојан
coloring	бојење
colorless	безбојно
colors	боје
colossal	колосално
colt	шоље
columbine	цолумбине
column	колона
columnar	стубан
columnist	колумниста
com	NO TRANSLATION
coma	цома
comatose	цоматосе
comb	чешаљ
combat	борба
combatant	борац
combative	борбена
combination	комбинација
combinatorial	комбинаторни
combine	комбиновати
combined	комбиновано
combo	цомбо
combustible	запаљив
combustion	сагоревање
come	доћи
comeback	врати се
comedian	комичар
comedy	комедија
comet	комета
comfort	удобност
comfortable	удобан
comforter	удобан
comforting	Утеху
comfy	удобан
comic	стрип
comical	комично
comics	стрипове
coming	долазе
comma	запета
command	команда
commandant	командант
commandeer	командир
commander	командант
commanding	командовање
commandment	заповест
commando	командо
commemorate	одати поцаст
commemoration	комеморација
commemorative	комеморативни
commence	започне
commend	похвалити
commendable	похвално
commendation	похвале
commensurate	сразмерно
comment	коментар
commentary	коментар
commentator	коментатор
commerce	трговина
commercial	комерцијално
commie	цоммие
commissary	комесара
commission	провизија
commissioner	комесара
commit	урадити
commitment	приврженост
committal	цоммиттал
committed	посвећен
committee	одбор
commodity	роба
commodore	цоммодоре
common	заједнички
commoner	обично
commonly	обично
commonplace	обично
commons	цоммонс
commonwealth	Цоммонвеалтх
commotion	сметња
communal	комунални
commune	цоммуне
communicable	преносива
communicate	комуницирајте
communication	комуникација
communicative	комуникативан
communicator	комуникатор
communion	заједница
communism	комунизам
communist	комуниста
community	заједница
commutation	комутација
commutative	комутативан
commute	мењаш
commuter	путник
comp	цомп
compact	компакт
compaction	збијање
compactness	компактност
companion	пратилац
companionless	сапутник
companionship	друштво
company	компанија
comparable	упоредив
comparative	компаративан
comparatively	релативно
compare	упоредити
comparison	поређење
compartment	компартмент
compass	компас
compassion	саосећање
compassionate	саосећајна
compatibility	компатибилност
compatible	компатибилан
compel	присилити
compelled	присиљено
compelling	неодољив
compendium	цомпендиум
compensate	надокнадити
compensation	компензација
compensatory	компензатор
compete	такмичити се
competence	компетентност
competency	компетентност
competent	компетентан
competition	конкуренција
competitive	конкурентно
competitor	конкурент
compilation	компилација
compile	саставити
complacency	самозадовољство
complacent	самозадовољан
complain	жалите се
complaint	жалба
complement	комплемент
complementary	комплементарно
complete	комплетан
completed	завршено
completely	у потпуности
completeness	потпуност
completing	завршава
completion	завршетак
complex	комплекс
complexed	комплексно
complexion	тен
complexity	сложеност
compliance	сагласност
compliant	компатибилан
complicate	компликује
complicated	компликован
complication	компликација
complicity	саучесништво
compliment	NO TRANSLATION
complimentary	ласкав
comply	придржавајте се
complying	поштовање
compo	цомпо
component	саставни део
compose	компонујте
composed	цомпосед
composer	композитор
composite	композитни
composition	композиција
compost	компост
composure	смиреност
compound	једињење
comprehend	схватити
comprehension	разумевање
comprehensive	обиман
compress	компресовати
compressed	компримовани
compressible	стиснут
compression	компресија
compressor	компресор
comprise	обухватају
compromise	компромис
comptroller	компјутер
compulsion	присиљавање
compulsive	компулсивно
compulsory	обавезно
computable	рачунајући
computation	рачунање
compute	рачунати
computer	рачунар
computerized	компјутеризован
computing	рад на рачунару
comrade	другар
con	NO TRANSLATION
concatenation	цонцатенатион
concave	конкавно
conceal	скривај
concealed	прикривен
concealment	прикривање
concede	признајем
conceit	концеит
conceited	уображен
conceivable	замисливо
conceive	замишљам
concentrate	концентрат
concentration	концентрација
concentric	концентрично
concept	концепт
conception	концепција
concern	забринутост
concerned	забринути
concert	концерт
concerto	концерт
concession	уступак
concessional	концесивно
conch	цонцх
concierge	консијерж
conciliation	помирење
concise	концизан
conclave	цонцлаве
conclude	закључити
concluding	закључивање
conclusion	закључак
conclusive	одлучујући
concoction	измишљотина
concomitant	истовремено
concord	цонцорд
concordance	сагласност
concours	NO TRANSLATION
concourse	Конкурс
concrete	бетон
concubine	цонцубине
concur	цонцур
concurrence	сагласност
concurrent	истовремени
concurring	цонцурринг
concussion	потрес мозга
condemn	осудити
condemnation	осуда
condensation	кондензација
condensed	кондензован
condescending	Изузетно
condescension	сажаљење
condiment	отпад
condition	стање
conditional	условни
conditionally	условно
conditioned	условљено
conditioner	кондиционер
conditioning	условљавање
conditions	услови
condo	цондо
condolence	саучешће
condolences	саучешћа
condom	кондом
condone	слажем се
condor	цондор
conducive	погодан
conduct	спровести
conduction	проводљивост
conductivity	проводљивост
conductor	диригент
conduit	цевовод
cone	Шишарка
confederacy	конфедерација
confederate	конфедерац
confederation	конфедерација
confer	савет
conference	конференција
confess	признајем
confession	признање
confessional	цонфессионал
confessions	признања
confetti	конфети
confidant	повјереник
confide	поверите се
confidence	самопоуздање
confident	самоуверен
confidential	поверљиво
confidentiality	Повјерљивост
confidentially	NO TRANSLATION
configuration	конфигурација
confine	ограничити
confined	ограничен
confinement	затварање
confines	ограничења
confirm	потврдите
confirmation	потврда
confirmatory	потврда
confirmed	потврђено
confiscate	конфискати
confiscation	конфискација
conflagration	пожар
conflict	конфликт
conflicting	конфликтно
confluence	ушће
conform	у складу
conformance	усклађеност
conformation	NO TRANSLATION
conformity	конформизам
confound	збуњен
confounded	збуњен
confront	суочити
confrontation	конфронтација
confuse	збуњују
confused	збуњено
confusing	збуњујуће
confusion	збуњеност
conga	цонга
congenial	сродни
congenital	урођене
congestion	загушење
conglomerate	конгломерат
conglomeration	конгломерација
congrats	цонгратс
congratulate	честитам
congratulation	честитам
congratulations	Честитам
congratulatory	честитам
congregate	скупити се
congregation	цонгрегатион
congress	конгрес
congressional	Конгрес
congressman	конгресмен
congruence	конгруенција
conic	конус
conical	коничан
conjecture	претпоставка
conjugal	коњугалан
conjugate	коњугат
conjugation	коњугација
conjunction	коњункција
conjunctive	коњунктивно
conjure	коњуре
conjuring	коњуре
conk	цонк
connect	цоннецт
connected	повезан
connection	веза
connective	конективно
connoisseur	познавалац
conquer	победити
conquering	освајање
conqueror	освајач
conquest	освајање
conscience	савест
conscientious	савесно
conscious	свесна
consciousness	свесност
conscription	регрутација
consecrated	посвећен
consecration	посвећеност
consecutive	узастопни
consensual	консензуално
consensus	консензус
consent	сагласност
consenting	сагласност
consequence	последица
consequent	последично
conservation	конзервација
conservatism	конзервативизам
conservative	конзервативан
conservatory	конзерваторијум
conserve	чувати
consider	размотрити
considerable	знатан
considerate	пажљиво
consideration	разматрање
consignee	примаоца
consignment	пошиљка
consist	састојати се
consistency	доследност
consistent	доследно
consolation	утеха
console	конзола
consoled	утешена
consolidate	консолидирати
consolidated	консолидовани
consolidation	консолидација
consonant	Сугласник
consort	конзорцијум
conspicuous	уочљив
conspiracy	завера
conspirator	завереник
conspire	спржите
constable	полицајац
constancy	константност
constant	константно
constantly	стално
constellation	констелација
consternation	збуњеност
constipation	констипација
constituency	изборна јединица
constituent	цонституент
constituents	састојци
constitute	конституисати
constitution	устава
constitutional	уставно
constitutionality	уставност
constrain	ограничити
constrained	ограничен
constraint	ограничење
construct	конструкт
construction	конструкција
constructive	конструктиван
construe	цонструе
consul	конзул
consulate	конзулат
consult	консултовати
consultant	консултант
consultation	консултације
consume	конзумирати
consumer	потрошач
consuming	конзумирајући
consummate	конзумирати
consummation	конзумација
consumption	потрошња
contact	контакт
contagion	зараза
contagious	заразно
contain	садржати
container	контејнер
containment	задржавање
contaminate	контаминирати
contaminated	контаминиран
contamination	контаминација
contemplate	размишљати
contemplation	контемплација
contemplative	контемплативно
contemporaneous	истовремено
contemporary	савремени
contempt	презир
contemptible	сумњиво
contemptuous	презир
contend	тврде
contender	кандидат
contending	трчање
content	садржај
contented	задовољан
contention	расправа
contentious	спорно
contentment	задовољство
contents	садржај
contest	такмичење
contestant	такмичара
context	контекст
contiguous	суседно
continence	континенција
continent	континент
continental	континентално
contingency	контигентност
contingent	контингент
continual	континуирано
continually	континуирано
continuance	наставак
continuation	наставак
continue	Настави
continued	наставио
continuing	наставља
continuity	континуитет
continuous	континуирано
continuously	непрекидно
continuum	континуум
contour	контура
contraband	контрабанд
contraception	контрацепција
contract	уговор
contracted	уговорено
contractile	цонтрацтиле
contracting	уговарање
contraction	контракција
contractor	извођач радова
contradict	контрадикторно
contradiction	контрадикција
contradictory	контрадикторно
contraption	контраптион
contrary	супротно
contrast	контраст
contrasted	контрастан
contravene	у супротности
contravention	кршење
contribute	допринети
contribution	допринос
contributor	допринос
contrite	скривено
contrition	наклоњеност
contrived	измишљено
control	контрола
controller	контролер
controlling	контролисање
controversial	контроверзно
controversy	контроверзи
contusion	контузија
conundrum	загонетка
convalescent	опоравак
convection	конвекција
convene	сазивати
convenience	погодност
conveniences	погодности
convenient	погодно
convent	манастир
convention	конвенција
conventional	конвенционално
converge	конвергирају
convergence	конвергенција
convergent	конвергентно
conversant	познати
conversation	разговор
conversational	конверзација
conversationalist	конверзацијска
converse	разговарати
conversing	разговор
conversion	конверзија
convert	претворити
converted	конвертован
convertible	кабриолет
convex	конвексно
convexity	конвексност
convey	преноси
conveyance	транспорт
conveyancing	преношење
convict	осуђеник
conviction	осуда
convince	убедити
convinced	уверен
convincing	убедљив
convocation	сазив
convoluted	компликован
convolution	конволуција
convoy	конвој
coo	цоо
cook	кувати
cookbook	цоокбоок
cooker	штедњак
cookery	кухање
cookie	колачић
cookies	колачићи
cooking	кухање
cookout	цоокоут
cool	хладан
coolant	хладњак
cooler	хладније
cooling	хлађење
coolness	хладноћа
coon	цоон
coop	цооп
cooperate	сарађују
cooperating	сарађују
cooperation	сарадња
cooperative	кооперативан
coordinate	координате
coordination	координација
coordinator	координатор
cop	полицајац
copacetic	NO TRANSLATION
cope	савладати
copier	копир
copilot	цопилот
coping	суочавање
copious	обилно
copper	бакар
copter	цоптер
copy	копирај
copycat	цопицат
copying	копирање
copyright	Ауторско право
coral	корал
coral snake	корална змија
cord	кабл
cordial	срдачан
cordless	бежични
cordon	кордон
corduroy	вештачки
core	језгро
cork	плута
corkscrew	спирално
corn	кукуруз
cornball	кукавица
cornbread	кукуруз
cornea	рожњача
corned	створена
corner	угао
cornerstone	камен темељац
cornet	цорнет
cornfield	кукурузно поље
cornflakes	NO TRANSLATION
cornice	корни
cornstarch	кукуруз
corny	корни
corollary	последица
corona	корона
coronary	коронар
coronation	крунисање
coroner	иследник
corporal	цорпорал
corporate	корпорације
corporation	корпорација
corporeal	телесно
corps	корпус
corpse	леш
corpsman	цорпсман
corpus	корпус
corral	коррал
correct	тачно
correction	корекција
correctional	поправни
corrective	корективни
correctness	исправност
correlation	корелација
correlative	корелативан
correspond	одговара
correspondence	преписка
correspondent	дописник
corresponding	одговара
corridor	Коридор
corroborate	поткрепити
corroboration	потврда
corrosion	корозија
corrosive	корозивно
corrupt	корумпиран
corrupting	корумпирајући
corruption	корупција
corsage	цорсаге
corse	NO TRANSLATION
corset	корзет
cortex	кортекс
cortical	кортикални
cortisone	кортизон
corvette	цорветте
cosmetic	козметички
cosmetics	козметика
cosmic	космички
cosmology	космологија
cosmopolitan	цосмополитан
cosmos	космос
cost	трошак
costly	скуп
costume	костим
cosy	удобан
cot	креветић
cote	цоте
cottage	Колиба
cotton	памук
couch	кауч
cougar	цоугар
cough	кашаљ
council	савет
councilman	одборник
counsel	адвокат
counseling	саветовање
counsellor	саветник
counselor	саветник
count	бројање
countdown	одбројавање
countenance	фаца
counter	бројач
counteract	цоунтерацт
counterattack	контранапад
counterbalance	цоунтербаланце
counterclaim	противтужба
counterfeit	фалсификат
counterpart	колега
counterpoint	контрапункт
countess	грофица
countless	безброј
country	земљу
countryman	сународник
countrymusic	NO TRANSLATION
countryside	село
counts	бројање
county	жупаније
coup	дрзавни удар
coupe	купе
couple	пар
coupled	спојен
coupling	квачило
coupon	купон
courage	храброст
courageous	храбро
courier	Курир
courses	курсеви
coursing	цоурсинг
court	суд
courteous	љубазно
courtesy	учтивост
courthouse	судница
courtroom	судница
courts	судови
courtship	удварање
courtside	суду
courtyard	двориште
cousin	рођак
cousins	рођаци
cove	залив
coven	цовен
covenant	завет
cover	поклопац
coverage	покривеност
covered	покривен, затрпан
covering	покривање
covert	тајно
covet	цовет
coveted	жељан
cow	крава
coward	кукавица
cowardice	кукавичлук
cowardly	кукавички
cowboy	каубој
cowgirl	цовгирл
cowhand	цовханд
cowhide	кравља кожа
cowl	коктел
coworker	сарадник
coy	цои
coyote	цоиоте
cozy	удобан
crab	Краба
crabby	црабби
crack	црацк
cracked	Црацкед
cracker	крекер
crackerjack	црацкерјацк
cracking	пуцање
crackle	крек
crackpot	црацкпот
cradle	колевка
craft	занат
crafts	занатство
craftsman	занатлија
craftsmanship	занатство
crafty	лукав
craig	цраиг
cram	црам
crammed	цраммед
cramp	грч
cramped	препуно
cranberry	брусница
cranberry juice	сок од бруснице
crane	кран
cranial	лобањ
cranium	цранијум
crank	цранк
cranky	Чудно
cranny	Цранни
crap	срање
crappy	цраппи
craps	црапс
crash	црасх
crass	црасс
crate	сандук
crater	кратер
crave	жудим
craving	жудња
crawfish	цравфисх
crawl	пузи
crayon	Цраион
crayons	бојице
craze	луда
crazed	цразед
craziness	лудост
crazy	луд
creak	шкрипац
creaking	цреакинг
cream	крем
creamed	цреамед
creamer	павлака
creamy	кремасто
crease	цреасе
create	створити
creation	стварање
creative	креативан
creativity	креативност
creator	творац
creature	створење
credence	цреденце
credential	цредентиал
credentials	цредентиалс
credibility	кредибилитет
credible	веродостојан
credit	кредит
credit card	кредитна картица
creditable	кредибилан
credited	кредитира
crediting	кредитирање
creditor	кредитор
creed	вероисповест
creek	поток
creep	гмизати
creeper	цреепер
creeping	плапање
creepy	језиво
cremation	кремирање
creole	цреоле
crepe	креп
crescendo	цресцендо
crescent	полумјесец
crest	грб
crestfallen	црестфаллен
cretin	кретен
cretins	кретени
crevice	пукотина
crew	посада
crewman	цревман
crib	креветац
cricket	крикет
cried	Плакао
crime	злочин
criminal	криминал
criminality	криминалитет
crimp	цримп
crimson	Гримизна
cringe	цринге
cripple	омаловажава
crippled	похабљен
crippling	оштећивање
crisis	криза
crisp	хрустљав
crispy	хрустљав
criterion	критеријум
critic	критичар
critical	критичан
criticise	критиковати
criticism	критике
criticize	критиковати
criticized	критикована
critique	критику
critter	цриттер
croak	цроак
croc	крокодил
crock	цроцк
crockery	посуда
crocodile	крокодил
croft	црофт
croissant	кроасан
crook	лопов
crooked	крио
crop	усев
croquet	крикет
cross	крст
cross country	цросс цоунтри
crossbow	једрењак
crossed	укрштен
crossfire	цроссфире
crossing	прелазак
crossover	цроссовер
crosswalk	пешачки прелаз
crossword	укрштене речи
crotch	препрека
crouch	цроуцх
crouched	скривен
crouching	кукање
croupier	цроупиер
crow	врана
crowbar	цровбар
crowd	гомила
crowded	гужва
crowds	гужве
crown	круна
crowning	крунисање
crucial	кључно
cruciate	цруциате
crucifix	Распеће
crucifixion	распеће
crucify	цруцифи
crud	цруд
crude	сирово
cruel	окрутно
cruelly	окрутно
cruelty	окрутност
cruise	крстарење
cruise ship	крстарица
cruiser	крстарица
cruising	крстарење
crumb	црумб
crumble	срушити
crumbling	распадају
crummy	црумми
crunch	крцкање
crunchy	хрустљав
crusade	крстарење
crusader	Црусадер
crush	сломити
crushed	здробљен
crusher	дробилице
crushing	дробљење
crust	цруст
crusty	црусти
crutch	штрајк
crux	црук
cry	плач
crybaby	црибаби
crying	плакати
crypt	крипт
cryptic	криптично
cryptography	криптографија
crystal	Кристал
crystalline	кристално
crystallization	кристализација
cub	жутокљунац
cubby	цубби
cube	коцка
cubic	кубни
cubicle	кабинета
cuckold	рогоња
cuckoo	кукавица
cucumber	краставац
cuddle	загрљај
cuddled	збуњен
cuddles	цуддлес
cuddling	цуддлинг
cue	цуе
cuff	манжетна
cuisine	кухиње
culinary	кулинарски
cull	избацити
culminate	кулминирати
culmination	кулминација
culpability	кривица
culpable	кривац
culprit	кривац
cult	култ
cultivate	култивисати
cultivated	култивисано
cultivation	култивацију
cultural	културно
culture	култура
cultured	култивисано
culvert	пропуст
cumbersome	отежано
cumulus	кумулус
cunning	лукав
cunt	пичка
cup	чаша
cupboard	креденац
cupcake	колачићу
cupping	цуппинг
cur	цур
curable	лечење
curate	цурате
curative	куратив
curator	кустос
curb	ивичњак
curd	сурутка
cure	лек
curfew	полицијски час
curiosity	радозналост
curious	радознао
curl	цурл
curling	цурлинг
currency	валута
current	Тренутни
curriculum	курикулум
curry	цурри
curse	проклетство
cursed	проклет
cursing	псовање
cursory	Сурфаце
curt	цурт
curtail	скратити
curtailment	ограничење
curtain	завеса
curtains	завесе
curtsy	цуртси
curvature	укривљеност
curve	крива
curved	закривљена
curvilinear	цурвилинеар
cushion	јастук
cushy	цусхи
cusp	Кусп
cuss	цусс
cussed	цуссед
custard	конзерва
custodial	старатељство
custodian	чувар
custody	старатељство
custom	обичај
customary	обично
customer	купац
customized	прилагођено
cut	рез
cutaneous	кожни
cute	слатко
cuticle	кутикуле
cutie	цутие
cutlass	цутласс
cutlery	Прибор за јело
cutoff	одрезати
cutter	секач
cutters	секачи
cutthroat	разбојник
cutting	сечење
cutting board	даска за сечење
cuttings	сечења
cwt	цвт
cyanide	цијанид
cyberspace	циберспаце
cycle	циклус
cyclical	циклично
cyclist	бициклисте
cyclone	циклон
cylinder	цилиндар
cylindrical	цилиндрично
cymbal	цимбал
cynic	циник
cynical	цинична
cynicism	цинизам
cyst	цист
cystic	цистична
cytomegalovirus	цитомегаловирус
cytoplasm	цитоплазма
czar	цар
dab	даб
dabble	даббле
dabbling	дабблинг
dad	тата
daddy	Тата
dado	NO TRANSLATION
daemon	даемон
daft	дафт
dagger	бодеж
daily	дневно
dainty	даинти
daiquiri	даикуири
dairy	Млекара
daisy	бела Рада
dak	NO TRANSLATION
dale	Дале
dam	брана
damage	штета
damaged	оштећено
damages	штете
dame	даме
damn	проклети
damnation	проклетство
damned	проклето
damp	влажно
dampened	умањен
damper	дампер
damsel	дама
dance	плес
dancer	плесач
dancing	плес
dandruff	перут
dandy	данди
danger	опасност
dangerous	опасно
dangerously	опасно
dangit	NO TRANSLATION
dangle	дангле
dank	NO TRANSLATION
dapper	Даппер
dare	изазов
daredevil	даредевил
daresay	даресаи
daring	смелост
dark	тамно
darken	даркен
darkened	затамњен
darkly	мрачно
darkness	тама
darkroom	тамна соба
darkside	Тамна страна
darling	драга
darn	дарн
dart	пикадо
dash	дасх
dashboard	Командна табла
dashed	пуцао
dashing	дасхинг
dastardly	дастардли
data	подаци
database	база података
date	датум
datenight	NO TRANSLATION
daughter	ћерка
dawdle	дахдле
dawn	зоре
dawned	оцекивао
day	дан
daybreak	даибреак
daycare	дневни боравак
daydream	сањарење
daydreaming	сањарење
daylight	дневно светло
daymade	NO TRANSLATION
dayoff	NO TRANSLATION
daytime	дневно
daze	дазе
dazed	дазед
dazzle	даззле
dazzling	заслепљујуће
deacon	Деакон
deactivate	деактивирати
dead	мртав
deadbeat	деадбеат
deadline	рок
deadlines	рокови
deadlock	застоја
deadly	смртоносно
deaf	глув
deafening	заглушујући
deafness	глувоћа
deal	договор
dealer	дилер
dealership	представништво
dealing	бављење
dealings	послове
dean	декан
dear	драга
dearest	најдражи
dearth	недостатак
death	смрт
deathbed	деатхбед
deathly	смртно
debacle	дебакле
debased	демагес
debatable	дискутабилно
debate	дебате
debauchery	дебауцхери
debenture	задужење
debilitating	дебилитатинг
debit	дебит
debrief	дебриеф
debriefing	дебриефинг
debris	рушевине
debt	дуг
debtor	дужник
debut	деби
debutante	дебутанте
decade	декада
decadence	декаденце
decadent	декадент
decaf	децаф
decanter	децантер
decathlon	децатлон
decay	пропадање
decayed	распаднуто
decaying	распадање
deceased	преминуо
decedent	устрајан
deceit	превара
deceitful	лажно
deceive	обмањују
deceived	преварени
deceiving	превара
december	децембар
decency	пристојност
decent	пристојан
deception	превара
deceptive	обмањујуће
decide	одлучити
decidedly	одлучно
deciduous	листопад
decimal	децималан
decimeter	дециметар
decipher	дешифрирати
decision	одлука
decisive	одлучујући
deck	палуба
declaration	декларација
declaratory	декларативно
declare	изјавити
declination	децлинатион
decline	одбити
declining	опада
deco	децо
decode	декодира
decoder	декодер
decompose	распадати
decomposed	распадан
decomposition	разградња
decompress	декомпресс
decompression	декомпресија
decontamination	деконтаминација
decor	декор
decorate	декоришите
decorating	украшавање
decoration	декорација
decorative	декоративан
decorator	декоратор
decorum	декор
decoy	мамац
decrease	смањење
decreased	смањен
decreasing	смањује се
decree	декрет
decrement	смањење
decrepit	децрепит
decry	декри
decryption	дешифровање
dedicate	посветити
dedication	посвета
deduce	дедуце
deduct	дедукт
deductible	одбит
deduction	Извођење закључка
deed	дело
deejay	деејаи
deem	деем
deep	дубоко
deepen	продубити
deer	јелен
defamation	клевета
defamatory	клеветнички
default	Уобичајено
defeat	пораз
defeated	поражен
defeatist	дефеатист
defect	дефект
defection	превара
defective	неисправан
defector	дефекторе
defend	бранити
defendant	оптужени
defended	бранио
defender	бранилац
defending	бранити
defense	одбрана
defenseless	без дефензуса
defensible	дефенсибле
defensive	одбрамбени
defer	одложити
deference	поштовање
deferral	одлагање
deferring	одлагање
defiance	пркос
defiant	пркосно
defibrillator	дефибрилатор
deficiency	недостатак
deficient	дефициент
deficit	дефицит
define	дефинисати
defined	дефинисани
definite	дефинитивно
definition	дефиниција
definitive	дефинитивно
deflate	дефлате
deflation	дефлација
deflect	дефлецт
deflection	скретање
defloration	дефлорација
deform	деформирати
deformed	деформисани
deformity	деформитет
defraud	дефрауд
defray	дефраи
defrost	одмрзавање
deft	дефт
defunct	неутврђени
defuse	дефусе
defy	пркосити
degeneracy	дегенерација
degenerate	дегенерише
degeneration	дегенерација
degradation	деградација
degrade	деградира
degraded	деградиран
degrading	понижавајуће
degree	степен
dehydrated	дехидрирано
dehydration	дехидратација
dejected	погресно
delay	кашњење
delayed	одложен
delectable	пријатан
delegate	делегат
delegation	делегација
delete	избрисати
deleterious	штетно
deletion	брисање
deli	деликатеси
deliberate	намерно
deliberation	размишљање
deliberative	делиберативни
delicacy	деликатеса
delicate	деликатна
delicatessen	деликатеса
delicious	укусно
delight	Сласт
delighted	одушевљен
delightful	дивно
delineate	обележи
delineation	делинеатион
delinquency	делинквенција
delinquent	делинквент
delirious	делириоус
delirium	делириум
deliver	испоручи
deliverance	испорука
delivery	испорука
dell	делл
delta	делта
delude	делуде
deluge	потоп
delusion	заблуда
delusional	делусионал
deluxe	делуке
delve	пробудите
demand	потражња
demanding	захтеван
demeaned	понижени
demeaning	понижавајуће
demeanor	понашање
demented	дементед
dementia	деменција
demise	смрт
demo	демо
democracy	демократија
democrat	демократ
democratic	демократски
demographic	демографски
demolish	рушити
demolished	срушено
demolition	рушење
demon	демон
demonic	демонска
demonstrable	доказљива
demonstrate	демонстрирати
demonstrated	демонстрирано
demonstrating	демонстрира
demonstration	демонстрације
demonstrative	демонстративно
demonstrator	демонстратор
demoralized	деморализовано
demos	демос
demure	демуре
den	NO TRANSLATION
deniability	поновљивост
denial	порицање
denied	одбијен
denim	деним
denomination	деноминација
denominational	деноминатионал
denominator	именитељ
denote	означава
denounce	Откажи
dense	густо
density	густина
dent	дент
dental	зубар
dentist	зубар
dentistry	стоматологија
dentists	зубари
denunciation	денунциатион
deny	негирати
denying	порицање
deodorant	деодорант
depart	отпутовати
departed	отишао
department	одељење
departmental	департментал
departure	одлазак
depend	зависи
dependable	поуздан
dependant	зависни
dependence	зависност
dependency	зависност
dependent	зависни
depict	приказати
depicting	приказивање
depletion	трошење
deplorable	жалосно
deplore	оштро
deploy	развити
deployment	распоређивање
deport	депортовати
deportation	депортација
depose	депосе
deposit	депозит
depositary	депозитар
deposition	таложење
depository	депозит
depot	депот
depraved	одвратан
depravity	омаловажавање
depreciate	депресија
depreciated	амортизован
depreciation	амортизација
depress	депресија
depressed	депресиван
depressing	депресивно
depression	депресија
depressive	депресивна
depresson	NO TRANSLATION
deprivation	депривација
deprive	лишити
deprived	лишен
depth	дубина
deputy	заменик
derail	дераил
deranged	поремећени
derelict	напуштени
derision	Узнемиравање
derivation	деривација
derivative	дериват
derive	изводити
dermal	дермално
dermatologist	дерматолог
dermatology	дерматологија
derogation	одступање
derogatory	дерогатори
descend	спусти се
descendant	потомак
descendent	NO TRANSLATION
descending	силазни
descent	спуштање
describe	опишите
description	Опис
descriptive	дескриптивно
desecrate	десецрате
desecration	скрнављење
desert	пустиња
deserted	напуштен
deserter	десертер
desertion	десертион
deserve	заслужују
deserved	заслужено
deserving	заслужује
design	дизајн
designate	означити
designated	означена
designation	ознака
designed	дизајниран
designer	дизајнер
designing	дизајнирање
desirability	пожељност
desirable	пожељан
desire	жеља
desiring	желим
desirous	десироус
desist	одустај
desk	радни сто
desolate	пуста
desolation	пустош
despair	очајање
despairing	очајање
despatch	отпремништво
desperado	десперадо
desperate	очајнички
desperation	очај
despicable	одвратан
despise	презирати
despondent	опојни
despotic	деспотично
despotism	деспотизам
dessert	десерт
destination	дестинацију
destined	предодређено
destiny	судбина
destitute	сиромашни
destroy	уништити
destroyed	уништено
destroyer	разарач
destroying	уништавајући
destruct	уништити
destruction	уништење
destructive	деструктивна
detach	одвојити
detached	одвојен
detachment	одред
detail	детаљ
detailed	детаљно
details	детаље
detain	задржати
detainee	притвореник
detect	открити
detectable	детектабилно
detection	откривање
detective	детектив
detector	детектор
detention	притвор
deter	одустати
detergent	детерџент
deteriorate	погоршати
deteriorated	погоршано
deteriorating	погоршава
deterioration	погоршање
determinable	детерминисано
determinate	одредити
determination	одлучност
determine	одредити
determined	одређени
deterrent	одвраћање
detest	одвратите
detestation	одвратност
detonate	детонира
detonation	детонација
detonator	детонатор
detour	обилазак
detract	одбацити
detriment	штета
detrimental	штетно
detritus	детритус
deuce	деуце
deutschmark	деутсцхмарк
devalued	девалвирано
devastate	пусти
devastated	разорен
devastating	разарајуће
devastation	девастација
develop	развити
developer	девелопер
developing	развој
development	развој
deviant	девиантан
deviate	одступити
deviating	одступају
deviation	одступање
device	уређај
devil	ђаво
deviled	девил
devilish	ђаво
devious	опојно
devise	измислити
devoid	девоидно
devolution	деволуција
devolve	пренесе
devote	посветити
devoted	посвећен
devotee	бхакта
devotion	преданост
devotional	преданост
devour	прождерати
devout	побожни
dew	Роса
dexter	дектер
dexterity	спретност
dextrose	декстроза
diabetes	дијабетес
diabetic	дијабетичар
diabolical	дијаболик
diagnose	поставити дијагнозу
diagnosis	дијагноза
diagnostic	дијагностика
diagnostics	дијагностика
diagonal	дијагонала
diagram	дијаграм
dial	диал
dialect	дијалект
dialectic	дијалектички
dialogue	дијалог
dialysis	дијализа
diameter	пречник
diamond	дијамант
diamonds	дијаманти
diaper	пелена
diaphragm	дијафрагма
diarrhea	дијареја
diarrhoea	дијареја
diary	дневник
diatribe	диатрибе
dib	NO TRANSLATION
dibs	дибс
dice	коцке
dicey	дицеи
dichotomous	дихотомно
dichotomy	дихотомија
dick	курац
dickhead	дицкхеад
dicks	дицкс
dictate	диктира
dictation	диктат
dictator	диктатор
dictatorial	диктаторски
dictatorship	диктатура
diction	дикција
dictionary	речник
dictum	NO TRANSLATION
didactic	дидактички
diddle	диддле
die	NO TRANSLATION
died	умро
diesel	дизел
diet	дијета
dietary	исхрана
differ	разликују се
difference	разлика
differences	Разлике
different	различит
differential	диференцијал
differentiation	диференцијација
differently	другачије
differing	другачије
difficult	тешко
difficulties	тешкоће
difficulty	тешкоћа
diffuse	дифузно
diffusion	дифузија
