Word	sn
designing	designing
desirability	desirability
desirable	zvinodikanwa
desire	chido
desiring	desiring
desirous	vanoda
desist	kurega
desk	desk
desolate	rakaparadzwa
desolation	dongo
despair	kuora mwoyo
despairing	kuora mwoyo
despatch	despatch
desperado	desperado
desperate	desperate
desperation	kushushikana
despicable	kuzvidza
despise	kuzvidza
despondent	kuora mwoyo
despotic	kupamba
despotism	despotism
dessert	dessert
destination	kuenda
destined	yakagadzirirwa
destiny	mugumo
destitute	vanoshayiwa
destroy	kuparadza
destroyed	kuparadzwa
destroyer	muparadzi
destroying	kuparadza
destruct	kuparadza
destruction	kuparadzwa
destructive	kuparadza
detach	detach
detached	zvakasununguka
detachment	detachment
detail	tsanangudzo
detailed	tsanangudzo
details	tsanangudzo
detain	deta
detainee	detainee
detect	ona
detectable	inoonekwa
detection	kuona
detective	detective
detector	detector
detention	kusungwa
deter	kudzivisa
detergent	detergent
deteriorate	kuora mwoyo
deteriorated	zvakashata
deteriorating	kuora
deterioration	kuora mwoyo
determinable	determinable
determinate	determinate
determination	kutsunga
determine	ona
determined	vakatsunga
deterrent	kudzivisa
detest	kuvenga
detestation	kuvenga
detonate	detonate
detonation	detonation
detonator	detonator
detour	detour
detract	zvinogumbura
detriment	zvinokuvadza
detrimental	zvinokuvadza
detritus	detritus
deuce	deuce
deutschmark	deutschmark
devalued	devalued
devastate	kuparadza
devastated	rakaparadzwa
devastating	kuparadza
devastation	kuparadzwa
develop	kukura
developer	developer
developing	kukura
development	kubudirira
deviant	deviant
deviate	kusiya
deviating	kupotsa
deviation	kupotsa
device	device
devil	dhimoni
deviled	kupotsa
devilish	devilish
devious	devious
devise	funga
devoid	devoid
devolution	devolution
devolve	devolve
devote	devote
devoted	devoted
devotee	devotee
devotion	kuzvipira
devotional	devotional
devour	idya
devout	kuzvipira
dew	dova
dexter	dexter
dexterity	dexterity
dextrose	dextrose
diabetes	chirwere cheshuga
diabetic	chirwere cheshuga
diabolical	diabolical
diagnose	diagnose
diagnosis	kuongorora
diagnostic	kuongorora
diagnostics	zvirwere
diagonal	diagonal
diagram	diagram
dial	dial
dialect	mutauro
dialectic	dialectic
dialogue	kukurukurirana
dialysis	dialysis
diameter	diameter
diamond	diamond
diamonds	diamond
diaper	diaper
diaphragm	diaphragm
diarrhea	chirwere
diarrhoea	chirwere
diary	diary
diatribe	diatribe
dib	NO TRANSLATION
dibs	dibs
dice	dice
dicey	dicey
dichotomous	dichotomous
dichotomy	dichotomy
dick	dick
dickhead	dickhead
dicks	dicks
dictate	tora
dictation	chirevo
dictator	mudzvinyiriri
dictatorial	kudzvinyirira
dictatorship	kudzvinyirira
diction	diction
dictionary	duramazwi
dictum	NO TRANSLATION
didactic	didactic
diddle	akavhara
die	NO TRANSLATION
died	vakafa
diesel	diesel
diet	kudya
dietary	dietary
differ	zvakasiyana
difference	kusiyana
differences	kusiyana
different	zvakasiyana
differential	kusiyana
differentiation	kusiyana
differently	zvakasiyana
differing	zvakasiyana
difficult	zvakaoma
difficulties	zvinetso
difficulty	kuoma
diffuse	diffuse
diffusion	kuparadzaniswa
dig	NO TRANSLATION
digest	digest
digestion	digestion
digestive	kudya
digit	digit
digital	digital
dignified	kuremekedzwa
dignify	kukudzwa
dignity	chiremera
digress	digress
digs	NO TRANSLATION
dike	dike
dilapidated	akaora mwoyo
dilatation	dilatation
dilation	kuderedza
dildo	dildo
dilemma	dambudziko
diligence	kushingaira
diligent	kushingaira
dill	dill
diluent	diluent
dilute	dilute
diluted	diluted
dilution	dilution
dim	dim
dime	dime
dimension	dimension
dimensional	dimensional
diminish	kuderedza
diminished	kuderedza
diminution	diminution
diminutive	diminutive
dimwit	dimwit
din	NO TRANSLATION
dine	dine
diner	diner
dinghy	dinghy
dingo	dingo
dingy	dingy
dining	dining
dinky	dinky
dinner	dinner
dinnertime	dinnertime
dinosaur	dinosaur
dint	dint
diocesan	diocesan
diocese	diocese
diorama	diorama
dioxide	dioxide
dip	dip
diploma	diploma
diplomacy	diplomacy
diplomat	dhigiridzi
diplomatic	diplomatic
dipper	dipper
dippy	dippy
dipstick	dipstick
dire	NO TRANSLATION
direct	direct
directed	inotungamirirwa
direction	nhungamiro
directive	directive
directly	zvakananga
director	mutungamiriri
directory	directory
dirt	tsvina
dirty	tsvina
disability	kuremara
disable	disable
disabled	akaremara
disadvantage	kusagadzikana
disaffected	disaffected
disagree	hazvibvumirani
disagreeable	kusagamuchirwa
disagreeing	vasingabvumirani
disagreement	kusabvumirana
disallow	rega
disallowed	hazvirambidzwi
disapointment	NO TRANSLATION
disappear	kunyangarika
disappearance	kunyangarika
disappearing	kunyangarika
disappoint	kuora mwoyo
disappointed	kuora mwoyo
disappointing	kuodza mwoyo
disappointment	kuora mwoyo
disapproval	kusavhiringidzwa
disapprove	zvinopesana
disapproved	asingabvumirwi
disapproving	vasingabvumi
disarm	shandura
disarray	kuparadzaniswa
disaster	njodzi
disastrous	njodzi
disband	disband
disbelief	kusatenda
disbelieve	musatenda
disburse	kubvisa
disbursement	kubhadhara
disc	disc
discard	kurasira
discarded	kurasikirwa
discards	rinoramba
discern	kunzwisisa
discernible	inonzwisisika
discerning	kunzwisisa
discernment	kunzwisisa
discharge	kusununguka
disciple	mudzidzi
disciplinary	chirango
discipline	chirango
disciplined	rakarangwa
disclaim	hazvizivikanwi
disclaimer	kunyatsoziva
disclose	taura
disclosed	zvakaziviswa
disclosure	kuzivisa
disco	disco
discoloration	discoloration
discolored	discolored
discomfort	kusagadzikana
disconcerted	kunetseka
disconcerting	kunetseka
disconnect	kubvisa
disconnected	kukanganiswa
disconnection	kukanganiswa
disconnects	disconnects
discontent	kusagutsikana
discontinuance	discontinuance
discontinue	rega
discontinuity	discontinuity
discontinuous	discontinuous
discord	kupesana
discount	discount
discounted	discounted
discourage	kuora mwoyo
discouraged	akaora mwoyo
discouragement	kuora mwoyo
discouraging	kuodza mwoyo
discourse	hurukuro
discover	ona
discovery	kuwanikwa
discredit	kunyadzisa
discredited	discredited
discreet	NO TRANSLATION
discrepancy	kusawirirana
discrete	discrete
discretion	kungwara
discretionary	discretionary
discriminate	vanosarudza
discriminating	kusarura
discrimination	kusarura
discus	discus
discuss	kukurukura
discussion	kukurukurirana
disdain	kuzvidza
disdainful	kunyadzisa
disease	chirwere
diseased	chirwere
disembodied	disembodied
disengage	tsvina
disengagement	disengagement
disfigured	isina kusimba
disgrace	kunyadziswa
disgraced	kunyadziswa
disgraceful	zvinonyadzisa
disgruntled	kunyadziswa
disguise	kuvanza
disguised	disguised
disgust	kunyangadza
disgusted	kunyadziswa
disgusting	zvinonyangadza
dish	dish
disheartened	kuora mwoyo
disheartening	kuora mwoyo
dishonest	kusatendeseka
dishonesty	kusatendeseka
dishonor	kunyadziswa
dishonorable	kunyadziswa
dishwasher	dishwasher
disillusionment	kuora mwoyo
disinclination	kukanganisa
disincline	kunyengedza
disinclined	kukanganiswa
disinfect	disinfect
disinfectant	disinfectant
disinfection	disinfection
disinformation	disinformation
disingenuous	kudzivisa
disintegrate	shanduka
disintegration	kusagadzikana
disinterested	disinterested
disjoint	disjoint
disjointed	disjointed
disjunctive	disjunctive
disk	disk
diskette	diskette
dislike	havadi
disliked	asingadi
disliking	kunyunyuta
dislocated	dislocated
dislocation	dislocation
dislodge	dislodge
disloyal	kusatendeka
disloyalty	kusatendeka
dismal	kuora mwoyo
dismantle	dismantle
dismay	dismay
dismayed	kuvhunduka
dismemberment	dismemberment
dismiss	rega
dismissal	kubvisa
dismissive	kurega
dismount	dismount
disobedience	kusateerera
disobedient	vasingateereri
disobey	kusateerera
disorder	dambudziko
disordered	kushungurudzika
disorderly	kusagadzikana
disorganized	kusagadziriswa
disorientation	kuora mwoyo
disoriented	disoriented
disown	ramba
disparage	kuzvidza
disparaging	kunyadzisa
disparate	kusazvitsaura
disparity	kusawirirana
dispassionate	kusuruvara
dispatch	dispatch
dispatcher	dispatcher
dispel	tsvina
dispensary	mbudzi
dispensation	nguva
dispense	kuparadzira
dispenser	distenser
dispersal	kupararira
disperse	kuparadzira
dispersed	vakapararira
dispersion	kupararira
dispirited	dispirited
displace	displace
displaced	vakasununguka
displacement	kusimuka
displacency	kusununguka
display	kuratidza
displease	zvisingafadzi
displeased	hazvifadzi
displeasure	kusagutsikana
disposable	inogona kuraswa
disposal	kurasa
dispose	tora
disposed	rakaraswa
disposition	maitiro
dispossessed	inodzingwa
disprove	kupomera
dispute	kukakavara
disqualification	kukanganiswa
disqualified	kukanganiswa
disqualify	kukanganiswa
disquieted	kushungurudzika
disregard	kusazvidza
disregarded	kusaremekedzwa
disrelish	kunyadzisa
disreputable	zvinonyadzisa
disrepute	disrepute
disrespect	kusaremekedza
disrespectful	kusaremekedza
disrupt	kuvhiringidza
disrupting	kuvhiringidza
disruption	kuvhiringidzika
disruptive	kuvhiringidza
dissatisfaction	kusagutsikana
dissatisfied	asingagutsikani
dissect	dissect
dissection	dissection
disseminate	kuparadzira
dissemination	kuparadzira
dissension	kupesana
dissent	kupesana
dissenting	kupesana
dissertation	dissertation
disservice	disservice
dissident	kuramba
dissimilar	dissimilar
dissipate	dissipate
dissipated	dissipated
dissociation	kuparadzana
dissociative	dissociative
dissolution	dissolution
dissolve	dissolve
dissonance	dissonance
dissuade	rega
distal	distal
distance	kure
distant	kure
distaste	distaste
distasteful	zvinotyisa
distillate	distillate
distillation	distillation
distilled	distilled
distinct	distinct
distinction	kusiyana
distinctive	zvakasiyana
distinguish	kusiyanisa
distinguishable	distinguishable
distinguished	zvakasiyana
distinguishing	kusiyanisa
distort	kukanganisa
distorted	kukanganisa
distortion	kupotoka
distract	distract
distracted	akavhiringidzika
distracting	zvinokanganisa
distraction	kushungurudzwa
distraught	kushungurudzika
distress	kutambudzika
distressed	kushushikana
distressing	kushushikana
distribute	kugovera
distribution	kugoverwa
distributor	distributor
district	district
distrust	kusavimba
disturb	kukanganisa
disturbance	kushungurudza
disturbed	kunetseka
disturbing	kushungurudza
disuse	shandisa
disused	kushandiswa
ditch	dongo
ditto	ditto
ditty	ditty
diurnal	diurnal
diva	diva
divan	NO TRANSLATION
dive	dive
diver	diverse
diverge	diverge
divergence	kusiyana
divergent	divergent
diverging	diverging
divers	mizhinji
diverse	zvakasiyana
diversified	zvakasiyana-siyana
diversify	diversify
diversion	diversion
diversionary	diversionary
diversity	kusiyana
divert	shandura
diverting	kupotsa
divest	divest
divested	akaparadzaniswa
divestment	divestment
divide	gurai
divided	akaparadzaniswa
dividend	chikamu
divination	kuuka
divine	Mwari
divinity	uMwari
divisible	kuoneka
division	kupesana
divisor	divisor
divorce	kurambana
divorcee	divorcee
divulge	divulge
divvy	divvy
dizziness	chizoro
dizzy	Dzungu
do	ita
doable	zvinogona kuitwa
doc	doc
docile	docile
dock	dock
docked	kukanganwa
docket	docket
docking	docking
doctor	chiremba
doctorate	doctorate
doctrinal	dzidziso
doctrine	dzidziso
document	document
documentary	documentary
documentation	zvinyorwa
documents	zvinyorwa
dodge	dodge
dodger	dodger
dodging	dodging
dodgy	dodgy
dodo	dodo
doe	doe
doer	muiti
dog	Imbwa
dogface	chimiro
dogged	dogged
doggy	doggy
doghouse	doghouse
dogma	dzidziso
dogmatic	dzidziso
dogsick	NO TRANSLATION
doings	mabasa
doit	NO TRANSLATION
dojo	dojo
doldrums	doldrums
dole	dole
doll	chido
dollar	dollar
dollhouse	dollhouse
dolor	NO TRANSLATION
dolphin	dolphin
domain	domain
dome	dome
domestic	mhuri
domesticated	domesticated
domestication	domestication
domicile	domicile
domiciled	domiciled
dominance	kutonga
dominant	rinotungamirira
dominate	dominate
dominating	kutonga
domination	kutonga
dominatrix	dominatrix
dominion	dominion
domino	domino
don	don
donate	donate
donation	mhiko
donkey	dhongi
donor	mupiro
dontlikeyou	NO TRANSLATION
dontmess	NO TRANSLATION
dontmesswithme	dontmesswithme
dontpanic	usavhunduke
dontunderstand	NO TRANSLATION
doodle	doodle
doom	dambudziko
doomed	vachaparadzwa
doomsday	doomsday
door	musuo
doorbell	doorbell
doorknob	dhokodhi
doorman	doorman
doormat	doormat
doornail	doornail
doorstep	doorstep
doorway	musuo
dopamine	dopamine
dope	dope
dopey	dopey
dork	dork
dorky	dorky
dorm	dorm
dormant	dormant
dormitory	dormitory
dorsal	dorsal
dosage	muyero
dose	dose
dossier	dossier
dot	dot
doting	doting
dotted	dotted
dotty	dotty
double	kaviri
doubled	kaviri
doublet	doublet
doubling	kuwirirana
doubt	kusava nechokwadi
doubtful	kusava nechokwadi
doubting	kusava nechokwadi
doubtless	pasina mubvunzo
doubts	kusava nechokwadi
douche	douche
douchebags	douchebags
dough	hlama
doughboy	doughboy
doughnut	donut
dour	dour
douse	svetuka
dove	njiva
down	pasi
downcast	downcast
downer	downer
downfall	kugwa
downfield	downfield
downhearted	kuora mwoyo
downhill	downhill
download	download
downpour	kunaya
downright	zvakananga
downriver	pasi
downside	pasi
downtime	downtime
downward	pasi
downy	downy
dowry	dowry
doze	doze
dozen	gumi nemaviri
drab	drab
draft	ronga
drafty	drafty
drag	kweva
dragon	dhiragoni
dragonfly	dragonfly
drain	drain
drainage	drainage
drained	yakaderedzwa
draining	draining
drainpipe	drainpipe
drake	drake
drama	drama
dramaqueen	NO TRANSLATION
dramatic	dramatic
drape	drape
drapery	drapery
drastic	zvakanyanya
drat	NO TRANSLATION
draught	ronga
draw	draw
drawback	drawback
drawbridge	drawbridge
drawer	drawer
drawers	vavaki
drawing	drawing
dread	kutya
dreaded	kutya
dreadful	anotyisa
dreadfully	dreadfully
dreading	kutya
dream	kurota
dreamboat	dreamboat
dreamer	muroti
dreaming	kurota
dreamland	dreamland
dreams	kurota
dreamt	akarota
dreamy	dreamy
dreary	dreary
dredge	dredge
drenched	drenched
dress	nguo
dresser	mupfeki
dressmaker	mupfeki
dressy	apfeke
dribble	NO TRANSLATION
dried	dzakaomeswa
drier	drier
drift	drift
drifted	drifted
drifter	drifter
driftwood	driftwood
drill	drill
drink	kunwa
drinker	anonwa
drinking	kunwa
drinks	zvinwiwa
drip	drip
dripping	dripping
drive	drive
drivel	drivel
driver	mutyairi
driveway	driveway
drizzle	drizzle
droll	droll
drone	drone
drones	drones
drool	drool
drooping	drooping
droopy	droopy
drop	Donhedza
droplet	droplet
dropout	kuregera
dropper	dropper
drought	kuoma
drove	NO TRANSLATION
drown	drown
drowsiness	kugona
drowsy	anokotsira
drudgery	drudgery
drug	chiremba
drug dealing	kushandisa zvinodhaka
drugged	zvinodhaka
druggist	chiremba
drugs	zvinodhaka
drugstore	drugstore
druid	druid
drum	drum
drummer	drummer
drumming	drumming
drunk	akadhakwa
drunk driving	kudhakwa kunodhakwa
drunkard	chidhakwa
drunken	drunken
drunkenness	kudhakwa
dry	dry
dryer	dryer
dryness	dryness
dual	kaviri
dualism	dealism
duality	duality
dub	dub
dubious	dubious
duchess	duchess
duck	dada
ducking	ducking
duckling	duckling
ducky	ducky
duct	duct
ductile	ductile
dud	dud
dude	dude
duds	duds
due	due
duel	duel
dues	mari
duet	duet
duffel	duffel
dugout	dugout
duh	duh
duke	duke
dull	dull
dullard	dullard
dumb	mbeveve
dumbasses	dumbasses
dumbbell	dumbbell
dumbbitch	NO TRANSLATION
dumfound	dumfound
dumfounder	NO TRANSLATION
dummy	dummy
dump	dump
dumpling	dumpling
dumps	dumps
dumpster	dumpster
dun	dun
dunce	dunce
dune	dune
dung	NO TRANSLATION
dungeon	dongoon
dunk	dunk
duo	duo
dupe	dupe
duplex	duplex
duplicate	duplicate
duplication	kudzokorora
duplicity	duplicity
durability	durability
durable	durable
duration	nguva
duress	kunetseka
dusk	dusk
dusky	dusky
dust	guruva
duster	duster
dustpan	dustpan
dusty	guruva
dutiful	zvakashata
duty	basa
dwarf	dwarf
dwarfed	dwarfed
dweeb	dweeb
dwell	gara
dweller	kugara
dwelling	kugara
dye	dye
dying	kufa
dyke	dyke
dynamic	simba
dynamical	dynamical
dynamics	dynamics
dynamite	dynamite
dynamo	dynamo
dynasty	dzinza
dysentery	dysentery
dysfunction	kusagadzikana
dysfunctional	inoshaya
dyspepsia	dyspepsia
eager	vanoda
eagerness	chido
eagle	eagle
ear	nzeve
earful	early
earl	earl
earlier	kare
early	kutanga
earn	pfuma
earnest	kushingaira
earnestly	nomwoyo wose
earnestness	kushingaira
earnings	mubhadharo
earpiece	earpiece
earring	earring
earrings	earrings
earshot	earshot
earth	pasi
earthenware	denga
earthling	pasi
earthly	pasi pano
earthquake	kudengenyeka kwenyika
earthy	earthy
ease	kusununguka
easel	easel
easement	easement
easily	nyore
east	mabvazuva
eastbound	eastbound
eastern	kumabvazuva
easy	nyore
easygoing	zviri nyore
eat	idya
eater	idya
eating	kudya
eatingdisorders	NO TRANSLATION
eavesdrop	eavesdrop
eavesdropping	eavesdropping
ebb	ebb
ebony	ebony
ebullient	ebullient
eccentric	eccentric
eccentricity	eccentricity
ecclesiastical	ekereke
echelon	echelon
echinacea	echinacea
echo	echo
eclectic	eclectic
eclipse	kupera
ecliptic	ecliptic
ecological	zvipenyu
economic	zvemari
economical	economical
economics	economics
economy	hupfumi
ecosystem	ecosystem
ecstasy	ecstasy
ecstatic	kufara
ecumenical	vekereke
eddy	eddy
edema	edema
edge	edge
edging	edging
edgy	edgy
edible	zvinodyika
edict	chirevo
edification	kuvaka
edifice	edifice
edit	edit
editing	kuchinja
edition	edition
editor	mupepeti
editorial	muparidzi
educate	kudzidzisa
educated	vakadzidziswa
education	dzidzo
educational	dzidzo
educator	mudzidzisi
eeeek	NO TRANSLATION
eeek	NO TRANSLATION
eek	eek
eel	eel
eerie	eerie
effect	kuitika
effective	kubudirira
effectiveness	kubudirira
effects	migumisiro
effectual	effectual
effectually	effectually
effectuate	effectuate
effeminate	effeminate
efficacious	anobatsira
efficacy	efficacy
efficiency	kubudirira
efficient	inoshanda
effigy	effigy
effort	kuedza
effortless	kushanda nesimba
effusion	effusion
effyou	NO TRANSLATION
egg	yai
egghead	egghead
eggnog	eggnog
eggplant	eggplant
eggshell	eggshell
ego	ego
egomaniac	egomaniac
egotistical	egotistical
egregious	zvinoshamisa
egress	egress
eight	sere
eighteen	gumi nesere
eighth	chesere
eighty	makumi masere
ejaculate	ejaculate
ejaculation	ejaculation
eject	siya
ejection	ejection
elaborate	Tsanangura
elaboration	elaboration
elan	NO TRANSLATION
elapse	elapse
elapsed	yakapera
elastic	elastic
elasticity	elasticity
elated	vakafara
elation	chikamu
elbow	gokora
eld	eld
elder	mukoma
elderly	vakwegura
elders	vakuru
eldest	eldest
elect	vakasarudzwa
election	sarudzo
elective	kusarudza
elector	vasarudzo
electoral	sarudzo
electorate	electorate
electric	magetsi
electric slide	magetsi slide
electrical	magetsi
electrician	magetsi
electricity	magetsi
electrify	electrify
electrocute	electrocute
electrocution	electrocution
electromagnetic	electromagnetic
electron	electron
electronic	electronic
electronics	electronics
elegance	elegance
elegant	elegant
element	element
elemental	elemental
elementary	elementary
elements	zvikamu
elephant	nzou
elevate	kukwidziridza
elevated	yakakwirira
elevation	elevation
elevator	elevator
eleven	gumi neimwe
eleventh	chegumi neimwe
elf	elf
elicit	inokumbira
eligible	akakodzera
eliminate	kubvisa
elimination	kubviswa
elite	elite
elitist	elitist
elixir	elixir
elk	elk
ell	ell
ellipse	ellipse
ellipsis	ellipsis
ellipsoid	ellipsoid
elliptic	elliptic
elliptical	elliptical
elm	elm
elongate	elongate
elongation	elongation
elope	elope
eloquence	rakananga
eloquent	nyanzvi
elucidate	elucidate
elucidation	elucidation
elude	elude
elusive	zvisingaiti
emaciated	emaciated
email	email
emanate	emanate
emancipation	kusunungurwa
embankment	kubatwa
embargo	NO TRANSLATION
embark	kutanga
embarrass	kunyara
embarrassed	kunyara
embarrassing	kunyadzisa
embarrassment	kunyara
embassy	embassy
embattled	embattled
embed	kuvhara
embellish	embellish
embellishment	embellishment
embers	embels
embezzlement	kunyengera
embezzler	embezzler
emblem	chiratidzo
emblematic	emblematic
embodiment	mufananidzo
embolism	embolism
embossed	embossed
embrace	embrace
embroidered	akavezwa
embroidery	embroidery
embroiled	embroiled
embryo	embryo
embryonic	embryonic
emcee	emcee
emerald	emerald
emerge	kubuda
emergence	emergence
emergency	dambudziko
emeritus	emeritus
emery	emery
emetophobia	emetophobia
emigrate	emigrate
emigration	emigration
eminence	eminence
eminent	zvikuru
eminently	eminently
emir	NO TRANSLATION
emissary	nhume
emission	emission
emit	emit
emo	emo
emotion	manzwiro
emotional	manzwiro
emotive	emotive
empathic	empathic
empathize	empathize
empathy	kunzwira tsitsi
emperor	mambo
emphasis	kusimbiswa
emphasize	kusimbisa
emphatic	emphatic
emphysema	emphysema
empire	empire
empirical	empirical
empiricism	empiricism
employ	shandisa
employee	mushandi
employer	mushandirwi
employment	basa
emporium	emporium
empower	simba
empress	empress
emptiness	chisina
emption	emption
empty	zvisina chinhu
emu	emu
emulate	emulate
emulsion	emulsion
enable	simba
enablement	enablement
enact	ita
enactment	kugadziriswa
enamel	enamel
encampment	encampment
enchant	enchant
enchanted	enchanted
enchanting	enchanting
enchantment	enchantment
enchantress	enchantress
enchilada	enchilada
encircle	akapoteredza
encircling	akapoteredza
enclave	enclave
enclose	enclose
enclosure	yakavharwa
encode	encode
encomiastic	NO TRANSLATION
encomium	encomium
encompass	inopoteredza
encore	NO TRANSLATION
encounter	kusangana
encourage	kukurudzira
encouraged	akakurudzirwa
encouragement	kukurudzira
encouraging	kukurudzira
encroach	inopinza
encroachment	kukanganisa
encrypt	encrypt
encryption	encryption
encumbrance	encumbrance
encyclopedia	encyclopedia
end	kuguma
end table	tafura yekupedzisira
endanger	pangozi
endangered	pangozi
endangerment	kuisa mungozi
endearing	endearing
endeavor	endeavor
ended	rakaguma
endemic	endemic
endgame	endgame
ending	kuguma
endless	kusingaperi
endocarditis	endocarditis
endorse	kutsigira
endorsement	endorsement
endow	endow
endowed	rakapiwa
endowment	chipo
endpapers	mapepanhau
endpoint	endpoint
endurance	kutsungirira
endure	kutsungirira
enduring	kutsungirira
enema	enema
enemy	muvengi
energetic	energetic
energize	energize
energy	simba
enforce	kutevedzera
enforcement	kutevedza
enforcer	enforcer
engage	vanoita
engaged	akabatanidzwa
engagement	kubatana
engaging	kuita
engender	engender
engine	injini
engineer	engineer
engineering	engineering
engrave	engrave
engraved	engraved
engraver	engraver
engraving	engraving
engrossed	akabatanidzwa
engrossing	engrossing
engulf	engulf
enhance	kuwedzera
enhancement	kukurudzira
enigma	enigma
enigmatic	enigmatic
enjoin	enjoin
enjoy	kunakidzwa
enjoyable	inonakidza
enjoying	kunakidzwa
enjoyment	mufaro
enlarge	kuwedzera
enlarged	yakakura
enlargement	kuwedzera
enlighten	kujekesa
enlightened	kujekeswa
enlightening	kujekesa
enlightenment	kujekeswa
enlist	nyora
enliven	enliven
enmity	kuvenga
ennui	ennui
enormity	kukura
enormous	zvikuru
enormously	zvikuru
enraged	akatsamwa
enrich	kuwedzera
enroll	nyora
enrollment	kunyorwa
ensemble	ensemble
ensign	sign up
enslave	varanda
enslaved	varanda
enslavement	varanda
ensue	ensue
ensure	vimbisa
entail	inosanganisira
entangled	chinopinda
entanglement	entanglement
enter	pinda
enterprise	business
enterprising	enterprising
entertain	entertain
entertained	entertained
entertainer	entertainer
entertaining	kufara
entertainment	varaidzo
enthralled	enthralled
enthusiasm	kushingaira
enthusiast	anofarira
enthusiastic	kushingaira
entice	kunyengera
entire	zvakakwana
entirety	zvakakwana
entitle	fungidzira
entity	entity
entomology	entomology
entourage	entourage
entrails	entrails
entrance	kupinda
entrapment	entrapment
entreat	teterera
entree	entree
entrepreneur	entrepreneur
entrust	ita
entry	entry
enumerate	enumerate
enumeration	enumeration
envelope	envelope
envious	godo
environ	NO TRANSLATION
environment	nzvimbo
environmental	zvakatipoteredza
environs	environs
envision	fungidzira
envoy	nhume
envy	godo
enzyme	enzyme
ephemeral	ephemeral
ephemeris	ephemeris
epic	epic
epidemic	denda
epidermis	epidermis
epidural	epidural
epilepsy	kuora mwoyo
epileptic	kuora mwoyo
epilogue	epilogue
epiphany	epiphany
episcopal	episcopal
episode	episode
episodic	episodic
epistle	tsamba
epitaph	epitaph
epithet	epithet
epitome	epitome
epoch	epoch
equal	akaenzana
equality	kuenzana
equalization	equalization
equalize	equalize
equalizer	equalizer
equally	zvakaenzana
equate	equate
equation	equation
equator	equator
equatorial	equatorial
equestrian	equestrian
equidistant	equidistant
equilibration	kuenzana
equilibrium	equilibrium
equip	equip
equipment	midziyo
equitable	zvakaenzana
equity	kuenzana
equivalence	equivalence
equivalent	zvakaenzana
equivocal	equivocal
era	era
eradicate	kuparadza
eradication	kuparadzwa
erase	erase
eraser	eraser
erasure	erasure
ere	NO TRANSLATION
erect	erect
erectile	erectile
erection	erection
ergo	NO TRANSLATION
erode	erode
erosion	kudengenyeka
erotic	kukanganisa
erotica	erotica
err	err
errand	errand
errant	inokanganisa
erratic	zvinokanganisa
erratum	erratum
erroneous	kukanganisa
error	kukanganisa
erst	NO TRANSLATION
erudite	erudite
erupt	ruka
eruption	eruption
escalade	escalade
escalate	kuwedzera
escalating	kuwedzera
escalation	escalation
escalator	escalator
escape	pukunyuka
escaped	vakapukunyuka
escarpment	escarpment
eschew	eschew
escort	escort
escrow	escrow
esophagus	esophagus
esoteric	esoteric
especial	NO TRANSLATION
espionage	espionage
espouse	espouse
espresso	espresso
esprit	esprit
esquire	tsvaga
essay	nyaya
essayist	essayist
essence	essence
essential	zvinokosha
essentially	zvikuru
establish	simbisa
established	yakasimbiswa
establishment	kuumbwa
estate	estate
esteem	rukudzo
esteemed	anoremekedzwa
esthetic	esthetic
estimable	inokwanisika
estimate	estimate
estimation	kuenzanisa
estoppel	estoppel
estranged	isranged
estrogen	estrogen
estuary	denga
etch	etch
etching	etching
eternal	nokusingaperi
eternity	nokusingaperi
ethanol	ethanol
ether	ether
ethereal	ethereal
ethic	tsika
ethical	tsika
ethics	maitiro
ethnic	ethnic
ethnography	ethnography
etiology	etiology
etiquette	etiquette
etymology	etymology
eucalyptus	eucalyptus
euchre	euchre
eugenics	eugenics
eulogistic	eulogistic
eulogium	eulogium
eulogize	eulogize
eulogy	eulogy
euphemism	euphemism
euphoria	euphoria
euphoric	euphoric
euro	euro
euthanasia	euthanasia
evacuate	pukunyuka
evacuation	kubuda
evade	evade
evaluate	kuongorora
evaluation	kuongorora
evanescence	evanescence
evangelical	evangelical
evangelist	evangelist
evangelistic	evangelistic
evaporate	evaporate
evaporation	evaporation
evasion	evasion
evasive	evasive
eve	eve
evening	manheru
evens	NO TRANSLATION
event	chiitiko
eventful	chiitiko
eventual	pakupedzisira
eventuality	enduality
evergreen	evergreen
everlasting	nokusingaperi
evermore	nguva dzose
everyday	mazuva ese
everyman	everyman
evict	kubudisa
eviction	kubviswa
evidence	uchapupu
evident	zviri pachena
evidentiary	proofentiary
evil	zvakaipa
evoke	evoke
evolution	kushanduka
evolutionary	evolutionary
evolve	kuchinja
ewe	ewe
ex	ex
exacerbate	kuwedzera
exacerbation	kuwedzera
exact	chaiyo
exacting	kunetsa
exaggerate	kunyanyisa
exaggerated	kuwedzeredza
exaggeration	kunyanyisa
exalt	exalt
exaltation	kukudzwa
exalted	exalted
exam	kuongorora
examination	kuongorora
examine	Ongorora
examiner	muongorori
example	muenzaniso
exasperated	vakatsamwa
exasperation	kutsamwa
excavate	chengeta
excavation	kufemwa
excavator	excavator
exceed	kudarika
exceeding	kudarika
excel	zvakanakisisa
excellence	excellence
excellent	rakanaka
excelsior	excelsior
excepting	kunze kwekunge
exception	zvisinei
exceptional	zvinoshamisa
excerpt	cherechedza
excess	kudarika
excessive	kunyanya
excessively	kunyanyisa
exchange	exchange
excise	excise
excision	excision
excitability	kunakidzwa
excitable	kunakidza
excitation	kunakidzwa
