Word	mn
confessional	Шүүмжлэл
confessions	хүлээн зөвшөөрөх
confetti	confetti
confidant	итгэдэг
confide	итгэх
confidence	итгэл үнэмшил
confident	итгэлтэй байна
confidential	Нууц
confidentiality	Нууцлал
confidentially	NO TRANSLATION
configuration	тохиргоо
confine	хязгаарлах
confined	хязгаарласан
confinement	хорих
confines	хязгаарлалт
confirm	батлах
confirmation	баталгаажуулалт
confirmatory	баталгаажуулалт
confirmed	батлагдсан
confiscate	хураах
confiscation	хураах
conflagration	гал авалцаж байна
conflict	зөрчилдөөн
conflicting	зөрчилдөөн
confluence	уулзалт
conform	нийцнэ
conformance	нийцэмжтэй байдал
conformation	NO TRANSLATION
conformity	тохирол
confound	залхаж байна
confounded	ичиж зовсон
confront	нүүр тулсан
confrontation	сөргөлдөөн
confuse	төөрөлдөж байна
confused	эргэлзэж байна
confusing	ойлгомжгүй байна
confusion	төөрөлдөж байна
conga	conga
congenial	сайхан сэтгэл
congenital	төрөлхийн
congestion	түгжрэл
conglomerate	конгломерат
conglomeration	конгломераци
congrats	баяр хүргэе
congratulate	баяр хүргэе
congratulation	баяр хүргэе
congratulations	баяр хүргэе
congratulatory	баяр хүргэе
congregate	цугларна
congregation	хурал
congress	конгресс
congressional	Конгресс
congressman	конгрессмен
congruence	Конгресс
conic	конус
conical	конус
conjecture	таамаглал
conjugal	нөхөр
conjugate	коньюгат
conjugation	conjugation
conjunction	Хамтарсан
conjunctive	коньюнктив
conjure	санагдана
conjuring	conjuring
conk	conk
connect	холбох
connected	холбогдсон байна
connection	холболт
connective	холбогч
connoisseur	connoisseur
conquer	эзэлж байна
conquering	ялан дийлдэг
conqueror	байлдагч
conquest	байлдан дагуулах
conscience	ухамсар
conscientious	Эрх мэдэлтэй
conscious	ухамсартай
consciousness	ухамсар
conscription	цэрэг татлага
consecrated	адислагдах болно
consecration	ариун өргөл
consecutive	дараалсан
consensual	харилцан зөвшилцөл
consensus	зөвшилцөл
consent	зөвшөөрөх
consenting	зөвшөөрөх
consequence	үр дагавар
consequent	Үүний дараа
conservation	хамгаалал
conservatism	консерватизм
conservative	консерватив
conservatory	Консерватори
conserve	хамгаалах
consider	анхаарна уу
considerable	нэлээд их
considerate	анхаарах
consideration	хэлэлцүүлэг
consignee	хүлээн авагч
consignment	бараа таваар
consist	бүрдэнэ
consistency	тогтвортой байдал
consistent	тогтвортой байна
consolation	тайтгарал
console	консол
consoled	тайвширч байна
consolidate	нэгтгэх
consolidated	нэгтгэсэн
consolidation	нэгтгэх
consonant	консорциум
consort	хувь хүн
conspicuous	харагддаг
conspiracy	хуйвалдаан
conspirator	хуйвалдагч
conspire	Хамтарсан
constable	төвөгтэй
constancy	тогтвортой байдал
constant	тогтмол
constantly	байнга
constellation	одны
consternation	айдас төрүүлж байна
constipation	өтгөн хатах
constituency	тойрог
constituent	бүрэлдэхүүн хэсэг
constituents	бүрэлдэхүүн хэсгүүд
constitute	бүрдүүлэх
constitution	Үндсэн хууль
constitutional	Үндсэн хууль
constitutionality	үндсэн хуулиар баталгаажсан байдал
constrain	хязгаарлах
constrained	хязгаарлагдмал
constraint	хязгаарлалт
construct	барих
construction	барилгын ажил
constructive	бүтээлч байна
construe	тайлбарлах
consul	консул
consulate	консулын газар
consult	зөвлөгөө аваарай
consultant	зөвлөх
consultation	зөвлөгөө өгөх
consume	хэрэглэнэ
consumer	хэрэглэгчид
consuming	хэрэглэж байна
consummate	боловсруулсан
consummation	боловсруулалт
consumption	хэрэглээ
contact	холбоо барих
contagion	халдвар авах
contagious	халдвар авах
contain	агуулж байна
container	сав
containment	хязгаарлалт
contaminate	бохирдуулдаг
contaminated	бохирдсон
contamination	бохирдол
contemplate	санаж байна
contemplation	үзэл бодол
contemplative	бясалгал хийдэг
contemporaneous	орчин үеийн
contemporary	орчин үеийн
contempt	жигшил
contemptible	бузар юм
contemptuous	Доромжлол
contend	маргаж байна
contender	өрсөлдөгч
contending	өрсөлдөж байна
content	контент
contented	сэтгэл хангалуун байна
contention	зөрчилдөөн
contentious	маргаантай
contentment	сэтгэл ханамж
contents	агуулга
contest	уралдаан
contestant	Оролцогчид
context	нөхцөл байдал
contiguous	үргэлжилнэ
continence	тогтвортой байдал
continent	тив
continental	эх газар
contingency	болзошгүй нөхцөл байдал
contingent	болзошгүй
continual	үргэлжлэл
continually	байнга
continuance	үргэлжилж байна
continuation	үргэлжлэл
continue	үргэлжлүүлнэ
continued	үргэлжлүүлэв
continuing	үргэлжлүүлэн
continuity	тасралтгүй байдал
continuous	Үргэлжилсэн
continuously	тасралтгүй үргэлжлэх болно
continuum	үргэлжлэл
contour	гадар
contraband	гаалийн байцаалт
contraception	Жирэмслэлтээс хамгаалах хэрэгсэл
contract	гэрээнд
contracted	гэрээ байгуулсан
contractile	контрактив
contracting	гэрээ байгуулах
contraction	уналт
contractor	гэрээт гүйцэтгэгч
contradict	зөрчилдөж байна
contradiction	зөрчил
contradictory	зөрчилдөж байна
contraption	Ачаалал
contrary	эсрэгээр
contrast	харьцуулалт
contrasted	ялгаатай
contravene	зөрчилдөж байна
contravention	зөрчил
contribute	хувь нэмэр оруулах
contribution	хувь нэмэр
contributor	хувь нэмэр оруулагч
contrite	гэмшсэн
contrition	завхайрал
contrived	боловсруулсан
control	хяналт
controller	хянагч
controlling	хянах
controversial	маргаантай
controversy	маргаан
contusion	зөрчил
conundrum	ээдрээтэй
convalescent	эдгэрэх
convection	конвекц
convene	хуралд
convenience	тухтай байдал
conveniences	тав тухтай байдал
convenient	тохиромжтой
convent	сүм хийд
convention	конвенц
conventional	ердийн
converge	нэгдэж байна
convergence	нэгдмэл байдал
convergent	нэгтгэсэн
conversant	ухаантай
conversation	яриа
conversational	харилцан яриа
conversationalist	conversationalist
converse	ярилцах
conversing	ярилцах
conversion	хөрвүүлэлт
convert	хөрвүүлэгч
converted	хөрвүүлэгдсэн
convertible	хөрвөх боломжтой
convex	гүдгэр
convexity	контактив
convey	дамжуулах
conveyance	тээвэрлэлт
conveyancing	дамжуулалт
convict	яллагдагч
conviction	итгэл үнэмшил
convince	итгэж байна
convinced	итгэлтэй байна
convincing	үнэмшилтэй
convocation	хурал цуглаан
convoluted	зангирсан
convolution	Батлав
convoy	консол
coo	coo
cook	тогооч
cookbook	авдар
cooker	агшаагч
cookery	хоол хийх
cookie	жигнэмэг
cookies	жигнэмэг
cooking	хоол хийх
cookout	тогооч
cool	сэрүүн байна
coolant	хөргөх
cooler	сэрүүн
cooling	хөргөх
coolness	сэрүүн байх
coon	coon
coop	coop
cooperate	хамтран ажиллах
cooperating	хамтран ажиллах
cooperation	хамтын ажиллагаа
cooperative	хамтын ажиллагаа
coordinate	зохицуулах
coordination	зохицуулалт
coordinator	зохицуулагч
cop	цагдаа
copacetic	NO TRANSLATION
cope	даван туулах
copier	Хувилагч
copilot	copilot
coping	даван туулах
copious	маш их
copper	зэс
copter	copter
copy	хуулбарлав
copycat	хуулбарлах
copying	хуулбарлах
copyright	зохиогчийн эрх
coral	шүр
coral snake	шүрэн могой
cord	утас
cordial	cordial
cordless	Cordless
cordon	cordon
corduroy	corduroy
core	үндсэн
cork	үйсэн
corkscrew	штопор
corn	эрдэнэ шиш
cornball	cornball
cornbread	cornbread
cornea	эвэрлэг
corned	corned
corner	булангийн хэсэг
cornerstone	булангийн чулуу юм
cornet	cornet
cornfield	cornfield
cornflakes	NO TRANSLATION
cornice	cornice
cornstarch	цардуул
corny	corny
corollary	үр дагавар
corona	корони
coronary	титэм
coronation	корлонжилт
coroner	Coroner
corporal	корпораци
corporate	корпораци
corporation	корпораци
corporeal	гүний худаг
corps	корпус
corpse	цогцос
corpsman	корпус
corpus	корпус
corral	коррал
correct	зөв
correction	залруулга
correctional	залруулах
corrective	залруулах
correctness	үнэн зөв байдал
correlation	харилцан хамаарал
correlative	харилцан хамааралтай
correspond	таарна
correspondence	захидал харилцаа
correspondent	корреспондент
corresponding	харгалзах
corridor	коридор
corroborate	бататгах
corroboration	батлах
corrosion	зэврэлт
corrosive	идэмхий
corrupt	авилгач
corrupting	авлигатай
corruption	авлига
corsage	corsage
corse	NO TRANSLATION
corset	corset
cortex	Cortex
cortical	cortical
cortisone	cortisone
corvette	Corvette
cosmetic	гоо сайхан
cosmetics	гоо сайхан
cosmic	cosmic
cosmology	cosmology
cosmopolitan	cosmopolitan
cosmos	cosmos
cost	зардал
costly	өртөг өндөртэй
costume	хувцасны
cosy	тухтай
cot	ор
cote	cote
cottage	зуслангийн байшин
cotton	хөвөн
couch	Суудал
cougar	cougar
cough	ханиалга
council	зөвлөл
councilman	захирал
counsel	зөвлөгөө
counseling	зөвлөгөө өгөх
counsellor	зөвлөгч
counselor	зөвлөгч
count	тоолох
countdown	Тоолуур
countenance	нүүр царай
counter	тоологч
counteract	Татгалзах
counterattack	сөргөлдөх
counterbalance	тэнцвэржүүлэх
counterclaim	сөрөг нэхэмжлэл
counterfeit	хуурамч
counterpart	талууд
counterpoint	эсрэг цэг
countess	тоологч
countless	тоо томшгүй олон
country	улс орон
countryman	улс орон
countrymusic	NO TRANSLATION
countryside	хөдөө орон нутаг
counts	тоо
county	тойрог
coup	эргэлт
coupe	купе
couple	хосууд
coupled	хосолсон
coupling	холбоо
coupon	купон
courage	эр зориг
courageous	зоригтой
courier	шуудангаар
courses	курсууд
coursing	илгээлт
court	шүүх
courteous	эелдэг найрсаг
courtesy	эелдэг
courthouse	шүүх хурал
courtroom	шүүх танхим
courts	шүүхүүд
courtship	үерхэх
courtside	хашаа
courtyard	хашаа
cousin	үеэл
cousins	үеэл
cove	cove
coven	гэрээнүүд
covenant	гэрээнүүд
cover	хамгаалах
coverage	хамрах хүрээ
covered	хамрагдсан
covering	бүрхэвч
covert	нууцлагдмал
covet	шунахай
coveted	дуртай
cow	үхэр
coward	Ачаалал
cowardice	айдас хүйдэс
cowardly	Аймшигтай
cowboy	ковбой
cowgirl	cowgirl
cowhand	cowhand
cowhide	арьс
cowl	cowl
coworker	хамтран ажиллагч
coy	coy
coyote	coyote
cozy	тухтай
crab	наймалж
crabby	crabby
crack	ан цав
cracked	хагарсан
cracker	жигнэмэг
crackerjack	crackerjack
cracking	хагарал
crackle	хагарал
crackpot	crackpot
cradle	өлгий
craft	гар урлал
crafts	гар урлал
craftsman	уран дархан
craftsmanship	гар урлал
crafty	ур чадвартай
craig	Крейг
cram	cram
crammed	crammed
cramp	cramp
cramped	давчуу байна
cranberry	цангис
cranberry juice	Цангис жимсний шүүс
crane	тогоруу
cranial	хямдрал
cranium	тогоруу
crank	бүлүүрт
cranky	үдэшлэг
cranny	cranny
crap	гэж хэлэв
crappy	Кофф
craps	craps
crash	сүйрэл
crass	crass
crate	канат
crater	тогоо
crave	дурлах
craving	хүсэл тэмүүлэл
crawfish	crawfish
crawl	мөлхөж байна
crayon	Крайон
crayons	будгийн харандаа
craze	худлаа
crazed	гэж хашгирав
craziness	золгүй явдал
crazy	галзуу
creak	хөмсөг
creaking	creaking
cream	тос
creamed	creamed
creamer	creamer
creamy	өтгөн
crease	уртасгах
create	үүсгэх
creation	бүтээл
creative	бүтээлч
creativity	бүтээлч байдал
creator	Бүтээгч
creature	амьтан
credence	итгэл үнэмшил
credential	итгэмжлэл
credentials	итгэмжлэлүүд
credibility	найдвартай байдал
credible	найдвартай
credit	кредит
credit card	зээлийн карт
creditable	зээлдэгч
credited	кредит
crediting	кредит
creditor	зээлдүүлэгч
creed	итгэл үнэмшил
creek	усан онгоц
creep	creep
creeper	хөмсөг
creeping	мөлхөж байна
creepy	creepy
cremation	чандарлах
creole	creole
crepe	crepe
crescendo	crescendo
crescent	хавирган сар
crest	crest
crestfallen	crestfallen
cretin	cretin
cretins	Кретинууд
crevice	шүүрдэх
crew	баг
crewman	crewman
crib	хүүхдийн ор
cricket	крикет
cried	гэж хашгирав
crime	гэмт хэрэг
criminal	гэмт хэрэгтэн
criminality	гэмт хэрэг
crimp	Мушгиралдсан
crimson	хүрэн улаан
cringe	зангидаж байна
cripple	гэмтсэн
crippled	тахир дутуу болсон
crippling	тахир дутуу болсон
crisis	хямрал
crisp	crisp
crispy	Үйрмэг
criterion	шалгуур үзүүлэлт
critic	шүүмжлэгч
critical	шүүмжлэлтэй
criticise	шүүмжилж байна
criticism	шүүмжлэл
criticize	шүүмжилж байна
criticized	шүүмжилж байна
critique	шүүмжлэл
critter	critter
croak	тархи
croc	croc
crock	crock
crockery	сав суулга
crocodile	матар
croft	croft
croissant	croissant
crook	шоколад
crooked	тахир
crop	газар тариалан
croquet	croquet
cross	хөндлөнгийн
cross country	хоорондын улс
crossbow	хөндлөвч
crossed	гаталсан
crossfire	хөндлөвч
crossing	гарц
crossover	кроссовер
crosswalk	хөндлөн огтлол
crossword	кроссовер
crotch	шуудай
crouch	Хөөрхий
crouched	Царайдуу
crouching	мөлхөж байна
croupier	Бүгд
crow	чөтгөр
crowbar	их биетэй
crowd	олон хүн
crowded	хөл хөдөлгөөн ихтэй
crowds	олон түмэн
crown	титэм
crowning	хамгийн агуу
crucial	чухал юм
cruciate	cruciate
crucifix	crucifix
crucifixion	цовдлолт
crucify	цовдол
crud	crud
crude	газрын тос
cruel	хэрцгий
cruelly	харгислал
cruelty	харгислал
cruise	Круз
cruise ship	аялалын хөлөг онгоц
cruiser	cruiser
cruising	Явах
crumb	үйрмэг
crumble	сүйрч байна
crumbling	нурсан
crummy	новш
crunch	дарамт
crunchy	Шаржигнуур
crusade	загалмайтны аян дайн
crusader	загалмайтны
crush	бутрах
crushed	буталсан
crusher	бутлуур
crushing	бутлах
crust	царцдас
crusty	crusty
crutch	туслагч
crux	бүлэг
cry	уйлж байна
crybaby	crybaby
crying	уйлж байна
crypt	crypt
cryptic	сигнал
cryptography	Криптограф
crystal	болор
crystalline	талст
crystallization	талстжилт
cub	cub
cubby	cubby
cube	шоо
cubic	куб
cubicle	cubicle
cuckold	Хөөрхий
cuckoo	хөхөө
cucumber	Өргөст хэмх
cuddle	цахлай
cuddled	тэврэлт
cuddles	тэврэлт
cuddling	тэврэлт
cue	Сue нь
cuff	ханцуйвч
cuisine	хоол
culinary	хоол
cull	цахлай
culminate	дээд цэгтээ хүрнэ
culmination	оргил үе
culpability	буруутгал
culpable	буруутгаж байна
culprit	гэмт хэрэгтэн
cult	шашин шүтлэг
cultivate	бясалгана
cultivated	тарьсан
cultivation	тариалалт
cultural	соёл
culture	соёл
cultured	соёлтой
culvert	усны хоолой
cumbersome	хэцүү
cumulus	cumulus
cunning	зальтай
cunt	cunt
cup	аяга
cupboard	шүүгээ
cupcake	cupcake
cupping	аяганууд
cur	Тэгэхээр
curable	эмчлэх болно
curate	курс
curative	эмчлэх
curator	куратор
curb	таслав
curd	ааруул
cure	эмчлэх
curfew	цаг хугацаа
curiosity	сониуч зан
curious	сонирхолтой
curl	curl
curling	буржгар
currency	валют
current	Одоогийн
curriculum	сургалтын хөтөлбөр
curry	карри
curse	хараал байна
cursed	хараагдсан
cursing	хараал
cursory	үйл явц
curt	хас
curtail	хасах
curtailment	хасалт хийх
curtain	хөшиг
curtains	хөшиг
curtsy	curtsy
curvature	муруйлт
curve	муруй
curved	муруй
curvilinear	мурвилинар
cushion	дэр
cushy	сайн байна
cusp	cusp
cuss	цус сорогч
cussed	хайж байна
custard	custard
custodial	Кастодиан
custodian	Кастодиан
custody	асрамжлах
custom	заншил
customary	зан заншил
customer	үйлчлүүлэгч
customized	өөрчилсөн
cut	тайрах
cutaneous	Арьс шир
cute	хөөрхөн
cuticle	таслав
cutie	cutie
cutlass	cutlass
cutlery	хутганы
cutoff	таслалт
cutter	таслагч
cutters	таслагч
cutthroat	cutthroat
cutting	хайчлах
cutting board	хайчлах самбар
cuttings	шороог
cwt	cwt
cyanide	цианид
cyberspace	кибер орон зай
cycle	мөчлөг
cyclical	мөчлөг
cyclist	дугуйчин
cyclone	циклон
cylinder	цилиндр
cylindrical	цилиндр хэлбэртэй
cymbal	цан
cynic	Синик
cynical	инээдтэй
cynicism	cynicism
cyst	цист
cystic	цистик
cytomegalovirus	cytomegalovirus
cytoplasm	цитоплазм
czar	Чарла
dab	dab
dabble	дабль
dabbling	Даблинг
dad	аав
daddy	Ааваа
dado	NO TRANSLATION
daemon	дэмон
daft	Дээш
dagger	чинжүү
daily	өдөр бүр
dainty	амттай
daiquiri	daiquiri
dairy	цагаан идээ
daisy	Daisy
dak	NO TRANSLATION
dale	Дэйл
dam	далан
damage	гэмтэл
damaged	гэмтсэн
damages	хохирол
dame	dame
damn	Новч гэж
damnation	шийтгэл
damned	яллах
damp	чийгтэй
dampened	Ус алдаж байна
damper	гоожсон
damsel	охин
dance	бүжиг
dancer	бүжигчин
dancing	бүжиглэж байна
dandruff	хаг
dandy	сайхан байна
danger	аюул
dangerous	аюултай
dangerously	аюултай
dangit	NO TRANSLATION
dangle	зангилаа
dank	NO TRANSLATION
dapper	даппер
dare	зоригтой бай
daredevil	Зорилго
daresay	daresay
daring	зоригтой байна
dark	харанхуй
darken	харанхуй болсон
darkened	харанхуй болсон
darkly	харанхуй байна
darkness	харанхуй
darkroom	харанхуй өрөө
darkside	муу тал
darling	хонгор минь
darn	darn
dart	Dart
dash	зураас
dashboard	Хянах самбар
dashed	тасалдсан
dashing	гялалзах
dastardly	Гайхамшгаарай
data	өгөгдөл
database	өгөгдлийн сан
date	огноо
datenight	NO TRANSLATION
daughter	охин
dawdle	үдэшлэг
dawn	үүр
dawned	гэж хэлэв
day	өдөр
daybreak	өдөржингөө
daycare	өдөр өнжүүлэх
daydream	өдөр мөрөөдөл
daydreaming	daydreaming
daylight	өдрийн гэрэл
daymade	NO TRANSLATION
dayoff	NO TRANSLATION
daytime	өдрийн цаг
daze	Хөөрхий
dazed	Хөөрхий
dazzle	гялалзах
dazzling	нүд гялбам
deacon	дикон
deactivate	идэвхгүй болгох
dead	үхсэн
deadbeat	үхсэн
deadline	Хугацаа
deadlines	Хугацаа
deadlock	Үхлийн түгжээ
deadly	үхэлтэй
deaf	дүлий
deafening	дүлий
deafness	дүлий
deal	гэрээ
dealer	Дилер
dealership	дилер
dealing	харилцах
dealings	үйл ажиллагаа
dean	Дан
dear	эрхэм ээ
dearest	хамгийн дуртай
dearth	өлсгөлөн
death	үхэл
deathbed	үхсэн
deathly	үхэл
debacle	гаслан
debased	буурсан
debatable	маргаантай
debate	мэтгэлцээн
debauchery	үзэн ядалт
debenture	debenture
debilitating	сулруулж байна
debit	дебит
debrief	тайлбарлах
debriefing	санал асуулга
debris	хог хаягдал
debt	өр
debtor	зээлдэгч
debut	дебют
debutante	дебют хийлээ
decade	арван жил
decadence	уналт
decadent	бууралт
decaf	decaf
decanter	decanter
decathlon	decathlon
decay	задрал
decayed	муудсан
decaying	ялзарч байна
deceased	нас барсан
decedent	дипломат
deceit	хууран мэхлэх
deceitful	заль мэх
deceive	хууран мэхлэх
deceived	хууран мэхэлсэн
deceiving	хууран мэхлэх
december	Арванхоёрдугаар сар
decency	сэтгэлийн хямрал
decent	зохистой
deception	хууран мэхлэлт
deceptive	хууран мэхлэлт
decide	шийдвэр гаргах
decidedly	мэдээжийн хэрэг
deciduous	навчит
decimal	аравтын
decimeter	нягтрал
decipher	decipher байна
decision	шийдвэр гаргах
decisive	шийдвэртэй
deck	давцан
declaration	мэдэгдэл
declaratory	тунхаглал
declare	зарлах
declination	бууралт
decline	бууралт
declining	буурч байна
deco	deco
decode	декод
decoder	декодер
decompose	задрах
decomposed	decomposed
decomposition	ялзрал
decompress	Даралт бууруулах
decompression	Багасгах
decontamination	ариутгах
decor	чимэглэл
decorate	засах
decorating	гоёл чимэглэл
decoration	чимэглэл
decorative	чимэглэлийн
decorator	чимэглэл
decorum	Сэтгэл санаа
decoy	мөлхөж байна
decrease	бууралт
decreased	буурсан байна
decreasing	буурч байна
decree	тогтоол
decrement	бууралт
decrepit	сааралт
decry	decry
decryption	шифрлэх
dedicate	онцгойлон адислах
dedication	онцгойлон адислах
deduce	дүгнэлт
deduct	суутгах
deductible	хасагдах
deduction	хасалт
deed	үйл ажиллагаа
deejay	deejay
deem	гэж үздэг
deep	гүнзгий
deepen	гүнзгийрч байна
deer	буга
defamation	гүтгэлэг
defamatory	гүтгэлэг
default	Анхдагч байна
defeat	ялагдал
defeated	ялагдсан
defeatist	ялагдал
defect	гэмтэл
defection	Алдагдал
defective	гэмтэлтэй
defector	defector
defend	Хамгаалах
defendant	шүүгдэгч
defended	хамгаалсан
defender	хамгаалагч
defending	Хамгаалах
defense	Батлан ​​хамгаалах
defenseless	хамгаалалтгүй
defensible	хамгаалагдсан
defensive	хамгаалалт
defer	хойшлуулах
deference	ялгаварлан гадуурхах
deferral	хойшлуулах
deferring	хойшлуулах
defiance	зөрчил
defiant	эсэргүүцэлтэй
defibrillator	дефибриллятор
deficiency	дутагдал
deficient	дутагдалтай байна
deficit	алдагдал
define	тодорхойлох
defined	тодорхойлсон
definite	тодорхой байна
definition	тодорхойлолт
definitive	Тодорхойлолт
deflate	хагарах
deflation	дефляци
deflect	алга болсон
deflection	хазайлт
defloration	устгах
deform	гажигтай
deformed	гажигтай
deformity	деформаци
defraud	хууран мэхлэх
defray	төлбөр төлөх
defrost	гэсгээх
deft	Ачаалал
defunct	тасалдсан
defuse	намжаах
defy	эсэргүүцэж байна
degeneracy	доройтол
degenerate	доройтсон
degeneration	доройтол
degradation	доройтол
degrade	доройтсон
degraded	доройтсон
degrading	доройтсон
degree	зэрэг
dehydrated	Хуурайшсан
dehydration	Шингэн алдалт
dejected	догдолсон
delay	хойшлуулсан
delayed	хойшлогдсон
delectable	амттай
delegate	төлөөлөгч
delegation	төлөөлөгчид
delete	устгах
deleterious	хор хөнөөлтэй
deletion	устгалт
deli	Deli
deliberate	Зорилго
deliberation	хэлэлцүүлэг
deliberative	хэлэлцүүлэг хийх
delicacy	сайхан мэдрэмж
delicate	нарийхан
delicatessen	амттан
delicious	амттай
delight	баяртай байна
delighted	баяртай байна
delightful	сайхан байна
delineate	тайлбарлана уу
delineation	тэмдэглэгээ
delinquency	золгүй явдал
delinquent	буруутай
delirious	харамсалтай
delirium	дэмийрэл
deliver	хүргэх
deliverance	чөлөөлөлт
delivery	хүргэх
dell	dell
delta	Дельта
delude	дэмий юм
deluge	хор уршиг
delusion	хууран мэхлэлт
delusional	хуурмаг
deluxe	люкс
delve	Дурдсан байна
demand	эрэлт хэрэгцээ
demanding	шаарддаг
demeaned	үгүйсгэсэн
demeaning	ядуу зүдүү байдал
demeanor	зан байдал
demented	дэмийрсэн
dementia	dementia
demise	өвлүүлэх
demo	Демо
democracy	ардчилал
democrat	ардчилагч
democratic	ардчилсан
demographic	хүн ам зүйн
demolish	буулгах
demolished	нураах
demolition	нураах
demon	чөтгөр
demonic	чөтгөр
demonstrable	харуулах боломжтой
demonstrate	үзүүлэх
demonstrated	харуулсан
demonstrating	үзүүлэх
demonstration	жагсаал
demonstrative	үзүүлэнт
demonstrator	жагсагч
demoralized	эмзэглэл
demos	Демо
demure	эмч нар
den	NO TRANSLATION
deniability	дүйцэхүй
denial	үгүйсгэл
denied	татгалзсан
denim	denim
denomination	нэрлэсэн
denominational	нэр томъёо
denominator	хуваарилагч
denote	гэж тэмдэглэв
denounce	буруутгаж байна
dense	нягт
density	нягтрал
dent	хонхорхой
dental	шүдний
dentist	шүдний эмч
dentistry	шүдний эмчилгээ
dentists	шүдний эмч нар
denunciation	цуцалсан тухай
deny	үгүйсгэх
denying	үгүйсгэх
deodorant	deodorant
depart	яв
departed	явлаа
department	хэлтэс
departmental	хэлтэс
departure	Явах
depend	хамаарна
dependable	найдвартай
dependant	хамааралтай
dependence	Хараат бус байдал
dependency	хамаарал
dependent	хамааралтай
depict	дүрслэх
depicting	зураглал
depletion	хомсдол
deplorable	гашуун зовлонтой
deplore	гаслан
deploy	байршуулах
deployment	байршуулалт
deport	Депро
deportation	албадан гаргах
depose	хасна
deposit	хадгаламж
depositary	хадгалагч
deposition	Хадгалалт
depository	хадгаламж
depot	Депот
depraved	доройтсон
depravity	доройтол
depreciate	элэгдүүлэх
depreciated	элэгдүүлсэн
depreciation	элэгдэл
depress	сэтгэл гутрал
depressed	сэтгэлээр унасан
depressing	сэтгэлээр унасан
depression	сэтгэл гутрал
depressive	сэтгэл гутрал
depresson	NO TRANSLATION
deprivation	дутагдал
deprive	хасах
deprived	дутагдал
depth	гүн
deputy	орлогч дарга
derail	derail
deranged	доогуур нь
derelict	татгалзсан
derision	гомдлоо
derivation	үүссэн
derivative	дериватив
derive	Дуусах
dermal	арьс
dermatologist	арьсны эмч
dermatology	Арьс судлал
derogation	татан авалт
derogatory	доройтсон
descend	буурч байна
descendant	үр удам
descendent	NO TRANSLATION
descending	бууралт
descent	удамшил
describe	тайлбарлах
description	тайлбар
descriptive	Дүрсэлсэн
desecrate	ялзрах
desecration	гутаан доромжилдог
desert	цөл
deserted	зэлүүд газар
deserter	деерер
desertion	цөлжилт
deserve	зохистой
deserved	зохистой
deserving	зохистой
design	дизайн
designate	томилох
designated	тодорхойлсон
designation	нэр томъёо
designed	боловсруулсан
designer	дизайнер
designing	дизайн хийх
desirability	хүсэл сонирхол
desirable	хүсч байна
desire	хүсэл
desiring	хүсч байна
desirous	хүсч байна
desist	татгалзсан
desk	ширээ
desolate	зэлүүд газар
desolation	хоосрол
despair	цөхрөл
despairing	цөхрөл
despatch	илгээх
desperado	desperado
desperate	цөхрөлтэй
desperation	цөхрөл
despicable	жигшмээр юм
despise	үзэн ядалт
despondent	хөгжилтэй
despotic	харгислал
despotism	despotism
dessert	амттан
destination	очих газар
destined	Зорилго
destiny	хувь тавилан
destitute	ядуучууд
destroy	устгах
destroyed	устгагдсан
destroyer	устгагч
destroying	устгах
destruct	устгах
destruction	устгал
destructive	хор хөнөөлтэй
detach	салгах
detached	тусдаа
detachment	хорих газар
detail	дэлгэрэнгүй
detailed	дэлгэрэнгүй
details	дэлгэрэнгүй мэдээлэл
detain	баривчлах
detainee	хоригдол
detect	илрүүлэх
detectable	илэрсэн
detection	илрүүлэх
detective	мөрдөгч
detector	детектор
detention	хорих газар
deter	саатуулах
detergent	угаалгын нунтаг
deteriorate	муудаж байна
deteriorated	муудсан
deteriorating	муудаж байна
deterioration	муудах
determinable	тодорхойлогддог
determinate	тодорхойлогдоно
determination	шийдвэр гаргах
determine	тодорхойлох
determined	тодорхойлсон
deterrent	хориглогч
detest	хорлон сүйтгэх
detestation	доромжлол
detonate	Тэсрэлт
detonation	тэсрэх бодис
detonator	Detonator
detour	замаас гаргах
detract	буурч байна
detriment	хор уршиг
detrimental	хортой
detritus	detritus
deuce	deuce
deutschmark	deutschmark
devalued	ханшийн бууралт
devastate	сүйрэх
devastated	сүйрсэн
devastating	сүйрэх
devastation	сүйрэл
develop	хөгжүүлэх
developer	хөгжүүлэгчид
developing	хөгжүүлэх
development	хөгжүүлэлт
deviant	харамсалтай
deviate	хазайлт
deviating	хазайлт
deviation	хазайлт
device	төхөөрөмж
devil	чөтгөр
deviled	чөтгөр
devilish	чөтгөр
devious	залхуу
devise	зохиох
devoid	байхгүй байна
devolution	хувьсгал
devolve	шилжих
devote	чин бишрэлтэн
devoted	чин бишрэлтэй
devotee	чин бишрэлтэн
devotion	чин бишрэлийн үйлчлэл зүтгэл
devotional	чин бишрэлийн үйлчлэл зүтгэл
devour	залгих
devout	сүсэг бишрэлтэй
dew	шүүдэр
dexter	dexter
dexterity	ур чадвар
dextrose	dextrose
diabetes	чихрийн шижин
diabetic	чихрийн шижин
diabolical	бүдүүлэг юм
diagnose	оношлох
diagnosis	оношлогоо
diagnostic	оношлогоо
diagnostics	оношлогоо
diagonal	диагональ
diagram	диаграмм
dial	залгах
dialect	диалек
dialectic	диалектик
dialogue	яриа
dialysis	Диализ
diameter	диаметр
diamond	алмаз
