Word	et
chuck	kruvi
chuckle	naerma
chug	kärpima
chum	kummitus
chummy	kummitaja
chump	kukk
chunk	rüht
chunky	räpane
church	kirik
churchyard	kirikuaias
churn	ajutine
chute	luuk
chutney	chutney
ciao	ciao
cider	siider
cigar	sigari
cigarette	sigaret
cilantro	cilantro
cinch	süüa
cinder	söökla
cinema	kino
cinematic	Kinemaat
cinematographer	operaator
cinematography	kinematograafia
cinnamon	kaneel
cipher	šifer
circle	ring
circling	ringlev
circuit	ringlus
circuitry	lülitused
circular	ümmargune
circulate	ringlema
circulation	ringlusse
circulatory	vereringe
circumcision	ümberlõikamine
circumference	ümbermõõt
circumferential	ümberringi
circumscribed	piiratud
circumstance	asjaolu
circumstances	asjaolud
circumstantial	kaudne
circumvent	kõrvale
circumvention	kõrvalehoidmine
circus	tsirkus
cirque	cirque
cirrhosis	tsirroos
cirrus	tsirrus
cistern	tsistern
citadel	tsitadel
citation	tsitaat
cite	tsiteerige
citizen	kodanik
citizenship	kodakondsus
citrine	tsitriin
citrus	tsitrusviljad
city	linn
citywide	üle kogu maailma
civic	kodanik
civics	kodanikuõpetus
civil	tsiviilõigus
civilian	tsiviilisik
civilians	tsiviilisikud
civility	viisakus
civilization	tsivilisatsioon
civilized	tsiviliseeritud
clad	plakeeritud
claim	nõue
claimant	hageja
clairvoyant	selgeltnägijaga
clam	clam
clambake	kukk
clammy	vahustatud
clamor	klamma
clamp	klamber
clan	klann
clandestine	salajane
clang	klang
clap	plaksutama
clapper	klapper
clapping	klapimine
clarification	selgitus
clarify	selgitage
clarinet	klarnet
clarion	clarion
clarity	selgus
clash	kokkupõrge
clashing	kokkutõmbumine
clasp	kinnine
class	klassis
classic	klassikaline
classic rock	klassikaline rock
classical	klassikaline
classics	klassika
classification	klassifikatsioon
classified	salastatud
classify	liigitada
classmate	klassikaaslane
classroom	klassiruumis
classy	stiilne
clatter	klammerdama
clause	klausel
clauses	klausleid
claustrophobia	klaustrofoobia
claustrophobic	klaustrofoobne
clavicle	klavikeel
claw	küünis
claws	küünised
clay	savi
clean	puhas
cleaner	puhastaja
cleaning	puhastamine
cleanliness	puhtus
cleanly	puhas
cleanse	puhastada
cleanser	puhastaja
cleansing	puhastamine
cleanup	korista ära
clear	selge
clearance	kliirens
clearing	puhastamine
clearness	selgus
cleat	klapp
cleavage	lõhustamine
cleave	lagunema
cleaver	NO TRANSLATION
clef	klahv
cleft	lõhe
clemency	armastus
clench	kleepima
clergy	vaimulikkond
clergyman	vaimulik
cleric	vaimulik
clerical	vaimulik
clerk	sekretär
clerkship	ametnikud
clever	tark
cleverness	tarkus
click	kliki
clicker	klikija
client	klient
clientele	klientuur
cliff	kalju
climate	kliima
climatology	kliimatoloogia
climax	kulminatsioon
climb	ronida
climber	ronija
clinch	klinnida
cling	kinni pidama
clingy	kleepuv
clinic	kliinikus
clinical	kliiniline
clink	klammerdama
clip	klipp
clipboard	lõikepuhvrisse
clipper	lõikur
clipping	lõikamine
clique	NO TRANSLATION
clitoris	kliitor
cloak	varjatud
cloaking	varjamine
cloakroom	garderoob
clobber	clobber
clock	kell
clockwork	kella töö
clod	klod
clog	ummistama
cloister	klooster
clone	kloon
cloning	kloonimine
close	Sulge
closed	suletud
closeness	lähedus
closet	kapp
closure	sulgemine
clot	hüübima
cloth	riie
clothe	riietes
clothes	riided
clothesline	riiete rihm
clothing	Riietus
cloud	pilv
clouded	pilvine
cloudiness	pilvisus
clouds	pilved
cloudy	pilves ilm
clout	mõjutama
clove	nelk
clover	ristik
cloves	nelk
clown	kloun
clowns	klounid
club	klubi
clubhouse	klubihoone
clubs	klubid
cluck	rihvel
clue	vihje
clueless	ilmselgelt
clump	klomp
clumsy	kohmakas
clunk	jama
cluster	klastri
clutch	sidur
clutches	sidurid
clutter	segadusega
coach	treener
coachman	vagun
coagulation	koagulatsioon
coal	kivisüsi
coalesce	ühinevad
coalition	koalitsioon
coarse	jäme
coast	rannikul
coastal	rannikuäärne
coaster	rannasõidulaev
coastline	rannajoon
coat	mantlid
coating	kate
coax	kummardama
cobalt	koobalt
cobble	munakivi
cobbler	kuller
cobra	koobra
cocaine	kokaiin
cock	kukk
cockamamie	cockamamie
cockeyed	kooki
cockpit	kokpit
cockroach	prussakas
cocksucker	cocksucker
cocktail	kokteil
cocky	upsakas
cocoa	kakao
coconut	kookospähkel
cocoon	kookon
cod	tursk
code	kood
codeine	kodeiin
codex	koodeks
codfish	tursk
codification	kodifitseerimine
codify	kodifitseerida
coding	kodeerimine
coed	koed
coefficient	koefitsient
coerce	sunnitud
coercion	sundimine
coercive	sunniviisiline
coexist	kooseksisteerimine
coexistence	kooseksisteerimine
coexisting	kooseksisteerimine
coffee	kohvi
coffee table	kohvilaud
coffeehouse	kohvik
coffeepot	kohvikann
coffin	kirst
cog	hammas
cogent	veenev
cognac	konjak
cognate	sugulane
cognition	tunnetus
cognitive	kognitiivne
cohabitation	kooselu
coherence	sidusus
coherent	sidus
cohesion	ühtekuuluvus
cohesive	ühtekuuluvus
cohort	kohordi
coil	spiraal
coiled	rullis
coin	münt
coinage	mündid
coincide	langeb kokku
coincidence	kokkusattumus
coincident	kokkulangevus
coincidental	juhuslik
coinciding	langeb kokku
coke	koks
cola	Cola
cold	külm
coldly	külmalt
coldness	külm
coldsweat	NO TRANSLATION
coleslaw	Coleslaw
colic	koolikud
coliseum	Coliseum
collaborate	tee koostööd
collaboration	koostöö
collaborator	koostööpartner
collage	kollaaž
collagen	kollageen
collapse	kollaps
collar	krae
collarbone	ristluu
collate	võrdlema
collateral	tagatis
collation	võrdlemine
colleague	kolleeg
collect	koguma
collected	tasakaalukas
collection	kollektsioon
collective	kollektiivne
collectively	ühiselt
collector	koguja
college	kolledž
collegiate	kollegiaalne
collide	põrge
collie	Kollie
collision	kokkupõrge
collocation	kollokatsioon
colloquial	kõnekeelne
collusion	kokkumängu
cologne	Köln
colon	jämesooles
colonel	kolonel
colonial	koloniaal
colonic	jämesoole
colonoscopy	kolonoskoopia
colony	koloonia
colophon	kolofon
color	värv
coloration	värvus
colored	värviline
colorful	värviline
coloring	värvimine
colorless	värvitu
colors	värvid
colossal	kolossaalne
colt	kolt
columbine	kolumbine
column	veerg
columnar	kolonne
columnist	kolumnist
com	NO TRANSLATION
coma	kooma
comatose	koomaasi
comb	kamm
combat	võidelda
combatant	võitleja
combative	võitlusvõime
combination	kombinatsioon
combinatorial	kombinaator
combine	ühendada
combined	kombineeritud
combo	Combo
combustible	põlev
combustion	põlemine
come	tule
comeback	tule tagasi
comedian	koomik
comedy	komöödia
comet	komet
comfort	mugavus
comfortable	mugav
comforter	föön
comforting	lohutav
comfy	mugav
comic	koomiline
comical	koomiline
comics	koomiksid
coming	tulemas
comma	koma
command	käsk
commandant	komandant
commandeer	ülem
commander	ülem
commanding	käskis
commandment	käsk
commando	komando
commemorate	mälestama
commemoration	mälestamine
commemorative	mälestusmärk
commence	alustada
commend	kiiduväärt
commendable	kiiduväärt
commendation	kiiduväärt
commensurate	vastav
comment	kommenteerida
commentary	kommentaar
commentator	kommentaator
commerce	kaubandus
commercial	kaubanduslik
commie	käsk
commissary	komissar
commission	komisjonitasu
commissioner	volinik
commit	pühenduma
commitment	kohustus
committal	kohtlemine
committed	toime pandud
committee	Komisjon
commodity	kaup
commodore	Commodore
common	tavaline
commoner	tavaline
commonly	tavaliselt
commonplace	tavaline
commons	tavaline
commonwealth	vabariik
commotion	muret
communal	ühiskondlik
commune	omavalitsusüksus
communicable	nakkuslik
communicate	suhelda
communication	suhtlemine
communicative	kommunikatiivne
communicator	kommunikaator
communion	osadus
communism	kommunism
communist	kommunistlik
community	kogukond
commutation	kommutatsioon
commutative	kommutatiivne
commute	minna edasi
commuter	kommutaator
comp	komp
compact	kompaktne
compaction	tihendamine
compactness	kompaktsus
companion	kaaslane
companionless	kaaslasega
companionship	kaaslaseks
company	ettevõte
comparable	võrreldav
comparative	võrdlev
comparatively	võrdlevalt
compare	võrdlema
comparison	võrdlus
compartment	sektsioon
compass	kompass
compassion	kaastunne
compassionate	kaastundlik
compatibility	ühilduvus
compatible	ühilduv
compel	sundima
compelled	sunnitud
compelling	kaalukad
compendium	kogumik
compensate	kompenseerima
compensation	hüvitis
compensatory	kompenseeriv
compete	konkureerima
competence	pädevus
competency	pädevus
competent	kompetentne
competition	konkurentsi
competitive	konkurentsivõimeline
competitor	konkurent
compilation	koostamine
compile	kompileerima
complacency	rahulolu
complacent	enesekindel
complain	kaebama, kurtma
complaint	kaebus
complement	täiendus
complementary	täiendav
complete	täielik
completed	lõpetatud
completely	täielikult
completeness	terviklikkus
completing	lõpetades
completion	lõpuleviimine
complex	keeruline
complexed	kompleksne
complexion	jume
complexity	keerukus
compliance	vastavus
compliant	nõuetele vastav
complicate	keerukamaks
complicated	keeruline
complication	komplikatsioon
complicity	kaasosalus
compliment	NO TRANSLATION
complimentary	tasuta
comply	järgima
complying	vastav
compo	kompo
component	komponent
compose	koostada
composed	koosnev
composer	helilooja
composite	komposiit
composition	koostis
compost	komposti
composure	rahulikkus
compound	ühend
comprehend	mõista
comprehension	arusaamine
comprehensive	terviklik
compress	tihendama
compressed	tihendatud
compressible	kokkusurutav
compression	tihendus
compressor	kompressor
comprise	sisaldama
compromise	kompromiss
comptroller	kontroller
compulsion	sunniviisiline
compulsive	kompulsiivne
compulsory	kohustuslik
computable	arvutatav
computation	arvutamine
compute	arvuta
computer	arvuti
computerized	arvutipõhine
computing	arvutamine
comrade	sőber
con	NO TRANSLATION
concatenation	ühendamine
concave	nõgus
conceal	varjata
concealed	varjatud
concealment	varjamine
concede	tunnustama
conceit	kõhtu
conceited	tahtlik
conceivable	mõeldav
conceive	ette kujutada
concentrate	keskenduda
concentration	kontsentratsioon
concentric	kontsentriline
concept	kontseptsioon
conception	kontseptsioon
concern	muret
concerned	asjaomane
concert	kontsert
concerto	kontsert
concession	kontsessioon
concessional	soodustav
conch	kook
concierge	concierge
conciliation	lepitusmenetlus
concise	lühike
conclave	conclave
conclude	lõpetama
concluding	sõlmimine
conclusion	järeldus
conclusive	veenev
concoction	koostisega
concomitant	samaaegne
concord	nõusolek
concordance	kooskõla
concours	NO TRANSLATION
concourse	kokkutulek
concrete	betoon
concubine	koobibiin
concur	nõustuma
concurrence	nõusolek
concurrent	samaaegne
concurring	kooskõlastamine
concussion	põrutus
condemn	mõista hukka
condemnation	hukkamõistu
condensation	kondenseerumine
condensed	kondenseerunud
condescending	haletsusväärne
condescension	põlgus
condiment	maitsetaim
condition	seisund
conditional	tingimuslik
conditionally	tingimuslikult
conditioned	konditsioneeritud
conditioner	konditsioneer
conditioning	konditsioneerimine
conditions	tingimused
condo	kondo
condolence	kaastunne
condolences	kaastunne
condom	kondoom
condone	ennustan
condor	condor
conducive	soodustav
conduct	käitumine
conduction	juhtimine
conductivity	juhtivus
conductor	dirigent
conduit	kanal
cone	koonus
confederacy	konfederatsioon
confederate	konfederatsioon
confederation	konföderatsioon
confer	andma
conference	konverents
confess	tunnistama
confession	ülestunnistus
confessional	usutunnistus
confessions	ülestunnistused
confetti	konfetti
confidant	usaldaja
confide	usaldusväärne
confidence	usaldust
confident	kindel
confidential	konfidentsiaalne
confidentiality	konfidentsiaalsus
confidentially	NO TRANSLATION
configuration	konfiguratsioon
confine	piirata
confined	piiratud
confinement	sünnitust
confines	piirdub
confirm	kinnitage
confirmation	kinnitamine
confirmatory	kinnitav
confirmed	kinnitatud
confiscate	konfiskeerima
confiscation	konfiskeerimine
conflagration	tulekahju
conflict	konflikt
conflicting	vastuoluline
confluence	kokkulangevus
conform	vastama
conformance	vastavus
conformation	NO TRANSLATION
conformity	vastavus
confound	segane
confounded	segane
confront	vastu seisma
confrontation	vastasseis
confuse	segane
confused	segaduses
confusing	segane
confusion	segadus
conga	conga
congenial	meeldiv
congenital	kaasasündinud
congestion	ummikud
conglomerate	konglomeraat
conglomeration	konglomeraat
congrats	õnne
congratulate	õnnitleme
congratulation	õnnitlused
congratulations	õnnitlused
congratulatory	õnnitlused
congregate	kogunevad
congregation	kogudus
congress	kongress
congressional	Kongressi liige
congressman	Kongressi liige
congruence	kongruentsus
conic	kooniline
conical	kooniline
conjecture	oletus
conjugal	abielus
conjugate	konjugaat
conjugation	konjugatsioon
conjunction	ühendamine
conjunctive	ühine
conjure	kutsuma
conjuring	kaasasündinud
conk	kook
connect	ühendage
connected	ühendatud
connection	ühendus
connective	sidemega
connoisseur	teadlane
conquer	vallutada
conquering	vallutamine
conqueror	vallutaja
conquest	vallutus
conscience	südametunnistus
conscientious	kohusetundlik
conscious	teadlik
consciousness	teadvus
conscription	sõjaväeteenistus
consecrated	pühitsetud
consecration	pühitsemine
consecutive	järjestikune
consensual	konsensuslik
consensus	konsensus
consent	nõusolek
consenting	nõus
consequence	tagajärg
consequent	sellest tulenevalt
conservation	kaitse
conservatism	konservatiivsus
conservative	konservatiivne
conservatory	konservatoorium
conserve	säilitada
consider	kaaluge
considerable	märkimisväärne
considerate	tähelepanelik
consideration	kaalutlus
consignee	saaja
consignment	partii, kaubasaadetis
consist	koosnevad
consistency	järjepidevus
consistent	järjepidev
consolation	õndsus
console	konsool
consoled	veetnud
consolidate	konsolideerida
consolidated	konsolideeritud
consolidation	konsolideerimine
consonant	konsonant
consort	konsortsium
conspicuous	silmatorkav
conspiracy	vandenõu
conspirator	võlur
conspire	salli
constable	konstaabel
constancy	püsivus
constant	konstantne
constantly	pidevalt
constellation	tähtkuju
consternation	ärevus
constipation	kõhukinnisus
constituency	valimisringkond
constituent	koostisosa
constituents	koostisosad
constitute	moodustavad
constitution	põhiseadus
constitutional	põhiseaduslik
constitutionality	põhiseaduspärasus
constrain	piirata
constrained	piiratud
constraint	piirang
construct	ehitada
construction	Ehitus
constructive	konstruktiivne
construe	tõlgendama
consul	konsul
consulate	konsulaat
consult	konsulteerige
consultant	konsultant
consultation	konsultatsioon
consume	tarbida
consumer	tarbija
consuming	tarbib
consummate	täiuslik
consummation	lõpuleviimine
consumption	tarbimine
contact	kontakt
contagion	nakkus
contagious	nakkav
contain	sisaldama
container	konteiner
containment	isoleerimine
contaminate	saasta
contaminated	saastunud
contamination	saastumine
contemplate	kaaluge
contemplation	mõtlemine
contemplative	mõtlev
contemporaneous	samaaegne
contemporary	kaasaegne
contempt	põlgus
contemptible	põlastusväärne
contemptuous	põlastusväärne
contend	võitlema
contender	kandidaat
contending	vaidlustades
content	sisu
contented	rahulolematu
contention	väide
contentious	vaieldav
contentment	rahulolu
contents	sisu
contest	võistlus
contestant	võistleja
context	Sisu
contiguous	külgnevaks
continence	kontinents
continent	mandril
continental	kontinentaalne
contingency	erakorraline olukord
contingent	tingimuslik
continual	pidev
continually	pidevalt
continuance	jätkumine
continuation	jätkamine
continue	jätkake
continued	jätkus
continuing	jätkub
continuity	järjepidevus
continuous	pidev
continuously	pidevalt
continuum	pidev
contour	kontuur
contraband	salakaubavedu
contraception	kontratseptsioon
contract	leping
contracted	lepinguline
contractile	kontraktiilne
contracting	lepingute sõlmimine
contraction	kokkutõmbumine
contractor	töövõtja
contradict	vastuoluline
contradiction	vastuolu
contradictory	vastuoluline
contraption	riietus
contrary	vastupidi
contrast	kontrast
contrasted	vastandatud
contravene	on vastuolus
contravention	rikkumine
contribute	aitama kaasa
contribution	panus
contributor	panustaja
contrite	contrite
contrition	hüpoteek
contrived	väljamõeldud
control	kontroll
controller	kontroller
controlling	kontrolli all
controversial	vastuoluline
controversy	vastuolud
contusion	kontusioon
conundrum	kummitus
convalescent	taastav haigus
convection	konvektsioon
convene	kokku kutsuda
convenience	mugavus
conveniences	mugavused
convenient	mugav
convent	klooster
convention	konventsioon
conventional	tavaline
converge	lähenema
convergence	lähenemine
convergent	konvergentne
conversant	teadlik
conversation	vestlus
conversational	jututuba
conversationalist	vestlane
converse	vestelda
conversing	vestelda
conversion	konverteerimine
convert	teisendada
converted	teisendatud
convertible	konverteeritav
convex	kumer
convexity	kumerus
convey	edastada
conveyance	üleandmine
conveyancing	üleandmine
convict	süüdimõistetu
conviction	süüdimõistmine
convince	veenda
convinced	veendunud
convincing	veenev
convocation	kokkukutsumine
convoluted	keerdvustatud
convolution	konvolutsioon
convoy	konvoi
coo	koo
cook	küpseta
cookbook	kokaraamat
cooker	pliit
cookery	kokandus
cookie	küpsis
cookies	küpsised
cooking	toiduvalmistamine
cookout	küpsetamine
cool	lahe
coolant	jahutusvedelik
cooler	lahedam
cooling	jahutamine
coolness	jahedus
coon	kuningas
coop	kook
cooperate	teevad koostööd
cooperating	koostööd teinud
cooperation	koostöö
cooperative	ühistu
coordinate	koordineerima
coordination	koordineerimine
coordinator	koordinaator
cop	politseinik
copacetic	NO TRANSLATION
cope	toime tulla
copier	koopiamasin
copilot	kopiloend
coping	toimetulek
copious	palju
copper	vask
copter	kopter
copy	koopia
copycat	kopeerima
copying	kopeerimine
copyright	autoriõigus
coral	korall
coral snake	korallmaja
cord	juhe
cordial	südamlik
cordless	juhtmeta
cordon	Cordon
corduroy	pesusamet
core	tuum
cork	kork
corkscrew	korgitser
corn	maisi
cornball	cornball
cornbread	cornbread
cornea	sarvkesta
corned	corned
corner	nurk
cornerstone	nurgakivi
cornet	cornet
cornfield	maisiväljak
cornflakes	NO TRANSLATION
cornice	karniis
cornstarch	maisitärklis
corny	kortsukas
corollary	tagajärg
corona	koronaator
coronary	koronaarne
coronation	kroonimine
coroner	koroner
corporal	kehaline
corporate	korporatiivne
corporation	korporatsioon
corporeal	kehaline
corps	korpus
corpse	surnukeha
corpsman	Korpsman
corpus	korpus
corral	corral
correct	korrektne
correction	parandus
correctional	paranduslik
corrective	korrigeeriv
correctness	õigsus
correlation	korrelatsioon
correlative	korrelatiivne
correspond	vastama
correspondence	kirjavahetus
correspondent	korrespondent
corresponding	vastav
corridor	koridor
corroborate	kinnitama
corroboration	kinnitus
corrosion	korrosioon
corrosive	söövitav
corrupt	korrumpeerunud
corrupting	purustades
corruption	korruptsioon
corsage	korsage
corse	NO TRANSLATION
corset	korseti
cortex	ajukoor
cortical	kortikaalne
cortisone	kortisoon
corvette	korvette
cosmetic	kosmeetika
cosmetics	kosmeetika
cosmic	kosmiline
cosmology	kosmoloogia
cosmopolitan	kosmopoliitne
cosmos	kosmos
cost	maksumus
costly	kulukas
costume	kostüüm
cosy	hubane
cot	lastevoodi
cote	cote
cottage	suvila
cotton	puuvill
couch	diivan
cougar	kumm
cough	köha
council	volikogu
councilman	volikoguja
counsel	kaitsja
counseling	nõustamine
counsellor	nõustaja
counselor	nõustaja
count	loota
countdown	tagasimakse aeg
countenance	nägu
counter	counter
counteract	neutraliseerima
counterattack	vasturünnak
counterbalance	tasakaalu saavutamine
counterclaim	vastuhagi
counterfeit	võltsitud
counterpart	vastaspool
counterpoint	kontrapunkt
countess	lugejat
countless	lugematu
country	riik
countryman	maaomanik
countrymusic	NO TRANSLATION
countryside	maal
counts	loeb
county	maakond
coup	riigipöörde
coupe	kupee
couple	paar
coupled	ühendatud
coupling	sidestamine
coupon	kupong
courage	julgust
courageous	julge
courier	kuller
courses	kursused
coursing	juhendamine
court	kohus
courteous	viisakalt
courtesy	viisakus
courthouse	kohtumaja
courtroom	kohtusaal
courts	kohtud
courtship	hoolitsus
courtside	kohtud
courtyard	hoovis
cousin	nõbu
cousins	nõod
cove	jõgi
coven	coven
covenant	leping
cover	katta
coverage	katvus
covered	kaetud
covering	kattes
covert	varjatud
covet	kallis
coveted	kadedus
cow	lehm
coward	argpüks
cowardice	paksus
cowardly	arglikult
cowboy	kauboi
cowgirl	cowgirl
cowhand	lehm
cowhide	lehmakas
cowl	kapott
coworker	kolleeg
coy	kullake
coyote	koiott
cozy	hubane
crab	krabi
crabby	crabby
crack	crack
cracked	krakitud
cracker	krakkimine
crackerjack	crackerjack
cracking	krakkimine
crackle	raputama
crackpot	raputama
cradle	häll
craft	käsitöö
crafts	käsitöö
craftsman	käsitööline
craftsmanship	viimistletud
crafty	lollakas
craig	Craig
cram	cram
crammed	täidetud
cramp	kramp
cramped	kitsas
cranberry	jõhvikas
cranberry juice	jõhvikamahl
crane	kraana
cranial	kraniaalne
cranium	kuklakivi
crank	vänt
cranky	võluv
cranny	värav
crap	jama
crappy	jama
craps	craps
crash	krahh
crass	kallis
crate	kast
crater	kraater
crave	ihkama
craving	iha
crawfish	langetama
crawl	indekseerima
crayon	värvipliiats
crayons	värvipliiatsid
craze	hullusega
crazed	hulluks
craziness	hullumeelsus
crazy	hull
creak	naerma
creaking	kriipsutades
cream	kreem
creamed	kreemjas
creamer	Creamer
creamy	kreemjas
crease	kortsus
create	loo
creation	loomine
creative	loominguline
creativity	loovus
creator	looja
creature	olend
credence	usaldusväärsus
credential	mandaat
credentials	volitused
credibility	usaldusväärsus
credible	usutav
credit	krediit
credit card	krediitkaart
creditable	usutav
credited	krediteeritud
crediting	krediteerimine
creditor	võlausaldaja
creed	usutunnistus
creek	Oja
creep	roppima
creeper	kibuvits
creeping	roojad
creepy	jama
cremation	kreemitamine
creole	kreooli
crepe	kreppida
crescendo	crescendo
crescent	poolkuu
crest	koorik
crestfallen	kukkus kokku
cretin	kretiin
cretins	kretiinid
crevice	lõhe
crew	meeskond
crewman	meeskonnaliige
crib	võrevoodi
cricket	kriket
cried	nuttis
crime	kuritegevus
criminal	kurjategija
criminality	kuritegevus
crimp	suruda
crimson	karmiinpunane
cringe	Cringing
cripple	kibe
crippled	halvatud
crippling	halvab
crisis	kriis
crisp	karge
crispy	krõbedaks
criterion	kriteerium
critic	kriitik
critical	kriitiline
criticise	kritiseerima
criticism	kriitika
criticize	kritiseerima
criticized	kritiseeritud
critique	kriitika
critter	critter
croak	kobama
croc	croc
crock	kukkuma
crockery	savi
crocodile	krokodill
croft	terakest
croissant	croissant
crook	kukkuma
crooked	kõverad
crop	põllukultuur
croquet	krokets
cross	rist
cross country	Murdmaa
crossbow	arkaal
crossed	ületatud
crossfire	crossfire
crossing	ristumine
crossover	crossover
crosswalk	üleminek
crossword	ristsõna
crotch	jalgevahel
crouch	kukkuma
crouched	kukkus
crouching	kubistamine
croupier	kroupee
crow	varv
crowbar	laud
crowd	rahvahulk
crowded	rahvarohke
crowds	rahvahulgad
crown	kroon
crowning	kroonimine
crucial	oluline
cruciate	ristija
crucifix	ristifiks
crucifixion	ristilöömine
crucify	risti lüüa
crud	toores
crude	toornafta
cruel	julm
cruelly	julmalt
cruelty	julmust
cruise	kruiis
cruise ship	kruiisilaev
cruiser	ristleja
cruising	reisimine
crumb	muru
crumble	murenema
crumbling	murduvad
crummy	kummitav
crunch	prõks
crunchy	krõmpsuv
crusade	ristisõda
crusader	ristisõitja
crush	purustada
crushed	purustatud
crusher	purusti
crushing	purustamine
crust	koorik
crusty	koorikas
crutch	karkil
crux	põhiline
cry	nutma
crybaby	crybaby
crying	nutt
crypt	krüpt
cryptic	mõistatuslik
cryptography	krüptograafia
crystal	kristall
crystalline	kristalliline
crystallization	kristallimine
cub	Cub
cubby	Cubby
cube	kuubik
cubic	kuupmeetrit
cubicle	kabiin
cuckold	koorik
cuckoo	kukk
cucumber	kurk
cuddle	jama
cuddled	maitsestatud
cuddles	cuddles
cuddling	kallistamine
cue	kiri
cuff	mansett
cuisine	köök
culinary	kulinaaria
cull	tühjaks
culminate	kulmineerub
culmination	kulminatsioon
culpability	süü
culpable	süütu
culprit	süüdlane
cult	kultus
cultivate	kasvatada
cultivated	kasvatatud
cultivation	kasvatamine
cultural	kultuuriline
culture	kultuur
cultured	kasvatatud
culvert	kalle
cumbersome	tülikas
cumulus	cumulus
cunning	kavalus
cunt	kohe
cup	tassi
cupboard	kapp
cupcake	kook
cupping	kastmine
cur	praegune
curable	kõvenev
curate	koreerida
curative	tervendav
curator	kuraator
curb	kitsendama
curd	kohupiim
cure	ravi
curfew	ööd
curiosity	uudishimu
curious	uudishimulik
curl	curl
curling	curling
currency	valuuta
current	praegune
curriculum	õppekava
curry	karri
curse	needus
cursed	neetud
cursing	neetud
cursory	põgusad
curt	kukkuma
curtail	piirata
curtailment	piiramine
curtain	kardin
curtains	kardinad
curtsy	Kurtsy
curvature	kõverus
curve	kõver
curved	kurviline
curvilinear	kõverjooneline
cushion	pehmendus
cushy	vahukas
cusp	cusp
cuss	kuss
cussed	cussed
custard	kaseerija
custodial	vabadusekaotus
custodian	hoiuleandja
custody	hooldusõigus
custom	kohandatud
customary	tavapärane
customer	klient
customized	kohandatud
cut	lõigake
cutaneous	naha
cute	armas
cuticle	küünenaha
cutie	armas
cutlass	kuklaosa
cutlery	söögiriistad
cutoff	katkestamine
cutter	lõikur
cutters	lõikurid
cutthroat	lõualuu
cutting	lõikamine
cutting board	lõikelaud
cuttings	pistikud
cwt	cwt
cyanide	tsüaniid
cyberspace	küberruum
cycle	tsükkel
cyclical	tsükliline
cyclist	jalgrattur
cyclone	tsüklon
cylinder	silinder
cylindrical	silindriline
cymbal	tembeldus
cynic	küüniline
cynical	küüniline
cynicism	küünilisus
cyst	tsüst
cystic	tsüstiline
cytomegalovirus	tsütomegaloviirus
cytoplasm	tsütoplasma
czar	tsar
dab	Kirjuta
dabble	rippuma
dabbling	ummistuma
dad	isa
daddy	isa
dado	NO TRANSLATION
daemon	deemon
daft	kallis
dagger	pistoda
daily	iga päev
dainty	hõrk
daiquiri	Daiquiri
dairy	meierei
daisy	rombid
dak	NO TRANSLATION
dale	dale
dam	tamm
damage	kahju
damaged	kahjustatud
damages	kahju
dame	dame
damn	kuradi
damnation	hukatus
damned	kurat
damp	niiske
dampened	niisutatud
damper	summuti
damsel	emane
dance	tantsu
dancer	tantsija
dancing	tantsimine
dandruff	kõõm
dandy	jama
danger	oht
dangerous	ohtlik
dangerously	ohtlikult
dangit	NO TRANSLATION
dangle	rippuma
dank	NO TRANSLATION
dapper	dapper
dare	julge
daredevil	kardetav
daresay	kallis
daring	julge
dark	tume
darken	tumeneb
darkened	pimedas
darkly	pimedas
darkness	pimedus
darkroom	tume ruum
darkside	Darkside
darling	kallis
darn	jama
dart	viskama
dash	kriips
dashboard	armatuurlaud
dashed	katkendlik
dashing	õnnetus
dastardly	ebaharilikult
data	andmed
database	andmebaas
date	kuupäev
datenight	NO TRANSLATION
daughter	tütar
dawdle	kummitama
dawn	dawn
dawned	dawned
day	päev
daybreak	päevavahetus
daycare	lasteaiad
daydream	vaikus
daydreaming	vaimustus
daylight	päevavalgus
daymade	NO TRANSLATION
dayoff	NO TRANSLATION
daytime	päevas
daze	kummitama
dazed	häbistas
dazzle	pimestav
dazzling	pimestav
deacon	diakon
deactivate	deaktiveerige
dead	surnud
deadbeat	deadbeat
deadline	tähtaeg
deadlines	tähtajad
deadlock	ummikseis
deadly	surmav
deaf	kurt
deafening	kurattav
deafness	kurtus
deal	tegelema
dealer	edasimüüja
dealership	vahendusfirma
dealing	kauplemine
dealings	tehingud
dean	dekaan
dear	kallis
dearest	kallis
dearth	halb
death	surm
deathbed	surmamõistetud
deathly	surmavalt
debacle	pettumus
debased	kadunud
debatable	vaieldav
debate	arutelu
debauchery	pettumus
debenture	võlakiri
debilitating	kurnav
debit	deebet
debrief	ülevaade
debriefing	arutelu
debris	praht
debt	võlg
debtor	võlgnik
debut	debüüt
debutante	debutante
decade	kümme aastat
decadence	dekadents
decadent	dekadentne
decaf	dekap
decanter	dekanter
decathlon	kümnevõistlus
decay	lagunemine
decayed	lagunenud
decaying	lagunev
deceased	surnud
decedent	kadunud
deceit	pettus
deceitful	petlik
deceive	petta
deceived	petetud
deceiving	petmine
december	detsember
decency	õiglane
decent	korralik
deception	pettus
deceptive	petlik
decide	otsustama
decidedly	otsustavalt
deciduous	lehtpuu
decimal	kümnendkoht
decimeter	detsimeter
decipher	dešifreerida
decision	otsus
decisive	otsustav
deck	tekki
declaration	deklaratsioon
