Word	hy
centralize	կենտրոնացված
centrally	կենտրոնական
centrifugal	կենտրոնախույս
centrifuge	ցենտրիֆուգ
centurion	հարյուրապետ
century	դար
ceramic	կերամիկական
ceramics	կերամիկա
cereal	հացահատիկը
cereals	հացահատիկներ
cerebral	ցերեկային
ceremonial	արարողակարգ
ceremony	արարողությունը
certain	որոշակի
certainty	վստահություն
certifiable	հավաստիացվող
certificate	ատեստատ
certified	վավերացված
certify	հաստատում
cervical	արգանդի վզիկ
cervix	արգանդի վզիկ
cess	անջատել
cessation	դադարեցումը
cesspool	մոխրագույն
cha cha	NO TRANSLATION
chaff	չաղ
chafing	chafing
chagrin	շագրին
chagrined	ճագարված
chai	chai
chain	շղթա
chainsaw	շղթաներով
chair	Աթոռ
chairman	նախագահ
chairperson	նախագահին
chairwoman	նախագահ
chaise	շայկա
chalet	շալվար
chalice	Չալիսը
chalk	կավիճ
challenge	մարտահրավեր
challenger	մրցավար
chamber	պալատը
chambermaid	chambermaid
chambers	պալատները
chameleon	քամելեոն
champ	չեմպիոն
champagne	շամպայն
champion	չեմպիոն
championship	առաջնություն
chance	հնարավորություն
chancellor	կանցլեր
chandelier	ջահ
chandler	Չանդլեր
change	փոփոխություն
changeable	փոփոխական
changed	փոխվել է
changer	փոխարկիչը
changing	փոփոխվող
channel	ալիքը
chant	երգչախումբը
chaos	քաոս
chaotic	քաոսային
chap	սաղ
chapel	մատուռը
chaperon	Չիչերոն
chaplain	դահլիճ
chapman	մաթեմատիկոս
chaps	կողպեքներ
chapter	գլխում
char	չար
character	բնույթ
characteristic	բնորոշ
characterize	բնութագրում
charade	շախմատ
charcoal	փայտածուխ
chardonnay	chardonnay
charge	գանձում
chargeable	վճարովի
charger	լիցքավորիչը
chariot	մարտակառք
charisma	խարիզմա
charismatic	խարիզմատիկ
charitable	բարեգործական
charity	բարեգործություն
charlatan	Չարլաթան
charm	հմայքը
charmed	հմայիչ
charmer	հմայքը
charming	հմայիչ
charred	խոտածածկ
chart	աղյուսակը
charter	կանոնադրություն
chartered	կանոնադրությամբ
chase	հալածում
chased	հալածված
chaser	հալածիչ
chasm	ցնցում
chassis	շասսի
chaste	մաքուր
chastened	ճնշված
chastisement	պատիժը
chastity	մաքրաբարոյություն
chat	զրուցել
chateau	շերտով
chatter	զրուցել
chatterbox	chatterbox
chattering	զրուցել
chatty	զրուցարանում
chauffeur	Շոֆեր
chauvinist	շովինիստ
cheap	էժան
cheapened	իջեցված
cheapskate	էլ-նամակ
cheat	խաբել
cheater	խաբեություն
check	ստուգեք
checkbook	Չեկավճար
checker	ստուգիչ
checkered	չամրացված
checkers	շշերով
checklist	ստուգման ցուցակ
checkmate	շտապ օգնություն
checkout	դուրս գալու համար
checkpoint	ստուգման կետը
checkup	ստուգում
cheek	այտ
cheeks	այտերը
cheeky	անշուշտ
cheep	cheep
cheer	ուրախություն
cheered	ուրախացան
cheerful	ուրախ
cheerfulness	ուրախություն
cheering	ուրախանալով
cheerleader	Չարլեդեր
cheerleading	cheerleading
cheerless	ուրախ
cheers	ուրախացան
cheery	ուրախություն
cheese	պանիր
cheeseburger	Չիզբուրգեր
cheesecake	շոռակարկանդակ
cheesy	շոռակարկանդակ
cheetah	Չեթա
chef	խոհարար
chemical	քիմիական
chemise	NO TRANSLATION
chemist	քիմիկոս
chemistry	քիմիա
chemo	chemo
chemotherapy	քիմիաթերապիա
cheque	ստուգեք
cherish	երգչախումբը
cherishing	փայփայում
cherry	բալ
cherub	քերովբե
chess	շախմատ
chest	կրծքավանդակը
chestnut	շագանակ
chevron	Շեւրոն
chew	ծամում
chewy	ծխում
chic	շքեղ
chicane	Չիկան
chick	ծիտ
chicken	հավի
chicken pox	հավի մոխիր
chickenpox	Հավկիթը
chief	գլխավոր տնօրեն
chiefly	հիմնականում
chieftain	ղեկավարը
chiffon	շիֆոն
child	երեխա
childbirth	ծննդաբերություն
childhood	մանկություն
childish	երեխա
childless	անչափահաս
childlike	մանկական
childloss	NO TRANSLATION
children	երեխաներ
chili	չիլիական բիբար
chill	սառչել
chilled	սառեցված
chilling	հալածանք
chilly	սառը
chime	ժամացույց
chimera	քիմերա
chimes	chimes
chimney	ծխնելույզ
chimp	չիմ
chimpanzee	շիմպանզե
chin	կզակ
china	Չինաստան
chinchilla	շինչիլա
chine	NO TRANSLATION
chinook	chinook
chip	չիպը
chipmunk	չիպմունք
chipper	կիտրոն
chipping	chipping
chiropractor	chiropractor
chirp	շիրմաքար
chirping	զզվանք
chisel	խորամանկություն
chiseler	շիշերը
chit	քիթը
chitchat	քիթաթ
chivalry	մխիթարություն
chloride	քլորիդ
chlorine	քլոր
chloroform	քլորոֆորմ
chocolate	շոկոլադ
choice	ընտրություն
choir	երգչախումբը
choke	խեղդել
cholera	խոլերան
cholesterol	խոլեստերին
choose	ընտրեք
choosing	ընտրելով
choosy	ընտրություն
chop	կտրատել
chopper	կացին
choppers	հացադուլավորներ
chopping	կտրատում
chops	կոտլետներ
choral	երգչախումբը
chord	ակորդ
chords	երգեր
chore	գործը
choreographer	երգչուհի
choreography	քերականություն
chorus	երգչախումբը
chosen	ընտրված
chow	chow
chowder	կով
christ	Քրիստոս
christen	NO TRANSLATION
christening	քրիստոնյա
christian	քրիստոնյա
christmas	Սուրբ Ծնունդ
christmasbreak	NO TRANSLATION
christmaseve	NO TRANSLATION
christmasspirit	NO TRANSLATION
christmassy	Քրիստոսը
christmastime	Սուրբ Ծննդյան ժամանակ
chromatic	քրոմատիկ
chromatography	քրոմատոգրաֆիա
chrome	քրոմ
chromium	քրոմը
chromosome	քրոմոսոմ
chronic	քրոնիկ
chronicle	քրոնիկ
chronograph	chronograph
chronological	ժամանակագրական
chubby	կախարդական
chuck	chuck
chuckle	ժպտալ
chug	շուգ
chum	խնձոր
chummy	կաղամբ
chump	ցնցուղ
chunk	կոճակ
chunky	կեղտոտ
church	եկեղեցի
churchyard	եկեղեցին
churn	խլացնել
chute	չուգուն
chutney	chutney
ciao	ciao
cider	խնձորօղի
cigar	սիգար
cigarette	ծխախոտ
cilantro	cilantro
cinch	cinch
cinder	կաղապար
cinema	կինոթատրոն
cinematic	կինոթատրոն
cinematographer	կինեմատոգրաֆիստ
cinematography	կինեմատոգրաֆիա
cinnamon	դարչին
cipher	ծածկագիր
circle	շրջանակը
circling	շրջապատում
circuit	շրջան
circuitry	սխեմաներ
circular	շրջանաձեւ
circulate	շրջանառվում է
circulation	շրջանառությունը
circulatory	շրջանառության մեջ
circumcision	թլփատություն
circumference	շրջապատը
circumferential	շրջապատող
circumscribed	սահմանափակումով
circumstance	հանգամանքները
circumstances	հանգամանքները
circumstantial	ընդհակառակը
circumvent	շրջանցել
circumvention	շրջանցումը
circus	կրկեսը
cirque	cirque
cirrhosis	ցիրոզը
cirrus	cirrus
cistern	ջնարակ
citadel	միջնաբերդ
citation	մեջբերումը
cite	հղում անելով
citizen	քաղաքացի
citizenship	քաղաքացիություն
citrine	ցիտրին
citrus	ցիտրուս
city	քաղաքը
citywide	քաղաքի ամբողջ տարածքում
civic	քաղաքացիական
civics	քաղաքացիություն
civil	քաղաքացիական
civilian	քաղաքացիական
civilians	քաղաքացիական անձինք
civility	քաղաքակրթություն
civilization	քաղաքակրթություն
civilized	քաղաքակիրթ
clad	ծածկված
claim	պահանջով
claimant	հայցվոր
clairvoyant	կլարվիլանտ
clam	կլիմա
clambake	ճնշում
clammy	խրտվիլակ
clamor	աղմկահարույց
clamp	մամլիչ
clan	կլան
clandestine	գաղտնի
clang	բռունցք
clap	ծաղրանկարը
clapper	լապտեր
clapping	ծափահարում
clarification	պարզաբանումը
clarify	հստակեցնել
clarinet	կլարնետ
clarion	պարզաբանումը
clarity	պարզություն
clash	բախում
clashing	ծեծկռտուք
clasp	ճարմանդը
class	դասը
classic	դասական
classic rock	դասական ռոք
classical	դասական
classics	դասականներ
classification	դասակարգումը
classified	դասակարգված
classify	դասակարգել
classmate	դասընկեր
classroom	դասասենյակ
classy	դասական
clatter	ցնցում
clause	կետը
clauses	դրույթներ
claustrophobia	կլաոստրոֆոբիա
claustrophobic	կլաոստրոֆոբիկ
clavicle	clavicle
claw	պատռել
claws	թղթադրամներ
clay	կավ
clean	մաքուր
cleaner	մաքուր
cleaning	մաքրում
cleanliness	մաքրություն
cleanly	մաքուր
cleanse	մաքրել
cleanser	մաքրողը
cleansing	մաքրում
cleanup	մաքրում
clear	պարզ
clearance	մաքրում
clearing	մաքրում
clearness	հստակություն
cleat	մաքրում
cleavage	կեղտոտություն
cleave	փակել
cleaver	մաքուր
clef	խելքը
cleft	ճեղքվածք
clemency	ներողություն
clench	կոճակը
clergy	հոգեւորական
clergyman	հոգեւորական
cleric	հոգեւորական
clerical	հոգեւորական
clerk	կալանավորը
clerkship	հոգեբանություն
clever	խելացի
cleverness	խելացիություն
click	սեղմել
clicker	clicker
client	հաճախորդին
clientele	հաճախորդներ
cliff	ժայռը
climate	կլիմա
climatology	կլիմատոլոգիա
climax	գագաթնակետը
climb	բարձրանալը
climber	ալպինիստ
clinch	կլինգը
cling	փակել
clingy	կլիներ
clinic	կլինիկա
clinical	կլինիկական
clink	լճակ
clip	clip
clipboard	clipboard
clipper	կլիպեր
clipping	կտրում
clique	NO TRANSLATION
clitoris	կլիտորներ
cloak	ծածկոց
cloaking	գաղտնալսումը
cloakroom	ծածկոց
clobber	կլանողը
clock	ժամացույց
clockwork	ժամացույցներ
clod	Կլոդ
clog	խցանված
cloister	կահույք
clone	clone
cloning	կլոնավորում
close	փակել
closed	փակված է
closeness	մոտեցումը
closet	առանձնասենյակ
closure	փակումը
clot	շաղախ
cloth	շոր
clothe	հագցնում
clothes	հագուստ
clothesline	հագուստի գիծը
clothing	հագուստ
cloud	ամպ
clouded	ամպամած
cloudiness	ամպամածություն
clouds	ամպերը
cloudy	ամպամած
clout	լապտեր
clove	մոխրագույն
clover	Երեքնուկ
cloves	գորգեր
clown	ծաղրածու
clowns	ծաղրածուներ
club	ակումբը
clubhouse	ակումբը
clubs	ակումբներ
cluck	բռնելով
clue	հուշում
clueless	clueless
clump	կողպեքը
clumsy	անշնորհք
clunk	կախաղան
cluster	կլաստեր
clutch	կախաղան
clutches	կախիչներ
clutter	խառնաշփոթ
coach	մարզիչ
coachman	մարզպետը
coagulation	կոորդինացում
coal	ածուխ
coalesce	համակցված
coalition	կոալիցիա
coarse	կոպիտ
coast	Ափ
coastal	ափամերձ
coaster	արծաթե սկուտեղ
coastline	ջրափնյա գիծ
coat	բուրդ
coating	ծածկույթ
coax	coax
cobalt	կոբալտ
cobble	կարկանդակ
cobbler	կարկաչիչ
cobra	կոբրան
cocaine	կոկաինը
cock	Ոտքերի Ֆետիշ
cockamamie	կոկորդին
cockeyed	կոկորդը
cockpit	կոկտեյլ
cockroach	ծխամորճ
cocksucker	ծաղրածու
cocktail	կոկտեյլ
cocky	ինքնավստահ
cocoa	կակաո
coconut	կոկոսը
cocoon	կոկոն
cod	cod
code	կոդը
codeine	կոդինը
codex	կոդեկ
codfish	կոկտեյլներ
codification	կոդավորում
codify	կոդավորել
coding	կոդավորում
coed	coed
coefficient	գործակիցը
coerce	պարտադրել
coercion	հարկադրանքը
coercive	հարկադրաբար
coexist	գոյություն ունի
coexistence	համերաշխություն
coexisting	գոյություն ունեցող
coffee	սուրճ
coffee table	սուրճի սեղան
coffeehouse	սրճարան
coffeepot	արկածախնդիր
coffin	դագաղը
cog	կողպեքը
cogent	ընդհանրապես
cognac	կոնյակ
cognate	համախոհ
cognition	ճանաչում
cognitive	ճանաչողական
cohabitation	համախոհություն
coherence	համահունչ
coherent	համահունչ
cohesion	համախմբվածություն
cohesive	խառնաշփոթ
cohort	Կոհորտ
coil	կծիկ
coiled	կոկորդը
coin	մետաղադրամ
coinage	մետաղադրամը
coincide	համընկնում
coincidence	պատահականություն
coincident	համընկնում
coincidental	համընկնում
coinciding	համընկնող
coke	կոկոլա
cola	կոլա
cold	ցուրտ
coldly	ցուրտորեն
coldness	սառնություն
coldsweat	NO TRANSLATION
coleslaw	բրնձով
colic	կոլիկ
coliseum	coliseum
collaborate	համագործակցել
collaboration	համագործակցություն
collaborator	համագործակցող
collage	համալսարան
collagen	կոլագեն
collapse	փլուզումը
collar	մանյակ
collarbone	կոլբարոն
collate	համախմբել
collateral	գրավի առարկա
collation	համադրություն
colleague	կոլեգա
collect	հավաքել
collected	հավաքվել
collection	հավաքածու
collective	հավաքական
collectively	հավաքականորեն
collector	կոլեկցիոներ
college	քոլեջ
collegiate	քոլեջը
collide	բախվելով
collie	Collie- ը
collision	բախում
collocation	փոխանակում
colloquial	խոսակցական
collusion	գաղութացում
cologne	օծանելիք
colon	կրկնակետ
colonel	գնդապետ
colonial	գաղութային
colonic	գաղութ
colonoscopy	կոլոնոսկոպիա
colony	գաղութը
colophon	կոլոֆոն
color	գույնը
coloration	գունավորում
colored	գունավոր
colorful	գունագեղ
coloring	գունավորում
colorless	անգույն
colors	գույները
colossal	հսկայական
colt	աթոռը
columbine	կոլումբինը
column	սյունակ
columnar	columnar
columnist	սյունակագիր
com	NO TRANSLATION
coma	կոմայի մեջ
comatose	կոմբինատը
comb	սանր
combat	մարտական
combatant	մարտիկ
combative	հակառակորդը
combination	համադրություն
combinatorial	համադրություն
combine	համատեղել
combined	համակցված
combo	կոմպո
combustible	այրվող
combustion	այրումը
come	եկեք
comeback	վերադարձը
comedian	կոմեդիան
comedy	կատակերգություն
comet	կոմետե
comfort	հարմարավետություն
comfortable	հարմարավետ
comforter	մխիթարիչ
comforting	մխիթարություն
comfy	հարմարավետ
comic	կոմիքս
comical	կոմիկական
comics	կոմիքսներ
coming	գալիս
comma	ստորակետով
command	հրաման
commandant	հրամանատար
commandeer	հրամանատար
commander	հրամանատար
commanding	հրամայականը
commandment	պատվիրան
commando	հրամանատար
commemorate	հիշատակել
commemoration	հիշատակի արարողություն
commemorative	հուշամեդալ
commence	սկսելու համար
commend	գովելի
commendable	գովելի
commendation	գովեստը
commensurate	համաչափ
comment	մեկնաբանություն
commentary	մեկնաբանություն
commentator	մեկնաբանող
commerce	առեւտուրը
commercial	առեւտրային
commie	commie
commissary	կոմիսարիան
commission	հանձնաժողովը
commissioner	հանձնարարականը
commit	պարտավորություն
commitment	պարտավորություն
committal	հանձնարարել
committed	կատարված
committee	հանձնաժողովը
commodity	ապրանքը
commodore	կոմոդոր
common	ընդհանուր
commoner	սովորական
commonly	ընդհանրապես
commonplace	սովորական
commons	բոլորի համար
commonwealth	միասնություն
commotion	խառնաշփոթություն
communal	համայնքային
commune	համայնք
communicable	վարակիչ
communicate	շփվել
communication	կապը
communicative	հաղորդակցական
communicator	հաղորդիչ
communion	համայնք
communism	կոմունիզմ
communist	կոմունիստ
community	համայնք
commutation	կոմունալ
commutative	շարժիչ
commute	գնացեք
commuter	բեռնատար
comp	կոմպոզիցիա
compact	կոմպակտ
compaction	խտացում
compactness	կոմպակտություն
companion	ուղեկիցը
companionless	ուղեկիցը
companionship	ընկերակցությանը
company	ընկերությունը
comparable	համեմատելի
comparative	համեմատական
comparatively	համեմատաբար
compare	համեմատել
comparison	համեմատություն
compartment	խցիկ
compass	կողմնացույց
compassion	կարեկցանք
compassionate	կարեկցող
compatibility	համատեղելիություն
compatible	համատեղելի
compel	ստիպել
compelled	պարտադրված
compelling	ազդեցիկ
compendium	կոմպենսյոր
compensate	փոխհատուցել
compensation	փոխհատուցում
compensatory	փոխհատուցում
compete	մրցակցել
competence	իրավասություն
competency	իրավասությունը
competent	իրավասու
competition	մրցակցություն
competitive	մրցակցային
competitor	մրցակիցը
compilation	կոմպիլյացիա
compile	կազմեք
complacency	անպտուղություն
complacent	անհամբեր
complain	բողոքել
complaint	բողոք
complement	լրացնելով
complementary	լրացուցիչ
complete	ամբողջական
completed	ավարտվեց
completely	ամբողջությամբ
completeness	ամբողջականությունը
completing	ավարտելով
completion	ավարտում
complex	համալիր
complexed	համալիր
complexion	նրբերանգ
complexity	բարդությունը
compliance	համապատասխանությունը
compliant	համապատասխանում է
complicate	բարդացնում
complicated	բարդ
complication	բարդությունը
complicity	բարդություն
compliment	NO TRANSLATION
complimentary	կոմպլեմենտար
comply	համապատասխանում
complying	համապատասխան
compo	կոմպո
component	բաղադրիչ
compose	կոմպոզիցիա
composed	կազմված
composer	կոմպոզիտոր
composite	կոմպոզիտային
composition	կազմը
compost	պարարտանյութ
composure	բարկություն
compound	բարդ
comprehend	հասկանալ
comprehension	հասկացողություն
comprehensive	համապարփակ
compress	սեղմել
compressed	սեղմված
compressible	սեղմված
compression	սեղմում
compressor	կոմպրեսոր
comprise	ներառյալ
compromise	փոխզիջում
comptroller	կոմպլյոլեր
compulsion	պարտադրանք
compulsive	պարտադիր
compulsory	պարտադիր
computable	հաշվարկային
computation	հաշվարկ
compute	հաշվարկելու համար
computer	համակարգիչ
computerized	համակարգչային
computing	հաշվարկ
comrade	ուղեկիցը
con	NO TRANSLATION
concatenation	կապակցում
concave	խաչաձեւություն
conceal	թաքցնել
concealed	թաքցրել
concealment	թաքցնում
concede	զիջում
conceit	հպարտանալ
conceited	բարկացած
conceivable	ենթադրելի
conceive	հասկանալ
concentrate	կենտրոնանալ
concentration	համակենտրոնացումը
concentric	համակենտրոն
concept	հայեցակարգը
conception	հայեցակարգը
concern	մտահոգություն
concerned	մտահոգված
concert	համերգ
concerto	կոնցերտ
concession	զիջում
concessional	արտոնյալ
conch	կոնս
concierge	կոնսերժ
conciliation	հաշտություն
concise	հակիրճ
conclave	համախմբում
conclude	եզրակացություն
concluding	եզրակացություն
conclusion	եզրակացություն
conclusive	վերջնական
concoction	խառնաշփոթություն
concomitant	համատեղ
concord	համաձայնություն
concordance	համադրություն
concours	NO TRANSLATION
concourse	խառնաշփոթություն
concrete	բետոն
concubine	հարսանիք
concur	համաձայն
concurrence	համաձայնություն
concurrent	մրցակից
concurring	համաձայնեցված
concussion	ցնցում
condemn	դատապարտել
condemnation	դատապարտում
condensation	խտացում
condensed	խտացված
condescending	գաղտնալսված
condescension	գաղտնալսումը
condiment	համեմունք
condition	պայման
conditional	պայմանական
conditionally	պայմանականորեն
conditioned	պայմանավորված
conditioner	կոնդիցիոներ
conditioning	կոնդիցիոներ
conditions	պայմանները
condo	կոնդ ...
condolence	ցավակցություններ
condolences	ցավակցություններ
condom	պահպանակ
condone	հորդորել
condor	Կոդ
conducive	նպաստող
conduct	անցկացնել
conduction	անցկացումը
conductivity	հաղորդավարություն
conductor	դիրիժորը
conduit	կապուղի
cone	կոն
confederacy	համադաշնություն
confederate	համախմբել
confederation	կոնֆեդերացիա
confer	խորհրդակցել
conference	կոնֆերանսը
confess	խոստովանում
confession	խոստովանություն
confessional	դավանանքային
confessions	խոստովանություններ
confetti	confetti
confidant	համոզիչ
confide	վստահիր
confidence	վստահություն
confident	վստահ
confidential	գաղտնի
confidentiality	գաղտնիությունը
confidentially	NO TRANSLATION
configuration	կոնֆիգուրացիա
confine	սահմանափակել
confined	սահմանափակված
confinement	ազատազրկում
confines	սահմանափակում է
confirm	հաստատեք
confirmation	հաստատում
confirmatory	հավաստիացում
confirmed	հաստատեց
confiscate	բռնագրավել
confiscation	բռնագրավումը
conflagration	բռնկում
conflict	կոնֆլիկտ
conflicting	հակամարտություն
confluence	միացում
conform	համապատասխան
conformance	համապատասխանությունը
conformation	NO TRANSLATION
conformity	համապատասխանությունը
confound	խառնաշփոթ
confounded	խառնաշփոթ
confront	դիմակայելու համար
confrontation	դիմակայություն
confuse	խառնաշփոթ
confused	շփոթված
confusing	շփոթեցնող
confusion	շփոթություն
conga	Կոնգա
congenial	հարազատ
congenital	բնածին
congestion	գերբնակվածություն
conglomerate	կոնգլոմերատ
conglomeration	համախմբվածություն
congrats	Շնորհավորանքներ
congratulate	շնորհավորում
congratulation	շնորհավորանք
congratulations	շնորհավորանքներ
congratulatory	շնորհավորանք
congregate	հավաքեք
congregation	ժողովում
congress	համագումար
congressional	Կոնգրեսական
congressman	կոնգրեսական
congruence	համադրություն
conic	կոնյակ
conical	կոնաձեւ
conjecture	ենթադրություն
conjugal	կոնյուկալ
conjugate	միացեք
conjugation	համադրություն
conjunction	միավորում
conjunctive	կոնյունկտիվ
conjure	դավաճանություն
conjuring	խառնաշփոթություն
conk	կոնկ
connect	միացեք
connected	կապված
connection	կապակցությամբ
connective	միացեք
connoisseur	գիտակ
conquer	նվաճել
conquering	նվաճում
conqueror	նվաճողը
conquest	նվաճում
conscience	խիղճը
conscientious	բարեխիղճ
conscious	գիտակցական
consciousness	գիտակցությունը
conscription	զորակոչ
consecrated	օծեց
consecration	օծումը
consecutive	հետեւողական
consensual	համաձայնեցված
consensus	համաձայնություն
consent	համաձայնություն
consenting	համաձայնեցման
consequence	հետեւանք
consequent	հետեւաբար
conservation	պահպանումը
conservatism	պահպանողականություն
conservative	պահպանողական
conservatory	կոնսերվատորիան
conserve	պահպանել
consider	հաշվի առեք
considerable	զգալի
considerate	զգայուն
consideration	քննարկում
consignee	ստացողը
consignment	բեռը
consist	բաղկացած է
consistency	հետեւողականություն
consistent	հետեւողական
consolation	մխիթարություն
console	մխիթարել
consoled	մխիթարվել
consolidate	համախմբել
consolidated	համախմբված
consolidation	միավորում
consonant	համազարկ
consort	կոնսորցիում
conspicuous	նկատելի
conspiracy	Դավադրություն
conspirator	դավադիրը
conspire	համաձայնեցված
constable	անսասան
constancy	կայունություն
constant	մշտական
constantly	անընդհատ
constellation	համաստեղություն
consternation	ցնծություն
constipation	փորկապություն
constituency	ընտրատարածք
constituent	բաղադրիչ
constituents	բաղադրիչները
constitute	կազմված է
constitution	Սահմանադրություն
constitutional	սահմանադրական
constitutionality	սահմանադրականությունը
constrain	սահմանափակել
constrained	սահմանափակված
constraint	սահմանափակում
construct	կառուցել
construction	շինարարությունը
constructive	կառուցողական
construe	մեկնաբանություն
consul	հյուպատոս
consulate	հյուպատոսություն
consult	խորհրդակցեք
consultant	խորհրդատու
consultation	խորհրդատվություն
consume	սպառում
consumer	սպառողը
consuming	սպառում
consummate	հստակեցրեց
consummation	սպառումը
consumption	սպառումը
contact	Կապ
contagion	աղտոտվածություն
contagious	վարակիչ
contain	պարունակել
container	բեռնարկղ
containment	պահեստավորում
contaminate	աղտոտել
contaminated	աղտոտված
contamination	աղտոտում
contemplate	մտածել
contemplation	մտածողություն
contemplative	զարմանալի
contemporaneous	միաժամանակ
contemporary	ժամանակակից
contempt	արհամարհանք
contemptible	անպարկեշտ
contemptuous	արհամարհական
contend	վիճաբանել
contender	մրցավարը
contending	հակառակ դեպքում
content	բովանդակություն
contented	բովանդակալից
contention	վիճաբանություն
contentious	վիճելի
contentment	բավարարվածություն
contents	բովանդակությունը
contest	մրցույթ
contestant	մրցակցին
context	համատեքստում
contiguous	շարունակական
continence	շարունակություն
continent	աշխարհամաս
continental	մայրցամաքային
contingency	պայմանական
contingent	զորակազմը
continual	շարունակական
continually	շարունակաբար
continuance	շարունակություն
continuation	շարունակություն
continue	շարունակել
continued	շարունակվեց
continuing	շարունակելով
continuity	շարունակականությունը
continuous	շարունակական
continuously	շարունակական
continuum	շարունակություն
contour	ուրվագիծը
contraband	մաքսանենգություն
contraception	հակաբեղմնավորիչ միջոց
contract	պայմանագիրը
contracted	պայմանագրային
contractile	պայմանական
contracting	պայմանագրային
contraction	խտացում
contractor	կապալառու
contradict	հակասություն
contradiction	հակասություն
contradictory	հակասական
contraption	contraption
contrary	հակառակը
contrast	հակադրություն
contrasted	հակադրված
contravene	վիճաբանություն
contravention	հակասություն
contribute	աջակցել
contribution	ներդրում
contributor	ներդրող
contrite	չարչարանք
contrition	խանգարում
contrived	զիջեց
control	վերահսկողությունը
controller	վերահսկիչ
controlling	վերահսկում
controversial	հակասական
controversy	հակասություններ
contusion	բորբոքում
conundrum	բռնություն
convalescent	վերակենդանացում
convection	կոնվենցիա
convene	հրավիրել
convenience	հարմարավետություն
conveniences	հարմարություններ
convenient	հարմարավետ
convent	արգելոց
convention	համագումար
conventional	պայմանական
converge	համախմբել
convergence	կոնվերգենցիա
convergent	կոնվերգենտ
conversant	գիտակցող
conversation	խոսակցություն
conversational	խոսակցական
conversationalist	խոսակցական
converse	զրուցել
conversing	զրուցելով
conversion	փոխակերպումը
convert	փոխարկել
converted	փոխարկվում է
convertible	փոխարկելի
convex	Դվորելի
convexity	դռնկվածություն
convey	փոխանցել
conveyance	փոխանցում
conveyancing	փոխանցում
convict	դատապարտյալ
conviction	համոզվածություն
convince	համոզել
convinced	համոզված
convincing	համոզիչ
convocation	ընտրություն
convoluted	խճճված
convolution	համաձուլվածքներ
convoy	կոնվենցիա
coo	համախոհ
cook	եփել
cookbook	cookbook- ը
cooker	կաթսա
cookery	խոհարարություն
cookie	cookie
cookies	բլիթները
cooking	Խոհարարություն
cookout	քաղցրավենիք
cool	թույն
coolant	սառեցնող
cooler	սառեցնող
cooling	սառեցում
coolness	սառնությունը
coon	ծածկոց
coop	համագործակցել
cooperate	համագործակցել
cooperating	համագործակցելով
cooperation	համագործակցություն
cooperative	կոոպերատիվ
coordinate	համակարգել
coordination	համակարգման
coordinator	համակարգող
cop	ոստիկանություն
copacetic	NO TRANSLATION
cope	հաղթահարել
copier	պատճենահանող սարք
copilot	թղթապանակը
coping	հաղթահարում
copious	հսկայական
copper	պղինձ
copter	բախում
copy	պատճենը
copycat	պատճենը
copying	պատճենումը
copyright	հեղինակային իրավունք
coral	մարալ
coral snake	Մարալյան օձը
cord	լարը
cordial	ջերմ
cordless	անլար
cordon	Կորդոն
corduroy	կորդուրոյ
core	հիմնական
cork	խցան
corkscrew	կոկորդը
corn	եգիպտացորեն
cornball	հնդկահավ
cornbread	cornbread
cornea	եղջերաթաղանթ
corned	ետեւում
corner	անկյուն
cornerstone	անկյունաքար
cornet	արկղը
cornfield	հողատարածք
cornflakes	եգիպտացորենի կտորներ
cornice	քառակուսի
cornstarch	եգիպտացորենի օսլա
corny	եգիպտացորենի
corollary	հետեւանքը
corona	թագուհին
coronary	կորոնար
coronation	թագուհին
coroner	կաշառք
corporal	մարմնավաճառ
corporate	կորպորատիվ
corporation	կորպորացիա
corporeal	մարմնամարզություն
corps	կորպուսը
corpse	դիակ
corpsman	կորպուս
corpus	կորպուսը
corral	կոտրվածքը
correct	ճիշտ է
correction	ուղղում
correctional	ուղղիչ
corrective	ուղղիչ
correctness	ճշգրտություն
correlation	հարաբերակցությունը
correlative	համեմատական
correspond	համապատասխան
correspondence	նամակագրություն
correspondent	թղթակիցը
corresponding	համապատասխան
corridor	միջանցք
corroborate	հաստատում
corroboration	հաստատում
corrosion	կոռոզիայից
corrosive	քայքայիչ
corrupt	կոռումպացված
corrupting	կոռումպացված
corruption	կոռուպցիան
corsage	կոստյումը
corse	NO TRANSLATION
corset	Կորսետ
cortex	կորտեքս
cortical	կորտիկ
cortisone	կորտիզոն
corvette	կոստիտ
cosmetic	կոսմետիկ
cosmetics	կոսմետիկա
cosmic	տիեզերական
cosmology	կոսմոլոգիա
cosmopolitan	կոսմոպոլիտ
cosmos	տիեզերք
cost	արժեքը
costly	թանկ արժե
costume	զգեստները
cosy	հարմարավետ
cot	կահույք
cote	Կոտ
cottage	տնակ
cotton	բամբակ
couch	դահլիճ
cougar	սափրված
cough	հազ
council	խորհուրդը
councilman	խորհրդական
counsel	խորհրդատվություն
counseling	խորհրդատվություն
counsellor	խորհրդական
counselor	խորհրդական
count	հաշվելը
countdown	Countdown
countenance	դեմքը
counter	հակառակորդը
counteract	հակազդեցություն
counterattack	հակահարձակում
counterbalance	հակակշիռ
counterclaim	դիմում-բողոք
counterfeit	կեղծված
counterpart	գործընկերը
counterpoint	հակառակորդը
countess	հաշվետվություն
countless	անթիվ
country	երկիրը
countryman	հայրենակից
countrymusic	NO TRANSLATION
countryside	գյուղում
