Word	mr
drove	NO TRANSLATION
drown	बुडणे
drowsiness	तंद्री
drowsy	झोपेची गुंगी आणणारा
drudgery	कष्टप्रद
drug	औषध
drug dealing	मादक पदार्थांचे व्यवहार
drugged	नराग्रस्त
druggist	ड्रगजिस्ट
drugs	औषधे
drugstore	औषध दुकान
druid	ड्र्यूड
drum	ड्रम
drummer	पडघम वाजवणारा
drumming	पठार
drunk	प्यालेले
drunk driving	दारू गाडी चालवणे
drunkard	दारू
drunken	दारूच्या नशेत
drunkenness	दारूबाजी
dry	कोरडी
dryer	जलद वाळवणारा पदार्थ
dryness	कोरडेपणा
dual	दुहेरी
dualism	द्वंद्ववाद
duality	द्वंद्व
dub	dub
dubious	संशयास्पद
duchess	डचेस
duck	बदक
ducking	डकिंग
duckling	बदकाल
ducky	लाजाळू
duct	नळ
ductile	लवचीक
dud	नासधूस
dude	भपकेबाज मनुष्य
duds	डबके
due	देय
duel	द्वदंयुद्ध
dues	थकबाकी
duet	द्वदंगीत
duffel	डफल
dugout	आराखडा
duh	duh
duke	सरदार
dull	कंटाळवाणा
dullard	मंद
dumb	मुका
dumbasses	गोंधळ
dumbbell	डंबेल
dumbbitch	NO TRANSLATION
dumfound	डमफाऊंड
dumfounder	NO TRANSLATION
dummy	बनावट
dump	डंप
dumpling	डंपलिंग
dumps	डंप
dumpster	डंपबस्टर
dun	डन
dunce	डोना
dune	ढगा
dung	NO TRANSLATION
dungeon	अंधारकोठडी
dunk	डंक
duo	दोघांनी
dupe	फसवा
duplex	दुप्पट
duplicate	डुप्लीकेट
duplication	दुप्पट
duplicity	दुटप्पीपणा
durability	टिकाऊपणा
durable	टिकाऊ
duration	कालावधी
duress	पळवून नेणे
dusk	तिन्हीसांजा
dusky	तुटक रेखा
dust	धूळ
duster	डस्टर
dustpan	धूळपात्रा
dusty	धुळीने माखलेला
dutiful	कर्तव्यतत्पर
duty	कर्तव्य
dwarf	बटू
dwarfed	बौने
dweeb	dweeb
dwell	राहणे
dweller	रहिवासी
dwelling	राहणे
dye	रंग देणे
dying	संपणारा
dyke	डाइक
dynamic	गतिशील
dynamical	गतिमान
dynamics	गतिशीलता
dynamite	डायनामाइट
dynamo	डायनॅमो
dynasty	राजवंश
dysentery	आमांश
dysfunction	बिघडलेले कार्य
dysfunctional	अकार्यक्षम
dyspepsia	अपचन
eager	उत्सुक
eagerness	उत्सुकता
eagle	गरूड
ear	कान
earful	कानाडोळा
earl	अर्ल
earlier	पूर्वीचे
early	लवकर
earn	कमवा
earnest	बयाणा
earnestly	कळकळीने
earnestness	उत्सुकता
earnings	कमाई
earpiece	इअरपीस
earring	डुल
earrings	कानातले
earshot	कानाचा टप्पा
earth	पृथ्वी
earthenware	मातीची भांडी
earthling	पृथ्वीवरील
earthly	पृथ्वीवरील
earthquake	भूकंप
earthy	मातीस
ease	सहजपणे
easel	चित्रफलक
easement	सुखवाद
easily	सहजपणे
east	पूर्व
eastbound	ईस्टबाउंड
eastern	पूर्व
easy	सोपे
easygoing	शांत
eat	खा
eater	खाणारा
eating	खाणे
eatingdisorders	NO TRANSLATION
eavesdrop	चोरूण
eavesdropping	इव्हनड्रोपिंग
ebb	ओहोटी
ebony	आभासी
ebullient	उबदार
eccentric	विलक्षण
eccentricity	विलक्षणपणा
ecclesiastical	ecclesiastical
echelon	सेझन
echinacea	इचिनसेआ
echo	प्रतिध्वनी
eclectic	निवडक
eclipse	ग्रहण
ecliptic	क्रांतीवृत्त
ecological	पर्यावरणीय
economic	आर्थिक
economical	आर्थिकदृष्ट्या
economics	अर्थशास्त्र
economy	अर्थव्यवस्था
ecosystem	पर्यावरणातील
ecstasy	परमानंद
ecstatic	हर्षभरीत
ecumenical	विश्वव्यापी
eddy	एडी
edema	सूज
edge	धार
edging	किनारी
edgy	तणावपूर्ण
edible	खाद्यतेल
edict	हुकुम
edification	सुधारणा
edifice	इमारत
edit	संपादित करा
editing	संपादन
edition	संस्करण
editor	संपादक
editorial	संपादकीय
educate	शिकवणे
educated	सुशिक्षित
education	शिक्षण
educational	शैक्षणिक
educator	शिक्षक
eeeek	NO TRANSLATION
eeek	NO TRANSLATION
eek	eek
eel	केळी
eerie	भितीदायक
effect	परिणाम
effective	प्रभावी
effectiveness	परिणामकारकता
effects	परिणाम
effectual	परिणामकारक
effectually	परिणामस्वरूप
effectuate	परिणामकारक
effeminate	उग्र
efficacious	परिणामकारक
efficacy	परिणामकारकता
efficiency	कार्यक्षमता
efficient	कार्यक्षम
effigy	प्रतिमा
effort	प्रयत्न
effortless	सहजतेने
effusion	फुप्फुस
effyou	NO TRANSLATION
egg	अंडी
egghead	अंडदाहेतू
eggnog	एग्निग
eggplant	वांगं
eggshell	अंडरहेल्ड
ego	अहंकार
egomaniac	egomaniac
egotistical	अहंकारी
egregious	प्रख्यात
egress	बाहेर जा
eight	आठ
eighteen	अठरा
eighth	आठवा
eighty	अस्सी
ejaculate	एकदम बोलणे
ejaculation	स्खलन
eject	बाहेर काढा
ejection	बाहेर घालवणे
elaborate	विस्तृत
elaboration	चैतन्य
elan	NO TRANSLATION
elapse	निघून जाणे
elapsed	निघून गेले
elastic	लवचिक
elasticity	लवचिकता
elated	आनंदित
elation	उत्साह
elbow	कोपर
eld	जुडी
elder	मोठा
elderly	वृद्ध
elders	वडील
eldest	ज्येष्ठ
elect	निवडून
election	निवडणूक
elective	पर्यायी
elector	मतदार
electoral	निवडणूक
electorate	मतदार
electric	विद्युत
electric slide	विद्युत स्लाइड
electrical	विद्युत
electrician	विद्युतशास्त्रज्ञ
electricity	वीज
electrify	विद्युतीकरण
electrocute	विद्युतक्रिया
electrocution	विद्युतचुंबकीय
electromagnetic	विद्युतचुंबकीय
electron	इलेक्ट्रॉन
electronic	इलेक्ट्रॉनिक
electronics	इलेक्ट्रॉनिक्स
elegance	अभिजात
elegant	मोहक
element	घटक
elemental	मूलभूत
elementary	प्राथमिक
elements	घटक
elephant	हत्ती
elevate	चढवणे
elevated	भारदस्त
elevation	उत्थान
elevator	लिफ्ट
eleven	अकरा
eleventh	अकरावा
elf	वनदेवता
elicit	बाहेर काढा
eligible	पात्र
eliminate	दूर करणे
elimination	निर्मूलन
elite	एलिट
elitist	एलिटिस्ट
elixir	अमृत
elk	एल्क
ell	एले
ellipse	अंडाकृती
ellipsis	लंबवर्तूळ
ellipsoid	दीर्घवृत्त
elliptic	लंबवर्तूळकार
elliptical	लंबवर्तूळकार
elm	एल्म
elongate	लांब
elongation	विस्तार
elope	पळा
eloquence	वाक्पटुता
eloquent	वक्तृत्वपूर्ण
elucidate	स्पष्ट करा
elucidation	स्पष्टीकरण
elude	टाळा
elusive	चटकन न आठवणारा
emaciated	क्षीण
email	ईमेल
emanate	पुढे येणे
emancipation	मोक्ष
embankment	तटबंदी
embargo	NO TRANSLATION
embark	आरंभ करणे
embarrass	गोंधळ
embarrassed	लज्जास्पद
embarrassing	लाजीरवाणी
embarrassment	गोंधळ
embassy	दूतावास
embattled	गुंतागुंतीत
embed	एम्बेड करा
embellish	सुशोभित करा
embellishment	शोभा
embers	अंगार
embezzlement	अपहार
embezzler	उंदीर
emblem	प्रतीक
emblematic	निधर्मी
embodiment	अवतार
embolism	रक्ताभिसरण
embossed	एम्बॉस्ड
embrace	आलिंगन
embroidered	कशीही कशी आहे
embroidery	भरतकाम
embroiled	गोंधळून
embryo	गर्भ
embryonic	गर्भवती
emcee	इमसी
emerald	पन्ना
emerge	दिसणे
emergence	उदय
emergency	आणीबाणी
emeritus	एमेरिटस
emery	कुरुंदाचा चपळ
emetophobia	एमटोफोबिया
emigrate	परदेशात जाणे
emigration	देशत्याग
eminence	श्रेष्ठता
eminent	ख्यातनाम
eminently	प्रामाणिकपणे
emir	NO TRANSLATION
emissary	दूत
emission	उत्सर्जन
emit	सोडणे
emo	इमोजी
emotion	भावना
emotional	भावनिक
emotive	भावनात्मक
empathic	empathic
empathize	सहानुभूती वाटणे
empathy	सहानुभूती
emperor	सम्राट
emphasis	भर
emphasize	जोर देणे
emphatic	जोरदार
emphysema	शरीरात जंतूची सूज येते
empire	साम्राज्य
empirical	प्रायोगिक
empiricism	अनुभववाद
employ	रोजगार
employee	कर्मचारी
employer	नियोक्ता
employment	रोजगार
emporium	एम्पोरियम
empower	सक्षम
empress	सम्राज्ञी
emptiness	शून्यता
emption	इम्पशन
empty	रिक्त
emu	इमू
emulate	अनुकरण करणे
emulsion	पायमोजा
enable	सक्षम करा
enablement	सक्षमता
enact	नाटकात काम करणे
enactment	कायदा
enamel	मुलामा चढवणे
encampment	तळ
enchant	जादू करणे
enchanted	जादूमय
enchanting	आनंददायक
enchantment	जादू
enchantress	जादूगार
enchilada	enchilada
encircle	घेरणे
encircling	घेरणे
enclave	परकीय मुलखाने वेढलेला प्रदेश
enclose	घेरणे
enclosure	भिंत
encode	सांकेतिक भाषेत बोलणे
encomiastic	NO TRANSLATION
encomium	समालोचन
encompass	घडवून आणणे
encore	NO TRANSLATION
encounter	सामना
encourage	प्रोत्साहित करा
encouraged	प्रोत्साहित
encouragement	प्रोत्साहन
encouraging	उत्साहवर्धक
encroach	अतिक्रमित करणे
encroachment	अतिक्रमण
encrypt	एनक्रिप्ट करा
encryption	एन्क्रिप्शन
encumbrance	भार
encyclopedia	ज्ञानकोश
end	शेवट
end table	समाप्ती सारणी
endanger	धोक्यात आणणे
endangered	चिंताजनक
endangerment	धोक्यात सापडण्याची स्थिती
endearing	प्रेमळ
endeavor	प्रयत्न
ended	संपले
endemic	विशिष्ट ठिकाणी असलेल्या लोकांना होणारा रोग
endgame	एंडगॅम
ending	शेवट
endless	सतत
endocarditis	अंत: स्नायूचा दाह
endorse	समर्थन द्या
endorsement	पृष्ठांकन
endow	बहाल करणे
endowed	संपन्न
endowment	एंडॉवमेंट
endpapers	एंड पेप्स
endpoint	अंत्यबिंदू
endurance	सहनशक्ती
endure	सहन
enduring	टिकाऊ
enema	बस्ती
enemy	शत्रू
energetic	ऊर्जावान
energize	उत्साह देणे
energy	ऊर्जा
enforce	लागू करा
enforcement	अंमलबजावणी
enforcer	मसलत करणारा
engage	गुंतवा
engaged	व्यस्त
engagement	प्रतिबद्धता
engaging	आकर्षक
engender	जन्म देणारा
engine	इंजिन
engineer	अभियंता
engineering	अभियांत्रिकी
engrave	खोदणे
engraved	कोरलेला
engraver	खोदकाम करणारा
engraving	खोदकाम
engrossed	तल्लीन
engrossing	तल्लीन
engulf	झाकणे
enhance	वाढविण्यासाठी
enhancement	वाढ
enigma	कोडे
enigmatic	गूढ
enjoin	आज्ञा देणे
enjoy	आनंद घ्या
enjoyable	आनंददायक
enjoying	आनंद घेत आहात
enjoyment	आनंद
enlarge	मोठा करा
enlarged	विस्तृत
enlargement	वाढ
enlighten	प्रकाश टाकणे
enlightened	प्रबुद्ध
enlightening	ज्ञानोचित
enlightenment	ज्ञान
enlist	नोंदणी करणे
enliven	उत्साही
enmity	शत्रुत्व
ennui	एननोइ
enormity	प्रचंडपणा
enormous	प्रचंड
enormously	प्रचंड
enraged	संतप्त
enrich	समृद्ध करणे
enroll	नावनोंदणी करा
enrollment	नावनोंदणी
ensemble	एकूण
ensign	चिन्ह
enslave	गुलामगिरीतून मुक्त करणे
enslaved	गुलाम
enslavement	गुलामगिरी
ensue	मागोमाग येणे
ensure	सुनिश्चित करा
entail	लादणे
entangled	अडकलेले
entanglement	गुंतागुंत
enter	प्रविष्ट करा
enterprise	उद्यम
enterprising	उद्युक्त
entertain	मनोरंजन करा
entertained	मनोरंजन
entertainer	मनोरंजक
entertaining	मनोरंजक
entertainment	मनोरंजन
enthralled	मंत्रमुग्ध
enthusiasm	उत्साह
enthusiast	उत्साही
enthusiastic	उत्साही
entice	मोहात पाडणे
entire	संपूर्ण
entirety	संपूर्णता
entitle	अधिकारपत्र
entity	अस्तित्व
entomology	कीटकशास्त्र
entourage	परिवार
entrails	अंतर्गंत
entrance	प्रवेशद्वार
entrapment	आतषबाजी
entreat	विनवणी करा
entree	प्रवेशाचा हक्क
entrepreneur	उद्योजक
entrust	सोपवा
entry	नोंद
enumerate	गणना करा
enumeration	गणना
envelope	लिफाफा
envious	मत्सरी
environ	NO TRANSLATION
environment	पर्यावरण
environmental	पर्यावरणविषयक
environs	भोवतालचा प्रदेश
envision	कल्पना करा
envoy	दूत
envy	मत्सर
enzyme	सजीवांच्या शरीरात निर्मार्ण असणे
ephemeral	तात्पुरती
ephemeris	इफेर्मिसिस
epic	महाकाव्य
epidemic	रोगाची साथ
epidermis	बाह्यसदृश
epidural	एपिड्यूरल
epilepsy	अपस्मार
epileptic	अपस्माराचा
epilogue	उपसंहार
epiphany	एपिफेनी
episcopal	एपिस्कोपल
episode	भाग
episodic	प्रासंगिक
epistle	पत्र
epitaph	स्मरणार्थ
epithet	विशेषण
epitome	आकार
epoch	युरोपीय
equal	समान
equality	समता
equalization	समीकरण
equalize	बरोबरी
equalizer	तुल्यकारक
equally	सारखेच
equate	समशीत
equation	समीकरण
equator	विषुववृत्त
equatorial	विषुववृत्तीय
equestrian	घोड्यावर बसलेला
equidistant	समतोल
equilibration	समतोल
equilibrium	समतोल
equip	सज्ज
equipment	उपकरणे
equitable	न्याय्य
equity	इक्विटी
equivalence	समतोलता
equivalent	समतुल्य
equivocal	समवक्षिक
era	युग
eradicate	निर्मूलन करणे
eradication	निर्मूलन
erase	मिटवा
eraser	इरेजर
erasure	खोडणे
ere	NO TRANSLATION
erect	ताठ
erectile	स्थापना
erection	इमारत
ergo	NO TRANSLATION
erode	झिजवणे
erosion	धूप
erotic	कामुक
erotica	एरोटिका
err	चूक करणे
errand	मार्ग
errant	चुकीचा समज
erratic	अनियमित
erratum	erratum
erroneous	चुकीचा
error	त्रुटी
erst	NO TRANSLATION
erudite	विद्वान
erupt	स्फोट होणे
eruption	उद्रेक
escalade	एस्केलेड
escalate	उत्तरोत्तर वाढत जाणे
escalating	एस्कॅलेटिंग
escalation	वृद्धी
escalator	एस्केलेटर
escape	निसटणे
escaped	पळून
escarpment	उतार
eschew	टाळा
escort	एस्कॉर्ट
escrow	एस्क्रो
esophagus	अन्ननलिका
esoteric	गूढ
especial	NO TRANSLATION
espionage	हेरगिरी
espouse	स्वीकारणे
espresso	एस्प्रेसो
esprit	एस्प्रिट
esquire	स्क्वेअर
essay	निबंध
essayist	निबंधकार
essence	सार
essential	अत्यावश्यक
essentially	मूलत:
establish	स्थापन करा
established	स्थापित
establishment	आस्थापना
estate	इस्टेट
esteem	आदर
esteemed	आदरणीय
esthetic	मूल्यमापन
estimable	वाजवी
estimate	अंदाज
estimation	अंदाज
estoppel	इस्टॉपेल
estranged	विलोभन
estrogen	एस्ट्रोजन
estuary	मुता नदी
etch	खोदणे
etching	कोरीव काम
eternal	अनंत
eternity	अनंतकाळ
ethanol	इथेनॉल
ether	ईथर
ethereal	अलौकिक
ethic	नीतिविषयक
ethical	नैतिक
ethics	नैतिकता
ethnic	पारंपारीक
ethnography	मानववंशशास्त्र
etiology	एटियलजि
etiquette	शिष्टाचार
etymology	व्युत्पत्ती
eucalyptus	युकलिप्टस
euchre	युच्रे
eugenics	युजनिक्स
eulogistic	प्रशंसात्मक
eulogium	इलोगियम
eulogize	प्रशंसा करणे
eulogy	स्तवन
euphemism	युरोपिर्मेल
euphoria	अत्यानंदाची अवस्था
euphoric	जबरदस्त
euro	युरो
euthanasia	सुखाचे मरण
evacuate	रिकामा करणे
evacuation	निर्वासन
evade	टाळणे
evaluate	मूल्यांकन करा
evaluation	मूल्यमापन
evanescence	अदर्शन
evangelical	ख्रिश्चन धर्मतत्वावांवर आधारलेले
evangelist	लेखक
evangelistic	शुभवार्ताउपदेशकासंबंधी
evaporate	बाष्पीभवन
evaporation	बाष्पीभवन
evasion	चोरी
evasive	उडवाउडवीचे
eve	पूर्वसंध्येला
evening	संध्याकाळी
evens	NO TRANSLATION
event	कार्यक्रम
eventful	महत्त्वपूर्ण
eventual	अंतिम
eventuality	संभाव्यता
evergreen	सदाहरित
everlasting	सार्वकालिक
evermore	नेहमीपेक्षा
everyday	रोज
everyman	प्रत्येक माणूस
evict	बेदखल करणे
eviction	निष्कासन
evidence	पुरावा
evident	स्पष्ट
evidentiary	पुरावा
evil	वाईट
evoke	उत्सुक
evolution	उत्क्रांती
evolutionary	उत्क्रांतीवादी
evolve	विकसित
ewe	ईव
ex	माजी
exacerbate	चीड वाढवणे
exacerbation	तीव्रता
exact	अचूक
exacting	कडक
exaggerate	अतिशयोक्ती
exaggerated	अतिशयोक्तीपूर्ण
exaggeration	अतिशयोक्ती
exalt	उंच
exaltation	अत्यानंद
exalted	उदार
exam	परीक्षा
examination	परीक्षा
examine	परीक्षण
examiner	परीक्षक
example	उदाहरण
exasperated	प्रक्षोभित
exasperation	प्रक्षोभ
excavate	उत्खनन
excavation	उत्खनन
excavator	खोदणारा
exceed	जास्त
exceeding	जास्त
excel	एक्सेल
excellence	उत्कृष्टता
excellent	उत्कृष्ट
excelsior	एक्सेलसियर
excepting	वगळता
exception	अपवाद
exceptional	अपवादात्मक
excerpt	उतारा
excess	अतिरीक्त
excessive	जास्त
excessively	अतिशय
exchange	विनिमय
excise	अबकारी करा
excision	उतारा
excitability	उत्तेजितपणा
excitable	उत्तेजक
excitation	उत्तेजितपणा
excite	उत्तेजित
excited	उत्साहित
excitement	खळबळ
exciting	रोमांचक
exclaim	उदगार
exclamation	उद्गार
exclude	वगळा
excluded	वगळलेले
excluding	वगळून
exclusion	बहिष्कार
exclusive	अनन्य
excrement	विष्ठा
excretion	उत्सर्जन
excruciating	अत्यंत तीव्र
excursion	सफर
excuse	माफ करा
exec	exec
execute	अंमलात आणा
execution	अंमलबजावणी
executioner	फालावाला
executive	कार्यकारी
executor	निष्पादक
exegesis	exegesis
exemplar	उदाहरण
exemplary	अनुकरणीय
exemplify	उदाहरणादाखल करा
exempt	मुक्त
exemption	सूट
exercise	व्यायाम
exert	व्यायाम करा
exertion	प्रयत्न
exhale	श्वास सोडणे
exhaust	विहिर रिकामी करणे
exhausted	संपत
exhaustion	संपुष्टात येणे
exhaustive	संपूर्ण
exhibit	प्रदर्शन
exhibition	प्रदर्शन
exhilarated	आनंददायक
exhilarating	आनंददायक
exhilaration	उल्हास
exhort	उपदेश करणे
exhortation	उपदेश
exhumation	शुभारंभ
exhume	उकळणे
exigent	NO TRANSLATION
exile	हद्दपारी
exist	अस्तित्वात
existence	अस्तित्व
existent	विद्यमान
existential	अस्तीत्वसंबंधी
existing	विद्यमान
exit	बाहेर जा
exodus	निर्गम
exonerate	निर्दोष मुक्त
exorbitant	बेजबाबदार
exorcism	भूत भगवती
exorcist	ओव्हलसिस्ट
exotic	विदेशी
expand	विस्तृत करा
expanded	विस्तारीत
expanse	विस्तार
expansion	विस्तार
expansive	प्रशस्त
expatriate	प्रवासी
expect	अपेक्षा
expectance	अपेक्षा
expectancy	अपेणा
expectant	अपेक्षा करणारा
expectation	अपेक्षा
expected	अपेक्षित
expecting	अपेक्षित
expediency	दक्षता
expedient	उपयुक्त
expedite	वेगवान
expedition	मोहीम
expeditious	वेगवान
expel	निष्कासित करा
expendable	उपभोग्य
expenditure	खर्च
expense	खर्च
expenses	खर्च
expensive	महाग
experience	अनुभव
experienced	अनुभवी
experiences	अनुभव
experiment	प्रयोग
experimental	प्रायोगिक
experimentation	प्रयोग
experimenter	प्रयोगकर्ता
expert	तज्ज्ञ
expertise	कौशल्य
expiration	कालबाह्यता
expire	कालबाह्य
expired	कालबाह्य
expiry	कालबाह्य
explain	स्पष्ट करणे
explanation	स्पष्टीकरण
explanatory	स्पष्टीकरणात्मक
expletive	निष्फळ
explication	स्पष्टीकरण
explicit	स्पष्ट
explode	एकदम बाहेर पडणे
exploit	शोषण करणे
exploitation	शोषण
exploration	शोध
exploratory	शोधपूर्ण
explore	अन्वेषण
explorer	एक्सप्लोरर
explosion	स्फोट
explosions	स्फोट
explosive	स्फोटक
expo	एक्सपो
exponent	घातांक
exponential	घातांक
export	निर्यात
exportation	निर्यात
expose	उघड करा
exposed	उघड
exposition	प्रदर्शन
expository	एक्सपोजिटरी
exposure	प्रदर्शनासह
expound	स्पष्ट करा
express	व्यक्त करा
expression	अभिव्यक्ती
expressive	अर्थपूर्ण
expressway	एक्सप्रेसवे
expropriation	हद्दपार
expulsion	हकालपट्टी
exquisite	अति सुंदर
exquisitely	उत्कृष्टपणे
extant	विद्यमान
extend	वाढवणे
extendable	वाढवता येण्याजोगा
extended	विस्तारित
extension	विस्तार
extensive	विस्तृत
extent	मर्यादा
exterior	बाहय
exterminate	संपुष्टात आणणे
extermination	संपुष्टात येणे
exterminator	संहारक
external	बाह्य
externally	बाहेरून
extinct	विलुप्त
extinction	विलुप्त
extinguish	विझवणे
extinguisher	एक्सचेंजर्स
extol	स्तुती करणे
extort	पिळवणुक
extortion	खंडणी
extra	अतिरिक्त
extract	अर्क
extracting	काढणे
extraction	वेचा
extractor	चिमटा
extracurricular	अभ्यासाबाहेर
extradition	प्रत्यर्पण
extrajudicial	न्यायसहाय्य
extramural	बाह्य भाग
extraneous	अप्रत्यक्ष
extraordinaire	विलक्षणपणा
extraordinary	विलक्षण
extraterrestrial	अलौकिक
extravagance	उधळपट्टी
extravagant	अमर्याद
extravaganza	उत्सव
extreme	अत्यंत
extreme anticipation	अत्यंत अपेक्षा
extreme disgust	अत्यंत तिरस्कार
extreme surprise	अत्यंत आश्चर्यचकित
extreme trust	अत्यंत विश्वास
extremely	अत्यंत
extremely negative	अत्यंत नकारात्मक
extremely positive	अतिशय सकारात्मक
extremity	अंतरावर
extricate	सोडविणे
extrinsic	बाहय
extrusion	हकालपट्टी
exuberance	विपुलता
exude	पाझरणे
eye	डोळा
eyeball	डोबाबॉल
eyebrow	भुवया
eyeful	लक्षवेधी
eyeglass	चष्मा
eyeglasses	चष्मा
eyelash	पापणीचे केस
eyelet	लहान तुकडा
eyeliner	काजळ
eyepiece	ऐपिस
eyes	डोळे
eyesight	दृष्टी
eyewitness	प्रत्यक्षदर्शी
fab	फॅब
fable	दंतकथा
fabled	fabled
fabric	फॅब्रिक
fabricate	घडवून आणणे
fabricated	बनावट
fabrication	बनावट
fabulous	उत्कृष्ट
facade	दर्शनी भिंत
face	चेहरा
faceless	चेहरा नसलेला
facet	स्वरूप
facial	चेहर्याचा
facile	NO TRANSLATION
facilitate	सुविधा
facility	सुविधा
facing	तोंड
facsimile	प्रतिकृती
fact	खरं
faction	गट
factor	घटक
factory	कारखाना
facts	तथ्ये
factual	वास्तविक
faculties	क्षमता
faculty	विद्याशाखा
fad	लहर
fade	बांकुटणे
faded	अस्पष्ट
faeces	विष्ठा
fag	फॅग
faggot	फॅगॉट
fail	अपयशी
failing	अपयश
failure	अपयश
fain	NO TRANSLATION
faint	अस्वस्थ
fainting	बेहोशी
fair	गोरा
fairly	प्रामाणिकपणाने
fairness	सौंदर्य
fairway	फेअरवे
fairy	परीकथा
faith	विश्वास
faithful	विश्वासू
faithfulness	विश्वासूपणा
faithless	अविश्वासू
fake	बनावट
faker	फिकट
falafel	फालाफील
falcon	बाज़न
fall	पडणे
fallacious	चुकीचा
fallacy	चुकीची कल्पना
fallback	फॉलबॅक
fallible	दोषरहित
falling	घसरण
fallopian	फेलोपियन
fallout	फॉलआउट
fallow	सुसंस्कृत नसलेले
false	खोटे
falsehood	खोटेपणा
falsely	खोटे
falsification	बनावट
falsified	खोटे
falsify	खोटेपणा
falsity	खोटेपणा
falter	अडखळणे
fame	प्रसिद्धी
famed	प्रसिद्ध
familiar	परिचित
familiarity	ओळख
familiarize	परिचित
family	कुटुंब
familytime	कौटुंबिक वेळ
famine	दुष्काळ
famished	उपासमार
famous	प्रसिद्ध
famously	प्रसिद्धपणे
fan	पंखा
fanatic	कडवट
fanatical	कट्टरपंथी
fanaticism	कट्टरता
fanciful	काल्पनिक
fancy	फॅन्सी
fandango	फाँडेंगो
fanfare	धूमकेतू
fang	NO TRANSLATION
fangs	फणस
fanning	फॅनिंग
fantasia	कल्पना
fantasize	कल्पना करा
fantastic	विलक्षण
fantasy	कल्पनारम्य
faraway	खूप दुर
farce	प्रखर
farcical	हतबल
fare	भाडे
farewell	निरोप
farm	शेत
farmer	शेतकरी
farmhouse	फार्महाऊस
farming	शेती
farmland	शेतजमीन
faro	फॅरो
fart	वाळीत टाकणे
farther	पुढे
fascia	fascia
fascinate	मोहित
fascinated	मोहिनी
fascinating	आकर्षक
fascination	मोहिनी
fascism	फॅसिझम
fascist	फॅसिस्ट
fashion	फॅशन
fashionable	फॅशनेबल
fastball	फास्टबॉल
fasten	बांधणे
fastener	बांधकाम करणारा
fastening	बद्ध करणे
fasting	उपवास
fat	चरबी
fatal	घातक
fatalism	प्राक्तनवाद
fatality	अपघात
fate	प्राक्तन
fated	नशीबवान
fateful	प्राणहरु
fathead	फाटके
father	वडील
fatherhood	वडीलत्व
fatherland	पितृभूमी
fatherly	पित्याचे
fathom	कल्पना
fatigue	थकवा
fatigued	थकल्यासारखे
fatso	चरबी
fatten	पुष्ट
fatty	फॅटी
faucet	नळ
fault	दोष
faultless	निर्दोष
faulty	सदोष
faun	कुटुंब
fauna	जीवजंतू
faux	खोटं
favor	अनुग्रह
favorable	अनुकूल
favorite	आवडता
favoriteholiday	NO TRANSLATION
favoritism	पक्षपातीपणा
fawn	फिकट
fax	फॅक्स
faze	NO TRANSLATION
fear	भीती
feared	भीती वाटली
fearful	भयावह
fearfully	भयभीतपणे
fearing	भीती वाटायला लागली
fearless	निर्भय
fears	भीती
fearsome	भयानक
feasibility	व्यवहार्यता
feasible	व्यवहार्य
feast	मेजवानी
feat	पराक्रम
feather	पंख
feathered	पीसलेला
feature	वैशिष्ट्य
features	वैशिष्ट्ये
febrile	फॉब्ररि
fecal	fecal
feces	विष्ठा
fecundity	सुपीकपणा
fed	फेड
federal	फेडरल
federation	फेडरेशन
fedup	NO TRANSLATION
fee	शुल्क
feeble	अशक्त
feed	अन्न देणे
feedback	अभिप्राय
feeder	फीडर
feel	अनुभव
feelgood	छान वाटते
feeling	भावना
feelingdown	NO TRANSLATION
feelinggood	NO TRANSLATION
feet	पाय
feign	खोटे बोलणे
feigned	खूशी
feisty	चिडखोर
felicity	उत्कृष्टता
feline	मांजरीचे खोरे
fell	पडले
feller	फेलर
fellow	मित्र
fellowship	फेलोशिप
felon	गंभीर गुन्हा
felony	गंभीर गुन्हा
felt	वाटले
female	महिला
feminine	नाजूक
femininity	स्त्रीत्व
feminism	स्त्रीत्व
feminist	स्त्रीवादी
femme	NO TRANSLATION
femoral	मांडीचे हाड
femur	मांडीचे हाड
fen	NO TRANSLATION
fence	कुंपण
fenced	कुंपण
fencing	कुंपण
fend	दूर ठेवणे
fender	ढोंगी
fennel	एका जातीची बडीशेप
ferment	आंबणे
fermentation	आंबायला ठेवा
fern	फर्न
ferocious	क्रूर
ferocity	क्रूरता
ferret	प्रयत्नपूर्वक शोधून काढणे
ferry	फेरी
ferryboat	NO TRANSLATION
fertile	सुपीक
fertility	कस
fertilize	सुपिकता
fertilizer	खत
fervent	उत्साही
fervor	आवेश
fess	फेशन
fest	उत्सव
festival	उत्सव
festive	उत्सवाचा
fetal	गर्भासंबंधी
fetch	प्राप्त करा
fete	NO TRANSLATION
fetish	बधिरांसाठी
fetus	गर्भ
feud	भांडण
feudal	सरंजामशाही
feudalism	सरंजामशाही
fever	ताप
feverish	तापदायक
fiancee	NO TRANSLATION
fiasco	फज्जा
fiat	फेआट
fib	फाफ
fiber	फायबर
fiberglass	फायबरग्लास
fibrosis	फायब्रोसिस
fibrous	तंतुमय
fickle	चंचल
fiction	कल्पनारम्य
fictional	काल्पनिक
fictitious	काल्पनिक
fiddle	व्हायोलिन
fiddler	बुरसटलेल्या विचारांची खोली
fidelity	निष्ठा
fidgety	अस्वस्थता
