Word	bs
come	Dori
comeback	vrati se
comedian	komičar
comedy	komedija
comet	kometa
comfort	udobnost
comfortable	udobno
comforter	udoban
comforting	ugodno
comfy	udoban
comic	strip
comical	komično
comics	stripove
coming	dolaze
comma	zapona
command	komandu
commandant	komandant
commandeer	komandir
commander	komandant
commanding	komandovanje
commandment	zapovest
commando	komando
commemorate	komemoracija
commemoration	komemoracija
commemorative	komemorativni
commence	započeti
commend	pohvaliti
commendable	pohvalno
commendation	pohvale
commensurate	srazmerno
comment	komentar
commentary	komentar
commentator	komentator
commerce	trgovina
commercial	komercijalno
commie	commie
commissary	komesara
commission	provizija
commissioner	komesara
commit	počiniti
commitment	posvećenost
committal	obaveza
committed	posvećeno
committee	odbor
commodity	roba
commodore	commodore
common	često
commoner	obično
commonly	obično
commonplace	obično
commons	commons
commonwealth	Commonwealth
commotion	gušenje
communal	komunalni
commune	komuna
communicable	prenosiva
communicate	komuniciraju
communication	komunikacija
communicative	komunikativan
communicator	komunikator
communion	zajedništvo
communism	komunizam
communist	komunista
community	zajednica
commutation	komutacija
commutative	komutativan
commute	komutirati
commuter	putnički
comp	comp
compact	kompaktan
compaction	zbijanje
compactness	kompaktnost
companion	pratilac
companionless	bez pratnje
companionship	druženje
company	kompanija
comparable	uporediv
comparative	komparativna
comparatively	relativno
compare	uporedite
comparison	poređenje
compartment	odeljak
compass	kompas
compassion	saosećanje
compassionate	saosećajna
compatibility	kompatibilnost
compatible	kompatibilan
compel	prisiliti
compelled	prisiljeno
compelling	upečatljiv
compendium	compendium
compensate	nadoknaditi
compensation	kompenzacija
compensatory	kompenzacijska
compete	takmičiti se
competence	kompetentnost
competency	kompetentnost
competent	kompetentan
competition	konkurencija
competitive	konkurentan
competitor	takmičar
compilation	kompilacija
compile	kompilirati
complacency	samozadovoljstvo
complacent	samozadovoljan
complain	žalite se
complaint	žalba
complement	komplement
complementary	komplementarno
complete	kompletno
completed	završeno
completely	potpuno
completeness	potpunost
completing	završava
completion	završetak
complex	kompleks
complexed	kompleksno
complexion	ten
complexity	složenost
compliance	usklađenost
compliant	kompatibilan
complicate	kompliciram
complicated	komplikovano
complication	komplikacija
complicity	saučesništvo
compliment	NO TRANSLATION
complimentary	besplatan
comply	poštovati
complying	usklađivanje
compo	compo
component	komponenta
compose	compose
composed	sastavljen
composer	kompozitor
composite	kompozitni
composition	kompozicija
compost	kompost
composure	smirenost
compound	compound
comprehend	shvatiti
comprehension	razumijevanje
comprehensive	sveobuhvatan
compress	kompresovati
compressed	komprimovan
compressible	kompresibilan
compression	kompresija
compressor	kompresor
comprise	obuhvataju
compromise	kompromis
comptroller	kompjuter
compulsion	prisiljavanje
compulsive	kompulsivno
compulsory	obavezno
computable	računajući
computation	računanje
compute	izračunati
computer	kompjuter
computerized	kompjuterizovan
computing	računarstvo
comrade	drugar
con	NO TRANSLATION
concatenation	koncenatacija
concave	konkavno
conceal	sakriti
concealed	skriven
concealment	prikrivanje
concede	priznajem
conceit	konceit
conceited	zamišljeno
conceivable	zamislivo
conceive	zamišljam
concentrate	koncentrirati
concentration	koncentracija
concentric	koncentrično
concept	koncept
conception	koncepcija
concern	zabrinutost
concerned	zabrinuti
concert	koncert
concerto	koncert
concession	koncesija
concessional	koncesija
conch	conch
concierge	koncierge
conciliation	pomirenje
concise	koncizan
conclave	conclave
conclude	zaključiti
concluding	zaključivanje
conclusion	zaključak
conclusive	odlučno
concoction	izmišljotina
concomitant	istovremeno
concord	concord
concordance	usklađenost
concours	NO TRANSLATION
concourse	Konkurs
concrete	beton
concubine	concubine
concur	concur
concurrence	saglasnost
concurrent	istovremeni
concurring	istovremeno
concussion	potres mozga
condemn	osuditi
condemnation	osuda
condensation	kondenzacija
condensed	kondenzovan
condescending	pošteno
condescension	poniženje
condiment	otpad
condition	stanje
conditional	uslovno
conditionally	uslovno
conditioned	klimatizovan
conditioner	kondicioner
conditioning	conditioning
conditions	uslovi
condo	condo
condolence	saučešće
condolences	saučešća
condom	kondom
condone	oprostite
condor	condor
conducive	pogodno
conduct	ponašanje
conduction	provodljivost
conductivity	provodljivost
conductor	dirigent
conduit	cijev
cone	kornet
confederacy	konfederacija
confederate	konfederac
confederation	konfederacija
confer	savet
conference	konferencija
confess	priznajem
confession	priznanje
confessional	confessional
confessions	priznanja
confetti	konfeti
confidant	povjerenik
confide	povjeri
confidence	samopouzdanje
confident	samouveren
confidential	poverljivo
confidentiality	povjerljivost
confidentially	NO TRANSLATION
configuration	konfiguracija
confine	ograniči
confined	ograničeno
confinement	zatvaranje
confines	ograničava se
confirm	potvrdite
confirmation	potvrda
confirmatory	potvrda
confirmed	potvrđeno
confiscate	konfiskovati
confiscation	konfiskacija
conflagration	požara
conflict	konflikt
conflicting	konfliktna
confluence	ušće
conform	u skladu
conformance	usklađenost
conformation	NO TRANSLATION
conformity	udobnost
confound	konfuzan
confounded	zbunjen
confront	suočiti se
confrontation	konfrontacija
confuse	zbunjuju
confused	zbunjen
confusing	zbunjujuće
confusion	konfuzija
conga	conga
congenial	srodni
congenital	urođeni
congestion	zagušenje
conglomerate	konglomerat
conglomeration	konglomeracija
congrats	congrats
congratulate	čestitam
congratulation	čestitam
congratulations	čestitam
congratulatory	čestitam
congregate	okupiti
congregation	skupštine
congress	kongres
congressional	kongresni
congressman	congressman
congruence	kongruencija
conic	konus
conical	konusno
conjecture	pretpostavka
conjugal	konjugalan
conjugate	konjugat
conjugation	konjugacija
conjunction	konjunkcija
conjunctive	konjunktivno
conjure	konjure
conjuring	konjure
conk	conk
connect	povežite
connected	povezan
connection	veza
connective	vezivno
connoisseur	poznavalac
conquer	Osvajati
conquering	osvajanje
conqueror	osvajač
conquest	osvajanje
conscience	savesti
conscientious	savesno
conscious	svesna
consciousness	svesnost
conscription	regrutovanje
consecrated	posvećen
consecration	posvećenost
consecutive	uzastopno
consensual	konsenzualno
consensus	konsenzus
consent	saglasnost
consenting	saglasnost
consequence	posledica
consequent	posledično
conservation	konzervacija
conservatism	konzervativizam
conservative	konzervativan
conservatory	konzervatorijum
conserve	konzervirati
consider	razmotrite
considerable	znatan
considerate	pažljivo
consideration	razmatranje
consignee	primaoca
consignment	pošiljka
consist	sastoji se
consistency	doslednost
consistent	konzistentno
consolation	uteha
console	konzola
consoled	utešena
consolidate	konsolidirati
consolidated	konsolidovana
consolidation	konsolidacija
consonant	saglasni
consort	konzorcijum
conspicuous	uočljiv
conspiracy	zavjera
conspirator	zaverenik
conspire	spržite
constable	policajac
constancy	konstantnost
constant	konstantno
constantly	stalno
constellation	konstelacija
consternation	zbunjenost
constipation	konstipacija
constituency	izborna jedinica
constituent	constituent
constituents	sastojci
constitute	predstavljaju
constitution	ustav
constitutional	ustavno
constitutionality	ustavnost
constrain	ograničiti
constrained	ograničena
constraint	ograničenje
construct	konstruisati
construction	izgradnja
constructive	konstruktivan
construe	construe
consul	konzul
consulate	konzulat
consult	konsultujte se
consultant	konsultant
consultation	konsultacije
consume	konzumirati
consumer	potrošač
consuming	konzumirajući
consummate	konzumirati
consummation	konzumacija
consumption	potrošnja
contact	kontakt
contagion	zaraza
contagious	zarazno
contain	sadrže
container	kontejner
containment	zadržavanje
contaminate	kontaminirati
contaminated	kontaminiran
contamination	kontaminacija
contemplate	razmišljaj
contemplation	kontemplacija
contemplative	kontemplativno
contemporaneous	istovremeno
contemporary	savremeni
contempt	prezir
contemptible	zanemarljiv
contemptuous	prezir
contend	tvrde
contender	kandidat
contending	suprotstavlja se
content	sadržaj
contented	zadovoljan
contention	rasprava
contentious	sporno
contentment	zadovoljstvo
contents	sadržaj
contest	takmičenje
contestant	takmičara
context	kontekst
contiguous	susedno
continence	kontinencija
continent	kontinent
continental	kontinentalno
contingency	kontingencija
contingent	kontingent
continual	kontinuirano
continually	kontinuirano
continuance	nastavak
continuation	nastavak
continue	Nastavite
continued	Nastavljeno
continuing	nastavlja
continuity	kontinuitet
continuous	kontinuirano
continuously	kontinuirano
continuum	kontinuum
contour	kontura
contraband	kontraband
contraception	kontracepcija
contract	ugovor
contracted	ugovoreno
contractile	contractile
contracting	ugovaranje
contraction	kontrakcija
contractor	izvođač radova
contradict	kontradiktorno
contradiction	kontradikciju
contradictory	kontradiktorno
contraption	kontraption
contrary	suprotno
contrast	kontrast
contrasted	kontrastan
contravene	u suprotnosti
contravention	kršenje
contribute	doprineti
contribution	doprinos
contributor	doprinosilac
contrite	skriveno
contrition	naklonost
contrived	izmišljeno
control	kontrola
controller	kontroler
controlling	kontrolisanje
controversial	kontroverzan
controversy	kontroverzi
contusion	kontuzija
conundrum	zagrljaj
convalescent	oporavak
convection	konvekcija
convene	sazivati
convenience	pogodnost
conveniences	pogodnosti
convenient	pogodno
convent	manastir
convention	konvencija
conventional	konvencionalno
converge	konvergirati
convergence	konvergencija
convergent	konvergentno
conversant	poznati
conversation	razgovor
conversational	konverzacijski
conversationalist	konverzacijska
converse	obratno
conversing	razgovor
conversion	konverzija
convert	pretvoriti
converted	konvertovan
convertible	konvertibilan
convex	konveksno
convexity	konveksnost
convey	prenosi
conveyance	prenos
conveyancing	prenošenje
convict	osuđenik
conviction	osuda
convince	ubedi
convinced	uveren
convincing	ubedljiv
convocation	saziv
convoluted	zbijen
convolution	konvolucija
convoy	konvoj
coo	coo
cook	kuhati
cookbook	cookbook
cooker	štednjak
cookery	kuhanje
cookie	kolačić
cookies	kolačići
cooking	kuvanje
cookout	cookout
cool	cool
coolant	hladnjak
cooler	hladnjak
cooling	hlađenje
coolness	hladnoća
coon	coon
coop	coop
cooperate	surađivati
cooperating	sarađuju
cooperation	saradnja
cooperative	kooperativan
coordinate	koordinirati
coordination	koordinacija
coordinator	koordinator
cop	policajac
copacetic	NO TRANSLATION
cope	nositi se
copier	kopir
copilot	copilot
coping	kopiranje
copious	obilno
copper	bakar
copter	copter
copy	kopiraj
copycat	copycat
copying	kopiranje
copyright	autorsko pravo
coral	koral
coral snake	koralna zmija
cord	kabl
cordial	srdačan
cordless	bežični
cordon	cordon
corduroy	veštačko
core	core
cork	pluta
corkscrew	listić
corn	kukuruz
cornball	kukuruz
cornbread	kukuruz
cornea	rožnjača
corned	stvorena
corner	ugao
cornerstone	kamen temeljac
cornet	cornet
cornfield	kukuruzno polje
cornflakes	cornflakes
cornice	vijenca
cornstarch	kukuruz
corny	korni
corollary	posledica
corona	korona
coronary	koronarni
coronation	krunisanje
coroner	coroner
corporal	telo
corporate	korporativni
corporation	korporacija
corporeal	telesno
corps	korpus
corpse	leš
corpsman	corpsman
corpus	korpus
corral	koral
correct	tačno
correction	korekcija
correctional	popravni
corrective	korektivni
correctness	ispravnost
correlation	korelacija
correlative	korelativan
correspond	odgovara
correspondence	korespondencija
correspondent	dopisnik
corresponding	odgovara
corridor	koridor
corroborate	potkrepiti
corroboration	potvrda
corrosion	korozija
corrosive	korozivno
corrupt	korumpiran
corrupting	korupcija
corruption	korupcija
corsage	corsage
corse	NO TRANSLATION
corset	korzet
cortex	korteks
cortical	kortikalni
cortisone	kortizon
corvette	corvette
cosmetic	kozmetički
cosmetics	kozmetika
cosmic	kosmički
cosmology	kosmologija
cosmopolitan	kosmopolitski
cosmos	kosmos
cost	trošak
costly	skupo
costume	kostim
cosy	udoban
cot	dječji krevetić
cote	cote
cottage	vikendica
cotton	pamuk
couch	kauč
cougar	cougar
cough	kašalj
council	vijeće
councilman	odbornik
counsel	advokat
counseling	savjetovanje
counsellor	savjetnik
counselor	savjetnik
count	brojanje
countdown	odbrojavanje
countenance	lice
counter	brojač
counteract	protivi
counterattack	kontra napad
counterbalance	counterbalance
counterclaim	protivtužba
counterfeit	falsifikat
counterpart	kolega
counterpoint	kontrapunkt
countess	grofica
countless	bezbroj
country	zemlju
countryman	sunarodnik
countrymusic	NO TRANSLATION
countryside	sela
counts	brojanje
county	županije
coup	državni udar
coupe	kupe
couple	par
coupled	spojeno
coupling	spajanje
coupon	kupon
courage	hrabrost
courageous	hrabro
courier	kurir
courses	kursevi
coursing	coursing
court	sud
courteous	ljubazno
courtesy	ljubazno
courthouse	sudnica
courtroom	sudnica
courts	sudovi
courtship	udvaranje
courtside	na terasi
courtyard	dvorište
cousin	rođaka
cousins	rođaci
cove	zaliv
coven	coven
covenant	savez
cover	poklopac
coverage	pokrivenost
covered	pokriveno
covering	pokrivanje
covert	tajno
covet	želim
coveted	željan
cow	krava
coward	kukavica
cowardice	kukavičluk
cowardly	kukavički
cowboy	kauboj
cowgirl	cowgirl
cowhand	kravlje
cowhide	kravlje
cowl	koktel
coworker	kolega
coy	coy
coyote	coyote
cozy	udoban
crab	rak
crabby	crabby
crack	crack
cracked	puknuti
cracker	kreker
crackerjack	crackerjack
cracking	pucanje
crackle	pukotina
crackpot	crackpot
cradle	kolevka
craft	zanat
crafts	zanatstvo
craftsman	zanatlija
craftsmanship	zanatstvo
crafty	lukav
craig	craig
cram	cram
crammed	zaglavljen
cramp	grč
cramped	teško
cranberry	brusnica
cranberry juice	sok od brusnice
crane	kran
cranial	lobanj
cranium	lobanj
crank	crank
cranky	Čudno
cranny	Cranny
crap	sranje
crappy	crappy
craps	craps
crash	pada
crass	crass
crate	sanduk
crater	krater
crave	žuditi
craving	žudnja
crawfish	crawfish
crawl	puzi
crayon	bojica
crayons	bojice
craze	luda
crazed	crazed
craziness	ludost
crazy	lud
creak	škripac
creaking	creaking
cream	krem
creamed	creamed
creamer	pavlaka
creamy	kremasto
crease	crease
create	stvoriti
creation	kreacija
creative	kreativan
creativity	kreativnost
creator	tvorac
creature	stvorenje
credence	vjernost
credential	akreditiv
credentials	akreditacije
credibility	kredibilitet
credible	kredibilan
credit	kredit
credit card	kreditna kartica
creditable	NO TRANSLATION
credited	kreditiran
crediting	kreditiranje
creditor	poverilac
creed	vjerovanje
creek	potok
creep	lupanje
creeper	creeper
creeping	plakanje
creepy	jezivo
cremation	kremiranje
creole	creole
crepe	krep
crescendo	crescendo
crescent	polumjesec
crest	greben
crestfallen	crestfallen
cretin	cretin
cretins	kreteni
crevice	pukotina
crew	posada
crewman	posada
crib	krevetac
cricket	kriket
cried	plakao
crime	kriminal
criminal	kriminalac
criminality	kriminalitet
crimp	crimp
crimson	crimson
cringe	cringe
cripple	omalovažava
crippled	pohabljen
crippling	oštećivanje
crisis	kriza
crisp	oštar
crispy	hrustljav
criterion	kriterijum
critic	kritičar
critical	kritično
criticise	kritikovati
criticism	kritike
criticize	kritikovati
criticized	kritikovana
critique	kritike
critter	critter
croak	croak
croc	krokodil
crock	crock
crockery	posuđe
crocodile	krokodil
croft	croft
croissant	kroasan
crook	krik
crooked	krio
crop	rezati
croquet	kriket
cross	krst
cross country	cross country
crossbow	jedrenjak
crossed	prešao
crossfire	crossfire
crossing	prelazak
crossover	crossover
crosswalk	crosswalk
crossword	crossword
crotch	kornjače
crouch	crouch
crouched	skriven
crouching	kukanje
croupier	croupier
crow	vrana
crowbar	crowbar
crowd	gomilu
crowded	gužva
crowds	gužve
crown	krunu
crowning	krunisanje
crucial	odlučujuče
cruciate	cruciate
crucifix	Raspeće
crucifixion	raspeće
crucify	crucify
crud	crud
crude	sirovo
cruel	okrutno
cruelly	okrutno
cruelty	okrutnost
cruise	krstarenje
cruise ship	kruzer
cruiser	krstarica
cruising	krstarenje
crumb	mrvica
crumble	srušiti se
crumbling	raspadaju
crummy	gnjev
crunch	krckanje
crunchy	hrustljav
crusade	krstaša
crusader	crusader
crush	crush
crushed	srušeno
crusher	drobilica
crushing	drobljenje
crust	kora
crusty	crusty
crutch	štapić
crux	crux
cry	plač
crybaby	plačljivko
crying	plakanje
crypt	kript
cryptic	kriptično
cryptography	kriptografija
crystal	kristal
crystalline	kristalno
crystallization	kristalizacija
cub	cub
cubby	cubby
cube	kocka
cubic	kubni
cubicle	kabineta
cuckold	rogonja
cuckoo	kukavica
cucumber	krastavac
cuddle	mazim se
cuddled	zbunjen
cuddles	cuddles
cuddling	cuddling
cue	cue
cuff	manžeta
cuisine	kuhinje
culinary	kulinarski
cull	izbaciti
culminate	kulminirati
culmination	kulminacija
culpability	krivica
culpable	krivac
culprit	krivac
cult	kult
cultivate	kultivisati
cultivated	kultivisano
cultivation	uzgoj
cultural	kulturno
culture	kultura
cultured	kultivisan
culvert	propust
cumbersome	glomazno
cumulus	cumulus
cunning	lukav
cunt	pizda
cup	šolja
cupboard	kredenac
cupcake	cupcake
cupping	cupping
cur	cur
curable	otvrdnjavanje
curate	curate
curative	kurativni
curator	kustos
curb	ivičnjak
curd	curd
cure	lek
curfew	policijski čas
curiosity	radoznalost
curious	radoznao
curl	curl
curling	curling
currency	valuta
current	struja
curriculum	kurikulum
curry	curry
curse	prokletstvo
cursed	proklet
cursing	psovanje
cursory	površno
curt	curt
curtail	skratiti
curtailment	ograničenje
curtain	zavesa
curtains	zavese
curtsy	curtsy
curvature	ukrivljenost
curve	kriva
curved	zakrivljeni
curvilinear	curvilinear
cushion	jastuk
cushy	cushy
cusp	kusp
cuss	šupak
cussed	cussed
custard	mast
custodial	starateljstvo
custodian	čuvar
custody	starateljstvo
custom	obično
customary	obično
customer	kupac
customized	prilagođeni
cut	cut
cutaneous	kutano
cute	slatko
cuticle	kutikule
cutie	cutie
cutlass	cutlass
cutlery	pribor za jelo
cutoff	cutoff
cutter	sekač
cutters	sekači
cutthroat	razbojnik
cutting	sečenje
cutting board	daska za rezanje
cuttings	sečnice
cwt	cwt
cyanide	cijanid
cyberspace	cyberspace
cycle	ciklus
cyclical	ciklični
cyclist	bicikliste
cyclone	ciklon
cylinder	cilindar
cylindrical	cilindrično
cymbal	činela
cynic	cinik
cynical	cinična
cynicism	cinizam
cyst	cista
cystic	cistična
cytomegalovirus	citomegalovirus
cytoplasm	citoplazma
czar	car
dab	dab
dabble	dabble
dabbling	dabbling
dad	tata
daddy	tata
dado	NO TRANSLATION
daemon	daemon
daft	daft
dagger	bodež
daily	dnevno
dainty	dainty
daiquiri	daiquiri
dairy	mlekara
daisy	tratinčica
dak	NO TRANSLATION
dale	Dale
dam	brana
damage	šteta
damaged	oštećeno
damages	štete
dame	dame
damn	Prokletstvo
damnation	prokletstvo
damned	prokleto
damp	vlažno
dampened	ošamućen
damper	damper
damsel	damce
dance	ples
dancer	plesačica
dancing	plesanja
dandruff	perut
dandy	dandy
danger	opasnost
dangerous	opasno
dangerously	opasno
dangit	NO TRANSLATION
dangle	dangle
dank	NO TRANSLATION
dapper	Dapper
dare	smijeh
daredevil	daredevil
daresay	daresay
daring	drsko
dark	tamno
darken	tamni
darkened	zatamnjen
darkly	mračno
darkness	tama
darkroom	tamna soba
darkside	tamna strana
darling	dragi
darn	darn
dart	strelica
dash	dash
dashboard	dashboard
dashed	pucao
dashing	dashing
dastardly	kasno
data	podaci
database	baze podataka
date	datum
datenight	NO TRANSLATION
daughter	ćerka
dawdle	dahdle
dawn	zoru
dawned	zaveo
day	dan
daybreak	divljač
daycare	dnevni boravak
daydream	sanjarenje
daydreaming	sanjarenje
daylight	dnevno svetlo
daymade	NO TRANSLATION
dayoff	NO TRANSLATION
daytime	dnevno
daze	daze
dazed	daje
dazzle	zaslepljuju
dazzling	zaslepljujuće
deacon	dijakon
deactivate	deaktivirati
dead	smrt
deadbeat	deadbeat
deadline	rok
deadlines	rokovi
deadlock	zastoja
deadly	smrtonosno
deaf	gluv
deafening	zaglušujući
deafness	gluvoća
deal	dogovoriti
dealer	diler
dealership	predstavništvo
dealing	bavljenje
dealings	poslove
dean	dekan
dear	draga
dearest	najdraži
dearth	nedostatak
death	smrt
deathbed	deathbed
deathly	smrtno
debacle	debakl
debased	demages
debatable	diskutabilno
debate	debata
debauchery	debauchery
debenture	zaduženje
debilitating	debilitating
debit	zaduživanje
debrief	debrief
debriefing	debriefing
debris	ostaci
debt	dug
debtor	dužnik
debut	debi
debutante	debutante
decade	decenija
decadence	dekadencija
decadent	dekadentan
decaf	decaf
decanter	decanter
decathlon	dekatlon
decay	propadanje
decayed	raspadan
decaying	raspadanje
deceased	preminuo
decedent	odlazi
deceit	prevara
deceitful	lažni
deceive	prevariti
deceived	prevareni
deceiving	prevara
december	decembar
decency	pristojnost
decent	pristojan
deception	obmana
deceptive	varljiv
decide	odlučiti
decidedly	odlučno
deciduous	listopad
decimal	decimalno
decimeter	decimetar
decipher	dešifriranje
decision	odluka
decisive	odlučujući
deck	paluba
declaration	deklaracija
declaratory	deklarativno
declare	izjaviti
declination	deklinacija
decline	opadanje
declining	u opadanju
deco	deco
decode	dekodira
decoder	dekoder
decompose	raspadati
decomposed	raspadan
decomposition	razgradnja
decompress	dekomprimirati
decompression	dekompresija
decontamination	dekontaminacija
decor	dekor
decorate	dekorirati
decorating	ukrašavanje
decoration	dekoracija
decorative	ukrasno
decorator	dekorater
decorum	dekor
decoy	mamac
decrease	smanjenje
decreased	smanjen
decreasing	opada
decree	dekret
decrement	smanjenje
decrepit	decrepit
decry	dekri
decryption	dešifrovanje
dedicate	posvetiti
dedication	posvećenost
deduce	deduce
deduct	odbiti
deductible	odbijeno
deduction	odbitak
deed	delo
deejay	deejay
deem	deem
deep	duboko
deepen	produbiti
deer	jelen
defamation	kleveta
defamatory	klevetnički
default	podrazumevano
defeat	poraz
defeated	poražen
defeatist	defeatist
defect	defekt
defection	prevara
defective	defektan
defector	defekt
defend	braniti
defendant	optuženi
defended	odbranio
defender	branitelj
defending	braniti
defense	odbrana
defenseless	bespomoćni
defensible	defensible
defensive	odbrambeni
defer	odložiti
deference	poštovanje
deferral	odlaganje
deferring	odlaganje
defiance	prkos
defiant	prkosno
defibrillator	defibrilator
deficiency	nedostatak
deficient	defektan
deficit	deficit
define	define
defined	definisani
definite	definitivno
definition	definicija
definitive	definitivno
deflate	deflacija
deflation	deflacija
deflect	deflect
deflection	deformacija
defloration	defloracija
deform	deformirati
deformed	deformiran
deformity	deformiteta
defraud	defraud
defray	pokvariti
defrost	odmrzavanje
deft	deft
defunct	neutvrđeni
defuse	defuse
defy	prkositi
degeneracy	degeneracija
degenerate	degeneriše
degeneration	degeneracija
degradation	degradacija
degrade	degradira
degraded	degradiran
degrading	ponižavajuće
degree	stepen
dehydrated	dehidrirano
dehydration	dehidratacija
dejected	pogresno
delay	kašnjenje
delayed	odloženo
delectable	prijatan
delegate	delegat
delegation	delegacija
delete	brisanje
deleterious	štetno
deletion	brisanje
deli	deli
deliberate	namerno
deliberation	razmatranje
deliberative	deliberativni
delicacy	delikatesa
delicate	delikatna
delicatessen	delikatesna
delicious	ukusno
delight	oduševljenje
delighted	oduševljen
delightful	divno
delineate	obeleži
delineation	obelodanjivanje
delinquency	delinkvencija
delinquent	delinkvent
delirious	delirious
delirium	delirium
deliver	isporučiti
deliverance	isporuka
delivery	dostava
dell	dell
delta	delta
delude	izmišljam
deluge	potop
delusion	zabluda
delusional	zabluda
deluxe	deluxe
delve	delve
demand	potražnja
demanding	zahtjevno
demeaned	poniženi
demeaning	ponižavajući
demeanor	ponašanje
demented	dementiran
dementia	demencija
demise	smrt
demo	demo
democracy	demokratija
democrat	demokrat
democratic	demokratski
demographic	demografski
demolish	uništiti
demolished	srušena
demolition	rušenje
demon	demon
demonic	demonski
demonstrable	dokazljiva
demonstrate	demonstrirati
demonstrated	demonstrirano
demonstrating	demonstrira
demonstration	demonstracije
demonstrative	demonstrativno
demonstrator	demonstrator
demoralized	demoralizovan
demos	demos
demure	demure
den	NO TRANSLATION
deniability	ponovljivost
denial	demanti
denied	negiran
denim	denim
denomination	denominacija
denominational	denominational
denominator	imenitelj
denote	označi
denounce	otkazati
dense	gusto
density	gustina
dent	dent
dental	zubar
dentist	zubar
dentistry	stomatologija
dentists	zubari
denunciation	otkazivanje
deny	poriči
denying	poricanje
deodorant	deodorant
depart	odlazi
departed	otišao
department	departman
departmental	departman
departure	odlazak
depend	zavisi
dependable	pouzdan
dependant	ovisno
dependence	zavisnost
dependency	zavisnost
dependent	ovisno
depict	prikazati
depicting	prikazivanje
depletion	trošenje
deplorable	žalosno
deplore	oštro
deploy	razviti
deployment	raspoređivanje
deport	deportovati
deportation	deportacija
depose	odloži
deposit	depozit
depositary	depozitar
deposition	depozicija
depository	depozit
depot	depot
depraved	odvratan
depravity	omalovažavanje
depreciate	depresija
depreciated	amortizovan
depreciation	amortizacija
depress	depresija
depressed	depresivan
depressing	depresivno
depression	depresija
depressive	depresivna
depresson	NO TRANSLATION
deprivation	deprivacija
deprive	lišiti
deprived	lišeno
depth	dubina
deputy	zamjenik
derail	derail
deranged	poremećeni
derelict	napušteni
derision	podmirenje
derivation	derivacija
derivative	derivat
derive	izvoditi
dermal	dermalno
dermatologist	dermatolog
dermatology	dermatologija
derogation	odstupanje
derogatory	ponižavajuće
descend	spusti se
descendant	potomak
descendent	NO TRANSLATION
descending	opadajući
descent	spuštanje
describe	opišite
description	opis
descriptive	deskriptivno
desecrate	desecrate
desecration	skrnavljenje
desert	pustinja
deserted	napušteno
deserter	deserter
desertion	desertion
deserve	zaslužuju
deserved	zasluženo
deserving	zaslužuje
design	dizajn
designate	označiti
designated	određeni
designation	oznaka
designed	dizajniran
designer	dizajner
designing	dizajniranje
desirability	poželjnost
desirable	poželjno
desire	želja
desiring	željno
desirous	poželjno
desist	odustati
desk	stol
desolate	pusta
desolation	pustoš
despair	očaj
despairing	očajanje
despatch	otpremanje
desperado	desperado
desperate	očajnički
desperation	očaj
despicable	odvratan
despise	prezira
despondent	opojni
despotic	despotičan
despotism	despotizam
dessert	desert
destination	odredište
destined	predodređeno
destiny	sudbina
destitute	siromašni
destroy	uništiti
destroyed	uništeno
destroyer	razarač
destroying	uništavajući
destruct	uništiti
destruction	uništenje
destructive	destruktivno
detach	odvojite
detached	odvojeno
detachment	odred
detail	detalj
detailed	detaljno
details	detalji
detain	pritvor
detainee	pritvorenik
detect	detektovati
detectable	detektiv
detection	otkrivanje
detective	detektiv
detector	detektor
detention	pritvor
deter	odvratiti
detergent	deterdžent
deteriorate	pogoršati
deteriorated	pogoršano
deteriorating	pogoršava se
deterioration	pogoršanje
determinable	odrediva
determinate	odrediti
determination	odlučnost
determine	odrediti
determined	određeno
deterrent	odvraćanje
detest	odvratite
detestation	odvratnost
detonate	detonira
detonation	detonacija
detonator	detonator
detour	obilazak
detract	odbaciti
detriment	šteta
detrimental	štetno
detritus	detritus
deuce	deuce
deutschmark	deutschmark
devalued	devalvirano
devastate	pusti
devastated	devastiran
devastating	razarajuće
devastation	pustoš
develop	razviti
developer	developer
developing	razvoj
development	razvoj
deviant	devijantan
deviate	odstupati
deviating	odstupaju
deviation	odstupanje
device	uređaj
devil	đavo
deviled	devil
devilish	đavolski
devious	opijenost
devise	osmisliti
devoid	devoidan
devolution	devolucija
devolve	prenese se
devote	posvetiti
devoted	posvećen
devotee	bhakta
devotion	predanost
devotional	devocionalno
devour	proždri
devout	pobožni
dew	rosa
dexter	dexter
dexterity	spretnost
dextrose	dekstroza
diabetes	dijabetes
diabetic	dijabetičar
diabolical	dijabolično
diagnose	dijagnoza
diagnosis	dijagnoza
diagnostic	dijagnostiku
diagnostics	dijagnostiku
diagonal	dijagonala
diagram	dijagram
dial	dial
dialect	dijalekt
dialectic	dijalektički
dialogue	dijalog
dialysis	dijaliza
diameter	prečnik
diamond	dijamant
diamonds	dijamanti
diaper	pelena
diaphragm	dijafragma
diarrhea	dijareja
diarrhoea	dijareja
diary	dnevnik
diatribe	diatribe
dib	NO TRANSLATION
dibs	dibs
dice	kocke
dicey	dicey
dichotomous	dihotomno
dichotomy	dihotomija
dick	kurac
dickhead	dickhead
dicks	dicks
dictate	diktirati
dictation	diktat
dictator	diktator
dictatorial	diktatorski
dictatorship	diktatura
diction	dikcija
dictionary	dictionary
dictum	NO TRANSLATION
didactic	didaktički
diddle	diddle
die	NO TRANSLATION
died	umro
diesel	dizel
diet	ishrana
dietary	ishrana
