Word	lt
certify	patvirtinu
cervical	gimdos kaklelis
cervix	gimdos kaklelis
cess	cess
cessation	nutraukimas
cesspool	išmetimas
cha cha	NO TRANSLATION
chaff	pelagai
chafing	švaistymas
chagrin	chagrin
chagrined	susižavėjęs
chai	Chai
chain	grandinė
chainsaw	grandininiai pjūklai
chair	kėdė
chairman	pirmininkas
chairperson	pirmininkas
chairwoman	pirmininkė
chaise	treniruotė
chalet	Chalet
chalice	čekis
chalk	kreida
challenge	iššūkis
challenger	varžovas
chamber	kamera
chambermaid	tarnautojas
chambers	kameros
chameleon	chameleonas
champ	čempinas
champagne	šampanas
champion	čempionas
championship	čempionatas
chance	tikimybė
chancellor	kancleris
chandelier	liustra
chandler	Chandler
change	keisti
changeable	kintamas
changed	pasikeitė
changer	keitiklis
changing	keičiasi
channel	kanalas
chant	skanduoti
chaos	chaosas
chaotic	chaotiškas
chap	sek
chapel	koplyčia
chaperon	chaperonas
chaplain	kapelionas
chapman	Chapmanas
chaps	kvailys
chapter	skyrius
char	char
character	charakteris
characteristic	charakteristika
characterize	apibūdinti
charade	šaradas
charcoal	medžio anglis
chardonnay	Chardonnay
charge	mokestis
chargeable	apmokestinamas
charger	įkroviklis
chariot	vežimėlis
charisma	charizma
charismatic	charizmatiškas
charitable	labdaros
charity	labdara
charlatan	charlatanas
charm	žavesio
charmed	susižavėjo
charmer	charmer
charming	žavus
charred	charred
chart	diagrama
charter	užsakomųjų
chartered	užsakyta
chase	Vytis
chased	persekiojo
chaser	chaser
chasm	tresmė
chassis	važiuoklė
chaste	kvaila
chastened	nubaustas
chastisement	bausmė
chastity	lvalumas
chat	pokalbis
chateau	pilis
chatter	pokalbis
chatterbox	girtuoklis
chattering	bangavimas
chatty	pokalbis
chauffeur	vairuotojas
chauvinist	šovinistas
cheap	pigus
cheapened	pigiau
cheapskate	cheapskate
cheat	apgauti
cheater	apgauti
check	patikrinti
checkbook	čekių knyga
checker	tikrintojas
checkered	klastingas
checkers	šaškės
checklist	kontrolinis sąrašas
checkmate	kontrolinis narys
checkout	atsiskaitymas
checkpoint	kontrolinis punktas
checkup	Patikrinti
cheek	skruostas
cheeks	skruostai
cheeky	įžūlus
cheep	pyragas
cheer	nudžiuginti
cheered	pasveikino
cheerful	linksmas
cheerfulness	linksmas
cheering	linksmas
cheerleader	cheerleader
cheerleading	cheerleading
cheerless	linksmas
cheers	sveikinimai
cheery	linksmas
cheese	sūris
cheeseburger	cheeseburger
cheesecake	sūrio pyragas
cheesy	sūrio
cheetah	Gepardas
chef	virėjas
chemical	cheminė medžiaga
chemise	NO TRANSLATION
chemist	chemikas
chemistry	chemija
chemo	chemija
chemotherapy	chemoterapija
cheque	patikrinti
cherish	puoselėti
cherishing	puoselėjant
cherry	vyšnia
cherub	cherubas
chess	Šachmatai
chest	krūtinė
chestnut	kaštonas
chevron	Chevronas
chew	kramtyti
chewy	kramtyti
chic	prašmatnus
chicane	chicane
chick	viščiukas
chicken	vištiena
chicken pox	vėjaraupiai
chickenpox	vėjaraupiai
chief	vyriausiasis
chiefly	daugiausia
chieftain	vadas
chiffon	šifonas
child	vaikas
childbirth	gimdymas
childhood	vaikystę
childish	vaikiškas
childless	bevaikis
childlike	vaikiškas
childloss	NO TRANSLATION
children	vaikai
chili	čili
chill	atšaldyti
chilled	atšaldyti
chilling	atšaldymas
chilly	šiltas
chime	skambesys
chimera	chimera
chimes	dainos
chimney	kaminas
chimp	šimpanzė
chimpanzee	šimpanzė
chin	smakras
china	Kinija
chinchilla	šinšila
chine	NO TRANSLATION
chinook	Chinook
chip	lustas
chipmunk	burundukas
chipper	smulkintuvas
chipping	skalda
chiropractor	chiropraktikas
chirp	chirp
chirping	skambesys
chisel	chisel
chiseler	kaltininkas
chit	pasidaryk
chitchat	trumpas pašnekesys, papliurpimas
chivalry	riteriai
chloride	chloridas
chlorine	chloras
chloroform	chloroformas
chocolate	šokoladas
choice	pasirinkimas
choir	choras
choke	užspringti
cholera	cholera
cholesterol	cholesterolis
choose	pasirinkti
choosing	pasirenkant
choosy	pasirinktas
chop	supjaustyti
chopper	smulkintuvas
choppers	smulkintuvai
chopping	supjaustyti
chops	kumpiai
choral	choras
chord	akordas
chords	akordai
chore	nuobodi namų ruoša
choreographer	choreografė
choreography	choreografija
chorus	choras
chosen	pasirinkta
chow	Čiau
chowder	berniukas
christ	krikščionis
christen	NO TRANSLATION
christening	krikštynos
christian	krikščionis
christmas	Kalėdos
christmasbreak	NO TRANSLATION
christmaseve	NO TRANSLATION
christmasspirit	NO TRANSLATION
christmassy	christmassy
christmastime	Kalėdų laikas
chromatic	chromatinis
chromatography	chromatografija
chrome	chromas
chromium	chromas
chromosome	chromosoma
chronic	lėtinis
chronicle	kronika
chronograph	chronografas
chronological	chronologinis
chubby	pilnas
chuck	Chuckas
chuckle	siautėti
chug	kačiukas
chum	čum
chummy	chummy
chump	šaknis
chunk	riekė
chunky	kietas
church	bažnyčia
churchyard	šventoriaus
churn	pasipriešinimas
chute	latakas
chutney	Chutney
ciao	ciao
cider	sidras
cigar	cigaras
cigarette	cigarete
cilantro	cilindro
cinch	Cinch
cinder	šlakas
cinema	kinas
cinematic	kino teatras
cinematographer	cinematographer
cinematography	kinematografija
cinnamon	cinamonas
cipher	šifravimas
circle	ratas
circling	sukimasis
circuit	grandinė
circuitry	schema
circular	apskritas
circulate	cirkuliuoti
circulation	apyvarta
circulatory	kraujotaka
circumcision	apipjaustymas
circumference	perimetras
circumferential	perimetrinis
circumscribed	apribota
circumstance	aplinkybė
circumstances	aplinkybes
circumstantial	netiesioginis
circumvent	apeiti
circumvention	vengimas
circus	cirkas
cirque	cirque
cirrhosis	cirozė
cirrus	cirrus
cistern	cisterna
citadel	citadelė
citation	citavimas
cite	citata
citizen	pilietis
citizenship	pilietybė
citrine	citrinas
citrus	citrusiniai vaisiai
city	miestas
citywide	Citywide
civic	pilietinis
civics	pilietiškumas
civil	civilinis
civilian	civilinis
civilians	civiliai gyventojai
civility	malonumas
civilization	civilizacija
civilized	civilizuotas
clad	plakiruoti
claim	pretenzija
claimant	ieškovas
clairvoyant	aiškiaregis
clam	clam
clambake	gobtuvėlis
clammy	drėgnas
clamor	šoktelėti
clamp	gnybtas
clan	klanas
clandestine	slapta
clang	clang
clap	ploti
clapper	drožtuvas
clapping	plakimas
clarification	paaiškinimas
clarify	išsiaiškinti
clarinet	klarnetas
clarion	klarionas
clarity	aiškumas
clash	susidūrimas
clashing	susidūrimas
clasp	užsegimas
class	klasė
classic	klasikinis
classic rock	klasikinis rokas
classical	klasikinis
classics	klasika
classification	klasifikacija
classified	klasifikuojama
classify	klasifikuoti
classmate	klasiokas
classroom	klasė
classy	madingas
clatter	garsas
clause	sąlyga
clauses	išlygos
claustrophobia	klaustrofobija
claustrophobic	klaustrofobinis
clavicle	clavicle
claw	kiškis
claws	nagai
clay	molis
clean	švarus
cleaner	švaresnis
cleaning	valymas
cleanliness	švara
cleanly	švariai
cleanse	valyti
cleanser	valiklis
cleansing	valymas
cleanup	Išvalyti
clear	aišku
clearance	klirensas
clearing	valymas
clearness	aiškumas
cleat	griovelis
cleavage	skilimas
cleave	atsikratyti
cleaver	NO TRANSLATION
clef	clef
cleft	skiltis
clemency	gailestingumas
clench	sutraukti
clergy	dvasininkai
clergyman	dvasininkas
cleric	klerikas
clerical	klerikas
clerk	sekretorius
clerkship	clerkship
clever	protingas
cleverness	protingumas
click	spustelėkite
clicker	clicker
client	klientas
clientele	klientai
cliff	uolos
climate	klimatas
climatology	klimatologija
climax	kulminacija
climb	lipti
climber	alpinistas
clinch	klinchas
cling	klijuoti
clingy	klampumas
clinic	klinika
clinical	klinikinis
clink	clink
clip	klipas
clipboard	iškarpinę
clipper	kirpėjas
clipping	apkarpymas
clique	NO TRANSLATION
clitoris	klitoris
cloak	apsiaustas
cloaking	maskavimas
cloakroom	rūbinė
clobber	clobber
clock	laikrodis
clockwork	laikrodis
clod	clod
clog	užkimšti
cloister	vienuolynas
clone	klonas
cloning	klonavimas
close	Uždaryti
closed	uždaryta
closeness	artimas
closet	spinta
closure	uždarymas
clot	krešulys
cloth	audinys
clothe	apranga
clothes	drabužiai
clothesline	drabužių linija
clothing	apranga
cloud	debesys
clouded	debesuota
cloudiness	debesuotumas
clouds	debesys
cloudy	Debesuota
clout	įtaka
clove	gvazdikėliai
clover	dobilas
cloves	gvazdikėliai
clown	klounas
clowns	klaunai
club	klubas
clubhouse	klubo klubas
clubs	klubai
cluck	cluck
clue	raktas
clueless	Clueless
clump	clump
clumsy	gremėzdiškas
clunk	clunk
cluster	klasteris
clutch	sankaba
clutches	sankabos
clutter	netvarką
coach	treneris
coachman	treneris
coagulation	krešėjimas
coal	anglis
coalesce	susijungia
coalition	koalicija
coarse	šiurkštus
coast	pakrantė
coastal	pakrantės
coaster	coaster
coastline	pakrantė
coat	kailis
coating	danga
coax	prisiminti
cobalt	kobaltas
cobble	bobble
cobbler	cobbler
cobra	kobra
cocaine	kokainas
cock	gaidys
cockamamie	cockamamie
cockeyed	cockeyed
cockpit	kabina
cockroach	tarakonas
cocksucker	cocksucker
cocktail	kokteilis
cocky	pasipūtęs
cocoa	kakava
coconut	kokosas
cocoon	kokonas
cod	menkė
code	kodas
codeine	kodeinas
codex	codex
codfish	menkė
codification	kodifikavimas
codify	kodifikuoti
coding	kodavimas
coed	coed
coefficient	koeficientas
coerce	priversti
coercion	prievarta
coercive	prievartos
coexist	kartu egzistuoja
coexistence	sambūvio
coexisting	kartu egzistuojanti
coffee	kava
coffee table	kavos stalelis
coffeehouse	kavos namai
coffeepot	kavinukas
coffin	karstą
cog	cog
cogent	įtikinamai
cognac	konjakas
cognate	giminaitis
cognition	pažinimas
cognitive	pažintinis
cohabitation	draugystę
coherence	nuoseklumas
coherent	nuoseklus
cohesion	sanglauda
cohesive	darni
cohort	kohorta
coil	ritė
coiled	suvynioti
coin	moneta
coinage	moneta
coincide	sutampa
coincidence	sutapimas
coincident	sutampa
coincidental	atsitiktinai
coinciding	sutampa
coke	koksas
cola	Cola
cold	šalta
coldly	šaltai
coldness	šaltis
coldsweat	NO TRANSLATION
coleslaw	koleslawas
colic	kolika
coliseum	Koliziejus
collaborate	bendradarbiauti
collaboration	bendradarbiavimas
collaborator	bendradarbis
collage	koliažas
collagen	kolageno
collapse	žlugti
collar	apykaklė
collarbone	raumenys
collate	lyginti
collateral	užstatas
collation	palyginimas
colleague	kolega
collect	rinkti
collected	surinkta
collection	kolekcija
collective	kolektyvas
collectively	kolektyviai
collector	kolektorius
college	kolegija
collegiate	kolegialus
collide	susiduria
collie	kolis
collision	susidūrimas
collocation	kolokacija
colloquial	kalbantis
collusion	sąmokslas
cologne	Kelnas
colon	dvitaškis
colonel	pulkininkas
colonial	kolonijinis
colonic	storosios žarnos
colonoscopy	kolonoskopija
colony	kolonija
colophon	kolofonas
color	spalva
coloration	spalva
colored	spalvos
colorful	spalvinga
coloring	dažymas
colorless	bespalvis
colors	spalvos
colossal	milžiniškas
colt	asilas
columbine	Kolumbinas
column	stulpelis
columnar	stulpelis
columnist	redaktorius
com	NO TRANSLATION
coma	koma
comatose	komata
comb	šukos
combat	kovoti
combatant	kovotojas
combative	kareiviškas
combination	derinys
combinatorial	kombinacinis
combine	sujungti
combined	kartu
combo	Combo
combustible	degios
combustion	deginimas
come	ateiti
comeback	grįžk
comedian	komikas
comedy	komedija
comet	kometa
comfort	komfortas
comfortable	patogus
comforter	minkšta
comforting	jaudinantis
comfy	patogus
comic	komiksas
comical	juokingas
comics	komiksai
coming	artėja
comma	kablelis
command	komanda
commandant	komendantas
commandeer	vadas
commander	vadas
commanding	įsakymas
commandment	įsakymas
commando	Komanda
commemorate	prisiminti
commemoration	minėjimas
commemorative	atminimo diena
commence	prasideda
commend	pagirti
commendable	pagirtinas
commendation	pagyrimas
commensurate	proporcingas
comment	komentuoti
commentary	komentaras
commentator	komentatorius
commerce	komercija
commercial	komercinis
commie	komiksas
commissary	komisaras
commission	Komisija
commissioner	komisaras
commit	įsipareigoti
commitment	įsipareigojimas
committal	priėmimas
committed	padaryta
committee	komitetas
commodity	prekė
commodore	Commodore
common	bendras
commoner	paprastas
commonly	dažnai
commonplace	įprastas dalykas
commons	bendri
commonwealth	sąjunga
commotion	neramumai
communal	bendruomenė
commune	komuna
communicable	užkrečiama
communicate	bendrauti
communication	komunikacija
communicative	komunikacinis
communicator	komunikatorius
communion	bendrystė
communism	komunizmas
communist	komunistas
community	bendruomenė
commutation	komutacija
commutative	коммутативный
commute	važinėti
commuter	priemiestinis
comp	Komp
compact	kompaktiška
compaction	tankinimas
compactness	kompaktiškumas
companion	kompanionas
companionless	nesvarbu
companionship	draugystę
company	bendrovė
comparable	palyginamas
comparative	lyginamasis
comparatively	palyginti
compare	palyginti
comparison	palyginimas
compartment	skyrius
compass	kompasas
compassion	užuojauta
compassionate	sąžiningas
compatibility	suderinamumas
compatible	suderinama
compel	priversti
compelled	priverstas
compelling	įtikinantis
compendium	rinkinys
compensate	kompensuoti
compensation	kompensacija
compensatory	kompensacinis
compete	konkuruoti
competence	kompetencija
competency	kompetencija
competent	kompetentingas
competition	varzybos
competitive	konkurencinga
competitor	konkurentas
compilation	kompiliavimas
compile	surinkti
complacency	nepasitenkinimas
complacent	atsipalaidavęs
complain	skųstis
complaint	skundas
complement	papildyti
complementary	papildomas
complete	baigti
completed	baigtas
completely	visiškai
completeness	išsamumas
completing	užbaigti
completion	užbaigimas
complex	kompleksas
complexed	kompleksinis
complexion	veido spalva
complexity	sudėtingumas
compliance	laikymasis
compliant	atitinka reikalavimus
complicate	komplikuoja
complicated	sudėtingas
complication	komplikacija
complicity	komplikacija
compliment	NO TRANSLATION
complimentary	nemokamas
comply	laikykis
complying	atitiktų
compo	Komp
component	komponentas
compose	kurti
composed	sudarytas
composer	kompozitorius
composite	sudėtinis
composition	kompozicija
compost	kompostas
composure	ramybė
compound	junginys
comprehend	suvokti
comprehension	supratimas
comprehensive	išsamus
compress	suspausti
compressed	suspaustas
compressible	suspaudžiamas
compression	suspaudimas
compressor	kompresorius
comprise	sudaro
compromise	kompromisas
comptroller	kontrolierius
compulsion	prievarta
compulsive	kompulsinis
compulsory	privalomas
computable	apskaičiuojama
computation	skaičiavimas
compute	apskaičiuoti
computer	kompiuteris
computerized	kompiuterizuota
computing	skaičiavimas
comrade	Draugas
con	NO TRANSLATION
concatenation	sujungimas
concave	įgaubtas
conceal	paslėpti
concealed	paslėpta
concealment	paslėpimas
concede	pripažinti
conceit	įsivaizduoti
conceited	tuštuma
conceivable	įmanomas
conceive	suvokti
concentrate	koncentruotis
concentration	koncentracija
concentric	koncentrinis
concept	koncepcija
conception	koncepcija
concern	rūpestis
concerned	susijusi
concert	koncertas
concerto	koncertas
concession	koncesija
concessional	lengvatinis
conch	kriauklė
concierge	konsjeržo paslaugos
conciliation	taikinimo procedūra
concise	glausta
conclave	konclavas
conclude	sudaryti
concluding	sudaryti
conclusion	išvadą
conclusive	galutinis
concoction	pagaminti
concomitant	kartu
concord	susitarimas
concordance	atitikimas
concours	NO TRANSLATION
concourse	kongresas
concrete	betonas
concubine	koncubiunas
concur	sutinku
concurrence	sutikimas
concurrent	kartu
concurring	suderinantis
concussion	smegenų sukrėtimas
condemn	pasmerkti
condemnation	pasmerkimas
condensation	kondensacija
condensed	susilpnintas
condescending	gailestingas
condescension	nusivylimas
condiment	prieskoniai
condition	sąlyga
conditional	sąlyginis
conditionally	sąlygiškai
conditioned	kondicionuojamas
conditioner	kondicionierius
conditioning	kondicionavimas
conditions	sąlygos
condo	butas
condolence	užuojautą
condolences	užuojautos
condom	prezervatyvas
condone	pasveikinti
condor	condor
conducive	palankus
conduct	elgesys
conduction	laidumas
conductivity	laidumas
conductor	dirigentas
conduit	kanalas
cone	kūgis
confederacy	konfederacija
confederate	konfederacija
confederation	konfederacija
confer	suteikti
conference	konferencija
confess	prisipažinti
confession	prisipažinimas
confessional	konfesinis
confessions	prisipažinimas
confetti	konfeti
confidant	patikėtinis
confide	pasitikėti
confidence	pasitikėjimas
confident	įsitikinęs
confidential	konfidencialus
confidentiality	konfidencialumas
confidentially	NO TRANSLATION
configuration	konfigūracija
confine	apsiriboti
confined	uždaras
confinement	gimdymas
confines	riboja
confirm	patvirtinti
confirmation	patvirtinimas
confirmatory	patvirtinantis
confirmed	patvirtintas
confiscate	konfiskuoti
confiscation	konfiskavimas
conflagration	gaisras
conflict	konfliktas
conflicting	prieštaringas
confluence	susivienijimas
conform	atitiktų
conformance	atitiktis
conformation	NO TRANSLATION
conformity	atitiktis
confound	sumaišyti
confounded	sugedo
confront	priešintis
confrontation	konfrontacija
confuse	supainioti
confused	supainioti
confusing	paini
confusion	sumišimas
conga	conga
congenial	draugiškas
congenital	įgimta
congestion	grūstis
conglomerate	konglomeratas
conglomeration	konglomeracija
congrats	Sveikinimai
congratulate	Sveikinu
congratulation	sveikinu
congratulations	sveikinu
congratulatory	sveikinu
congregate	susirinkti
congregation	susirinkimas
congress	kongresas
congressional	kongresas
congressman	kongreso narys
congruence	kongruencija
conic	kūginis
conical	kūginis
conjecture	hipotezė
conjugal	santuoka
conjugate	konjugatas
conjugation	konjugacija
conjunction	jungtis
conjunctive	jungianti
conjure	pakviesti
conjuring	kvailys
conk	conk
connect	Prisijungti
connected	prijungtas
connection	ryšys
connective	jungiamoji
connoisseur	žinovas
conquer	užkariauti
conquering	užkariavimas
conqueror	užkariautojas
conquest	užkariavimas
conscience	sąžinė
conscientious	sąžiningas
conscious	sąmoningas
consciousness	sąmonė
conscription	prizas
consecrated	pašventintas
consecration	pašventinimas
consecutive	iš eilės
consensual	konsensusas
consensus	konsensusas
consent	sutikimas
consenting	sutikimas
consequence	pasekmė
consequent	pasekmė
conservation	išsaugojimas
conservatism	konservatyvumas
conservative	konservatyvus
conservatory	konservatorija
conserve	konservuoti
consider	apsvarstykite
considerable	didelis
considerate	dėmesingas
consideration	svarstymas
consignee	gavėjas
consignment	siunta
consist	susideda iš
consistency	nuoseklumas
consistent	nuoseklus
consolation	malonumas
console	konsolė
consoled	consoled
consolidate	konsoliduoti
consolidated	konsoliduota
consolidation	konsolidacija
consonant	konsonantas
consort	sutinku
conspicuous	pastebimas
conspiracy	sąmokslas
conspirator	sąmokslininkas
conspire	sujaudinti
constable	konstabula
constancy	pastovumas
constant	pastovi
constantly	nuolat
constellation	žvaigždynas
consternation	sąmyšis
constipation	vidurių užkietėjimas
constituency	rinkimų apygarda
constituent	sudedamoji dalis
constituents	sudedamosios dalys
constitute	sudaryti
constitution	konstitucija
constitutional	konstitucinis
constitutionality	konstitucingumas
constrain	suvaržyti
constrained	suvaržytas
constraint	apribojimas
construct	statyti
construction	statyba
constructive	konstruktyvus
construe	aišku
consul	konsulas
consulate	konsulatas
consult	konsultuotis
consultant	konsultantas
consultation	konsultacija
consume	vartoti
consumer	vartotojas
consuming	vartoja
consummate	baigti
consummation	baigimas
consumption	vartojimas
contact	kontaktas
contagion	užkratas
contagious	užkrečiama
contain	yra
container	konteineris
containment	izoliavimas
contaminate	užteršti
contaminated	užteršta
contamination	užteršimas
contemplate	apmąstyti
contemplation	apmąstymas
contemplative	kontempliacija
contemporaneous	tuo pačiu metu
contemporary	šiuolaikiškas
contempt	panieka
contemptible	panieka
contemptuous	nusivylęs
contend	ginčytis
contender	varžovas
contending	ginčytis
content	turinys
contented	patenkintas
contention	ginčas
contentious	ginčytina
contentment	pasitenkinimas
contents	turinys
contest	konkursas
contestant	dalyvis
context	kontekstas
contiguous	kaimyninis
continence	pastovumas
continent	žemynas
continental	žemyninis
contingency	nenumatyti atvejai
contingent	kontingentas
continual	nuolatinis
continually	nuolat
continuance	tęstinumas
continuation	tęsinys
continue	Tęsti
continued	tęsinys
continuing	tęsinys
continuity	tęstinumas
continuous	nuolatinis
continuously	nuolat
continuum	kontinuumas
contour	kontūras
contraband	kontrabanda
contraception	kontracepcija
contract	sutartis
contracted	sutartis
contractile	sutrumpintas
contracting	sutartis
contraction	susitraukimas
contractor	rangovas
contradict	prieštarauja
contradiction	prieštaravimas
contradictory	prieštaringas
contraption	atsipalaidavimas
contrary	priešingai
contrast	kontrastas
contrasted	kontrastuotas
contravene	prieštarauja
contravention	pažeidimas
contribute	prisidėti
contribution	indėlis
contributor	pagalbininkas
contrite	pasipriešinti
contrition	kaltinimas
contrived	įstrigo
control	kontrolė
controller	valdytojas
controlling	valdymas
controversial	prieštaringas
controversy	nesutarimai
contusion	kontūzija
conundrum	gudrybė
convalescent	atsinaujinanti
convection	konvekcija
convene	sušaukti
convenience	patogumas
conveniences	patogumai
convenient	patogus
convent	vienuolynas
convention	konvencija
conventional	sutartinis
converge	suvienyti
convergence	konvergencija
convergent	konvergenti
conversant	žinoma
conversation	pokalbis
conversational	pokalbis
conversationalist	pokalbis
converse	bendrauti
conversing	pokalbis
conversion	konversija
convert	Paversti
converted	konvertuotas
convertible	konvertuojama
convex	išgaubtas
convexity	išgaubtas
convey	perteikti
conveyance	pervežimas
conveyancing	perdavimas
convict	kaltinamasis
conviction	nuosprendis
convince	įtikinti
convinced	įsitikinęs
convincing	įtikinamai
convocation	sušaukimas
convoluted	suvyniotas
convolution	konvoliucija
convoy	konvoja
coo	Coo
cook	virėjas
cookbook	receptų knyga
cooker	viryklė
cookery	kulinarija
cookie	slapukas
cookies	slapukai
cooking	virimo
cookout	sausainiai
cool	Saunus
coolant	aušinimo skystis
cooler	aušintuvas
cooling	aušinimas
coolness	vėsa
coon	coon
coop	bendradarbiauti
cooperate	bendradarbiauti
cooperating	bendradarbiauja
cooperation	bendradarbiavimas
cooperative	kooperatyvas
coordinate	koordinuoti
coordination	koordinacija
coordinator	koordinatorius
cop	policininkas
copacetic	NO TRANSLATION
cope	susidoroti
copier	kopijuoklis
copilot	kopilotas
coping	susidoroti
copious	gausus
copper	varis
copter	variklis
copy	kopijuoti
copycat	kopijuoti
copying	kopijavimas
copyright	autorinės teisės
coral	koralas
coral snake	koralų gyvatė
cord	laidas
cordial	nuoširdus
cordless	bevielis
cordon	cordon
corduroy	velvetas
core	branduolys
cork	kamštiena
corkscrew	kamščiatraukis
corn	kukurūzai
cornball	kukurūzų kamuoliai
cornbread	kukurūzų kepta
cornea	ragenos
corned	saldintas
corner	kampas
cornerstone	kertinis akmuo
cornet	Cornet
cornfield	kukurūzų laukas
cornflakes	NO TRANSLATION
cornice	karnizas
cornstarch	kukurūzų krakmolas
corny	kuklus
corollary	pasekmė
corona	korona
coronary	koronarai
coronation	karūnavimas
coroner	koroneris
corporal	kūno skausmas
corporate	įmonės
corporation	korporacija
corporeal	kūniškas
corps	korpusas
corpse	lavonas
corpsman	korpusas
corpus	korpusas
corral	korralas
correct	teisingai
correction	pataisymas
correctional	korekcinis
corrective	taisomasis
correctness	teisingumas
correlation	koreliacija
correlative	koreliacinis
correspond	atitikti
correspondence	korespondencija
correspondent	korespondentas
corresponding	atitinkamas
corridor	koridorius
corroborate	patvirtinti
corroboration	patvirtinimas
corrosion	korozija
corrosive	ėsdinanti
corrupt	sugadintas
corrupting	sugadintas
corruption	korupcija
corsage	korsažas
corse	NO TRANSLATION
corset	korsetas
cortex	žievė
cortical	korticalinis
cortisone	kortizonas
corvette	Corvette
cosmetic	kosmetika
cosmetics	kosmetika
cosmic	kosminis
cosmology	kosmologija
cosmopolitan	kosmopolitinis
cosmos	kosmosas
cost	kaina
costly	brangus
costume	kostiumas
cosy	jaukus
cot	vaikiška lovelė
cote	cote
cottage	name
cotton	medvilnė
couch	sofa
cougar	puma
cough	kosulys
council	taryba
councilman	tarybos narys
counsel	advokatas
counseling	konsultavimas
counsellor	patarėjas
counselor	patarėjas
count	suskaičiuoti
countdown	atgalinis laikas
countenance	veidas
counter	skaitiklis
counteract	priešintis
counterattack	kontrataka
counterbalance	atsvara
counterclaim	priešieškinis
counterfeit	padirbti
counterpart	kolega
counterpoint	kontrapunktas
countess	grafionė
countless	nesuskaičiuojama daugybė
country	Šalis
countryman	kaimietis
countrymusic	NO TRANSLATION
countryside	kaime
counts	skaičiai
county	apskritis
coup	perversmas
coupe	kupė
couple	pora
coupled	sujungtas
coupling	jungtis
coupon	kuponas
courage	drąsos
courageous	drąsus
courier	kurjerį
courses	kursai
coursing	judėjimas
court	teismas
courteous	mandagus
courtesy	mandagumas
courthouse	teismo rūmai
courtroom	teismo salė
courts	teismai
courtship	Laisvalaikis
courtside	teisėjai
courtyard	kiemas
cousin	pusbrolis
cousins	pusbroliai
cove	kava
coven	coven
covenant	Sandorą
cover	padengti
coverage	aprėptis
covered	padengtas
covering	padengti
covert	slaptas
covet	trokšta
coveted	prestižinis
cow	karvė
coward	bailys
cowardice	bailys
cowardly	bailiai
cowboy	kaubojus
cowgirl	cowgirl
cowhand	cowhand
cowhide	karvytė
cowl	gaubtas
coworker	bendradarbis
coy	coy
coyote	kojotas
cozy	jaukus
crab	krabas
crabby	Crabby
crack	krekas
cracked	krekingo
cracker	krekingo priemonė
crackerjack	krekingo lazda
cracking	krekingo
crackle	trauktis
crackpot	trauktis
cradle	lopšys
craft	laivas
crafts	amatai
craftsman	meistras
craftsmanship	meistriškumas
crafty	klastingas
craig	Craigas
cram	cram
crammed	įstrigo
cramp	mėšlungis
cramped	tramdomas
cranberry	spanguolė
cranberry juice	spanguolių sultys
crane	kranas
cranial	galvos skausmas
cranium	galvos smegenys
crank	skriejikas
cranky	Cranky
cranny	cranny
crap	šūdas
crappy	prastas
craps	craps
crash	avarija
crass	crass
crate	dėžė
crater	krateris
crave	trokšti
craving	troškimas
crawfish	ragai
crawl	nuskaityti
crayon	pieštukas
crayons	spalvotieji pieštukai
craze	pagunda
crazed	Crazed
craziness	beprotybė
crazy	pamišęs
creak	šnibždėti
creaking	šlubavimas
cream	grietinėlė
creamed	grietinėlė
creamer	Creamer
creamy	kreminė
crease	raukšlėtis
create	sukurti
creation	kūryba
creative	kūrybingas
creativity	kūrybiškumas
creator	kūrėjas
creature	tvarinys
credence	patikimumas
credential	pažymėjimai
credentials	įgaliojimai
credibility	patikimumas
credible	patikimas
credit	kreditas
credit card	kredito kortelė
creditable	patikimas
credited	įskaityta
crediting	kreditavimas
creditor	kreditorius
creed	įsitikinimai
creek	upelis
creep	šliaužti
creeper	creeper
creeping	šliaužti
creepy	Creepy
cremation	kremavimas
creole	kreolė
crepe	krepas
crescendo	crescendo
crescent	pusmėnulis
crest	crest
crestfallen	sugadintas
cretin	Cretinas
cretins	Kretinai
crevice	kreivika
crew	įgula
crewman	įgulos narys
crib	lovelė
cricket	Kriketas
cried	šaukė
crime	nusikaltimas
criminal	nusikalstamas
criminality	nusikalstamumas
crimp	apsukimas
crimson	tamsiai raudona
cringe	Cringe
cripple	kankinti
crippled	suluošintas
crippling	blogas
crisis	krizė
crisp	traškus
crispy	traškus
criterion	kriterijus
critic	kritikas
critical	kritiškas
criticise	kritikuoti
criticism	kritika
criticize	kritikuoti
criticized	kritikuojamas
critique	kritika
critter	Critter
croak	šoktelėti
croc	croc
crock	garbanoti
crockery	indai
crocodile	krokodilas
croft	krosnys
croissant	kruopos
crook	klajoti
crooked	kreivas
crop	pasėlių
croquet	kroketas
cross	kirsti
cross country	kryžminė šalis
crossbow	arbaletas
crossed	kirto
crossfire	kryžminė ugnis
crossing	perėjimas
crossover	kryžminis
crosswalk	pėsčiųjų takas
crossword	kryžiažodis
crotch	tarpkojis
crouch	nuleiskite
crouched	prisirišęs
crouching	sustorėjęs
croupier	krupjė
crow	varna
crowbar	laužas
crowd	minios
crowded	perkrautas
crowds	minios
crown	karūna
crowning	vainikuoja
crucial	labai svarbu
cruciate	krikščionys
crucifix	nukryžiuotas
crucifixion	nukryžiavimas
crucify	nukryžiuok
crud	crud
crude	žalios
cruel	žiaurus
